标题,开发商,房子信息,发布信息,售价/万,单价
金兰小区 3室2厅 南,金兰小区 -罗浮广场,3室2厅 | 134.76平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 25天以前发布,64.8,"4,809元/平"
四合社区 3室2厅 南,四合社区 -万达路,3室2厅 | 107.67平米 | 南 | 精装 | 中楼层(共10层)  | 暂无数据,0人关注 / 一年前发布,50.5,"4,691元/平"
中瑞阳光 3室1厅 南,中瑞阳光 -复兴镇,3室1厅 | 110.79平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 5个月以前发布,56,"5,055元/平"
户型方正，交通便利，配套成熟。,怡心苑 -复兴镇,3室2厅 | 102.95平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,5人关注 / 一年前发布,33.8,"3,284元/平"
四季花城3期，高档小区1梯2户洋房,四季花城·3期·睿城 -罗浮广场,4室2厅 | 97.89平米 | 东 | 毛坯 | 中楼层(共10层)  | 暂无数据,3人关注 / 3个月以前发布,100,"10,216元/平"
505电力家属院房屋质量好小区安全,西苑佳居 -罗浮广场,3室2厅 | 134.48平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,26人关注 / 一年前发布,102,"7,585元/平"
此房满两年出行方便户型方正居住方便舒适花园小区,一品南庭 -南客站,3室2厅 | 99平米 | 东南 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 5个月以前发布,83,"8,384元/平"
房东诚心出售 花园小区 精装三房 物业费低,国际新城 -罗浮广场,3室1厅 | 134平米 | 西南 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,73,"5,448元/平"
莲花湖优质小区，绿化好，小区清静。,中联·莲湖广场 -莲花湖,3室2厅 | 98.78平米 | 西 | 毛坯 | 低楼层(共32层)  | 塔楼,4人关注 / 一年前发布,73,"7,391元/平"
成熟花园小区，环境优美，可拎包入住,一品南庭 -南客站,3室2厅 | 99平米 | 东 | 精装 | 中楼层(共25层)  | 塔楼,2人关注 / 一年前发布,83,"8,384元/平"
四季花城二期清水房，户型方正，户主诚心出售。,滨江四季花城二期A区 -罗浮广场,3室2厅 | 90.72平米 | 北 | 毛坯 | 低楼层(共31层)  | 板楼,3人关注 / 9个月以前发布,80,"8,819元/平"
西外宜居核 心区 毗 邻西城中 央公园 环境优美宜居家,万霖凤凰城 -莲花湖,3室2厅 | 81平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 11个月以前发布,72,"8,889元/平"
西外宜居居住地正规套三 坐北朝南,中梁首府 -莲花湖,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,1人关注 / 一年前发布,90,"8,257元/平"
澳莱·莲湖印象 3室2厅 东南,澳莱·莲湖印象 -莲花湖,3室2厅 | 106平米 | 东南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,85,"8,019元/平"
中梁首 府，采光良好，精致洋房诚心出售,中梁首府 -莲花湖,4室2厅 | 127.37平米 | 南 | 简装 | 中楼层(共12层)  | 塔楼,2人关注 / 一年前发布,117,"9,186元/平"
莲花湖中梁首 府 三房双卫 户型方正 南 业主诚心出售,中梁首府 -莲花湖,3室2厅 | 109平米 | 东南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 一年前发布,88,"8,074元/平"
西外宜居核 心区环境优美，宜居家,中梁首府 -莲花湖,3室2厅 | 117平米 | 东南 | 其他 | 中楼层(共34层)  | 塔楼,6人关注 / 一年前发布,85,"7,265元/平"
采光很好，清水房，业主诚意出售。,中瑞阳光 -复兴镇,3室1厅 | 110.79平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 5个月以前发布,56,"5,055元/平"
政务大厅旁精装大两房，户型方正，采光通透,全运一小区 -南客站,3室2厅 | 87.5平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 4个月以前发布,40.2,"4,595元/平"
上观南城位于三号干道的起始段的位置,上观南城 -南客站,3室1厅 | 76平米 | 北 | 精装 | 低楼层(共18层)  | 塔楼,3人关注 / 9个月以前发布,63,"8,290元/平"
动静分区，户型合理，采光不错，拎包入住,金碧世纪 -罗浮广场,3室2厅 | 110平米 | 西 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 一年前发布,75,"6,819元/平"
房子格局好，朝南，采光充足，视野好，光线好,中梁首府 -莲花湖,3室2厅 | 110平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 8个月以前发布,85,"7,728元/平"
花园小区交通便利采光通风好花园小区交通便利,中迪·国际社区 -南客站,3室2厅 | 78.6平米 | 北 | 精装 | 低楼层(共33层)  | 塔楼,7人关注 / 一年前发布,56,"7,125元/平"
莲湖广场清水毛坯四房双卫 户型方正 业主诚心出售,中联·莲湖广场 -莲花湖,4室2厅 | 136平米 | 北 | 毛坯 | 高楼层(共26层)  | 塔楼,6人关注 / 一年前发布,90,"6,618元/平"
此房户型格局方正 配套设施齐全 交通便利,怡苑新村 -南客站,3室2厅 | 94.5平米 | 东南 | 简装 | 高楼层(共7层)  | 平房,3人关注 / 10个月以前发布,40.5,"4,286元/平"
莲花湖片区四房双卫 户型方正 南  业主诚信出售,中梁首府 -莲花湖,4室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,1人关注 / 一年前发布,85,"7,265元/平"
江湾城澜岸河景房户型方正转角大阳台房东诚心出售,江湾城澜岸 -江湾城,4室2厅 | 139平米 | 西南 | 毛坯 | 低楼层(共34层)  | 暂无数据,14人关注 / 一年前发布,118,"8,490元/平"
西外宜居核 心区，毗 邻西城中 央公园，环境优美,中梁首府 -莲花湖,4室2厅 | 118平米 | 西南 | 毛坯 | 低楼层(共12层)  | 塔楼,1人关注 / 一年前发布,105,"8,899元/平"
中梁首府 4室2厅 东南,中梁首府 -莲花湖,4室2厅 | 117平米 | 东南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,83,"7,095元/平"
滨河公园旁，带大阳台，视野开阔，江景大横厅，。,洲河湾 -三岔路口,3室2厅 | 124.83平米 | 东南 | 毛坯 | 高楼层(共31层)  | 塔楼,10人关注 / 10个月以前发布,65,"5,208元/平"
西外西苑佳居标准三房，毛坯装出你想要的风格,西苑佳居 -罗浮广场,3室2厅 | 134.48平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,3人关注 / 一年前发布,125,"9,296元/平"
此房是清水房，证在办，需要一次性付款,天恒花园3期 -罗浮广场,3室2厅 | 103平米 | 东南 | 毛坯 | 中楼层(共29层)  | 塔楼,22人关注 / 一年前发布,62,"6,020元/平"
西外中迪公馆洋房大四房出售，配套设施齐全,中迪公馆 -罗浮广场,4室2厅 | 129.76平米 | 东南 | 毛坯 | 高楼层(共9层)  | 塔楼,5人关注 / 一年前发布,138,"10,636元/平"
天誉誉府 3室2厅 东南,天誉誉府 -莲花湖,3室2厅 | 96平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,73,"7,605元/平"
南外三岔路口电梯3房，房东急售,拓创名苑 -万达路,3室1厅 | 75平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 一年前发布,42,"5,600元/平"
信德城市绿洲 4室1厅 东,信德城市绿洲 -西客站,4室1厅 | 138平米 | 东 | 简装 | 中楼层(共16层)  | 塔楼,0人关注 / 10个月以前发布,80,"5,798元/平"
久昌鑫民苑 3室2厅 东南,久昌鑫民苑 -未知商圈,3室2厅 | 111.57平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,10人关注 / 9个月以前发布,55,"4,930元/平"
一新国际社区 3室2厅 东南,一新国际社区 -南客站,3室2厅 | 105平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,1人关注 / 4个月以前发布,79.8,"7,600元/平"
成熟地段，标准三房，业主诚意出售,宏源大厦 -西客站,3室2厅 | 125平米 | 西南 | 毛坯 | 高楼层(共7层)  | 板塔结合,9人关注 / 11个月以前发布,42,"3,360元/平"
徐公祠巷20号 3室2厅 南,徐公祠巷20号 -未知商圈,3室2厅 | 110平米 | 南 | 简装 | 高楼层(共12层)  | 暂无数据,0人关注 / 5个月以前发布,48,"4,364元/平"
西外罗浮广场旁万兴苑3房2厅1卫家电全齐,万兴苑 -罗浮广场,3室2厅 | 61平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,28人关注 / 一年前发布,44,"7,214元/平"
莲花湖清水三房两厅双卫，楼层好，坐南朝北出售,澳莱·莲湖印象 -莲花湖,3室2厅 | 96.73平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,75,"7,754元/平"
标准4房2厅2卫.户型采光好.拎包入住,国际新城 -罗浮广场,4室2厅 | 143.73平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,79.5,"5,532元/平"
天誉誉府 3室2厅 北,天誉誉府 -莲花湖,3室2厅 | 124.87平米 | 北 | 其他 | 中楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,92,"7,368元/平"
华诚大厦 4室2厅 北,华诚大厦 -罗浮广场,4室2厅 | 127平米 | 北 | 其他 | 低楼层(共16层)  | 塔楼,2人关注 / 6个月以前发布,70,"5,512元/平"
西外 西苑家居 143平米2梯4户 3房2厅2卫 精装修,西苑佳居 -罗浮广场,3室2厅 | 143.52平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,115,"8,013元/平"
莲花湖装修小三房、可按揭诚心出售,万霖凤凰城 -莲花湖,3室2厅 | 85平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,70,"8,236元/平"
户型方正，采光充足，看房方便.,天恒花园3期 -罗浮广场,3室2厅 | 116平米 | 南 北 | 其他 | 中楼层(共27层)  | 塔楼,12人关注 / 一年前发布,85,"7,328元/平"
康鑫花苑 3室2厅 南 北,康鑫花苑 -西客站,3室2厅 | 137.5平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板塔结合,0人关注 / 4个月以前发布,59,"4,291元/平"
大寨子公园下天然氧吧新小区，配套成熟,罗浮·山水美地 -西客站,3室2厅 | 88.9平米 | 西 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 一年前发布,66,"7,425元/平"
大三房，采光好，电梯房，户型方正,伴山名居 -三岔路口,3室2厅 | 98平米 | 西南 | 毛坯 | 高楼层(共19层)  | 板塔结合,0人关注 / 5个月以前发布,42,"4,286元/平"
户型方正，配套设施齐全，适合居住。,伴山名居 -三岔路口,3室2厅 | 98平米 | 东 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,54.5,"5,562元/平"
南外曹家梁社区四小区大三房只要20多万，安逸得很,曹家梁社区四小区 -万达路,3室2厅 | 81平米 | 东南 南 | 精装 | 高楼层(共8层)  | 塔楼,2人关注 / 4个月以前发布,26,"3,210元/平"
西外莲花湖中迪二期小三房现房出售,中迪广场二期 -莲花湖,3室2厅 | 84平米 | 西南 | 毛坯 | 中楼层(共30层)  | 塔楼,9人关注 / 一年前发布,57,"6,786元/平"
莲花湖片区适合居家，环境宜家，配套公园,中梁首府 -莲花湖,3室2厅 | 93平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,5人关注 / 一年前发布,81,"8,710元/平"
此房大，环境好，配套成熟易居家,鼎能天玺莲湖 -莲花湖,4室2厅 | 127平米 | 西南 | 毛坯 | 低楼层(共32层)  | 塔楼,3人关注 / 一年前发布,103,"8,111元/平"
恒大.雍和湾     三室两厅一厨两卫     明厨明卫,恒大·雍河湾 -塔坨,3室2厅 | 123平米 | 东南 | 毛坯 | 低楼层(共34层)  | 塔楼,6人关注 / 一年前发布,79.8,"6,488元/平"
此房采光明亮   适合各种人群居住,台湾堡安置房 -南客站,3室2厅 | 93.89平米 | 西南 | 毛坯 | 中楼层(共21层)  | 暂无数据,1人关注 / 一年前发布,49,"5,219元/平"
西外宜居核 心区，毗万家河湿地公园，环境优美,中梁首府 -莲花湖,4室2厅 | 142.75平米 | 南 | 毛坯 | 低楼层(共12层)  | 塔楼,4人关注 / 一年前发布,109,"7,636元/平"
莲花湖优质房源，小区环境好，位于文理学院里面,学府雅苑 -莲花湖,3室2厅 | 123.7平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,60,"4,851元/平"
花园小区，一梯两户，清水现房，即买即装，视野好,通锦·国际嘉园Ⅱ期 -罗浮广场,3室2厅 | 90.3平米 | 东 | 毛坯 | 中楼层(共25层)  | 板塔结合,3人关注 / 一年前发布,83,"9,192元/平"
花园小区，采光充足，视野好，配套设施齐全,通锦·国际嘉园Ⅱ期 -罗浮广场,3室2厅 | 115平米 | 北 | 毛坯 | 中楼层(共10层)  | 板塔结合,3人关注 / 一年前发布,99,"8,609元/平"
中迪广场二期  配套设施齐全，交通便利,中迪广场二期 -莲花湖,3室2厅 | 84.9平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板塔结合,26人关注 / 一年前发布,55,"6,479元/平"
莲 花 湖套三 清水房 业主诚心出售,中迪广场二期 -莲花湖,3室2厅 | 84平米 | 北 | 毛坯 | 低楼层(共30层)  | 塔楼,6人关注 / 一年前发布,55,"6,548元/平"
大三房两卫，精准修，可拎包入住,天恒花园 -罗浮广场,3室2厅 | 132.4平米 | 东南 | 精装 | 高楼层(共13层)  | 塔楼,1人关注 / 一年前发布,76,"5,741元/平"
华南花园正三房，装修新，采光好！,华南花园 -南客站,3室2厅 | 90平米 | 东南 | 精装 | 中楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,66,"7,334元/平"
房东诚心卖房，价格可以商量，小区环境优美,天誉誉府 -莲花湖,3室2厅 | 107平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,81,"7,571元/平"
莲花湖精装套三双卫，户型方正，可拎包入住,中迪广场二期 -莲花湖,3室2厅 | 92平米 | 东 | 精装 | 低楼层(共28层)  | 板塔结合,49人关注 / 一年前发布,77,"8,370元/平"
电梯大三房，彩光通透，户型方正,伴山名居 -三岔路口,3室2厅 | 98平米 | 东北 | 毛坯 | 高楼层(共19层)  | 板塔结合,1人关注 / 5个月以前发布,42,"4,286元/平"
西外莲花湖，学府雅苑优质好房！,学府雅苑 -莲花湖,3室2厅 | 132平米 | 东南 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 3个月以前发布,70,"5,304元/平"
金龙大道，旺角城，居家套三双卫，户型房子，诚心出售,旺角城 -西客站,3室2厅 | 115.7平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,6人关注 / 一年前发布,73.5,"6,353元/平"
西外莲花湖坐北朝南三房两厅两卫,澳莱·莲湖印象 -莲花湖,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,3人关注 / 一年前发布,76,"7,239元/平"
莲花湖金龙大道旁毛坯套三双卫前后花园,中梁首府 -莲花湖,3室2厅 | 99平米 | 南 | 毛坯 | 低楼层(共12层)  | 塔楼,5人关注 / 一年前发布,108,"10,910元/平"
三圣宫巷44号居民楼 2室1厅 东南,三圣宫巷44号居民楼 -中心广场,2室1厅 | 62.34平米 | 东南 | 精装 | 中楼层(共10层)  | 板楼,8人关注 / 7个月以前发布,25,"4,011元/平"
中 心广场沃尔玛楼上电梯房 也可以办公 有停车场,滨江·名都城 -中心广场,3室2厅 | 90平米 | 东南 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,68,"7,556元/平"
西外宜居核 心区，毗 邻西城中 央公园,中梁首府 -莲花湖,4室2厅 | 116.99平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,6人关注 / 一年前发布,88,"7,523元/平"
复兴花园小区   有证满两年   双阳台好停车   价可谈,凤翔小区 -复兴镇,3室2厅 | 118平米 | 东南 | 毛坯 | 中楼层(共8层)  | 板楼,22人关注 / 一年前发布,35,"2,967元/平"
永丰街99号 3室2厅 东南,永丰街99号 -未知商圈,3室2厅 | 118平米 | 东南 | 简装 | 高楼层(共12层)  | 板楼,2人关注 / 一年前发布,36,"3,051元/平"
永丰街99号 3室2厅 东南,永丰街99号 -未知商圈,3室2厅 | 118平米 | 东南 | 简装 | 高楼层(共12层)  | 板楼,2人关注 / 一年前发布,36,"3,051元/平"
莲花湖优质房源，业主诚心出售，带车位，绿化巴适,天誉誉府 -莲花湖,3室2厅 | 126平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板塔结合,9人关注 / 7个月以前发布,86,"6,826元/平"
莲花湖洋房出售，中间楼层，采光良好，看房方便,澜湖郡 -莲花湖,4室2厅 | 143.13平米 | 北 | 毛坯 | 中楼层(共11层)  | 板楼,8人关注 / 一年前发布,120,"8,384元/平"
龙脉·江南世家 3室1厅 东南,龙脉·江南世家 -三里坪,3室1厅 | 96平米 | 东南 | 毛坯 | 低楼层(共27层)  | 暂无数据,1人关注 / 7个月以前发布,49,"5,105元/平"
江湾城澜岸4房2厅双卫1厨 *大阳台,江湾城澜岸 -江湾城,4室2厅 | 116平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,12人关注 / 一年前发布,90,"7,759元/平"
楼层 好   采光充足  视野宽阔,观澜国际尚南金域 -三里坪,2室1厅 | 62.84平米 | 东南 | 精装 | 高楼层(共25层)  | 板塔结合,18人关注 / 一年前发布,46.8,"7,448元/平"
南外观澜国际中间楼层标准三房、随时看房,观澜国际尚南金域 -三里坪,3室2厅 | 97.81平米 | 东南 | 简装 | 高楼层(共25层)  | 板塔结合,6人关注 / 4个月以前发布,52,"5,317元/平"
中迪一期小洋楼，实得面积300平米房子带花园，舒适,中迪广场 -莲花湖,5室3厅 | 172平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,15人关注 / 一年前发布,140,"8,140元/平"
御景上城精装三房 满五唯一 房东诚心出售,御景上城 -罗浮广场,3室2厅 | 111.1平米 | 东南 | 简装 | 高楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,77,"6,931元/平"
恒大青年城标准精装三房，采光户型很好,恒大青年城 -三岔路口,3室2厅 | 100平米 | 西南 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 6个月以前发布,70,"7,000元/平"
顺平街76号 4室2厅 南 北,顺平街76号 -三里坪,4室2厅 | 136平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,50,"3,677元/平"
经典时代 3室2厅 西南,经典时代 -三里坪,3室2厅 | 99.5平米 | 西南 | 简装 | 高楼层(共28层)  | 塔楼,1人关注 / 一年前发布,60,"6,031元/平"
西外 莲花湖 中迪广场套三双卫 出售,中迪广场二期 -莲花湖,3室2厅 | 98.5平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,9人关注 / 一年前发布,64,"6,498元/平"
三里坪电梯三房，中价低精装修，随时看房,文丰小区 -三里坪,3室1厅 | 85平米 | 东南 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,46,"5,412元/平"
通川桥头原房东装修，户型采光巴适,和祥街64号 -三里坪,3室2厅 | 92.48平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,35,"3,785元/平"
三里坪原装电梯房，采光充足无遮挡,南滨大厦 -三里坪,3室2厅 | 123平米 | 东南 南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 3个月以前发布,85,"6,911元/平"
荣瑞南滨 3室1厅 西,荣瑞南滨 -三岔路口,3室1厅 | 60平米 | 西 | 精装 | 低楼层(共33层)  | 塔楼,1人关注 / 7个月以前发布,43.5,"7,250元/平"
全新中式装修，标准正三房家具家电齐全.小区环境优美,西城名苑 -金龙大道,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共24层)  | 塔楼,3人关注 / 一年前发布,86,"8,776元/平"
龍源锦苑3-2-1-1 101.00m² 55 万,龍源锦苑 -三岔路口,3室2厅 | 101平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,7人关注 / 一年前发布,49.5,"4,901元/平"
此房满五、配套设施齐全、交通方便、光线通透、,南方花园 -三岔路口,3室2厅 | 120平米 | 东 | 简装 | 高楼层(共13层)  | 板塔结合,5人关注 / 一年前发布,64,"5,334元/平"
瑞城龙湾 6室4厅 南,瑞城龙湾 -三岔路口,6室4厅 | 75平米 | 南 | 简装 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,85,"11,334元/平"
小区环境优雅，户型方正，居住舒适度高，空气流畅,江湾城澜岸 -江湾城,3室2厅 | 86平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,14人关注 / 一年前发布,60,"6,977元/平"
南外经典电梯2房，停车方便环境好；空气清新,富麗楠山 -三岔路口,2室2厅 | 82.33平米 | 东 | 精装 | 中楼层(共20层)  | 暂无数据,3人关注 / 一年前发布,41.7,"5,065元/平"
南大街原装电梯，中间楼层，户型方正，拎包入住,盛源城市风景 -三里坪,3室1厅 | 117.85平米 | 东南 南 | 精装 | 中楼层(共15层)  | 板塔结合,0人关注 / 1个月以前发布,65.5,"5,558元/平"
西外莲花湖片区 中梁首 府  套三 房东诚心出售,中梁首府 -莲花湖,3室1厅 | 94平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,2人关注 / 一年前发布,69,"7,341元/平"
龙庭港湾3-2-1-1 100.00m²,龙庭港湾 -三岔路口,3室2厅 | 100平米 | 南 东南 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,48,"4,800元/平"
南外杨家大院旁标准三房。随时看房,南丰园 -三岔路口,3室2厅 | 99平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 4个月以前发布,38,"3,839元/平"
西外宜居核 心区，毗 邻西城中 央公园，环境优美,万霖凤凰城 -莲花湖,3室1厅 | 80平米 | 北 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,62,"7,750元/平"
滨江丽都标准三房河景房、随时看房,滨江丽都 -三里坪,3室2厅 | 103平米 | 东南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,62,"6,020元/平"
龙庭港湾大三房，房东诚心出售。,龙庭港湾 -三岔路口,3室1厅 | 100平米 | 东南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 7个月以前发布,42,"4,200元/平"
恒大青年城标准大户型、随时看房,恒大青年城 -三岔路口,4室2厅 | 120平米 | 南 北 | 简装 | 低楼层(共23层)  | 塔楼,0人关注 / 2个月以前发布,77,"6,417元/平"
华川生活区3-1-1-1 86.40m² 43.8 万,华川生活区 -三岔路口,3室1厅 | 86.4平米 | 东南 | 简装 | 高楼层(共7层)  | 塔楼,2人关注 / 一年前发布,40,"4,630元/平"
龙庭港湾3-2-1-1 100.00m²,龙庭港湾 -三岔路口,3室2厅 | 100平米 | 南 东南 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,48,"4,800元/平"
此房证齐满两年，户型方正，适宜居住,龍源锦苑 -三岔路口,3室1厅 | 89平米 | 南 | 简装 | 低楼层(共8层)  | 塔楼,4人关注 / 一年前发布,36,"4,045元/平"
莲花湖三房双卫 户型方正 采光好 业主诚心出售,万豪莲湖1美地 -莲花湖,3室1厅 | 90平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,67,"7,445元/平"
户型方正，采光充足，配套设施齐全，适合居住,龍源锦苑 -三岔路口,3室2厅 | 103平米 | 东南 | 简装 | 中楼层(共19层)  | 塔楼,2人关注 / 一年前发布,57,"5,534元/平"
西外塔坨花园小区电梯房，环境优雅，户型标准。,恒大·雍河湾 -塔坨,3室2厅 | 84.41平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,61,"7,227元/平"
龍源锦苑3-2-1-1 101.00m² 55 万,龍源锦苑 -三岔路口,3室2厅 | 101平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,7人关注 / 一年前发布,49.5,"4,901元/平"
御景上城精装三房 满五唯一 房东诚心出售,御景上城 -罗浮广场,3室2厅 | 111.1平米 | 东南 | 简装 | 高楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,77,"6,931元/平"
恒大青年城标准精装三房，采光户型很好,恒大青年城 -三岔路口,3室2厅 | 100平米 | 西南 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 6个月以前发布,70,"7,000元/平"
顺平街76号 4室2厅 南 北,顺平街76号 -三里坪,4室2厅 | 136平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,50,"3,677元/平"
荣瑞南滨 3室1厅 西,荣瑞南滨 -三岔路口,3室1厅 | 60平米 | 西 | 精装 | 低楼层(共33层)  | 塔楼,1人关注 / 7个月以前发布,43.5,"7,250元/平"
三里坪原装电梯房，采光充足无遮挡,南滨大厦 -三里坪,3室2厅 | 123平米 | 东南 南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 3个月以前发布,85,"6,911元/平"
罗浮阳光 3室2厅 东南,罗浮阳光 -西客站,3室2厅 | 105.6平米 | 东南 | 其他 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,47,"4,451元/平"
西外通锦国际广场高品质小区精装三居室，拎包入住！,通锦·国际广场 -罗浮广场,3室2厅 | 91.16平米 | 西南 | 精装 | 低楼层(共27层)  | 塔楼,2人关注 / 一年前发布,85,"9,325元/平"
市内国税局对边9楼精品2房家具家电齐全21万售,来凤路69号 -中心广场,2室1厅 | 57平米 | 东 南 北 | 精装 | 高楼层(共10层)  | 板楼,61人关注 / 一年前发布,21,"3,685元/平"
凤凰五小2楼97平3房光线户型好交通方便35万,肖公庙路131号 -北客站,3室2厅 | 97平米 | 东南 | 简装 | 低楼层(共9层)  | 暂无数据,4人关注 / 一年前发布,34.98,"3,607元/平"
金龙大道旁3房毛坯房看房方便楼层适中采光通透,瓮福小区 -金龙大道,3室2厅 | 95平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,3人关注 / 8个月以前发布,59,"6,211元/平"
升华广场花园小区中迪国际社区三房双卫户型,中迪·国际社区 -南客站,3室2厅 | 98.2平米 | 东 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,68,"6,925元/平"
西城名苑 3室2厅 西南,西城名苑 -金龙大道,3室2厅 | 94.47平米 | 西南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,75,"7,940元/平"
罗浮阳光精装大四房拎包入住带大圆角阳台视野采光巴适,罗浮阳光 -西客站,4室2厅 | 156平米 | 东南 | 精装 | 高楼层(共17层)  | 板楼,10人关注 / 一年前发布,80,"5,129元/平"
仁和春天国际花园 3室2厅 东南,仁和春天国际花园 -金龙大道,3室2厅 | 89.59平米 | 东南 | 精装 | 高楼层(共30层)  | 板塔结合,2人关注 / 4个月以前发布,85,"9,488元/平"
花园小区，配套设施齐全，交通便利。,通锦国际嘉园Ⅲ期 -罗浮广场,4室2厅 | 129.8平米 | 东 | 毛坯 | 高楼层(共18层)  | 塔楼,24人关注 / 一年前发布,98,"7,551元/平"
标准精装套二 户型方正 家具家电齐全保养好,上观南城 -南客站,2室2厅 | 75平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,5人关注 / 9个月以前发布,59,"7,867元/平"
新小区，位置好，户型好，业主诚心卖,兴诚·锦云府 -南客站,3室2厅 | 89.52平米 | 东南 南 | 毛坯 | 低楼层(共32层)  | 塔楼,1人关注 / 6个月以前发布,69,"7,708元/平"
中层 精装修三房，出门就是运动公园,熙河湾 -金龙大道,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共10层)  | 塔楼,157人关注 / 一年前发布,45,"5,000元/平"
