标题,开发商,房子信息,发布信息,售价/万,单价
新上优质大四房 高楼层采光好 直望北龙湖 视野好,鑫苑名家 -北站,4室2厅 | 190.77平米 | 南 北 | 简装 | 中楼层(共23层)  | 板塔结合,2人关注 / 9天以前发布,265,"13,892元/平"
CBD大玉米旁 永威品质 精装复式3室 4号线地铁口,永威翡翠城 -通泰路,3室2厅 | 113.32平米 | 东 | 精装 | 中楼层(共9层)  | 板塔结合,52人关注 / 8个月以前发布,220,"19,415元/平"
锦艺纯南小三房  精装修满五唯一   业主诚心出售,锦艺国际华都（三期）月星家居广场 -热电厂,3室1厅 | 83.59平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 3个月以前发布,106,"12,681元/平"
精装三房，诚心出售  创新街 管外  双地铁,民安尚郡 -正商城,3室2厅 | 129.14平米 | 东 西 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,165,"12,777元/平"
新上 思达外国单价6600》南北通透，出门地铁口,宋砦小区3号院 -绿茵广场,3室2厅 | 128.34平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,84,"6,546元/平"
省中医院 11年两梯四户 双气电梯 满五年唯一 三室两厅,丰庆华府 -绿茵广场,3室2厅 | 100.33平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,16人关注 / 7个月以前发布,152,"15,151元/平"
澜湾精装修南北通大三房，视野开阔，业主着急出售,绿都澜湾桂园 -橄榄城,3室2厅 | 125.05平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,7人关注 / 8个月以前发布,173.9,"13,907元/平"
金色嘉园  多层房 采光无遮挡  配套齐全 上学方便,金色嘉园 -高新梧桐,3室2厅 | 121.9平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,16人关注 / 5个月以前发布,165,"13,536元/平"
房子满五年，文化绿城通透方正三房,文化绿城 -省中医院,3室2厅 | 134.34平米 | 东 | 简装 | 低楼层(共8层)  | 板楼,110人关注 / 一年前发布,135,"10,050元/平"
小区位于二七万达广场旁，地铁5号线，7号线地铁口,富华花苑 -二七万达,3室2厅 | 115.22平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,96,"8,332元/平"
好楼层 采光好 精装修 税费少,翰林国际城桃李园小区 -高新新郑大,3室2厅 | 129.34平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,180,"13,917元/平"
满五唯一，四开间朝南，南边无遮挡，，交通便利。,祝福红城四期 -高新梧桐,3室2厅 | 90.79平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,119,"13,108元/平"
次新房 建业三期 精装修 带电梯  自住看房方便,建业城市花园 -燕庄,3室2厅 | 157.97平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,25人关注 / 一年前发布,220,"13,927元/平"
郑飞家园，一梯两户，产权清晰，急售,郑飞家园 -二七万达,3室1厅 | 80.58平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 9个月以前发布,89.9,"11,157元/平"
锦绣山河玉畅园，精装修，88平加10平方面积。三室满五,锦绣山河玉畅园 -万客来,3室1厅 | 88.18平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,73人关注 / 一年前发布,99,"11,228元/平"
滨河洋房三四五复式精装拎包入住186平，可按揭带车库,滨河帝城 -新郑城区,4室2厅 | 186.56平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,22人关注 / 一年前发布,135,"7,237元/平"
楼层低看房效果好简单装修 西边户 双气,金牛水岸国际花园 -橄榄城,3室2厅 | 105.11平米 | 西 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,102,"9,705元/平"
北三环 精装双气双卫三房，入户门厅，业主诚心出售,思达大河春天A区 -绿茵广场,3室2厅 | 145.21平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,145,"9,986元/平"
地铁口，康桥品质，精装双卫大三房，满五唯一,康桥上城品 -儿童公园,3室1厅 | 115.41平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 2个月以前发布,176,"15,250元/平"
郑汴路地铁3号线年底方便双气出入方便满五唯一,龙凤苑 -东建材,3室1厅 | 131.5平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,14人关注 / 5个月以前发布,143,"10,875元/平"
临河小高层 一梯两户 满五唯一 大三房 业主诚心出售,百合花苑 -燕庄,3室2厅 | 150.17平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,14人关注 / 9个月以前发布,165,"10,988元/平"
地铁口花园社区大复式，诚心出售,枫林花苑 -南阳路,5室1厅 | 189.13平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,125,"6,610元/平"
万达商圈精装大3房，中间楼层，拎包即可以住。,万千世纪城 -二七万达,3室2厅 | 136.47平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,3人关注 / 8个月以前发布,170,"12,457元/平"
交通便利 配套成熟 面积大 单价低  看房方便,康桥花园 -凤凰路,3室2厅 | 130.68平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,4人关注 / 2个月以前发布,205,"15,688元/平"
步梯顶楼复式，满五唯一，南北通透，简单装修,滨河帝城 -新郑城区,3室2厅 | 132.71平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 10个月以前发布,57,"4,296元/平"
南北通透大四房 满五唯一 带大露台 业主诚心卖,五号街坊 -二七万达,4室1厅 | 122.64平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,9人关注 / 7个月以前发布,150,"12,231元/平"
大学路泰宏建业国际城 南北三房,泰宏建业国际城11号院 -万客来,3室2厅 | 89.99平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,38人关注 / 7个月以前发布,117,"13,002元/平"
16年新装修 拎包入住  双地铁口3房,广发花园 -未来大厦,3室1厅 | 115.77平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,139,"12,007元/平"
出门地铁口 通透双卫大三房 满五唯一 产权清晰 诚售,舒馨花园 -陈寨,3室2厅 | 127.5平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,79人关注 / 5个月以前发布,92,"7,216元/平"
威尼斯水城三期大院精装双气三房诚心出售,威尼斯水城三期西区 -五龙口,3室2厅 | 125.03平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 2个月以前发布,138,"11,038元/平"
康桥品质 龙湖品质小区，环境优美，诚心出售,康桥溪月 -南龙湖商圈,2室2厅 | 81.33平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,60,"7,378元/平"
通透三房，精装修，小区安静，绿化充足，诚售，1层。,思达大河春天A区 -绿茵广场,3室2厅 | 110.55平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,135,"12,212元/平"
南北通透大四房 满五唯一 带大露台 业主诚心卖,五号街坊 -二七万达,4室1厅 | 122.64平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,9人关注 / 7个月以前发布,150,"12,231元/平"
大学路泰宏建业国际城 南北三房,泰宏建业国际城11号院 -万客来,3室2厅 | 89.99平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,38人关注 / 7个月以前发布,117,"13,002元/平"
步梯顶楼复式，满五唯一，南北通透，简单装修,滨河帝城 -新郑城区,3室2厅 | 132.71平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 10个月以前发布,57,"4,296元/平"
前排精装  满五唯一  看房方便 诚心出售,康桥朗城一号院 -新北站,3室2厅 | 89.9平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 20天以前发布,142,"15,796元/平"
诚售！精装 双气 通透 满五年  看房方便！,城市山水 -兴华南街,2室2厅 | 111.37平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 18天以前发布,128,"11,494元/平"
瀚宇天悦 精装双气大三房，满五年不唯一，房本在售,瀚宇天悦一期 -索凌路北段,3室2厅 | 116.74平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 21天以前发布,186,"15,933元/平"
金水区 大两房 ，交通方便， 看房提前联系 产权明晰,海星花园 -未来大厦,2室2厅 | 89.48平米 | 东 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 18天以前发布,96,"10,729元/平"
紫兰苑精品小三房 满五 全天采光好 业主置换急售,万科城紫兰苑 -高新万科,3室1厅 | 85.11平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 19天以前发布,101,"11,867元/平"
优质急售大三房 装修好 采光好,鑫苑名家 -北站,3室2厅 | 134.95平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,220,"16,303元/平"
大观业主自住两房 价格不算垫底但装修绝无第二套,大观国际居住区 -燕庄,2室2厅 | 98.63平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 22天以前发布,165,"16,730元/平"
86%得房率，方正洋房大横厅，自住精装，满二，诚意,融创城开龙府1号院 -惠济万达,3室2厅 | 127.16平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,2人关注 / 25天以前发布,259,"20,369元/平"
正商华钻通透两房 精装修，满五年，采光好，诚意出售,正商华钻澜庭3号院 -蓝钻商圈,2室1厅 | 89.68平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 25天以前发布,117,"13,047元/平"
郦都一居室双气年代新人车分流，旁边配套齐全，近地铁,亚星盛世郦都 -兴华南街,1室0厅 | 37.17平米 | 北 | 简装 | 高楼层(共32层)  | 板塔结合,2人关注 / 13天以前发布,31.5,"8,475元/平"
正商新蓝钻F区 2室2厅 东南,正商新蓝钻F区 -蓝钻商圈,2室2厅 | 89.16平米 | 东南 | 简装 | 高楼层(共26层)  | 塔楼,0人关注 / 15天以前发布,112,"12,562元/平"
南阳路多层四楼 纯南户小户型 一室一厅,南阳路203号院 -南阳路,1室1厅 | 35.28平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 12天以前发布,23,"6,520元/平"
洋房两居室，通透户型，装修精美,远大理想城 -远大理想城,2室2厅 | 94.68平米 | 东 南 北 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 14天以前发布,137,"14,470元/平"
一手业主，中间楼层，诚心出售，全明户型,卫生路1号院 -大石桥,2室1厅 | 57.18平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 13天以前发布,38,"6,646元/平"
满五年，地铁口，一梯两户，南北通透大两房，,安泰金苑 -索凌路北段,2室2厅 | 89.94平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 10天以前发布,88,"9,785元/平"
5号院新上精装南北户型 采光好 中间层 看房方便,阳光城5号院 -阳光城,3室1厅 | 85.82平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 9天以前发布,135,"15,731元/平"
小区中间位置 不临街不临路装修一次未住全新代车位,有色地质家园B区 -白沙,4室2厅 | 166.83平米 | 西南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 25天以前发布,160,"9,591元/平"
地铁口，均价6300，大三房，一梯两户,清华大溪地九号院 -荥阳城区,3室2厅 | 133.08平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 26天以前发布,76,"5,711元/平"
正商城裕园二号院，人车分流，一梯一户，适合居住,正商城裕园2号院 -正商城,3室2厅 | 135.65平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,2人关注 / 7个月以前发布,165,"12,164元/平"
业主诚心出售，2022年精装修，拎包入住,耿河小区 -电力新村,2室1厅 | 63.09平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,37.8,"5,992元/平"
精装温馨小两房 拎包入住 看房随时,亚星玉晖园 -万客来,2室1厅 | 56.67平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,6人关注 / 2个月以前发布,64,"11,294元/平"
西城一品，诚心出售，采光好，装修舒适适宜居住,惠众西城一品 -热电厂,2室1厅 | 91.52平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 2个月以前发布,114,"12,457元/平"
双气新小区，物业好 配套成熟 文化路有地铁7号线,瀚宇新城 -索凌路北段,2室2厅 | 92.59平米 | 南 | 简装 | 中楼层(共27层)  | 板楼,20人关注 / 7个月以前发布,99,"10,693元/平"
师院家属院！朝南3房双阳台！全新改造，住新房,郑州师院淮南街家属院 -市财政局,3室1厅 | 93.85平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,74人关注 / 一年前发布,66,"7,033元/平"
五龙新城香谢园，中间楼栋，低楼层朝南三房，不挡光,五龙新城香榭园 -五龙口,3室2厅 | 86.02平米 | 南 | 精装 | 34层  | 板塔结合,0人关注 / 2个月以前发布,110,"12,788元/平"
南阳路双地铁口（低楼层，满五唯一  20万精装修）急售,林荫大道 -南阳路,2室2厅 | 82.15平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,88人关注 / 一年前发布,90,"10,956元/平"
东向小三房 看房方便 诚心出售 精装修,五建新街坊3号院 -热电厂,3室1厅 | 86.77平米 | 东 | 精装 | 低楼层(共33层)  | 板楼,23人关注 / 7个月以前发布,111.6,"12,862元/平"
师院家属院！朝南3房双阳台！全新改造，住新房,郑州师院淮南街家属院 -市财政局,3室1厅 | 93.85平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,74人关注 / 一年前发布,66,"7,033元/平"
仅6200，满五唯一（74平46万，铺有地暖，随时可看可签,饮食公司院 -绿茵广场,2室1厅 | 73.3平米 | 南 北 | 精装 | 高楼层(共7层)  | 平房,65人关注 / 一年前发布,43,"5,867元/平"
精装三房，得房率高，楼层好优质房源，看房方便,鸿园玉兰苑二期 -鸿园片区,3室2厅 | 136.19平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,18人关注 / 6个月以前发布,222,"16,301元/平"
满五唯一 中间楼层  看房随时   诚售,四月天 -海洋馆,3室2厅 | 116.09平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,124,"10,682元/平"
8号地铁口 南北通 小三房 拎包入住 业主诚售 随时看房,五龙新城香榭园 -五龙口,3室2厅 | 88.12平米 | 南 北 | 精装 | 33层  | 塔楼,9人关注 / 6个月以前发布,119,"13,505元/平"
地铁口，次新小区，精装修业主急售,升龙城11号院 -兴华南街,1室1厅 | 57.73平米 | 西 | 精装 | 高楼层(共33层)  | 板塔结合,61人关注 / 4个月以前发布,47.5,"8,228元/平"
正弘尚文苑，125.89平，带装修100万，纯边户,正弘.尚文苑 -航空港商圈,3室2厅 | 125.89平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,94,"7,467元/平"
房子满五唯一，楼层好，采光充足，业主诚心出售,滨河花园(紫辰路) -蓝钻商圈,3室1厅 | 98.7平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,110,"11,145元/平"
清水苑大四房，南北通透，格局无改动，随时看房,秀水苑 -鸿园片区,4室2厅 | 162.19平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,210,"12,948元/平"
海棠园 低楼层采光好，精装三室，,海棠园 -沙口路,3室2厅 | 100.54平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,41人关注 / 10个月以前发布,108,"10,742元/平"
普罗旺世   中间楼层  采光好  业主诚心出售,普罗旺世波特兰 -普罗旺世,3室2厅 | 87.99平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,3人关注 / 2个月以前发布,133.8,"15,207元/平"
城东路二里岗 满五年 附带地下室 南北向,白鸽集团郑玻家属院 -幸福港湾,3室1厅 | 101.04平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,85,"8,413元/平"
康桥物业 精装双气 没有差额税 前排无遮挡 门口有商场,康桥朗城3号院 -新北站,3室2厅 | 89.27平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,25人关注 / 8个月以前发布,145,"16,243元/平"
满五，经典复式，着急卖，带大楼台，自住保养好。,亚新美好时光 -南阳路,3室2厅 | 159.14平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,84人关注 / 一年前发布,134,"8,421元/平"
房子产权清晰税费少业主诚心卖房,郑飞家园 -二七万达,2室1厅 | 58.64平米 | 西北 | 简装 | 低楼层(共7层)  | 塔楼,1人关注 / 2个月以前发布,53.5,"9,124元/平"
房子采光好 视野无遮挡 看房方便 业主诚心出售,瀚宇新城 -索凌路北段,3室2厅 | 131.23平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,9人关注 / 3个月以前发布,133,"10,135元/平"
此户型，采光充足，楼层好，视野宽阔，配套好,祝福红城三期 -高新梧桐,3室2厅 | 90.06平米 | 东南 | 精装 | 中楼层(共34层)  | 板塔结合,2人关注 / 5个月以前发布,105,"11,659元/平"
鑫城花园 3室2厅 南 北,鑫城花园 -中牟城区,3室2厅 | 151.24平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,68,"4,497元/平"
低楼层 出行方便 停车免费 通透全明户型 急售！！！,格林假日 -恒大绿洲,2室2厅 | 92.68平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,100,"10,790元/平"
双气+新风空调 中间楼层 冬暖夏凉 诚心出售,华裕小区 -兴华南街,3室2厅 | 141.29平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,32人关注 / 一年前发布,128,"9,060元/平"
急售 绿云小区两房  新装修中间楼层，业主诚心出售,绿云小区白雪里 -市财政局,2室1厅 | 68.17平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,17人关注 / 3个月以前发布,78,"11,442元/平"
普罗旺世经典户型，带两个大露台，多层2楼，看房方便,普罗旺世佛罗伦斯西院 -普罗旺世,3室2厅 | 104.11平米 | 西 | 简装 | 低楼层(共6层)  | 板楼,83人关注 / 一年前发布,220,"21,132元/平"
双卫南北通透单价6200，有钥匙。,富田兴龙湾 -南龙湖商圈,3室2厅 | 120.07平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,75,"6,247元/平"
业主诚心出售，小三房，采光充足， 中间楼层 。,祝福红城一期 -高新梧桐,3室2厅 | 90.71平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,16人关注 / 11个月以前发布,81,"8,930元/平"
五龙新城双气精装通透小三房，人车分流,五龙新城香榭园 -五龙口,3室2厅 | 88.08平米 | 南 北 | 精装 | 33层  | 塔楼,0人关注 / 2个月以前发布,118,"13,397元/平"
翰林国际 全新毛坯大两居 新风地暖密码锁,翰林国际城孟园 -高新公园道,2室2厅 | 87.15平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,5人关注 / 3个月以前发布,110,"12,622元/平"
房子满五年，高楼层视野好，简装修，看房有钥匙,鑫苑鑫城 -商业中心,2室2厅 | 74.57平米 | 南 | 简装 | 高楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,129,"17,300元/平"
贾鲁河畔，配套齐全，精装婚房拎包入住，随时看房,美景麟起城一号院 -惠济万达,3室2厅 | 90.1平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,128,"14,207元/平"
曼哈顿商圈 单位家属院 双气小区 车位充裕 多层三楼,金水路9号院附2号院 -未来大厦,2室2厅 | 77.98平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 7个月以前发布,81,"10,388元/平"
鑫城花园 3室2厅 南 北,鑫城花园 -中牟城区,3室2厅 | 151.24平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,68,"4,497元/平"
低楼层 出行方便 停车免费 通透全明户型 急售！！！,格林假日 -恒大绿洲,2室2厅 | 92.68平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,100,"10,790元/平"
双气+新风空调 中间楼层 冬暖夏凉 诚心出售,华裕小区 -兴华南街,3室2厅 | 141.29平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,32人关注 / 一年前发布,128,"9,060元/平"
双卫南北通透单价6200，有钥匙。,富田兴龙湾 -南龙湖商圈,3室2厅 | 120.07平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,75,"6,247元/平"
曼哈顿商圈 单位家属院 双气小区 车位充裕 多层三楼,金水路9号院附2号院 -未来大厦,2室2厅 | 77.98平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 7个月以前发布,81,"10,388元/平"
贾鲁河畔，配套齐全，精装婚房拎包入住，随时看房,美景麟起城一号院 -惠济万达,3室2厅 | 90.1平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,128,"14,207元/平"
一中旁 温馨小2房 小区赶紧整洁,颖河路52-54-55-56-57-58-59号 -郑州一中,2室1厅 | 60.73平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,38人关注 / 11个月以前发布,33,"5,434元/平"
业主诚心出售，小三房，采光充足， 中间楼层 。,祝福红城一期 -高新梧桐,3室2厅 | 90.71平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,16人关注 / 11个月以前发布,81,"8,930元/平"
次新小区 双气小户型 精装修 税费少 看房方便,瀚宇天悦三期 -索凌路北段,2室1厅 | 52.65平米 | 南 | 简装 | 中楼层(共23层)  | 板塔结合,151人关注 / 一年前发布,54.5,"10,352元/平"
省体旁 大两房 双阳台 中间楼层精装修 业主急售,冠军花园 -索凌路北段,2室1厅 | 81.58平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,68人关注 / 一年前发布,72,"8,826元/平"
宇通花园 一楼双气三房，带地下室 ！,宇通花园南区 -凤凰路,3室2厅 | 125.67平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,163,"12,971元/平"
香桔市小两房  满五年唯一 东风路地铁口,香桔市 -省中医院,2室1厅 | 66.5平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,12人关注 / 5个月以前发布,67,"10,076元/平"
此房满五年 唯一住房 看房方便 诚心出售,砖牌坊街1号院 -二七广场,2室1厅 | 53.2平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,52,"9,775元/平"
三环内 15年小区 精装2居  临公园 近地铁,开祥御龙城 -绿茵广场,2室2厅 | 87.15平米 | 南 | 简装 | 30层  | 板楼,4人关注 / 2个月以前发布,126,"14,458元/平"
俭学街社区 文化路63号院 新上房源 好楼层 拎包入住,文化路63号院 -科技市场,2室1厅 | 60.97平米 | 南 北 | 简装 | 中楼层(共4层)  | 板塔结合,1人关注 / 3个月以前发布,155,"25,423元/平"
万科商圈，满五唯一，万科品牌物业，纯南户型,万科城紫兰苑 -高新万科,3室2厅 | 89.35平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,25人关注 / 5个月以前发布,108,"12,088元/平"
渠东路  东风渠  满五唯一  看房随时 诚心出售,博客工社 -徐寨,2室1厅 | 69.54平米 | 南 | 其他 | 低楼层(共11层)  | 塔楼,2人关注 / 1个月以前发布,85,"12,224元/平"
年代新 满五年小三房  楼层好  采光好 业主诚心出售,非常国际二期 -枣庄,3室2厅 | 87.46平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,1人关注 / 2个月以前发布,123,"14,064元/平"
清水苑大四房，双阳台，我有钥匙，随时看房！！！,清水苑 -鸿园片区,4室2厅 | 154.09平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,209,"13,564元/平"
税费正常 交通便利 满五不唯一住房明厨明卫采光充足,老城绿云小区 -中牟城区,3室2厅 | 119.93平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,2人关注 / 3个月以前发布,50,"4,170元/平"
70年产权住宅，采光好 看房随时 诚心出售,首座国际公寓 -燕庄,1室1厅 | 52.09平米 | 南 | 简装 | 高楼层(共29层)  | 塔楼,57人关注 / 8个月以前发布,52,"9,983元/平"
建业天筑同款 纯铝板外立面 细节品质很好 通透,建业春天花园二期 -象湖,3室2厅 | 119平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,2人关注 / 2个月以前发布,150,"12,606元/平"
小区人车分流 房子满五唯一全明户型,罗马假日 -汽配大世界,2室2厅 | 92.78平米 | 南 西 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 2个月以前发布,116,"12,503元/平"
诚心出售  万科品质  交通便利  税费低,万科城采薇苑 -高新万科,3室2厅 | 88.62平米 | 东 北 | 精装 | 低楼层(共34层)  | 板塔结合,8人关注 / 4个月以前发布,98,"11,059元/平"
毛坯小三房 楼层好采光无忧 满二 税费少 随时看房,翰林雅苑A区 -象湖,3室2厅 | 87.85平米 | 南 | 其他 | 中楼层(共14层)  | 板楼,1人关注 / 4个月以前发布,80,"9,107元/平"
亚星望江居 次新小区 满五唯一 两梯四户,亚星望江居 -万客来,2室1厅 | 89.11平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,2人关注 / 4个月以前发布,97,"10,886元/平"
金水路玉凤路一号线 明星成熟小区 小区环境好有篮球场,名门世家 -燕庄,2室2厅 | 102.52平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,29人关注 / 8个月以前发布,175,"17,070元/平"
视野充足，交通便利，配套成熟，楼层好！,绿城百合公寓风荷园 -熙地港,2室2厅 | 103.69平米 | 东 西 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 14天以前发布,239,"23,050元/平"
陇海路2号线地铁口嘉佰丽园 精装复式 南北通透大四房,嘉佰丽园 -紫荆山,3室2厅 | 173.27平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,138,"7,965元/平"
8号D铁口华强旁科创小雪初中在门口人车分流采光较好,五龙新城香榭园 -五龙口,3室2厅 | 82.35平米 | 南 | 精装 | 33层  | 板楼,2人关注 / 2个月以前发布,105,"12,751元/平"
好楼层  精装修 前面无遮挡 视野采光好,润丰锦尚 -航空港商圈,3室2厅 | 130.53平米 | 南 北 | 精装 | 中楼层(共15层)  | 塔楼,18人关注 / 10个月以前发布,95,"7,279元/平"
诚心出售  万科品质  交通便利  税费低,万科城采薇苑 -高新万科,3室2厅 | 88.62平米 | 东 北 | 精装 | 低楼层(共34层)  | 板塔结合,8人关注 / 4个月以前发布,98,"11,059元/平"
视野充足，交通便利，配套成熟，楼层好！,绿城百合公寓风荷园 -熙地港,2室2厅 | 103.69平米 | 东 西 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 14天以前发布,239,"23,050元/平"
名门国际  新上满五年唯一住两房   拎包住看房有钥匙,名门国际 -财富广场,2室2厅 | 55.64平米 | 北 | 简装 | 高楼层(共32层)  | 塔楼,19人关注 / 5个月以前发布,52,"9,346元/平"
2013年建 纯南标准一房一厅 人车分流 环境优美 地铁口,滨河绿苑 -燕庄,1室1厅 | 55.88平米 | 南 | 精装 | 30层  | 板塔结合,19人关注 / 5个月以前发布,75,"13,422元/平"
金水区一环80多万的小三房中间楼层南北通透诚心出售,康晖美家花园 -沙口路,3室2厅 | 88.22平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,88,"9,976元/平"
舒适三居室，中间楼层，采光好，急售好房,升龙汇金广场一号院 -南阳路,3室1厅 | 91.46平米 | 南 | 简装 | 高楼层(共26层)  | 塔楼,2人关注 / 2个月以前发布,106,"11,590元/平"
