标题,开发商,房子信息,发布信息,售价/万,单价
春天花园 中间楼层 纯毛坯 带23朝南车库 看房方便,春天花园 -能达商务区,3室1厅 | 124.86平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,140,"11,213元/平"
首排，前公园！上育才，楼层好，视野开阔房东诚售！,果园南苑 -金沙,2室2厅 | 96.54平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,38人关注 / 一年前发布,99,"10,255元/平"
文亮小苑78平米5楼毛坯明厨明卫套型好安置房无大税的,文亮小苑 -城东,2室1厅 | 78平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,145,"18,590元/平"
房东诚心出售，户型方正。楼层采光视野好。,罗福宫 -先锋,3室2厅 | 122平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,0人关注 / 9天以前发布,160,"13,115元/平"
景瑞望府 精装修 拎包入住 诚心出售,景瑞望府 -能达商务区,2室1厅 | 96.11平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 8天以前发布,120,"12,486元/平"
星苏二期 毛坯两房 楼层好采光佳 满五唯一急售,星苏花园二期 -苏通,2室2厅 | 95.15平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 10天以前发布,76,"7,988元/平"
紫东花苑，诚心出售，采光足，有车库,紫东花苑 -城东,2室1厅 | 75.23平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 8个月以前发布,130,"17,281元/平"
上海路低价好房 拎包入住 中上楼层诚心出售  价格可议,汇园 -能达商务区,2室1厅 | 69.37平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,68,"9,803元/平"
前排全天采光 好楼层两室两厅带车库 满二无大税,幸福锦园 -幸福,2室2厅 | 86.65平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,11人关注 / 6个月以前发布,108,"12,464元/平"
万和 2房 房东诚心 价到签字,万和家园（开发区） -能达商务区,2室2厅 | 72.96平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,25人关注 / 10个月以前发布,82,"11,240元/平"
绿地新都会 精装修三房 拎包入住 业主诚心出售,南通绿地新都会 -城东,3室2厅 | 113.04平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,195,"17,251元/平"
本房户型格局好，采光好，业主诚心出售,纺工新村 -启东市,2室1厅 | 58.06平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,133.8,"23,046元/平"
首府名邸 出行方便，户型方正，居住舒适，政府旁..,首府名邸 -金沙,2室2厅 | 120.61平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,140,"11,608元/平"
绿地新都会 精装修三房 拎包入住 业主诚心出售,南通绿地新都会 -城东,3室2厅 | 113.04平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,195,"17,251元/平"
房东诚心出售，看房方便，层次好,罗福宫 -先锋,3室2厅 | 95.95平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 5个月以前发布,120,"12,507元/平"
郭里园好楼层，拎包入住，满二无大税,郭里园 -濠河,2室1厅 | 60.04平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,115.8,"19,288元/平"
优山美地花园一室一厅一卫 整套 精装诚心出售,优山美地花园北区 -军山,1室1厅 | 57.63平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 4个月以前发布,36.6,"6,351元/平"
学田苑，二楼楼层好，采光很好，诚心,学田苑 -城东,3室1厅 | 76平米 | 南 | 简装 | 6层  | 板楼,13人关注 / 一年前发布,155,"20,395元/平"
东城花园  急售  急售 急售  中间楼层 满两年,东城花园 -观音山,2室1厅 | 87.09平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,9人关注 / 11个月以前发布,120,"13,779元/平"
文峰旁学士府楼中楼精装修50万带车库前排运河急售加油,学士府 -虹桥,3室2厅 | 148平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,9人关注 / 10个月以前发布,208,"14,055元/平"
同和嘉苑南区 前排 全天采光 精装修 家具家电全留,同和嘉苑南区 -观音山,1室1厅 | 59.77平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,6人关注 / 4个月以前发布,85,"14,222元/平"
此房满二  两室朝南  清爽装修   诚心出售,郭里园 -濠河,2室1厅 | 65.15平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,126,"19,340元/平"
天虹花园 电梯大三室 还有  车库 诚心出售,天虹花园 -城东,3室2厅 | 139.23平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,5人关注 / 6个月以前发布,270,"19,393元/平"
锦城苑楼中楼精装修设施全拎包入住160万,锦城苑 -濠河,2室1厅 | 62.47平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,125,"20,010元/平"
新建路新村  户型方正 装修清爽  诚心卖,新建路新村 -任港,2室1厅 | 63.73平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,118,"18,516元/平"
看房方便 有钥匙 中上层 采光充足,福瑞嘉园 -金沙,2室2厅 | 95.82平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,146.8,"15,321元/平"
启秀，位置好，楼层好，采光充足，配套设施齐全,姚港路12号院 -任港,2室1厅 | 65.74平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 4个月以前发布,135,"20,536元/平"
郭里园  户型方正 清爽通透 院子30平,郭里园 -濠河,2室1厅 | 57.53平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,125,"21,728元/平"
精装修小户型，双南双阳台，诚意出售！,幸福锦园 -幸福,2室2厅 | 86.9平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,92,"10,587元/平"
房东诚心卖 看中可以谈 中上层 看房方便,盛鑫·城东雅苑 -金沙,2室2厅 | 92.07平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 1个月以前发布,141,"15,315元/平"
瑞兴花园 南北通两房 采光好  双阳台 随时可看,瑞兴花园 -能达商务区,2室2厅 | 96平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,96,"10,000元/平"
满五唯一 业主诚心出售，看房方便,星辰花园 -能达商务区,2室1厅 | 79.3平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,74,"9,332元/平"
市芯南大街-电视塔旁-精装跃层单身精品小公寓出售,安惠国际 -濠河,1室1厅 | 38.72平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,30,"7,748元/平"
此房户型方正，视野开阔，清水毛坯任意装修。,朝阳花苑 -小海,1室1厅 | 75.5平米 | 东南 | 毛坯 | 低楼层(共17层)  | 塔楼,2人关注 / 一年前发布,102,"13,510元/平"
楼栋位置好 中创区旁  精装修两房 诚意出售,世纪东城 -新城,2室1厅 | 76.73平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,106,"13,815元/平"
满五年无大税  好地段 好位置  1号线旁 房东诚心卖,中南世纪城北区 -新城,2室2厅 | 117.4平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,251,"21,380元/平"
地铁口  婚房装修  经典两房 出行方便 小区已改造,将军二园 -任港,2室2厅 | 70平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 6个月以前发布,89.8,"12,829元/平"
此房满五不唯一，启秀， 精装修， 好楼层，采光无遮挡,景华城 -任港,2室2厅 | 98.27平米 | 南 | 精装 | 30层  | 板楼,1人关注 / 1个月以前发布,188,"19,131元/平"
房东诚心  全新未入住 满五无大税 带地上北7平车库,怡居苑 -永兴,2室1厅 | 82.74平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,13人关注 / 4个月以前发布,115,"13,899元/平"
融悦华庭，满二无大税，精装修，诚心急售,融悦华庭 -秦灶,2室1厅 | 88.54平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,123,"13,893元/平"
公园佳苑 边户 两室朝南 楼层好，有车库 房东诚心出售,公园佳苑北区 -唐闸,2室1厅 | 78.26平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,100,"12,778元/平"
此房满五唯一，户型方正，格局好。,长龙一村东区 -启东市,2室1厅 | 93.25平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,112.8,"12,097元/平"
能达公元旁 世茂公园两室 精装修  中间楼层 拎包入住,世茂公元 -能达商务区,2室1厅 | 67.83平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,95,"14,006元/平"
此房满二，房东诚心，全天采光，视野佳,碧桂园时代悦城 -观音山,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,232,"20,351元/平"
雅学院，精装修二房，带19平车库，景观楼层，采光好。,雅学苑 -观音山,2室1厅 | 75.39平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 1个月以前发布,103,"13,663元/平"
育才 万达 水街 南山湖公园旁 好楼层采光无遮挡,南山湖一号 -金沙,3室1厅 | 100.43平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,24人关注 / 一年前发布,172,"17,127元/平"
万通城精装房满五唯一，楼层好，采光好,万通城 -观音山,3室2厅 | 88.24平米 | 南 | 简装 | 高楼层(共24层)  | 板塔结合,17人关注 / 10个月以前发布,105,"11,900元/平"
皇 家花园 114.48平 精装修 业主诚心出售 看房方便！,银洲·皇家花园 -秦灶,3室1厅 | 114.48平米 | 南 北 | 精装 | 25层  | 板楼,19人关注 / 10个月以前发布,198,"17,296元/平"
满五唯一  精装修拎包入住， 有车位,华强城 -秦灶,2室1厅 | 86.09平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,157.8,"18,330元/平"
郭里园，低楼层，精装拎包入住，空，出入方便,郭里园 -濠河,3室1厅 | 78.93平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,150,"19,005元/平"
房子满五唯一，精装修房东着急出售,星月花园 -军山,2室1厅 | 82.33平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,108,"13,118元/平"
楼层佳 采光好 户型方正 房东诚心出售,万科濠河传奇 -任港,2室1厅 | 90.43平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,8人关注 / 3个月以前发布,208,"23,002元/平"
星海花园小套楼中楼 装修 满二有车库  房东急卖,星海花园 -能达商务区,1室1厅 | 55.51平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 8个月以前发布,69,"12,431元/平"
满五唯一税率低  格局 视野开阔,纺工新村 -启东市,2室1厅 | 50.68平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,3人关注 / 一年前发布,123.8,"24,428元/平"
东站 地铁口 精装修 全天采光 随时看房,碧桂园时代悦城 -观音山,3室2厅 | 111.32平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,9人关注 / 5个月以前发布,230,"20,662元/平"
房子户型格局好没有变动，可以装修自己喜欢的风格,仁和锦居 -陈桥,2室2厅 | 105.42平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,98,"9,297元/平"
房东诚心  全新未入住 满五无大税 带地上北7平车库,怡居苑 -永兴,2室1厅 | 82.74平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,13人关注 / 4个月以前发布,115,"13,899元/平"
融悦华庭，满二无大税，精装修，诚心急售,融悦华庭 -秦灶,2室1厅 | 88.54平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,123,"13,893元/平"
房东诚心出售，看房方便，欢迎大家参观,书院坊 -观音山,2室1厅 | 89.87平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,5人关注 / 4个月以前发布,133,"14,800元/平"
房东忍痛割爱  精装带大平台   诚心出售,帝奥北城名郡 -秦灶,1室1厅 | 48.42平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,22人关注 / 一年前发布,48,"9,914元/平"
地铁口圆融旁 学士府精装两房 全天采光 诚心出售 满2,学士府 -虹桥,2室2厅 | 85.57平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,159.8,"18,675元/平"
世濠花园，毛坯好房，房东诚心出售,世濠花园 -观音山,1室1厅 | 66.22平米 | 南 | 毛坯 | 18层  | 板塔结合,10人关注 / 9个月以前发布,95,"14,347元/平"
融悦华庭精装两室房东自住的看房方便,融悦华庭 -秦灶,2室2厅 | 86.98平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,130,"14,946元/平"
三室一厅精装修地面车库13平无大税边户,幸福怡居 -幸福,3室2厅 | 113.56平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,2人关注 / 7个月以前发布,158,"13,914元/平"
精装小三房 看房方便 房东诚心卖 南山湖畔,碧桂园天玺湾 -金沙,3室2厅 | 106.95平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,175,"16,363元/平"
高新实小旁，电梯中间楼层，采光好，地理位置好,书香华府小区 -金沙,2室1厅 | 85.5平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,3人关注 / 9个月以前发布,120,"14,036元/平"
育才旁   万达   水街    精装三房   满五唯一,盛鑫 ·南湖學府 -金沙,3室2厅 | 93.92平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,160,"17,036元/平"
竹韵花园140平大套精装修，满五唯一，有车库随时看房,竹韵花园 -能达商务区,3室2厅 | 139.85平米 | 南 北 | 精装 | 18层  | 板楼,1人关注 / 4个月以前发布,139.9,"10,004元/平"
橡树湾一期小高层 低密度 环境好,南通橡树湾 -能达商务区,2室1厅 | 87.01平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,125,"14,367元/平"
满五唯一，全屋净水， 全屋定制橱柜实木地板,华强城 -秦灶,2室2厅 | 85.04平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,165,"19,403元/平"
精装修zhongyang空调拎包入住，双南带院子，采光好,学田苑 -城东,2室1厅 | 64.5平米 | 南 | 精装 | 6层  | 板楼,2人关注 / 1个月以前发布,140,"21,706元/平"
橡树湾首排，精装修，满五唯一，房东诚心,南通橡树湾 -能达商务区,2室1厅 | 85.9平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,4人关注 / 7个月以前发布,128,"14,902元/平"
能达公园旁，精装两房，拎包入住,南通橡树湾 -能达商务区,2室2厅 | 90.41平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,138,"15,264元/平"
橡树湾一期小高层 低密度 环境好,南通橡树湾 -能达商务区,2室1厅 | 87.01平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,125,"14,367元/平"
银花苑  清爽装修 出行方便户型方正,银花苑 -濠河,3室1厅 | 72.84平米 | 南 | 简装 | 6层  | 板楼,0人关注 / 一年前发布,245,"33,636元/平"
中南世纪花城二期精装修 满二年 无大税 诚心出售,中南世纪花城二期 -新城,2室2厅 | 88.15平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,176.8,"20,057元/平"
满五唯一，户型方正，生活配套齐全,虹南小区 -金沙,3室2厅 | 99平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,80,"8,081元/平"
龙田花苑一期 满二 无大税 双阳台 看房方便,龙田花苑一期 -能达商务区,2室1厅 | 96.22平米 | 南 | 毛坯 | 低楼层(共21层)  | 板塔结合,1人关注 / 11个月以前发布,94,"9,770元/平"
房东忍痛割爱  精装带大平台   诚心出售,帝奥北城名郡 -秦灶,1室1厅 | 48.42平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,22人关注 / 一年前发布,48,"9,914元/平"
景瑞御府两室精装 位置好 观景房 看房子是比较方便的,景瑞御府 -军山,2室1厅 | 80.45平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,3人关注 / 7个月以前发布,155,"19,267元/平"
房东诚售 户型好 采光佳 精装拎包入住 通透户型,江海皇都私家花园 -金沙,4室2厅 | 152.38平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,215,"14,110元/平"
房东急售满五精装拎包入住价格可谈随时签约,和融•优山美地名邸 -能达商务区,2室2厅 | 86.64平米 | 南 | 精装 | 33层  | 板塔结合,1人关注 / 2个月以前发布,126,"14,543元/平"
弘阳上城地铁口 商品房 三房南北通透  精装拎包入住,弘阳上城 -观音山,3室2厅 | 116.14平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,203,"17,479元/平"
透格局 楼层好 采光好 配套齐全，满二年,星海花园 -能达商务区,2室1厅 | 95.75平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,5人关注 / 8个月以前发布,109,"11,384元/平"
中港城 三室毛坯  楼层好  采光佳 小区前排  有车位,中港城 -永兴,3室2厅 | 87.83平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,151,"17,193元/平"
视野开阔，出行方便，户型方正，居住方便舒适,世茂九龙庭 -能达商务区,3室1厅 | 126.28平米 | 南 | 精装 | 18层  | 板塔结合,1人关注 / 1个月以前发布,198,"15,680元/平"
翰林苑，首看好房，值得一观。。。。,翰林苑 -海安县,3室2厅 | 130平米 | 南 | 精装 | 30层  | 塔楼,1人关注 / 一年前发布,206,"15,847元/平"
此房房东诚心出售   户型好  采光好,碧桂园时代悦城 -观音山,3室2厅 | 114.16平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,27人关注 / 一年前发布,220,"19,272元/平"
中南熙悦  开发商精装修  采光无遮挡  业主诚心出售,中南熙悦(如皋市) -如皋市区,3室1厅 | 98.58平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,24人关注 / 一年前发布,119,"12,072元/平"
精装洋房社区  飞机户型 南北通 全通户型,中南熙悦(南通经济技术开发区) -能达商务区,3室2厅 | 98.5平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 4个月以前发布,196,"19,899元/平"
永旺东 精品三房全明户型采光充足看房请带墨镜,富力半岛花园 -张芝山,3室2厅 | 109.97平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 1个月以前发布,106,"9,639元/平"
崇秀小区洋房中间楼层，房型方正，有地下室33平。,崇秀小区 -海门,3室2厅 | 124.21平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,139.8,"11,256元/平"
金雅 顶楼 复式三室两厅 才80万,恒水鑫城 -长江,3室2厅 | 104.43平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,78,"7,470元/平"
高楼层，采光好，楼间距大，交通方便。,东飞花园 -兴东,3室1厅 | 136.81平米 | 南 | 毛坯 | 6层  | 板楼,3人关注 / 10个月以前发布,80,"5,848元/平"
全新毛坯 楼层好，户型方正，通 透 采光充足 环境优美,同慧嘉园 -海门,3室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,158.8,"13,573元/平"
时代悦城 三房两卫 东边户 诚心急售 大有境 贰号线,碧桂园时代悦城 -观音山,2室2厅 | 114.16平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,40人关注 / 7个月以前发布,200,"17,520元/平"
枫丹酩悦 品质洋房 福地广场旁 您的不二选择,枫丹酩悦 -苏通,3室2厅 | 103.73平米 | 南 | 简装 | 11层  | 板楼,0人关注 / 一年前发布,113,"10,894元/平"
江湾出行方便，户型方正，居住方便舒适，正常首付,江湾国际中心 -苏通,3室2厅 | 96.23平米 | 南 | 精装 | 24层  | 板塔结合,44人关注 / 一年前发布,70,"7,275元/平"
金科3房2卫  好楼层 采光好视野好 南北通透户型,金科廊桥水岸 -苏通,3室2厅 | 111.89平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,3人关注 / 4个月以前发布,85,"7,597元/平"
时光漫城房东急售急售急售急售急售急售急售急售急售,时光漫城 -能达商务区,4室2厅 | 125.2平米 | 南 | 精装 | 27层  | 塔楼,11人关注 / 一年前发布,165,"13,179元/平"
通透格局，楼层好，视野开阔，采光充足,中南江滨悦 -长江,3室2厅 | 114.52平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,99,"8,645元/平"
苏通金科下叠 有地下室有前后花园 实用面积大 诚心,金科醇墅 -苏通,4室2厅 | 159.15平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,7人关注 / 9个月以前发布,220,"13,824元/平"
苏通金科下叠 有地下室有前后花园 实用面积大 诚心,金科醇墅 -苏通,4室2厅 | 159.15平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,7人关注 / 9个月以前发布,220,"13,824元/平"
金科3房2卫  好楼层 采光好视野好 南北通透户型,金科廊桥水岸 -苏通,3室2厅 | 111.89平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,3人关注 / 4个月以前发布,85,"7,597元/平"
永旺旁 精装大三房一梯一户 看房子方便有钥匙,绿地新里城 -能达商务区,3室1厅 | 114.95平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,1人关注 / 3个月以前发布,158,"13,746元/平"
次新小区，户型方正，出行方便，,银洲万和华庭 -启东市,3室2厅 | 103.98平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,150,"14,426元/平"
濠河运河旁的新小区电梯洋房楼距宽出入方便停车方便,百花馨苑 -任港,3室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,179.8,"16,054元/平"
南山湖板块，近万达，小区环境好，好楼层，采光好,观澜台 -金沙,3室2厅 | 102.32平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,4人关注 / 6个月以前发布,148,"14,465元/平"
兴石花园，纯毛坯大三室，随意装修。,兴石花园 -观音山,3室2厅 | 128.92平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,54人关注 / 一年前发布,172,"13,342元/平"
水榭花都全新装修4房，带花园，诚心出售！,水榭花都 -金沙,4室2厅 | 145.48平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 2个月以前发布,163.8,"11,260元/平"
锦绣福邸 3室2厅 南,锦绣福邸 -如东县,3室2厅 | 138.02平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 2个月以前发布,175.8,"12,738元/平"
万科白鹭郡开发商精装一楼带院子 诚心出售 看房方便,万科白鹭郡 -唐闸,3室2厅 | 126.14平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,59人关注 / 一年前发布,249.5,"19,780元/平"
远创东越 急售房子 11楼 视野采光好 有钥匙随时看房,远创东樾 -观音山,3室1厅 | 123.28平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,9人关注 / 5个月以前发布,378,"30,662元/平"
小区前排  清水毛坯 交通便利 房东诚心,美佳盛庭 -能达商务区,3室2厅 | 97.66平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,97人关注 / 7个月以前发布,125,"12,800元/平"
春风南岸东园 3房 精装修 可满二年过户，随时看房,春风南岸东园 -能达商务区,3室2厅 | 121.99平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,2人关注 / 2个月以前发布,203,"16,641元/平"
中海碧林湾小区  前排 精装修 无大税  拎包入住,中海碧林湾 -唐闸,3室1厅 | 111.19平米 | 东 | 精装 | 低楼层(共34层)  | 板楼,6人关注 / 一年前发布,155,"13,941元/平"
此房格局好，采光无遮挡，配套齐全，交通便利,时光漫城 -能达商务区,3室2厅 | 92.81平米 | 南 北 | 精装 | 27层  | 塔楼,4人关注 / 10个月以前发布,136.8,"14,740元/平"
万科翡翠公园精装洋房 采光无遮挡,万科翡翠公园 -能达商务区,3室2厅 | 104.84平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,30人关注 / 4个月以前发布,200,"19,077元/平"
格局楼层好，精装，拎包入住，配套设施齐全,恒大海上威尼斯 -启东市,3室1厅 | 100.49平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,1人关注 / 1个月以前发布,62,"6,170元/平"
三期首排 靠河边 视野好 大三房房东诚心,海棠花园 -小海,3室2厅 | 112.3平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,1人关注 / 4个月以前发布,103.8,"9,244元/平"
中创区精装修现房 采光好 视野开阔,都会沁园 -观音山,3室2厅 | 117.12平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,9人关注 / 一年前发布,256,"21,858元/平"
房东外地购房 诚心出售 有密码随时看房,万达海之心 -海安县,3室1厅 | 111.62平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 2个月以前发布,149.8,"13,421元/平"
东站旁高档小区洋房房东诚心出售看房方便,佳期漫 -观音山,4室2厅 | 236.45平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,320,"13,534元/平"
时光漫城 3室2厅 精装修 拎包入住 能达zhongxue,时光漫城 -能达商务区,3室2厅 | 116.89平米 | 南 | 精装 | 26层  | 塔楼,1人关注 / 一年前发布,166,"14,202元/平"
五洲幸福湾 大三室 洋房 户型房正,五洲翡丽湾 -张芝山,3室1厅 | 122.16平米 | 南 | 毛坯 | 11层  | 板楼,0人关注 / 2个月以前发布,95,"7,777元/平"
中创南，春风东园，精装修，户型方正，非顶层，景观房,春风南岸东园 -能达商务区,3室2厅 | 95.94平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,24人关注 / 一年前发布,166,"17,303元/平"
中高层  毛坯 标准三房 现急售中,绿地新里城 -能达商务区,3室2厅 | 89.42平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 3个月以前发布,122,"13,644元/平"
林肯精装空调新风系统 洋房，永旺旁 地铁口,林肯公园 -能达商务区,4室2厅 | 123.37平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,4人关注 / 9个月以前发布,242.6,"19,665元/平"
此房新小区，出行方便，户型方正，居住方便舒适,三盛璞悦府 -如东县,4室2厅 | 155.91平米 | 南 | 毛坯 | 26层  | 板楼,1人关注 / 8个月以前发布,160,"10,263元/平"
小区首排，精装修，不靠高架，采光好，诚心出售,时光漫城 -能达商务区,3室2厅 | 92.5平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,11人关注 / 7个月以前发布,145,"15,676元/平"
荟景苑 五层复式 90+35平阁楼 四房 近中南 五山风景区,荟景苑 -狼山,4室1厅 | 123.48平米 | 南 | 毛坯 | 高楼层(共5层)  | 板楼,12人关注 / 8个月以前发布,156,"12,634元/平"
中海上林苑前排 视野好  上好楼层  毛坯  随时看房,中海上林院 -新城,3室2厅 | 139.71平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,89人关注 / 一年前发布,325,"23,263元/平"
中海上林苑前排 视野好  上好楼层  毛坯  随时看房,中海上林院 -新城,3室2厅 | 139.71平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,89人关注 / 一年前发布,325,"23,263元/平"
