标题,开发商,房子信息,发布信息,售价/万,单价
电力湖心路双阳台户型-一期实用高户型-业主保养好,家和城一期 -白藤头,3室2厅 | 113.31平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 10天以前发布,180,"15,886元/平"
九洲大道荔苑精装修南向两房厅出阳台拎包住,荔苑 -吉大,2室2厅 | 83.58平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,13人关注 / 4个月以前发布,119,"14,238元/平"
房子满五  格局方正  带小阳台,嘉年华国际公寓 -吉大,1室1厅 | 39.15平米 | 北 | 简装 | 中楼层(共29层)  | 板楼,0人关注 / 31天以前发布,64.5,"16,476元/平"
梅花社区 精装电梯2房 南向格局好 诚意出售,鸿泰八零 -新香洲,2室2厅 | 54.18平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 29天以前发布,175,"32,300元/平"
降价 降价  泰桦广场带私家平台 2房 业主含泪出售,泰桦商业广场 -南屏,2室1厅 | 53.35平米 | 东 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 26天以前发布,86.5,"16,214元/平"
精致两房，家私家电很新，看房方便，小区园林景,世荣作品壹号 -井岸镇,2室2厅 | 79.51平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 25天以前发布,100,"12,578元/平"
各付税 电梯高楼层 小区中间位置 安静舒适 实用两房,岭南世家华景园 -柠溪,2室2厅 | 72.95平米 | 北 | 简装 | 高楼层(共11层)  | 塔楼,2人关注 / 19天以前发布,159,"21,796元/平"
山海美景就在家门，鸿泰海半山，楼-W，南北通高层,鸿泰海半山 -红旗镇,3室2厅 | 99.28平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,140,"14,102元/平"
房子户型，方正采光好，前后无遮挡,佳兴大厦 -三灶镇,3室2厅 | 92.21平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,96,"10,412元/平"
业主自住精装小三房，税少，看房方便,金碧丽江东海岸 -白藤头,3室2厅 | 89.56平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,9人关注 / 一年前发布,125,"13,958元/平"
房子南北通，中间楼层，视野开阔，采光充足。,京华假日湾A区 -平沙镇,3室2厅 | 90.27平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,92.5,"10,248元/平"
万科城市花园，满5年，东南方向，看小区景观,万科城市花园 -三灶镇,3室2厅 | 87.89平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 9个月以前发布,130,"14,792元/平"
心海州项目地理位置好，交通方便，地下停车位多，车,心海州 -前山,3室2厅 | 86.47平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合,31人关注 / 8个月以前发布,168,"19,429元/平"
大面积毛坯房，中间楼层，单价一万一左右,珠光新城一期 -红旗镇,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,126,"11,151元/平"
心海州项目地理位置好，交通方便，地下停车位多，车,心海州 -前山,3室2厅 | 86.47平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合,31人关注 / 8个月以前发布,168,"19,429元/平"
红旗广场*正光苑一房，南向通风光线好，好租好卖！,正光苑 -红旗镇,1室1厅 | 54平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,14人关注 / 一年前发布,66.66,"12,345元/平"
澳门景观 近横琴湾仔口岸城轨站水岸华都南向三房两卫,水岸华都 -湾仔,3室2厅 | 95平米 | 东南 | 精装 | 低楼层(共28层)  | 板塔结合,8人关注 / 8个月以前发布,260,"27,369元/平"
湖心路 满五无/税 中楼层精装两房,诚丰新园 -白藤头,2室1厅 | 82平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,18人关注 / 一年前发布,90,"10,976元/平"
保利时代高楼层，采光通风好，没住过,保利时代 -航空新城,3室2厅 | 97平米 | 东 西 | 精装 | 中楼层(共34层)  | 板塔结合,11人关注 / 8个月以前发布,196,"20,207元/平"
业主急售   新上看海景两房 。。,时代山湖海6期 -航空新城,2室2厅 | 80.09平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,10人关注 / 9个月以前发布,148,"18,480元/平"
房子客厅出阳台动静态分明家电梯高层无遮挡,左邻右居 -红旗镇,3室2厅 | 94.27平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,4人关注 / 3个月以前发布,99,"10,502元/平"
兰埔 15年小区商品房前看泳池后看山南北通大4房,万科金域缇香 -兰埔,4室2厅 | 143.27平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,23人关注 / 9个月以前发布,355,"24,779元/平"
刚需之选：华发蔚蓝堡一梯两户南北通毛坯未入住过,华发蔚蓝堡三期 -唐家湾镇,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,10人关注 / 3个月以前发布,305,"23,644元/平"
板房结构，实用面积大，户型方正，品质物业,江南岸随园 -白藤头,3室2厅 | 117.54平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,135,"11,486元/平"
香海大桥桥头堡 湖心路品质小区 标准两房 南向,时代香海彼岸 -白藤头,2室2厅 | 75平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,3人关注 / 8个月以前发布,106,"14,134元/平"
将军花园 2室1厅 朝北 风景优美,将军花园 -吉大,2室2厅 | 87平米 | 北 | 简装 | 高楼层(共20层)  | 板楼,1人关注 / 4个月以前发布,126,"14,483元/平"
航空新城后花园 刚需2房 随时看房,中珠上郡 -红旗镇,2室2厅 | 66.22平米 | 东南 | 精装 | 低楼层(共17层)  | 板楼,25人关注 / 一年前发布,85,"12,837元/平"
住家好房，客厅出大阳台，东南向，视野好，,华发新城五期 -南湾,3室2厅 | 127平米 | 东南 | 精装 | 30层  | 塔楼,23人关注 / 一年前发布,343,"27,008元/平"
华发水岸一期一梯两户 11层小高层  诚心出售 看房方便,华发水岸一期 -南屏,3室2厅 | 90.39平米 | 南 | 毛坯 | 11层  | 板楼,14人关注 / 3个月以前发布,170,"18,808元/平"
湖心路时代香海彼岸业主诚心急售急售,时代香海彼岸 -白藤头,3室2厅 | 94.51平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,1人关注 / 2个月以前发布,125,"13,227元/平"
湖心路段 成熟社区 欧式温馨2房 朝东南 电梯小高层,诚丰新园 -白藤头,2室2厅 | 72平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,93,"12,917元/平"
海怡湾畔 精装顶复 看湖景 看房方便,海怡湾畔 -唐家湾镇,4室2厅 | 205.06平米 | 南 北 | 精装 | 5层  | 板塔结合,46人关注 / 8个月以前发布,380,"18,532元/平"
家私定制 时代香海彼岸 满五 无抵押 精装修 南北对流,时代香海彼岸 -白藤头,3室2厅 | 94.55平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,11人关注 / 3个月以前发布,139,"14,702元/平"
银石雅园，少有朝南两房，清爽精装修，格局好，采光好,银石雅园 -拱北,2室2厅 | 82.34平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,188.8,"22,930元/平"
兰埔 板障山 东城花园 电梯三房,东城花园二期 -兰埔,3室1厅 | 109平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,17人关注 / 一年前发布,245,"22,478元/平"
时代香海彼岸 精装两房业主急卖 十二万 买湖心路,时代香海彼岸 -白藤头,2室2厅 | 74.72平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,106,"14,187元/平"
湖心路观湖半岛精装3房保养好业主亏本出售,观湖半岛 -白藤头,3室2厅 | 92.4平米 | 北 | 精装 | 中楼层(共17层)  | 板楼,30人关注 / 一年前发布,125,"13,529元/平"
保利海上五月花三期精装海景三房，未入住,保利海上五月花三期 -唐家湾镇,3室2厅 | 104.81平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,18人关注 / 7个月以前发布,354,"33,776元/平"
唐家湾 海怡湾畔 明星户型 精装南向五房出售,海怡湾畔 -唐家湾镇,5室2厅 | 205.06平米 | 南 北 | 精装 | 5层  | 板塔结合,88人关注 / 一年前发布,360,"17,556元/平"
小区中间位置 国家一级物业 房子中高楼层 视野开阔,金地格林春晓二三期 -航空新城,3室2厅 | 81平米 | 东南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 8个月以前发布,93,"11,482元/平"
湖心路 精装大两房 东南朝向 业主诚心出售 看房方便,诚丰新园 -白藤头,2室1厅 | 72.78平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,91,"12,504元/平"
山海一品海岸花园 高层景观视野开阔 装修保养好！,山海一品海岸花园 -三灶镇,3室2厅 | 114.47平米 | 东 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 29天以前发布,180,"15,725元/平"
朝南向高楼层，可看小区绿化远景，户型方正实用的，,华发又一城二期 -井岸镇,3室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 25天以前发布,108,"12,273元/平"
华发水岸二期 精装南向大三房 双阳台 边户 装修保养好,华发水岸二期 -南屏,3室2厅 | 124.16平米 | 南 北 | 精装 | 18层  | 塔楼,0人关注 / 23天以前发布,240,"19,330元/平"
业主急售 价格可谈 随时看房 家私电器 随时入住,湖星水岸华庭二期 -白藤头,2室2厅 | 86.74平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 22天以前发布,98,"11,299元/平"
真实在售，看房方便。提前预约。,正邦岭秀城公寓楼 -拱北,1室0厅 | 41.08平米 | 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 30天以前发布,93,"22,639元/平"
华发物业，业主诚心出售，近口岸实用两房,华发首府花园一期 -横琴,2室1厅 | 85平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 25天以前发布,400,"47,059元/平"
恒大海泉湾1-1-1-1 55.51m²,恒大海泉湾 -平沙镇,1室1厅 | 55.51平米 | 西 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,56,"10,089元/平"
诚丰新园，电梯毛坯4房，次 新没住过,诚丰新园 -白藤头,4室2厅 | 130.07平米 | 南 | 其他 | 高楼层(共28层)  | 板楼,1人关注 / 10个月以前发布,151.8,"11,671元/平"
幸福园 电梯一房一厅 面积实用 看房方便 业主稳定,幸福园 -前山,1室1厅 | 33.08平米 | 西南 西 | 简装 | 低楼层(共10层)  | 板楼,3人关注 / 8个月以前发布,65,"19,650元/平"
东方润园 精装四房 双阳台 看园林,东方润园 -红旗镇,4室2厅 | 126平米 | 东南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,174,"13,810元/平"
华南名宇 精装修南北通两房 带私家平台120平,华南名宇 -老香洲,2室2厅 | 78.89平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,4人关注 / 1个月以前发布,188,"23,831元/平"
好房推荐，近拱北， 市区出行方便，房子格局方正,花城苑 -吉大,1室1厅 | 38.27平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,66,"17,246元/平"
海怡湾畔三期  电梯精装2房  视野开阔,海怡湾畔 -唐家湾镇,2室2厅 | 80.97平米 | 北 | 精装 | 9层  | 板塔结合,4人关注 / 1个月以前发布,157,"19,390元/平"
每一间小高层四房，诚心出售，价格有空间，装修好！,每一间 -老香洲,4室2厅 | 145平米 | 东南 | 精装 | 11层  | 板塔结合,2人关注 / 2个月以前发布,365,"25,173元/平"
新香洲准电梯房，上宝花园，精装2房，诚心卖有钥匙,上宝花园 -上冲,2室2厅 | 88.2平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 4个月以前发布,118,"13,379元/平"
万科金域缇香 中层东南向 看园景 精装修,万科金域缇香 -兰埔,2室2厅 | 75.92平米 | 东南 | 简装 | 低楼层(共32层)  | 板楼,3人关注 / 5个月以前发布,188,"24,763元/平"
业主诚心出售，户型方正，采光好.,富华广场北区 -新香洲,2室2厅 | 75.03平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,1人关注 / 2个月以前发布,156,"20,792元/平"
中信二期住宅公寓 格局方正 视野开阔 看河景及园景,中信红树湾二期 -南湾,1室1厅 | 45.71平米 | 东 | 精装 | 31层  | 塔楼,1人关注 / 2个月以前发布,125,"27,347元/平"
五洲家园 标杆高品质 高素质人才小区  看小区园林别墅,五洲家园 -白藤头,3室2厅 | 140.9平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 10个月以前发布,288,"20,441元/平"
珠海前山心海州 59平两房 卖110万,心海州 -前山,2室1厅 | 58.89平米 | 北 | 其他 | 低楼层(共30层)  | 板塔结合,1人关注 / 2个月以前发布,110,"18,679元/平"
柠溪成熟社区 电梯2房 很实用 业主诚心出售,东方家园 -柠溪,2室1厅 | 51.44平米 | 西 | 简装 | 低楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,110,"21,385元/平"
中楼层正规两房，前山大型居家小区，看房方便,田德花园A区 -前山,2室2厅 | 67.05平米 | 西南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 6个月以前发布,129,"19,240元/平"
近关口 电梯中间楼层 精装一房 户型方正 看房有K,和华国际公寓 -拱北,1室1厅 | 40.93平米 | 北 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,79,"19,302元/平"
万科城市中心 3室2厅 南,万科城市中心 -上冲,3室2厅 | 89.29平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 6个月以前发布,245,"27,439元/平"
万科金域缇香隔壁 夏逸庭院 小区中间 南向2房不吵,夏逸庭院 -兰埔,2室2厅 | 79.93平米 | 东南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,195,"24,397元/平"
业主诚心出售，中高楼层，视野宽阔。,华策岭峰国际 -白蕉镇,2室2厅 | 83.21平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,69,"8,293元/平"
远大美域新城三期 高层四房三卫 保养好户型方正,远大美域 -唐家湾镇,4室2厅 | 180.25平米 | 南 北 | 精装 | 11层  | 板楼,12人关注 / 10个月以前发布,385,"21,360元/平"
首期仅17万 即买电梯 （在建中） 高层 南向两房,香柠花园北区 -柠溪,2室2厅 | 67.95平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,11人关注 / 1个月以前发布,112,"16,483元/平"
此房户型方正实用，采光通风好。,嘉和茗园 -三灶镇,3室2厅 | 109平米 | 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 19天以前发布,92,"8,441元/平"
海悦云天  精装修4房  南向看小区  业主诚售,龙光海悦云天 -新香洲,4室2厅 | 131.41平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 17天以前发布,556,"42,311元/平"
海湾花园 3室1厅 西南,海湾花园 -吉大,3室1厅 | 134.46平米 | 西南 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 21天以前发布,260,"19,337元/平"
3房2卫刚需明智选择，南向通风采光好，,嘉景名苑 -白蕉镇,3室2厅 | 95平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,68,"7,158元/平"
富华里精装两房 中海物业管理好,富华里 -拱北,2室2厅 | 91.55平米 | 南 | 精装 | 29层  | 板塔结合,0人关注 / 16天以前发布,239,"26,106元/平"
精装三房格局方正，电梯中间楼层，通风采光好,招商花园城二期 -前山,3室2厅 | 88平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 25天以前发布,345,"39,205元/平"
小区中间楼栋，静谧安逸，价格优美，安家优选,华发新城三期 -南湾,4室2厅 | 162.47平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 20天以前发布,410,"25,236元/平"
恒泰豪庭南向三房，高楼层看前山河，采光通风保养好，,恒泰豪庭 -夏湾,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 21天以前发布,268,"26,020元/平"
楼宝，小区中间，不临街，诚心出售，目前有想装电梯。,北园新村二期 -柠溪,3室2厅 | 87.45平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,0人关注 / 30天以前发布,175,"20,012元/平"
南湾次新校区 南向实用三房 即买即入住 配套齐,红树别院 -南湾,3室2厅 | 118.75平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,14人关注 / 一年前发布,330,"27,790元/平"
新上盘， 招商花园二期精装三房中间楼层 业主诚心卖,招商花园城二期 -前山,3室2厅 | 88.36平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 1个月以前发布,328,"37,121元/平"
诚丰广场  福安花园 南向2房 看房方便 精装,福安花园 -前山,2室1厅 | 62.46平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,16人关注 / 6个月以前发布,99,"15,851元/平"
房子方正 业主诚意出售 看房方便,华发新城四期 -南湾,1室1厅 | 41平米 | 东 | 精装 | 低楼层(共10层)  | 板楼,7人关注 / 一年前发布,128,"31,220元/平"
北园新村一期 南向三房 通风采光佳,北园新村一期 -柠溪,3室2厅 | 82.63平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,132,"15,975元/平"
9中大型小区，小区中间，南向三房两卫，价格实惠,恒雅名园 -上冲,3室2厅 | 94.62平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,155,"16,382元/平"
环宇城商圈 中珠幸福时光 电梯南向 精装2房 业主诚售,中珠新村幸福时光 -夏湾,2室1厅 | 77.59平米 | 东南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,175,"22,555元/平"
近华发商都 中层3房 格局实用 小区环境好 保养如新,华发新城四期 -南湾,3室2厅 | 111.42平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,315,"28,272元/平"
大型成熟小区  住家优选  格局方正  通风采光  3楼,景晖路3号 -新香洲,3室2厅 | 79平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,198,"25,064元/平"
翠松楼 72平 3房 带新装修 楼层好,翠松楼 -柠溪,3室1厅 | 72.53平米 | 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,130,"17,924元/平"
嘉怡花园一期精装两房，步行达香山湖,嘉怡花园一期 -新香洲,2室2厅 | 73.48平米 | 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,184,"25,041元/平"
前进街住宅 老香洲成熟社区海边好房 三房南北向,前进街住宅 -老香洲,3室2厅 | 75.92平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,106,"13,963元/平"
沿河小区小三房 带管理 好地段 生活便 实用高,沿河小区 -老香洲,3室1厅 | 70.53平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,135,"19,141元/平"
环宇城同一条路，三成首付32万，正规三房两厅中楼层,诚丰广场 -前山,3室2厅 | 92.91平米 | 南 北 | 精装 | 29层  | 板楼,0人关注 / 16天以前发布,223,"24,002元/平"
高层海景精装三房，视野无遮挡！看湖看海看商都！,保利时代 -航空新城,3室2厅 | 100.02平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,38人关注 / 8个月以前发布,180,"17,997元/平"
马鞍山脚下次新两房出售 精装 诚售,财富世家半山町 -前山,2室1厅 | 74.68平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,215,"28,790元/平"
楼层好，视野开阔，采光充足，配套设施，交通便利,九洲时代 -拱北,3室2厅 | 103.94平米 | 东 西 | 精装 | 中楼层(共20层)  | 板楼,3人关注 / 一年前发布,220,"21,167元/平"
正规两加一房 采光好通透 看房方便 业主诚意出售,南苑 -夏湾,2室2厅 | 64.46平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,10人关注 / 4个月以前发布,122,"18,927元/平"
前山华润万家  精装三房  电梯高层南向三房 业主急售,二城心作 -前山,3室2厅 | 92.23平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,186,"20,167元/平"
九加十二，即买即住，保养新，业主急卖，看房方便！,富华广场北区 -新香洲,3室2厅 | 104.71平米 | 北 | 精装 | 高楼层(共7层)  | 塔楼,2人关注 / 3个月以前发布,225,"21,488元/平"
柠溪 岭南世家 96平 南向3房2卫 精装修 采光好 无.税,岭南世家华景园 -柠溪,3室2厅 | 96.65平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 1个月以前发布,245,"25,350元/平"
业主诚心出售，地段方便，成熟小区，居住舒适,丽湖名居 -白蕉镇,3室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,2人关注 / 2个月以前发布,76,"7,379元/平"
近前山中小和前山市场，看房方便急售电梯高层产权清晰,梅花豪庭 -前山,3室2厅 | 96.68平米 | 西北 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,184,"19,032元/平"
上冲 广福花园 中间楼层 三房 仅售150万,广福花园 -上冲,3室2厅 | 89.9平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,150,"16,686元/平"
新香洲体育场 2012年次新房 南向3房 精装直接入住,御景国际 -新香洲,3室2厅 | 89.22平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,7人关注 / 4个月以前发布,315,"35,306元/平"
新香洲体育场 2012年次新房 南向3房 精装直接入住,御景国际 -新香洲,3室2厅 | 89.22平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,7人关注 / 4个月以前发布,315,"35,306元/平"
满五年，格局实用方正，中间楼层  采光通风好,翠竹新村 -柠溪,3室2厅 | 79.45平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,128,"16,111元/平"
鸿运花园  三房两卫  格局方正  高层 即将装电梯,鸿运花园 -新香洲,3室2厅 | 86.48平米 | 北 | 精装 | 中楼层(共8层)  | 板楼,9人关注 / 9个月以前发布,205,"23,705元/平"
近前山中小和前山市场，看房方便急售电梯高层产权清晰,梅花豪庭 -前山,3室2厅 | 96.68平米 | 西北 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,184,"19,032元/平"
绿怡居三房价格便宜   诚心出售  看小区 园景,绿怡居 -新香洲,3室2厅 | 116.69平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,379,"32,480元/平"
三灶中珠上品  精装两房  保养很好  看房方便,中珠上品 -三灶镇,2室1厅 | 73.42平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 8个月以前发布,88,"11,986元/平"
业主诚心出售财富世家 精装大三房，客厅出阳台朝南,财富世家一期 -前山,3室2厅 | 106.19平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,238,"22,413元/平"
带花园，南北通，实用大3房，保养好即买即住,丽湖名居 -白蕉镇,3室2厅 | 90.41平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,2人关注 / 1个月以前发布,74,"8,185元/平"
凤凰楼层，业主自住，东南向，视野好,华发新城五期 -南湾,3室2厅 | 126.97平米 | 南 | 精装 | 30层  | 塔楼,0人关注 / 2个月以前发布,355,"27,960元/平"
雁景花园3房、保养好、户型方正,雁景花园 -平沙镇,3室2厅 | 102.71平米 | 东南 南 东 | 简装 | 高楼层(共8层)  | 暂无数据,6人关注 / 6个月以前发布,50,"4,869元/平"
实用的3房2厅  电梯10楼 总高30层 通风采光好,仁恒星园 -新香洲,3室2厅 | 94.7平米 | 东南 | 精装 | 低楼层(共30层)  | 板楼,8人关注 / 7个月以前发布,345,"36,431元/平"
装修保养好，格局方正实用，锦绣柠溪居家大2房出售！,锦绣柠溪 -柠溪,2室2厅 | 81.64平米 | 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,180,"22,049元/平"
豪庭小区，大4房，精装修，朝南采光好,豪庭小区 -井岸镇,4室2厅 | 161.37平米 | 东南 | 其他 | 高楼层(共9层)  | 平房,0人关注 / 4个月以前发布,100,"6,197元/平"
房子保养的很好.湖心路教育起跑线上的房源,家和城二期 -白藤头,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,5人关注 / 4个月以前发布,168,"17,143元/平"
满5，小户型，格局方正，毛坯想怎么装就怎么装,湖星水岸一期 -白藤头,1室1厅 | 50平米 | 东南 西北 | 毛坯 | 高楼层(共7层)  | 板楼,20人关注 / 一年前发布,43,"8,600元/平"
金沙湾3房2厅中楼层南通北透采光好得房率高,金沙湾豪庭 -三灶镇,3室2厅 | 91.91平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,104,"11,316元/平"
华发水岸实用2房，客厅出阳台，价格美丽,华发水岸二期 -南屏,2室1厅 | 68平米 | 南 | 其他 | 18层  | 塔楼,15人关注 / 7个月以前发布,137,"20,148元/平"
侨岭街一巷27号 3室2厅 南,侨岭街一巷27号 -拱北,3室2厅 | 96.55平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,143,"14,811元/平"
情侣北路品质小区 精装两房 户型方正 诚心出售,格力海岸三期 -唐家湾镇,2室2厅 | 89平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 4个月以前发布,240,"26,967元/平"
急售东南向看海景，新房未住过有钥匙随时看,格力海岸 -唐家湾镇,3室2厅 | 141.98平米 | 北 南 | 精装 | 32层  | 板塔结合,34人关注 / 8个月以前发布,415,"29,230元/平"
景晖路3号出来就是巴士站 公务员小区 看房有钥匙方便,景晖路3号 -新香洲,3室2厅 | 76.1平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,18人关注 / 一年前发布,190,"24,968元/平"
老香洲非顶高层，采光充足，保养好，业主诚售,安城大厦 -老香洲,3室2厅 | 105平米 | 南 西南 | 精装 | 高楼层(共10层)  | 塔楼,3人关注 / 一年前发布,180,"17,143元/平"
惊喜价，没有之一，小区位置好，生活所需完善,银香新村 -老香洲,3室2厅 | 83.96平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,10人关注 / 4个月以前发布,100,"11,911元/平"
海莲山庄 满五 三房两厅 适合居家,海莲山庄 -吉大,3室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,169,"18,778元/平"
此房满五年，无抵押，产权清晰，大阳台,银石雅园 -拱北,3室2厅 | 106平米 | 南 | 其他 | 中楼层(共12层)  | 板塔结合,16人关注 / 4个月以前发布,236,"22,265元/平"
时代大社区 保养好 新房未入住,时代香海彼岸 -白藤头,3室1厅 | 95平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,2人关注 / 8个月以前发布,134,"14,106元/平"
金湾航空城品质小区 南北对流精装三房 业主诚售,中海左岸岚庭 -航空新城,3室2厅 | 110平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,245,"22,273元/平"
南北双阳台，实用五房，三个连号车位可售，*,云顶澜山 -上冲,5室1厅 | 186平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,2人关注 / 一年前发布,409,"21,990元/平"
此房满五，楼层低，房子户型好，采光通风好,南夏三街住宅小区 -老香洲,3室2厅 | 80.13平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,4人关注 / 7个月以前发布,125,"15,600元/平"
