标题,开发商,房子信息,发布信息,售价/万,单价
观江府4-2-1-2 118.00m² 房东急售 江景房,观江府 -大兴,4室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,88,"7,458元/平"
韩城一期底楼清水套四双卫 房东诚心出售,翰城1981一期 -姚桥,4室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,1人关注 / 一年前发布,70,"5,469元/平"
公馆1981a区4-2-1-2交通便利,公馆1981A区 -姚桥,4室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共25层)  | 塔楼,5人关注 / 一年前发布,92,"7,667元/平"
青衣江路中段90号 3室2厅 南,青衣江路中段90号 -康藏路区域,3室2厅 | 85.59平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,65,"7,595元/平"
万达附  近，精装修，装修花了五十万，清水房价格出售,尚雅怡心苑 -姚桥,4室2厅 | 136.5平米 | 西南 | 精装 | 高楼层(共18层)  | 暂无数据,14人关注 / 11个月以前发布,72,"5,275元/平"
山水豪庭小区  交通便利 小区环境干净舒适 带车位,山水豪庭 -三雅园,3室2厅 | 100平米 | 南 | 毛坯 | 低楼层(共22层)  | 塔楼,0人关注 / 一年前发布,65,"6,500元/平"
江景房，户型方正，格局好，采光好,正黄金域首府一期 -姚桥,2室1厅 | 94.67平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 一年前发布,90,"9,507元/平"
采光通透、视野宽阔，一线江景房,十里原湾 -上坝区域,5室2厅 | 193.95平米 | 东南 | 毛坯 | 中楼层(共25层)  | 塔楼,4人关注 / 一年前发布,188,"9,694元/平"
此房满2年，出行方便，户型方正，居住方便舒适 小区,沙湾川航小区 -姚桥,3室2厅 | 120平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,65,"5,417元/平"
大兴桥头，西网江湾城，3室2厅1厨2卫,西网江湾城 -大兴,3室2厅 | 97平米 | 西南 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,78,"8,042元/平"
户型方正，出行方便，居住舒适，环境优美，全新装修,城投文曲新座 -城后区域,3室2厅 | 106.7平米 | 南 | 精装 | 高楼层(共22层)  | 暂无数据,2人关注 / 8个月以前发布,79.6,"7,461元/平"
套三户型，竖厅设计。带60平左右平台，简单装修,正黄金域名座 -姚桥,3室1厅 | 94平米 | 东南 | 简装 | 低楼层(共19层)  | 板塔结合,0人关注 / 2个月以前发布,98,"10,426元/平"
万达 附 近 精装修 未住人  楼层巴适的很,先锋小区 -姚桥,3室2厅 | 77平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,56.8,"7,377元/平"
城后路 领地天澜 套三双卫 房主诚心出售,领地天澜 -城后区域,3室1厅 | 125平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,74.5,"5,960元/平"
西门车站旁 三室一厅  户型方正格局好 采光通透,红园路6号 -康藏路区域,3室2厅 | 96平米 | 东北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,38,"3,959元/平"
山水豪庭 清水大跃层 户型方正 实际面积大,山水豪庭 -三雅园,4室2厅 | 174平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,4人关注 / 一年前发布,155,"8,909元/平"
山水豪庭 房东诚心出售税少 视野开阔 俯瞰青衣江,山水豪庭 -三雅园,3室2厅 | 118.31平米 | 南 | 毛坯 | 高楼层(共22层)  | 塔楼,1人关注 / 一年前发布,83,"7,016元/平"
经典套三双卫，采光好，视野开阔,观江府 -大兴,3室2厅 | 98平米 | 东南 | 毛坯 | 低楼层(共15层)  | 板楼,0人关注 / 11个月以前发布,69,"7,041元/平"
好房子  好楼层 急售 价格可以 快,花间集 -大兴,5室2厅 | 137.22平米 | 南 | 毛坯 | 高楼层(共16层)  | 塔楼,3人关注 / 一年前发布,108,"7,871元/平"
4小旁，套四清水房，视野很好，居家很适宜,正黄金色雅郡 -姚桥,4室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,1人关注 / 一年前发布,66,"5,690元/平"
七彩雅安，带暖气，带家具家电，拎包入住,七彩雅安 -名山区,3室2厅 | 121.68平米 | 东 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 8个月以前发布,53,"4,356元/平"
经典套三户型，采光好，三间卧室都采光，,经典阳光家园 -姚桥,3室2厅 | 91.8平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 7个月以前发布,63.8,"6,950元/平"
洋房一梯两户 中层 诚心卖 随时看,领地蘭台府云璟 -大兴,4室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 5个月以前发布,90,"7,628元/平"
江湾城四室两厅，楼层好、视野宽阔、采光充足,西网江湾城 -大兴,4室2厅 | 132平米 | 东南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 6个月以前发布,98,"7,425元/平"
正宗跃层，楼中楼 出行方便，户型方正，居住方便舒适,尚雅滨江名苑小区 -姚桥,4室2厅 | 120平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,23人关注 / 一年前发布,62.5,"5,209元/平"
大兴现房 2梯2户 前后通透 业主带车位急售,蘭台府一期 -大兴,3室2厅 | 115平米 | 西北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,80,"6,957元/平"
采光好，套三双卫，拎包入住........,东安郦景 -康藏路区域,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,55,"4,783元/平"
农溪园清水房，装修随你喜好，小区环境安静，生活方便,龙溪源 -大兴,3室2厅 | 106.84平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,1人关注 / 4个月以前发布,56,"5,242元/平"
老城区少有的电梯房 马上满二。,城投文曲新座 -城后区域,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共22层)  | 暂无数据,3人关注 / 一年前发布,56,"5,234元/平"
正黄时代天街旁 温馨小套三 套二改套三 交通便利,青衣雅苑 -姚桥,3室2厅 | 97平米 | 东南 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,67,"6,908元/平"
大兴新小区，套三双卫清水房出售。,蘭台府一期 -大兴,3室1厅 | 132.53平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,99,"7,471元/平"
城投文曲新座套三双卫清水房出售,城投文曲新座 -城后区域,3室1厅 | 106平米 | 东 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 9个月以前发布,65,"6,133元/平"
十里源弯。江景房  户型方正采光好可看江,十里原湾 -上坝区域,4室2厅 | 130平米 | 东南 | 毛坯 | 高楼层(共31层)  | 塔楼,5人关注 / 一年前发布,117,"9,000元/平"
正黄金色雅郡 3室2厅 东,正黄金色雅郡 -姚桥,3室2厅 | 99.05平米 | 东 | 毛坯 | 中楼层(共23层)  | 板塔结合,4人关注 / 一年前发布,64.8,"6,543元/平"
观江府洋房，一梯两户，通透。。。。,观江府 -大兴,3室1厅 | 101平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,75,"7,426元/平"
十源湾，套四带多功能房间，实际面积大，正江景。,十里原湾 -上坝区域,3室2厅 | 135平米 | 东北 | 毛坯 | 中楼层(共27层)  | 塔楼,1人关注 / 一年前发布,156,"11,556元/平"
凯悦天地 4室2厅 东南,凯悦天地 -大兴,4室2厅 | 188.92平米 | 东南 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,228,"12,069元/平"
名城御景电梯房，一梯两户，自住精装修,名城御景 -名山区,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 7个月以前发布,85,"7,084元/平"
姚桥火车站旁，楼层好，房东诚心出售~,翰城1981二期 -姚桥,3室1厅 | 113.84平米 | 东 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 10个月以前发布,76,"6,677元/平"
房东诚心卖 价格可议  户型方正,金樾澜岸 -大兴,4室2厅 | 130平米 | 东 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 11个月以前发布,86,"6,616元/平"
1梯2户高品质，出行方便，户型方正，清水,领地蘭台府云璟 -大兴,4室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,101.8,"8,701元/平"
清水跃层别墅，户型好，带车库车位,汇森茗门 -名山区,3室2厅 | 157平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,8人关注 / 一年前发布,67.8,"4,319元/平"
名山半岛套三，户型方正，坐北朝南，实际使用面积大！,名山半岛 -名山区,3室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,1人关注 / 一年前发布,48,"3,665元/平"
花香里套四双卫，两梯两房 看房方便，业主诚意出售,众成花香里 -名山区,4室2厅 | 135平米 | 北 | 毛坯 | 低楼层(共12层)  | 暂无数据,0人关注 / 一年前发布,87,"6,445元/平"
四小旁边，精装直接拎包入住，随时可以看房,正黄金域首府一期 -姚桥,2室1厅 | 81.5平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,9人关注 / 一年前发布,71,"8,712元/平"
万达旁高品质小区，两梯两户通透户型，户型方正,领地天屿 -姚桥,4室2厅 | 138平米 | 东南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 10个月以前发布,138.5,"10,037元/平"
科雅苑 3室2厅 带车位 小区环境干净舒适 适合居住,科雅苑 -名山区,3室2厅 | 131.66平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 7个月以前发布,78,"5,925元/平"
彩虹桥桥头，花园跃层，大花园 。舒适宜居。,彩虹名居 -名山区,4室3厅 | 130平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,58,"4,462元/平"
精装套三，楼层巴适，诚心出售，随时看房,七彩雅安 -名山区,3室2厅 | 99.7平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,62,"6,219元/平"
城中 心繁华位置，不靠路边，环境好。楼层巴适,新华书店宿舍 -名山区,2室1厅 | 68.6平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,25,"3,645元/平"
房东急售，价格可议。房子中层采光好。,翰城1981一期 -姚桥,4室2厅 | 126.14平米 | 东 | 毛坯 | 低楼层(共24层)  | 塔楼,1人关注 / 10个月以前发布,84,"6,660元/平"
丽都家园 3室2厅 交通便利 小区环境干净舒适 适合居住,丽都家园 -名山区,3室2厅 | 139平米 | 东南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,62,"4,461元/平"
名城御景 3室2厅 交通便利 小区环境干净舒适 适合居住,名城御景 -名山区,3室2厅 | 122平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,60,"4,919元/平"
两梯两户版式套三双卫，采光好 通风效果佳,西网江湾城 -大兴,3室2厅 | 119.02平米 | 西南 | 毛坯 | 低楼层(共17层)  | 暂无数据,9人关注 / 一年前发布,85,"7,142元/平"
满二满二户型方正采光通透位于城 中 心,碧水云天 -名山区,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,56,"4,913元/平"
名城御景大套三 带一个储物间，看房方便 有钥匙,名城御景 -名山区,3室2厅 | 132.51平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,1人关注 / 一年前发布,62.8,"4,740元/平"
领地二期 对中庭 2-2-1-1 85.60m² 83万带车位,领地二期 -姚桥,2室2厅 | 85.6平米 | 东 | 毛坯 | 中楼层(共18层)  | 塔楼,2人关注 / 一年前发布,70,"8,178元/平"
现房 带平台含车位 大兴金科二期 四室 100万,金科天宸雅郡 -大兴,4室2厅 | 111平米 | 南 | 毛坯 | 低楼层(共21层)  | 板塔结合,6人关注 / 一年前发布,100,"9,010元/平"
四小旁 精装套四双卫 拎包入住 随时可看房,雅东丽都一期 -姚桥,3室2厅 | 104.5平米 | 东 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,65,"6,221元/平"
四房双卫，前后通透户型，得房率高，地段优越,蘭台府3期 -大兴,4室2厅 | 108.08平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,80,"7,402元/平"
集美学府三室俩厅交通便利 小区环境干净舒适 适合居住,集美学府 -名山区,3室2厅 | 83.06平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 4个月以前发布,48.8,"5,876元/平"
青衣江路中段90号套三双卫出售。,青衣江路中段90号 -康藏路区域,3室1厅 | 95平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 6个月以前发布,81,"8,527元/平"
拓海第一江岸3期 3室2厅 南,拓海第一江岸3期 -姚桥,3室2厅 | 102平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 7个月以前发布,75,"7,353元/平"
观江府稀有洋房 一梯两户总高8层 套四双卫 视野开阔,观江府 -大兴,4室2厅 | 117.56平米 | 东 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,90,"7,656元/平"
第壹江岸套三。业主诚心出售 价格可议,拓海第一江岸1期 -姚桥,3室2厅 | 107平米 | 东南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 一年前发布,72,"6,729元/平"
急售！急售！全江景跃层  两个露台哟,幸福港湾 -三雅园,6室2厅 | 262平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,18人关注 / 一年前发布,105,"4,008元/平"
视野开阔，楼层好，配套设施全，万达就在眼前,领地天屿 -姚桥,4室2厅 | 139平米 | 西南 | 毛坯 | 低楼层(共25层)  | 板塔结合,6人关注 / 一年前发布,128,"9,209元/平"
顶楼跃层，视野无遮挡，通透户型，采光好带大平台,龙溪源 -大兴,3室2厅 | 147.41平米 | 东南 | 毛坯 | 高楼层(共15层)  | 暂无数据,1人关注 / 10个月以前发布,95,"6,445元/平"
上坝路大套三，精装，双卫，明厨明卫，采光很好,太阳巷4号 -上坝区域,3室2厅 | 120平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,8人关注 / 一年前发布,46.8,"3,900元/平"
伯爵公馆3室2厅 交通便利 小区环境干净舒适 适合居住,伯爵公馆 -名山区,3室2厅 | 84平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 一年前发布,45.8,"5,453元/平"
锦绣世家 商品房 清水套三双卫  房东诚心出售,锦绣世家 -名山区,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,41,"3,505元/平"
四季名城套三单卫 小区环境舒适。宜居,四季名城 -名山区,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 一年前发布,63,"5,479元/平"
急售！大兴新城的洋房，带车位出售！！,领地蘭台府云璟 -大兴,4室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,83.8,"7,102元/平"
急急急 沙湾小区 三室两厅两卫 保养全新 看房方便,沙湾小区 -姚桥,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,18人关注 / 一年前发布,55,"4,167元/平"
大兴蘭台府1期 精装大套二，拎包入住，房东诚心出售,蘭台府一期 -大兴,2室2厅 | 113平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,80,"7,080元/平"
对周公河套三双卫 户型方正， 居 住 方 便 舒 适,十里原湾 -上坝区域,4室2厅 | 124.94平米 | 东南 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 6个月以前发布,110,"8,805元/平"
四季名城套三单卫 小区环境舒适。宜居,四季名城 -名山区,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 一年前发布,63,"5,479元/平"
急急急 沙湾小区 三室两厅两卫 保养全新 看房方便,沙湾小区 -姚桥,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,18人关注 / 一年前发布,55,"4,167元/平"
大兴蘭台府1期 精装大套二，拎包入住，房东诚心出售,蘭台府一期 -大兴,2室2厅 | 113平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,80,"7,080元/平"
西网江湾城，三室两厅一厨双卫，107，6平米,西网江湾城 -大兴,3室2厅 | 107.6平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,76,"7,064元/平"
中间楼层，4小傍边，随时可住.,翰城1981二期 -姚桥,3室2厅 | 110平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,71.5,"6,500元/平"
领地二期 套三双卫 户型方正 采光好,领地二期 -姚桥,3室2厅 | 90.53平米 | 南 北 | 简装 | 中楼层(共18层)  | 塔楼,2人关注 / 一年前发布,83,"9,169元/平"
领地一期b1洋房，一梯两户前后通透,领地.凯旋帝景1期B1 -姚桥,3室2厅 | 95平米 | 东 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,71,"7,474元/平"
低密社区，环境优美，户型漂亮，户型通透，实得大,滨江奥斯卡 -草坝,3室2厅 | 102.96平米 | 东南 | 毛坯 | 中楼层(共6层)  | 塔楼,6人关注 / 一年前发布,36,"3,497元/平"
火车站旁，套三双卫，房东诚心出售~,正黄金域名座 -姚桥,3室2厅 | 93.73平米 | 南 | 毛坯 | 高楼层(共19层)  | 塔楼,0人关注 / 一年前发布,60,"6,402元/平"
视野开阔采光好，交通便利，精装修可直接拎包入住,金科天宸雅郡 -大兴,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,2人关注 / 一年前发布,78.8,"8,124元/平"
领地二期精装套三带私家花园 满二 朝南 看江,领地二期 -姚桥,3室2厅 | 83平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,70,"8,434元/平"
江湾城 位处大兴桥头 品质小区 两梯两户,西网江湾城 -大兴,3室2厅 | 119平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,104.5,"8,782元/平"
绿洲长河，三室两厅两卫，毛坯房。,绿洲长河康居小区 -上坝区域,3室2厅 | 127平米 | 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,65,"5,119元/平"
柳岸名居，电梯6房3卫，带屋顶花园，装修后未入住过,柳岸名居 -名山区,6室2厅 | 280平米 | 北 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 一年前发布,133,"4,750元/平"
龙溪源 3室2厅 南,龙溪源 -大兴,3室2厅 | 102平米 | 南 | 毛坯 | 中楼层(共14层)  | 板塔结合,1人关注 / 一年前发布,54,"5,295元/平"
四季名城套三双卫122平中间楼层带车位,四季名城 -名山区,3室2厅 | 122平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,69,"5,656元/平"
瀚城1981二期 三室两厅双卫 交通便利  适合居住,翰城1981二期 -姚桥,3室2厅 | 110平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,78,"7,091元/平"
大兴蕞佳地段 蕞佳视野 头牌正江景房,西网江湾城 -大兴,3室2厅 | 119.57平米 | 西北 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 9个月以前发布,112,"9,367元/平"
第壹江岸 套三清水 诚心出售 看房方便,拓海第一江岸1期 -姚桥,3室2厅 | 107平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,1人关注 / 一年前发布,78,"7,290元/平"
领地天蘭 两梯两户 套三双卫 户型方正,领地天澜 -城后区域,3室2厅 | 124.78平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,79,"6,332元/平"
七彩雅安户型方正，采光好，看房方便,七彩雅安 -名山区,3室2厅 | 91.43平米 | 南 | 毛坯 | 高楼层(共15层)  | 暂无数据,0人关注 / 一年前发布,53,"5,797元/平"
七彩雅安 3室2厅 交通便利 小区环境干净舒适 适合居住,七彩雅安 -名山区,3室2厅 | 99.4平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,45.8,"4,608元/平"
锦秀世家套三  交通便利 小区环境干净舒适 适合居住,锦绣世家 -名山区,3室2厅 | 156平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,53.8,"3,449元/平"
山水茗都套二简装，有车库可分开出售！,山水茗都 -名山区,2室2厅 | 76平米 | 东南 | 简装 | 低楼层(共16层)  | 塔楼,1人关注 / 一年前发布,43,"5,658元/平"
彩虹湾 3室2厅 南,彩虹湾 -名山区,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,1人关注 / 一年前发布,70,"5,834元/平"
三汇商 业城套三单卫 小高层电梯房 交通便利 适合居住,月华街21号 -名山区,3室2厅 | 99平米 | 东 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,50,"5,051元/平"
上东阳光 3室2厅 东,上东阳光 -名山区,3室2厅 | 119平米 | 东 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 10个月以前发布,65,"5,463元/平"
出行方便，户型方正，居住方便舒适,七彩雅安 -名山区,3室2厅 | 141.87平米 | 东 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,65,"4,582元/平"
此房出行方便，户型方正，居住方便舒适，精装修,集美学府 -名山区,3室2厅 | 109平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,92,"8,441元/平"
此房出行方便，户型方正，居住方便舒适，精装修,集美学府 -名山区,3室2厅 | 109平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,92,"8,441元/平"
花香首*府电梯跃层，近两年新装修,花香首府 -名山区,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,89,"8,641元/平"
七彩雅安套三双卫精装，视野开阔，采光好！,七彩雅安 -名山区,3室2厅 | 134平米 | 西南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 10个月以前发布,58,"4,329元/平"
大兴洋房，电梯入户，独门独户，总高11层，随时看房,观江府 -大兴,3室2厅 | 101.37平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,2人关注 / 10个月以前发布,70,"6,906元/平"
此房户型方正，出行方便，居住舒适，环境优美,城投文曲新座 -城后区域,3室1厅 | 98平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,60,"6,123元/平"
：此房满两年，出行方便，户型方正，居住方便舒适,拓海第一江岸3期 -姚桥,3室2厅 | 99.99平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,75,"7,501元/平"
翡翠云亭，精装空房，房东诚心出手，价格好谈,翡翠云庭 -姚桥,3室2厅 | 110平米 | 东南 南 | 简装 | 低楼层(共25层)  | 板塔结合,1人关注 / 6个月以前发布,80,"7,273元/平"
第1江岸中层简装套三双卫 朝南 清水价处理,拓海第一江岸1期 -姚桥,3室2厅 | 107平米 | 南 | 简装 | 低楼层(共30层)  | 板塔结合,5人关注 / 11个月以前发布,75,"7,010元/平"
民生苑，好楼层，大面积，采光好,民生苑 -名山区,3室2厅 | 143平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,49.8,"3,483元/平"
四季名城3室2厅 交通便利 小区环境干净舒适 适合居住,四季名城 -名山区,3室2厅 | 121.4平米 | 东南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,72,"5,931元/平"
单位房大套三，环境清静，方便停车，价格实惠,国税局宿舍 -名山区,3室3厅 | 154.15平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5个月以前发布,60,"3,893元/平"
大兴联排别墅带地下室，露天花园，有钥匙，看房方便,蘭台府一期 -大兴,5室2厅 | 145平米 | 东南 | 毛坯 | 低楼层(共3层)  | 塔楼,10人关注 / 一年前发布,165,"11,380元/平"
正黄精装修    大套三 客厅全落地窗 几乎没有住人,正黄金域首府一期 -姚桥,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,108,"8,781元/平"
大兴蕞佳地段 蕞佳视野 头牌正江景房,西网江湾城 -大兴,3室2厅 | 119.57平米 | 西北 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 9个月以前发布,112,"9,367元/平"
此房在熊猫公园旁，出行方便，户型方正，居住方便舒适,小城绿岛B区 -上坝区域,3室2厅 | 122平米 | 东南 | 毛坯 | 中楼层(共4层)  | 板楼,1人关注 / 一年前发布,133,"10,902元/平"
彩虹名居跃层 套三双卫 精装修 带花园带衣帽间,彩虹名居 -名山区,3室2厅 | 138平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,72,"5,218元/平"
上东阳光，带车位 套三双卫 看房方便,上东阳光 -名山区,3室2厅 | 112平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,74,"6,608元/平"
领地天屿 清水大套三双卫 下楼就是万达,领地天屿 -姚桥,3室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,135,"9,783元/平"
公馆1981全新精装修，房东诚心出售~,公馆1981B区小区 -姚桥,3室2厅 | 109.7平米 | 西 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 5个月以前发布,110,"10,028元/平"
工商局旁急售，出行方便，适合居住,火柴厂宿舍 -名山区,3室1厅 | 78.48平米 | 东南 西 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,25.8,"3,288元/平"
伯爵公馆跃层 全屋地暖 中 央空调 标准地下车位,伯爵公馆 -名山区,5室2厅 | 135平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,113,"8,371元/平"
此房楼层好，视野宽阔，采光充足，配套设施齐全,拓海第一江岸1期 -姚桥,3室2厅 | 99平米 | 东 南 | 精装 | 低楼层(共31层)  | 板塔结合,3人关注 / 5个月以前发布,72,"7,273元/平"
正黄五期单价便宜，临四小，钥匙在手看房方便,正黄金域名座 -姚桥,3室2厅 | 97.69平米 | 东南 | 毛坯 | 低楼层(共19层)  | 塔楼,0人关注 / 一年前发布,65,"6,654元/平"
观江府 3室2厅 南,观江府 -大兴,3室2厅 | 96.32平米 | 南 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 7个月以前发布,68,"7,060元/平"
一梯两户前后通透 户型方正随时看房,领地蘭台府云璟 -大兴,4室2厅 | 118平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,85,"7,204元/平"
大兴国际新城高品质小区套3双卫自带100平方大平台,龙溪源 -大兴,3室2厅 | 108平米 | 东南 | 毛坯 | 低楼层(共15层)  | 暂无数据,4人关注 / 6个月以前发布,48,"4,445元/平"
第壹江岸精装套三 关门卖  可看江  装修很少入住,拓海第一江岸1期 -姚桥,3室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 10个月以前发布,89,"8,318元/平"
