标题,开发商,房子信息,发布信息,售价/万,单价
御龙湾，东上首户型，好楼层，诚心出售。,金鹰御珑湾 -东台市,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 15天以前发布,210,"15,910元/平"
德惠尚书府 楼层好 采光好 交通便利,德惠尚书府 -白马商圈,3室2厅 | 104.32平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,0人关注 / 一年前发布,105,"10,066元/平"
诚心出售！双元路长坝小区，中间楼层，有钥匙随时看！,长坝小区 -双元西路商圈,3室2厅 | 93.55平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,104.8,"11,203元/平"
龙晶花园 阳光不挡 空间大 交通方便,龙晶河滨花园 -东台市,5室2厅 | 195.73平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,156.8,"8,012元/平"
欧风街  聚亨路  瑞尔花园  毛坯  有车库,瑞尔花园 -聚龙湖商圈,2室2厅 | 95.8平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,160,"16,702元/平"
德惠锦苑 江南园林社区 毛坯四房两卫 出家门进校门,德惠尚书房锦苑 -亭湖高中商圈,4室2厅 | 126.5平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 10个月以前发布,188.8,"14,925元/平"
南盐中旁，品质小区锦盛豪庭南郡。。。,锦盛豪庭·南郡 -中南商圈,2室2厅 | 87.32平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,136.8,"15,667元/平"
校区.购物 休闲，一站式生活所需要，满足居民生活,水韵新城 -滨海清水湖商圈,4室2厅 | 139.62平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,156.8,"11,231元/平"
金阳广场 户型好 带汽车位 出让满二 房东诚心出售,金阳广场 -东台市,3室2厅 | 123.53平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 塔楼,2人关注 / 一年前发布,110,"8,905元/平"
光光楼层好，户型方正，通风采光良好，交通便捷,泰山新村 -东台市,2室1厅 | 92.6平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,5人关注 / 一年前发布,63.3,"6,836元/平"
高品质小区、聚拢湖商圈、购物生活商圈齐全,龙泊湾 -聚龙湖商圈,3室2厅 | 142.69平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,1人关注 / 10个月以前发布,398,"27,893元/平"
此房19年新房，户型方正，适合一家三口居住，户型好,中梁聚龙首府 -中南商圈,3室2厅 | 108.59平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,154,"14,182元/平"
房子精装修    满五年   看房方便,西城逸品 -潘黄商圈,4室2厅 | 144.63平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,168,"11,616元/平"
聚龙湖 大平层 毛坯房 随时看,龙泊湾 -聚龙湖商圈,3室2厅 | 160.07平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,4人关注 / 一年前发布,380,"23,740元/平"
景山解放路悦达889荣润麒麟府毛坯三房随意装修,荣润麒麟府 -富康路商圈,3室2厅 | 106.63平米 | 南 | 毛坯 | 高楼层(共14层)  | 板塔结合,0人关注 / 8个月以前发布,162.8,"15,268元/平"
中南，新弄里商圈，华润橡树湾，精装3房，拎包入住,橡树湾 -中南商圈,3室2厅 | 122.67平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 8个月以前发布,206,"16,794元/平"
中南新弄里商圈八期 满两年 ，精装修拎包入住,中南景城南区 -中南商圈,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 5个月以前发布,146.8,"14,253元/平"
东台世纪大厦电梯精装修可直接拎包入住,世纪大厦 -东台市,3室2厅 | 107.73平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,100,"9,283元/平"
金庭苑北区  稀有6层电梯小洋房 户型方正 环境好,金庭苑北区 -缤纷亚洲商圈,3室2厅 | 120.01平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,7人关注 / 8个月以前发布,295,"24,582元/平"
戴庄路旁 公园式小区 香苑东园 有地暖 诚信出售,香苑东园 -中南商圈,3室2厅 | 158.54平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,15人关注 / 4个月以前发布,239.8,"15,126元/平"
凤凰汇 3室1厅 东南,凤凰汇 -聚龙湖商圈,3室1厅 | 113.08平米 | 东南 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,185,"16,361元/平"
户型方正，南北双阳台，户型好。,老皮防医院宿舍 -东台市,3室2厅 | 91.02平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,110,"12,086元/平"
"户型方正，采光好,小区配套完善，拎包入住",厦门华苑 -东台市,3室2厅 | 105.19平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,105.8,"10,058元/平"
满两年毛坯三房 楼层好采光佳 含8平米车库户型方正,金大洋花园 -缤纷亚洲商圈,3室2厅 | 102.59平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板塔结合,18人关注 / 一年前发布,190,"18,521元/平"
新苑小区 多层4楼   业主诚售,新苑小区（二三四区） -缤纷亚洲商圈,3室2厅 | 108.17平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,185,"17,103元/平"
新弄里旁中海万锦园北园毛坯四房采光良好看房方便,中海万锦北园 -中南商圈,4室2厅 | 132.56平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,7人关注 / 11个月以前发布,215,"16,220元/平"
楼层好，采光好，三室一厅一厨一卫,文林新村 -东台市,3室2厅 | 86平米 | 南 北 | 精装 | 中楼层(共5层)  | 平房,2人关注 / 一年前发布,79.8,"9,280元/平"
阳光不挡，户型方正，，诚心出售,颐湖园 -东台市,3室2厅 | 139.05平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,101.8,"7,322元/平"
东台碧桂园  3室2厅   精装   拎包入住,东台碧桂园 -东台市,3室2厅 | 97.27平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,95,"9,767元/平"
天樾府 好楼层 视野开阔 户型好 拎包入住,天樾府 -东台市,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,128.8,"10,734元/平"
中南世纪城七期  开发商精装修 中间楼层 采光佳,中南世纪城鼎城 -中南商圈,3室1厅 | 120.02平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,210,"17,498元/平"
"楼间距大，视野宽阔,采光充足,配套实施齐,交通便利",江南名苑 -张庄商圈,3室2厅 | 105.89平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,79,"7,461元/平"
毓龙路，幸福花苑，毛坯4房，东边户，有车库,幸福花苑(亭湖区) -人民公园商圈,4室2厅 | 153.4平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,230,"14,994元/平"
东台市大润发 实小旁 三房带朝南大车库可住人诚心出售,望海小区 -东台市,3室2厅 | 83.82平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,75.9,"9,056元/平"
凌桥小区3-2-1-1 94.93m² 120万  随时看房,凌桥小区 -人民公园商圈,3室2厅 | 94.93平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,98,"10,324元/平"
楼层好，采光好，诚心出售，三室朝南 ，全明户型,阳光水岸花园 -富康路商圈,3室2厅 | 124.02平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,142,"11,450元/平"
北城馨园 电梯房 满五唯一 有35平车库 好楼层飞机户型,北城馨园 -白马商圈,3室2厅 | 133.15平米 | 南 北 | 精装 | 高楼层(共9层)  | 塔楼,6人关注 / 8个月以前发布,119.9,"9,005元/平"
中南世纪城瑞城 精装60万采光无遮挡 有车位两个,中南世纪城瑞城 -中南商圈,4室2厅 | 138.15平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,4人关注 / 9个月以前发布,269,"19,472元/平"
锦盛豪庭3房东上首.看房戴墨镜,锦盛豪庭·北苑 -中南商圈,3室2厅 | 133.67平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 9个月以前发布,179,"13,392元/平"
房东诚心出售，家电家具全留，欢迎随时看房,中南世纪城瑞城 -中南商圈,4室2厅 | 119.67平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,16人关注 / 一年前发布,215,"17,967元/平"
中庚海德公园 解放南路上 4房 位置好 看中随时签约,中庚海德公园 -中南商圈,4室2厅 | 142.13平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼,8人关注 / 一年前发布,211,"14,846元/平"
景山解放路悦达889旁麒麟府精装四房，满二,荣润麒麟府 -富康路商圈,4室2厅 | 134.12平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,4人关注 / 一年前发布,229.8,"17,134元/平"
悦达889旁 大三房 采光好  景山解放路,力拓悦城 -富康路商圈,3室2厅 | 139.17平米 | 东南 南 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,160,"11,497元/平"
此房精装修，通风好视野开阔，配套齐全交通便利,德惠尚书房西区 -亭湖高中商圈,3室2厅 | 87.56平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 9个月以前发布,110,"12,563元/平"
城南精装修大面积户型南北通风三房两卫,金水湾 -东台市,3室2厅 | 136平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,2人关注 / 4个月以前发布,139.8,"10,280元/平"
城东景山 满五唯一 南北双阳台 精装大三房 东边户！,东城尚品 -富康路商圈,3室2厅 | 132.39平米 | 南 北 | 精装 | 中楼层(共14层)  | 塔楼,2人关注 / 9个月以前发布,190,"14,352元/平"
城东景山 满五唯一 南北双阳台 精装大三房 东边户！,东城尚品 -富康路商圈,3室2厅 | 132.39平米 | 南 北 | 精装 | 中楼层(共14层)  | 塔楼,2人关注 / 9个月以前发布,190,"14,352元/平"
悦达889旁 大三房 采光好  景山解放路,力拓悦城 -富康路商圈,3室2厅 | 139.17平米 | 东南 南 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,160,"11,497元/平"
城南精装修大面积户型南北通风三房两卫,金水湾 -东台市,3室2厅 | 136平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,2人关注 / 4个月以前发布,139.8,"10,280元/平"
此房精装修，通风好视野开阔，配套齐全交通便利,德惠尚书房西区 -亭湖高中商圈,3室2厅 | 87.56平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 9个月以前发布,110,"12,563元/平"
月湖花城精装三房随时看房诚意出售！一至九年纪都在,月湖花城 -缤纷亚洲商圈,3室1厅 | 101.77平米 | 东南 南 | 精装 | 中楼层(共15层)  | 板楼,4人关注 / 6个月以前发布,190,"18,670元/平"
飞机户型 双阳台 采光无遮挡 含车库车位,悦达悦珑湾 -五星车站商圈,3室2厅 | 140.2平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,240,"17,119元/平"
东景山 保利紫荆公馆 品质小区 南北通风  毛坯现房,保利紫荆公馆 -亭湖高中商圈,3室2厅 | 107.3平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,4人关注 / 7个月以前发布,133.8,"12,470元/平"
采光良好，户型方正，中南商圈，生活方便,奥体玫瑰园A区 -中南商圈,3室1厅 | 121.3平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,180,"14,840元/平"
八达城 2室2厅 南,八达城 -东台市,2室2厅 | 91.91平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,111,"12,078元/平"
品质小区，品质物业，户型*正，采光*好,奥体玫瑰园B区 -中南商圈,3室1厅 | 103平米 | 南 | 毛坯 | 低楼层(共29层)  | 板楼,1人关注 / 一年前发布,159.8,"15,515元/平"
力拓悦城 精装三房 随意装 采光充足 视野开阔,力拓悦城 -富康路商圈,3室2厅 | 108.91平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,0人关注 / 一年前发布,145.8,"13,388元/平"
东坝低楼层阳光充足2房朝南，户型方正精装可拎包入住,东坝小区 -东台市,2室1厅 | 69.02平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 28天以前发布,82.8,"11,997元/平"
此房户型方正，南北通风户型，楼层好视野开阔，,碧桂园铂悦澜庭 -盐城会展中心商圈,3室2厅 | 121.5平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,162,"13,334元/平"
城南 聚龙湖 凤鸣缇香 观湖壹号 毛坯三房,观湖名邸 -聚龙湖商圈,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共24层)  | 塔楼,5人关注 / 一年前发布,163.6,"14,227元/平"
高新区荷塘月色 精装修满二 看房方便,荷塘月色 -盐都商圈,3室1厅 | 125.27平米 | 南 北 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,139.9,"11,168元/平"
此房毛坯四房  主次卧朝南 中上楼层视野好 采光可以,金辉优步水岸 -中南商圈,4室1厅 | 116平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,158,"13,621元/平"
邻先锋岛北金鹰 三房假二楼 阳光充足,阳春小区 -双元西路商圈,3室1厅 | 88平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,85.3,"9,694元/平"
LCY；城南万锦公馆，毛坯洋房，采光具好，视野开阔,中海万锦公馆 -中南商圈,4室2厅 | 159.7平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,36人关注 / 8个月以前发布,230,"14,403元/平"
业主急售 南附医 新弄里  精装三房  采光充足交通方便,中南世纪城五期 -中南商圈,3室2厅 | 94.86平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,159,"16,762元/平"
东关公寓135平三室两卫精装修,东关公寓 -东台市,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,139.8,"10,356元/平"
金色华庭西区3-2-1-2 133.92m² 215 万精装修,金色华庭西区 -双元西路商圈,3室2厅 | 133.92平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,208.8,"15,592元/平"
公园道一号，满二年，采光充足。,公园道1号 -宝龙商圈,3室2厅 | 140.97平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,13人关注 / 一年前发布,370,"26,247元/平"
三开间朝南，双阳台，四房双卫，户型方正,东进路美食街 -宝龙商圈,4室2厅 | 160.47平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 一年前发布,380,"23,681元/平"
万方名城108平 168万 空中别墅 有车库 价格可谈,万方名城静心园 -双元西路商圈,5室2厅 | 108.03平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,135,"12,497元/平"
恒大名都 采光 NICE 装修可以 诚心出售,恒大名都 -麦德龙商圈,3室2厅 | 120.44平米 | 北 南 | 精装 | 高楼层(共32层)  | 板楼,9人关注 / 8个月以前发布,150,"12,455元/平"
八菱花园  三室两厅   精装修   拎包入住,八菱花园 -缤纷亚洲商圈,3室2厅 | 157.99平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,8人关注 / 一年前发布,280.8,"17,774元/平"
步行街旁大户型4房两厅两卫带27平车库南北通风采光好,茶城花园 -东台市,4室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,8人关注 / 一年前发布,126.6,"9,891元/平"
金水湾三区现代精装修，中层满五唯一，靠吾悦广场,金水湾 -东台市,3室2厅 | 129.18平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,7人关注 / 一年前发布,189.8,"14,693元/平"
聚龙湖畔华厦绿城旁瑞尔花园115平精装 看房方便,瑞尔花园 -聚龙湖商圈,3室2厅 | 115.01平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,7人关注 / 一年前发布,187,"16,260元/平"
临万达 出行方便 采光好 楼层佳 精装修 拎包即住,前进小区 -双元西路商圈,3室2厅 | 99.98平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,86,"8,602元/平"
采光充足，视野开阔，诚心出售，交通便捷,东园新村 -东台市,3室2厅 | 125.22平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,82.8,"6,613元/平"
金鹰聚龙湖旁恒荣世家精装3房拎包即住有车库,恒荣世家 -聚龙湖商圈,3室2厅 | 109.42平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,149.8,"13,691元/平"
采光充足，视野开阔，诚心出售，交通便捷,金水湾 -东台市,4室2厅 | 149.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,185,"12,391元/平"
万达隔壁 空中别墅 顶复 露台 满五唯一 房东诚心出售,苏豪名邸 -双元西路商圈,4室3厅 | 152.31平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 4个月以前发布,185,"12,147元/平"
瑞尔花园湖景房 精装修 三房 两个汽车位 诚心出售,瑞尔花园 -聚龙湖商圈,3室2厅 | 140.05平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,6人关注 / 一年前发布,220,"15,709元/平"
金鹰：大平层5房2厅1厨2卫 179平大平层精装修拎包入住,金鹰盛世花园 -东台市,5室2厅 | 178.75平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 4个月以前发布,283.8,"15,877元/平"
"人才公寓精装修,拎包入住,满五唯一125平",人才公寓 -东台市,3室2厅 | 124.08平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,81.6,"6,577元/平"
体育场西侧欧堡利亚臻园品质小区,欧堡利亚臻园 -滨海体育中心商圈,3室2厅 | 123.85平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,123.8,"9,996元/平"
都市名苑 南北朝向 楼层好 视野开阔 配套设施齐全,都市名苑 -东台市,3室2厅 | 108平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,143,"13,241元/平"
欧堡利亚臻园，精装修，采光无遮挡，随时看房,欧堡利亚臻园 -滨海体育中心商圈,3室2厅 | 123.85平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,12人关注 / 一年前发布,120,"9,690元/平"
小区风景优美 空气清新   楼层 挺好的    。。。,森活绿郡 -东台市,3室2厅 | 133.65平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,153,"11,448元/平"
此房满五，视野开阔，采光充足，户型方正,红兰花园北区 -东台市,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共5层)  | 塔楼,3人关注 / 8个月以前发布,116,"9,063元/平"
兴城国际花园，空中别墅，视野开阔,兴城国际花园 -东台市,5室3厅 | 202平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,258,"12,773元/平"
南金鹰中南城  海德公园  精装修  诚心出售,中庚海德公园 -中南商圈,3室2厅 | 90.82平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,150,"16,517元/平"
晶都悦府，168平四房，毛坯低楼层，采光好南北通透,晶都悦府 -中南商圈,4室1厅 | 168.39平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,370,"21,973元/平"
中南景城南区 小区环境优美 户型方正 房东诚心出售,中南景城南区 -中南商圈,3室1厅 | 122.06平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 一年前发布,175,"14,338元/平"
工农桥 法国小镇 南北通透 精装修 带车库出让满五唯一,西海华庭  -东台市,4室2厅 | 143.88平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,100,"6,951元/平"
出让满二 视野开阔  精装双阳台,世纪商住楼 -东台市,3室2厅 | 113.19平米 | 东 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,90.8,"8,022元/平"
神州河畔景苑小高层精装三房楼层好装修新,神州河畔景苑 -麦德龙商圈,3室2厅 | 138.77平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,175,"12,611元/平"
解放路边 地段好 总价低 采光好 好楼层 高得房率,娱乐花园 -缤纷亚洲商圈,3室1厅 | 125.47平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,258,"20,563元/平"
润洋壹品(东台市) 3室2厅 南 北,润洋壹品(东台市) -东台市,3室2厅 | 121.11平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,148.8,"12,287元/平"
香槟公馆，精装修，满两年，随时看房,香槟公馆 -麦德龙商圈,3室2厅 | 134.88平米 | 东 西 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,190,"14,087元/平"
此小区交通方便，此房阳光不挡南北通风，户型方正,上海丽苑 -东台市,3室2厅 | 108.66平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 27天以前发布,129.8,"11,946元/平"
房子房间多带露台，精品好房抢购,龙晶河滨花园 -东台市,5室3厅 | 229.46平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 30天以前发布,228,"9,937元/平"
秀峰华庭 复式 餸楼上70平 有个朝南汽车库,秀峰华庭 -东台市,3室2厅 | 135.54平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 31天以前发布,156.8,"11,569元/平"
金鹰御珑湾3室2厅2卫，户型方正,金鹰御珑湾 -东台市,3室2厅 | 121.24平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,218,"17,981元/平"
新桥小区3室2厅一厨两卫，采光好，配套设施齐全,新桥小区 -东台市,3室2厅 | 144.59平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,118,"8,162元/平"
城南聚龙湖商圈凤凰汇天泽府精装4房满五唯一拎包入住,凤凰汇天泽府 -聚龙湖商圈,4室2厅 | 175.35平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 1个月以前发布,410,"23,382元/平"
金水湾电梯洋房有车库大三房，拎包入住，房东诚心出售,金水湾 -东台市,3室2厅 | 142平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 26天以前发布,199.8,"14,071元/平"
6层真洋房  三房双卫新中式装修 有车库 满2年,通银·森林公馆 -潘黄商圈,3室1厅 | 131.58平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 21天以前发布,220,"16,720元/平"
视野宽阔，采光充足，配套设施齐全,金地盛大花园 -东台市,3室2厅 | 132.53平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 28天以前发布,172.8,"13,039元/平"
碧水绿都，132.12平米，3室2厅1厨2卫，86万，户型好,碧水绿都 -滨海体育中心商圈,3室2厅 | 132.12平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,86,"6,510元/平"
国园壹城 3室2厅 南,国园壹城 -五星车站商圈,3室2厅 | 111.24平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 24天以前发布,126.8,"11,399元/平"
聚诚文正苑，四季恒温，精装入住。,聚诚文正苑 -东台市,4室2厅 | 115.78平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 30天以前发布,170,"14,684元/平"
此房户型方正，楼层好，视野开阔釆光充足，双阳台,金东广场C区 -东台市,3室2厅 | 150.45平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 19天以前发布,159,"10,569元/平"
五洲国际 锦绣苑旁精装 随时看房,迎宾南路29号 -海华商圈,3室2厅 | 97.2平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,85,"8,745元/平"
出售桃李天下精装房三室好楼层，采光优,东台桃李天下 -东台市,3室2厅 | 106.59平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 18天以前发布,105.8,"9,926元/平"
诚心出市区 招商城 洋东新苑 有额外八平方左右面积,洋东新苑 -招商场商圈,3室1厅 | 89.35平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,80,"8,954元/平"
此房满五唯一，居家装修，采光好,盐南三区A -永基广场商圈,3室2厅 | 83.24平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 31天以前发布,72,"8,650元/平"
大润发购物广场旁 不是顶楼 精装修 车库18平,娱乐花园 -缤纷亚洲商圈,3室1厅 | 99.62平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 24天以前发布,170,"17,065元/平"
满五唯一 大润发旁 精装修 有车库 采光充足 拎包即住,娱乐花园 -缤纷亚洲商圈,4室2厅 | 167.03平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 24天以前发布,318,"19,039元/平"
高铁旁 福鑫苑 精装3房 114平 102 万,福鑫苑 -新河商业街商圈,3室2厅 | 114.02平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,102,"8,946元/平"
通榆新村五区 装修清爽 三房两厅 93.5万拎包就住,通榆新村五区 -招商场商圈,3室2厅 | 85.41平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 29天以前发布,93.5,"10,948元/平"
此房满二唯一，精装修，拎包入住。视野开阔，采光充足,时代豪庭 -东台市,4室2厅 | 143.19平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 18天以前发布,216,"15,085元/平"
楼层好 视野好 采光充足 ，有车库精装修,文泽府邸 -招商场商圈,2室2厅 | 90.56平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 25天以前发布,132,"14,576元/平"
恒大名都旁 小区很清爽 好楼层精装修拎包即住,兴都公寓 -麦德龙商圈,3室2厅 | 128.65平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 18天以前发布,149,"11,582元/平"
城南 串场河旁 恒大帝景 精装三房 房东重新装修了,恒大帝景 -聚龙湖商圈,3室2厅 | 112.6平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 21天以前发布,170,"15,098元/平"
南洋路61号4-3-1-1 129.59m² 136 万,南洋路61号 -新四军纪念馆商圈,4室3厅 | 129.59平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 29天以前发布,136,"10,495元/平"
景湖理想城，户型经典，单价低，采光佳,景湖理想城 -滨海体育中心商圈,3室2厅 | 139平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,102.8,"7,396元/平"
月湖花城小三房精品房，看过来哟,月湖花城 -缤纷亚洲商圈,3室2厅 | 98.92平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 18天以前发布,210,"21,230元/平"
