标题,开发商,房子信息,发布信息,售价/万,单价
有大红本    早就满五   户型方正    采光充足,十八中宿舍 -旧省政府,2室1厅 | 66.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,91.8,"13,793元/平"
五一广场 人行宿舍单位房 停车方便 把边亮厅 有两票,人民银行小区 -桥东街,3室1厅 | 95.98平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 一年前发布,109,"11,357元/平"
恒大绿洲  南北通透，视野开阔，采光好！！！,太原恒大绿洲 -经济开发区商圈,4室2厅 | 234.5平米 | 北 南 | 精装 | 高楼层(共11层)  | 板塔结合,7人关注 / 一年前发布,245,"10,448元/平"
水西关街 94年建的房子 朝南大两居室 大客厅,晋商银行宿舍 -水西关商圈,2室1厅 | 78平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,21人关注 / 6个月以前发布,66,"8,462元/平"
汾河公园双景观  摩天石新上 高楼层  单价低,摩天石 -千峰北路商圈,4室2厅 | 314.34平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,3人关注 / 3个月以前发布,367,"11,676元/平"
恒大绿洲，大红本满二，拎包入住,太原恒大绿洲 -经济开发区商圈,3室2厅 | 135.12平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,10人关注 / 一年前发布,162,"11,990元/平"
花园洋房，公摊14.5%，独梯独户,公园美地 -大井峪商圈,3室2厅 | 151.64平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,63人关注 / 一年前发布,152,"10,024元/平"
恒大绿洲，大红本满二，拎包入住,太原恒大绿洲 -经济开发区商圈,3室2厅 | 135.12平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,10人关注 / 一年前发布,162,"11,990元/平"
晋阳湖汾河景观房经典三居室高层电梯房精装修领包入住,富力湾 -晋阳湖商圈,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,8人关注 / 8个月以前发布,128,"10,667元/平"
此房屋满五，采光好配套齐全，出行方便,新光第一小区 -义井商圈,2室2厅 | 78.38平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,56,"7,145元/平"
新上好房绿地世纪城 精装修 大红本满二 东把边户型,绿地世纪城四期 -晋阳湖商圈,3室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,122,"11,620元/平"
和平南路 西峪东街 好房急售 低楼层,西峪街一社区（太药A）区 -义井商圈,3室1厅 | 85.2平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 6个月以前发布,55,"6,456元/平"
五一广场 人行宿舍单位房 停车方便 把边亮厅 有两票,人民银行小区 -桥东街,3室1厅 | 95.98平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 一年前发布,109,"11,357元/平"
长风商务区 邻近晋阳湖 保利梧桐语精装修两居室,保利梧桐语 -义井商圈,2室1厅 | 90.45平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 3个月以前发布,103.6,"11,454元/平"
富力现代广场  大红本满二    税费低,富力现代广场 -和平南路商圈,3室1厅 | 158.28平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,147,"9,288元/平"
长风西街 富力现代广场 双朝阳眼镜户型 中间楼层,富力现代广场 -和平南路商圈,2室2厅 | 83平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,3人关注 / 5个月以前发布,83,"10,000元/平"
大红本满二 低于市场行情 房东着急出售,智诚御河骏景B区 -下元商圈,3室1厅 | 130平米 | 南 西 北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,129.9,"9,993元/平"
万象城 保利梧桐语  精装小三居 南北通透,保利梧桐语 -义井商圈,3室2厅 | 97.79平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,36人关注 / 一年前发布,118,"12,067元/平"
综改大平层 单价低，南北通透，中间楼层无遮挡采光好,中泽纯境 -经济开发区商圈,6室2厅 | 336平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,6人关注 / 一年前发布,164,"4,881元/平"
阔气大4居 恒大雅苑150平精装  全天采光急售,恒大雅苑 -和平南路商圈,4室1厅 | 149.81平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,21人关注 / 8个月以前发布,153,"10,213元/平"
大红本电梯房  大4居  南北通透  精装 带电梯,景秀苑北区 -千峰南路商圈,4室2厅 | 161.84平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,160,"9,887元/平"
恒大滨河左岸，滨体公园，漪汾街，文兴路，外国语,太原恒大滨河左岸 -千峰北路商圈,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,159,"12,422元/平"
老军营东一条 浇筑房 大三居 看房方便 诚心出售,老军营东一条 -老军营商圈,3室2厅 | 107.73平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,154,"14,295元/平"
南内环  千峰南路  和平公园旁  独梯独户 四居,保利海德公园 -千峰南路商圈,4室2厅 | 161.85平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,220,"13,593元/平"
千峰南路 和平公园旁边 新家一天未住  采光无遮挡,保利海德公园 -千峰南路商圈,3室2厅 | 128.83平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,35人关注 / 9个月以前发布,165,"12,808元/平"
后小河电梯两室一厅，龙潭公园旁，精装修拎包入住,康居苑 -龙潭公园,2室1厅 | 69.72平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,2人关注 / 3个月以前发布,103,"14,774元/平"
万科精装小三居，公摊小，好楼层 采光无遮挡,万科蓝山6期 -和平南路商圈,3室2厅 | 101平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,4人关注 / 11个月以前发布,115,"11,387元/平"
长风商务区 万象城 精装修一天未住 全屋定制,保利梧桐语 -义井商圈,3室2厅 | 116.35平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,2人关注 / 3个月以前发布,167,"14,354元/平"
毛坯现房，中楼层，出家门进校门,泰瑞城·九礼 -义井商圈,3室2厅 | 134.34平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,120,"8,933元/平"
晋阳湖观景大两居，精装满二，拎包入住,绿地世纪城四期 -晋阳湖商圈,2室2厅 | 93平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,112,"12,044元/平"
长风商务区地段。交通。购物便利,紫竹園 -义井商圈,3室1厅 | 134.51平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,33人关注 / 10个月以前发布,99,"7,361元/平"
长风商务区万象城旁梧桐院 舒适两居室 大红本满二年,梧桐院 -义井商圈,2室2厅 | 89.7平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 8个月以前发布,90,"10,034元/平"
长风街 天美旁 三居 浇筑 南北 中间层,腾龙苑 -亲贤商圈,3室1厅 | 100.49平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,94,"9,355元/平"
长风商务区  保利梧桐语  精装朝南两室,保利梧桐语 -义井商圈,2室2厅 | 94.21平米 | 南 西 | 精装 | 低楼层(共32层)  | 塔楼,14人关注 / 一年前发布,110,"11,677元/平"
亲贤街  体育路  百桐园旁 南北三居室,佳地花园 -亲贤商圈,3室2厅 | 115.59平米 | 东 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,106,"9,171元/平"
漪汾街，文兴路，低公摊，滨体公园，恒大滨河左岸,军安里小区 -千峰北路商圈,4室2厅 | 171.91平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,115,"6,690元/平"
晋阳湖汾河观景房 三阳开泰户型 看房方便 税费清晰,太原万科翡翠公园 -晋阳湖商圈,4室2厅 | 165平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,7人关注 / 6个月以前发布,205,"12,425元/平"
优山美郡 精装两居 满5年有 地下室和车位 省人民医院,辰兴·优山美郡 -三给,2室2厅 | 90.28平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,14人关注 / 一年前发布,75,"8,308元/平"
长风街 天美旁 三居 浇筑 南北 中间层,腾龙苑 -亲贤商圈,3室1厅 | 100.49平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,94,"9,355元/平"
长风商务区  保利梧桐语  精装朝南两室,保利梧桐语 -义井商圈,2室2厅 | 94.21平米 | 南 西 | 精装 | 低楼层(共32层)  | 塔楼,14人关注 / 一年前发布,110,"11,677元/平"
亲贤街  体育路  百桐园旁 南北三居室,佳地花园 -亲贤商圈,3室2厅 | 115.59平米 | 东 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,106,"9,171元/平"
漪汾街，文兴路，低公摊，滨体公园，恒大滨河左岸,军安里小区 -千峰北路商圈,4室2厅 | 171.91平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,115,"6,690元/平"
小区环境优美，地质优越，出行方便,坤泽十里城北区 -经济开发区商圈,4室2厅 | 206.64平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,178,"8,615元/平"
长风商务区万象城旁梧桐院 舒适两居室 大红本满二年,梧桐院 -义井商圈,2室2厅 | 89.7平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 8个月以前发布,90,"10,034元/平"
此房为2019年交房，交通方便，离新道街近,中车国际广场二期 -区政府商圈,3室2厅 | 144.33平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,10人关注 / 一年前发布,163,"11,294元/平"
北方明珠小区  南北通透  三室两厅两卫  采光好,北方明珠小区 -小东门,3室2厅 | 131.49平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,1人关注 / 4个月以前发布,100,"7,606元/平"
通阳台带地下室 首付15下元和平路理工大宿舍 中间楼层,理工大西区 -千峰北路商圈,2室1厅 | 60平米 | 南 | 其他 | 中楼层(共6层)  | 平房,1人关注 / 29天以前发布,47.5,"7,917元/平"
圣湖万年花城 2室1厅 南,圣湖万年花城 -晋阳湖商圈,2室1厅 | 92.69平米 | 南 | 简装 | 高楼层(共22层)  | 板楼,0人关注 / 23天以前发布,68,"7,337元/平"
大阳台南北各一个卧室，2层出行方便，生活便利,兴汾苑小区 -千峰北路商圈,2室1厅 | 77平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,49,"6,364元/平"
新道街   46.28平米   一室一厅  朝南  坡道楼梯,国师街26号 -旧省政府,1室1厅 | 46.28平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 19天以前发布,70,"15,126元/平"
张家巷省二建 精装修 好房急售 先到先得,山西二建集团张家巷住宅小区 -建南汽车站商圈,2室2厅 | 72.78平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 21天以前发布,68,"9,344元/平"
经园路五龙口公园旁小三居房东急售！,府东公园6栋 -东客站,3室1厅 | 106平米 | 西南 | 其他 | 中楼层(共23层)  | 塔楼,0人关注 / 19天以前发布,91,"8,585元/平"
太原市土产日杂公司北河湾宿舍 2室1厅 南 北,太原市土产日杂公司北河湾宿舍 -肿瘤医院商圈,2室1厅 | 97.21平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,53,"5,453元/平"
业主因置换售房、出租中、随时看房联系维护人,金色丽城 -南站机场商圈,3室2厅 | 148.42平米 | 南 北 | 简装 | 中楼层(共15层)  | 板塔结合,0人关注 / 28天以前发布,116,"7,816元/平"
标准三居，客厅向阳，南北通透，桃南三十六，随时看房,审计厅一号院 -桃园南路,3室1厅 | 99.64平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 24天以前发布,97,"9,736元/平"
大东关 敦化路 陶瓷厂宿舍 两居 大红本满两年诚心出售,太原陶瓷厂宿舍 -大东关商圈,2室1厅 | 64平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 18天以前发布,49.9,"7,797元/平"
绿洲全明中三居 保养好 家具家电齐全拎包入住,太原恒大绿洲 -经济开发区商圈,3室2厅 | 116.65平米 | 东 北 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 25天以前发布,130,"11,145元/平"
西矿街 前进路 玉门河公园旁 大红本可贷款,前进路7号院 -千峰北路商圈,2室1厅 | 56平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,31,"5,536元/平"
全明户型南北通 采光佳 精装修可拎包入住,文兴苑(小店区) -学府商圈,3室2厅 | 119.82平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,1人关注 / 18天以前发布,135,"11,267元/平"
长风西街长风商务区大三居公安厅团购,丽景苑 -义井商圈,3室2厅 | 136平米 | 南 北 | 简装 | 高楼层(共24层)  | 板楼,2人关注 / 26天以前发布,140,"10,295元/平"
杏花岭区，国贸商圈，龙潭公园  万达商场,地质三局三桥宿舍 -国贸商圈,1室1厅 | 45.03平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,28,"6,219元/平"
带院的低密小高层 精装修的楼中楼 南北通透 交通便利,华宇绿洲 -学府商圈,4室2厅 | 146.98平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 23天以前发布,200,"13,608元/平"
长风街 亲贤商圈 大红本 高层电梯房 精装修 南北通透,漢唐長風 -亲贤商圈,3室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 28天以前发布,130,"9,220元/平"
恒大滨河左岸 中间楼层，采光好，,太原恒大滨河左岸 -千峰北路商圈,3室2厅 | 130.16平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 16天以前发布,153,"11,755元/平"
诚心出售 煤化所宿舍 1985年 有两票 中间2层 有钥匙,中国科学院山西煤炭化学研究所宿舍 -桃园南路,2室1厅 | 54.86平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 17天以前发布,93,"16,953元/平"
急售 二次装修带家具家电 原业主一手住房 没出租过,恒大未来城 -龙城商圈,1室1厅 | 44.93平米 | 西 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 31天以前发布,65,"14,467元/平"
长风西街万科开发  两居总价低  好楼层 满二 诚意出售,万科蓝山3期 -和平南路商圈,2室1厅 | 91.77平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 18天以前发布,103,"11,224元/平"
火车站桥东街二室楼层低采光好业主诚心售卖,新生里小区 -桥东街,1室1厅 | 45平米 | 东 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 24天以前发布,14,"3,112元/平"
和平公园 保利海德 南北两居 南边楼采光足 诚心！,保利海德公园 -千峰南路商圈,2室1厅 | 86.78平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 27天以前发布,115,"13,252元/平"
杏花岭区 国师街  新道街 好楼层,科委宿舍 -旧省政府,3室2厅 | 97.54平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,152,"15,584元/平"
五龙口街浇筑房好楼层，房东诚心出售！,瑞生佳园 -五龙口商圈,2室2厅 | 82.61平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,20人关注 / 一年前发布,65,"7,869元/平"
滨河西路 唐明饭店宿舍 主卧客厅朝南 中间层 大红本,唐明饭店宿舍 -理工大商圈,2室1厅 | 81.9平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,66,"8,059元/平"
和谐公园 图书馆  两居户型好 楼层好 大红本满二,坤泽十里城北区 -经济开发区商圈,2室2厅 | 101.09平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,5人关注 / 一年前发布,95,"9,398元/平"
柳巷 开化寺 解放路 近地鉄 两室一厅 随时看房,兴隆街5号 -水西门商圈,2室1厅 | 101.09平米 | 北 | 简装 | 中楼层(共15层)  | 板楼,12人关注 / 4个月以前发布,66,"6,529元/平"
万科翡翠220平天花板  二次装修 带家具家电,太原万科翡翠公园 -晋阳湖商圈,4室2厅 | 220平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,2人关注 / 1个月以前发布,329,"14,955元/平"
旱西关 南北三居 中间楼层 对新建路。,桃北小区 -十二中商圈,2室1厅 | 76平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,80,"10,527元/平"
亲贤 茂业 八一 南北两居 看房方便 中间楼层,重减小区 -亲贤商圈,2室1厅 | 57.92平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,52,"8,978元/平"
地铁口两居  户型冬暖夏凉  满二  诚意出售,恒大绿洲西西区 -经济开发区商圈,2室2厅 | 95.89平米 | 东南 | 精装 | 高楼层(共26层)  | 板塔结合,3人关注 / 4个月以前发布,106,"11,055元/平"
富力城经典两居，精装修，中间层采光好，大红本满二,富力城E区 -富力城商圈,2室2厅 | 86.79平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 一年前发布,78,"8,988元/平"
，该出手时就出手  难的一见的小户型朝向好,城南都市嘉园 -南站机场商圈,2室2厅 | 85.93平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 4个月以前发布,83,"9,660元/平"
迎泽大街 精装两居 满五唯一 诚心出售  价格可谈,鸿峰花园西区 -理工大商圈,2室2厅 | 87.87平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,71.5,"8,138元/平"
桃园南路五交化宿舍 满五唯一 中间楼层 南北通透,桃园南路五交化东宿舍 -桃园南路,2室1厅 | 70.56平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,89,"12,614元/平"
北大街东口，院大，楼层低，小户型，采光好。,太铁材料厂宿舍 -赛马场商圈,2室1厅 | 44.34平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,5人关注 / 4个月以前发布,33,"7,443元/平"
园林小区 单位团购 满五唯一 中间层  精装,紫園 -晋阳街商圈,2室1厅 | 104.18平米 | 南 | 简装 | 中楼层(共22层)  | 板塔结合,5人关注 / 4个月以前发布,115,"11,039元/平"
柳溪花园大平层 精装婚房 业主急售  本满五 可按揭,柳溪花园 -金刚堰商圈,3室2厅 | 169.38平米 | 西南 | 其他 | 中楼层(共19层)  | 板楼,3人关注 / 4个月以前发布,145,"8,561元/平"
富力城三期 楼层好 采光好 满二,富力城D区 -富力城商圈,2室1厅 | 91.08平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,81,"8,894元/平"
恒大绿洲 成熟社区 大红本 精装两居,太原恒大绿洲 -经济开发区商圈,2室2厅 | 99.44平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,11人关注 / 7个月以前发布,109,"10,962元/平"
省人民医院东侧 浇筑房 中间楼层 南北通透 采光好,东岗小区(迎泽区) -人民医院,2室1厅 | 69.29平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,20人关注 / 7个月以前发布,45.5,"6,567元/平"
南内环 长治路 地铁口 精装两居没住过 房东诚心出售,南内环小区 -亲贤商圈,2室1厅 | 49.64平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,46,"9,267元/平"
中正悦湾，精装修两居室，有钥匙，看房方便,中正悦湾 -女子医院,2室2厅 | 81.26平米 | 西 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,67,"8,246元/平"
火车站商圈 大红本，总价低 采光好，配套齐全,中铁六局太原铁建建南十号院 -火车站商圈,1室1厅 | 40.72平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,5人关注 / 2个月以前发布,20,"4,912元/平"
南中环 国际大都会 小户型 两居,国际大都会东区 -晋阳街商圈,2室1厅 | 65.36平米 | 西南 | 其他 | 低楼层(共6层)  | 板塔结合,34人关注 / 6个月以前发布,66.5,"10,175元/平"
随时可看，户型好 精装电梯房 公园路,金域阅山 -千峰北路商圈,2室1厅 | 99.1平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,11人关注 / 9个月以前发布,113,"11,403元/平"
下元理工大西区朝阳两居室 停车方便,理工大西区 -千峰北路商圈,2室1厅 | 52.56平米 | 南 | 简装 | 中楼层(共4层)  | 平房,6人关注 / 8个月以前发布,38.8,"7,383元/平"
房东急售 东润国际刚需二居 低总价 毛坯可自装修,东润国际 -南站机场商圈,2室2厅 | 80.43平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,60,"7,460元/平"
迎泽大街  迎泽公园   精装小户型  拎包入住,迎泽园小区 -青年路商圈,2室1厅 | 48.74平米 | 东 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,33.5,"6,874元/平"
诚售！长风街和平南路 精装两居 位置好,富力现代广场 -和平南路商圈,2室1厅 | 89.89平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,55人关注 / 一年前发布,85,"9,457元/平"
后小河电梯房，公园门口。精装房，房东急售,康居苑 -龙潭公园,3室1厅 | 173平米 | 南 西 | 其他 | 高楼层(共24层)  | 板楼,3人关注 / 5个月以前发布,208,"12,024元/平"
此房大红本在手  中间楼层  采光足位置佳 可拎包入住,馨春龙城苑A区 -肿瘤医院商圈,2室1厅 | 75平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,0人关注 / 10天以前发布,55,"7,334元/平"
此房屋大红本满二，过户费用低。中间楼层，采光很好,优派对小区 -人民医院,1室1厅 | 64平米 | 北 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,49,"7,657元/平"
大南门 地铁站旁 朝南小户型 大红本,粮食局宿舍 -大南门商圈,1室1厅 | 37.81平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,8人关注 / 一年前发布,29,"7,670元/平"
新上：府东街 东客站 府东公园6栋 南北 精装 带家具,府东公园6栋 -东客站,2室1厅 | 100.73平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,7人关注 / 5个月以前发布,77,"7,645元/平"
府西街 龙潭公园  大红本 2层 南北两居  诚心出售,小新街 -国贸商圈,2室2厅 | 70平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,57,"8,143元/平"
急售、、晋阳街财经大学，印象城，南站旁,财经大学南校区家属院 -南站机场商圈,3室1厅 | 78.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,70,"8,906元/平"
东峰路马道坡，三室俩厅一厨一卫浇筑房,龙福嘉苑 -东山北商圈,3室2厅 | 118.07平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,59,"4,998元/平"
急售 商务区 万象城 附 近 梧桐院 奢适俩房,梧桐院 -义井商圈,2室1厅 | 100.95平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,99,"9,807元/平"
光信国信高层次 家具齐全可拎包住 复古风装修年限近,光信·國信嘉園 -学府商圈,3室2厅 | 143.6平米 | 北 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 21天以前发布,285,"19,847元/平"
业主急转 阳光揽胜精装三居拎包房子保养特棒 看房方便,阳光揽胜4.0 -经济开发区商圈,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,3人关注 / 19天以前发布,135,"10,385元/平"
好楼层，房龄新，浇筑房，小三居，成熟位置，交通便利,东瑞小区 -小东门,3室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 21天以前发布,70,"8,236元/平"
恒大雅苑 3室2厅 南 北,恒大雅苑 -和平南路商圈,3室2厅 | 123.49平米 | 南 北 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 29天以前发布,133,"10,771元/平"
万科蓝山二期 3室1厅 南,万科蓝山二期 -和平南路商圈,3室1厅 | 155平米 | 南 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 19天以前发布,175,"11,291元/平"
龙城公园南首开精装两居室，中间楼层，本满二，可贷款,首开·国风上观 -龙城商圈,2室2厅 | 96.15平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 24天以前发布,129,"13,417元/平"
精装修~地铁胜利街站口～朝阳户型,太矿育才苑 -矿机商圈,2室2厅 | 93.5平米 | 东 南 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 29天以前发布,67,"7,166元/平"
价格低，房龄新，南北通透，价格低,东瑞小区 -小东门,2室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 16天以前发布,65,"6,702元/平"
双塔西街新建南路两居室，中间楼层，生活方便，配套好,五金矿产宿舍 -双西小学,2室1厅 | 56.77平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,75,"13,212元/平"
急售 迎泽西大街 南北大三居 交通便利 配套成熟,奥林匹克花园北区 -西客站商圈,3室2厅 | 127.4平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 17天以前发布,93,"7,300元/平"
精装修40万，配套设施齐全，交通方便，可贷款,首开·国风琅樾 -龙城商圈,3室1厅 | 140平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 23天以前发布,222,"15,858元/平"
西中环 公园美地 三居室 大红本满两年,公园美地 -大井峪商圈,3室2厅 | 99.24平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,104,"10,480元/平"
玉门河公园 地段好 大红本满五年 可贷款 客厅朝南,玉河小区十九号院 -千峰北路商圈,2室1厅 | 71.52平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,49,"6,852元/平"
大四居，南北通透，格局好，大红本，可按揭,老军营南区 -老军营商圈,3室1厅 | 128.19平米 | 东 北 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,175,"13,652元/平"
南内环晋祠路口 单价7600 中间层 南北通透 三居室,山西中医药大学宿舍 -理工大商圈,3室1厅 | 78.94平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,60,"7,601元/平"
交通好，楼层低，户型好，税费低，出行方便,电力开关厂宿舍 -火车站商圈,3室2厅 | 101.28平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,94.5,"9,331元/平"
该房屋满五唯一税费低，房龄新结构好,信托公司宿舍 -青年路商圈,3室1厅 | 91.82平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,104.5,"11,381元/平"
首付23万 电梯房 免费停车 精装两居 随时看房,西华苑三期北区 -西客站商圈,2室1厅 | 80.4平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 6个月以前发布,72,"8,956元/平"
浇筑房，精装修，南北通透三居室，可拎包入住。,东华门21号院 -山大二院商圈,3室2厅 | 104平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,116,"11,154元/平"
新上急售 东中环 大红本 中层 南北 采光好 满五唯一,五龙花园 -五龙口商圈,2室2厅 | 100.82平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,3人关注 / 2个月以前发布,68,"6,745元/平"
