标题,开发商,房子信息,发布信息,售价/万,单价
11层小高8楼西打头三室两卫 相当于毛坯 满二 随时看房,越秀星汇金沙 -北京中路,3室2厅 | 117.04平米 | 北 西南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 7天以前发布,95,"8,117元/平"
现代轻奢风格，上下3层，南北露台，使用接近300平,弘邦宝第 -山海南路,3室2厅 | 171.12平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,1人关注 / 2个月以前发布,538,"31,440元/平"
业主急售 随时看房 20年交房的三期时光里,天颐郦城三期 -万达,3室2厅 | 98.85平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,6人关注 / 8个月以前发布,85,"8,599元/平"
松霞路，阳光首院，精装两室，高品质，绿化高,阳光首院 -首院,3室1厅 | 81平米 | 南 | 简装 | 低楼层(共31层)  | 板楼,4人关注 / 4个月以前发布,59.9,"7,396元/平"
龙航天矩 南北通透 格局好 精装修 现房 拎包入住,龙湖天钜 -凤凰台,4室2厅 | 155.59平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,15人关注 / 一年前发布,240,"15,426元/平"
融创二期 精装三居室 中间楼层 带车位,融创迩海 -龙湖,3室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,25人关注 / 11个月以前发布,60,"6,667元/平"
文化路北，棚上1楼，两室南北向，结构好，位置不错,仁里街 -文化路,2室2厅 | 62.9平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,2人关注 / 3个月以前发布,60,"9,539元/平"
满五年无大税，南厅双南卧南北通透 采光好,海晟花园 -万科城,3室2厅 | 146.13平米 | 南 北 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 2个月以前发布,138,"9,444元/平"
海信波尔多小镇 一楼带院带地下 采光好,海信波尔多小镇 -福莱山公园,3室2厅 | 99.29平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,42人关注 / 一年前发布,128,"12,892元/平"
精装修，一梯两户舒适度好，视野采光无遮挡,中海国际社区 -科技大道,3室2厅 | 102.93平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,99.8,"9,696元/平"
小区安静 适合养老 电梯房 带小棚 有装修 小区安静,福柳新居 -开发区周边,3室1厅 | 94.5平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,4人关注 / 5个月以前发布,69,"7,302元/平"
豪德公馆  精装修  采光好 福山福海路  户型方正,豪德公馆 -万科,3室2厅 | 80.15平米 | 南 北 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,66,"8,235元/平"
富顺苑东区电梯 三室两厅结构 可以拎包入住,富顺苑东区 -惠安,3室2厅 | 122.6平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,17人关注 / 10个月以前发布,120,"9,788元/平"
万科城三期 没有大税 楼层适中诚心出售有钥匙,万科城 -万科城,3室1厅 | 94.16平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,2人关注 / 2个月以前发布,110,"11,683元/平"
佰和悦府商品房 三室两卫 南北通透 价钱可谈,佰和悦府 -高级中学,3室2厅 | 124.37平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,3人关注 / 1个月以前发布,190,"15,277元/平"
精装修三居室，全明户型 海景房,金桥澎湖湾 -北京中路,3室2厅 | 95.46平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,95,"9,952元/平"
海信慧园西区 3室2厅 南 西 北,海信慧园西区 -高级中学,3室2厅 | 110平米 | 南 西 北 | 精装 | 低楼层(共24层)  | 板塔结合,1人关注 / 2个月以前发布,128,"11,637元/平"
福惠花园 2室1厅 南 北,福惠花园 -芝阳,2室1厅 | 81.49平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,55,"6,750元/平"
一梯两户三居室，南北通透，采光好，实用面积大,中兴街 -解放路,3室2厅 | 77.84平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,153,"19,656元/平"
君山水三居好房，一梯两户，户型好，南北通透采光好,君山水 -芝阳,3室1厅 | 103.2平米 | 南 西 北 | 精装 | 高楼层(共33层)  | 塔楼,3人关注 / 3个月以前发布,78.8,"7,636元/平"
二北毓璜顶，一楼三居室，卫生间带窗，单价不到一万七,纯仁巷 -毓璜顶,3室1厅 | 70.91平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,11人关注 / 一年前发布,120.5,"16,994元/平"
可看海，毛坯3居室，户型方正，诚心出售，,金桥澎湖湾 -北京中路,3室2厅 | 95.46平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,9人关注 / 一年前发布,80,"8,381元/平"
此房南北通透，精装修，采光好，视野佳，诚心出售,盈科花溪径 -汽车西站,3室1厅 | 98.41平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,31人关注 / 一年前发布,90,"9,146元/平"
君悦湾东打头三居，小高层一梯两户，配套齐全生态园旁,君悦湾 -北五路,3室2厅 | 109.14平米 | 东 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,82,"7,514元/平"
金海名园，小区南排无遮挡，采光视野好，看房方便,金海名园 -科技大道,3室2厅 | 110.19平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,98,"8,894元/平"
一线海景房，楼层舒适，精装未住，全明户型1月份满二,越秀星汇金沙 -北京中路,3室2厅 | 119.99平米 | 南 北 | 其他 | 中楼层(共30层)  | 板楼,6人关注 / 3个月以前发布,115,"9,585元/平"
海信波尔多，电梯小高层，有车位，位置好视野好,海信波尔多小镇 -福莱山公园,3室2厅 | 110平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,46人关注 / 一年前发布,95,"8,637元/平"
福海路 星河城 万科城市之光 精装修3室 打头房 急售。,星河城 -福海路,3室1厅 | 97.9平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,79.5,"8,121元/平"
一线海景房，楼层舒适，精装未住，全明户型1月份满二,越秀星汇金沙 -北京中路,3室2厅 | 119.99平米 | 南 北 | 其他 | 中楼层(共30层)  | 板楼,6人关注 / 3个月以前发布,115,"9,585元/平"
山海佳苑山湖顶 6层电梯洋房 1T2户,山海佳苑 -二马路,4室2厅 | 200.06平米 | 东 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,15人关注 / 3个月以前发布,480,"23,993元/平"
东打头满2年二期小高层三室，精装修，采光好，无遮挡,万科城 -万科城,3室2厅 | 116.61平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,1人关注 / 3个月以前发布,128,"10,977元/平"
新桥国际佳苑三室精装一梯两户南北通透视野开阔采光好,新桥国际佳苑 -新桥,3室2厅 | 85.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,80,"9,390元/平"
金桥澎湖山庄 3室2厅 南 北,金桥澎湖山庄 -福莱山公园,3室2厅 | 113平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,130,"11,505元/平"
小高层，中间楼层，全明户型，打头房，业主诚售,嵛景华城 -福莱山公园,3室2厅 | 109.64平米 | 西南 北 | 简装 | 中楼层(共11层)  | 板楼,53人关注 / 9个月以前发布,99,"9,030元/平"
急售  盈科花溪径  三室一卫户型   精装修  未住过,盈科花溪径 -汽车西站,3室2厅 | 98.16平米 | 南 北 | 其他 | 中楼层(共29层)  | 板楼,16人关注 / 4个月以前发布,100,"10,188元/平"
中节能11层小高层 耳朵户型 中间楼层 采光好 视野好,中节能朗庭 -开发区周边,3室2厅 | 110.49平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 1个月以前发布,105,"9,504元/平"
东打头，楼层好，精装修，三居室，拎包入住,上居和园 -汽车西站,3室2厅 | 102.52平米 | 东 南 北 | 简装 | 低楼层(共18层)  | 板楼,4人关注 / 4个月以前发布,100,"9,755元/平"
10层小高层，纯毛坯可随意装修，公摊小,龙湖春江悦茗 -北京中路,3室1厅 | 125平米 | 南 北 | 其他 | 中楼层(共10层)  | 板楼,2人关注 / 3个月以前发布,140,"11,200元/平"
瀛洲宁海 3室2厅 南 北,瀛洲宁海 -牟平振华,3室2厅 | 93.77平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,5人关注 / 3个月以前发布,58.8,"6,271元/平"
高档社区龙湖春江悦茗好楼层16楼三室两卫急售,龙湖春江悦茗 -北京中路,3室2厅 | 116.78平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,118,"10,105元/平"
万象城六区，东南户，二次装修，楼栋位置好，不挡光,万象城 -大学城,2室2厅 | 87.03平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,6人关注 / 9个月以前发布,109,"12,525元/平"
中间楼层能看海南厅双南卧有车位精装修采光好视野开阔,南山世纪华府 -大学城,2室2厅 | 108.63平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 1个月以前发布,109.9,"10,117元/平"
通世新城 电梯房 东南向小户型 采光充足,通世新城 -通世南路,2室1厅 | 49.19平米 | 南 东 | 毛坯 | 低楼层(共17层)  | 暂无数据,4人关注 / 8个月以前发布,35,"7,116元/平"
优山美地，多层精装修，拎包入住大两居，楼下带小棚。,优山美地 -通世南路,4室2厅 | 91.26平米 | 南 西 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,66,"7,233元/平"
幸芝里两居室，幸合里跟祥和，南北通透格局,幸芝里 -祥和,2室2厅 | 61.53平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,90,"14,628元/平"
幸福五村 采光充足，视野开阔，生活便利，交通方便,幸福五村 -祥和,2室2厅 | 67.28平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,79,"11,742元/平"
精装两居，拎包入住，交通便利，看房方便,南山世纪华府 -大学城,2室2厅 | 108.79平米 | 西南 | 精装 | 低楼层(共32层)  | 板塔结合,66人关注 / 一年前发布,98,"9,009元/平"
万光府前花园 2室1厅 南,万光府前花园 -迎春大街,2室1厅 | 75.49平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,2人关注 / 1个月以前发布,68,"9,008元/平"
壹通国际办公房 高楼层 单价低 户型方正,壹通国际 -解放路,1室1厅 | 79.96平米 | 东 | 简装 | 中楼层(共30层)  | 塔楼,1人关注 / 一年前发布,69,"8,630元/平"
多层洋房 东大头  到手的价格 采光视野好 全明户型。,中正山庄 -世回尧,3室2厅 | 87.44平米 | 南 北 东 | 精装 | 低楼层(共6层)  | 板楼,17人关注 / 一年前发布,89,"10,179元/平"
合创公馆，电梯房，采光好，可以贷款，70年产权,合创公馆 -通世南路,2室1厅 | 48.8平米 | 西北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,36,"7,378元/平"
市府街精装两室+全明户型+总价低,市府街 -解放路,2室1厅 | 50.83平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,92,"18,100元/平"
满五唯一，位置好，精装修，不临街不靠道,中兴街 -解放路,1室1厅 | 41.76平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,94,"22,510元/平"
万科小高层 精装2室 没有大税,万科假日润园 -万科,2室1厅 | 76.14平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,8人关注 / 6个月以前发布,53,"6,961元/平"
同德花园带装修一楼带院拎包入住，配套齐全，交通便利,同德花园 -南塂,2室1厅 | 61.21平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,18人关注 / 6个月以前发布,61,"9,966元/平"
瑰园 精装两室 装修好 可拎包入住 看房方便,玫瑰园 -万科,2室1厅 | 60.18平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,4人关注 / 3个月以前发布,50,"8,309元/平"
宏达小区  户型好 采光好 配套齐全,宏达小区 -祥和,2室2厅 | 77.66平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,95,"12,233元/平"
另有15平左右不计入产证面积装修好了基本没住税费各付,天籁中园 -山海南路,3室2厅 | 106.05平米 | 东 南 北 | 精装 | 中楼层(共20层)  | 板楼,15人关注 / 8个月以前发布,120,"11,316元/平"
中海国际社区，精装修，通透，方正，拎包入住，家,中海国际社区 -科技大道,3室2厅 | 99平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,59人关注 / 一年前发布,88,"8,889元/平"
阳光丽景 电梯房 精装修 南北通透,阳光丽景 -蓬莱市,2室2厅 | 85平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,3人关注 / 6个月以前发布,53,"6,236元/平"
福利莱四期铭庭两室没有大税看房子方便,福利莱小区 -福海路,2室2厅 | 71.85平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,56,"7,795元/平"
步梯四楼 客厅带大窗 明亮 拎包入住,杏花苑 -蓬莱市,3室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,50,"5,103元/平"
南北通透，好楼层，单价低，生活交通便利,新庆巷 -白石,2室1厅 | 55.49平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,37,"6,668元/平"
央企开发商   80万带车位 含家具家电  价格可谈,中海悦公馆 -万科,3室1厅 | 99.98平米 | 南 北 西 | 精装 | 高楼层(共24层)  | 板楼,18人关注 / 4个月以前发布,80,"8,002元/平"
毛坯新房，随心意装修，双阳卧，好户型，三居好楼层,盈科花溪径 -汽车西站,3室2厅 | 98.76平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板楼,11人关注 / 5个月以前发布,93,"9,417元/平"
南向两居中高楼层全明格局采光好,海信天山郡 -汽车西站,2室1厅 | 78.97平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,13人关注 / 一年前发布,84,"10,637元/平"
南北通透三居室，万科物业贴心保障，有车位。,万科翡翠湾 -三滩社区,3室2厅 | 121.03平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,25人关注 / 一年前发布,142,"11,733元/平"
封闭小区 小高层 彩光好 环境好 毛坯房 南北通透,黄海明珠山庄 -迟家,3室2厅 | 151.25平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,72人关注 / 11个月以前发布,287,"18,976元/平"
二马路新小区，电梯房，封闭小区,东山名郡 -二马路,2室2厅 | 96.07平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,6人关注 / 11个月以前发布,215,"22,380元/平"
精装未住  带车位  中间楼层  少有的洋房 通透,中海国际社区 -科技大道,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,2人关注 / 2个月以前发布,166,"13,175元/平"
万科假日风景三居室 西打头 带阳台 通透好,万科假日风景 -万科,3室1厅 | 87.79平米 | 南 | 简装 | 中楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,74.5,"8,487元/平"
杏花苑三楼 南北通透 拎包入住 带储藏室,杏花苑 -蓬莱市,3室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,50,"5,556元/平"
好楼层 南北通透 采光好 总价便宜,东风里 -毓璜顶,2室2厅 | 70.66平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 6个月以前发布,131,"18,540元/平"
多层洋房，顶加阁（2层）一共180多平，不临街，采光好,中正公馆 -世回尧,5室3厅 | 106.71平米 | 南 西 北 | 毛坯 | 高楼层(共6层)  | 板楼,11人关注 / 3个月以前发布,102,"9,559元/平"
南北通透，看湖观山，毛坯三居室，两梯两户,山之韵 -山海南路,3室2厅 | 138.71平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,31人关注 / 一年前发布,95,"6,849元/平"
东打头 四居室 楼栋适中 楼层合适 全明户型,万科御龙山 -黄海,4室2厅 | 143.68平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,239,"16,635元/平"
辰源雅景  小高层  一梯两户 南北通透  可商贷,辰源雅景 -只楚,2室1厅 | 86.99平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,72,"8,277元/平"
海景房 北面看海，观海观景效果好 精装修 采光好,云顶蓝山 -后七夼,3室2厅 | 194.33平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,27人关注 / 一年前发布,459,"23,620元/平"
10层小高层、精装  好楼层、采光充足、四期。,万光福园 -迎春大街,3室2厅 | 137.13平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,13人关注 / 5个月以前发布,184,"13,418元/平"
电业小区  位置好 家具家电齐全,电业小区 -蓬莱市,2室1厅 | 68平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,27.8,"4,089元/平"
精装三室两卫，带地下室，公摊少，装修保护好,海景苑 -蓬莱市,3室2厅 | 142平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,114.8,"8,085元/平"
南洪街 纯仁巷 南向三间朝阳的户型,纯仁巷 -毓璜顶,2室1厅 | 57.09平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,119.5,"20,932元/平"
新小区，小高层，绿化好，户型方正，刚需客户必备,城发泰颐新城 -只楚,2室1厅 | 75.39平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,65,"8,622元/平"
方正三居室，精装修，中间楼层，采光很好,中海国际社区 -科技大道,3室1厅 | 99.11平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,85,"8,577元/平"
优质好房！总高8层洋房中间位置，精装修带车位带小棚,中海国际社区 -科技大道,3室2厅 | 119.93平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,129,"10,757元/平"
小高层好楼层南面无遮挡，18层小高层边户,金地格林梦想 -莱山周边,3室2厅 | 126.42平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,95,"7,515元/平"
优质好房！总高8层洋房中间位置，精装修带车位带小棚,中海国际社区 -科技大道,3室2厅 | 119.93平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,129,"10,757元/平"
方正三居室，精装修，中间楼层，采光很好,中海国际社区 -科技大道,3室1厅 | 99.11平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,85,"8,577元/平"
精装修 三室 家里保持的*好,山水龙城·远翠苑 -通世南路,3室2厅 | 98.23平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,14人关注 / 一年前发布,85,"8,654元/平"
翡翠明珠 南北通透 有车位  毛坯房,翡翠明珠 -南通路,3室2厅 | 124.58平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 板楼,25人关注 / 一年前发布,282,"22,637元/平"
中海国际社区 3室1厅 南 北,中海国际社区 -科技大道,3室1厅 | 114平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,3人关注 / 5个月以前发布,110,"9,650元/平"
福海路上，新小区，看房有钥匙，精装拎包入住。,香缇熙岸 -万科,2室2厅 | 81.23平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,2人关注 / 2个月以前发布,56,"6,895元/平"
南洪街 纯仁巷 南向三间朝阳的户型,纯仁巷 -毓璜顶,2室1厅 | 57.09平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,119.5,"20,932元/平"
新小区，小高层，绿化好，户型方正，刚需客户必备,城发泰颐新城 -只楚,2室1厅 | 75.39平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,65,"8,622元/平"
23年5月满二，此房是70年产权，精装修,东海岸·书香府第 -东泊子,2室2厅 | 93.38平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,65,"6,961元/平"
蓬莱当下，大产权真正意义的独栋二节楼,田横山南路 -蓬莱市,3室2厅 | 72.21平米 | 南 北 | 简装 | 低楼层(共1层)  | 暂无数据,17人关注 / 6个月以前发布,46.5,"6,440元/平"
小高层好楼层南面无遮挡，18层小高层边户,金地格林梦想 -莱山周边,3室2厅 | 126.42平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,95,"7,515元/平"
小户型精致小房，单身、刚需优质房源着急卖！,阳光上城 -世回尧,2室1厅 | 64.53平米 | 南 东南 | 简装 | 低楼层(共18层)  | 平房,16人关注 / 一年前发布,58,"8,989元/平"
高品优质房源 诚意出售 阳光明媚 好楼层  阳台已封包,黄海明珠山庄 -迟家,3室1厅 | 148.37平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,26人关注 / 7个月以前发布,279,"18,805元/平"
中上好楼层采光视野好，精装修满2年，有车位可出租,栖里凤台山庄 -万达,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,3人关注 / 3个月以前发布,98,"10,889元/平"
北五路新小区精装三室，满五年唯一，价格可谈,铂悦府 -富豪,3室1厅 | 77平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,6人关注 / 3个月以前发布,65,"8,442元/平"
容大东海岸，东向，住宅，可出租，可自住。,东海岸·书香府第 -东泊子,1室1厅 | 46平米 | 东 | 简装 | 中楼层(共31层)  | 板楼,2人关注 / 1个月以前发布,26.5,"5,761元/平"
中海纯洋房社区，好楼层，带车位小棚，无大税，户型好,中海国际社区 -科技大道,4室2厅 | 139.85平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,7人关注 / 一年前发布,171,"12,228元/平"
新建小区，精装两室，好楼层，生活便利,城发泰颐新城 -只楚,2室1厅 | 75.1平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,68,"9,055元/平"
风景四期中间好楼层好视野好户型,万科假日风景 -万科,3室2厅 | 95.94平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,83,"8,652元/平"
半岛蓝湾 新装修婚房  三室 带地下室,半岛蓝湾 -蓬莱市,3室2厅 | 102平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,3人关注 / 4个月以前发布,74,"7,255元/平"
鲁房 步梯3楼 两室 简装 采光好,鲁房小区 -蓬莱市,2室1厅 | 58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,26.5,"4,569元/平"
满五唯一，南北通透，配套齐全，交通便利。低单价,平安街 -厚安,3室1厅 | 65.3平米 | 南 北 东 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,102,"15,621元/平"
四季花城二期 临小区广场 视野开阔 采光几乎全天,四季花城（莱山） -迎春大街,3室1厅 | 120.09平米 | 东南 | 精装 | 中楼层(共16层)  | 塔楼,33人关注 / 7个月以前发布,128,"10,659元/平"
中海物业 央企开发 人车分流 北五路,中海悦公馆 -万科,3室1厅 | 98.98平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,2人关注 / 1个月以前发布,75,"7,578元/平"
南北通透耳朵户型 精装修 拎包入住,大华上海滩花园 -三滩社区,3室1厅 | 122.02平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,6人关注 / 5个月以前发布,113,"9,261元/平"
花园式社区，环境好，毛坯任意装修，无遮挡,金海名园 -科技大道,2室2厅 | 96.17平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,54人关注 / 7个月以前发布,69.8,"7,258元/平"
中海国际社区上和府精装未住，单价9134元各付,中海国际社区 -科技大道,3室2厅 | 104平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,3人关注 / 4个月以前发布,95,"9,135元/平"
山根洋房  装修精致  全明户型   很少在售,祥隆绿城诚园 -迟家,3室2厅 | 177平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,457.8,"25,865元/平"
蜜橙小区，精装修婚房，满两年没有大税。,蜜橙 -高级中学,2室1厅 | 89.75平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2人关注 / 2个月以前发布,84,"9,360元/平"
中粮朗云 2室精装修 小高层拎包入住,中粮朗云 -高级中学,2室2厅 | 88.67平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,102,"11,504元/平"
锦绣新天地77.43平48万户型方正,锦绣新天地 -黄务,2室2厅 | 77.43平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 28天以前发布,42,"5,425元/平"
紫薇台精装29万工作调动急售11月满二过户,恒天紫微台 -万达,3室1厅 | 95.38平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,16人关注 / 4个月以前发布,135,"14,154元/平"
楼层好 户型方正 南北通透 精装修 家具家电齐全,城发泰颐新城 -只楚,3室2厅 | 95.03平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,25人关注 / 一年前发布,108,"11,365元/平"
静海苑，满五唯一，位置好，楼层适中，拎包入住,天和静海苑 -黄河路,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,14人关注 / 一年前发布,80,"9,091元/平"
两室精装，带小棚，中间楼层，好楼层 采光好,柳林小区 -万科城,2室2厅 | 76.85平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,70,"9,109元/平"
四室朝阳、南北通透、精装修、全明户型,恒天紫微台 -万达,3室2厅 | 93.41平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,120,"12,847元/平"
智慧领域，三居室精装修，拎包住，诚心出售,智慧领域 -牟平振华,3室2厅 | 91.38平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,9人关注 / 7个月以前发布,70.8,"7,748元/平"
鑫发小区 低楼层 满2年，南北通透，精装修 看房方便,鑫发小区 -刘家台,2室2厅 | 81平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 1个月以前发布,66,"8,149元/平"
九层电梯洋房，密度低，开发商精装交付，拎包入住,盈科花溪径 -汽车西站,3室1厅 | 94.51平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,98,"10,370元/平"
丹阳小区  三室 带小棚 自住  看房方便,丹阳小区 -德胜,3室1厅 | 90.32平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,76,"8,415元/平"
《价格各付》 嵛景华城 11层小高层西打头 中间楼楼层,嵛景华城 -福莱山公园,3室2厅 | 116.78平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,36人关注 / 一年前发布,103,"8,821元/平"
南北通透，简单装修。拎包入住。,东海岸·书香府第 -东泊子,3室2厅 | 101.32平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,4人关注 / 2个月以前发布,76,"7,501元/平"
暖山国际，183平，南北通透，拎包入住,暖山国际 -南塂,4室1厅 | 183.78平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,6人关注 / 9个月以前发布,205,"11,155元/平"
新桥小区 三间朝阳 三居室 打头房 精装 低楼层,桃园里 -新桥,4室2厅 | 137.09平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,106,"7,733元/平"
很牛的装修  拎包入住   耳朵户型  建设局家属楼,丹阳小区 -德胜,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 1个月以前发布,136,"11,057元/平"
