标题,开发商,房子信息,发布信息,售价/万,单价
三居室，明室明厅 精装修南北通透 观景房,松林亲水湾 -新城区,3室2厅 | 157.78平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,38人关注 / 一年前发布,143,"9,064元/平"
中等装修 楼层好独立两室 无捆绑 南北通透 此房大税,美林华苑 -红山区,3室2厅 | 103.26平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,60,"5,811元/平"
"书香庭院,双阳卧室，随时看房。",书香庭苑一期 -松山区,2室1厅 | 73平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,4人关注 / 5个月以前发布,53,"7,261元/平"
天合阳光C区，可以随意装修，电梯楼，随时看房！！,天合阳光城C区 -红山区,2室1厅 | 91平米 | 南 北 | 简装 | 高楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,82,"9,011元/平"
距离十七小 五幼 200米左右两室南北通透小面积的房子,108地质队住宅 -红山区,2室1厅 | 54.04平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 5个月以前发布,21.6,"3,998元/平"
百合新城双阳格局南北通透3楼适合老人居住,百合新城北区 -松山区,2室2厅 | 85.49平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,1人关注 / 3个月以前发布,59,"6,902元/平"
锦绣花园 步梯四楼 精装两室 明室明厅 南北通透,锦绣花园（新城区） -新城区,2室2厅 | 89.83平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,73,"8,127元/平"
此房小税，户型设计合理，  14楼，采光好,荷枫水岸二期 -桥北新区,2室1厅 | 78.87平米 | 南 | 简装 | 高楼层(共17层)  | 塔楼,1人关注 / 一年前发布,51,"6,467元/平"
红星组团 73.1平 步梯2楼 2004年房 南北通透 过户小税,红星组团 -红山区,2室1厅 | 73.1平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,0人关注 / 5个月以前发布,40,"5,472元/平"
和美佳园简单装修两室全明户型 给车库,和美佳园（新城区） -喀喇沁旗,2室2厅 | 92.69平米 | 南 北 | 简装 | 中楼层(共12层)  | 板塔结合,1人关注 / 10个月以前发布,53,"5,718元/平"
阳光家园(红山区) 2室2厅 南 北,阳光家园(红山区) -红山区,2室2厅 | 96平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,55.5,"5,782元/平"
看房提前联系。。。。。，，，，，,长安小区 -新城区,2室1厅 | 82平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,59,"7,196元/平"
南北通透格局楼层好采光充足配套设施齐全交通便利,科海明珠 -松山区,2室1厅 | 87.98平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,69,"7,843元/平"
满5唯一过户小税！精装修！户型方正！,市政楼（花园胡同） -红山区,2室1厅 | 63.36平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 3个月以前发布,40.8,"6,440元/平"
华府尚城 两室明厅 简装 人车分流社区,华府尚城 -新城区,2室2厅 | 90.03平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,8人关注 / 一年前发布,77,"8,553元/平"
阳光丽景小区   好楼层    适合老人 孩子 居住,阳光丽景小区 -红山区,1室1厅 | 46.64平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,23,"4,932元/平"
南北通透 明厅两居室简单装修 视野开阔 采光好！,金和美地 -红山区,2室1厅 | 98.06平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,66,"6,731元/平"
明室明厅  现房简装  大白 地砖 厨房 卫生间墙砖,艾美国际 -红山区,2室2厅 | 116.19平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 3个月以前发布,76,"6,542元/平"
兴隆小区，过户小税，南北通透两居室，前后有阳台,兴隆小区（红山区) -红山区,2室1厅 | 50.34平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,27,"5,364元/平"
精装修 婚房 格局好 采光好 地理位置优越,龙山鸿郡B区 -桥北新区,2室2厅 | 74.88平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,7人关注 / 8个月以前发布,50,"6,678元/平"
兴隆小区3楼 格局方正   小税,兴隆小区（红山区) -红山区,2室1厅 | 53.06平米 | 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,29,"5,466元/平"
金御华城 明室明厅三室  精装修  好楼层 有增松面积,中天金御华城 -松山区,3室1厅 | 85平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,80,"9,412元/平"
松州园 2室1厅 南 北,松州园 -红山区,2室1厅 | 88.4平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,62,"7,014元/平"
2018年交工的房子好楼层 视野开阔 采光充足 三室格局,松州明珠 -松山区,3室1厅 | 94.35平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,2人关注 / 7个月以前发布,75,"7,950元/平"
此房南北通透，视野采光好，整理一下即可拎包..,星光天地 -松山区,2室1厅 | 88.6平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,1人关注 / 8个月以前发布,51,"5,757元/平"
80平小三居室  采光好  公摊小,蓝山庭院东区 -松山区,3室1厅 | 80平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,18人关注 / 一年前发布,49,"6,125元/平"
明厅2室，精装修，电梯观景楼层,虹桥丽景现代城 -松山区,2室1厅 | 87.58平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,69,"7,879元/平"
长寿楼层 全台阶缓慢。小区环境好 附.近有菜市场,菊香花园 -红山区,2室1厅 | 82.68平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,44.5,"5,383元/平"
航安金和城 1室1厅 北,航安金和城 -松山区,1室1厅 | 37平米 | 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 30天以前发布,28,"7,568元/平"
虹桥丽景现代城 2室2厅 南,虹桥丽景现代城 -松山区,2室2厅 | 87.72平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,0人关注 / 24天以前发布,75,"8,550元/平"
电梯中层南北通透明室明厅格局光线充足保养好,在水一方小区 -松山区,2室1厅 | 99.02平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 22天以前发布,86,"8,686元/平"
香格里拉国际城 4室2厅 南 北,香格里拉国际城 -松山区,4室2厅 | 735平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 29天以前发布,550,"7,483元/平"
龙山鸿郡A  三室独立  105.89平 南北通透   随时看房,龙山鸿郡A区 -桥北新区,3室2厅 | 105.89平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 28天以前发布,76,"7,178元/平"
西边户，两室格局，皇金三楼，带小棚。,丹龙首府 -红山区,2室1厅 | 61.8平米 | 南 西 北 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 22天以前发布,33,"5,340元/平"
亲水湾 精装三室 户型方正 东边户,松林亲水湾 -新城区,3室2厅 | 119.6平米 | 南 北 | 其他 | 中楼层(共21层)  | 板楼,1人关注 / 2个月以前发布,110,"9,198元/平"
房主人好 房子现在是小税 产权清晰 可以随时过户,美林华苑 -红山区,3室2厅 | 112平米 | 南 北 | 其他 | 高楼层(共12层)  | 板楼,0人关注 / 6个月以前发布,78,"6,965元/平"
中天悦府如园3居室楼房精装修出售,中天·悦府二期如园 -新城区,3室2厅 | 111平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,142,"12,793元/平"
松洲明珠小区 大三阳格局  2019年交工 成熟小区,松州明珠 -松山区,3室2厅 | 130.78平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,4人关注 / 一年前发布,112,"8,565元/平"
房子精装小税，三步跃层，大三阳格局位置好无遮挡,怡康家园(五道街) -红山区,3室2厅 | 165.78平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,135,"8,144元/平"
恒盛馨苑 精装纯复式 楼间距90米 看房保您满意！,恒盛馨苑 -松山区,4室2厅 | 151.81平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,2人关注 / 10个月以前发布,155,"10,211元/平"
三室  明厅 好楼层  诚心出售 看房方便,虹桥丽景国际城 -松山区,3室2厅 | 95.77平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,78,"8,145元/平"
华睿园 3室2厅 南 北,华睿园 -新城区,3室2厅 | 154.6平米 | 南 北 | 其他 | 中楼层(共13层)  | 板楼,1人关注 / 3个月以前发布,127,"8,215元/平"
亲水湾，明厅三室双卫，精装修，户型好 步梯洋房,松林亲水湾 -新城区,3室2厅 | 156.39平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,153,"9,784元/平"
新天地广场 12楼 一室 精装修 价格有惊喜,新天地商务广场 -松山区,1室1厅 | 42.89平米 | 西 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 24天以前发布,17,"3,964元/平"
小税、没有捆绑。.南北通透！双阳卧室！中间楼层！,居兴家园 -松山区,3室2厅 | 98.86平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 17天以前发布,69,"6,980元/平"
2017年的房子.6楼格局方正.视野宽阔.四通八达.,龙景小区 -红山区,3室2厅 | 74.44平米 | 南 西 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,52,"6,986元/平"
富河国际A区 3室1厅 南 北,富河国际A区 -新城区,3室1厅 | 134.53平米 | 南 北 | 其他 | 中楼层(共13层)  | 板楼,5人关注 / 4个月以前发布,115,"8,549元/平"
无捆绑无抵押 单价便宜 采光视野好,阳光希望家园五期 -桥北新区,3室1厅 | 84.42平米 | 南 北 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,55,"6,516元/平"
维多利摩尔城 2室1厅 南,维多利摩尔城 -桥北新区,2室1厅 | 105.2平米 | 南 | 其他 | 低楼层(共29层)  | 板楼,14人关注 / 6个月以前发布,42,"3,993元/平"
玉龙家园3楼76.53平2室1厅南北通透位置佳看房随时,玉龙家园(新城区) -新城区,2室1厅 | 76.53平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,54,"7,057元/平"
向阳小区58.77平米两室南北通透格局好,向阳小区七组团 -松山区,2室2厅 | 58.77平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,30,"5,105元/平"
桥北 荷枫水岸二期 电梯高层 非顶 两室 干净 有钥匙,荷枫水岸二期 -桥北新区,2室1厅 | 79.71平米 | 南 | 其他 | 高楼层(共17层)  | 塔楼,8人关注 / 4个月以前发布,49,"6,148元/平"
松秀园 2室2厅 南 北,松秀园 -松山区,2室2厅 | 66.57平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,43,"6,460元/平"
维多利摩尔城 1室1厅 南,维多利摩尔城 -桥北新区,1室1厅 | 55平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 3个月以前发布,35,"6,364元/平"
此房南向一居室，精装修，小夫妻过度首付选。,春城家园 -新城区,1室1厅 | 45.46平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,28,"6,160元/平"
总价低      小面积   南北通透    无捆绑,向阳小区二组团 -松山区,2室1厅 | 53.62平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,30,"5,595元/平"
明厅两居室 南北通透 采光好 电梯房 房主诚心 单价低,和泰家园 -红山区,2室1厅 | 92.7平米 | 南 北 | 简装 | 低楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,51.5,"5,556元/平"
团结小区 步梯四楼  看房随时,团结小区 -红山区,2室2厅 | 64.69平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,32,"4,947元/平"
团结小区 2室2厅 南 北,团结小区 -红山区,2室2厅 | 81.9平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,48.3,"5,898元/平"
首付2万  无捆绑  小区环境好  绿化大,运输小区 -红山区,2室2厅 | 82.84平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,53,"6,398元/平"
鑫秋小区 精装修12楼 东边户 格局好 小区新,鑫秋小区 -红山区,2室2厅 | 100.48平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,8人关注 / 一年前发布,76,"7,564元/平"
利丰花园 三室边户，新房 小区环境好,利丰花园 -桥北新区,3室1厅 | 107.09平米 | 南 北 东 | 简装 | 中楼层(共10层)  | 板楼,1人关注 / 3个月以前发布,73,"6,817元/平"
怡康家园(五道街) 3室2厅 南 北,怡康家园(五道街) -红山区,3室2厅 | 103.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,73,"7,029元/平"
虹 桥 丽 景 现代城好 楼 层,虹桥丽景国际城 -松山区,2室2厅 | 88.76平米 | 南 北 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,68,"7,662元/平"
此房南北通透，双阳卧，前后无遮挡,东城花园 -红山区,2室1厅 | 76.73平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 11个月以前发布,41,"5,344元/平"
星光天地小区邻政 府、南北通透、无遮挡小区绿化特好,星光天地 -松山区,2室2厅 | 88.31平米 | 南 北 | 简装 | 中楼层(共30层)  | 板楼,1人关注 / 一年前发布,50,"5,662元/平"
馨风雅居 3室2厅 南 北,馨风雅居 -新城区,3室2厅 | 98.16平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,73,"7,437元/平"
明室明厅    中等装修      住的干净  看房方便,向阳小区六组团 -松山区,2室1厅 | 93.41平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,34人关注 / 一年前发布,54,"5,781元/平"
帝景华苑  电梯13楼 明室明厅 采光特好,帝景华苑 -松山区,2室1厅 | 89.46平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,67,"7,490元/平"
房子格局好，成熟社区，环境好出入方便,虹桥丽景国际城 -松山区,2室2厅 | 88.85平米 | 南 北 | 简装 | 低楼层(共29层)  | 塔楼,1人关注 / 7个月以前发布,62,"6,979元/平"
双阳卧室，东边户，户型方正，采光好,康居家园 -松山区,2室2厅 | 77.71平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,56.5,"7,271元/平"
万达华城C区 2室2厅 南,万达华城C区 -新城区,2室2厅 | 94.62平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,71,"7,504元/平"
此房户型方正，采光好，通风效果好，夏天都不用开空调,昭乌达梅园 -红山区,2室1厅 | 66.45平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,40,"6,020元/平"
昭乌达小区。一楼南面开门。可商用,昭乌达竹园 -红山区,2室1厅 | 56平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,3人关注 / 5个月以前发布,28,"5,000元/平"
房子楼龄新 价格合适 欢迎实地看房,财富家园 -红山区,2室1厅 | 70.16平米 | 南 | 简装 | 高楼层(共14层)  | 塔楼,28人关注 / 一年前发布,42,"5,987元/平"
"房子 南北通透，2室2厅，，落地窗,过户小税",金和家园（四道街） -红山区,2室2厅 | 78.42平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,49.8,"6,351元/平"
健美楼 2室2厅 南 北,健美楼 -红山区,2室2厅 | 76平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,45,"5,922元/平"
中天御园  16楼 精装修 看房随时,中天御园 -新城区,2室1厅 | 66.97平米 | 南 西 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 3个月以前发布,66,"9,856元/平"
此房是精装修的，业主诚心出售，中高楼层，采光充足,怡康家园(宁澜路) -红山区,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共15层)  | 塔楼,5人关注 / 4个月以前发布,60,"6,383元/平"
菊香花园  两室 05年房 十七小,菊香花园 -红山区,2室1厅 | 82.68平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,53,"6,411元/平"
简装修  电梯楼  楼层好  采光视野棒,红山世家 -红山区,2室2厅 | 90.1平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 塔楼,8人关注 / 一年前发布,61,"6,771元/平"
五楼 使用面积大 此房满五唯一  小税,热电A区 -红山区,2室2厅 | 80平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,33,"4,125元/平"
此房南北通透，视野采光好，装修保养用心,松城家园 -松山区,3室2厅 | 85.7平米 | 南 北 | 简装 | 高楼层(共12层)  | 板塔结合,3人关注 / 4个月以前发布,65,"7,585元/平"
4楼 独 立 两 室 南北通透 小棚1万   过户小税,赤铁工务小区 -红山区,2室1厅 | 51.87平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,23,"4,435元/平"
金瑞园 3室2厅 南,金瑞园 -松山区,3室2厅 | 131.4平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,77,"5,860元/平"
南北通透 经典两室格局 精装修 婚房过渡,润峰小区 -红山区,3室1厅 | 74.23平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,46.5,"6,265元/平"
精品复式楼、层高5.18米、毛坯房捆绑小棚使用面积大,龙福郡 -松山区,3室1厅 | 108平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,90,"8,334元/平"
此房子满五唯一，步梯三楼。大三阳格局，南北通。,康居家园 -松山区,3室1厅 | 99.6平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,63,"6,326元/平"
和风庭院 3室2厅 南 北,和风庭院 -松山区,3室2厅 | 93.55平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,81,"8,659元/平"
：1楼 独 立 两 室 南北通透  首付低 过户小税,赤铁工务小区 -红山区,2室1厅 | 54平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,23,"4,260元/平"
友谊家园，步梯5楼，双阳卧室，南北通透,友谊家园 -松山区,2室1厅 | 83.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,57,"6,811元/平"
68万买  精装两室婚房  拎包入住,恒盛馨苑 -松山区,2室2厅 | 89.84平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 3个月以前发布,66.7,"7,425元/平"
南北通透，格局方正，经典户型，好楼层，全天采光,中天铂悦园 -松山区,2室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 5个月以前发布,61,"6,932元/平"
金瑞园 3室2厅 南,金瑞园 -松山区,3室2厅 | 131.4平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,77,"5,860元/平"
本房经典2室 属于紧凑户型 南北通透 功能间齐全,星光天地 -松山区,2室2厅 | 89.13平米 | 南 北 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,49.8,"5,588元/平"
南北通透，明室明厅，三居室，精装修，采光好，视野好,钓鱼台A区 -桥北新区,3室1厅 | 103平米 | 南 北 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,77,"7,476元/平"
业主婚房装修 南北通透两室 中间楼层 看房随时,红山世家 -红山区,2室1厅 | 90.35平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,3人关注 / 3个月以前发布,68.5,"7,582元/平"
南北通透 经典两室格局 精装修 婚房过渡,润峰小区 -红山区,3室1厅 | 74.23平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,46.5,"6,265元/平"
兴隆小区 步梯4楼 南北通透 无遮挡 视野开阔,兴隆小区（红山区) -红山区,2室1厅 | 51.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,28,"5,437元/平"
中天铂悦园 能更名 全明格局 精装修 小区的位置好,中天铂悦园 -松山区,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,5人关注 / 6个月以前发布,85,"8,416元/平"
国际城 小高层8楼  明室明厅  无连廊,虹桥丽景国际城 -松山区,2室2厅 | 89.56平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,77,"8,598元/平"
书香庭苑 电梯15楼   三室采光好,书香庭苑一期 -松山区,3室2厅 | 96平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,68.5,"7,136元/平"
此房满二唯一，步梯楼，适合陪读九 小,新华小区(红山区) -红山区,2室1厅 | 60.79平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,30.3,"4,985元/平"
祥和万嘉 南北通透 双阳卧室  现代装修,祥和万嘉 -红山区,2室1厅 | 64.58平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,43.5,"6,736元/平"
燕山府邸 次顶层 精装修 明厅三居 价格可议,燕山府邸 -新城区,3室2厅 | 147.69平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,142,"9,615元/平"
金御华城小区 绿城物业 明室明厅 看房方便,中天金御华城 -松山区,2室2厅 | 83平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,4人关注 / 7个月以前发布,64,"7,711元/平"
农业局集资楼 2室1厅 东 西,农业局集资楼 -松山区,2室1厅 | 60.76平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,26.5,"4,362元/平"
维多利摩尔城社区，小区环境好，干净，很安全...,维多利摩尔城 -桥北新区,3室2厅 | 114.67平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,62,"5,407元/平"
松北物资小区精装6楼   三室  38W,松北物资城 -松山区,3室2厅 | 84.6平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,37.3,"4,409元/平"
好房         诚心出售,昭乌达松园小区 -红山区,2室1厅 | 72平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,35,"4,862元/平"
王 府花园二期小区中间位置 前后无遮挡，步梯5楼 小税,王府花园二期 -新城区,2室1厅 | 84.9平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,74,"8,717元/平"
吉祥阳光新城I区 2室1厅 南 北,吉祥阳光新城I区 -新城区,2室1厅 | 68.31平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,39,"5,710元/平"
昭乌达大型社区 两室一厅 非顶楼  自住小户型,昭乌达竹园 -红山区,2室1厅 | 54.9平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,27,"4,919元/平"
小面积南北通透  自己可随意装修,东郊小区 -红山区,2室2厅 | 55.72平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 一年前发布,26,"4,667元/平"
四楼  南北通透 陪读、过渡  采光好,双桥小区西区 -红山区,2室1厅 | 56.4平米 | 北 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,23.5,"4,167元/平"
松州园小区。步梯二楼 ，采光好格局好,松州园 -红山区,2室1厅 | 85.5平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,61,"7,135元/平"
09年房子南北通透视野采光好，,百合新城北区 -松山区,2室1厅 | 61.81平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,34,"5,501元/平"
此房过户中税，94年房子可以贷款  南北通透 小棚1万,铁北小区 -红山区,2室1厅 | 54.28平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,29,"5,343元/平"
房子格局好  明室明厅 采光好  新小区环境好；,顺发·公元里 -松山区,3室2厅 | 109.11平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,7人关注 / 一年前发布,82,"7,516元/平"
王，府花园二期  步梯2楼  小税,王府花园二期 -新城区,2室1厅 | 113.25平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 10个月以前发布,110,"9,714元/平"
东城花园，4楼精装   南北通透 无捆绑 看房方便,东城花园 -红山区,2室1厅 | 70平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,39,"5,572元/平"
一建家属院精装修温馨总价低2室一厅视野开阔采光好,赤峰一建家属院 -红山区,2室1厅 | 47.39平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,20,"4,221元/平"
电梯房 近二医院 无抵押配套全,农贸市场综合楼 -红山区,2室1厅 | 114平米 | 南 北 | 简装 | 高楼层(共15层)  | 板塔结合,0人关注 / 4个月以前发布,47,"4,123元/平"
亚兴国际嘉园 电梯5楼 过户小税 南北通透 明室明厅,亚兴国际嘉园 -松山区,2室1厅 | 100.53平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,69,"6,864元/平"
站前辽河小区 2室1厅 南 北,站前辽河小区 -红山区,2室1厅 | 54.74平米 | 南 北 | 简装 | 高楼层(共5层)  | 塔楼,0人关注 / 一年前发布,27.5,"5,024元/平"
万达A区经典的格局 明厅两室 过户小税无捆绑,万达华城A区 -新城区,2室2厅 | 90.7平米 | 南 北 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,68,"7,498元/平"
虹桥丽景现代城   精装 电梯七楼 明室明厅格局,虹桥丽景现代城 -松山区,2室2厅 | 86.33平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,17人关注 / 一年前发布,71.5,"8,283元/平"
龙山鸿郡B区 2室1厅 西,龙山鸿郡B区 -桥北新区,2室1厅 | 70.31平米 | 西 | 简装 | 高楼层(共4层)  | 板楼,1人关注 / 2个月以前发布,26,"3,698元/平"
此房满五唯一，南北通透，，采光好，步行街购方便,园丁小区 -红山区,2室2厅 | 63.5平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,37,"5,827元/平"
木兰二期，二楼西边户，经典双阳卧，房子干净宽敞，,木兰小区二期 -松山区,3室2厅 | 116平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,1人关注 / 6个月以前发布,72,"6,207元/平"
温馨家园 步梯三楼   看房方便,温馨家园(新城区) -新城区,2室1厅 | 78平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,64,"8,206元/平"
无捆绑  过户小税  人文环境好  设施配套齐全,阳光家园(红山区) -红山区,2室2厅 | 85平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,52.5,"6,177元/平"
南北通透 双阳卧室 首付低  配套设施齐全,永巨小区一组团 -红山区,2室1厅 | 62.11平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,33.5,"5,394元/平"
