标题,开发商,房子信息,发布信息,售价/万,单价
保利拉菲公馆东区 体育公园 小高层 南北通透 诚心出售,保利拉菲公馆朗菲园二期 -裕兴,3室2厅 | 148.54平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,106人关注 / 9个月以前发布,282,"18,985元/平"
蓝湾家园，二环内电梯小高层，中间楼层，通透大三室。,蓝湾家园 -塔冢,3室2厅 | 135.52平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,4人关注 / 1个月以前发布,189,"13,947元/平"
此房户型好  。急售好户型！！！！,联盟小区西舒园 -西三庄,2室2厅 | 70.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,31人关注 / 7个月以前发布,88,"12,474元/平"
炼油厂生活区  简装两室 ..,炼油厂第二生活区 -藁城市,2室2厅 | 93.25平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,65,"6,971元/平"
人防宿舍正规三楼3室 户型方正 格局合理 明厨.明卫,人防宿舍 -东风,3室1厅 | 71.43平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,11人关注 / 8个月以前发布,90,"12,600元/平"
二环里 南  北通 透 精装修 带小房 非顶 房龄新 急售,建国南区 -城角,2室2厅 | 103.95平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,100,"9,621元/平"
此房房东自住精装修，三室田字格户型，一楼方便居住,电大街中国银行宿舍 -北焦,3室1厅 | 73.43平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,3人关注 / 2个月以前发布,99.5,"13,551元/平"
省直单位宿舍 41和西雅 双阳卧室 阳面客厅 南北通透,烟草宿舍 -北杜,3室2厅 | 113.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,165,"14,538元/平"
经典小三室，好楼层，采光无影响,珠峰国际花园 -天山海世界,3室2厅 | 102.56平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,20人关注 / 4个月以前发布,121,"11,798元/平"
长久花园  精装小三室  采光视野好  看房方便,长九中心公园9号 -天山海世界,3室1厅 | 99.33平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 2个月以前发布,156,"15,706元/平"
洋房社区，一楼带院带下跃，南北通透两室，81,安联·清晖园 -热电厂,2室2厅 | 93.66平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,37人关注 / 4个月以前发布,199,"21,248元/平"
上城浩林园，经典跃层，业主急售,上城浩林园 -西三庄,2室2厅 | 103.79平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,37人关注 / 一年前发布,109,"10,502元/平"
满二 居家温馨小两室 储物间  带地下室 房主诚心卖,同祥城 -天山海世界,2室2厅 | 83.05平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,100,"12,041元/平"
首付19入住裕华  电梯精装三室 南北通风,南岭小区西区 -贾村,3室2厅 | 93.28平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,96,"10,292元/平"
二环内建设大街丰收路交口精装三室一家老小的温馨港湾,北城国际B区 -沿东,3室2厅 | 117.59平米 | 南 北 | 精装 | 34层  | 板楼,1人关注 / 2个月以前发布,149.5,"12,714元/平"
房子南北通透，采光好，满两年无大税,栗新小区 -南三条,2室1厅 | 62.55平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,15人关注 / 5个月以前发布,85.8,"13,718元/平"
开泰小区 两室两厅，卧室全阳，采光好，格局方正,开泰小区 -简良,2室2厅 | 99.32平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,113,"11,378元/平"
急售，满五唯一，有车位，中高楼层，看房方便,璟郡 -华夏,3室2厅 | 103.16平米 | 东 南 | 精装 | 高楼层(共18层)  | 板楼,11人关注 / 4个月以前发布,160,"15,510元/平"
石纺小区，义堂商圈，东临胜利北大街,石纺小区 -义堂,3室1厅 | 62.53平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,80人关注 / 7个月以前发布,63,"10,076元/平"
精装婚房 高层视野好 拎包入住,安联新青年广场 -白佛,2室1厅 | 77.79平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,29人关注 / 6个月以前发布,92,"11,827元/平"
中基礼域    两室     好楼层,中基礼域尚城 -南三条,2室2厅 | 102.4平米 | 北 | 简装 | 高楼层(共25层)  | 板楼,0人关注 / 6个月以前发布,170,"16,602元/平"
一环内，省直大院，中间楼层，精装修两室，满五年,省建行宿舍 -南长,2室1厅 | 91.3平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,5人关注 / 8个月以前发布,124,"13,582元/平"
朝晖桥地铁口锦城小区中门全阳两居室业主诚信出售,锦城 -白佛,2室2厅 | 87.02平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,101,"11,607元/平"
联强小区精装两居室 客厅改造 可直接入住,联强生活小区 -高柱,2室1厅 | 57.34平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,76,"13,255元/平"
双阳卧室，出行方便，满二优质房源,悦城二区 -翟营,2室2厅 | 87.93平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,4人关注 / 5个月以前发布,134,"15,240元/平"
恒大绿洲精装两室  拎包入住  看房方便,恒大绿洲 -东开发区,2室1厅 | 97.27平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,81,"8,328元/平"
四十三，燕港新村，少有的阳面客厅，精装，中间楼层！,燕港新村 -富强,2室1厅 | 79.32平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 8个月以前发布,139,"17,524元/平"
高柱小区 一室一楼带小院  满五唯一,高柱小区 -高柱,1室1厅 | 37.08平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,45,"12,136元/平"
一环内 长安公园旁 随时看房  诚心出售,药材公司宿舍 -南三条,2室1厅 | 55.52平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,9人关注 / 7个月以前发布,100,"18,012元/平"
中基礼域    两室     好楼层,中基礼域尚城 -南三条,2室2厅 | 102.4平米 | 北 | 简装 | 高楼层(共25层)  | 板楼,0人关注 / 6个月以前发布,170,"16,602元/平"
此房易装修，中间楼层，采光好，房子满五年。,栗新小区 -南三条,2室1厅 | 63.71平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,85,"13,342元/平"
精装，中间楼层，户型好，刚需三室。,磷肥厂家属楼 -藁城市,3室2厅 | 110.53平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,11人关注 / 4个月以前发布,95,"8,595元/平"
万达商圈 精装修拎包入住 采光好配套齐全 交通便利,石门小区 -东苑,2室2厅 | 83.31平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,107,"12,844元/平"
蔷薇园精装三室，高层非顶，100米楼间距，视野宽阔,保利花园 -丰收路,3室2厅 | 126.46平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,217,"17,160元/平"
精装婚房 高层视野好 拎包入住,安联新青年广场 -白佛,2室1厅 | 77.79平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,29人关注 / 6个月以前发布,92,"11,827元/平"
卓达星辰金座 2室2厅 南,卓达星辰金座 -天山海世界,2室2厅 | 104.34平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,1人关注 / 2个月以前发布,105,"10,064元/平"
此房满五唯一，税费低，2000年的房子，格局好,物价局家属楼 -藁城市,3室2厅 | 139.5平米 | 南 北 | 简装 | 5层  | 板楼,0人关注 / 1个月以前发布,108,"7,742元/平"
高柱小区两居室全新装修 即买即住 单价不到9000,高柱小区 -高柱,2室1厅 | 59.6平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,52,"8,725元/平"
2楼 满五唯一、金地明珠，偏门两室，90年，有小房,一塑宿舍 -赵陵铺,2室1厅 | 56.99平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,16人关注 / 4个月以前发布,56,"9,827元/平"
此房满五唯一 小三室 中间楼层 采光充足 院大停车..,金鑫东郡 -藁城市,3室1厅 | 102.47平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 7个月以前发布,88,"8,588元/平"
及各种配套于一身的优嘉好房等您来选,通安西区 -藁城市,3室2厅 | 79平米 | 南 北 | 精装 | 高楼层(共6层)  | 平房,2人关注 / 3个月以前发布,69,"8,735元/平"
1楼！两室两厅！二十多平大地下室！！急售，国际城44,银通小区 -银通,2室1厅 | 85.65平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,104,"12,143元/平"
龙泉花园西区南北向两居室，户型好本够，诚意出售,龙泉花园西区 -鹿泉市,2室1厅 | 102.1平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,11人关注 / 9个月以前发布,68,"6,661元/平"
满五唯一  没有抵押  停车方便,陶瓷厂小区西区 -藁城市,3室2厅 | 100.14平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,82,"8,189元/平"
金色家园 一楼带院 双阳大三居 本满五 诚心 出售,金色家园 -天山海世界,3室2厅 | 141.39平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,46人关注 / 一年前发布,146,"10,327元/平"
谈固二环内 精装三居  采光好  南北通透  无大税,瑞府 -谈固,3室1厅 | 95.61平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,192,"20,082元/平"
此房无大税  小二室  2010年房龄 小区安静 配套成熟,芝澜明仕 -银通,2室2厅 | 76.28平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,100,"13,110元/平"
此房满五年，唯一，房东保养得好，3室2厅户型，楼层好,天域嘉园 -赵陵铺,3室2厅 | 120.84平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,146,"12,083元/平"
通透户型，中间楼层，采光好，房主诚心出售，随时看房,天山水榭花都 -天山海世界,2室2厅 | 96.65平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,27人关注 / 8个月以前发布,110,"11,382元/平"
本房格局好 利用空间大 楼前无遮挡 房东诚心卖 精装修,北城国际A区 -沿东,3室2厅 | 137.86平米 | 南 北 | 精装 | 23层  | 板楼,6人关注 / 2个月以前发布,145,"10,518元/平"
三环旁边，大型成熟社区，配套齐全，大三室，全明户型,果岭湾 -鹿泉市,3室2厅 | 136.92平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,95,"6,939元/平"
全明格局两居室，无遮挡，采光好，视野开阔，配套成熟,同祥城 -天山海世界,2室2厅 | 82.29平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,108,"13,125元/平"
万达商圈，精装修。中楼层，采光好，满两年无大税,万达广场B1北区 -槐北,2室1厅 | 90.41平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,7人关注 / 4个月以前发布,155,"17,145元/平"
烨京 简装 三室两厅两卫 拎包入住 满五唯一,烨京城市花园 -新乐市,3室2厅 | 118.64平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,83,"6,996元/平"
荣景园 精装修 优质社区.配套齐全 南北通透 交通方便,阿尔卡迪亚荣景园 -胜北,3室2厅 | 136.63平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,7人关注 / 7个月以前发布,286,"20,933元/平"
房子是精装修的 一楼带小院 适合各种人群 高档小区,长九中心公园9号 -天山海世界,4室2厅 | 178.16平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,379,"21,274元/平"
精装两室！自住随时看房，价格能谈！,瑞城D区 -谈固,2室1厅 | 87.73平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,139,"15,845元/平"
万达商圈，精装修。中楼层，采光好，满两年无大税,万达广场B1北区 -槐北,2室1厅 | 90.41平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,7人关注 / 4个月以前发布,155,"17,145元/平"
丰收路方正通透精装修三室带家具家电地下室业主诚心卖,沁园 -丰收路,3室2厅 | 124.38平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,151,"12,141元/平"
中间楼层上下楼方便，采光好居住舒适，,燕港新村 -富强,2室1厅 | 83.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,159,"19,129元/平"
勒泰旁 偏门两室 诚信出售看房方便,圆明路交通局宿舍 -南三条,2室1厅 | 62.27平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,105,"16,863元/平"
40中青园街 单价才1.5万 小高层带电梯 4室2厅2卫！新,华脉新村 -四十中学,4室2厅 | 182.11平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,11人关注 / 3个月以前发布,266,"14,607元/平"
先天下 3室2厅 南,先天下 -新乐市,3室2厅 | 125.19平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,1人关注 / 2个月以前发布,89,"7,110元/平"
此房满五唯一，中门户型，两个卧室一样大,谈固小区铁三局二处宿舍 -跃进,2室1厅 | 58.86平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 5个月以前发布,72,"12,233元/平"
业主诚意售 鹿锦苑 三室  花园社区 南北户型带地下室,鹿锦苑 -鹿泉市,3室2厅 | 143.79平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,145,"10,085元/平"
天然城优质两室，满五唯一，带地下室,天然城 -富力,2室2厅 | 81.94平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,115人关注 / 10个月以前发布,70,"8,543元/平"
沿西小区  一楼带院  随意装修,联合宿舍 -沿东,2室1厅 | 61.42平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,3人关注 / 3个月以前发布,55,"8,955元/平"
大型社区，房龄新，中间楼层，总价低,宁安小区 -二中,1室1厅 | 43.23平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,44,"10,179元/平"
东胜紫御府 精装三室 带车位地下室 南北通透 采光好,东胜紫御府 -裕西公园,3室2厅 | 120.97平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,4人关注 / 3个月以前发布,201,"16,616元/平"
华平苑1室  楼层好  北国勒泰商圈 满五年,华平苑 -南三条,1室1厅 | 45.26平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,73,"16,130元/平"
火车站商圈，泰丰观湖两室，交通便利,泰丰观湖 -塔谈,2室2厅 | 99.59平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 一年前发布,151.9,"15,253元/平"
偏门，南北通透，可以贷款，首付3成，证够2年，无大税,省邮管局宿舍 -广安,3室1厅 | 85.07平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,36人关注 / 一年前发布,98,"11,520元/平"
全阳户型，采光好，视野开阔，楼层适中,富强小区清馨园 -青园,2室1厅 | 81.97平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,108,"13,176元/平"
电建小区好户型房东诚心出售价钱可谈,电建生活区 -简良,2室1厅 | 65.38平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,62,"9,484元/平"
城内成熟社区，人车分流，物业设施完善，改善三室,华府名邸 -正定县,3室2厅 | 130.07平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,6人关注 / 一年前发布,129,"9,918元/平"
熙湖洋房，临湖位置，二楼带院。,天山熙湖 -天山海世界,3室2厅 | 148.17平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,42人关注 / 一年前发布,375,"25,309元/平"
烨京 简装 三室两厅两卫 拎包入住 满五唯一,烨京城市花园 -新乐市,3室2厅 | 118.64平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,83,"6,996元/平"
81片95年房龄通透两居，采光好，棉四，满五年一手房东,棉四生活区 -广安,2室1厅 | 66.92平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,103,"15,392元/平"
博雅盛世E区 3室2厅 南 北,博雅盛世E区 -十里铺,3室2厅 | 116.91平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,3人关注 / 2个月以前发布,129.8,"11,103元/平"
汇君城二期.中间楼层.采光好.不临高价,汇君城2期 -天苑,2室2厅 | 84.65平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,109.8,"12,972元/平"
经典三室，操场片，稀有户型，东楼头,糖烟酒公司宿舍 -东里,3室1厅 | 78.87平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,16人关注 / 一年前发布,103,"13,060元/平"
房龄新，偏门大客厅，南北通透，好楼层，看房效果好,建明小区 -谈固,3室1厅 | 75.68平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 3个月以前发布,109,"14,403元/平"
碧溪尊苑 2室2厅 南 北,碧溪尊苑 -位同,2室2厅 | 105.09平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,146,"13,893元/平"
公园旁好楼层满五唯一，南北通透。,汇景家园·棉二生活区 -广安,2室1厅 | 86.54平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,118,"13,636元/平"
荣景园 精装修 优质社区.配套齐全 南北通透 交通方便,阿尔卡迪亚荣景园 -胜北,3室2厅 | 136.63平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,7人关注 / 7个月以前发布,286,"20,933元/平"
丰收路方正通透精装修三室带家具家电地下室业主诚心卖,沁园 -丰收路,3室2厅 | 124.38平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,151,"12,141元/平"
华平苑1室  楼层好  北国勒泰商圈 满五年,华平苑 -南三条,1室1厅 | 45.26平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,73,"16,130元/平"
火车站商圈，泰丰观湖两室，交通便利,泰丰观湖 -塔谈,2室2厅 | 99.59平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 一年前发布,151.9,"15,253元/平"
金马 27 多层四楼 采光好 个税 房主诚售 客厅可用,金马小区腾达园 -裕东,2室1厅 | 65.37平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,86,"13,156元/平"
中基跃层 优质户型 三阳开泰 满二年采光好,中基礼域尚城 -南三条,3室2厅 | 136.07平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,60人关注 / 7个月以前发布,217,"15,948元/平"
三号地铁口，全阳两室，楼层好，出行方便,碧溪尊苑 -位同,2室2厅 | 93.79平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,7人关注 / 5个月以前发布,134,"14,288元/平"
欧景园 满五唯一 精装 采光好 南北通透 地下室 车位,欧景园 -城角,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,7人关注 / 6个月以前发布,220,"16,667元/平"
110平的大两室（婚房配置，着急卖），少奋斗五年,好家园 -天山海世界,2室2厅 | 109平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,129,"11,835元/平"
碧溪尊苑 2室2厅 南 北,碧溪尊苑 -位同,2室2厅 | 105.09平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,146,"13,893元/平"
公园旁好楼层满五唯一，南北通透。,汇景家园·棉二生活区 -广安,2室1厅 | 86.54平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,118,"13,636元/平"
商品房满五年，带小房，看房预约，客厅可用,第二造纸厂宿舍 -河北师范大学新校区,2室1厅 | 70.89平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 8个月以前发布,69.8,"9,847元/平"
全阳户型，采光好，视野开阔，楼层适中,富强小区清馨园 -青园,2室1厅 | 81.97平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,108,"13,176元/平"
视野开阔采光好无遮挡看房方便诚心出售满五,栗新小区 -南三条,2室1厅 | 69.52平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 5个月以前发布,70,"10,070元/平"
电建小区好户型房东诚心出售价钱可谈,电建生活区 -简良,2室1厅 | 65.38平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,62,"9,484元/平"
户型方正 双阳卧室 通厅通卧 居住舒适,阿尔卡迪亚荣景园 -胜北,3室2厅 | 117平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,3人关注 / 2个月以前发布,260,"22,223元/平"
精装三局 采光好 个税 价钱可谈 随时看房,奥北公元西区 -丰收路,3室2厅 | 100.53平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,10人关注 / 3个月以前发布,127,"12,634元/平"
燕赵郡府  带电梯 好楼层 三室两厅两卫 拎包入住,燕赵郡府 -新乐市,3室2厅 | 128.56平米 | 南 北 | 简装 | 中楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,87,"6,768元/平"
二号楼精装房！二号楼精装房！二号楼精装房！,西美70后院 -大马村,2室2厅 | 90.77平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,5人关注 / 3个月以前发布,158,"17,407元/平"
苑东街单位宿舍，非顶楼，偏门两室，看房方便,三五零二瓮村生活区 -裕西公园,2室1厅 | 50.14平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 7个月以前发布,46,"9,175元/平"
1号地铁平安大街站，交通方便，商圈成熟,金茂商城 -南三条,2室1厅 | 99.39平米 | 南 西 | 简装 | 高楼层(共15层)  | 板楼,4人关注 / 2个月以前发布,50,"5,031元/平"
精装全阳面户型  业主诚心出售方便看房 品质社区 满二,想象国际 -天山海世界,1室2厅 | 59.36平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,11人关注 / 4个月以前发布,89,"14,994元/平"
金马腾达园 一楼外扩 两室大客厅 满五唯一南院 不临街,金马小区腾达园 -裕东,2室1厅 | 60.06平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,104.5,"17,400元/平"
楼层采光好，业主保养好，交通方便,电建生活区 -简良,2室2厅 | 65.58平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 3个月以前发布,55,"8,387元/平"
广安商圈 博物馆旁，出门地铁中山路主轴线，配套齐全,汇景国际 -广安,1室1厅 | 58.81平米 | 西 | 精装 | 高楼层(共25层)  | 板楼,4人关注 / 23天以前发布,47,"7,992元/平"
恒山路城东区，小三室。满五唯一,县政府家属院 -正定县,3室1厅 | 90平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 22天以前发布,69.7,"7,745元/平"
草场街，一楼三室带院，精装修看房方便,轻工研究院宿舍 -东里,3室1厅 | 59.8平米 | 南 北 | 精装 | 低楼层(共5层)  | 板塔结合,5人关注 / 25天以前发布,82,"13,713元/平"
西美商圈 红旗大街 南北通透 精装修 视野开阔,文荟佳园 -宫家庄,3室2厅 | 121.71平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,20人关注 / 11个月以前发布,138,"11,339元/平"
精装三室，好楼层，视野宽阔，采光充足，配套实施齐全,高远森霖城 -柳董庄,3室2厅 | 120.94平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,140,"11,576元/平"
红旗大街，17，草场街，精装3室。单位宿舍，有钥匙,市科技局宿舍 -红旗,3室2厅 | 146.82平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 5个月以前发布,138,"9,400元/平"
火车站商圈泰丰观湖精装南北向三室诚心出售,泰丰观湖 -塔谈,3室2厅 | 130.12平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,17人关注 / 5个月以前发布,190,"14,602元/平"
标准四居室  方方正正 全明户型 阿尔卡迪亚旁,鑫利时间国际 -胜北,4室2厅 | 149.79平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,43人关注 / 5个月以前发布,198,"13,219元/平"
南二环红旗大街，荣盛城，3室2厅2卫。精装，阳面客厅,荣盛城 -西南高校区,3室2厅 | 136.98平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 3个月以前发布,193,"14,090元/平"
熙湖二期小三居，楼层好视野宽阔，不临街无商铺。,天山熙湖二期 -天山海世界,3室2厅 | 105.41平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,168,"15,938元/平"
业主急售，精装修三居此小区优质房源,栗水清苑 -河北科大新校区,3室2厅 | 122.4平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,193人关注 / 一年前发布,117,"9,559元/平"
南北户型，大三室，双阳卧，随时看房，诚心出售,和谐家园 -西三庄,3室2厅 | 179.92平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,29人关注 / 一年前发布,179,"9,949元/平"
幸福城B区，精装三室，中间楼层，业主急售,幸福城 -简良,3室2厅 | 116.31平米 | 西南 | 精装 | 高楼层(共25层)  | 平房,1人关注 / 3个月以前发布,132,"11,349元/平"
园林式洋房说社区，环境好，交通方便,润江紫宸院 -藁城市,3室2厅 | 119.16平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,94,"7,889元/平"
荣盛开发 二环边洋房社区 六层到顶中间楼层 环境好,荣盛城荣尚苑二区 -西南高校区,5室2厅 | 177.77平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,11人关注 / 5个月以前发布,405,"22,783元/平"
北二环 精装修 没住过 中间楼层 前无遮挡 采光很好,天河悦城 -天苑,2室1厅 | 96.35平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,1人关注 / 3个月以前发布,139,"14,427元/平"
奥北公元 刚需小三居 毛坯房随心装 业主诚心出售,奥冠奥北公元 -丰收路,3室2厅 | 100.93平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,88人关注 / 一年前发布,136,"13,475元/平"
想象国际二期  位置好不临街 2+1户型 诚心出售,想象国际 -天山海世界,2室2厅 | 98.7平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,139,"14,084元/平"
户型方正大三室。价格优惠，诚心出售。有钥匙,栗水清苑 -河北科大新校区,3室2厅 | 140.55平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,21人关注 / 一年前发布,107,"7,613元/平"
燕西台 102平三室两卫  有钥匙  随时看房,燕西台 -西南高校区,3室1厅 | 102.05平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,12人关注 / 3个月以前发布,97,"9,506元/平"
恒大美丽四室户型，户型方正，少有的毛坯,恒大御景半岛 -高营,4室2厅 | 240.21平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,18人关注 / 5个月以前发布,260,"10,824元/平"
低楼层，通透户型，总价低，有地下室，看房方便。,雅清苑 -位同,2室1厅 | 95平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,10人关注 / 3个月以前发布,142,"14,948元/平"
小区环境好，精装，楼前不遮挡，采光好，地下室,天河悦城 -天苑,3室2厅 | 118.6平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,137,"11,552元/平"
