标题,开发商,房子信息,发布信息,售价/万,单价
东方明珠三村 中间楼层 精装修 大三房 拎包入住。,东方明珠三村 -江东,3室2厅 | 128.62平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,198,"15,395元/平"
格局好，阳光充足居家适中的三房,万达荣府1号 -安民,3室1厅 | 114.16平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,7人关注 / 11个月以前发布,136,"11,914元/平"
碧溪丽景六楼的五楼 交通方便 生活方便,碧溪丽景 -佳山,3室1厅 | 135.57平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,40人关注 / 一年前发布,122,"9,000元/平"
满五唯一，房龄新，空户口，采光充足，配套齐全,印象欧洲 -佳山,3室2厅 | 107.45平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板塔结合,1人关注 / 4个月以前发布,126,"11,727元/平"
红旗花园 精装修 拎包入住 采光很好 看房方便,红旗花园 -平湖,4室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,51,"3,643元/平"
银河湾中上层  满五不唯一 带车位,银河湾城市茗苑 -佳山,3室2厅 | 160.6平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,1人关注 / 11个月以前发布,192,"11,956元/平"
房子满五唯一，省钱省税，精装修拎包入住，房子二楼,钢城花园一村 -安民,3室2厅 | 137.91平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,13人关注 / 8个月以前发布,133,"9,644元/平"
阳台正对粉黛子园，小高层公摊少，全天采光！,深业华府春天里 -安民,3室2厅 | 96.13平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,18人关注 / 5个月以前发布,127,"13,212元/平"
金鹰国际湖景房 繁华 视野开阔,金鹰国际 -沙塘,3室2厅 | 151.53平米 | 南 北 | 毛坯 | 中楼层(共46层)  | 塔楼,0人关注 / 1个月以前发布,186,"12,275元/平"
楼层好户型好，视野宽阔，采光充足，不靠马路,印象欧洲 -佳山,3室2厅 | 96.53平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,16人关注 / 一年前发布,110,"11,396元/平"
明年二月满二 楼层好 采光充足 小区环境好 交通方便,深业华府春天里 -安民,4室2厅 | 134.93平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,210,"15,564元/平"
满五不唯一康乐家园下楼康乐游园散步,康乐家园 -桃园,3室1厅 | 87.26平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,12人关注 / 一年前发布,96,"11,002元/平"
国际华城二村 宜居一楼 采光好 全新毛坯 飞机户,国际华城二村 -霍里,3室2厅 | 126.4平米 | 南 东 北 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,139,"10,997元/平"
康乐家园，多层二楼，飞机户型，采光无遮挡,康乐家园 -桃园,3室2厅 | 105.29平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,136,"12,917元/平"
中上楼层，满2年，南北通透，视野宽阔，生活便利，,西塘名苑 -佳山,3室2厅 | 113.42平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,102.8,"9,064元/平"
此房是叠墅，位置佳，格局好，户型方正，采光好,花雨亭小区 -雨山,6室2厅 | 192.96平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼,3人关注 / 4个月以前发布,237,"12,283元/平"
天泽水岸 小高层 三室 满五年,天泽水岸 -佳山,3室2厅 | 126.91平米 | 南 | 毛坯 | 中楼层(共15层)  | 塔楼,6人关注 / 4个月以前发布,120,"9,456元/平"
万达荣府124平三室，低楼层，户型好，视野好,万达荣府1号 -安民,3室2厅 | 124.04平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,2人关注 / 6个月以前发布,159,"12,819元/平"
深业华府 3室2厅 南,深业华府 -安民,3室2厅 | 148.19平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,6人关注 / 9个月以前发布,200,"13,497元/平"
深业华府春天里 满五唯一 三房二厅，中上好楼层,深业华府春天里 -安民,3室2厅 | 96.54平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,5人关注 / 10个月以前发布,117,"12,120元/平"
南部优质小区 精装修 东边户 阳光好,泰和天成 -佳山,3室2厅 | 120.28平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,5人关注 / 3个月以前发布,145,"12,056元/平"
精装修，视野宽阔，采光好，生活便利，配套成熟,西塘名苑 -佳山,3室1厅 | 121.77平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,145,"11,908元/平"
此房楼层较加采光无挡通透小区物业较好环境较优,盛世华府 -桃园,3室2厅 | 102.29平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,5人关注 / 一年前发布,125,"12,221元/平"
聚峰世家 大平层 四室两厅 三开间朝南 硬装结束,聚峰世家 -安民,4室2厅 | 169.2平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,3人关注 / 4个月以前发布,235,"13,889元/平"
南湖花园中层，精装三室朝南，不靠路,南湖花园 -雨山,3室2厅 | 124.22平米 | 东 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,10人关注 / 5个月以前发布,159,"12,800元/平"
全屋精装 婚房装修 房东一天未住，适合拎包入住。,江南御花园 -佳山,4室2厅 | 97.78平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,108,"11,046元/平"
距离高压线100多米，中上楼层东边户，满二年,中南熙悦 -佳山,3室2厅 | 125.3平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 6个月以前发布,216,"17,239元/平"
南部优质小区 精装修 东边户 阳光好,泰和天成 -佳山,3室2厅 | 120.28平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,5人关注 / 3个月以前发布,145,"12,056元/平"
西湖公园皇府 毛坯楼层好采光好佳满二年业主诚心出售,西湖公元皇府 -佳山,4室2厅 | 135.78平米 | 南 | 毛坯 | 中楼层(共30层)  | 平房,5人关注 / 6个月以前发布,182,"13,405元/平"
配套齐全，生活方便，环境优美，小区配套完善,碧桂园天域 -佳山,3室1厅 | 118.55平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,160,"13,497元/平"
精装修，视野宽阔，采光好，生活便利，配套成熟,西塘名苑 -佳山,3室1厅 | 121.77平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,145,"11,908元/平"
满五唯一，含车位，毛坯大三房上学方便,盛世华府 -桃园,3室1厅 | 102平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,3人关注 / 5个月以前发布,130,"12,746元/平"
精装三房  采光好  南北通透  配套齐全,凡尔赛公馆 -佳山,3室2厅 | 86.33平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,105,"12,163元/平"
看房方便，楼层和采光都很好，看房方便，产权清晰,朝辉花园 -桃园,2室1厅 | 100.74平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,13人关注 / 6个月以前发布,125,"12,409元/平"
安粮三期  毛坯三房  户型方正,安粮城市广场三期 -霍里,3室2厅 | 131.41平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,6人关注 / 5个月以前发布,165,"12,557元/平"
金汇城市花园 多层大三室 户型好,金汇城市花园 -桃园,3室1厅 | 123.53平米 | 东 南 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,158,"12,791元/平"
此房满二不唯一，客厅主卧朝南，书房朝北，中间楼层,滨江花园 -佳山,3室1厅 | 95平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,54,"5,685元/平"
绿洲茗苑 三室两厅 顶楼复式 满五唯一 诚心出售,绿洲茗苑 -塘西,3室1厅 | 102.9平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,74.5,"7,241元/平"
深业华府春天里 3室2厅 南,深业华府春天里 -安民,3室2厅 | 113.24平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,21人关注 / 6个月以前发布,129,"11,392元/平"
山南+花园。视野好，环境好，采光好，户型好.,钢城花园三村 -安民,4室3厅 | 143.18平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,86,"6,007元/平"
：精装修三房，拎包入住，小区配套成熟，交通便利,颐园世家 -佳山,3室2厅 | 93.89平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,126,"13,420元/平"
总价低  南北通透 采光无遮挡 另有车位,新城璟玥 -佳山,3室2厅 | 121.11平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,12人关注 / 一年前发布,125.8,"10,388元/平"
此房满2年，南北通透，采光很好，户型很好,印象欧洲 -佳山,3室1厅 | 93.55平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,4人关注 / 8个月以前发布,108.8,"11,631元/平"
万达中 央华城  户型通透 诚心出售 看房方便,万达中央华城 -安民,3室2厅 | 112.76平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,142,"12,594元/平"
翡翠园一楼架空层，光线好，户型方正！~,翡翠园一村 -安民,3室2厅 | 130.03平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,17人关注 / 一年前发布,139,"10,690元/平"
达观天下学府里，婚房精装，采光充足，近中加,达观天下学府里 -佳山,3室2厅 | 97.41平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,110,"11,293元/平"
中心商厦6楼三室一厅，两南一北，采光无遮挡,中心商厦 -沙塘,3室1厅 | 101平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,48,"4,753元/平"
"房东诚心卖房 ,楼间距大,采光无遮挡配套齐全生活便利",深业华府春天里 -安民,3室1厅 | 97平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,115,"11,856元/平"
金海岸大平层  东边户型 采光没有遮挡 硬装全部结束,金海岸名邸 -采石,4室2厅 | 192.98平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,26人关注 / 一年前发布,208.8,"10,820元/平"
此房3室2厅1卫1厨，视野开阔有，楼层好，三开间朝南,深业华府春天里 -安民,3室2厅 | 96.31平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,9人关注 / 9个月以前发布,110,"11,422元/平"
枫林佳园 商品房 环境优美 小区位置安静 安全舒适,枫林佳园 -江东,3室2厅 | 101.22平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 31天以前发布,74,"7,311元/平"
急售！急售！盛世华府，鸟瞰整个马鞍山，有地下车位！,盛世华府 -桃园,4室2厅 | 149.11平米 | 南 北 | 毛坯 | 高楼层(共55层)  | 板楼,16人关注 / 一年前发布,183,"12,273元/平"
宝龙华庭 新空毛坯房 中上楼层 视野好 珍珠园 七中,宝龙华庭 -桃园,3室2厅 | 138.87平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,188,"13,538元/平"
品质安保，人车分离，南北通户型，城东区域,奥克斯姑溪玖和 -当涂县,3室2厅 | 115.24平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,97.5,"8,461元/平"
：精装修三房，拎包入住，小区配套成熟，交通便利,颐园世家 -佳山,3室2厅 | 93.89平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,126,"13,420元/平"
总价低  南北通透 采光无遮挡 另有车位,新城璟玥 -佳山,3室2厅 | 121.11平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,12人关注 / 一年前发布,125.8,"10,388元/平"
天择水岸，精装修三房。靠湖，满二,天泽水岸 -佳山,3室2厅 | 122.03平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,112,"9,179元/平"
此房满五年，房型格局好，视野宽阔，配套齐全,得月坊 -塘西,3室2厅 | 114.6平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,0人关注 / 一年前发布,64.5,"5,629元/平"
精装修，保养好，中间楼层，诚心出售,春晖家园西区 -佳山,3室2厅 | 115.99平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,11人关注 / 9个月以前发布,131,"11,295元/平"
小区中间位置 户型方正 房主诚心出售,颐园世家 -佳山,3室1厅 | 92.43平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,96.5,"10,441元/平"
万达中华城满2年 ，新装修，拎包入住业主诚心出售.,万达中央华城 -安民,3室1厅 | 81.44平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,9人关注 / 3个月以前发布,93,"11,420元/平"
采光好无遮挡，户型格局都很好，万达近在咫尺,深业华府春天里 -安民,3室1厅 | 97.55平米 | 南 | 毛坯 | 低楼层(共15层)  | 板塔结合,7人关注 / 一年前发布,116,"11,892元/平"
采秣三室朝南，三楼，采光好，户型正，随时看房,采秣新村 -桃园,3室1厅 | 105.45平米 | 南 北 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 28天以前发布,126,"11,949元/平"
店长推荐，2楼精装修，拎包入住！,九华万家花园 -佳山,2室2厅 | 72.77平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,44.8,"6,157元/平"
绿洲花园一村 2室2厅 南,绿洲花园一村 -塘西,2室2厅 | 90.45平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,85,"9,398元/平"
汽修新村 2室1厅 南,汽修新村 -解放路,2室1厅 | 60.72平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 20天以前发布,45,"7,412元/平"
万达中央华城 2室1厅 南,万达中央华城 -安民,2室1厅 | 89.94平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 28天以前发布,105,"11,675元/平"
花园新村南区 2室1厅 南,花园新村南区 -解放路,2室1厅 | 67平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 18天以前发布,37,"5,523元/平"
鹊桥小区一村急售房源，业主诚心出售，顶楼价可谈,鹊桥小区一村 -安民,2室1厅 | 67.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,36,"5,312元/平"
今日家园四楼，二室一厅，房东诚心卖房,今日家园 -塘西,2室2厅 | 76.55平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 30天以前发布,54,"7,055元/平"
此房户型方正‘三室朝南’布局合理‘无浪费空间,康嘉大景城南区 -桃园,3室2厅 | 135.06平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 20天以前发布,159,"11,773元/平"
金瑞新城四村，采光好，户型好，房东诚心卖,金瑞新城四村 -江东,3室1厅 | 101.14平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 24天以前发布,60,"5,933元/平"
市防疫站宿舍 3室1厅 南,市防疫站宿舍 -沙塘,3室1厅 | 64.22平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,47,"7,319元/平"
东方明珠世纪花园 2室1厅 南,东方明珠世纪花园 -江东,2室1厅 | 58.94平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 29天以前发布,83,"14,083元/平"
此房经典两房 开发商精装 楼层好 视野宽阔 采光充足,新里西斯莱公馆 -霍里,2室1厅 | 82.21平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 20天以前发布,98,"11,921元/平"
中上楼层，全天采光，户型方正，满二唯一，硬装精装,西塘名苑 -佳山,2室1厅 | 82.55平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 17天以前发布,85,"10,297元/平"
宝龙华庭 3室1厅 南,宝龙华庭 -桃园,3室1厅 | 115.09平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,166,"14,424元/平"
户型好通风效果好高层采光好楼层佳碧桂园物业管,碧桂园滨江世家山湖郡 -当涂县,3室2厅 | 96平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,75.8,"7,896元/平"
绿地三期 广场旁边 大三房 精装一次没住,新里西斯莱公馆 -霍里,3室1厅 | 136.18平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 4天以前发布,199,"14,614元/平"
装修拎包入住，采光无遮挡。好楼层,达观天下学府里 -佳山,3室1厅 | 97.6平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,95,"9,734元/平"
天润公寓3-1-1-1 109.36m² 115 万,天润公寓 -解放路,3室2厅 | 109.36平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,115,"10,516元/平"
永安花园，前面就是马鞍山二中，精装三房可拎包入住！,永安花园 -解放路,3室2厅 | 97.36平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,93,"9,553元/平"
豪 华装修 一尘不染 拎包入住 凤凰层 房东急卖,康泰佳苑 -安民,3室1厅 | 141.31平米 | 南 北 | 其他 | 高楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,180,"12,738元/平"
鑫福家园 精装三房 拎包入住 满五唯一 业主诚心出售,鑫福家园 -佳山,3室1厅 | 99.89平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,74.5,"7,459元/平"
御澜湾精装两房 楼层好 户型通透 诚意出售,当涂冠景·御澜湾 -当涂县,3室2厅 | 89.11平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 23天以前发布,63,"7,070元/平"
学府旁 商场边 精装大三房 拎包入住 看房方便,泰瑞小区 -当涂县,3室2厅 | 131.78平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,79.5,"6,033元/平"
中丞 顶楼复式 高品质装修 还未入住 景观房,中丞国宾府 -佳山,4室3厅 | 123.39平米 | 南 北 | 其他 | 高楼层(共9层)  | 板塔结合,0人关注 / 19天以前发布,300,"24,314元/平"
繁华地段 采光好 大四房 房东稳定,翠竹小区 -当涂县,4室2厅 | 163.32平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 28天以前发布,65,"3,980元/平"
东苑六村，产权清晰，满五唯一，看房方便,东苑小区 -解放路,3室2厅 | 100.51平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 30天以前发布,115,"11,442元/平"
此房视野宽阔，采光充足，交通便利,恒生秀山郡 -霍里,3室1厅 | 95.38平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,2人关注 / 5个月以前发布,93,"9,751元/平"
世纪大厦 中楼层 精装修 拎包入住,世纪理想星座 -桃园,1室1厅 | 52.23平米 | 西 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 19天以前发布,56,"10,722元/平"
映翠花园五村 5室2厅 南,映翠花园五村 -安民,5室2厅 | 135.16平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,90,"6,659元/平"
此房为马鞍山市为数不多的叠加别墅，户型方正，满五年,金汇城市花园 -桃园,5室2厅 | 227.1平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,4人关注 / 5个月以前发布,350,"15,412元/平"
此房是底商，面积很大，已满二，房东诚心卖,恒大御景湾 -霍里,10室0厅 | 590.66平米 | 东南 | 其他 | 低楼层(共3层)  | 塔楼,1人关注 / 一年前发布,900,"15,238元/平"
碧桂园首 府精装修大平层，装修保养好、视野开阔,碧桂园首府 -当涂县,5室2厅 | 269.13平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,8人关注 / 一年前发布,333,"12,374元/平"
牡丹园采秣七 中双，楼上楼下一样大，有大阳光房！,牡丹园 -桃园,6室2厅 | 199.9平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,20人关注 / 一年前发布,163,"8,155元/平"
鹊桥小区 2室1厅 南,鹊桥小区 -安民,2室1厅 | 56.92平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 17天以前发布,51,"8,960元/平"
长江金源豪庭  毛坯大两房 采光好 楼层好 南北通,长江金源豪庭 -当涂县,2室2厅 | 101.24平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 15天以前发布,68.8,"6,796元/平"
精装复式楼，复式是平层 都是126平,鑫福家园 -佳山,4室2厅 | 126.16平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,15人关注 / 10个月以前发布,98,"7,768元/平"
满五不唯一，楼上楼下品质装修，暖气配套。拎包入住,海外海名筑苑 -雨山,3室2厅 | 231.51平米 | 东南 | 其他 | 高楼层(共5层)  | 板楼,3人关注 / 4个月以前发布,242,"10,454元/平"
叠墅，345层，精装，房东诚心出售,九韵国际 -当涂县,4室3厅 | 236平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,167,"7,077元/平"
碧溪丽景 5室2厅 南,碧溪丽景 -佳山,5室2厅 | 195.15平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,155,"7,943元/平"
品质小区，满2年，楼层好视野开阔！,恒大绿洲 -霍里,3室1厅 | 90.92平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 9天以前发布,118,"12,979元/平"
中央花园二期 小高层复式，精装修，拎包入住,中央花园 -雨山,6室1厅 | 216.65平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 9天以前发布,264,"12,186元/平"
新安花园 3室2厅 南 北,新安花园 -安民,3室2厅 | 228平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,110,"4,825元/平"
塞纳翡翠庄园丽都苑 满二 精装 看房方便 诚心出售,塞纳翡翠庄园丽都苑 -当涂县,5室2厅 | 326平米 | 南 | 其他 | 2层  | 暂无数据 | 独栋别墅 ,0人关注 / 14天以前发布,520,"15,951元/平"
碧云天城市花园，上下复式，实用面积大,碧雲天城市花园 -雨山,5室2厅 | 222.76平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,235,"10,550元/平"
精装修，拎包入住，小区环境整洁，设施齐全,花和佳苑东区 -霍里,3室2厅 | 101.66平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,85,"8,362元/平"
春江雅苑 3室2厅 南,春江雅苑 -佳山,3室2厅 | 85.15平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 23天以前发布,70,"8,221元/平"
格林花园 3室1厅 南 北,格林花园 -佳山,3室1厅 | 94.14平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 29天以前发布,115,"12,216元/平"
平塘花园 小区环境好 居住人群素质高 户型方正,平塘花园 -平湖,4室2厅 | 100.77平米 | 南 北 | 其他 | 高楼层(共6层)  | 平房,0人关注 / 29天以前发布,45,"4,466元/平"
绿地三期精装三房，南北双阳台，诚意出售,新里西斯莱公馆 -霍里,3室1厅 | 115.61平米 | 东南 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 21天以前发布,155,"13,408元/平"
万嘉颐园精装三房   拎包入住    采光无遮挡,万嘉颐园北区 -霍里,3室1厅 | 87.64平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 21天以前发布,83,"9,471元/平"
此房满五唯一  多层一楼   位置好 采光很好,西湖花园 -解放路,3室2厅 | 129.05平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 23天以前发布,139.8,"10,834元/平"
多层低楼层 公摊少 配套齐全 轻轨站点,西湖花园 -解放路,3室1厅 | 102.21平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 29天以前发布,112,"10,958元/平"
金安佳苑南区 精装修  满五唯一,金安佳苑南区 -塘西,2室1厅 | 65.25平米 | 南 北 | 精装 | 高楼层(共6层)  | 平房,0人关注 / 28天以前发布,49,"7,510元/平"
晨光花园 1室1厅 南,晨光花园 -佳山,1室1厅 | 53.81平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 29天以前发布,38,"7,062元/平"
团结新村 2室1厅 南,团结新村 -塘西,2室1厅 | 67.86平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,53,"7,811元/平"
春晖家园东区 4室2厅 南,春晖家园东区 -佳山,4室2厅 | 83.21平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 30天以前发布,119.8,"14,398元/平"
绿洲花园一村 五楼 精装 两室两厅  看房方便 拎包入住,绿洲花园一村 -塘西,2室2厅 | 91.98平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 23天以前发布,85,"9,242元/平"
珍珠园二村 上学近  满五年 精装 拎包入住 看房方便,珍珠园二村 -雨山,3室2厅 | 92.76平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 27天以前发布,86,"9,272元/平"
高铁站旁，小高层，新空毛坯房，中上楼层。,秀山湖壹號 -霍里,2室2厅 | 80.26平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 25天以前发布,94,"11,712元/平"
金安佳苑南区 一楼 大三房 小区中间 位置好 楼层好,金安佳苑南区 -塘西,3室2厅 | 92.4平米 | 南 | 简装 | 低楼层(共6层)  | 平房,0人关注 / 26天以前发布,79,"8,550元/平"
香樟园精装修五楼 才装修两年时间拧包入住,香樟园 -桃园,1室1厅 | 60.57平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 21天以前发布,56,"9,246元/平"
房楼层好，户型方正，出门就是护城河和大埂，,东城蓝湾 -当涂县,2室2厅 | 87.71平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 17天以前发布,58,"6,613元/平"
大北庄五楼闹中取静中装三房朝南采光好看房方便,大北庄 -桃园,3室1厅 | 82.93平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,72,"8,683元/平"
珍珠园一村 采光好 小区配套成熟  生活便利,珍珠园一村 -雨山,3室1厅 | 93.6平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,95.2,"10,171元/平"
恒大御景湾精装温馨两房，家具家电齐全，拎包入住。,恒大御景湾 -霍里,2室2厅 | 87.23平米 | 南 北 | 精装 | 低楼层(共15层)  | 板塔结合,0人关注 / 26天以前发布,99.8,"11,442元/平"
恒大绿洲精装三房  边户 南北双阳台 好楼层,恒大绿洲 -霍里,3室1厅 | 104.01平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 15天以前发布,135,"12,980元/平"
贵都花园 4室2厅 南 北,贵都花园 -佳山,4室2厅 | 209.64平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 16天以前发布,150,"7,156元/平"
紧 邻欧尚，不靠马路位置佳，东边户，2楼，采光好,金汇城市花园 -桃园,3室2厅 | 117.27平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 30天以前发布,182,"15,520元/平"
恒大绿洲 电梯花园洋房 北院子下复式 华丽精装修,恒大绿洲 -霍里,3室2厅 | 143.63平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 17天以前发布,295,"20,539元/平"
