标题,开发商,房子信息,发布信息,售价/万,单价
人民路南华康城 中 央公馆精装两室小区内价格合适一套,中央公馆三期 -立交桥,2室2厅 | 93平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,68,"7,312元/平"
欧洲城 两室精装出售 价格合适 带车储 随时看方便,新洲欧洲城 -万达广场,2室2厅 | 97平米 | 东南 | 简装 | 中楼层(共23层)  | 暂无数据,4人关注 / 一年前发布,69,"7,114元/平"
学府苑简单装修两居室，诚心出售，看房子方便,学府景苑 -一中,2室1厅 | 74.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,46,"6,150元/平"
万达商圈 多层好楼层 公摊小 带车库 精装修 看房方便,亨通园 -银座,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 10个月以前发布,113.3,"8,852元/平"
万达旁和平路简装两室老证可贷款诚心出售,和平人家 -和平南路,2室2厅 | 93.26平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,73,"7,828元/平"
本房华英家园别墅交通好，出行方便，适合居住,华英家园 -大剧院,5室3厅 | 500平米 | 南 | 简装 | 2层  | 塔楼 | 联排别墅 ,3人关注 / 一年前发布,718,"14,360元/平"
万达广场 商品房 房主诚心出售,天安万达广场 -万达广场,3室2厅 | 123平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,108,"8,781元/平"
小区采光好，公摊低低 率 小区没有高层适合居住,明轩嘉园 -万达广场,2室1厅 | 92平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,82,"8,914元/平"
万达东侧电梯房户型方正大两室诚心出售,山海嘉园 -万达广场,2室2厅 | 79平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,62,"7,849元/平"
牡丹新城，三居室，简装，满二老证，带车位储藏室,牡丹新城南区 -牡丹园,3室2厅 | 137.82平米 | 南 | 简装 | 中楼层(共22层)  | 板塔结合,1人关注 / 一年前发布,85.5,"6,204元/平"
老城满五好房，多层公摊小。配套齐全。户型方正,新世纪小区 -步行街,3室2厅 | 95平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,62,"6,527元/平"
三室房子，精装修，有车位另算，，，，,天安万达广场 -万达广场,3室2厅 | 136平米 | 东南 南 北 | 精装 | 高楼层(共33层)  | 板楼,9人关注 / 一年前发布,120,"8,824元/平"
文化城经典三居室带车位精装修106万！,菏泽文化城 -二十二中,3室2厅 | 129平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,93,"7,210元/平"
温馨两室，老证，适合陪读，老人居住，有储藏室,康馨雅苑 -一佳,2室2厅 | 78平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,46,"5,898元/平"
欧洲城 两室精装出售 价格合适 带车储 随时看方便,新洲欧洲城 -万达广场,2室2厅 | 97平米 | 东南 | 简装 | 中楼层(共23层)  | 暂无数据,4人关注 / 一年前发布,69,"7,114元/平"
万达旁！小高层大三室！无过户费！,明轩嘉园 -万达广场,3室2厅 | 133平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,7人关注 / 10个月以前发布,96.9,"7,286元/平"
天安万达广场三居室，采光好，适合居住,天安万达广场 -万达广场,3室2厅 | 133平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,99.6,"7,489元/平"
烟厂家属院  两居的 一室一厅朝阳  业主诚心出售,烟厂家属院 -北关医院,2室2厅 | 70平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,37,"5,286元/平"
融邦中山苑两室两厅  简装  一把清 视野广阔,融邦中山苑 -万达广场,2室2厅 | 98平米 | 南 | 简装 | 低楼层(共34层)  | 暂无数据,1人关注 / 一年前发布,80,"8,164元/平"
万达商圈 多层好楼层 公摊小 带车库 精装修 看房方便,亨通园 -银座,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 10个月以前发布,113.3,"8,852元/平"
万达旁  大三室 老证 可贷款 诚心出售,山海嘉园 -万达广场,3室2厅 | 139.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,120,"8,584元/平"
学府苑简单装修两居室，诚心出售，看房子方便,学府景苑 -一中,2室1厅 | 74.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,46,"6,150元/平"
小区前排无遮挡精装两室带家具及带电，老证,和平人家 -和平南路,2室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,75.9,"7,590元/平"
中达广场南区 精装修 两室 朝阳 有车位,中达广场南区 -万达广场,2室2厅 | 84.1平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,9人关注 / 一年前发布,70,"8,324元/平"
东边户 视野好三室两厅两卫 双阳台,天安万达广场 -万达广场,3室2厅 | 133平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,113,"8,497元/平"
精装二手房，业主急售，价格合适。,星月绿城 -广州南路,3室2厅 | 111.39平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,75.9,"6,814元/平"
四室 精装修 采光好 视野好 全明朝阳 户型方正,锦绣花城 -二十二中,4室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,90.5,"7,071元/平"
简装三室，两室朝阳，满二老证，带车位和储藏室,牡丹新城南区 -牡丹园,3室2厅 | 136.75平米 | 南 北 | 简装 | 中楼层(共22层)  | 板塔结合,1人关注 / 一年前发布,76,"5,558元/平"
牡丹新城南区，三居室，带储藏室，满二老证,牡丹新城南区 -牡丹园,3室2厅 | 136平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,70,"5,148元/平"
万达对过 地理位置优越 满五 过户费低,华平小区 -万达广场,3室2厅 | 145平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,113,"7,794元/平"
匹克国际花园舒适大两室　马上下证　精装修　看房随时,匹克国际花园 -北关医院,2室2厅 | 97.47平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,60,"6,156元/平"
福临阅城名苑南区，精致小三居，带储藏室 ，全款,福临阅城名苑南区 -北外环,3室1厅 | 120平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,78,"6,500元/平"
赵王河畔，港湾新城，精致四居室，精装，带储藏室,港湾新城 -牡丹园,4室2厅 | 166平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,3人关注 / 一年前发布,105,"6,326元/平"
黄河路广福街交叉口阅城国际花园位置佳,阅城国际花园 -北外环,2室1厅 | 86.64平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,2人关注 / 一年前发布,48.8,"5,633元/平"
赵王河畔，港湾新城，精致四居室，精装，带储藏室,港湾新城 -牡丹园,4室2厅 | 166平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,3人关注 / 一年前发布,105,"6,326元/平"
匹克国际花园舒适大两室　马上下证　精装修　看房随时,匹克国际花园 -北关医院,2室2厅 | 97.47平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,60,"6,156元/平"
北关多层中间楼层中等装修带车库一间,龍田名郡 -北外环,3室2厅 | 131.56平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,76.5,"5,815元/平"
万达对过 地理位置优越 满五 过户费低,华平小区 -万达广场,3室2厅 | 145平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,113,"7,794元/平"
带车库多层小公摊，居住舒适，八一路旁，天华交通家园,天华交通家园 -广州路,3室2厅 | 122.49平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,6人关注 / 一年前发布,74.8,"6,107元/平"
天华领秀城，老证，三室两卫，可按揭，诚心出售,天华·领秀城 -广州路,3室2厅 | 124.96平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,90,"7,203元/平"
新闻家园  三室 免费停车 带储藏室 着急出售,新闻家园 -和平南路,3室2厅 | 125平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,75,"6,000元/平"
康馨雅苑，温馨两室，户型好，诚心出售,康馨雅苑 -一佳,2室1厅 | 76平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,41,"5,395元/平"
人民路 中国牡丹园  牡丹公馆118平南北通透 三居,牡丹公馆 -牡丹园,3室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,84.7,"7,178元/平"
馨 润 嘉 园 小 区 户 型 信 息,馨润嘉园(牡丹区) -惠慈医院,3室2厅 | 144平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,98,"6,806元/平"
精装两室双阳台，房东自住，看房方便,匹克国际花园 -北关医院,2室2厅 | 97.09平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,70,"7,210元/平"
康乐园一期三室二厅二卫好楼层诚心出售,康乐园二期 -三中,3室2厅 | 130平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,42人关注 / 一年前发布,49,"3,770元/平"
御河丹城 洋房南北通风好 老证改善型客户看过来,御河丹城 -牡丹园,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,114,"9,194元/平"
惠慈医院户型方正空间利用合理卧室客厅采光好诚售,天一御庭园 -惠慈医院,2室2厅 | 103平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,69,"6,700元/平"
此房满五唯一，房东急售精装修.,天宏嘉苑 -立交桥,4室2厅 | 180平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,107,"5,945元/平"
房子无证可以随时办，有地下车库，价格实惠,福临阅城名苑南区 -北外环,3室2厅 | 151平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,96.8,"6,411元/平"
鲁商凤凰城 位置好 经典小三室 精装修婚房,鲁商凤凰城 -牡丹园,3室1厅 | 98平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,2人关注 / 11个月以前发布,70,"7,143元/平"
牡丹公馆边户三室，精装修看房方便，诚心出售,牡丹公馆 -牡丹园,3室1厅 | 113平米 | 南 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 4个月以前发布,68,"6,018元/平"
华侨城二期两室一楼带院业主诚心出售,华侨城二期 -万达广场,2室2厅 | 78平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,4人关注 / 一年前发布,79,"10,129元/平"
中山苑 简装大两室  落地窗  视野宽阔  诚心出售,融邦中山苑 -万达广场,2室2厅 | 98平米 | 南 | 简装 | 低楼层(共34层)  | 暂无数据,2人关注 / 一年前发布,70,"7,143元/平"
地理位置佳 环境绿化好 房东诚心出售,中山国际 -惠慈医院,3室2厅 | 139平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,84.9,"6,108元/平"
小区环境优美，交通便利，经济适用房，价格低,滨河新城 -一佳,2室1厅 | 85平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 5个月以前发布,35,"4,118元/平"
急售万达旁，中山苑三室边户，车位储藏室另算，精装,融邦中山苑 -万达广场,3室2厅 | 131平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,4人关注 / 一年前发布,130,"9,924元/平"
华平小区 多层小区 公摊小 老证 诚心出售,华平小区 -万达广场,2室2厅 | 89平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,74,"8,315元/平"
赵王河旁，经典两居室，采光好。交通方便。,赵王河新村 -牡丹园,3室2厅 | 120平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,54,"4,500元/平"
此房是满两年老证，户型较好，房主诚心出售,时代·华侨城一期 -和平南路,2室1厅 | 72平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,43,"5,973元/平"
奥林花园，小高层电梯房，三楼出行方便,奥林花园 -和平南路,3室2厅 | 138平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,150,"10,870元/平"
此房已满五年老证，可按揭贷款，诚心出售，好位置,保险公司家属院（道碑街） -步行街,3室2厅 | 100平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,60.8,"6,080元/平"
龙田府.邸简单装修老证可贷款。看房方便,龙田府邸 -牡丹园,3室2厅 | 125平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,67.8,"5,424元/平"
现代城3室2厅  简装 老证 南北通透  采光好,现代城 -区委,3室2厅 | 105平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,80,"7,620元/平"
龙田府.邸简单装修老证可贷款。看房方便,龙田府邸 -牡丹园,3室2厅 | 125平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,67.8,"5,424元/平"
现代城3室2厅  简装 老证 南北通透  采光好,现代城 -区委,3室2厅 | 105平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,80,"7,620元/平"
小三室，带独立车位和储藏室，带家具家电。,和平人家 -和平南路,3室2厅 | 56.27平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,39.9,"7,091元/平"
小区环境好，适宜居住，户型方正,中南世纪锦城 -牡丹园,3室2厅 | 126.81平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,4人关注 / 一年前发布,105,"8,281元/平"
急售万达旁，中山苑三室边户，车位储藏室另算，精装,融邦中山苑 -万达广场,3室2厅 | 131平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,4人关注 / 一年前发布,130,"9,924元/平"
华平小区 多层小区 公摊小 老证 诚心出售,华平小区 -万达广场,2室2厅 | 89平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,74,"8,315元/平"
鲁商凤凰城 精装修 观景房 老证带车位 储藏室,鲁商凤凰城 -牡丹园,4室2厅 | 183.48平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,1人关注 / 一年前发布,168,"9,157元/平"
中间户 户型方正 中间楼层 视野宽阔 通风好,太阳城 -北外环,3室2厅 | 100平米 | 南 | 简装 | 中楼层(共21层)  | 板塔结合,1人关注 / 10个月以前发布,68.5,"6,850元/平"
此房是满两年老证，户型较好，房主诚心出售,时代·华侨城一期 -和平南路,2室1厅 | 72平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,43,"5,973元/平"
赵王河旁，经典两居室，采光好。交通方便。,赵王河新村 -牡丹园,3室2厅 | 120平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,54,"4,500元/平"
中富奥斯卡春城的房子  简单装修 交通方便 配套齐全,中富奥斯卡春城 -区委,3室2厅 | 127.16平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,20人关注 / 一年前发布,68,"5,348元/平"
多层2楼 北面带院子 可做阳光房 老证可按揭  诚心出售,时代·华侨城一期 -和平南路,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,97.8,"8,891元/平"
中南世纪锦城 三居室 含车位储藏室 95万出售 老证,中南世纪锦城 -牡丹园,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,1人关注 / 一年前发布,90,"8,182元/平"
奥斯卡春城3室2厅 精装 ，2楼，双阳台，阳面大车库,中富奥斯卡春城 -区委,3室2厅 | 118平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,102,"8,645元/平"
龙田福di，精致三室，简装修，有证包过户,龙田府邸 -牡丹园,3室2厅 | 144.39平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,85,"5,887元/平"
融邦中山苑大两室  简装  房东诚心出售,融邦中山苑 -万达广场,2室2厅 | 98.7平米 | 南 | 简装 | 低楼层(共34层)  | 暂无数据,10人关注 / 一年前发布,68,"6,890元/平"
中南花城经典三室精装修便宜出售,中南花城 -大学城,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,9人关注 / 10个月以前发布,63,"6,117元/平"
万象城2室的房子，好楼层，采光充足,牡丹万象城东区 -西客站,2室2厅 | 101.71平米 | 东南 | 简装 | 高楼层(共25层)  | 板楼,1人关注 / 一年前发布,62,"6,096元/平"
牡丹公馆一楼带院，老证 带车位储藏室 天然氧吧,牡丹公馆 -牡丹园,2室2厅 | 142平米 | 东 | 简装 | 低楼层(共28层)  | 板楼,4人关注 / 一年前发布,95.1,"6,698元/平"
金河湾两居室  老证满五唯一 储藏室一间,中达金河湾 -二十一中,2室2厅 | 94平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,4人关注 / 11个月以前发布,80,"8,511元/平"
经典三室，全明户型，通透效果好。,金域澜湾 -牡丹园,3室2厅 | 126平米 | 北 南 | 简装 | 低楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,96,"7,620元/平"
重庆路现代城多层低公摊老证可贷款,现代城 -区委,2室2厅 | 85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,58,"6,824元/平"
中南世纪锦城，精致三室，中等装修，满二老证,中南世纪锦城 -牡丹园,3室2厅 | 103平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,8人关注 / 一年前发布,66.5,"6,457元/平"
区委高档小区奥斯卡春城，中等装修带储藏室诚心出售,中富奥斯卡春城 -区委,3室2厅 | 121平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,11人关注 / 一年前发布,76.5,"6,323元/平"
中南 世纪锦城   三室两厅一卫   看房方便,中南世纪锦城 -牡丹园,3室2厅 | 100.44平米 | 南 | 简装 | 低楼层(共31层)  | 板楼,1人关注 / 一年前发布,67.5,"6,721元/平"
天安万达广场 高楼层 全南向无遮挡 诚心出售包改名,天安万达广场 -万达广场,3室2厅 | 125平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,92.2,"7,376元/平"
华侨城多层2楼，诚心出售，老证可按揭,时代·华侨城一期 -和平南路,3室1厅 | 120平米 | 南 东 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,90,"7,500元/平"
此房源楼层好，格局佳，配套设施齐全,现代城 -区委,3室2厅 | 103.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,72,"6,960元/平"
中富奥斯卡春城正规两居室，装修简单大方,中富奥斯卡春城 -区委,2室2厅 | 110平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,66,"6,000元/平"
老证 可贷款 好楼层 精装 随时可以看房,新闻家园 -和平南路,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,75,"6,819元/平"
丰馨园经典三室  好楼层   老证,丰鑫园 -和平南路,3室1厅 | 106平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,87,"8,208元/平"
此房已满五年老证，可按揭贷款，诚心出售，好位置,保险公司家属院（道碑街） -步行街,3室2厅 | 100平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,60.8,"6,080元/平"
奥林花园，小高层电梯房，三楼出行方便,奥林花园 -和平南路,3室2厅 | 138平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,150,"10,870元/平"
华侨城一期，两居室，简装修，老证能贷款,时代·华侨城一期 -和平南路,2室1厅 | 62平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,46,"7,420元/平"
人民路与牡丹园旁，成熟社区，老证满二,牡丹公馆 -牡丹园,3室2厅 | 112平米 | 南 北 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 一年前发布,74.9,"6,688元/平"
看房方便，大三居采光好  有储藏室，停车方便,中富奥斯卡春城 -区委,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,84,"6,667元/平"
天香府17楼东边户精装修有车位储藏室有证可贷款,城投水发天香府 -区委,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,4人关注 / 一年前发布,113,"8,309元/平"
牡丹公馆一楼带院，老证 带车位储藏室 天然氧吧,牡丹公馆 -牡丹园,2室2厅 | 142平米 | 东 | 简装 | 低楼层(共28层)  | 板楼,4人关注 / 一年前发布,95.1,"6,698元/平"
金河湾两居室  老证满五唯一 储藏室一间,中达金河湾 -二十一中,2室2厅 | 94平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,4人关注 / 11个月以前发布,80,"8,511元/平"
"小区环境优美，交通便利,适合居住",颐馨苑(牡丹区) -和平南路,3室2厅 | 156平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,128,"8,206元/平"
中富奥斯卡春城正规两居室，装修简单大方,中富奥斯卡春城 -区委,2室2厅 | 110平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,66,"6,000元/平"
老证 可贷款 好楼层 精装 随时可以看房,新闻家园 -和平南路,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,75,"6,819元/平"
环境优美地理位置佳 房东诚心出售,时代·华侨城一期 -和平南路,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,95,"8,716元/平"
户型方正，采光好精装修，南北通透,龙燕·金润嘉园 -和平南路,4室2厅 | 150平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,188,"12,534元/平"
老证过户费低 配套完善  得房率高,时代·华侨城一期 -和平南路,3室1厅 | 92平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,72.5,"7,881元/平"
此房源楼层好，格局佳，配套设施齐全,现代城 -区委,3室2厅 | 103.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,72,"6,960元/平"
业主诚售 牡丹新城南区 精美三室 欢迎品鉴,牡丹新城南区 -牡丹园,3室2厅 | 141平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,76,"5,391元/平"
房子为菏泽 给你闹市一片心灵的净土，房子为新小区,成盛·新都汇 -步行街,3室2厅 | 114平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 10个月以前发布,79,"6,930元/平"
赵王河 鲁商凤凰城经典三居室毛坯房出售,鲁商凤凰城 -牡丹园,3室2厅 | 127平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,86,"6,772元/平"
城建华府，带车位储藏室，有证可以贷款,城建华府观澜小区 -牡丹园,3室2厅 | 152平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,1人关注 / 一年前发布,85,"5,593元/平"
赵王河畔精装三室小高层带车位储藏室拎包入住,金桂花园 -牡丹园,3室2厅 | 138.5平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,100,"7,221元/平"
怡欣花园，精致三室，大通双阳台，带车位储藏室，有证,怡欣花园 -牡丹园,3室2厅 | 147平米 | 南 北 | 简装 | 中楼层(共27层)  | 板楼,1人关注 / 一年前发布,84,"5,715元/平"
牡丹园旁 观景西边户好楼层带着车位储藏室 诚意出售,牡丹新城南区 -牡丹园,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,84,"5,875元/平"
赵王河旁，经典两居室，采光好。交通方便。,赵王河新村 -牡丹园,3室2厅 | 120平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,54,"4,500元/平"
公园一号，精致两室，满二老证，两室一厅朝阳户型,公园一号 -立交桥,2室2厅 | 94平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,68.5,"7,288元/平"
剑桥学府精装带储藏室   房东诚心出售,剑桥学府 -一佳,3室1厅 | 119.87平米 | 南 | 简装 | 低楼层(共30层)  | 板楼,1人关注 / 8个月以前发布,77,"6,424元/平"
环翠苑小区两室两厅多层三楼带储藏室出售,环翠苑小区 -市立医院,3室1厅 | 85平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,49.99,"5,882元/平"
多层楼房公摊少 房子采光好 交通便利,花城小区 -广州南路,3室1厅 | 86平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,39.9,"4,640元/平"
该房是三室，简装修，整体厨卫，全明户型，采光好,水榭花都 -三院,3室1厅 | 99平米 | 南 | 简装 | 中楼层(共29层)  | 平房,26人关注 / 一年前发布,51.2,"5,172元/平"
银座商城国贸中 心西区高层大三居欧式精装修南北通透,国贸中心B区 -银座,4室2厅 | 160.65平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,23人关注 / 一年前发布,102,"6,350元/平"
多层楼房公摊少 房子采光好 交通便利,花城小区 -广州南路,3室1厅 | 86平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,39.9,"4,640元/平"
该房是三室，简装修，整体厨卫，全明户型，采光好,水榭花都 -三院,3室1厅 | 99平米 | 南 | 简装 | 中楼层(共29层)  | 平房,26人关注 / 一年前发布,51.2,"5,172元/平"
诚售！新万达旁，顶层复式，附带露台，带车位储藏室！,陶然美地 -广州路,4室3厅 | 170平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,110,"6,471元/平"
银座商城国贸中 心西区高层大三居欧式精装修南北通透,国贸中心B区 -银座,4室2厅 | 160.65平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,23人关注 / 一年前发布,102,"6,350元/平"
国贸B区  老证 四室 诚心出售,国贸中心B区 -银座,4室2厅 | 161平米 | 南 北 | 简装 | 低楼层(共31层)  | 板楼,5人关注 / 一年前发布,109.7,"6,814元/平"
天华明珠，精致两室，简装修，中高层，看房方便,天华明珠 -岳程办事处,2室2厅 | 102平米 | 东 | 简装 | 高楼层(共28层)  | 板楼,0人关注 / 一年前发布,53,"5,197元/平"
火车站南邻 中华世纪城 精装 两居 有车位 老证可按揭,中华世纪城 -火车站,2室2厅 | 85平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 一年前发布,68,"8,000元/平"
昆明路区委旁精装两室一厅一楼  过户费低,天华四季花城 -西客站,2室2厅 | 72平米 | 南 | 简装 | 低楼层(共30层)  | 板楼,2人关注 / 一年前发布,45,"6,250元/平"
福临阅城名苑北区，3室2厅体育公园旁，精装修三居室,福临阅城名苑北区 -北外环,3室2厅 | 131平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,85,"6,489元/平"
国贸A区，三室两卫，户型好，下证过户，价格不高,国贸中心A区 -银座,3室2厅 | 148平米 | 北 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,78,"5,271元/平"
