标题,开发商,房子信息,发布信息,售价/万,单价
宝龙城江南墅边，交通便利。小区环境佳,瑞景名苑 -轮渡路,1室1厅 | 34平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 27天以前发布,75,"22,059元/平"
楼梯房，绿化好，环境好，小区大，适合老人小孩子游玩,鑫日苑 -温岭市,4室2厅 | 114平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,82.8,"7,264元/平"
大合山电梯房，大户型，一家三代,东辉大厦 -温岭市,4室2厅 | 217平米 | 东 | 精装 | 中楼层(共16层)  | 板塔结合,5人关注 / 一年前发布,285,"13,134元/平"
礁山湖畔，抱湖近海，聚风纳水，眺海洋房，临湖别墅,碧桂园翡翠湾 -温岭市,4室2厅 | 139平米 | 南 | 简装 | 中楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,119,"8,562元/平"
房东诚心出售，精装修，楼层佳。,佳园西区 -温岭市,4室2厅 | 155平米 | 南 | 精装 | 低楼层(共9层)  | 塔楼,1人关注 / 一年前发布,480,"30,968元/平"
楼层好，视野开阔，采光充足，配套齐全交通便利,翡翠花园 -温岭市,3室2厅 | 146.46平米 | 南 | 精装 | 高楼层(共19层)  | 板塔结合,2人关注 / 一年前发布,315,"21,508元/平"
楼层好 位置好 毛胚房 诚心出售,清水湾 -温岭市,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,151,"10,560元/平"
繁华闹市*大面积，生活配套成熟,东辉新村 -温岭市,4室2厅 | 156平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,285,"18,270元/平"
配套齐全，采光好，小区绿化面积高，交通方便,新湖双溪春晓 -温岭市,3室2厅 | 149平米 | 南 | 简装 | 中楼层(共25层)  | 暂无数据,2人关注 / 一年前发布,566,"37,987元/平"
开元三期华庭苑，高层景观房，视野开阔采光充足,华庭苑小区 -温岭市,3室2厅 | 159.46平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,2人关注 / 一年前发布,448,"28,095元/平"
尚书坊东 满二 三室 采光好 配套完善 生活便利,尚书坊东区 -温岭市,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,190,"15,200元/平"
新坦佳苑 4室2厅 南,新坦佳苑 -温岭市,4室2厅 | 150平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,103,"6,867元/平"
西溪山庄御景园 4室1厅 南,西溪山庄御景园 -温岭市,4室1厅 | 247平米 | 南 | 毛坯 | 高楼层(共21层)  | 板楼,1人关注 / 2个月以前发布,380,"15,385元/平"
大小区，环境好，视野开阔采光充足，双九龙,华庭苑小区 -温岭市,4室2厅 | 160平米 | 东南 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,1人关注 / 8个月以前发布,512,"32,000元/平"
南北通透格局，位于九龙商圈，设施完善,昌鑫佳园 -温岭市,3室2厅 | 160平米 | 南 北 | 其他 | 中楼层(共17层)  | 平房,4人关注 / 10个月以前发布,218,"13,625元/平"
此房已经满2年，大平层，看房方便。,润景花苑 -温岭市,4室2厅 | 172平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 塔楼,9人关注 / 一年前发布,295,"17,152元/平"
配套成熟，户型方正，阳光充足视野开阔，宜居住,星河园 -机场北路,6室3厅 | 262.58平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,6人关注 / 10个月以前发布,300,"11,426元/平"
半岛名苑二期 东边套 前后双阳台 城东综合体旁,半岛名苑二期 -温岭市,4室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共13层)  | 暂无数据,2人关注 / 一年前发布,300,"24,000元/平"
交通便捷 生活方便 在温岭繁华位置,星光大厦 -温岭市,3室2厅 | 148平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,3人关注 / 9个月以前发布,198,"13,379元/平"
轻轨站旁，房龄新，单价低交通便利,鑫泰公寓 -温岭市,4室2厅 | 152平米 | 南 | 其他 | 低楼层(共7层)  | 塔楼,10人关注 / 一年前发布,189,"12,435元/平"
老城区 购物广场边环境好 楼层好  配套好,温岭大厦 -温岭市,4室2厅 | 231.42平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,1人关注 / 11个月以前发布,255,"11,019元/平"
北门街小区 4室2厅 东南,北门街小区 -温岭市,4室2厅 | 145平米 | 东南 | 精装 | 高楼层(共7层)  | 塔楼,3人关注 / 9个月以前发布,158,"10,897元/平"
此房是复式楼，欧式装修风格，拎包入住。,渝汇蓝湾国际 -坎门,5室2厅 | 223平米 | 东南 | 简装 | 高楼层(共15层)  | 暂无数据,3人关注 / 7个月以前发布,255,"11,435元/平"
半岛名苑 户型好 三朝南 房屋空间大 小区环境好 宜居,半岛名苑 -温岭市,3室1厅 | 143平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,273,"19,091元/平"
湖鑫佳苑配套齐全，采光好，小区绿化面积高，交通方便,湖馨佳苑 -温岭市,3室2厅 | 140.62平米 | 东南 南 西南 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,187.7,"13,349元/平"
小区环境安静，采光充足，视野宽阔,新坦佳苑 -温岭市,4室2厅 | 150平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,8人关注 / 一年前发布,90,"6,000元/平"
本房为跃层看方便，业主诚心出售  包车位,铂晶国际花园 -东平路,5室1厅 | 319.52平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,1人关注 / 11个月以前发布,758,"23,724元/平"
文鼎苑好楼层，视野开阔，无遮挡内有幼儿园,文鼎苑 -东平路,4室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共12层)  | 板楼,14人关注 / 一年前发布,286,"22,000元/平"
希尔顿 青悦城 绿城物业 西商务区 台州CBD,玉兰广场·琼华园 -东平路,3室1厅 | 118平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,11人关注 / 一年前发布,500,"42,373元/平"
环境好，空气新鲜，格局方正有独立花园,西锦御园南区 -东平路,5室2厅 | 265平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 一年前发布,708,"26,717元/平"
西锦御园南区叠墅，有个40平大露台，环境好，适合居住,西锦御园南区 -东平路,4室2厅 | 239平米 | 南 | 毛坯 | 下叠(共3层)  | 板楼 | 叠拼别墅 ,6人关注 / 一年前发布,598,"25,021元/平"
中环世纪好楼层出售房东好说话，欢迎来看房,中环世纪 -东平路,3室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,1人关注 / 一年前发布,395,"27,623元/平"
江南首 府 空中别墅，精装包车位两只,江南首府 -东平路,6室2厅 | 320.01平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,6人关注 / 一年前发布,1250,"39,062元/平"
诚心出售，自住设计室精装修，可直接拎包入住,江都苑 -轮渡路,4室2厅 | 164.35平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,165,"10,040元/平"
华景名苑顶跃 200多万的装修 小区中间位置,华景名苑 -东平路,5室3厅 | 266平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,5人关注 / 一年前发布,950,"35,715元/平"
此房三朝南格局，中高楼层，视野好，绿城物业，安.,五联天翔翰澜苑 -东平路,4室2厅 | 139.5平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,308,"22,079元/平"
城市港湾B区 精装修 好楼层 视线无遮挡,城市港湾B区 -洪家,4室2厅 | 180平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,4人关注 / 一年前发布,248.2,"13,789元/平"
西锦御园满2年，精装修，看房提前预约,西锦御园南区 -东平路,5室2厅 | 265平米 | 南 | 精装 | 3层  | 板楼 | 联排别墅 ,2人关注 / 一年前发布,880,"33,208元/平"
五联天翔翰澜苑4室两厅仅售280万,五联天翔翰澜苑 -东平路,4室2厅 | 139平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,280,"20,144元/平"
太阳岛丽景名墅 独栋别墅  位置安静 看房方便,丽景名墅 -东平路,5室2厅 | 433.71平米 | 南 | 毛坯 | 2层  | 板塔结合 | 独栋别墅 ,0人关注 / 一年前发布,1500,"34,586元/平"
新明半岛排层西灿好位置*大花园，景观好，靠永宁河,新明半岛 -东平路,5室3厅 | 310平米 | 南 北 | 毛坯 | 3层  | 平房 | 联排别墅 ,4人关注 / 一年前发布,1500,"48,388元/平"
户型方正，楼层好视野宽阔，采光充足,碧桂园城市之光 -路南,4室1厅 | 127.5平米 | 东南 | 毛坯 | 低楼层(共14层)  | 暂无数据,3人关注 / 一年前发布,160,"12,550元/平"
东京湾环境优美，采光充足，设施齐全,东京湾 -东平路,3室2厅 | 211平米 | 南 | 简装 | 低楼层(共19层)  | 板塔结合,3人关注 / 一年前发布,335,"15,877元/平"
新湖滨江·玖珑春晓 4室2厅 南,新湖滨江·玖珑春晓 -温岭市,4室2厅 | 146.25平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,16人关注 / 10个月以前发布,387,"26,462元/平"
位置好，房东诚心卖，精装修，看房提前联系,东京湾 -东平路,5室2厅 | 250.1平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,8人关注 / 一年前发布,390,"15,594元/平"
碧海明珠11跃12跃13层 精装修，看方便方便  满五年,碧海明珠花园 -东平路,4室2厅 | 170平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,12人关注 / 一年前发布,272,"16,000元/平"
房子是四室两厅两卫两阳台，小区内两个幼儿园，邻近轻,锦园小区 -温岭市,5室2厅 | 190.5平米 | 东南 | 简装 | 低楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,410,"21,523元/平"
房子是四室两厅两卫两阳台，小区内两个幼儿园，邻近轻,锦园小区 -温岭市,5室2厅 | 190.5平米 | 东南 | 简装 | 低楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,410,"21,523元/平"
碧桂园翡翠湾144平方，精装修145万,碧桂园翡翠湾 -温岭市,4室1厅 | 144平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,145,"10,070元/平"
楼层好采光无影响中间楼层视野好,环湖时代广场 -东平路,4室2厅 | 185平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,4人关注 / 一年前发布,300,"16,217元/平"
此房南北通，配套齐全，采光好，小区绿化面积高,繁昌花苑 -温岭市,4室2厅 | 140平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,249.2,"17,800元/平"
荣安品质开发全装交付 九龙湖公园旁， 九龙繁华地段,荣安 东宸府 -温岭市,4室2厅 | 139平米 | 南 | 简装 | 高楼层(共23层)  | 暂无数据,0人关注 / 8个月以前发布,275,"19,785元/平"
水悦华庭 4室2厅 南,水悦华庭 -温岭市,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共20层)  | 暂无数据,1人关注 / 7个月以前发布,168,"11,749元/平"
城东九龙位置  高层 70年产权 出租装修,时代广场(温岭市) -温岭市,3室2厅 | 133.8平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,2人关注 / 8个月以前发布,170,"12,706元/平"
房东诚心出售，看房方便，小区生活方便,玉宏半岛花园 -路北,1室0厅 | 47.83平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 4个月以前发布,51,"10,663元/平"
小区设施齐全，环境好，采光充足,新明国际商场 -轮渡路,1室0厅 | 56.28平米 | 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,0人关注 / 3个月以前发布,85,"15,104元/平"
户型结构好，楼层好，视野宽阔，采光充足，,瑞景名苑 -轮渡路,1室1厅 | 42平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,3人关注 / 4个月以前发布,90.8,"21,620元/平"
杰特商务中心 价格美丽 房东诚意出售。,杰特商务中心 -温岭市,2室1厅 | 69平米 | 东南 | 毛坯 | 中楼层(共5层)  | 暂无数据,5人关注 / 9个月以前发布,35.8,"5,189元/平"
香樟源 4室2厅 东 南 北,香樟源 -螺洋,4室2厅 | 166平米 | 东 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,0人关注 / 16天以前发布,247,"14,880元/平"
丰泽茗苑 ，采光好，南北通风，自住装修，小区环境好,丰泽茗苑 -市府,3室2厅 | 146.5平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 13天以前发布,260,"17,748元/平"
台州▪香格里拉花园 2室1厅 南,台州▪香格里拉花园 -市府,2室1厅 | 92.14平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 11天以前发布,198,"21,490元/平"
南面双阳台，采光充足配套实施齐全,中盛·铂璟府 -路北,3室2厅 | 98.17平米 | 南 | 简装 | 中楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,175,"17,827元/平"
怡和雅苑 3室2厅 南,怡和雅苑 -桐屿,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 12天以前发布,135,"11,250元/平"
城市之光小区电梯房东灿自住装修满两年业主诚售,城市之光小区 -机场北路,3室2厅 | 161平米 | 南 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 10天以前发布,205,"12,733元/平"
乐湖雅苑 1室1厅 南,乐湖雅苑 -桐屿,1室1厅 | 60平米 | 南 | 简装 | 高楼层(共24层)  | 板塔结合,0人关注 / 7天以前发布,78,"13,000元/平"
三水润园2期 3室1厅 南,三水润园2期 -洪家,3室1厅 | 92平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 14天以前发布,218,"23,696元/平"
小区交通便利，顶楼，阁楼70平，车库24平，实用面积大,园丁苑 -路北,4室2厅 | 142平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 14天以前发布,135,"9,508元/平"
碧桂园海门公馆 4室2厅 南 北,碧桂园海门公馆 -机场北路,4室2厅 | 131平米 | 南 北 | 精装 | 低楼层(共15层)  | 暂无数据,0人关注 / 11天以前发布,200,"15,268元/平"
龙湖丽景小区 3室2厅 南 北,龙湖丽景小区 -桐屿,3室2厅 | 137.6平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 8天以前发布,139.8,"10,160元/平"
秀水铭苑二期|小户型，东灿好户型,秀水铭苑二期 -路南,2室2厅 | 87.38平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 1天以前发布,120,"13,734元/平"
天琴公寓 1室1厅 南,天琴公寓 -市府,1室1厅 | 63平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 14天以前发布,125,"19,842元/平"
洋房带车位带80平花园，房东诚心出售，方远品质小区,方远·天辰誉府 -机场北路,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,260,"20,313元/平"
小区好  中间楼栋  近山近水  绿色环境,蓝庭花园 -体育场,3室2厅 | 153平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,5人关注 / 一年前发布,340,"22,223元/平"
楼层采光很不错，边上商圈及环境很成熟，,鳯凰·鉑金廣場 -轮渡路,3室2厅 | 139.11平米 | 南 西 | 精装 | 中楼层(共20层)  | 板楼,2人关注 / 7个月以前发布,258,"18,547元/平"
名都·锦绣花园 3室2厅 南 北,名都·锦绣花园 -机场北路,3室2厅 | 124.45平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,175,"14,062元/平"
好楼层，精装修，诚心卖，看房方便,海湾浪琴花园 -市府,2室2厅 | 96.36平米 | 东 | 精装 | 中楼层(共9层)  | 板塔结合,1人关注 / 2个月以前发布,159.8,"16,584元/平"
新小区，采光好，物业好，房东诚心卖,理想花苑 -轮渡路,2室2厅 | 89.64平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,3人关注 / 11个月以前发布,193,"21,531元/平"
新小区，采光好，物业好，房东诚心卖,理想花苑 -轮渡路,2室2厅 | 93.33平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,4人关注 / 11个月以前发布,205,"21,966元/平"
理想花苑 南北通户型方正 包车位业主诚心出售,理想花苑 -轮渡路,3室2厅 | 117.54平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,4人关注 / 一年前发布,225,"19,143元/平"
房子户型方正，采光好，通风好，位置好,育才路167号 -轮渡路,3室2厅 | 113.74平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,130.5,"11,474元/平"
小区绿化多  入住率高  品质优,苏泊尔滨江壹号花园 -玉环新城,3室2厅 | 143平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,280,"19,581元/平"
繁华地段40年产权 业主诚心出售  精装修 拎包住,椒兰汇 -东平路,2室1厅 | 54.13平米 | 北 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,80,"14,780元/平"
"春天华庭望湖苑 朝南,西灿头 ,阳光充足无遮挡",春天华庭 -靖江,3室2厅 | 141.03平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,239,"16,947元/平"
自住精装修 房东诚心出售 看房方便 有钥匙,东方太阳城 -东平路,3室2厅 | 146平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 5个月以前发布,197,"13,494元/平"
此房满两年，精装修保养好，配套设施齐全，交通便利。,枫苑 -轮渡路,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,157,"13,306元/平"
碧桂园海门公馆 4室2厅 南,碧桂园海门公馆 -机场北路,4室2厅 | 131平米 | 南 | 其他 | 高楼层(共15层)  | 暂无数据,3人关注 / 一年前发布,220,"16,794元/平"
金地中城广场次新小区 东灿 户型方正智能锁看房方便,金地·中城广场 -机场北路,4室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 6个月以前发布,286,"22,000元/平"
学府水岸 高楼层 2年内 毛坯,学府水岸小区 -轮渡路,2室1厅 | 129平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 11个月以前发布,322.5,"25,000元/平"
学府水岸小区，楼层好，户型好，视野好，无遮挡,学府水岸小区 -轮渡路,3室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,317.8,"23,029元/平"
学府水岸127平毛坯，户型好，采光好,学府水岸小区 -轮渡路,3室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,318,"25,040元/平"
视野开阔无遮挡，户型方正，全明格局，通风好,学府水岸小区 -轮渡路,3室1厅 | 138.33平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,330,"23,856元/平"
金地中诚广场 麦德龙隔壁 创新区 好楼层采光好,金地·中城广场 -机场北路,3室2厅 | 108平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 7个月以前发布,216,"20,000元/平"
采光充足，楼层好，视野开阔，户型方正，配置成熟。,学府水岸小区 -轮渡路,3室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,350,"25,363元/平"
香榭水岸方远开发 绿城物业 灿头房东诚心出售,香榭水岸 -机场北路,3室2厅 | 139.19平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,238,"17,099元/平"
香榭水岸方远品质 绿城物业 户型方正 看房方便,香榭水岸 -机场北路,3室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,285,"20,358元/平"
金地·中城广场 3室1厅 南 北,金地·中城广场 -机场北路,3室1厅 | 115平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,240,"20,870元/平"
文鼎苑三房毛坯随心装修诚心出售,文鼎苑 -东平路,3室2厅 | 108.62平米 | 南 | 毛坯 | 中楼层(共12层)  | 板楼,14人关注 / 一年前发布,235,"21,636元/平"
内环入口，交通便利，户型方正，楼层好，采光好,得力•金悦花园 -路北,4室2厅 | 171平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,367,"21,462元/平"
新小区  居住舒适 包车位 只付契税 业主诚心出售,鑫鼎花园 -机场北路,3室1厅 | 128.8平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,1人关注 / 一年前发布,271,"21,041元/平"
学府水岸115平方，近华师，采光户型好。,学府水岸小区 -轮渡路,3室1厅 | 115平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,298,"25,914元/平"
房东诚心出售望峰苑188平。。。。,绿城宁江明月望峰苑 -黄岩区,4室2厅 | 189平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 一年前发布,386,"20,424元/平"
环湖时代广场空置精装好房诚心出售,环湖时代广场 -东平路,4室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共15层)  | 暂无数据,4人关注 / 5个月以前发布,215,"15,035元/平"
学府水岸127平毛坯，楼层好，采光视野好。,学府水岸小区 -轮渡路,3室2厅 | 127.7平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,325,"25,451元/平"
青春华庭四室两厅两卫 毛坯房 楼层佳 采光好,青春华庭 -机场北路,4室2厅 | 145.69平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,258,"17,709元/平"
此房户型通透格局，双阳台，楼层好，采光好，视野好,绿城宁江明月望峰苑 -黄岩区,3室2厅 | 147平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,1人关注 / 5个月以前发布,230,"15,647元/平"
铂悦府新房，电梯房，大平方户型，有车位,中梁·铂悦府 -大洋,4室2厅 | 142平米 | 南 | 简装 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,338,"23,803元/平"
城市之光高层东灿，视野开阔采光好，配套成熟。,城市之光小区 -机场北路,3室2厅 | 160平米 | 南 | 其他 | 高楼层(共22层)  | 板塔结合,0人关注 / 一年前发布,236,"14,750元/平"
房东诚心出售 随时预约可看包车位,学府水岸小区 -轮渡路,3室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,338,"24,672元/平"
次新小区 海景名苑 毛坯  南北通 小区环境好,海景名苑 -机场北路,3室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,222,"15,525元/平"
金地中城广场户型方正 小区品质好 看房方便,金地·中城广场 -机场北路,3室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,310,"23,847元/平"
户型方正，全明格局，视野好，无遮挡,悦城水岸 -轮渡路,3室2厅 | 130平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,340,"26,154元/平"
岩屿路  三室两厅户型 带装修 看房方便,椒江区岩屿路28号 -轮渡路,4室2厅 | 157.47平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,178,"11,304元/平"
房东诚心出售，买房包车位，次顶楼,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,360,"27,481元/平"
精装  三朝南  采光视野无遮挡,悦城水岸 -轮渡路,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,330.4,"28,731元/平"
椒江 精装修 电梯房 位置好 交通方便,椒江商务中心 -轮渡路,4室2厅 | 141平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,238,"16,880元/平"
悦城水岸132平简装，中层，小区绿化好，生活方便,悦城水岸 -轮渡路,4室1厅 | 132平米 | 南 | 简装 | 中楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,316.8,"24,000元/平"
户型方正，全明格局，无遮挡，四室,悦城水岸 -轮渡路,4室2厅 | 143平米 | 南 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 6个月以前发布,368,"25,735元/平"
29楼三朝南  包车位  随时看房,悦城水岸 -轮渡路,3室2厅 | 115平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,288.8,"25,114元/平"
户型方正，全明格局，视野好，无遮挡,悦城水岸 -轮渡路,4室2厅 | 143平米 | 南 | 简装 | 低楼层(共28层)  | 平房,0人关注 / 一年前发布,400,"27,973元/平"
28层 三朝南 精装  价格可小刀,悦城水岸 -轮渡路,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,24人关注 / 一年前发布,289.8,"24,560元/平"
滨江悦114平精装，楼层位置好，采光无遮挡。,悦城水岸 -轮渡路,3室2厅 | 114.12平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,2人关注 / 一年前发布,299,"26,201元/平"
视野宽阔，采光好，户型方正，配套设施齐全,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 简装 | 中楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,312,"23,817元/平"
靠河西灿  精装  采光视野无遮挡,悦城水岸 -轮渡路,4室2厅 | 143平米 | 南 | 精装 | 高楼层(共28层)  | 平房,0人关注 / 一年前发布,400,"27,973元/平"
新交付小区，户型方正，刚需改善房南北通海景房,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 简装 | 中楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,360,"27,481元/平"
奢华大平层，悦城水岸.碧桂园滨江悦，靠河视野好,悦城水岸 -轮渡路,5室2厅 | 225平米 | 南 北 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 9个月以前发布,626,"27,823元/平"
悦城水岸128平简装，好楼层，采光无影响,悦城水岸 -轮渡路,3室2厅 | 128平米 | 南 | 简装 | 低楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,313.6,"24,500元/平"
悦城水岸118平，好楼层，视野好，采光好,悦城水岸 -轮渡路,3室2厅 | 118平米 | 南 | 简装 | 中楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,289,"24,492元/平"
好楼层  东灿   房东诚心出售,香樟源 -螺洋,5室2厅 | 208平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,253,"12,164元/平"
滨江悦118平，好位置好楼层，小区品质高,悦城水岸 -轮渡路,3室2厅 | 118平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,318.8,"27,017元/平"
户型方正，全明格局，带阳台，无遮挡，,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 简装 | 低楼层(共33层)  | 暂无数据,0人关注 / 10个月以前发布,358,"27,329元/平"
距华师大几百米，靠客运站，黄海公路，台州大道，出行,悦城水岸 -轮渡路,3室2厅 | 129平米 | 南 | 简装 | 低楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,308,"23,876元/平"
前排无遮挡  简装  三朝南   看房方便,悦城水岸 -轮渡路,3室2厅 | 118平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,288,"24,407元/平"
视野宽阔，采光好，户型方正，配套设施齐全,悦城水岸 -轮渡路,3室2厅 | 129平米 | 南 | 简装 | 高楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,325,"25,194元/平"
