标题,开发商,房子信息,发布信息,售价/万,单价
金属材料公司家属院，精装好房，配套齐全,金属材料公司家属院 -驿城区,3室2厅 | 125.02平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,46,"3,680元/平"
天地惠城 有证可按揭，双气市政供暖，户型方正。,天地惠城东区 -驿城区,3室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,69,"5,037元/平"
新天地未来城 1室1厅 南 西,新天地未来城 -驿城区,1室1厅 | 45平米 | 南 西 | 其他 | 24层  | 塔楼,0人关注 / 12天以前发布,30,"6,667元/平"
西区精装好房，精装未入住，采光好，,民生美庐印象 -驿城区,3室2厅 | 97平米 | 南 | 精装 | 24层  | 板楼,1人关注 / 1个月以前发布,62,"6,392元/平"
龙湾世家 精装修 视野采光好 西园,龙湾世家 -驿城区,2室2厅 | 97.22平米 | 南 | 精装 | 26层  | 板楼,0人关注 / 2个月以前发布,66,"6,789元/平"
天地惠城，有证可按揭，看房方便，,天地惠城西区 -驿城区,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,70,"5,186元/平"
电梯洋房 上下俩层复式  小区内环境优美 停车方便,银丰清水园 -驿城区,5室2厅 | 179.8平米 | 南 北 | 毛坯 | 7层  | 塔楼,0人关注 / 1个月以前发布,109,"6,063元/平"
带车位一个，全天采光，前后无遮挡。,碧桂园清月湾 -驿城区,5室2厅 | 254平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 7天以前发布,280,"11,024元/平"
海云太阳城，精装三房，户型方正，带院,海云太阳城 -驿城区,3室2厅 | 118.04平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,95,"8,049元/平"
莱茵湖.复式带露台.户型通透.采光充足.老证可按揭,民生 · 天都星城南区 -驿城区,5室2厅 | 119.56平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 28天以前发布,76,"6,357元/平"
带40万，精装修带车位，拎包入住。,碧桂园清月湾 -驿城区,5室2厅 | 260平米 | 南 北 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 14天以前发布,298,"11,462元/平"
天都星城莱茵湖  精装修 停车方便 老证可按揭,民生 · 天都星城南区 -驿城区,4室2厅 | 147.66平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,127,"8,601元/平"
莱茵湖 顶层复式 带地暖 双气社区  带私家花园和阁楼,民生 · 天都星城南区 -驿城区,5室2厅 | 103.27平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,78,"7,554元/平"
南北通厅通透双卧朝南，采光充足一楼带活院。业主急售,粮食储备库家属院 -驿城区,3室2厅 | 138.59平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,2人关注 / 10个月以前发布,59,"4,258元/平"
中南阳光城简装顶楼复式带平带老证看房方便,中南阳光城 -驿城区,6室2厅 | 220.9平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,90,"4,075元/平"
时代金源广场 5室3厅 南,时代金源广场 -驿城区,5室3厅 | 168.16平米 | 南 | 精装 | 17层  | 板楼,0人关注 / 1个月以前发布,116,"6,899元/平"
简装两室，两卧朝南，小区物业费低，停车免费，采光好,燃料公司家属院 -驿城区,2室1厅 | 70平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,36.6,"5,229元/平"
惠邦联盟新城 3室2厅 东,惠邦联盟新城 -驿城区,3室2厅 | 134.18平米 | 东 | 毛坯 | 33层  | 塔楼,0人关注 / 11天以前发布,95,"7,081元/平"
置地广场二期.户型方正.两卧朝阳.楼层好.采光充足,置地广场北苑二期 -驿城区,4室2厅 | 166.85平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,95,"5,694元/平"
全天采光，户型方正 ，出行方便，体育场旁边,明珠港湾 -驿城区,2室1厅 | 90平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 13天以前发布,66,"7,334元/平"
区政府旁，高铁商务圈精装三房，户型方正,民生天都星城北区 -驿城区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 12天以前发布,79,"6,584元/平"
天中上境I期 3室2厅 南,天中上境I期 -驿城区,3室2厅 | 123.2平米 | 南 | 精装 | 34层  | 塔楼,0人关注 / 9天以前发布,92,"7,468元/平"
爱克首 府A区  精装修带家具家电 电梯洋房 楼层好,CBD爱克·首府 -驿城区,3室2厅 | 139平米 | 南 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 7天以前发布,120,"8,634元/平"
西湖城市花园 3室2厅 南,西湖城市花园 -驿城区,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,71,"5,635元/平"
西班牙二期，3室，精装修朝南，4个阳台，老证可按揭,西班牙小镇二期 -驿城区,3室2厅 | 124平米 | 南 | 精装 | 33层  | 塔楼,0人关注 / 6天以前发布,86.8,"7,000元/平"
同信江屿洲3-2-1-1 116.99m²,同信江屿洲 -驿城区,3室2厅 | 116.99平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 3天以前发布,74,"6,326元/平"
锦绣公馆精装三房，户型方正，老证可按揭,锦绣公馆 -驿城区,3室2厅 | 133.05平米 | 南 | 精装 | 23层  | 板楼,0人关注 / 2个月以前发布,86,"6,464元/平"
房子全新装修没住过 房东急售 价位可谈 有证可按..,佳美桂园 -驿城区,3室2厅 | 105.75平米 | 南 北 | 简装 | 26层  | 板塔结合,0人关注 / 19天以前发布,55,"5,201元/平"
此房户型设计合理，一楼带院子，通风采光好停车方便,飞龙小区西区 -驿城区,2室1厅 | 68.66平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,63.8,"9,293元/平"
天中第五大道 精装三室 两卧朝阳 双气 老证,天中第五大道 -驿城区,3室2厅 | 131.38平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 30天以前发布,96,"7,308元/平"
同信缤纷之窗，精装新，大三房，高铁商圈，交通便利,同信缤纷之窗 -驿城区,3室2厅 | 140.08平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 19天以前发布,110,"7,853元/平"
飞龙东区 三室精装老证 南北通厅通透 采光好,飞龙小区东区 -驿城区,3室2厅 | 142.29平米 | 南 | 简装 | 5层  | 塔楼,0人关注 / 16天以前发布,56,"3,936元/平"
天地惠城，环境优美，出行方便，购物便利，,天地惠城西区 -驿城区,4室1厅 | 160.95平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 17天以前发布,90,"5,592元/平"
品质小区，物业服务好，出行方便，离地高一路之隔,蓝天壹品 -驿城区,3室2厅 | 123.22平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 15天以前发布,99,"8,035元/平"
房子精装修全天采光户型设计合理房子位置好配套齐全,置地·天中第一城 -驿城区,3室2厅 | 133.75平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,130,"9,720元/平"
驻马店建业森林半岛 2室2厅 南,驻马店建业森林半岛 -驿城区,2室2厅 | 96.01平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,62,"6,458元/平"
此房户型方正，布局合理， 楼层好，采光充足,昊华骏化集团家属院 -驿城区,2室1厅 | 46.4平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 15天以前发布,11.8,"2,544元/平"
天中豪园 3室2厅 东,天中豪园 -驿城区,3室2厅 | 119.86平米 | 东 | 精装 | 26层  | 板塔结合,0人关注 / 21天以前发布,88,"7,342元/平"
三楼带阳光房带平台，干净整洁精装修拎包入住，凤凰城,东申凤凰城 -驿城区,3室2厅 | 141.52平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 22天以前发布,168,"11,872元/平"
小区到处是鸟语花香，绿树成荫，房子装修温馨舒适,中央城邦 -驿城区,3室2厅 | 106.59平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 22天以前发布,75,"7,037元/平"
中亿宝第4室2厅2卫精装修 未入住 全屋品牌拎包入住,中亿宝第 -驿城区,4室2厅 | 148.98平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 24天以前发布,107.6,"7,223元/平"
天腾盛世 3室2厅 南 北,天腾盛世 -驿城区,3室2厅 | 119.96平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 20天以前发布,80,"6,669元/平"
高铁新城，三房，老证，家具家电齐全,高铁新城 -驿城区,3室1厅 | 91.38平米 | 西南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 22天以前发布,70,"7,661元/平"
房东诚心出售，老市委双气中间楼层，老证过户费低,老市委家属院 -驿城区,3室2厅 | 118.44平米 | 南 | 简装 | 中楼层(共4层)  | 平房,0人关注 / 23天以前发布,78,"6,586元/平"
一高分校旁沙北路司法局家属院，通透通厅，全天采光,司法局家属院 -驿城区,3室2厅 | 77.67平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 22天以前发布,41.5,"5,344元/平"
置地大道 精装三室 采光好 老证 可以按揭,天都名园 -驿城区,3室2厅 | 112.97平米 | 东南 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 16天以前发布,69.8,"6,179元/平"
此房户型方正，视野开阔，光线充足，拎包即住,天中豪园 -驿城区,3室2厅 | 133.26平米 | 南 | 精装 | 26层  | 板楼,0人关注 / 14天以前发布,120,"9,005元/平"
通达小区 电梯房 通透户型  居住舒适。,通达小区 -驿城区,3室2厅 | 143.57平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 16天以前发布,145,"10,100元/平"
文明路金雀路旁步梯6楼 老证带平台,顯逹花园 -驿城区,3室2厅 | 136.73平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,73,"5,339元/平"
民生天都星城北区 美庐园 三室两厅 一厨一卫 精装修,民生天都星城北区 -驿城区,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 11天以前发布,66,"7,416元/平"
物源广汇大厦 3室2厅 南,物源广汇大厦 -驿城区,3室2厅 | 106.55平米 | 南 | 精装 | 高楼层(共26层)  | 平房,0人关注 / 12天以前发布,96,"9,010元/平"
文明路雪松路置地二期步梯三楼，老证，房东诚心出售,置地广场北苑二期 -驿城区,3室2厅 | 130.15平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 13天以前发布,79,"6,070元/平"
学府围绕，繁华地段设施全，电梯洋房顶层复式户型好,美域美家 -驿城区,5室3厅 | 157.23平米 | 南 | 精装 | 高楼层(共9层)  | 塔楼,0人关注 / 2个月以前发布,180,"11,449元/平"
民生天都星城莱茵湖  电梯两层,民生 · 天都星城南区 -驿城区,3室2厅 | 89.74平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,88,"9,807元/平"
雪松路大型社区 中央城邦 精装大四房 双气 交通便利，,中央城邦 -驿城区,4室2厅 | 162.89平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,108,"6,631元/平"
确山县金地城市花园三室二厅一厨一卫带大平台花园,金地城市花园 -确山县,3室2厅 | 164.05平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,3人关注 / 6个月以前发布,75,"4,572元/平"
茵悦世家4-2-1-2 93.09m²,茵悦世家 -驿城区,4室2厅 | 93.09平米 | 南 北 | 精装 | 11层  | 板楼,0人关注 / 5个月以前发布,75,"8,057元/平"
位临西园，老证，住宅性质，好楼层,克拉公寓 -驿城区,1室1厅 | 37.42平米 | 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,24.6,"6,575元/平"
丹尼斯楼上，精装一室，客卧分离，居住舒服，老证。。,翡翠国际 -驿城区,1室1厅 | 41.66平米 | 北 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 12天以前发布,35,"8,402元/平"
民生天都星城，顶层复式买一层带一层，带大平台,民生 · 天都星城南区 -驿城区,4室2厅 | 86.65平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,6人关注 / 6个月以前发布,68,"7,848元/平"
采光充足，格局方正，公摊小，万博林地海湾,万博林地海湾 -驿城区,4室2厅 | 157平米 | 南 | 毛坯 | 32层  | 板楼,0人关注 / 8天以前发布,83,"5,287元/平"
昌建誉峰 3室1厅 南,昌建誉峰 -驿城区,3室1厅 | 88.23平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 1天以前发布,68.8,"7,798元/平"
美庐印象小区环境优美采光刺眼..,民生美庐印象 -驿城区,3室2厅 | 96.09平米 | 南 | 简装 | 24层  | 板楼,0人关注 / 2天以前发布,65,"6,765元/平"
位置佳 配套齐全 户型方正合理，分布合理，楼层佳,燃料公司家属院 -驿城区,3室2厅 | 122.96平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 6天以前发布,49.8,"4,051元/平"
双卧朝阳尽情享受光的温度与风的轻柔，金属回收家属院,金属回收公司家属院 -驿城区,3室2厅 | 116平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,42,"3,621元/平"
高铁芯，交通便利，精装一室一厅，家电齐全，看房方便,东方今典华尔兹公馆 -驿城区,1室0厅 | 39.43平米 | 北 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 6天以前发布,22,"5,580元/平"
御龙居 2室2厅 南,御龙居 -驿城区,2室2厅 | 90.24平米 | 南 | 精装 | 中楼层(共19层)  | 板塔结合,0人关注 / 11天以前发布,62,"6,871元/平"
碧桂园东江月 湖景大平层次顶层东户 带车位 老证,碧桂园清月湾 -驿城区,5室2厅 | 269.4平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,500,"18,560元/平"
驻马店恒大名都3-2-1-1 112.00m²,驻马店恒大名都 -驿城区,3室2厅 | 111.58平米 | 西南 | 简装 | 33层  | 板楼,1人关注 / 4个月以前发布,86,"7,708元/平"
儿童公园旁 建工小区 三室两厅 南北 老证可按揭,建工小区 -驿城区,4室2厅 | 139.8平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,51.8,"3,706元/平"
此房楼层好 全天采光 隔壁实小 看房方便 有证,富華名门小区 -驿城区,3室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 7天以前发布,77,"5,461元/平"
此房楼层好 全天采光 隔壁实小 看房方便 有证,富華名门小区 -驿城区,3室2厅 | 131平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 7天以前发布,70,"5,344元/平"
森林公园dui面.一楼复式带院.看房方便.房东诚心出售,银丰森林湖 -驿城区,4室2厅 | 226平米 | 南 | 毛坯 | 低楼层(共7层)  | 塔楼,2人关注 / 一年前发布,180,"7,965元/平"
中泓上林居 电梯洋房 楼层好 采光刺眼,中泓上林居 -驿城区,3室2厅 | 125平米 | 南 北 | 毛坯 | 6层  | 板塔结合,0人关注 / 8天以前发布,87,"6,960元/平"
国电驻马店热电有限公司家属院 2室1厅 西南,国电驻马店热电有限公司家属院 -驿城区,2室1厅 | 64.5平米 | 西南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 8天以前发布,24,"3,721元/平"
蓝天卢浮九号边户大三房 老证 户型方正 采光充足,蓝天玖号院 -驿城区,3室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共9层)  | 塔楼,0人关注 / 8天以前发布,145,"10,741元/平"
美庐园精装三室两厅两卫 边户 可按揭,民生天都星城北区 -驿城区,3室2厅 | 125平米 | 西南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 17天以前发布,83,"6,640元/平"
明珠港湾，三室两厅两卫，随时可以看房，可以按揭,明珠港湾 -驿城区,3室2厅 | 133.11平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 7天以前发布,95,"7,137元/平"
天中茗苑 步梯二楼 户型方正 采光充足 老证,天中茗苑 -驿城区,3室2厅 | 133.94平米 | 南 北 | 毛坯 | 6层  | 板楼,0人关注 / 5天以前发布,60,"4,480元/平"
品质小区一梯两户 电梯洋房3室2厅2卫老证,名门蓝钻小区 -驿城区,3室2厅 | 130平米 | 南 | 简装 | 6层  | 板塔结合,0人关注 / 16天以前发布,93,"7,154元/平"
天中豪园 精装修 全屋品牌家具家电 有钥匙随时看,天中豪园 -驿城区,4室2厅 | 143.17平米 | 南 | 精装 | 26层  | 板楼,0人关注 / 15天以前发布,118,"8,242元/平"
民生美庐印象127平一楼毛坯三室两厅,民生美庐印象 -驿城区,3室1厅 | 127平米 | 南 | 毛坯 | 26层  | 板楼,0人关注 / 5天以前发布,130,"10,237元/平"
南北通透格局好，楼层佳，视野宽阔，配套设施齐全，,金尚•帝景蓝湾 -驿城区,3室1厅 | 105平米 | 南 北 | 毛坯 | 23层  | 板楼,0人关注 / 7天以前发布,59,"5,620元/平"
富華名门小区 3室1厅 南,富華名门小区 -驿城区,3室1厅 | 121平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 6天以前发布,73,"6,034元/平"
建业春天里 户型方正 精装 三面朝阳 全屋品牌家具家电,建业春天里 -驿城区,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 15天以前发布,86,"7,414元/平"
蓝天尚品 4室2厅 南,蓝天尚品 -驿城区,4室2厅 | 186平米 | 南 | 精装 | 低楼层(共9层)  | 塔楼,0人关注 / 5个月以前发布,350,"18,818元/平"
欣悦苑 3室2厅 南,欣悦苑 -驿城区,3室2厅 | 154.08平米 | 南 | 毛坯 | 30层  | 板楼,0人关注 / 9天以前发布,123.8,"8,035元/平"
置地广场北苑二期 2室2厅 南,置地广场北苑二期 -驿城区,2室2厅 | 97.21平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3天以前发布,45,"4,630元/平"
鹏宇天下城 冷暖空调 小3室精装 65万老证,鹏宇天下城 -驿城区,3室1厅 | 95平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 11天以前发布,65,"6,843元/平"
卢浮九号精装三房，出行方便，配套设施齐全，生活方便,蓝天玖号院 -驿城区,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 15天以前发布,80,"7,548元/平"
恒大名都带家具家电有证可按揭双气带地暖看房有钥匙,驻马店恒大名都 -驿城区,3室2厅 | 145平米 | 南 北 | 精装 | 30层  | 板楼,0人关注 / 10天以前发布,123.8,"8,538元/平"
交通便利户型方正，老证过户费底，带大阳台，看房方便,新世达小区 -驿城区,3室2厅 | 150平米 | 南 | 精装 | 5层  | 板楼,0人关注 / 11天以前发布,105,"7,000元/平"
天地惠城位于慎阳路与乐山路交叉口,天地惠城东区 -驿城区,3室2厅 | 136.15平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 8天以前发布,77,"5,656元/平"
同信江屿洲3-2-1-1 98.00m²,同信江屿洲 -驿城区,3室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 10天以前发布,53,"5,409元/平"
建业城 电梯小高层 双气 有证 采光刺眼,建业城 -驿城区,3室2厅 | 127.56平米 | 东南 南 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 4天以前发布,103,"8,075元/平"
电梯小高层洋房，环境优美。采光好。,置地华庭 -驿城区,3室2厅 | 128.95平米 | 南 | 简装 | 低楼层(共12层)  | 板塔结合,0人关注 / 10天以前发布,80,"6,204元/平"
建业十八城，２室２厅，精装修，带大平台,建业十八城 -驿城区,2室2厅 | 105平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 14天以前发布,80.8,"7,696元/平"
平安街 乐山商场家属院，真实在售，看房方便,乐山商场家属院 -驿城区,3室2厅 | 135平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 一年前发布,49.7,"3,682元/平"
格局好，带大窗户，视野开阔，配套设施齐全,骏马路家属院 -驿城区,3室2厅 | 126.94平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,80,"6,303元/平"
西班牙小镇2期4楼143平三室两厅两卫老证可按揭,西班牙小镇二期 -驿城区,3室2厅 | 143.65平米 | 南 | 毛坯 | 9层  | 塔楼,0人关注 / 4个月以前发布,126,"8,772元/平"
锦绣公馆，精装修三房，诚心出售,锦绣公馆 -驿城区,3室2厅 | 130.08平米 | 南 西 北 | 精装 | 23层  | 板楼,3人关注 / 一年前发布,79.8,"6,135元/平"
龙源新城满五唯一户设计合理采光好,龙源新城 -驿城区,4室2厅 | 235.2平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,168,"7,143元/平"
入住两年多，拎包入住，带车位和配房，爱克,CBD爱克首府B区 -驿城区,4室2厅 | 137.49平米 | 南 北 | 精装 | 低楼层(共26层)  | 平房,2人关注 / 5个月以前发布,130,"9,456元/平"
北港楼 问天阁 步梯房 3室 简单装修,问天阁小区 -驿城区,3室2厅 | 101.68平米 | 东 | 简装 | 6层  | 板楼,0人关注 / 1个月以前发布,42,"4,131元/平"
莱茵湖 顶层复式带私家花园 精装修 双气 步梯 老证,民生 · 天都星城南区 -驿城区,5室3厅 | 106.67平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,82,"7,688元/平"
兴城名都4-2-1-2 155.00m² 128 万,兴城名都 -驿城区,4室2厅 | 156.52平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,2人关注 / 一年前发布,118,"7,539元/平"
福华御苑，简装大三房，通厅户型，随时看房,福華御苑A区 -驿城区,3室2厅 | 143.97平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,6人关注 / 一年前发布,77,"5,349元/平"
新四中  二  小双气小区 就近少年宫和湿地公园,开源小区 -驿城区,3室2厅 | 126.33平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,63,"4,987元/平"
中华路东段，一楼带前后院，房东诚信卖房,交通技校家属院 -驿城区,2室1厅 | 75.79平米 | 南 | 简装 | 6层  | 板楼,0人关注 / 2个月以前发布,42,"5,542元/平"
土产公司家属院，3楼，大阳台，精装老证带配房可按揭,土产公司家属院 -驿城区,2室1厅 | 82.66平米 | 南 | 精装 | 6层  | 板楼,0人关注 / 4个月以前发布,42,"5,082元/平"
凤凰城位于市政旁边，交通便地，户型方正，配套齐全！,东申凤凰城 -驿城区,3室2厅 | 140.03平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,130,"9,284元/平"
兴城名都，电梯两房精装修，老证,兴城名都 -驿城区,2室2厅 | 101.44平米 | 南 | 简装 | 高楼层(共23层)  | 板塔结合,0人关注 / 4个月以前发布,66.5,"6,556元/平"
此房老证，，格局好，楼层好，采光无遮挡，配套齐全.,西园房管所家属院 -驿城区,2室1厅 | 60平米 | 南 | 简装 | 4层  | 板楼,1人关注 / 3个月以前发布,18.5,"3,084元/平"
文化路上，老证，精装修。电梯房,民生天都星城北区 -驿城区,3室2厅 | 91.69平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,69.8,"7,613元/平"
飞龙小区，温馨三房，通透户型，老证,飞龙小区东区 -驿城区,3室2厅 | 105.97平米 | 南 | 简装 | 6层  | 塔楼,9人关注 / 一年前发布,41.8,"3,945元/平"
一楼带院 带配房 出行方便 房东诚心出售,供销社家属院 -驿城区,3室1厅 | 77.37平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,62,"8,014元/平"
金色置地广场一期 步梯4室精装带大配房 老证,置地广场南苑一期 -驿城区,4室2厅 | 162.95平米 | 西 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,89.8,"5,511元/平"
驿安小区 6室2厅 南,驿安小区 -驿城区,6室2厅 | 272.54平米 | 南 | 毛坯 | 中楼层(共4层)  | 板塔结合,18人关注 / 一年前发布,105,"3,853元/平"
党校家属院 2室1厅 南,党校家属院 -驿城区,2室1厅 | 79.09平米 | 南 | 简装 | 6层  | 板楼,1人关注 / 3个月以前发布,48,"6,070元/平"
房屋南北通透，双气，采光充足，全屋定制，地暖已铺,中央城邦 -驿城区,3室2厅 | 117.14平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,72,"6,147元/平"
天中上境I期 3室2厅 南,天中上境I期 -驿城区,3室2厅 | 159.67平米 | 南 | 精装 | 34层  | 塔楼,0人关注 / 1个月以前发布,119,"7,453元/平"
春晓街乐山路驿珠小区步梯一楼采光好,驿珠小区 -驿城区,3室2厅 | 120.41平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,67,"5,565元/平"
市区 好房推荐上学方便是你不错的选择,老市委家属院 -驿城区,3室2厅 | 101.72平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,1人关注 / 3个月以前发布,67.6,"6,646元/平"
置地开来花园 3室2厅2卫 新装修未入住 双气 地暖,置地开来花园 -驿城区,3室2厅 | 143.19平米 | 南 | 精装 | 26层  | 塔楼,0人关注 / 1个月以前发布,110,"7,683元/平"
此房满五年，楼层佳，全天采光 格局方正，舒适温馨,机械厂家属院 -驿城区,3室1厅 | 110.62平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,1人关注 / 5个月以前发布,38,"3,436元/平"
西药厂家属院  可以拎包入住  全天采光无遮挡,药厂家属院南院 -驿城区,2室2厅 | 71.41平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,29,"4,062元/平"
精装4房 全明户型 好楼层 急售,银成公馆 -驿城区,4室2厅 | 144.83平米 | 东 南 | 精装 | 25层  | 塔楼,8人关注 / 一年前发布,89,"6,146元/平"
同信缤纷之窗精装好房环境优美，好房必选,同信缤纷之窗 -驿城区,3室2厅 | 121.09平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,89.8,"7,416元/平"
同信缤纷之窗，精装婚房，全屋硅藻泥，带家具家电,同信缤纷之窗 -驿城区,3室2厅 | 121.09平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,91.8,"7,582元/平"
伟恒枫叶城精装三房，房子特干净，老证。,伟恒·枫叶城 -驿城区,3室2厅 | 105.9平米 | 北 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 3个月以前发布,69,"6,516元/平"
民生莱茵湖双气社区，包好8个平方的储藏室业主急售,民生 · 天都星城南区 -驿城区,3室2厅 | 113.19平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,74,"6,538元/平"
置地东苑  南北通透带露台 ，看房方便,置地·天中第一城 -驿城区,2室2厅 | 103.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,55,"5,289元/平"
电梯小高层，交通便利、配套齐全、通风透光,CBD爱克首府B区 -驿城区,3室2厅 | 133.33平米 | 东南 南 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,96,"7,201元/平"
茵悦世家，三室两厅，毛坯129.16平带车位89.8万，老证,茵悦世家 -驿城区,3室2厅 | 129.16平米 | 南 北 | 毛坯 | 17层  | 板楼,0人关注 / 3个月以前发布,79.6,"6,163元/平"
