标题,开发商,房子信息,发布信息,售价/万,单价
龙湖澜岸小区三室两厅两卫，户型方正，适合居住,龙湖澜岸 -华龙区,3室2厅 | 126.36平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,77,"6,094元/平"
恒丰广场是电梯房三室精装修出行方便,恒丰中央广场 -华龙区,3室1厅 | 90平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,1人关注 / 2个月以前发布,56,"6,223元/平"
此房是科技新村三室一厅一卫，交通便利，小区环境舒适,科技新村住宅楼 -华龙区,3室1厅 | 70.67平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,67,"9,481元/平"
龙升佳苑三室两厅一厨两卫，户型方正，小区环境好,龙升佳苑 -濮阳县,3室2厅 | 120平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,66,"5,500元/平"
龙升佳苑三室两厅两卫，交通便利，小区环境干净舒适，,龙升佳苑 -濮阳县,3室2厅 | 119.9平米 | 东 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,65,"5,422元/平"
一实小南校区旁  电梯房精装修,中央公园 -华龙区,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 11个月以前发布,89,"7,543元/平"
新上优质房源华府山水精装修电梯房出行方便配套齐全,华府山水 -华龙区,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,91,"8,273元/平"
房子户型方正，中等装修拎包住，一楼，出行方便,物华国际城英郡城北区 -华龙区,3室2厅 | 113平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,3人关注 / 4个月以前发布,85,"7,523元/平"
房子户型好，格局好，邻里邻居关系好南北通透采光好,中梁壹号院 -华龙区,4室2厅 | 136.92平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 6个月以前发布,128,"9,349元/平"
谢东小区  三室一厅  步梯高层,谢东小区 -华龙区,3室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,75,"7,576元/平"
清华苑小区，三室两厅，业主急售。,清华苑小区 -清丰县,3室2厅 | 118平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,48,"4,068元/平"
昆吾花园一期 3室2厅 南,昆吾花园一期 -华龙区,3室2厅 | 116.42平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,79.8,"6,855元/平"
蓝盾小区   交通便利  干净舒适,蓝盾小区 -华龙区,2室2厅 | 68.21平米 | 东 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,73,"10,703元/平"
小区君恒悦.海棠交通便利，小区环境干净舒适适合居住,君恒悦海棠 -华龙区,3室2厅 | 141.2平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,132,"9,349元/平"
"此房干净明亮,户型方正,交通便利,出入方便,",胜利中路317号 -华龙区,3室1厅 | 80.88平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,70,"8,655元/平"
君恒悦海棠电梯房 三室两厅  精装修,君恒悦海棠 -华龙区,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,1人关注 / 3个月以前发布,97,"7,699元/平"
公园一品 3室1厅 南,公园一品 -濮阳县,3室1厅 | 92平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,49,"5,327元/平"
此房满两年了，出行方便，户型方正，居住方，小区费用,劳动局家属院 -濮阳县,3室2厅 | 137.99平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,50,"3,624元/平"
房子是新小区，交通方便，小区环境干净舒适，,中房锦绣龙城 -濮阳县,3室2厅 | 117平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,3人关注 / 4个月以前发布,50,"4,274元/平"
急售：滨河花园电梯房精装修，干净整洁拎包即住,滨河花园 -华龙区,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,168,"12,000元/平"
众悦鑫城 交通便利 小区环境干净舒适 适合居住,众悦鑫城 -濮阳县,4室2厅 | 150.64平米 | 西 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 5个月以前发布,87,"5,776元/平"
龙升佳苑三期，精装修电梯房，铁丘路上交通便利,龙升佳苑 -濮阳县,3室2厅 | 102平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,52,"5,099元/平"
房子是三室一厅的房子，南北通透，普通装修。,世外桃源 -华龙区,3室1厅 | 115平米 | 南 北 | 简装 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,98,"8,522元/平"
中堂府邸 三室两厅一卫 户型方正 电梯洋房,中堂府邸 -濮阳县,3室2厅 | 111.64平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,59.8,"5,357元/平"
银河华都中间楼层，采光好，视野宽阔，交通便利，出行,银河花都 -清丰县,3室2厅 | 130.5平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 10个月以前发布,82,"6,284元/平"
出售林海花园婚房，三室两厅两卫，精装修,林海花园 -南乐县,3室2厅 | 133平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,78,"5,865元/平"
业主诚心出售  夏威夷精装修电梯房  三室两厅两卫,祥瑞家园 -南乐县,3室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共12层)  | 暂无数据,0人关注 / 11个月以前发布,77,"5,621元/平"
建业品质值得信赖，新小区环境优美户型方正,建业新城三期 -华龙区,3室2厅 | 143.36平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,3人关注 / 11个月以前发布,76,"5,302元/平"
三室两厅 南北通透的户型 小区安静 适合居住,鑫海花园 -华龙区,3室2厅 | 93平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,63,"6,775元/平"
育苑小区 高干楼层 户型方正 满五唯一,育苑小区 -濮阳县,3室2厅 | 139.15平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,65,"4,672元/平"
上景湾小区三室两厅两卫，交通便利，小区环境干净舒适,上景湾 -濮阳县,3室2厅 | 125平米 | 东 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,75,"6,000元/平"
锦绣龙城 业主急售单价43XX业主包更名,中房锦绣龙城 -濮阳县,3室2厅 | 124.08平米 | 东 | 毛坯 | 低楼层(共26层)  | 暂无数据,5人关注 / 一年前发布,54,"4,353元/平"
书香华府 精装三室 中间楼层诚心出售,书香华府 -濮阳县,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,60,"5,000元/平"
满二唯一 精装修 楼层好采光好,幸福里小区 -华龙区,3室2厅 | 107平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 7个月以前发布,92,"8,599元/平"
天鹅堡小区，中间楼层，未装修，诚心出售！,天鹅堡小区 -华龙区,3室2厅 | 125.5平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,86,"6,853元/平"
首付17万即可拥有，均价6千多满五唯一，随时可看。,南江小区一期 -华龙区,4室2厅 | 121平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,91,"7,521元/平"
三室两厅一卫户型格局方正规矩小区环境  干净舒适,康居小区 -华龙区,3室2厅 | 121平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,4人关注 / 6个月以前发布,86,"7,108元/平"
四季果岭三室一厅交通便利小区环境干净舒适，适合居住,四季果岭 -华龙区,3室1厅 | 102平米 | 西 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,63,"6,177元/平"
此房精装修，您可以选择直接拎包入住,滨湖湾 -华龙区,2室2厅 | 94平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,1人关注 / 4个月以前发布,95,"10,107元/平"
交通便利 小区环境干净舒适 适合居住,建业新城 -华龙区,4室2厅 | 142.53平米 | 西 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,78,"5,473元/平"
安厦小区油田小区物业好，停车不收费,安厦小区 -华龙区,2室2厅 | 77.56平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,53,"6,834元/平"
业主证满五年目前自己在住，看房不太方便。,瑞祥嘉园 -华龙区,3室2厅 | 117.02平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,115,"9,828元/平"
三室两厅两卫   带露台，带地下室,思达电子厂家属院 -华龙区,3室2厅 | 129平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,80,"6,202元/平"
房子是满五唯一，户型方正采光充足，交通便利,阳光花园 -华龙区,3室2厅 | 103.79平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,89.8,"8,653元/平"
丽都路  位置好  恒丰广场  义乌,丽都路 -华龙区,2室2厅 | 90.37平米 | 东 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 10个月以前发布,50,"5,533元/平"
天桥花园 精装两室 全屋品牌定制 户型朝阳 采光好,天桥花园 -华龙区,2室2厅 | 93.48平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,2人关注 / 7个月以前发布,73,"7,810元/平"
未来城小区，交通方便，商/业配/套成熟，干净舒适,未来城一期 -濮阳县,4室2厅 | 165.59平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,1人关注 / 3个月以前发布,100,"6,040元/平"
龙溪地多层洋房，三卧分离户型，南北双阳台，诚心出售,龙溪地 -濮阳县,3室2厅 | 113.36平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,59.5,"5,249元/平"
房子简单装修，户型方正，一梯一户，首付低,协作办家属院 -华龙区,3室2厅 | 125.93平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,9人关注 / 7个月以前发布,65,"5,162元/平"
铁路局家属院三室一厅一厨一卫，交通便利，小区环境,铁路局家属院 -华龙区,3室1厅 | 81平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,62,"7,655元/平"
三室一厅  简单装修 看房方便,行政南小区 -华龙区,3室1厅 | 77.2平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 9个月以前发布,85,"11,011元/平"
兴隆湾小区三室两厅一厨一卫交通便利小区干净舒适适合,兴龙湾一期 -华龙区,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 7个月以前发布,87,"6,851元/平"
玉兰花园两室精装修家具家电齐全,玉兰花园 -华龙区,2室1厅 | 88平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 4个月以前发布,83,"9,432元/平"
满五唯一，精装修，带家具家电，支持贷款，出门方便，,君恒熙园 -华龙区,2室1厅 | 77.6平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,65,"8,377元/平"
中心小区两室一厅一卫，小区环境优美,中心小区 -华龙区,2室1厅 | 61平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,56,"9,181元/平"
中原都市花园西区 四室两厅简单装修 户型方正南北通透,中原都市花园西区 -华龙区,4室2厅 | 132.69平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,91.8,"6,919元/平"
香榭里三室两厅一厨两卫交通便利 小区环境干净舒适,香榭里 -华龙区,3室2厅 | 159平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,135,"8,491元/平"
三室两厅两室，精装修，家具家电齐全拎包入住。,祥瑞家园 -南乐县,3室2厅 | 140.22平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 10个月以前发布,77,"5,492元/平"
谢东小区三室一厅一卫，。。。。,谢东小区 -华龙区,3室2厅 | 103.45平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,55,"5,317元/平"
满五唯一，精装修，带家具家电，支持贷款，出门方便，,君恒熙园 -华龙区,2室1厅 | 77.6平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,65,"8,377元/平"
盛世佳苑三室两厅交通便利小区环境干净舒适适合居住,盛世佳苑 -濮阳县,3室2厅 | 117平米 | 西 | 简装 | 低楼层(共11层)  | 暂无数据,2人关注 / 8个月以前发布,58,"4,958元/平"
房子简单装修，户型方正，一梯一户，首付低,协作办家属院 -华龙区,3室2厅 | 125.93平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,9人关注 / 7个月以前发布,65,"5,162元/平"
物华国际城 精装2室 支持贷款 业主急售,物华国际城二期 -华龙区,2室2厅 | 98.08平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,2人关注 / 4个月以前发布,72,"7,341元/平"
房子南北通透格局，户型好，低层，出入方便。,明月水岸 -清丰县,3室2厅 | 134平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,62,"4,627元/平"
科技新村 三室一厅  中等装修  满五唯一,科技新村住宅楼 -华龙区,3室1厅 | 70.67平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,56.8,"8,038元/平"
光明小区，三室一厅，低楼层，小区停车方便，适合居住,光明小区 -华龙区,3室1厅 | 74.66平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,52,"6,965元/平"
惠民小区三室诚心出售看房提前打电话,惠民小区 -华龙区,3室2厅 | 125平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,80,"6,400元/平"
惠民小区四室两厅两卫，南北通透，户型方正，,惠民小区 -华龙区,4室2厅 | 146.56平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,95,"6,482元/平"
玉兰花园 精装两室朝阳户型 业主诚意出售 看房方便,玉兰花园 -华龙区,2室2厅 | 94平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,65,"6,915元/平"
书香门第步梯二楼  精装修户型南北通透看房方便,书香门地 -华龙区,3室2厅 | 134.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 10个月以前发布,118,"8,759元/平"
温泉花园三室两厅两卫，带楼顶花园,温泉花园 -华龙区,3室2厅 | 130平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,85.8,"6,600元/平"
龙都花园小区 3室2厅 交通便利 小区环境干净舒适,龙都花园 -濮阳县,3室2厅 | 115平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,55,"4,783元/平"
格瑞斯小镇四室两卫  环境优美 户型方正,格瑞斯小镇 -濮阳县,4室2厅 | 124平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,62,"5,000元/平"
中信上景湾小区 3室2厅 交通便利 小区环境干净舒适,上景湾 -濮阳县,3室2厅 | 121.1平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,3人关注 / 8个月以前发布,73,"6,029元/平"
龙城花园三室两厅一厨一卫，精装修领包入住，诚意出售,龙城花园南区 -濮阳县,3室1厅 | 108平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,47,"4,352元/平"
红旗小区环境优雅，楼间距大，交通方便,红旗小区 -濮阳县,3室1厅 | 98平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 9个月以前发布,39.8,"4,062元/平"
龙城花园北区，交通方便，小区环境干净舒适，,龙城花园北区 -濮阳县,2室1厅 | 80.8平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,33.8,"4,184元/平"
龙都花园一楼带院，三室两厅两卫,龙都花园 -濮阳县,3室2厅 | 130.34平米 | 东 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,60,"4,604元/平"
一实小旁边荣域龙府，电梯中层毛坯三室，带3米宽阳台,荣域·瓏府 -濮阳县,3室2厅 | 116平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,60,"5,173元/平"
盘锦花园　两室已改三室　精装修　差价已补出行方便　,盘锦花园 -华龙区,2室2厅 | 103平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,3人关注 / 9个月以前发布,78,"7,573元/平"
盟东新区 步梯一楼 带地下室22平,盟东新区 -华龙区,3室1厅 | 93.7平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,80,"8,538元/平"
超越小区 3室2厅 南 北,超越小区 -华龙区,3室2厅 | 104平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,65,"6,250元/平"
建设路八号院两室一厅一卫，交通便利，位置优越,建设路八号院 -华龙区,2室1厅 | 66.29平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,100,"15,086元/平"
康居花园2室1厅交通便利，配套成熟，干净舒适,康居花园 -华龙区,2室1厅 | 63.77平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 11个月以前发布,42,"6,587元/平"
乙烯生活区，步梯房，六楼，业主诚意出售,中原乙烯生活区 -华龙区,2室1厅 | 69平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,43.8,"6,348元/平"
康辉南区两室精装修领包入住业主诚心出售,康辉南区 -华龙区,2室1厅 | 58平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,2人关注 / 8个月以前发布,45,"7,759元/平"
龙溪地小区 交通便利 小区环境干净舒适 适合居住,龙溪地 -濮阳县,2室2厅 | 86平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 9个月以前发布,45,"5,233元/平"
中央城两室两厅一卫，小区环境干净舒适，适合居住。,中央城 -华龙区,2室2厅 | 89.56平米 | 南 北 | 其他 | 高楼层(共22层)  | 塔楼,1人关注 / 一年前发布,72,"8,040元/平"
此房满五唯一，配套设施齐全，邻近大路交通便利。,盛世家园B区 -清丰县,2室2厅 | 90.36平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,46,"5,091元/平"
四季果岭两室一厅南户  精装修满五唯一,四季果岭 -华龙区,2室1厅 | 60平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,4人关注 / 3个月以前发布,37.5,"6,250元/平"
此房属于精装修，业主急售，看房有钥匙，满五不唯一，,昆濮尚城 -华龙区,2室2厅 | 87.75平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,69.8,"7,955元/平"
交通便利，小区环境干净舒适，适合居住。,物华假日一期 -华龙区,3室2厅 | 99.7平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,82,"8,225元/平"
实验幼儿园家属院三室一厅，交通方便，适合居住。,中心小区 -华龙区,3室1厅 | 81.3平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,81,"9,964元/平"
金域湾 3室2厅 南 北,金域湾 -华龙区,3室2厅 | 108.43平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,98.6,"9,094元/平"
房子是三室两厅两卫南北通透三室朝阳,华清文苑一期 -华龙区,3室2厅 | 132.4平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,89,"6,723元/平"
此房源，毛坯半装修，部分地板墙砖已贴，业主诚心急售,书香世家 -清丰县,3室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,72,"5,715元/平"
此房满两年，出行方便，户型方正，居住方便舒适,城上城 -华龙区,3室2厅 | 111.9平米 | 南 北 | 简装 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,118,"10,546元/平"
翰林文苑三室两厅一厨一卫，交通便利，小区环境干净,翰林文苑 -濮阳县,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,66,"5,077元/平"
华府山水三室两厅一卫，房子干净舒适，适合居住,华府山水 -华龙区,3室2厅 | 128平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 7个月以前发布,98,"7,657元/平"
四季果岭一楼底层复式带70平左右大院，地下室60平,四季果岭 -华龙区,3室2厅 | 135.58平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 9个月以前发布,148,"10,917元/平"
南乐祥瑞家园三室两厅一卫　户型格局方正　适合居住,祥瑞家园 -南乐县,3室2厅 | 120平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,5人关注 / 8个月以前发布,65,"5,417元/平"
交通便利 小区环境干净舒适 适合居住,颐和花园 -华龙区,3室2厅 | 127平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,115,"9,056元/平"
城投花园三室两厅两卫，交通便利，小区环境干净舒适,城投花园 -濮阳县,3室2厅 | 114平米 | 南 | 简装 | 低楼层(共17层)  | 暂无数据,1人关注 / 6个月以前发布,68,"5,965元/平"
医药公司家属院  三室一卫  户型方正 中间楼层,医药公司家属院（石化东路） -华龙区,3室2厅 | 93平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,68,"7,312元/平"
房子是一楼带院，户型方正通透性高，采光无遮挡，看房,华信越绣樟园 -华龙区,3室2厅 | 108平米 | 北 | 其他 | 低楼层(共28层)  | 暂无数据,3人关注 / 7个月以前发布,66,"6,112元/平"
盟东新区一楼四室两厅带34平地下室精装修家具家电齐全,盟东新区 -华龙区,4室2厅 | 132.4平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,102,"7,704元/平"
恒丰e座  两室一厅  精装修 有房本 贷款全款都支持,恒丰中央广场 -华龙区,2室1厅 | 65平米 | 南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,45,"6,924元/平"
龙之光 精装两室   户型好采光好 拎包入住,龙之光 -华龙区,2室2厅 | 89平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,92,"10,338元/平"
支油南区三室两厅，户型方正，采光充足,支油南区 -华龙区,3室2厅 | 127平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,118,"9,292元/平"
濮阳市广播电视报家属院 户型方正 采光好,濮阳市广播电视报社家属院 -华龙区,3室2厅 | 104平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 7个月以前发布,71,"6,827元/平"
濮水印象三室两厅两卫诚心出售看房方便,濮水印象 -华龙区,3室2厅 | 139平米 | 南 北 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 7个月以前发布,135,"9,713元/平"
长兴集团第三生活区三室两厅一厨一卫,长兴集团第三生活区 -华龙区,3室2厅 | 99.97平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,72,"7,203元/平"
房子是盘锦花园的三室两厅，一厨一卫。户型南北通透。,盘锦花园 -华龙区,3室2厅 | 103平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,80,"7,767元/平"
香榭里 精装修 三室两厅一卫  户型好 采光好,香榭里 -华龙区,3室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,98,"10,000元/平"
白云花园 四室两厅两卫 四楼 户型方正 随时看房,白雲花園 -华龙区,4室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,145,"10,140元/平"
房子是华清文苑一期的房子，房子满五不唯一，中等装修,华清文苑一期 -华龙区,3室1厅 | 114平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,96,"8,422元/平"
步梯四楼三室朝阳户型已改两室两厅不满五年,钻井家属院 -华龙区,2室2厅 | 72.39平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,51.5,"7,115元/平"
欣荣苑，电梯房，有地下室，三室朝阳，两卫，支持贷款,欣荣苑 -华龙区,3室2厅 | 147平米 | 南 北 | 其他 | 高楼层(共11层)  | 塔楼,1人关注 / 5个月以前发布,113,"7,688元/平"
海斯顿精装婚房未住诚心出售通风好采光好景观美,汇丰·海斯顿公园 -华龙区,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,1人关注 / 5个月以前发布,103,"8,584元/平"
此房是小高层，南北通透的户型，毛坯房，买了即可装修,恒基悦泓府 -清丰县,3室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,65,"5,653元/平"
小区交通便利环境干净舒适适合居住,中房锦绣龙城 -濮阳县,3室2厅 | 124.7平米 | 东 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,58,"4,652元/平"
谢东小区交通便利，小区环境干净舒适，适合居住。,谢东小区 -华龙区,3室2厅 | 88.17平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,44,"4,991元/平"
盟东新区 三室两厅两卫 南 北 通 透,盟东新区 -华龙区,3室2厅 | 124.3平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,76,"6,115元/平"
龙都花园 精装三室两厅一卫 可做婚房,龙都花园 -濮阳县,3室2厅 | 124平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,68.8,"5,549元/平"
建邺城  三室一厅一卫 视野开阔,建业城4期 -濮阳县,3室1厅 | 90.45平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,53.8,"5,949元/平"
花半里一期三室精装修可拎包入住,花半里一期 -华龙区,3室2厅 | 131.6平米 | 南 北 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,91,"6,915元/平"
建业桂园 2室边户 南北通透 户型方正,建业桂园 -华龙区,2室1厅 | 89平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,2人关注 / 8个月以前发布,76,"8,540元/平"
建设新村 3室2厅 南 北,建设新村 -华龙区,3室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,65,"6,500元/平"
建业春天里，四室两厅两卫，交通便利 小区环境干净,建业春天里2期 -濮阳县,4室2厅 | 136平米 | 东 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,92,"6,765元/平"
龙城印象 两室两厅 通风效果好,龙城印象 -濮阳县,2室2厅 | 95.06平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,46,"4,840元/平"
