标题,开发商,房子信息,发布信息,售价/万,单价
自在澜湾空中别墅，西面看湖，东面观海。,自在澜湾 -荣成市,4室3厅 | 205.8平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 塔楼,104人关注 / 一年前发布,110,"5,345元/平"
寨子万家疃 旁边 地脚出售 有钥匙看房,潍坊路社区 -寨子,2室2厅 | 61.51平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,42,"6,829元/平"
华润湾九里 精装观海景房 高档封闭人车分流,华润威海湾九里 -竹岛,3室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共42层)  | 板楼,17人关注 / 一年前发布,239.8,"17,129元/平"
汽车站经区新小区金域仕家精装修大三居室,信泰金域仕家 -蒿泊,3室2厅 | 133.86平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,195,"14,568元/平"
时代嘉园  车站北 四室三卫    简单装修,时代嘉园 -蒿泊,4室2厅 | 174平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,5人关注 / 一年前发布,168,"9,656元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,四方社区 -竹岛,3室2厅 | 136.47平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,131,"9,600元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,龙港外滩 -文登市区,3室2厅 | 135.27平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,14人关注 / 一年前发布,94.8,"7,009元/平"
海上公园旁 明珠花园 多层住人三楼 精装,明珠花园 -皇冠,3室2厅 | 117.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,170,"14,432元/平"
公园路整骨医院南，贴地二楼，精装修三室，带家具,公园路 -文登市区,3室1厅 | 77平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,15人关注 / 5个月以前发布,34.8,"4,520元/平"
世昌大道南 黄家沟 精装修 带草厦子 出售,黄家沟小区 -田村（田和）,2室2厅 | 63平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,49.8,"7,905元/平"
长峰怡安苑顶加阁，屋内干净、格局好、南北通透,长峰怡安苑小区 -长峰,5室3厅 | 142.68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,126,"8,831元/平"
经区望海名居一线海景三室两厅两卫带车位毛坯出售,望海名居 -长峰,3室2厅 | 169.24平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 5个月以前发布,234,"13,827元/平"
美庐苑3居室，好楼层边户 有储 生活配套设施齐全,美庐苑小区 -天东&南曲阜,3室1厅 | 82.83平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,70.8,"8,548元/平"
寨子大润发   旁边 封闭小区框架房  顶楼加阁楼,怡心苑 -寨子,3室2厅 | 147平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,91.8,"6,245元/平"
皇冠南区 顶加阁 阁楼没斜顶正常层高 适合三代人住,皇冠花园南区 -皇冠,5室2厅 | 132平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,139.6,"10,576元/平"
长峰怡安苑顶加阁，屋内干净、格局好、南北通透,长峰怡安苑小区 -长峰,5室3厅 | 142.68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,126,"8,831元/平"
海上公园皇冠花园中区小面积南北通透,皇冠花园中区 -皇冠,3室2厅 | 72.14平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,98,"13,585元/平"
适合老年人居住，年轻人的过度房，适合四口之家居住,寨北小区 -寨子,3室1厅 | 72.47平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,53.5,"7,383元/平"
经区望海名居一线海景三室两厅两卫带车位毛坯出售,望海名居 -长峰,3室2厅 | 169.24平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 5个月以前发布,234,"13,827元/平"
美庐苑3居室，好楼层边户 有储 生活配套设施齐全,美庐苑小区 -天东&南曲阜,3室1厅 | 82.83平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,70.8,"8,548元/平"
统一路 城里中 X  南北朝向 低楼层西边户,杏花村居民小区 -环翠楼,2室2厅 | 57.01平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,49人关注 / 一年前发布,39.8,"6,982元/平"
青岛路旁渔港路2003年半框架三居低单价房出售,渔港路 -竹岛,2室2厅 | 115平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,82,"7,131元/平"
青岛路水岸明居三是精装修小区人车分流出行方便,水岸明居 -竹岛,3室2厅 | 137平米 | 东南 | 精装 | 低楼层(共13层)  | 塔楼,11人关注 / 一年前发布,159.8,"11,665元/平"
城中 青岛路竹岛大润发 电梯海景 精装好房,侨乡城市广场一期 -竹岛,3室2厅 | 146.52平米 | 南 西 北 | 精装 | 高楼层(共28层)  | 板塔结合,13人关注 / 一年前发布,142.8,"9,747元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,四方社区 -竹岛,3室2厅 | 136.47平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,131,"9,600元/平"
时代嘉园  车站北 四室三卫    简单装修,时代嘉园 -蒿泊,4室2厅 | 174平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,5人关注 / 一年前发布,168,"9,656元/平"
望岛望海园精装2室南北通透带家具家好楼层有储,山轮 -望岛,2室2厅 | 68.93平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,75.8,"10,997元/平"
五龙北街精装房出售，可拎包入住。,五龙北街 -文登市区,2室1厅 | 75.52平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 6个月以前发布,29,"3,841元/平"
森威花园顶加阁  85加阁楼42平 127平的 阁楼能外开门,森威花园 -皇冠,3室2厅 | 127平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,16人关注 / 一年前发布,98,"7,717元/平"
龙河花园三楼三室有大平台，精装修，拎包入住,龍河花園 -文登市区,3室2厅 | 101平米 | 北 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,66.6,"6,595元/平"
天山水尚洋房一楼带院，168万，有钥匙随时看房。,天山水尚 -文登市区,3室2厅 | 186平米 | 东 | 精装 | 低楼层(共5层)  | 板楼,9人关注 / 一年前发布,158,"8,495元/平"
温泉明珠花园洋房东边户精装修拎包入住,温泉明珠 -温泉,3室1厅 | 112.57平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,88.8,"7,889元/平"
万达商圈 望岛名郡 住人好楼层 南北通透 三室 精装修,望岛名郡 -望岛,3室2厅 | 96.55平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,139,"14,397元/平"
园中园 渔港路 框架 三楼 有蓝牙停车位带草厦,渔港路 -竹岛,3室2厅 | 90.14平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,99.8,"11,072元/平"
市政供暖别墅共三层大拇指正后方拎包入住,颐和花园 -银滩旅游度假区,6室2厅 | 274平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,11人关注 / 4个月以前发布,178,"6,497元/平"
青岛路海韵华府电梯房精装修复式带露台免费停车位,海韵华府 -戚家庄,4室2厅 | 247.55平米 | 东 南 北 | 精装 | 高楼层(共15层)  | 板楼,20人关注 / 10个月以前发布,328,"13,250元/平"
万科西山水绿城顶加阁楼下140平楼上90平,山水绿城 -蒿泊,4室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,260,"18,572元/平"
采光好，5楼加阁楼，看海效果好，南北双向露台,明珠花园 -皇冠,7室2厅 | 289平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,285,"9,862元/平"
小区位置好 配套齐全，可看海 带车库 带花园,胜利国际花园 -银滩旅游度假区,10室2厅 | 308平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,7人关注 / 1个月以前发布,174,"5,650元/平"
大庆二区头排别墅，地上三层，317平米，七室四厅四卫,大庆景园小区 -银滩旅游度假区,7室4厅 | 317平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,10人关注 / 4个月以前发布,170,"5,363元/平"
低价售 乐天精装小户型   出租中,乐天世纪城 -皇冠,1室0厅 | 38.38平米 | 西北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 9天以前发布,30,"7,817元/平"
威海恒大海上帝景 3室1厅 南 北,威海恒大海上帝景 -望岛,3室1厅 | 129平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 3天以前发布,220,"17,055元/平"
一楼 精装修 三室二卫 有储藏室 看房提前联系,九龙明珠花园 -九龙湾,3室2厅 | 121.67平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,128.5,"10,562元/平"
海韵山水佳园 精装拎包 一线小区 在建商贸城,海韵山水佳园 -银滩旅游度假区,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,2人关注 / 20天以前发布,32.2,"2,556元/平"
安康居观海苑 2室1厅 北 南,安康居观海苑 -银滩旅游度假区,2室1厅 | 85平米 | 北 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 8天以前发布,23.6,"2,777元/平"
蒿泊山水绿城好楼层采光好带储藏室南北通透,山水绿城 -蒿泊,2室2厅 | 86平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 16天以前发布,71.8,"8,349元/平"
长峰馨安苑 多层住人2楼  三室 带储藏室 免费停车,长峰馨安苑小区 -长峰,3室1厅 | 75平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,83,"11,067元/平"
皇冠蓝星万象城三期 精装两室无遮挡 带储藏室有钥匙,蓝星万象城 -皇冠,2室1厅 | 85平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,1人关注 / 11天以前发布,102,"12,000元/平"
青岛路旁新都二区小平房两居室采光好,新都花园二区 -凤林&宋家洼,2室1厅 | 59平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 13天以前发布,53.8,"9,119元/平"
住人4楼精装修好停车三室一厅，拎包入住。,塔山中路 -环翠楼,3室2厅 | 71平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,69.8,"9,831元/平"
大庆景园小区，精装拎包带供暖，复式带露台,大庆景园小区 -银滩旅游度假区,3室2厅 | 166平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 14天以前发布,22.3,"1,344元/平"
一线海之缘，临外事学院，精装修，七十年大产权,假日海景海之缘花苑 -银滩旅游度假区,2室1厅 | 70平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 15天以前发布,9.3,"1,329元/平"
富甲花园3室一厅精装拎包入住。,富甲花园 -张村,3室1厅 | 83平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,62,"7,470元/平"
高区 科技路电梯精装南北两居 无大税 紧靠北门,盛德丽景茗都 -昌鸿,2室1厅 | 84.87平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 9个月以前发布,119,"14,022元/平"
柴峰小区三期  视野开阔 采光好,柴峰小区三区 -田村（田和）,2室2厅 | 77.57平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,63.5,"8,187元/平"
蒿泊汽车站火车站时代嘉园精装修好房出售,时代嘉园 -蒿泊,2室1厅 | 125.99平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,1人关注 / 一年前发布,130,"10,319元/平"
民主巷 南北通透格局 通风 采光好,民主巷社区 -环翠楼,2室1厅 | 69.25平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 11个月以前发布,63.5,"9,170元/平"
总价单价比较低 业主诚心出售 价格可以谈 看房方便,瀚城阳光邑上一区 -九龙湾,2室2厅 | 86.51平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,62.5,"7,225元/平"
东户，采光好，配套全，位置好，生活便利,杨家滩花园 -九龙湾,2室2厅 | 71平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,1人关注 / 一年前发布,90,"12,677元/平"
华润湾九里95平两室两厅一卫通透,华润威海湾九里 -竹岛,2室2厅 | 93.22平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,44人关注 / 一年前发布,142,"15,233元/平"
大屋惠园小区三室朝阳客厅方正北阳台带车库,大屋惠园公寓 -海水浴场,3室2厅 | 136.35平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 10个月以前发布,160.8,"11,794元/平"
孙家疃菜市场多层顶楼，精装修南北通透出行方便,统一北路 -孙家疃,3室1厅 | 88平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,16人关注 / 7个月以前发布,50,"5,682元/平"
彩凤山城 带草厦子 电梯顶二 户型方正  看房方便,彩凤山城观邸 -田村（田和）,3室2厅 | 103.13平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,7人关注 / 一年前发布,138.9,"13,469元/平"
西门南 无坡 顺河街 低楼层 出售,同德社区 -环翠楼,2室1厅 | 70.84平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,10人关注 / 10个月以前发布,55.8,"7,877元/平"
瀚城阳光邑上两室朝阳有东窗，毛坯房，配套齐全,瀚城阳光邑上二期 -九龙湾,2室1厅 | 77.56平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,79,"10,186元/平"
一梯二户南北通透2个卧室全是南向总价低格局合理,陶家夼社区 -竹岛,2室1厅 | 63.12平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 11个月以前发布,40,"6,338元/平"
基本无坡，双证齐全，精装修房。,戚家夼社区 -竹岛,2室1厅 | 58.38平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,49.8,"8,531元/平"
寨子大润顶加隔四室可以单独入户,东山家园 -寨子,4室1厅 | 142平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,138.8,"9,775元/平"
黄家夼   世昌大道   寨子大润发商圈,黄家夼 -寨子,2室1厅 | 69.05平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,66.8,"9,675元/平"
阳光东海岸毛坯大别墅   共三层  带露台  带小院,阳光东海岸 -东部滨海新城,4室2厅 | 215.05平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,8人关注 / 一年前发布,279.3,"12,988元/平"
塔山十中 嘉美苑 框架东边户＋58平阁楼 均价7千多,塔山中路 -环翠楼,4室2厅 | 83.8平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,104.8,"12,506元/平"
竹岛路精装修两室 全明户型 无遮挡 看房方便 拎包入住,竹岛路小区 -竹岛,2室1厅 | 71平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 9个月以前发布,62.8,"8,846元/平"
机关大院住人三楼150平，45.8万，证件齐全可各种贷款,机关大院 -文登市区,3室2厅 | 150.25平米 | 东 | 简装 | 高楼层(共4层)  | 暂无数据,21人关注 / 一年前发布,45.5,"3,029元/平"
机关大院住人三楼150平，45.8万，证件齐全可各种贷款,机关大院 -文登市区,3室2厅 | 150.25平米 | 东 | 简装 | 高楼层(共4层)  | 暂无数据,21人关注 / 一年前发布,45.5,"3,029元/平"
弘盛现代城小区，高层3居室，住人7楼。,弘盛现代城 -文登市区,3室2厅 | 111.16平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,61.3,"5,515元/平"
此房3楼精装修保养好，框架房 视野开阔，采光好,广瑞苑 -昌鸿,3室2厅 | 100平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,4人关注 / 7个月以前发布,95,"9,500元/平"
高区银翔小区，精装修 看房方便，离海水浴场近,银翔新村 -海水浴场,3室2厅 | 97.56平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,85,"8,713元/平"
世昌大道  电梯房  颐青园小区 精装3室,颐青园 -田村（田和）,3室1厅 | 97.52平米 | 南 西 北 | 精装 | 高楼层(共16层)  | 板楼,13人关注 / 9个月以前发布,89.5,"9,178元/平"
杏花村北 采光好 住人三楼东边户方厅  奥特莱斯南,杏花村居民小区 -环翠楼,2室1厅 | 64.6平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,49.9,"7,725元/平"
泰勒家园，户型南向，无遮挡 采光好 视野开阔,泰乐家园 -田村（田和）,2室2厅 | 95.39平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,105,"11,008元/平"
龙泽园三室俩卫 中间楼层 采光好.,龙泽园 -九龙湾,3室2厅 | 142.92平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,31人关注 / 一年前发布,148,"10,356元/平"
海信海景壹号 国际海水浴场 精装修 室内可观海,海景壹号 -海水浴场,2室2厅 | 124.28平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,8人关注 / 一年前发布,204.8,"16,479元/平"
润泰高层住人2楼，满五唯一，房东换房出售,润泰居民小区 -文登市区,2室1厅 | 86.76平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,56.8,"6,547元/平"
祥云花园封闭小区一楼带院三室两厅一厨两卫,祥云花园 -昌鸿,3室2厅 | 127.13平米 | 东 南 北 | 精装 | 低楼层(共11层)  | 板楼,8人关注 / 一年前发布,235,"18,486元/平"
大润发商圈  寨河路  两室  出售,寨河路 -寨子,2室1厅 | 54平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,29.8,"5,519元/平"
山川文苑文欣园102.45平出售,山川文苑 -文登市区,3室2厅 | 102.54平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,41.5,"4,048元/平"
海泰庄园一期小高层住人五楼，全明户型，楼层好采光佳,海泰庄园一期 -文登市区,3室1厅 | 104.94平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,7人关注 / 一年前发布,59.8,"5,699元/平"
店长推荐 业主自己全新装修 华发九龙湾一期2室好楼层,华发九龙湾一期 -九龙湾,2室2厅 | 83.97平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,128,"15,244元/平"
经区海港城一线海景大三居精装修全明户型南北通透,海港城 -九龙湾,3室2厅 | 133.84平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,4人关注 / 一年前发布,168,"12,553元/平"
封闭小区多层住宅，3室2厅精装修，南北通透边户好楼层,华能威海电厂小区 -九龙湾,3室2厅 | 99.27平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,60,"6,045元/平"
华新家园 三室电梯顶架阁 精心装修 地下车位,华新家园 -凤林&宋家洼,3室2厅 | 103.11平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 9个月以前发布,109.8,"10,649元/平"
天鹤园多层二楼三室两卫，带车库储藏室，业主急售,五洲太阳城天鹤园 -九龙湾,3室1厅 | 130.95平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,117.8,"8,996元/平"
泰浩华府顶加阁，文登2z，精装小住，5室大空间！,泰浩华府 -文登市区,5室3厅 | 178平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,61.5,"3,456元/平"
朝阳小区 西北山家家悦北 精装修 带储藏室 无遮挡,朝阳小区 -市政府,3室1厅 | 80平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,52.8,"6,600元/平"
李家夼 西边户 客厅带窗户 出售,李家夼 -环翠楼,2室1厅 | 63.42平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,35,"5,519元/平"
住人一楼 精装修 南北通透 带储藏室 看房方便,杏花村居民小区 -环翠楼,2室1厅 | 67平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,54.9,"8,195元/平"
户型是南北朝向 视野无遮挡 采光以及通风好看房方便,海滨北路114号 -竹岛,3室2厅 | 91.95平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 10个月以前发布,92,"10,006元/平"
威海环翠区金线顶，好楼层，二中门口，刘公岛码头,金线顶社区 -竹岛,2室2厅 | 73.36平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,75,"10,224元/平"
悦欣鼎园二中旁全屋品牌定制。精装小住，看房方便,悦欣鼎园 -文登市区,2室2厅 | 77.41平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,39.4,"5,090元/平"
金猴绿色家园多层3楼精装三室拎包入住利群商圈,金猴绿色花园 -昌鸿,3室2厅 | 98.59平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,95,"9,636元/平"
70年产权民水民电 封闭社区 南向 好楼层 看房方便,抱海花园 -竹岛,2室1厅 | 75.64平米 | 南 北 | 精装 | 中楼层(共13层)  | 板塔结合,1人关注 / 2个月以前发布,82,"10,841元/平"
银滩靠海大三居，带窗储物间。精装修。,银滩之心福海苑 -银滩旅游度假区,3室2厅 | 133.16平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,41.5,"3,117元/平"
华发  两室 精装 修拎包 入住,华发九龙湾一期 -九龙湾,2室1厅 | 87平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,127,"14,598元/平"
环翠区温泉镇老虎山小区温泉路156号,温泉路156号 -温泉,3室1厅 | 91.83平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,55.8,"6,077元/平"
瀚城二区好楼层115平108万带定制家电家具。,瀚城阳光邑上二期 -九龙湾,3室2厅 | 115.41平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,104.9,"9,090元/平"
孙家疃葡萄糖海水浴场油画小镇望海山海城B区孙家疃村,孫家疃村 -孙家疃,1室1厅 | 50.62平米 | 南 | 简装 | 中楼层(共11层)  | 暂无数据,9人关注 / 一年前发布,44.8,"8,851元/平"
此房两居南北西向，格局好多层，全明户型  采光好,盛德丽景茗都 -昌鸿,2室1厅 | 88平米 | 南 北 西 | 精装 | 高楼层(共5层)  | 板楼,4人关注 / 11个月以前发布,93.8,"10,660元/平"
此房毛坯房 南北通透 三室 带一个储藏室 个税,保利红叶谷 -竹岛,3室1厅 | 90.24平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,2人关注 / 6个月以前发布,120,"13,298元/平"
三室两厅北向客厅，三室向阳，带储藏室，可拎包入住,蓝天广场 -海水浴场,3室2厅 | 120.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,125,"10,369元/平"
西门南 框架房 精装修 住人好楼层 出售,同德社区 -环翠楼,2室2厅 | 94.12平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,90,"9,563元/平"
塔山 宜家花园旁 两室两厅简装 全明户型59平47.8万,塔山中路 -环翠楼,2室2厅 | 58.27平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,45.8,"7,860元/平"
精装可拎包入住，孩子上学方便，采光好，户型方正,华欣花园 -文登市区,2室1厅 | 78.49平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,30.5,"3,886元/平"
西郊春山华居东区多层顶楼简单装秀配套齐全交通便利,西郊春山华居东区 -田村（田和）,3室1厅 | 82.15平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,59.5,"7,243元/平"
柴峰小区多层顶楼简单装秀配套齐全东边户,柴峰小区 -田村（田和）,3室1厅 | 99.96平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,75.8,"7,584元/平"
房源看房方便 屋内保持良好  价格优惠,西文化生活区 -昌鸿,3室2厅 | 98.53平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 4个月以前发布,55,"5,583元/平"
市政府南 妇幼旁 北港社区东平街,北港社区 -环翠楼,1室1厅 | 42.15平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,17人关注 / 一年前发布,38,"9,016元/平"
九龙城 北  九龙湾公园南  时代海景  多层好楼层,皇冠时代海景 -九龙湾,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,4人关注 / 一年前发布,172.8,"14,897元/平"
钦村 宁海花园小高层电梯房 好楼层8层 户型方正 急售,宁海花园 -卧龙山,3室1厅 | 173.42平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,12人关注 / 一年前发布,130,"7,497元/平"
青岛路边华新家园多层住人四楼标准三室简单装修带储,华新家园 -凤林&宋家洼,3室1厅 | 68.51平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,62,"9,050元/平"
一线海景房 南北通透户型好 采光好 精装拎包入住,银河海景御花园 -银滩旅游度假区,2室2厅 | 86.57平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,55人关注 / 7个月以前发布,19.8,"2,288元/平"
贵和花园南区电梯顶加阁精装拎包入住,贵和花园南区 -卧龙山,4室3厅 | 195.12平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,236,"12,096元/平"
学府花园 电梯小洋房 凤凰楼层户型方正南北,学府华园 -昌鸿,2室2厅 | 95.07平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,127,"13,359元/平"
此房、中等装修地暖、南北通透、带个储藏室拎包入住、,卧龙山生活小区 -卧龙山,2室1厅 | 72.87平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,41.8,"5,737元/平"
东骏阅山多层顶楼带阁楼复式随时看房,东骏阅山 -天东&南曲阜,3室2厅 | 83.38平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,65.8,"7,892元/平"
仁和佳苑电梯房精装修配套齐全出行方便交通便利,仁和佳苑 -田村（田和）,2室1厅 | 87.92平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,93.3,"10,612元/平"
市政府西统一路长征社区两室精装二楼,统一路 -环翠楼,2室1厅 | 57.9平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,62,"10,709元/平"
泛海豪庭 电梯13楼大平层 简单装修 拎包入住,蓝天广场 -海水浴场,3室2厅 | 217.45平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,10人关注 / 6个月以前发布,158,"7,267元/平"
出售蔚海新天地，电梯好楼层，107.3平，三室,蔚海新天地 -天东&南曲阜,3室2厅 | 107.3平米 | 南 西 北 | 毛坯 | 高楼层(共15层)  | 板楼,6人关注 / 一年前发布,88.9,"8,286元/平"
