标题,开发商,房子信息,发布信息,售价/万,单价
三开间朝南双阳台纯边套居住舒适,水岸家园 -义乌市,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,15人关注 / 5个月以前发布,157.9,"11,120元/平"
小区配套 宝龙商场，轻轨站点，新交付小区,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 其他 | 高楼层(共13层)  | 暂无数据,0人关注 / 一年前发布,183,"20,562元/平"
江东绿城桃花源，交通便利，环境好,绿城桃花源 -江东,3室2厅 | 110平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,336,"30,546元/平"
视野好 房东诚心 三朝南 今年刚交付新小区,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,6人关注 / 11个月以前发布,185,"20,787元/平"
户型方正 采光好 环境优美 带物业  品质好,众安.蒲荷花苑 -城西,4室1厅 | 117平米 | 东南 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 3个月以前发布,256,"21,881元/平"
卿悦府东区3房高层套间不靠国贸,卿悦府东区 -稠城,3室2厅 | 107.38平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,500,"46,564元/平"
都会家园 百变毛坯 边套带车位 业主诚售,都会家园 -佛堂,4室2厅 | 136.79平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,260,"19,008元/平"
世贸公寓带装修可以直接入驻办公,世贸中心 -福田,3室2厅 | 176平米 | 南 | 其他 | 低楼层(共55层)  | 暂无数据,1人关注 / 一年前发布,499,"28,353元/平"
梅湖国际公馆。大四房西边套带车位。,梅湖国际公馆 -江东,4室2厅 | 193平米 | 南 | 简装 | 中楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,566,"29,327元/平"
卿悦府东区 3室2厅 南,卿悦府东区 -稠城,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,619,"47,616元/平"
万固地产都会家园 3室2厅 南,万固地产都会家园 -佛堂,3室2厅 | 122平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 1个月以前发布,251,"20,574元/平"
嘉美广场，精装拎包入住，中间楼层,商城嘉美广场 -北苑,3室1厅 | 87平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,320,"36,782元/平"
户型方正 通风采光都很好 配套齐全,和聚园 -北苑,3室2厅 | 140平米 | 东南 | 其他 | 低楼层(共15层)  | 板塔结合,0人关注 / 2个月以前发布,415,"29,643元/平"
空中花园 带车位 带电梯 带大露台 实 验小,涌金广场 -江东,3室2厅 | 146.8平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,410,"27,930元/平"
户型方正 通风采光都很好 配套齐全,碧桂园柏悦华府 -义乌市,3室1厅 | 89平米 | 东南 | 其他 | 中楼层(共20层)  | 暂无数据,48人关注 / 一年前发布,113.8,"12,787元/平"
安福家园装修大面积4房的房诚心出售,安福家园 -苏溪,4室2厅 | 175平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,465,"26,572元/平"
滨江壹品·140平顶楼采光好。有车位。,滨江壹品 -福田,4室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共37层)  | 暂无数据,0人关注 / 一年前发布,520,"37,143元/平"
此房在福田CBD区域，滨江高档物业此房在福田CBD区域，,滨江壹品 -福田,3室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共39层)  | 暂无数据,0人关注 / 6个月以前发布,478,"42,679元/平"
福田商贸城CBD滨江壹品精装带车位,滨江壹品 -福田,5室2厅 | 165平米 | 南 | 其他 | 中楼层(共37层)  | 暂无数据,7人关注 / 11个月以前发布,725,"43,940元/平"
绿城桃花源  绿城物业 给你高品质生活,绿城桃花源 -江东,4室2厅 | 148平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,490,"33,109元/平"
现代城市花园，四季五区，适合居住,现代城市花园四季五区 -北苑,2室2厅 | 115平米 | 南 | 其他 | 低楼层(共14层)  | 暂无数据,11人关注 / 一年前发布,245,"21,305元/平"
户型方正 通风采光都很好 配套齐全,万商华府 -城西,3室2厅 | 147平米 | 东南 | 其他 | 低楼层(共20层)  | 暂无数据,2人关注 / 一年前发布,215,"14,626元/平"
众安.蒲荷花苑 3室1厅 南,众安.蒲荷花苑 -城西,3室1厅 | 89平米 | 南 | 其他 | 高楼层(共14层)  | 板楼,1人关注 / 1个月以前发布,185,"20,787元/平"
万达儿童公园边花园小区西江雅苑带花园3房2厅毛坯洋房,金地中梁西江雅苑 -稠江,3室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,390,"33,914元/平"
香溪裕园 4室2厅 东南,香溪裕园 -义乌市,4室2厅 | 178平米 | 东南 | 其他 | 中楼层(共12层)  | 暂无数据,3人关注 / 一年前发布,310,"17,416元/平"
学可上.老城南，精装修，看房方便，诚心出售,乐园小居 -稠江,2室2厅 | 86平米 | 北 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,350,"40,698元/平"
后宅网红盘 楼层好 交通便利 业主自住装修 产证满两年,城北商业中心 -后宅,3室2厅 | 93平米 | 南 | 其他 | 高楼层(共15层)  | 暂无数据,5人关注 / 一年前发布,270,"29,033元/平"
大户型的房子，视野开阔，采光无遮挡，精装修的房子,现代城市花园四季五区 -北苑,3室2厅 | 154平米 | 南 | 其他 | 中楼层(共14层)  | 板塔结合,4人关注 / 8个月以前发布,315,"20,455元/平"
楼中楼格局 装修好 位置好 地段好,万厦欧景爵园 -稠江,5室2厅 | 166平米 | 东 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,578,"34,820元/平"
户型方正 通风采光都很好 配套齐全,万达华府 -稠江,3室1厅 | 101平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,300,"29,703元/平"
江东中路景观好房，观山，采光好，精装修，,江东中路 -江东,2室2厅 | 94.5平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,236.8,"25,059元/平"
楼中楼，带大露台，满2年，简单装修，使用面积大,丹溪三区丹桂苑 -北苑,5室3厅 | 160平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,365,"22,813元/平"
绿城桃花源 4室2厅 南,绿城桃花源 -江东,4室2厅 | 188.34平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,710,"37,698元/平"
精装修，拎包入住，诚心出售，看房方便，学可上,香山小区(义乌市) -稠城,3室2厅 | 159.91平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,390,"24,389元/平"
铜溪小区 3室2厅 西南,铜溪小区 -义亭,3室2厅 | 138平米 | 西南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,210,"15,218元/平"
房子户型好 楼层好 无采光遮挡 诚心出售,安福家园 -苏溪,3室2厅 | 143.7平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,8人关注 / 一年前发布,326,"22,687元/平"
小区环境优美，林近公园，配套齐全，单价低,东方国际村 -北苑,3室2厅 | 149平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 10个月以前发布,345,"23,155元/平"
城市花园，边套，大户型，带车位，诚心出售价好谈急卖,现代城市花园四季五区 -北苑,4室2厅 | 202平米 | 南 北 | 其他 | 中楼层(共14层)  | 板塔结合,4人关注 / 一年前发布,460,"22,773元/平"
因房东置换房屋，所以诚心出售本房源,涌金广场 -江东,1室1厅 | 56平米 | 西 | 精装 | 低楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,182,"32,500元/平"
复式两层使用面积，稀房源，看房方便,久府江山悦 -江东,6室3厅 | 170平米 | 南 北 | 简装 | 低楼层(共33层)  | 暂无数据,4人关注 / 一年前发布,680,"40,000元/平"
此房户型正气 满两年 人文氛围浓厚 上 滨 王,宾王市场D区 -稠城,4室2厅 | 114平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,325,"28,509元/平"
义乌之心文鼎公寓，交通便利，精装满二！,绣湖文鼎公寓 -稠城,1室1厅 | 38.78平米 | 西北 南 西南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,310,"79,939元/平"
向阳府，东边套，带露台，没占用，带车位，大阳台急卖,向阳府一区 -稠城,3室1厅 | 136平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,620,"45,589元/平"
月湖公寓 2室1厅 西南,月湖公寓 -城西,2室1厅 | 63平米 | 西南 | 其他 | 中楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,105,"16,667元/平"
精装修，拎包入住，楼层高，采光好，诚心出售，,吾悦壹号公馆 -江东,1室1厅 | 48平米 | 西南 | 精装 | 高楼层(共39层)  | 板楼,7人关注 / 一年前发布,88,"18,334元/平"
绿城物业，绿化精致值得信赖，别再等待,香溪裕园 -义乌市,4室2厅 | 178平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 板塔结合,2人关注 / 一年前发布,285,"16,012元/平"
北苑嘉和广场，交通便利，配套齐全。房东诚心出售。,嘉和公寓(义乌市) -北苑,3室2厅 | 100平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,25人关注 / 一年前发布,200,"20,000元/平"
现代公寓   好楼层+采光好   复式楼中楼,现代公寓 -稠城,2室1厅 | 36平米 | 南 | 其他 | 低楼层(共10层)  | 暂无数据,4人关注 / 一年前发布,112,"31,112元/平"
中厦国际，精装修，拎包入住，朝向好，户型好，诚心卖,中厦国际广场 -稠城,1室1厅 | 45.12平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,4人关注 / 5个月以前发布,88,"19,504元/平"
满二 ，精装， 位置好，采光好 ，没占用，诚心出售,商苑 -江东,2室1厅 | 88平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,220,"25,000元/平"
万达广场商圈 万达公寓 单身小年轻,万达SOHO公寓 -稠江,1室1厅 | 43.21平米 | 西北 | 其他 | 高楼层(共33层)  | 平房,3人关注 / 一年前发布,75,"17,358元/平"
篁园服装市场一桥之隔，眺望义乌江，户型明亮开阔,篁园香江公寓 -江东,1室1厅 | 157.51平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,210,"13,333元/平"
嘉和公寓，精装修，带车位，没占用，高楼层大阳台急卖,嘉和公寓 -北苑,2室2厅 | 87平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,325,"37,357元/平"
义乌之心旁卿悦府东区　含一个车位！,卿悦府东区 -稠城,2室2厅 | 77平米 | 西南 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,435,"56,494元/平"
老城南，满两年，2023年可上，清爽装修，证据齐全,白金公寓 -稠城,1室1厅 | 65平米 | 南 北 | 其他 | 高楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,259,"39,847元/平"
清爽装修 户型方正 地段好你值得拥有,商苑 -江东,2室1厅 | 89平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,260,"29,214元/平"
汇金大厦，高楼层，没占用，满二年，户型好，急卖,汇金大厦 -稠城,3室2厅 | 81.36平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,210,"25,812元/平"
现代城市花园四季五区清爽装修满二,现代城市花园四季五区 -北苑,3室2厅 | 154平米 | 南 | 简装 | 低楼层(共14层)  | 板塔结合,5人关注 / 一年前发布,300,"19,481元/平"
急售，香溪裕园，精装高层看房随时,香溪裕园 -义乌市,3室2厅 | 140平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,7人关注 / 一年前发布,275,"19,643元/平"
富港，现代精装，高楼层，边套采光好，位置好，没占用,富港花园 -稠江,2室1厅 | 61平米 | 南 | 精装 | 高楼层(共24层)  | 暂无数据,31人关注 / 一年前发布,150,"24,591元/平"
高楼层，视野很好，精装修，栋位前后间距大 采光好,万达SOHO公寓 -稠江,1室1厅 | 48.98平米 | 南 北 | 精装 | 高楼层(共33层)  | 平房,3人关注 / 一年前发布,85,"17,355元/平"
文昌里 2室2厅 南 北,文昌里 -佛堂,2室2厅 | 83平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,31人关注 / 10个月以前发布,138,"16,627元/平"
文昌学府，上学方便，配套齐全，商品房,文昌学府 -稠江,2室2厅 | 80平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,225,"28,125元/平"
装修好 拎包入住 采光充足 两房,富港花园 -稠江,2室1厅 | 61平米 | 南 | 其他 | 低楼层(共23层)  | 板塔结合,16人关注 / 一年前发布,140,"22,951元/平"
和聚园 2室1厅 南,和聚园 -北苑,2室1厅 | 73平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,1人关注 / 5个月以前发布,212,"29,042元/平"
稠江 东阳江畔 125平 4房 毛坯 楼层好 看房方便,金地中梁西江雅苑 -稠江,4室1厅 | 125平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,360,"28,800元/平"
西景悦府，精装，带车位，满二年，户型好，诚心出售,西景悦府 -义乌市,2室2厅 | 90平米 | 南 | 其他 | 低楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,243,"27,000元/平"
中间楼层 ，格局方正、视野开阔，采光好,拨浪鼓花园 -廿三里,3室1厅 | 82.47平米 | 东南 | 简装 | 低楼层(共24层)  | 板楼,74人关注 / 一年前发布,80,"9,701元/平"
拨浪鼓花园     精装修   商服用地,拨浪鼓花园 -廿三里,2室2厅 | 87.14平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,57人关注 / 一年前发布,102,"11,706元/平"
市区五岔口旁边的小面积，70年产权住宅，精装修楼层好,大都国际名苑 -稠城,1室2厅 | 41平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 一年前发布,195,"47,561元/平"
苏溪好房御金家园。全新毛坯。产证满两年，有地下车位,御金嘉园 -苏溪,3室2厅 | 126.7平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,5人关注 / 一年前发布,268,"21,153元/平"
福田大厦 办公装修 长条户型 通风好,福田大厦B座 -稠城,1室0厅 | 60平米 | 东 | 简装 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,155,"25,834元/平"
万达公寓48平小户型精装修拎包入住,万达SOHO公寓 -稠江,1室1厅 | 48.87平米 | 南 | 精装 | 中楼层(共33层)  | 平房,13人关注 / 一年前发布,77,"15,757元/平"
中间楼层 小区环境优美 生活方便 房子无遮挡,诚信五街 -稠城,1室1厅 | 31.91平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,118,"36,980元/平"
一手房东急售房，小面积低总价，精装修，拎包入住。,大都国际名苑 -稠城,1室1厅 | 48平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 9个月以前发布,190,"39,584元/平"
时代广场 简装朝南一室一厅 位置好  交通便利,时代广场(义乌市) -江东,1室1厅 | 69.44平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,58人关注 / 一年前发布,85,"12,241元/平"
义乌 万达广场旁 万达公寓 精装修 拎包入住,万达SOHO公寓 -稠江,1室1厅 | 41平米 | 西南 | 精装 | 低楼层(共33层)  | 平房,9人关注 / 一年前发布,69,"16,830元/平"
江东 锦绣篁园 户型方正 通透 采光好 诚心出售,锦绣篁园 -江东,3室2厅 | 109.56平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,298,"27,200元/平"
老城南，正规一室一厅，满2年，看房方便,白金公寓 -稠城,1室1厅 | 61.6平米 | 南 北 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,300,"48,702元/平"
此房满二、清爽装修、前后道路宽阔、位置好,江东南路 -江东,1室1厅 | 53平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,158,"29,812元/平"
"万达SOHO 视野开阔，诚心出售,",万达SOHO公寓 -稠江,2室1厅 | 62平米 | 南 | 其他 | 低楼层(共33层)  | 平房,4人关注 / 一年前发布,95,"15,323元/平"
江东中路404平7层带地下室，位置好，房东诚心卖，,江东中路 -江东,6室6厅 | 404.28平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,680,"16,821元/平"
铂金名座  高楼层  简装修  光线无遮挡，没占用，急卖,铂金名座 -江东,2室1厅 | 73.3平米 | 南 | 简装 | 高楼层(共17层)  | 暂无数据,14人关注 / 一年前发布,170,"23,193元/平"
稠江万达公寓高楼层小面积精装修82万,万达SOHO公寓 -稠江,1室1厅 | 48.86平米 | 南 | 精装 | 中楼层(共33层)  | 平房,3人关注 / 一年前发布,80,"16,374元/平"
户型方正 通风采光都很好 配套齐全,富港花园 -稠江,2室1厅 | 91平米 | 东南 | 其他 | 高楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,230,"25,275元/平"
万达公寓诚心出售价格是可以谈的,万达SOHO公寓 -稠江,1室1厅 | 48.59平米 | 南 | 精装 | 高楼层(共35层)  | 暂无数据,5人关注 / 一年前发布,83,"17,082元/平"
宽敞明亮公寓适合不需入学用的有电梯作为老人公寓住,拨浪鼓花园 -廿三里,2室1厅 | 66平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,156人关注 / 一年前发布,72,"10,910元/平"
小区环境优美  交通便利  四通八达,东方国际村 -北苑,3室2厅 | 127.32平米 | 西南 西 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 8天以前发布,285,"22,385元/平"
锦绣之城，精装修，带车位，边套，全明户型，不靠路,滨江锦绣之城 -稠城,4室2厅 | 121平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,530,"43,802元/平"
众安.蒲荷花苑 3室2厅 南,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,2人关注 / 3个月以前发布,187,"21,012元/平"
百变毛坯，随心设计，高楼层，采光好，,众安.蒲荷花苑 -城西,4室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 暂无数据,0人关注 / 7个月以前发布,252,"21,539元/平"
万达公寓，办公装修，高楼层安静,万达SOHO公寓 -稠江,1室1厅 | 107平米 | 南 北 | 其他 | 高楼层(共35层)  | 暂无数据,0人关注 / 10天以前发布,168,"15,701元/平"
万达公寓，办公装修，高楼层，采光好，,万达SOHO公寓 -稠江,1室1厅 | 107平米 | 南 北 | 其他 | 高楼层(共35层)  | 暂无数据,0人关注 / 10天以前发布,168,"15,701元/平"
金麟花园百变毛坯   采光好  带车位  楼间距适中，，,金麟花园 -廿三里,4室2厅 | 175平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,388,"22,172元/平"
美的宝龙世家，四房户型，适合一家四口，百变毛坯，,美的·宝龙世家 -佛堂,4室2厅 | 114.92平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,212,"18,448元/平"
万达商圈适合居住小区 邻近儿童公园,万达华府 -稠江,4室2厅 | 188平米 | 西南 | 其他 | 中楼层(共27层)  | 塔楼,0人关注 / 2个月以前发布,508,"27,022元/平"
久府和园，中楼层，户型方正通透，自住欧式装，诚心卖,久府江山悦 -江东,3室2厅 | 149.81平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,398,"26,567元/平"
后宅旁舒适三房精装修包含车位拎包入住满2年省税费,金色家园(义乌市) -后宅,3室2厅 | 122.73平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 5个月以前发布,240,"19,556元/平"
香港城 3室2厅 南 北,香港城 -稠城,3室2厅 | 137平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,399,"29,125元/平"
壹号院，东边套，带车位，小区中间位置，高楼层急卖,义乌壹号院向阳二区 -稠城,3室2厅 | 102平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 14天以前发布,510,"50,000元/平"
壹号院，带车位，小区中间位置，没占用，户型好急卖,义乌壹号院向阳二区 -稠城,3室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 14天以前发布,615,"48,047元/平"
壹号院，边套，带车位，位置好，三面采光，没占用，,义乌壹号院向阳二区 -稠城,4室2厅 | 135平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 14天以前发布,630,"46,667元/平"
壹号院，高楼层，带车位，户型好，南北通透，位置好,义乌壹号院向阳二区 -稠城,3室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 14天以前发布,518,"48,412元/平"
出售建设社区河畔家园146平带车位精装修已出让自住房,河畔家园 -北苑,4室2厅 | 146.22平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,500,"34,196元/平"
小区环境好，南北通透。。。。。。。。。。,滨江金地·万家风华 -稠城,4室2厅 | 115.6平米 | 南 北 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 30天以前发布,346.8,"30,000元/平"
绣湖公园边，义乌之心旁。。。。。。。,建投•绣川府 -稠城,4室2厅 | 149平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 30天以前发布,550,"36,913元/平"
房子是双拼的，小区环境好。。。。。。。。,金城高尔夫二区 -后宅,5室3厅 | 455平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 31天以前发布,1800,"39,561元/平"
小区环境好，南北通透。。。。。。。。。,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 其他 | 中楼层(共21层)  | 暂无数据,0人关注 / 30天以前发布,310,"31,314元/平"
万达公寓小面积公寓小年轻看过来,万达SOHO公寓 -稠江,2室1厅 | 62平米 | 北 | 其他 | 高楼层(共35层)  | 暂无数据,0人关注 / 一年前发布,85,"13,710元/平"
万家风华，带双车位，位置好，楼层高，不靠马路，,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,350,"35,354元/平"
万家风华，边套，带双车位，小区中间位置，远离马路,滨江金地·万家风华 -稠城,4室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,450,"34,616元/平"
万家风华，边套，带车位，高楼层，南北通透，不靠马路,滨江金地·万家风华 -稠城,4室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 21天以前发布,420,"32,813元/平"
万家风华，带车位，高楼层，不靠国贸，南北通透急卖,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 19天以前发布,330,"33,334元/平"
壹号院，向阳三区，高楼层，边套，视野开阔，带车位,义乌壹号院向阳府三区 -稠城,3室2厅 | 101平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 22天以前发布,580,"57,426元/平"
万家风华，边套户型，带双车位，可以不要车位，大阳台,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 18天以前发布,355,"35,859元/平"
万家风华，边套，带车位，不靠国贸，采光无遮挡，急卖,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 19天以前发布,299,"30,203元/平"
万家风华，东边套，带双车位，小区中间位置，不靠路,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 19天以前发布,355,"35,859元/平"
万家风华，带车位，不靠国贸，南北通透，大阳台，急卖,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 19天以前发布,305,"30,809元/平"
万家风华，边套，高楼层，大视野，三面采光，带双车位,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 18天以前发布,360,"36,364元/平"
万家风华，东边套，朝小区，带车位，不靠路，诚心卖,滨江金地·万家风华 -稠城,4室2厅 | 115平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 暂无数据,0人关注 / 18天以前发布,390,"33,914元/平"
万家风华，东边套，带车位，南北通透，不靠马路，急卖,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 19天以前发布,345,"34,849元/平"
经贝家园，楼中楼，东边套，南北通透，大阳台，急卖,经贝家园西区 -稠江,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 24天以前发布,320,"29,630元/平"
万家风华，边套户型，南北通透大落地窗，大阳台不靠路,滨江金地·万家风华 -稠城,4室2厅 | 115平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 暂无数据,0人关注 / 18天以前发布,395,"34,348元/平"
万家风华，边套，带双车位，朝小区，不靠马路，急卖,滨江金地·万家风华 -稠城,4室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 21天以前发布,400,"31,250元/平"
万家风华，高楼层，带双车位，远离国贸大道，视野开阔,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 18天以前发布,340,"34,344元/平"
万家风华，南北通透，带车位，不靠马路，诚心出售,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 18天以前发布,340,"34,344元/平"
万家风华，低总价，位置好，采光没有影响，没占用，,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 18天以前发布,265,"26,768元/平"
万家风华，高楼层，边套，南北通透，大落地窗，不靠路,滨江金地·万家风华 -稠城,4室2厅 | 115平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 暂无数据,0人关注 / 18天以前发布,398,"34,609元/平"
万家风华，东边套，朝小区，三面采光，不靠国贸，急卖,滨江金地·万家风华 -稠城,4室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 18天以前发布,410,"31,539元/平"
香溪印象 4室2厅 南,香溪印象 -稠江,4室2厅 | 144平米 | 南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 18天以前发布,320,"22,223元/平"
商博花园，带车位，高楼层，满二年，采光充足，急卖,望府中央城C区 -江东,3室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 27天以前发布,368,"26,100元/平"
万家风华，小区中间位置，不靠马路，带双车位，诚心出,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 18天以前发布,325,"32,829元/平"
