标题,开发商,房子信息,发布信息,售价/万,单价
四季园著经典小两房格局好，配套设施齐..,荣成四季园著 -一七五,2室1厅 | 48.66平米 | 西 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 17天以前发布,68.6,"14,098元/平"
漳州港  高速出口 芯云谷软件园旁 大四房 三代同堂,大唐世家二期 -南滨大道,4室2厅 | 97.16平米 | 东南 | 毛坯 | 中楼层(共24层)  | 板塔结合,12人关注 / 10个月以前发布,77.8,"8,008元/平"
漳州港开发区厦门湾南岸高装3房,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 84.56平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 11个月以前发布,101,"11,945元/平"
大唐世家二期 4室2厅 南,大唐世家二期 -南滨大道,4室2厅 | 96.6平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,73,"7,557元/平"
香格里拉观园~楼中楼 满五唯一,香格里拉观园 -沃尔玛,4室2厅 | 210.93平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,25人关注 / 一年前发布,215,"10,193元/平"
漳州港大唐世家一期 边套三房 满五唯一 省个税首付少,大唐世家一期 -南滨大道,3室1厅 | 87平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板楼,3人关注 / 一年前发布,71,"8,161元/平"
观山海高层边套，四边采光，通透。诚意出售,融信观山海 -南滨大道,3室2厅 | 120.75平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,1人关注 / 6个月以前发布,107,"8,862元/平"
大唐世家自住精装修3房南北朝向出售,漳州大唐世家 -一七五,3室2厅 | 99.04平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,3人关注 / 8个月以前发布,118,"11,915元/平"
小区鸟语花香、有免费停车场50米有嘉庚幼儿园,敬贤楼 -南滨大道,3室2厅 | 137.27平米 | 南 北 | 简装 | 中楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,131.8,"9,602元/平"
满五唯一 尚海湾3房2卫2阳台 看海看山，房间方正,永鸿尚海湾 -南滨大道,3室2厅 | 92.99平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,34人关注 / 10个月以前发布,75,"8,066元/平"
房屋产权明晰，无户口占用，满两年，看房方便价格可谈,中骏四季阳光一期 -角美台商投资区,3室2厅 | 89.72平米 | 南 东 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,136,"15,159元/平"
此房满五，高楼层 ，南北朝向，自住装修  采光好.,永鸿国际公馆 -金峰,3室1厅 | 121.33平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,122,"10,056元/平"
福隆城北区 边套4房诚意出售！高楼层视野开阔,福隆城北区 -福隆城商圈,4室2厅 | 162.72平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,192,"11,800元/平"
电梯中层 8311/平 看房随时 有钥匙 四房 南北通透,地质人家 -湘桥湖周边,4室2厅 | 161.59平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板楼,7人关注 / 一年前发布,134.3,"8,312元/平"
龙文唯一一套带露台，东边套无遮挡出售,福晟钱隆学府卓越小区 -福隆城商圈,3室2厅 | 119.66平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,137.6,"11,500元/平"
闽南水乡板块 禹洲雍禧澜湾 看99湾,禹洲雍禧澜湾 -闽南水乡,6室1厅 | 119.26平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,190.67,"15,988元/平"
南北通透户型，看中庭，视野好，园林景观.,领秀御园 -角美台商投资区,4室1厅 | 108平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,129,"11,945元/平"
钱隆樽品一期高层毛坯四房两厅出售,福晟钱隆樽品1期 -福隆城商圈,4室2厅 | 149.57平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,7人关注 / 9个月以前发布,164.2,"10,979元/平"
天地仁和。悦华星座精装修3房2厅1卫，无在学生,悦华星座 -人民广场,3室2厅 | 94.84平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,12人关注 / 一年前发布,128,"13,497元/平"
带装修出售，满五唯一，看小区中庭，湿地公园,鸿源海景城 -南滨大道,3室2厅 | 89.58平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,15人关注 / 10个月以前发布,76,"8,485元/平"
封闭式人车分流小区  小区面向双鱼岛,君悦黄金海岸 -南滨大道,3室2厅 | 116.8平米 | 东 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,4人关注 / 9个月以前发布,110,"9,418元/平"
西班牙小镇招商卡达凯斯中间楼层通透看海正规三房,招商卡达凯斯 -南滨大道,3室2厅 | 135.75平米 | 南 | 毛坯 | 32层  | 板塔结合,1人关注 / 一年前发布,164,"12,082元/平"
钱隆樽品一期高层毛坯四房两厅出售,福晟钱隆樽品1期 -福隆城商圈,4室2厅 | 149.57平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,7人关注 / 9个月以前发布,164.2,"10,979元/平"
南北通透户型，看中庭，视野好，园林景观.,领秀御园 -角美台商投资区,4室1厅 | 108平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,129,"11,945元/平"
闽南水乡板块 禹洲雍禧澜湾 看99湾,禹洲雍禧澜湾 -闽南水乡,6室1厅 | 119.26平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,190.67,"15,988元/平"
漳州港；高速路口旁，正规三房，明厅明卫,永鸿澜悦城 -南滨大道,3室2厅 | 100.68平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,4人关注 / 一年前发布,66,"6,556元/平"
和信水云天满五复式楼 ，背山面海 品质大社区交通便利,水云天 -南滨大道,3室1厅 | 95.89平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,7人关注 / 5个月以前发布,64.8,"6,758元/平"
学院旁的三房两厅两卫，南北大三房。您值得拥有！,福泰海湾新城 -招商大道,3室2厅 | 112.77平米 | 东 东南 南 北 | 毛坯 | 低楼层(共17层)  | 塔楼,1人关注 / 1个月以前发布,137,"12,149元/平"
融信品质花园小区，南北朝向，格局方正看海看小区中庭,融信半山云顶 -招商大道,3室2厅 | 128.49平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,6人关注 / 一年前发布,151,"11,752元/平"
厦门湾南岸 融信半山云顶 标准3房,融信半山云顶 -招商大道,3室1厅 | 93.21平米 | 东南 南 | 毛坯 | 高楼层(共33层)  | 板楼,7人关注 / 7个月以前发布,96,"10,300元/平"
城东板块，润丰吉祥，南北通透，视野好,润丰吉祥福邸 -漳浦城东,3室1厅 | 114.02平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,89,"7,806元/平"
江滨板块，沿江好房，配套成熟，楼层1的,丽江明珠 -江滨,4室2厅 | 142.52平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,3人关注 / 11个月以前发布,223,"15,647元/平"
城东漳浦建发玺院现房出售，三面采光,漳浦建发·玺院 -漳浦城东,4室2厅 | 136.65平米 | 西 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,107.9,"7,897元/平"
海西如意城，万科物业管理，采光好,海西如意城 -漳浦城北,3室2厅 | 117.68平米 | 东南 | 毛坯 | 中楼层(共24层)  | 板塔结合,8人关注 / 一年前发布,52.95,"4,500元/平"
招商卡达凯斯大阳台格局方正 全明结构 视野开阔无遮挡,招商卡达凯斯 -南滨大道,3室2厅 | 139.26平米 | 东南 | 毛坯 | 30层  | 板塔结合,6人关注 / 4个月以前发布,156,"11,203元/平"
采光好，大露台，精装复式楼中楼，,海悦春天 -招商大道,3室2厅 | 159.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,15人关注 / 一年前发布,136.8,"8,568元/平"
紫荆庭，大户型大面积，采光好视野开阔,紫荆庭 -府前,4室2厅 | 205.81平米 | 西南 西 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,100,"4,859元/平"
漳州港码头精装修海景房正规大3房视野宽阔，采光充足,新城海世界 -招商大道,3室2厅 | 139.7平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,160,"11,454元/平"
视野开阔  站在客厅阳台 瞰俯全城,世纪广场小区 -中医院,7室2厅 | 146.43平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,152,"10,381元/平"
满五唯一 南北通透楼层好 采光好  宽敞客厅和带阳台,丹霞星城东区 -一七五,4室2厅 | 146.29平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,138,"9,434元/平"
房东置换房子，大四房，满五唯一，楼层好，采光佳,荣昌东方广场 -湘桥湖周边,4室2厅 | 141.91平米 | 西南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,149.6,"10,542元/平"
和平里南区 南北朝向 自住装修 户型方正 采光充足。,和平里南区 -女排大润发,3室2厅 | 125.66平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,13人关注 / 一年前发布,128,"10,187元/平"
高楼层，朝南，采光好，房东诚意出售，,碧桂园·碧湖天骄 -碧湖万达,3室2厅 | 112.43平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,9人关注 / 一年前发布,175,"15,566元/平"
小区配套齐全，高楼层，采光通风好，全明户型。,漳浦钱隆首府北区 -漳浦江滨,3室2厅 | 106.44平米 | 南 | 其他 | 高楼层(共27层)  | 平房,3人关注 / 8个月以前发布,77.8,"7,310元/平"
锦绣一方　天利仁和　书香世家　荣昌花园,锦绣一方 -人民广场,4室2厅 | 138.81平米 | 南 北 | 精装 | 低楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,208,"14,985元/平"
漳州港海湾太武城明厨明卫视野开阔看湖,海湾太武城二期 -港尾镇,3室2厅 | 137.96平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,12人关注 / 一年前发布,97,"7,032元/平"
广隆海尚首府 4室2厅 东南 南,广隆海尚首府 -招商大道,4室2厅 | 132.49平米 | 东南 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,167,"12,605元/平"
新城海世界 码头旁 窗外看鼓浪屿,新城海世界 -招商大道,4室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,13人关注 / 一年前发布,120,"8,696元/平"
南北通透，户型方正，采光好，证在手,欧洲阳光 -漳浦城北,3室2厅 | 120.85平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,11人关注 / 6个月以前发布,40,"3,310元/平"
悦港花园 3室2厅 南 北,悦港花园 -江滨,3室2厅 | 139.33平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,8人关注 / 6个月以前发布,222,"15,934元/平"
优质好房，业主诚意出售，价格可谈。,钻石水岸名城 -石码镇,3室2厅 | 122.06平米 | 南 北 | 其他 | 高楼层(共17层)  | 平房,0人关注 / 8个月以前发布,153,"12,535元/平"
漳州港海峡国际湾区明厅明卫，一线海景房。,海峡国际湾区 -港尾镇,4室2厅 | 125.51平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,20人关注 / 一年前发布,153,"12,191元/平"
一湾多风景，开发商统一装修，产权满五年，明厨明卫,海峡国际湾区二期 -港尾镇,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,94,"9,895元/平"
伊丽莎白大三房，满五唯一，采光充足,伊丽莎白 -漳浦城北,3室2厅 | 113.63平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 8个月以前发布,81,"7,129元/平"
复式的03户型有露台，南北通透，满五唯一不用绑车位,大唐印象 -女排大润发,4室2厅 | 114.6平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,1人关注 / 3个月以前发布,269.31,"23,500元/平"
融信澜园   朝南户型   值得拥有,融信澜园 -碧湖万达,3室2厅 | 127.8平米 | 南 | 精装 | 低楼层(共43层)  | 板楼,4人关注 / 一年前发布,168,"13,146元/平"
永鸿南岸带精装交付的三房.可拎包入住,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 100.87平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,24人关注 / 一年前发布,93,"9,220元/平"
建发文昌府旁 永大星城 大三房 诚意出售,永大星城 -人民广场,3室2厅 | 137.79平米 | 东南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,162.6,"11,801元/平"
福晟钱隆樽品2期 4室2厅 南 北,福晟钱隆樽品2期 -福隆城商圈,4室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,147.96,"10,800元/平"
可免个税，可正常首付，中层大2房  朝南中庭位置,美福一品 -角美台商投资区,2室2厅 | 87.18平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 一年前发布,100,"11,471元/平"
小区设施配套齐全，交通便捷，朝南，明厨明卫,一品江山一期 -湘桥湖周边,3室1厅 | 129.18平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,151,"11,690元/平"
格局方正，采光好，空气清新；小区配套齐全，交通便利,前锋新村 -中医院,4室2厅 | 143.2平米 | 东 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 8个月以前发布,116,"8,101元/平"
灯具城 3室2厅 南 北,灯具城 -沃尔玛,3室2厅 | 115.94平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,97,"8,367元/平"
瑞景城 小区中庭 居家装修3房 朝南户型 福隆城商圈,瑞景城 -蓝田宝龙商圈,3室2厅 | 100.38平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,108,"10,760元/平"
四季园著南北通透小三房格局，明厨明卫，满五唯一,荣成四季园著 -一七五,3室2厅 | 103.57平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,115.5,"11,152元/平"
四季园著三房两厅格局，明厨明卫，朝南外阳，,荣成四季园著 -一七五,3室1厅 | 102.64平米 | 南 西 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,138.5,"13,494元/平"
此房低楼层，产权清晰，户型方正，采光好。,阳光城凡尔赛宫二期 -角美台商投资区,3室1厅 | 89.81平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,122,"13,585元/平"
户型方正，采光好，格局通透，满五唯一,和信山语海 -招商大道,3室2厅 | 64.83平米 | 西 | 其他 | 中楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,65,"10,027元/平"
龙江明珠北区二期 南北通透4房 毛坯 东边套 看万达,龙江明珠北区 -江滨,3室2厅 | 127.82平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,6人关注 / 10个月以前发布,145,"11,345元/平"
天下广场 户型方正 采光 明亮,天下广场B区 -沃尔玛,3室2厅 | 127.61平米 | 西北 | 简装 | 中楼层(共9层)  | 板楼,4人关注 / 8个月以前发布,123.8,"9,702元/平"
牛庄商圈边 御龙天下170平 空中别墅 买2层用3层,信和御龙天下 -一七五,5室2厅 | 170.09平米 | 东 南 | 毛坯 | 高楼层(共9层)  | 板楼,9人关注 / 7个月以前发布,255,"14,993元/平"
漳州港；满五唯一，正规三房，通透户型，带小露台。,鸿源海景城 -南滨大道,3室2厅 | 116.35平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,77.5,"6,661元/平"
大唐世家二期 5室2厅 南,大唐世家二期 -南滨大道,5室2厅 | 96.27平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,120,"12,465元/平"
漳州港御珑湾3房2厅2卫满五唯一毛坯房稳定出售中,永鸿御珑湾 -南滨大道,3室2厅 | 117.2平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 7个月以前发布,91,"7,765元/平"
城东板块金绿欧洲城大四房，钥匙在手看房方便石斋校,金绿欧洲城 -漳浦城东,4室2厅 | 121.26平米 | 南 西 北 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 2个月以前发布,105,"8,660元/平"
闹中取静 ，交通方便，健康楼层,华港花园 -沃尔玛,3室2厅 | 104.06平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,10人关注 / 一年前发布,102,"9,803元/平"
丽园君悦自住精装修2房+1书房开间全朝南双阳台诚意售,丽园君悦 -沃尔玛,3室2厅 | 124.55平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,4人关注 / 9个月以前发布,212,"17,022元/平"
公园美学 3房2厅 南北通透 高楼层 看房方便,永年公园美学 -闽南水乡,3室2厅 | 145.77平米 | 南 北 东 | 毛坯 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,199,"13,652元/平"
此房价位便宜，满二，四房两厅一厨两卫,东旭御峰 -一七五,4室2厅 | 144.93平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,2人关注 / 5个月以前发布,190,"13,110元/平"
四季园著南北通透小三房格局，明厨明卫，满五唯一,荣成四季园著 -一七五,3室2厅 | 103.57平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,115.5,"11,152元/平"
城东板块金绿欧洲城大四房，钥匙在手看房方便石斋校,金绿欧洲城 -漳浦城东,4室2厅 | 121.26平米 | 南 西 北 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 2个月以前发布,105,"8,660元/平"
漳州港；满五唯一，正规三房，通透户型，带小露台。,鸿源海景城 -南滨大道,3室2厅 | 116.35平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,77.5,"6,661元/平"
荣昌东方广场 精装3房 中高层 家具家电齐全 房东置换,荣昌东方广场 -湘桥湖周边,3室2厅 | 93.9平米 | 东 | 精装 | 中楼层(共16层)  | 板楼,5人关注 / 一年前发布,117.6,"12,524元/平"
此房低楼层，产权清晰，户型方正，采光好。,阳光城凡尔赛宫二期 -角美台商投资区,3室1厅 | 89.81平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,122,"13,585元/平"
四季园著三房两厅格局，明厨明卫，朝南外阳，,荣成四季园著 -一七五,3室1厅 | 102.64平米 | 南 西 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,138.5,"13,494元/平"
丽园君悦一期电梯中层160平大四房1梯2户看中庭园林,丽园君悦 -沃尔玛,4室2厅 | 159.28平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,13人关注 / 一年前发布,238,"14,943元/平"
宝龙旁 阳光美地通透三房 精装未入住 看房有密码,阳光美地四期 -蓝田宝龙商圈,3室2厅 | 117.57平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,124.6,"10,598元/平"
此房为四房 户型方正 楼层好 配套齐全,信和御龙天下 -一七五,4室2厅 | 151.27平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 7个月以前发布,211.2,"13,962元/平"
此房价位便宜，满二，四房两厅一厨两卫,东旭御峰 -一七五,4室2厅 | 144.93平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,2人关注 / 5个月以前发布,190,"13,110元/平"
沃尔玛旁大三房，框架，总价低！,竹围新村 -沃尔玛,3室2厅 | 103.61平米 | 西 | 简装 | 中楼层(共9层)  | 板楼,3人关注 / 7个月以前发布,88,"8,494元/平"
漳州港；正规三房，明厅明卫，楼层好，采光好。,永鸿南岸二期 -南滨大道,3室2厅 | 89.89平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,80,"8,900元/平"
户型方正，采光好，格局通透，满五唯一,和信山语海 -招商大道,3室2厅 | 64.83平米 | 西 | 其他 | 中楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,65,"10,027元/平"
漳州港融信观山海，视界开阔，采光充足，明厅明卫。,融信观山海 -南滨大道,3室2厅 | 119.4平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,92,"7,706元/平"
港昌新苏格兰高层精装带租3房两卫。,港昌·新苏格兰 -南滨大道,3室2厅 | 123.65平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,160,"12,940元/平"
厦门西 交通便利  小区绿化好 带幼儿园 可迁户,建坤花园 -龙池开发区,3室1厅 | 46.76平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,58,"12,404元/平"
正规三房，户型方正，明厨明卫，全海景,招商卡达凯斯 -南滨大道,5室1厅 | 260平米 | 东 东南 北 | 毛坯 | 30层  | 板塔结合,11人关注 / 一年前发布,520,"20,000元/平"
万科 鑫荣嘉园 大三房 南北通透,鑫荣嘉园 -金峰,3室1厅 | 118.5平米 | 南 北 | 精装 | 低楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,118.4,"9,992元/平"
漳州港海湾新城，高层大四层270度依山望海满五唯一,福泰海湾新城 -招商大道,4室2厅 | 141.33平米 | 西南 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,178,"12,595元/平"
满五唯一 香格里拉观园 3房2厅 153.56m² 繁华地段 ！,香格里拉观园 -沃尔玛,3室2厅 | 153.56平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,176.59,"11,500元/平"
此房源格局好采光充足 视野宽阔，配套齐全，交通便利,漳州大唐世家 -一七五,3室1厅 | 89.3平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,0人关注 / 3天以前发布,114,"12,766元/平"
房东诚意出售，满二，户型格局好，人车分流，交通便利,中海·上湾 -闽南水乡,3室1厅 | 99平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 2天以前发布,163.5,"16,516元/平"
低于小区行情价，二次精装修，低公摊。,万科滨江府 -金峰,3室2厅 | 101平米 | 东南 | 精装 | 低楼层(共40层)  | 板塔结合,0人关注 / 7天以前发布,153.5,"15,199元/平"
港昌海先生 东边套看海景观，精装修，满二年节省税费,港昌海先生 -南滨大道,4室2厅 | 127.97平米 | 东 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 6天以前发布,166,"12,972元/平"
富雅国际 4室2厅 南 北,富雅国际 -角美台商投资区,4室2厅 | 181平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1天以前发布,346,"19,117元/平"
润璟大三房出售 带100平大露台 毛坯可以自由设计,润璟金座 -漳浦江滨,3室2厅 | 132平米 | 南 | 其他 | 低楼层(共31层)  | 板楼,0人关注 / 2天以前发布,117.5,"8,902元/平"
"小区设施配套齐全，交通便捷,视野开阔无遮挡",中骏蓝湾香郡一期 -湘桥湖周边,3室1厅 | 128平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 刚刚发布,180,"14,063元/平"
特房锦绣一方3房2厅2卫精装出售,锦绣一方 -人民广场,3室2厅 | 130.6平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,163.25,"12,500元/平"
动静分离，明厨明卫，格局方正，品质小区，物业服务好,融信半山云顶 -招商大道,3室1厅 | 93平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,120.9,"13,000元/平"
融信未来城 3室2厅 南 北,融信未来城 -蓝田宝龙商圈,3室2厅 | 115.76平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 30天以前发布,135.5,"11,706元/平"
金山家园  楼梯房 公摊小 朝南 满五唯一,金山家园 -龙池开发区,2室1厅 | 51.11平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,52,"10,175元/平"
景山菜市场旁边 福隆城 莘园小区自住精装修 南北通透,福晟钱隆学府莘园小区西区 -福隆城商圈,3室2厅 | 117.97平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 12天以前发布,126,"10,681元/平"
荣昌广场3房2厅自住装修带大露台,荣昌花园 -碧湖万达,3室2厅 | 149.75平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 12天以前发布,210,"14,024元/平"
万科里商圈 鑫荣嘉园 自住精装 户型通透 采光无遮挡,鑫荣嘉园 -金峰,3室2厅 | 111.12平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 15天以前发布,99.8,"8,982元/平"
闽南水乡旁明发商业广场 精装修 大两房,明发商业广场 -闽南水乡,2室2厅 | 81.56平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 6天以前发布,106,"12,997元/平"
此房满五房产证在手，通透性好，户型方正，采光好,华龙商住楼 -石码镇,3室2厅 | 99.53平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 10天以前发布,40,"4,019元/平"
龙江明珠北区 3室2厅 南,龙江明珠北区 -江滨,3室2厅 | 132.51平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 9天以前发布,199,"15,018元/平"
芝山新村三房一厅南北通透，读书方便,芝山新村 -市政府,3室1厅 | 83.44平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,141.8,"16,995元/平"
胜利路和西样坪路交汇处，交通便利；漳州市医院,胜利西路97号综合楼 -市政府,3室2厅 | 79平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 16天以前发布,71,"8,988元/平"
建发漫云旁  业主自住 高楼观景房,万象星城 -一七五,3室2厅 | 112.19平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 11天以前发布,123,"10,964元/平"
碧桂园·碧湖天骄 3室2厅 南,碧桂园·碧湖天骄 -碧湖万达,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 8天以前发布,168,"14,737元/平"
福晟钱隆学府卓越小区 3室1厅 南,福晟钱隆学府卓越小区 -福隆城商圈,3室1厅 | 139.2平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 8天以前发布,153,"10,992元/平"
118平，户型方正，4房，大阳台，南北通透,鑫荣嘉园 -金峰,4室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 7天以前发布,128,"10,848元/平"
此房格局好，楼层好，视野宽阔，采光充足，配套齐全,荣昌花园 -碧湖万达,3室1厅 | 96平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 5天以前发布,117,"12,188元/平"
教师新村 边套 满五唯一 南北向 小区管理,教师新村 -沃尔玛,3室1厅 | 80平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,56.8,"7,100元/平"
宝龙云景里 高层无遮挡通透户型 看房钥匙方便,宝龙云景里（漳州宝龙广场） -蓝田宝龙商圈,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 7天以前发布,134.2,"12,200元/平"
钱隆樽品一期 78平 自住精装 小三房 好楼层 拎包入住,福晟钱隆樽品1期 -福隆城商圈,3室2厅 | 78.02平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 7天以前发布,101.5,"13,010元/平"
招商兰溪谷花园洋房正规三房带露台业主诚意出售,招商兰溪谷 -南滨大道,3室2厅 | 90.98平米 | 东南 南 | 毛坯 | 低楼层(共13层)  | 板楼,0人关注 / 6天以前发布,122.82,"13,500元/平"
