标题,开发商,房子信息,发布信息,售价/万,单价
名仕康城.小区绿化好.楼层好.采光好.户型南北通透,名仕康城 -大市场商圈,4室2厅 | 143.82平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,14人关注 / 一年前发布,81,"5,633元/平"
可看整个龙潭湖全景  交通方便 边上就是时光park,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 100.97平米 | 南 | 毛坯 | 低楼层(共30层)  | 平房,0人关注 / 4个月以前发布,90,"8,914元/平"
房子满五唯一 税费低 诚心出售 纯边套 前方没遮挡,奥林至尊 -行政中心商圈,3室2厅 | 138.86平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,124,"8,930元/平"
县广场旁，满五唯—税费低。得房率*高。,上层时代 -旭日商圈,3室2厅 | 109.2平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 塔楼,9人关注 / 一年前发布,66,"6,044元/平"
房东诚意出售 广信区政府旁 大三房带阁楼 带露台,金城花园 -经开区商圈,3室2厅 | 126.52平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,97,"7,667元/平"
庆丰路110号 4室2厅 南 北,庆丰路110号 -十一小商圈,4室2厅 | 141平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,124.08,"8,800元/平"
户型好，边套，配套成熟，环境优美楼间距宽,美地印象 -经开区商圈,3室2厅 | 122.4平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,85,"6,945元/平"
珑山林毛坯可随意装修 可按揭 户型通透,珑山林·麓园 -经开区商圈,5室2厅 | 264.45平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 13天以前发布,185,"6,996元/平"
"龙湖一品 太太花园珍藏洋房,一楼带花园 ,地下会所.",龙湖一品 -行政中心商圈,5室2厅 | 151.47平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,21人关注 / 一年前发布,320,"21,127元/平"
急售！和锦园三房出售.户型通透看房方便.,和锦園 -行政中心商圈,3室2厅 | 121.29平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,95.5,"7,874元/平"
花园小别墅，大花园，房东诚意出售。。。,毛纺厂宿舍 -十一小商圈,4室2厅 | 117.81平米 | 南 | 简装 | 低楼层(共2层)  | 暂无数据,2人关注 / 4个月以前发布,142,"12,054元/平"
清水湾 6室3厅 南 北,清水湾 -经开区商圈,6室3厅 | 147.41平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,253,"17,164元/平"
满五唯一，学府林立，愣保入住，交通方便，双公园,城市8号 -旭日商圈,4室2厅 | 121.54平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,8人关注 / 11个月以前发布,105,"8,640元/平"
小区安静位置，采光十足，看房方便，有钥匙,三清玫瑰园 -十一小商圈,5室3厅 | 282.37平米 | 东南 | 精装 | 低楼层(共1层)  | 暂无数据,0人关注 / 3个月以前发布,288,"10,200元/平"
上饶zhong学旁，电梯好楼层，大三房，户型端正,江湾丽城 -万达商圈,3室2厅 | 124.09平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,95,"7,656元/平"
碧桂园天樾 5室2厅 南,碧桂园天樾 -商贸城商圈,5室2厅 | 215.16平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 13天以前发布,232,"10,783元/平"
大视野瞰龙潭湖公园  龙湖一品大平层.,龙湖一品 -行政中心商圈,6室3厅 | 165.46平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 9天以前发布,235,"14,203元/平"
三清国际花园 3室2厅 南,三清国际花园 -行政中心商圈,3室2厅 | 141.78平米 | 南 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,93,"6,560元/平"
视野好，采光好，产证在手，诚心出手,清水湾 -经开区商圈,6室2厅 | 167.62平米 | 南 北 | 其他 | 3层  | 暂无数据,0人关注 / 10个月以前发布,266,"15,870元/平"
江南商贸城 满二年  复式精装修,江南商贸城 -商贸城商圈,2室2厅 | 83.08平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 25天以前发布,58,"6,982元/平"
"此房一楼带地下室,采光充足,价格低",友邦玫瑰公馆 -行政中心商圈,3室1厅 | 99.76平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 23天以前发布,83,"8,320元/平"
"产证满五年税低 ,毛坯房,读书方便",友邦公馆 -七六路商圈,3室2厅 | 120.58平米 | 西南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 21天以前发布,108,"8,957元/平"
边套 大三房 精装修拎包入住 好楼层,樱花半岛 -七六路商圈,3室2厅 | 123.67平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 24天以前发布,135,"10,917元/平"
中东凯旋门 3室2厅 南 北,中东凯旋门 -亿升商圈,3室2厅 | 124.4平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 18天以前发布,128,"10,290元/平"
复式楼单价低，带露台的。交通便利,解放路5号 -亿升商圈,2室1厅 | 64.04平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 17天以前发布,31.8,"4,966元/平"
中房青蓝国际 3室2厅 南 北,中房青蓝国际 -行政中心商圈,3室2厅 | 136平米 | 南 北 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 7天以前发布,95,"6,986元/平"
房子朝南 看江景 楼层好 采光好 拎包入住,万达晶座 -万达商圈,1室0厅 | 48.78平米 | 南 | 简装 | 高楼层(共29层)  | 塔楼,0人关注 / 5天以前发布,43,"8,816元/平"
嘉怡华府 3室2厅 南 北,嘉怡华府 -万达商圈,3室2厅 | 139平米 | 南 北 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 4天以前发布,139,"10,000元/平"
边套，格局合理、小区环境优美，大阳台,九州奥城 -十一小商圈,3室2厅 | 118.96平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 12天以前发布,86,"7,230元/平"
锦路花园三四五楼上叠诚心出售看房方便,锦路花园 -十一小商圈,6室4厅 | 215.8平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 6天以前发布,150,"6,951元/平"
十里老街， 灵山小镇风景区 ， 翼天欢乐世界，,十里风荷 -旭日商圈,3室2厅 | 129.18平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,105,"8,129元/平"
和锦園 4室2厅 南 北,和锦園 -行政中心商圈,4室2厅 | 144.3平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 7天以前发布,140,"9,703元/平"
紫阳名邸唯一一套装修没有住到一个月   中式装修！,紫阳名邸 -商贸城商圈,3室2厅 | 144.27平米 | 东南 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 22天以前发布,118,"8,180元/平"
满两年，房东诚心出售，装修好，拎包入住，家具家电,香江明珠 -七六路商圈,4室1厅 | 158.21平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 2天以前发布,151,"9,545元/平"
成熟旺铺，临街底商，上下二层，诚心出售,嘉禾雅居 -旭日商圈,1室1厅 | 125.14平米 | 南 | 其他 | 低楼层(共2层)  | 板塔结合,0人关注 / 10天以前发布,82.8,"6,617元/平"
玫瑰公馆民水民电公寓   位置佳  采光好,友邦玫瑰公馆 -行政中心商圈,2室1厅 | 60.88平米 | 南 | 其他 | 中楼层(共10层)  | 板楼,0人关注 / 15天以前发布,48,"7,885元/平"
房子房东诚心出售，简单装修拎包入住,友邦公馆 -七六路商圈,3室2厅 | 95.18平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 5天以前发布,78,"8,195元/平"
凤凰城 别墅小区 户型方正 带院子 大车库 环境好,凤凰城 -玉山县,5室2厅 | 344.21平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 16天以前发布,192,"5,578元/平"
江湾丽城 南北通透 采光通风好,江湾丽城 -万达商圈,2室1厅 | 86.28平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 10天以前发布,66,"7,650元/平"
晶华美郡 3室2厅 南,晶华美郡 -经开区商圈,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,65,"5,417元/平"
三清时代 精装修三房 采光好 无遮挡 满五年 费用低,三清时代 -十一小商圈,3室2厅 | 136.5平米 | 南 北 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 一年前发布,118,"8,645元/平"
锦路花园6/7复式楼，使用面积大 带储藏间 业主诚心卖,锦路花园 -十一小商圈,3室2厅 | 153.73平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,99.5,"6,473元/平"
福达家园旁边 框架结构 满五唯一 户型方正居住舒适,北星小区 -十一小商圈,5室3厅 | 221.73平米 | 北 南 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,125,"5,638元/平"
"怡和楼精装大三房,房东诚心出售.价美好谈.",怡和楼 -十一小商圈,3室2厅 | 137.53平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,105,"7,635元/平"
旭日大道 大5房 买一层得二层 带大露台 交通生活便利,鸿运小区 -旭日商圈,5室2厅 | 134.88平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,85,"6,302元/平"
*划算大别墅，实际面积大。离商贸城近。,目鱼山庄 -商贸城商圈,5室2厅 | 427.04平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,499,"11,686元/平"
此房满五年税费低，位置好在马路边采光好，配套齐全。,京都小区 -旭日商圈,8室3厅 | 300平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,240,"8,000元/平"
江湾丽城  南北通透 带空中花园  满五年,江湾丽城 -万达商圈,3室2厅 | 126.33平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,110,"8,708元/平"
带湖路别墅，自带小院，自带车库,目鱼山庄 -商贸城商圈,8室3厅 | 751.35平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,13人关注 / 一年前发布,489,"6,509元/平"
房子满五，交通便利，房东诚心出售,信美路16号 -旭日商圈,8室3厅 | 240.78平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,11人关注 / 7个月以前发布,238,"9,885元/平"
满二唯一，采光好，南北通透。交通便利,绿野御龙苑 -旭日商圈,3室1厅 | 120.65平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,88,"7,294元/平"
汇景花园 电梯好楼层 满二费用低,汇景花园 -十一小商圈,4室3厅 | 206.09平米 | 南 北 | 精装 | 中楼层(共13层)  | 板塔结合,2人关注 / 5个月以前发布,183,"8,880元/平"
惟义路  电梯顶楼复式楼，买一层得两层带露 台,天湖府邸 -七六路商圈,5室4厅 | 130.59平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,120,"9,190元/平"
城市8号 5室2厅 南 北,城市8号 -旭日商圈,5室2厅 | 116平米 | 南 北 | 简装 | 中楼层(共11层)  | 塔楼,1人关注 / 5个月以前发布,125,"10,776元/平"
此房满2年，独栋别墅，带前后花园，采光充足,帝景湾 -旭日商圈,8室2厅 | 371.22平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,5人关注 / 一年前发布,810,"21,820元/平"
有天有地有院子  繁华地段  看房方便,信美路16号 -旭日商圈,5室3厅 | 249.72平米 | 南 北 | 简装 | 3层  | 暂无数据 | 联排别墅 ,7人关注 / 11个月以前发布,288,"11,533元/平"
别墅 看房方便有天有地，，，，,颐景园 -大市场商圈,7室2厅 | 361.59平米 | 南 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,1人关注 / 一年前发布,295,"8,159元/平"
凯旋新世纪精装房毛坯价，高层视野开阔,凯旋新世纪 -旭日商圈,3室2厅 | 125.82平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,117,"9,299元/平"
诚意出售，房东全新装修自住，直接可以拎包入住。,赣东北大道20号 -亿升商圈,3室2厅 | 112.23平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,84,"7,485元/平"
房东诚心出售，车库上一楼，产证满唯一！,筑城家园 -旭日商圈,4室2厅 | 142.94平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,67,"4,688元/平"
朝向方正，阳光日晒充足，空间感好，通透性好 地段好,叶挺大道238号 -大市场商圈,4室2厅 | 102.09平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 11个月以前发布,78,"7,641元/平"
永利滨江御景花园洋房精装修大6房,永利滨江御景二期 -行政中心商圈,6室3厅 | 136.1平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,279,"20,500元/平"
六七复式，产证140平 实际面积280平，视野开阔，,聚福楼 -经开区商圈,5室3厅 | 140.73平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,19人关注 / 9个月以前发布,78,"5,543元/平"
清水湾·湾上林语7-5-2-6 155.00m²,清水湾·湾上林语 -行政中心商圈,7室5厅 | 155平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 5个月以前发布,188.8,"12,181元/平"
永利滨江御景一期别墅，位置优越,永利滨江御景园一期 -行政中心商圈,6室2厅 | 216.27平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,4人关注 / 4个月以前发布,350,"16,184元/平"
独栋别墅，带院子，装修280万，地理位置好，交通便利,东方家园 -旭日商圈,8室4厅 | 294.67平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,1人关注 / 3个月以前发布,490,"16,629元/平"
茂林雅轩 4室2厅 南,茂林雅轩 -旭日商圈,4室2厅 | 167.28平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,101,"6,038元/平"
万达旁，配套设施齐全，交通便利，房东诚心出售。,河中巷15号 -亿升商圈,6室5厅 | 146.48平米 | 东南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,153,"10,446元/平"
此房是别墅精装修，视野好，采光好，房东诚心出售的,云和园 -大市场商圈,5室3厅 | 286.75平米 | 南 | 精装 | 3层  | 塔楼 | 联排别墅 ,10人关注 / 一年前发布,387,"13,497元/平"
精装修中间楼层户型方正，采光好，产证满五年税费少,东方家园 -旭日商圈,3室2厅 | 127.41平米 | 东 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 11个月以前发布,86,"6,750元/平"
尚锦名都 3室2厅 南,尚锦名都 -旭日商圈,3室2厅 | 127.21平米 | 南 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,73.8,"5,802元/平"
户型方正，采光好，电梯房楼层好,翼天城 -十一小商圈,3室2厅 | 128.43平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,106,"8,254元/平"
精装房诚意出售  看房方便价格可谈,凯旋如意城 -旭日商圈,2室2厅 | 70.12平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 4个月以前发布,79.8,"11,381元/平"
边套大三房，精装出售，看房方便，业主诚心,饶城世家 -七六路商圈,3室2厅 | 133.56平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 7个月以前发布,96,"7,188元/平"
边套大三房，精装出售，看房方便，业主诚心,饶城世家 -七六路商圈,3室2厅 | 133.56平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 7个月以前发布,96,"7,188元/平"
精装房诚意出售  看房方便价格可谈,凯旋如意城 -旭日商圈,2室2厅 | 70.12平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 4个月以前发布,79.8,"11,381元/平"
生活区，配套齐全，生活便利，地理位置优..,翼天·熙龙湾 -旭日商圈,3室2厅 | 89.87平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,98,"10,905元/平"
铁中十一，步梯顶复，精装领包入住,牛奶场小区 -十一小商圈,4室2厅 | 138.44平米 | 东 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,104,"7,513元/平"
楼层好 视野开阔 采光充足小区人群素质高,龙华世纪城 -行政中心商圈,3室2厅 | 125平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 8天以前发布,125,"10,000元/平"
友邦壹号院 4室2厅 东,友邦壹号院 -行政中心商圈,4室2厅 | 124平米 | 东 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 4天以前发布,148,"11,936元/平"
友邦壹号院 3室2厅 东,友邦壹号院 -行政中心商圈,3室2厅 | 102平米 | 东 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,120,"11,765元/平"
高得房率的四叶草户型，楼层也很理想,汇成观邸 -行政中心商圈,4室2厅 | 127.2平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 3天以前发布,121,"9,513元/平"
北園配套多，家门口就是菜场，热闹的小区,北園 -大市场商圈,3室2厅 | 110.68平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 4天以前发布,66,"5,964元/平"
市政板块品质小区环境优美，房东诚信出售,友邦壹号院 -行政中心商圈,3室2厅 | 102平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 6天以前发布,112,"10,981元/平"
业主急售 三开间朝南三房，连廊格局通透,美的阳光城文澜府 -大市场商圈,2室2厅 | 93.57平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 6天以前发布,72,"7,695元/平"
渡口批发街头，中间楼层，生活便利,信江西路9号 -亿升商圈,2室2厅 | 92.53平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,52,"5,620元/平"
满两年 楼层好 视野宽阔 房东无按揭 交易便捷,友邦壹号公馆 -十一小商圈,3室2厅 | 104.06平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 5天以前发布,125,"12,013元/平"
武夷山大道  电梯好楼层  大四房房东急售！！！,龙图·天骄华府 -经开区商圈,4室2厅 | 136.55平米 | 南 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 5天以前发布,108,"7,910元/平"
电梯高层，户型通透，采光充足，配套齐全，无贷款。,汇佳中央城 -经开区商圈,4室2厅 | 126平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 5天以前发布,99,"7,858元/平"
信州壹号 3室2厅 南,信州壹号 -行政中心商圈,3室2厅 | 124.65平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1天以前发布,108,"8,665元/平"
入户花园 得房率高 景观中高层 采光很好,汇成观邸 -行政中心商圈,4室2厅 | 127.2平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 2天以前发布,140,"11,007元/平"
高铁新区 小区环境好户型南北通透,红海高铁万象城 -上饶高铁站商圈,3室2厅 | 110.19平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 4天以前发布,95,"8,622元/平"
高铁新区  小区环境好   户型南北通透 采光好,红海高铁万象城 -上饶高铁站商圈,3室2厅 | 110.19平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 4天以前发布,94,"8,531元/平"
高铁新区新小区  小区户型好   物业好,红海高铁万象城 -上饶高铁站商圈,4室2厅 | 118.24平米 | 南 北 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 4天以前发布,100,"8,458元/平"
高铁新区  环境好  户型好 南北通透,红海高铁万象城 -上饶高铁站商圈,3室2厅 | 110.19平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 4天以前发布,95,"8,622元/平"
高铁新区小区  小区环境好   户型好  物业好,红海高铁万象城 -上饶高铁站商圈,4室2厅 | 118.24平米 | 南 北 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 4天以前发布,102,"8,627元/平"
高铁新区 新区户型南北通透  采光好   物业好,红海高铁万象城 -上饶高铁站商圈,3室2厅 | 110.19平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 4天以前发布,94,"8,531元/平"
高铁新区   新区环境好  户型南北通透,红海高铁万象城 -上饶高铁站商圈,3室2厅 | 110.19平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 3天以前发布,95,"8,622元/平"
晶科一线江景 视线无遮 挡方正4房东边套业主诚心卖,晶科滨江1号 -上饶高铁站商圈,3室2厅 | 126.59平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 5天以前发布,111,"8,769元/平"
精装三房，中间楼层，户型方正，看房方便,建亨上东城 -商贸城商圈,3室2厅 | 101平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 5天以前发布,70,"6,931元/平"
美地印象6.7两层一本产证实得两套,美地印象 -经开区商圈,5室3厅 | 136.84平米 | 南 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 15天以前发布,88,"6,431元/平"
位置好，采光好，楼层好，视野宽阔，配套设施齐,槠溪·碧水香邻 -旭日商圈,3室2厅 | 127.2平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 13天以前发布,155,"12,186元/平"
杰昌家园 3室2厅 东南,杰昌家园 -旭日商圈,3室2厅 | 93.57平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 12天以前发布,50,"5,344元/平"
尚锦庭苑 3室2厅 南 北,尚锦庭苑 -旭日商圈,3室2厅 | 127.86平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 24天以前发布,73,"5,710元/平"
楼层好.视野宽阔.采光充足.户型端正,十里风荷 -旭日商圈,3室2厅 | 129.7平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 22天以前发布,90,"6,940元/平"
新天第凤凰小区 4室2厅 南 北,新天第凤凰小区 -行政中心商圈,4室2厅 | 159平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,75.5,"4,749元/平"
国家4A旅游景区，低密度洋房，边套大4房毛呸出售,十里风荷 -旭日商圈,4室2厅 | 146.8平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,103,"7,017元/平"
和锦園 4室2厅 南,和锦園 -行政中心商圈,4室2厅 | 126.4平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 23天以前发布,130,"10,285元/平"
1.房子格局很好，户型方正通透。 2.小区配套设施完善,翼天城 -十一小商圈,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 17天以前发布,120,"10,345元/平"
老公安局宿舍，自己住的同时可以月收租几千.,金龙岗9号 -亿升商圈,4室2厅 | 178.8平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 28天以前发布,120,"6,712元/平"
城东江景大别墅现房毛坯任意装修,滨江上城 -万力商圈,6室2厅 | 312.77平米 | 南 北 | 其他 | 低楼层(共1层)  | 暂无数据,0人关注 / 22天以前发布,542,"17,330元/平"
九州奥城 入户花园改4房 边套三面采光 带近200平露台,九州奥城 -十一小商圈,4室2厅 | 130.38平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 22天以前发布,155,"11,889元/平"
万达商圈奎文座交通便利商圈成熟,奎文座 -万达商圈,1室1厅 | 157平米 | 南 | 其他 | 高楼层(共37层)  | 塔楼,0人关注 / 14天以前发布,150,"9,555元/平"
黄金水岸，电梯中层。南面无遮挡，可以看江,黄金水岸 -水南街商圈,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,104,"8,456元/平"
卧室带飘窗，看房方便，业主诚心出售,天湖家园 -大市场商圈,3室1厅 | 94.48平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 15天以前发布,67,"7,092元/平"
尚锦名都。城北新区红盘，小区新,尚锦名都 -旭日商圈,3室2厅 | 123.53平米 | 南 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 17天以前发布,79.9,"6,469元/平"
五三大道地税局宿舍 2室2厅 南,五三大道地税局宿舍 -亿升商圈,2室2厅 | 86.87平米 | 南 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 11天以前发布,82.8,"9,532元/平"
海德文景苑 2室2厅 南,海德文景苑 -亿升商圈,2室2厅 | 127平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 10天以前发布,95,"7,481元/平"
公园道1号 3室2厅 南,公园道1号 -行政中心商圈,3室2厅 | 116平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 10天以前发布,109,"9,397元/平"
恒大名都四房 户型通透看房方便 业主诚心出售价格可谈,恒大名都 -万达商圈,4室2厅 | 144.54平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 15天以前发布,173,"11,970元/平"
上饶市政板块 信州区 配套成熟 小区环境优美,汇成观邸 -行政中心商圈,4室2厅 | 154平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,185,"12,013元/平"
玫瑰公馆前排中间楼层东边套。业主急售，产证满两年！,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 124.8平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 4天以前发布,98,"7,853元/平"
得房率高 东岸公园旁 近大润发  带车位,友邦壹号院 -行政中心商圈,3室2厅 | 103.63平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 12天以前发布,125,"12,063元/平"
上坤滨江四季，大三房，楼层好，采光好，户型好。,上坤·滨江四季 -大市场商圈,3室2厅 | 95.23平米 | 南 | 毛坯 | 30层  | 板塔结合,0人关注 / 12天以前发布,67.2,"7,057元/平"
友邦壹号公馆中高楼层满两年税费低诚心出售高品质小区,友邦壹号公馆 -十一小商圈,3室2厅 | 103平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2天以前发布,120,"11,651元/平"
上海广场精装修，全新装修，价格实惠！,上海广场 -商贸城商圈,3室1厅 | 89.23平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 8天以前发布,82,"9,190元/平"
瀚林印象江景房，大三房。有钥匙，满2年。看房方便,瀚林印象 -大市场商圈,3室2厅 | 145平米 | 东南 南 | 简装 | 中楼层(共27层)  | 板楼,0人关注 / 15天以前发布,97,"6,690元/平"
江光小区精装 3 房，装修未入住，仅售45.8万,江光小区 -十一小商圈,3室1厅 | 54.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,45.8,"8,430元/平"
福达家园 3室2厅 南,福达家园 -十一小商圈,3室2厅 | 115平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,92,"8,000元/平"
一线江景房 配套设施齐全 生活便利 交通方便 入住高,亿升滨江花园 -万力商圈,4室1厅 | 141平米 | 南 | 简装 | 高楼层(共29层)  | 暂无数据,0人关注 / 8天以前发布,158,"11,206元/平"
友邦壹号公馆  纯东边套四房，看房方便,友邦壹号公馆 -十一小商圈,4室2厅 | 124.38平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 10天以前发布,132,"10,613元/平"
