标题,开发商,房子信息,发布信息,售价/万,单价
采光好，阳光充足，六房二卫有露台.诚心出售,星西兰花园 -红湾大道以北,6室2厅 | 207平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,120,"5,798元/平"
楼层很好，精装带空调，价格可谈,西站瑞都 -红谷滩,3室2厅 | 82.22平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,4人关注 / 4个月以前发布,85,"10,339元/平"
带前后花园 实际面积大  业主诚售,康城一期 -莲塘,3室2厅 | 107.6平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 8个月以前发布,70,"6,506元/平"
带车位，前后无挡，楼层好，采光充足，配套齐全,合一中央城 -湾里,3室2厅 | 88.98平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,3人关注 / 5个月以前发布,78,"8,767元/平"
新建城近万达  精装修三房 前后双阳台,通源新建城 -红谷滩,3室2厅 | 107.65平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,88,"8,175元/平"
南北格局，视野宽阔，采光充足，设施齐全,博泰魏玛峰尚一期 -洪都航空工业园,3室2厅 | 104.85平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,99,"9,443元/平"
房东诚心出售  红本在手 看房方便 随时交易,新城吾悦广场 -新城吾悦,3室2厅 | 97.61平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 4个月以前发布,138,"14,138元/平"
保利和光 3室2厅 南,保利和光 -洪都,3室2厅 | 112.13平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,13人关注 / 3个月以前发布,125,"11,148元/平"
恒茂国际都会 梦时代旁 地铁一号线谢家村站 配套成熟,恒茂国际都会 -塘山广场,4室2厅 | 129.87平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,1人关注 / 3个月以前发布,180,"13,861元/平"
水岸菁华毛坯三房两卫 正宗地铁口价钱实惠 有钥匙,水岸菁华 -塘山广场,3室2厅 | 95.33平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,12人关注 / 6个月以前发布,108,"11,330元/平"
蓝湾高楼层东南视野开阔 全明户型有车位毛坯好设计,国贸蓝湾 -朝阳新城,3室1厅 | 98.2平米 | 东南 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 7个月以前发布,175,"17,821元/平"
（哦买噶）错过拍大腿~拎包入住no problem 交通便捷,新力钰珑湾南区 -红谷滩,3室2厅 | 103.2平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,17人关注 / 一年前发布,95,"9,206元/平"
花园洋房，格局好，视野宽阔，采光充足。,绿地玫瑰城东区 -新城吾悦,3室2厅 | 110.2平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,6人关注 / 一年前发布,190,"17,242元/平"
业主急售，本小区好位置，4号线地铁口两个卫生间户型,新力钰珑湾北区 -红谷滩,3室2厅 | 103.02平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,13人关注 / 一年前发布,82,"7,960元/平"
房子中间楼层  采光好视野开阔,博泰魏玛峰尚二期 -洪都航空工业园,3室1厅 | 81.63平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,3人关注 / 7个月以前发布,78,"9,556元/平"
江大南路，荣昌小区，中间楼层，房东诚心卖,荣昌新苑住宅区 -塘山广场,2室1厅 | 68.45平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 9个月以前发布,51,"7,451元/平"
朝阳新城，长城物业，诚心出售，看房电话,国贸春天 -朝阳新城,3室2厅 | 106.25平米 | 南 | 简装 | 低楼层(共34层)  | 塔楼,0人关注 / 7个月以前发布,205,"19,295元/平"
中高层  视野开阔   3居室,万达文化旅游城滨江悦府K1区 -九龙湖,3室1厅 | 104.92平米 | 南 | 毛坯 | 34层  | 塔楼,0人关注 / 一年前发布,95,"9,055元/平"
府前东路  华润万家楼上  房东诚心出售  看房随时可看,府前东路 -莲塘,3室2厅 | 109.33平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 11个月以前发布,59,"5,397元/平"
价格可以谈，小区环境好，人车分流，交通便利,海亮尊园 -江坊,3室2厅 | 109.12平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 3个月以前发布,130,"11,914元/平"
府前东路  华润万家楼上  房东诚心出售  看房随时可看,府前东路 -莲塘,3室2厅 | 109.33平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 11个月以前发布,59,"5,397元/平"
中高层  视野开阔   3居室,万达文化旅游城滨江悦府K1区 -九龙湖,3室1厅 | 104.92平米 | 南 | 毛坯 | 34层  | 塔楼,0人关注 / 一年前发布,95,"9,055元/平"
象南广场，中楼层，两室，南北通透,象山南路 -船山路,2室1厅 | 73平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 2个月以前发布,55,"7,535元/平"
广州路主干道，电梯小两房，随时看房，诚意卖,博泰魏玛峰尚二期 -洪都航空工业园,2室1厅 | 83.37平米 | 南 | 简装 | 低楼层(共10层)  | 板楼,0人关注 / 1个月以前发布,75,"8,997元/平"
楼层很好，纯洋房改善小区，价格美丽带车位,绿地国际博览城二期天玺 -九龙湖,3室2厅 | 129.15平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,272,"21,061元/平"
采光充足，诚心出售，视野开阔，配套齐全，交通方便,大唐东汇 -新城吾悦,3室2厅 | 105.03平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,23人关注 / 10个月以前发布,189,"17,995元/平"
房子总价低，位置好，地铁口精装修三房,平安曼哈顿风情 -莲塘,3室2厅 | 88.96平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,73,"8,206元/平"
新省府区域 绿化环境好 医疗佳 南北通透 房美价廉,绿地国际博览城一期御珑 -九龙湖,3室2厅 | 95.78平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,125,"13,051元/平"
保利香槟国际三室两厅一厨一卫 艾溪湖湿地公园旁,保利香槟国际（艾溪湖二路66号） -艾溪湖东,3室2厅 | 91.84平米 | 南 | 毛坯 | 32层  | 塔楼,4人关注 / 一年前发布,125,"13,611元/平"
业主诚心卖，万科品质 精致三房 户型端正,万科城三期 -青山湖区,3室1厅 | 93.17平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,116,"12,451元/平"
交通便利    配套齐全   产权清晰  户型通透,蓝天郡 -徐家坊,3室2厅 | 121.55平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,126,"10,367元/平"
万科金域传奇！户型方正，小区环境舒服。,万科金域传奇 -红湾大道以北,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,85,"9,551元/平"
上下两层随心装修 沃尔玛 象湖繁华地段 采光好 户型好,平安象湖风情 -象湖,4室1厅 | 212.58平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,134,"6,304元/平"
地铁口 联泰三房  带车位  位置好,联泰桥郡 -学府大道,3室2厅 | 123.8平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,313,"25,283元/平"
南天阳光西区  中间楼层  精装  房东诚心出售,南天阳光西区 -黄家湖,3室1厅 | 111.6平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,115,"10,305元/平"
东湖区董家窑中大丽景三经路环境好南北对流太阳好,中大丽景 -滨江中心,2室2厅 | 90.66平米 | 东南 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,95,"10,479元/平"
地铁口精装修通透3房，中间楼层，太阳好有院子,一纬路 -滨江中心,3室2厅 | 95.25平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,108,"11,339元/平"
外国语 交通厅 品质三房 好楼层 懂得来,九龙湖新区上海建工恒锦家苑 -九龙湖,3室2厅 | 99.38平米 | 北 南 | 毛坯 | 低楼层(共32层)  | 板楼,4人关注 / 5个月以前发布,143,"14,390元/平"
好大的院子，可以看房，自己住的房子,城开国际学园 -红湾大道以南,4室1厅 | 133.58平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,107,"8,011元/平"
人车分流，户型方正，一梯一户，绿化面积大。,伟梦东方院 -象湖,3室1厅 | 121.2平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,7人关注 / 一年前发布,105,"8,664元/平"
城泰枫华天成 地铁口小区  万科物业,城泰枫华天成 -蛟桥,3室2厅 | 87.42平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,1人关注 / 2个月以前发布,63,"7,207元/平"
此房户型好 三开间朝南 采光充足,绿地玫瑰城东区 -新城吾悦,3室2厅 | 91.12平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,151,"16,572元/平"
红角洲联泰香域尚城大三房出售。。。,联泰香域尚城 -岭口路,3室2厅 | 131.83平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,33人关注 / 一年前发布,288,"21,847元/平"
临江而居，品质改善户型，交通便利,万达文化旅游城滨江悦府K2区 -九龙湖,3室2厅 | 118.59平米 | 南 | 毛坯 | 33层  | 塔楼,13人关注 / 一年前发布,108,"9,108元/平"
此房满五，户型方正，采光好，看房方便,万科城三期 -青山湖区,3室2厅 | 95.42平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,116,"12,157元/平"
艾溪湖地铁站！带车位南面看寰宇公园 艾溪湖全湖景,阳光嘉苑 -青山湖区,3室2厅 | 138.48平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,145,"10,471元/平"
房东诚心出售 精装修未入住 交通便利,上海新城小区 -其它,2室1厅 | 85平米 | 南 | 精装 | 中楼层(共6层)  | 平房,3人关注 / 2个月以前发布,39.8,"4,683元/平"
洪客隆英伦联邦 通透  大五房  楼层一般,洪客隆英伦联邦 -紫荆路,5室2厅 | 103.21平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,4人关注 / 3个月以前发布,116,"11,240元/平"
碧水华庭旁 近几年精装修三房 出入方便,聆江花园 -滨江中心,3室2厅 | 125.43平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,8人关注 / 4个月以前发布,151,"12,039元/平"
红角洲联泰香域尚城大三房出售。。。,联泰香域尚城 -岭口路,3室2厅 | 131.83平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,33人关注 / 一年前发布,288,"21,847元/平"
临江而居，品质改善户型，交通便利,万达文化旅游城滨江悦府K2区 -九龙湖,3室2厅 | 118.59平米 | 南 | 毛坯 | 33层  | 塔楼,13人关注 / 一年前发布,108,"9,108元/平"
此房满五，户型方正，采光好，看房方便,万科城三期 -青山湖区,3室2厅 | 95.42平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,116,"12,157元/平"
此房户型好 三开间朝南 采光充足,绿地玫瑰城东区 -新城吾悦,3室2厅 | 91.12平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,151,"16,572元/平"
房东诚心出售 精装修未入住 交通便利,上海新城小区 -其它,2室1厅 | 85平米 | 南 | 精装 | 中楼层(共6层)  | 平房,3人关注 / 2个月以前发布,39.8,"4,683元/平"
好大的院子，可以看房，自己住的房子,城开国际学园 -红湾大道以南,4室1厅 | 133.58平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,107,"8,011元/平"
交通便利    配套齐全   产权清晰  户型通透,蓝天郡 -徐家坊,3室2厅 | 121.55平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,126,"10,367元/平"
路通沁园 精装20万 7米大阳台  拎包入住,路通沁园 -艾溪湖东,3室2厅 | 100.19平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,158,"15,771元/平"
精装通透三房 路通沁园 出行方便 中间楼层 阳光无挡,路通沁园 -艾溪湖东,3室2厅 | 104.89平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,8人关注 / 10个月以前发布,152,"14,492元/平"
户型通透户型，居住实用率高，小区配套设施齐全,江西财经大学蛟桥园北区 -蛟桥,3室2厅 | 83.47平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,13人关注 / 一年前发布,65,"7,788元/平"
保利东湾国际 4室2厅 南 北,保利东湾国际 -新城吾悦,4室2厅 | 116平米 | 南 北 | 毛坯 | 中楼层(共35层)  | 板楼,3人关注 / 5个月以前发布,163,"14,052元/平"
价格便宜       楼层好     视野开阔     看房方便,龙江花园 -新城吾悦,4室2厅 | 140.46平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 7个月以前发布,145,"10,324元/平"
中间楼层，采光好，近电梯，看房随时方便,莱茵半岛 -洪城大市场,1室1厅 | 39.67平米 | 北 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,30,"7,563元/平"
两层首付，单价便宜，即买即住。房东诚售。,金沙逸都 -象湖,2室2厅 | 91.04平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,71,"7,799元/平"
中环区域推荐，业主诚心出售，带车位东端，有钥匙,联泰香域中央A区 -秋水广场,3室2厅 | 129.75平米 | 东 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 5个月以前发布,320,"24,663元/平"
干净整洁，地铁口，看房一个电话随时可以看。,马家池社区 -墩子塘,2室1厅 | 55.65平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,5人关注 / 9个月以前发布,62.8,"11,285元/平"
小区配套完善 户型方正 朝南的房子 采光 强 诚心出售,锦绣365 -莲塘,2室2厅 | 92平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,1人关注 / 5个月以前发布,85,"9,240元/平"
东方海德堡 南北对流两房 南北对流 拎包入住 地铁口旁,东方海德堡 -庐山南大道,2室2厅 | 83.03平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,159,"19,150元/平"
酒店式公寓  自住 出租都是很好的选择,鹿鼎国际红酒城 -莲塘,1室1厅 | 43平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,1人关注 / 5个月以前发布,22,"5,117元/平"
花园式小区，户型方正采光通风好，房东急售,居住主题公园-牡丹香园 -象湖,2室2厅 | 86.7平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 5个月以前发布,70.5,"8,132元/平"
复式楼 的户型 小区人车分流 物业优,新力金沙湾 -象湖,4室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,205,"16,270元/平"
万达星城精装朝南两房，近地铁，中间楼层，视野开阔,万达星城西区 -翠苑路,2室2厅 | 70.48平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,113.8,"16,147元/平"
小区环境优美，出行方便，地段繁华,中飞百度和园 -昌南,3室1厅 | 142.06平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,0人关注 / 一年前发布,85,"5,984元/平"
精装修两房，直接拎包入住，光线充足，配套齐全。,龙湾名仕公馆 -红湾大道以北,2室2厅 | 54.95平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,50,"9,100元/平"
万科精品好房   楼层位置好  前面小高层,万科金域国际 -紫荆路,3室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,10人关注 / 9个月以前发布,102,"11,591元/平"
小区中间位置，好楼层精装修，拎包入住，房东自住,西站瑞都 -红谷滩,2室2厅 | 82.33平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,83,"10,082元/平"
小面积，低总价，绿化好，物业负责,世纪风情三期 -青山湖区,2室2厅 | 81.56平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,83,"10,177元/平"
地铁口  温馨两居  配套 成 熟 小区环境优美,保利蓝海嘉居 -红谷滩,2室2厅 | 82.52平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,6人关注 / 一年前发布,55,"6,666元/平"
业主诚心出售，随时可以看房子，随时可签约,采知轩 -莲塘,3室2厅 | 58.6平米 | 南 北 | 精装 | 低楼层(共24层)  | 塔楼,1人关注 / 一年前发布,70,"11,946元/平"
奥克斯精装两房 中间楼栋楼层好视野采光好 钥匙在手,盛世经典 -岭口路,2室2厅 | 80.5平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 5个月以前发布,135,"16,771元/平"
精装两房户型好 楼层好，小区环境好,南昌恒大城 -象湖,2室2厅 | 88.6平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 9个月以前发布,72.5,"8,183元/平"
金牛通透两房，交通便利，麻雀虽小五脏俱全,金牛小区 -蛟桥,2室1厅 | 53.63平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 26天以前发布,28.5,"5,315元/平"
花园洋房，带院子，地上两层，地下两层，使用面积大,恒茂未来都会 -天宁路,4室2厅 | 142.95平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,155,"10,843元/平"
万达商场旁，户型方正，楼层好，采光视野开阔，,通源新建城B4 -红谷滩,3室1厅 | 107平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,78,"7,290元/平"
恒大城通透大四居室，采光，户型都很好,南昌恒大城 -象湖,4室2厅 | 141.32平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,115,"8,138元/平"
万科稀有平顶复式全屋暖气实用160平离出口近百树步500,万科四季花城北区 -新城吾悦,3室2厅 | 84.95平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,29人关注 / 6个月以前发布,195,"22,955元/平"
经开区顶流 优秀的小区环境 适合居住 绿化好,中海锦城 -紫荆路,3室2厅 | 107平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,124.8,"11,664元/平"
幸福时光精装通透三房 楼层好视野开阔 拎包入住,幸福时光二期 -象湖,3室2厅 | 87.14平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,93,"10,673元/平"
此套房装修好适合孩子上课上下楼比较方便,中大云锦苑 -朝阳新城,3室2厅 | 102平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,2人关注 / 4个月以前发布,163,"15,981元/平"
港九城毛坯房 户型好 小区绿化足,容州港九城 -红谷滩,3室1厅 | 88.48平米 | 南 | 毛坯 | 低楼层(共33层)  | 平房,0人关注 / 3个月以前发布,62,"7,008元/平"
通透三房，拎包入住，业主诚售，看房预约,莱蒙都会北区 -红谷滩万达,3室2厅 | 109.84平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 6个月以前发布,308,"28,041元/平"
小区新上学近高品质小区房东结婚装修的都用的好的材料,江中花园 -李家庄,3室2厅 | 127.97平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,140,"10,941元/平"
房东诚心出售，楼层好，养生好地方，交通方便,江西省水电工程局向塘住宅小区 -向塘,2室1厅 | 58.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,16人关注 / 8个月以前发布,13,"2,233元/平"
楼下三号地铁口 紧凑三房 交通便利 看房预约,桃源丰景小区 -莲塘,3室2厅 | 101平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 3个月以前发布,85,"8,416元/平"
互相方正，精装，三房，看房一个电话随时看。,河东会馆 -墩子塘,2室2厅 | 86.26平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,69,"8,000元/平"
洋房 实用面积大 精装 拎包入住,景城名郡 -象湖,3室2厅 | 72.5平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,80,"11,035元/平"
万科正规四房诚心在卖的随时看房 价格可谈 房东好说话,万科粹叠园 -九龙湖,4室2厅 | 140.44平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,9人关注 / 一年前发布,315,"22,430元/平"
5房2厅2卫 上下2层 实打实的真材实料装修 全天阳光,保集半岛御河湾三期 -象湖,5室3厅 | 92.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,19人关注 / 一年前发布,106,"11,419元/平"
双港西大街 旭辉 万科金域国际 拎包入住,万科金域国际 -紫荆路,3室2厅 | 87.76平米 | 南 | 精装 | 11层  | 板楼,0人关注 / 5个月以前发布,123,"14,016元/平"
高品质小区，物业系统完善，出入安全，绿化环境优美，,蓝光雍锦王府 -朝阳新城,4室2厅 | 167.3平米 | 南 北 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,438,"26,181元/平"
西湖万达旁 一梯一户拎包入住三房,朝阳江上院 -朝阳新城,3室2厅 | 114.19平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 3个月以前发布,220,"19,267元/平"
凤凰城二期，高层三房，可做巨幕落地窗，带装修,凤凰城凤翔苑 -凤凰洲,3室2厅 | 133.9平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,290,"21,658元/平"
楼层好，视野空旷，户型端正，精装修，通风性好,南昌恒大御澜府 -新城吾悦,3室2厅 | 104.46平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,163,"15,605元/平"
房东诚心出售 恒大精装通透三房 领包入住价格可以商量,恒大名都 -新城吾悦,3室2厅 | 110.67平米 | 北 南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 1个月以前发布,188,"16,988元/平"
急售满五年，随时看房小区配套齐全 户型方正 通透格局,保集半岛一期 -象湖,3室2厅 | 84.61平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,93,"10,992元/平"
旭辉广场公务员小区南天金源，小区环境优美，交通便利,南天金源 -紫荆路,3室1厅 | 77.82平米 | 东南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,120,"15,421元/平"
万科北区通透三房，楼层采光好，离三中近,万科四季花城山茶苑 -新城吾悦,3室2厅 | 126.36平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,215,"17,015元/平"
御品精装三房 30万住家装修 户型方正无浪费 诚心出售,正荣·御品 -朝阳新城,3室1厅 | 101.15平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,175,"17,302元/平"
封闭式花园小区 小区管理严谨 环境优美 户型方正,新力愉景湾 -象湖,3室2厅 | 93.12平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,117,"12,565元/平"
南天金源 双杠西大街 公务员大四房,南天金源 -紫荆路,4室2厅 | 118平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 5个月以前发布,189,"16,017元/平"
昌北经济开发区南齿宿舍精装修通透大两房户型端正,南齿双 -蛟桥,3室2厅 | 75.43平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,42,"5,569元/平"
采知轩 2室1厅 南,采知轩 -莲塘,2室1厅 | 93.86平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 30天以前发布,90,"9,589元/平"
沿海丽水佳园 2室2厅 南,沿海丽水佳园 -红湾大道以南,2室2厅 | 87平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,61,"7,012元/平"
店长推荐 户型好 楼层好 自住装修,万达星城西区 -翠苑路,2室1厅 | 95.88平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 25天以前发布,159,"16,584元/平"
湖景雅居，近澄碧湖，装修花了15w我是相信,湖景明珠 -莲塘,1室1厅 | 51平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,0人关注 / 22天以前发布,44,"8,628元/平"
万科四季花城北区 2室1厅 南,万科四季花城北区 -新城吾悦,2室1厅 | 93.21平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 18天以前发布,160,"17,166元/平"
北京东路 谢家村地铁口 正规一室一厅 采光好 出入方便,城东电信小区 -塘山广场,1室1厅 | 53.45平米 | 南 | 简装 | 低楼层(共7层)  | 平房,3人关注 / 一年前发布,55,"10,290元/平"
滨江豪园  通透3房 低楼层 出租中,滨江豪园 -秋水广场,3室2厅 | 137.08平米 | 南 北 | 简装 | 低楼层(共24层)  | 板塔结合,2人关注 / 5个月以前发布,152,"11,089元/平"
本房带院子，采光视野好，生活交通便利，,上海新城小区 -其它,2室1厅 | 86.2平米 | 南 | 毛坯 | 低楼层(共5层)  | 平房,2人关注 / 1个月以前发布,23,"2,669元/平"
交通便利 地理位置好 50米铜锣湾广场 南昌2中,庐山南大道326号 -红谷滩万达,2室1厅 | 79.77平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,8人关注 / 一年前发布,95,"11,910元/平"
象湖滨江九龙湖跨江大桥桥堡电梯通透三房,南昌恒大翡翠华庭 -象湖,3室1厅 | 113.5平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 3个月以前发布,98,"8,635元/平"
九仰梧桐精装大两房 ，业主诚心出售产权优质,九仰梧桐公寓 -高新管委会,2室2厅 | 71.99平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,3人关注 / 一年前发布,95,"13,197元/平"
青山湖大道火炬大街地铁口恒茂瑞都新苑一房低价出售,恒茂瑞都新苑 -高新区,1室1厅 | 53.29平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,19人关注 / 一年前发布,65,"12,198元/平"
南天金源2房，诚心出售，出门就是旭辉,南天金源 -紫荆路,2室2厅 | 54.64平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,68,"12,446元/平"
本小区环境好位子好消费低业主免费停车适合刚需人,青岚嘉园 -紫荆路,2室2厅 | 71平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,56,"7,888元/平"
全新装修从来没住过的，看房效果好，楼栋楼层不错,绿地悦公馆 -紫荆路,3室2厅 | 96.8平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,42人关注 / 8个月以前发布,115,"11,881元/平"
沙井安居小区，通透两房，价格可谈业主急售！！！,沙井安居小区 -红谷滩万达,2室1厅 | 64.04平米 | 南 | 简装 | 中楼层(共8层)  | 平房,3人关注 / 一年前发布,118,"18,426元/平"
房子精装修，刚需小两房，诚意出售,绿都·温莎城堡 -艾溪湖东,2室1厅 | 75.91平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,106,"13,964元/平"
金桂花园户型好楼层好 位置小高层 前面无档全天阳光,金桂花园小区 -莲塘,2室2厅 | 88.39平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,65,"7,354元/平"
出门既是地铁，房子新带露台，毛坯户型多变,贤湖•澜景 -贤士湖,3室2厅 | 82.25平米 | 南 | 毛坯 | 高楼层(共33层)  | 平房,5人关注 / 3个月以前发布,123,"14,955元/平"
中上楼层 通透3房 东边户 业主诚心出售,世纪乐活公元城二期欢乐颂 -红湾大道以北,3室1厅 | 89平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,73,"8,203元/平"
