标题,开发商,房子信息,发布信息,售价/万,单价
二楼户型方正，通风采光好，生活便利,民族里(环城西二路) -象山区,1室1厅 | 46.03平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,15.8,"3,433元/平"
电梯房，楼层好， 采光充足，交通便利，四通八达,鹏程金色城市 -灵川,2室2厅 | 74.24平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,37.5,"5,052元/平"
此房格局好，通风好，采光佳， 视野开阔,欧洲小镇四区 -灵川,3室2厅 | 105.48平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,42.5,"4,030元/平"
成熟配套，步梯3楼，南北朝向精装大三房,七彩锦绣前程 -灵川,3室2厅 | 117.29平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,49,"4,178元/平"
乾景广场，国企开发，绿化好，物业好,联发乾景广场 -叠彩区,3室2厅 | 98.46平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,73.5,"7,465元/平"
兴荣郡带装修三房，户型好南北双阳台，小区人车分流,兴荣郡 -临桂区,3室2厅 | 96.59平米 | 北 | 简装 | 高楼层(共34层)  | 塔楼,0人关注 / 6个月以前发布,61,"6,316元/平"
红本在手，小高层一梯两户，格局好用，可随时过户,冠信幸福美地 -临桂区,4室2厅 | 142.57平米 | 东南 | 毛坯 | 低楼层(共11层)  | 板楼,8人关注 / 一年前发布,59.5,"4,174元/平"
视野开阔，户型方正，价格美丽，配套齐全,滨江8号公馆 -临桂区,3室1厅 | 116.53平米 | 东 | 简装 | 高楼层(共31层)  | 塔楼,0人关注 / 4个月以前发布,51.8,"4,446元/平"
桂林市临桂区彰泰欢乐颂 四房两卫诚心出售 你值得关注,彰泰欢乐颂 -临桂区,4室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 3个月以前发布,68,"5,965元/平"
山水凤凰城 3室1厅 南,山水凤凰城 -临桂区,3室1厅 | 124.55平米 | 南 | 毛坯 | 中楼层(共29层)  | 板塔结合,1人关注 / 8个月以前发布,58,"4,657元/平"
万达广场旁 山水凤凰城2+1房86.53平48万,山水凤凰城 -临桂区,3室2厅 | 86.53平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,6人关注 / 一年前发布,48,"5,548元/平"
七彩小康城3房2厅2卫105平米精装修50万,七彩小康城 -灵川,3室2厅 | 105平米 | 西 东 | 精装 | 高楼层(共4层)  | 板塔结合,4人关注 / 一年前发布,52,"4,953元/平"
聚福苑 3房2厅2卫 4.5米大客厅 产权135平,聚福苑 -灵川,3室1厅 | 134.62平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,45,"3,343元/平"
慧佳城清水四房65万 采光通风好,慧佳城 -临桂区,4室2厅 | 119平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,65,"5,463元/平"
万达华府三房两厅一卫电梯毛坯房,万达华府西区 -七星区,3室2厅 | 132.62平米 | 东南 | 毛坯 | 低楼层(共15层)  | 板塔结合,1人关注 / 一年前发布,138,"10,406元/平"
奥林匹克花园府悦世家西区毛坯大三房。山景房,府悦世家 -临桂区,3室2厅 | 122.7平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,1人关注 / 10个月以前发布,97,"7,906元/平"
七星区会仙路成熟地段 国学府清水3房 朝南 170万急售,桂林国学府 -七星区,3室2厅 | 121.39平米 | 南 北 | 毛坯 | 低楼层(共13层)  | 暂无数据,1人关注 / 7个月以前发布,166,"13,675元/平"
印象桂林大三房，房龄新户型好！小区环境好交通方便！,碧园•印象桂林 -临桂区,3室2厅 | 127.73平米 | 北 | 毛坯 | 高楼层(共29层)  | 板塔结合,1人关注 / 5个月以前发布,55,"4,306元/平"
户型 方正，小区环境优美，交通便 利,花样年花样城二期 -临桂区,3室2厅 | 114.65平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,2人关注 / 6个月以前发布,51,"4,449元/平"
桂林临桂新区，兴荣郡大三房 中间楼层 大阳台,兴荣郡 -临桂区,3室2厅 | 118.33平米 | 北 | 毛坯 | 中楼层(共32层)  | 塔楼,7人关注 / 一年前发布,54.2,"4,581元/平"
乐群  信义路 2009年建 精装3房，可公积金贷,信义路 -秀峰区,3室1厅 | 101.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,105,"10,312元/平"
佳和花园满五不唯一精装修好楼层产权清晰随时看房,佳和花园 -临桂区,3室2厅 | 106平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,48,"4,529元/平"
奥林匹克顶层挑空阁楼出行方便使用面积190,奥林匹克花园雅典阳光 -临桂区,3室2厅 | 131.84平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,42,"3,186元/平"
房子满5唯一，临桂新区CBD地段。吾悦，万达。,鑫隆公园大地 -临桂区,3室2厅 | 141.26平米 | 西南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,60,"4,248元/平"
临桂区碧园印象桂林电梯3房  诚意出售,碧园•印象桂林 -临桂区,3室2厅 | 112.11平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,1人关注 / 7个月以前发布,54,"4,817元/平"
荣和林溪府联排别墅五房前后大花园带车位露台,荣和林溪府•和墅•尊府 -秀峰区,5室3厅 | 159.35平米 | 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,4人关注 / 10个月以前发布,255,"16,003元/平"
浩瀚君临华庭大三房，楼层好采光充足，地段好交通便,瀚浩君临华庭 -临桂区,3室2厅 | 110.13平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,48,"4,359元/平"
碧园印象桂林毛坯三房中楼层随时看房,碧园•印象桂林 -临桂区,3室2厅 | 104.95平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,14人关注 / 一年前发布,50,"4,765元/平"
临桂新区，麓湖国际三房，采光好，湖景房，户型方正,花样年•麓湖国际 -临桂区,3室2厅 | 100.37平米 | 西南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,66,"6,576元/平"
兴汇城3房现房出售.随时看房....,兴汇城 -临桂区,3室2厅 | 119.24平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,69,"5,787元/平"
奥林匹克悉尼蓝湾大三房 湖景房 有车位,奥林匹克花园悉尼蓝湾 -临桂区,3室2厅 | 132.37平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,31人关注 / 一年前发布,62,"4,684元/平"
红本在手，诚心出售，看房方便。,花样年•麓湖国际 -临桂区,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,63,"5,295元/平"
诚心出售此房，南北格局，出行方便。  急售,新城国奥小区 -临桂区,4室2厅 | 275.44平米 | 南 北 | 毛坯 | 低楼层(共19层)  | 板楼,10人关注 / 一年前发布,159.9,"5,806元/平"
秀峰区华润万象城旁林溪府三房。,荣和林溪府雅琴 -秀峰区,3室2厅 | 88平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 板塔结合,28人关注 / 一年前发布,80.2,"9,114元/平"
好楼层，户型方正，采光好，价格实惠,花样年•麓湖国际 -临桂区,3室1厅 | 97.75平米 | 东 东南 南 西南 西 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 6个月以前发布,58,"5,934元/平"
西城新天地：房东亏本出售大3房,西城新天地 -临桂区,3室2厅 | 123.69平米 | 东南 | 简装 | 中楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,59,"4,770元/平"
3680/平的7层洋楼3房2卫41万,真龙茗苑 -临桂区,3室2厅 | 114.12平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,40,"3,506元/平"
兴汇城 3室2厅 南,兴汇城 -临桂区,3室2厅 | 113.05平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 一年前发布,60.5,"5,352元/平"
麓湖国际户型方正采光好小三房出售,花样年•麓湖国际 -临桂区,3室2厅 | 87.47平米 | 东南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 3个月以前发布,41,"4,688元/平"
诚心出售此房，南北格局，出行方便。  急售,新城国奥小区 -临桂区,4室2厅 | 275.44平米 | 南 北 | 毛坯 | 低楼层(共19层)  | 板楼,10人关注 / 一年前发布,159.9,"5,806元/平"
老城区 金水路中 出行方便 大三房 户型方正,石油公司大院 -临桂区,3室2厅 | 127.89平米 | 北 | 简装 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,43.5,"3,402元/平"
急出售.碧园香槟小镇.户型方正，采光通风效果好,碧园•香槟小镇 -临桂区,3室2厅 | 97.95平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 7个月以前发布,48,"4,901元/平"
业主急卖麓湖国际好楼层电梯4房2厅2卫,花样年•麓湖国际 -临桂区,4室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 6个月以前发布,55,"4,662元/平"
麓湖国际看湖大小区3+1房  有证无贷,花样年•麓湖国际 -临桂区,4室2厅 | 120.34平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,65,"5,402元/平"
漓江边 69.5万电梯三层复式 漓江明珠 理想安居的家,漓江明珠 -灵川,5室2厅 | 179.8平米 | 东南 | 毛坯 | 高楼层(共16层)  | 板塔结合,8人关注 / 7个月以前发布,69.5,"3,866元/平"
叠彩区，恒大江湾精装修大3房，带大露台,恒大江湾 -叠彩区,3室2厅 | 120.22平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 6个月以前发布,113,"9,400元/平"
满五 大三房带装修 户型方正 有证无贷 急售 步梯3楼,碧水山庄 -临桂区,3室2厅 | 142.75平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,53,"3,713元/平"
漓江边 62万新装3房 刚需实用 彰泰峰誉 视野开阔,彰泰峰誉 -灵川,3室2厅 | 91.59平米 | 东南 | 精装 | 中楼层(共40层)  | 板塔结合,0人关注 / 6个月以前发布,62,"6,770元/平"
全新装修，拎包入住，房子户型方正，采光好，,彰泰城市一号 -临桂区,3室2厅 | 86.7平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,59,"6,806元/平"
麓湖小三房，好楼层，双阳台，视野好！,花样年•麓湖国际 -临桂区,3室2厅 | 89.44平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,17人关注 / 一年前发布,42,"4,696元/平"
花样年•麓湖国际 5室2厅 南 北,花样年•麓湖国际 -临桂区,5室2厅 | 134.82平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,18人关注 / 一年前发布,50,"3,709元/平"
八里三路，一品嘉苑，中装3房，带大露台！,滨都·一品嘉苑 -灵川,3室2厅 | 110.31平米 | 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,52,"4,714元/平"
万达旁碧园印象桂林精装小高层三房,碧园•印象桂林 -临桂区,3室2厅 | 112.82平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,13人关注 / 5个月以前发布,54,"4,787元/平"
欧洲小镇四区3-2-1-2 120.00m² 45 万干 地理位子好,欧洲小镇四区 -灵川,3室2厅 | 119.59平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,38.8,"3,245元/平"
奥林匹克悉尼蓝湾109.8㎡三房两厅两卫,奥林匹克花园悉尼蓝湾 -临桂区,3室2厅 | 109.8平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,4人关注 / 8个月以前发布,56,"5,101元/平"
万达商圈英才 棠棣之华高层4房满五唯一免个税,信昌•棠棣之华 -七星区,4室2厅 | 106.13平米 | 东南 西北 | 精装 | 中楼层(共17层)  | 板楼,21人关注 / 10个月以前发布,111.8,"10,535元/平"
采光通风好，价格*低包含15平杂物间。,广西第一地质队家属院 -临桂区,3室2厅 | 104.99平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,34.5,"3,287元/平"
精装3房中间楼层，南北通透，房子装修好2年很新,兴汇城 -临桂区,3室1厅 | 108.76平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,70,"6,437元/平"
临桂新区 麓湖国际 三房两厅一卫  户型方正 诚心出售,花样年•麓湖国际 -临桂区,3室2厅 | 85.66平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,1人关注 / 4个月以前发布,40.8,"4,764元/平"
宽敞明亮，布局大方，采光好，房子是山景房,滨江8号公馆 -临桂区,3室2厅 | 116.53平米 | 东 | 简装 | 低楼层(共31层)  | 塔楼,0人关注 / 2个月以前发布,58.5,"5,021元/平"
山水凤凰城底复式楼，带花园，诚意出售 价格美丽,山水凤凰城 -临桂区,4室2厅 | 168.76平米 | 北 | 毛坯 | 低楼层(共11层)  | 板楼,6人关注 / 5个月以前发布,74.2,"4,397元/平"
临桂区碧园印象桂林装修3房，诚意出售,碧园•印象桂林 -临桂区,3室2厅 | 128.76平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,54,"4,194元/平"
欢乐颂品质楼盘 中高好楼层 配一个标准车位,彰泰欢乐颂 -临桂区,3室2厅 | 87.59平米 | 东南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,55,"6,280元/平"
彰泰欢乐颂4房2卫业主诚意出售,彰泰欢乐颂 -临桂区,4室2厅 | 114.25平米 | 南 | 其他 | 中楼层(共35层)  | 塔楼,1人关注 / 2个月以前发布,60,"5,252元/平"
耀辉美好家园，房东急售，价格便宜。,耀辉美好家园 -临桂区,3室2厅 | 131.65平米 | 南 | 毛坯 | 低楼层(共12层)  | 板塔结合,0人关注 / 一年前发布,62,"4,710元/平"
万达大都会  洋房 一梯一户 采光通风好,万达大都会•滨江 -临桂区,4室2厅 | 141.26平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,2人关注 / 8个月以前发布,90,"6,372元/平"
房子是三房的，采光不错，空气清新,碧园•印象桂林 -临桂区,3室2厅 | 109.08平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,53,"4,859元/平"
带杂物间，精装修拎包入住，得房率高，天面独自使用。,园丁公寓北区 -临桂区,3室2厅 | 115.4平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 11个月以前发布,45,"3,900元/平"
临桂碧园印象桂林三房  诚意出售,碧园•印象桂林 -临桂区,3室2厅 | 130.4平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,52,"3,988元/平"
房子是三房的，采光不错，空气清新,碧园•印象桂林 -临桂区,3室2厅 | 109.08平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,53,"4,859元/平"
麓湖国际户型方正双阳台三房出售,花样年•麓湖国际 -临桂区,3室2厅 | 92.55平米 | 东南 | 毛坯 | 低楼层(共34层)  | 塔楼,16人关注 / 6个月以前发布,43.5,"4,701元/平"
业主急售，价格美丽成熟小区，入住率高生活方便,山水凤凰城 -临桂区,3室2厅 | 142.48平米 | 北 | 毛坯 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,90,"6,317元/平"
碧园印象桂林大三房  3房2厅2卫毛坯房60.8万,碧园•印象桂林 -临桂区,3室2厅 | 129.45平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 6个月以前发布,54,"4,172元/平"
自住养老都很好。户型方正，采光通风好,鹦鹉路18号 -叠彩区,3室2厅 | 146.74平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,97.5,"6,645元/平"
园林景观 70万电梯3房 阳光叠彩 您理想安居的家,陽光叠彩 -叠彩区,3室2厅 | 110.76平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 6个月以前发布,69.8,"6,302元/平"
彰泰新城精装大3房，带车位带杂物间，有证，诚意出售,彰泰新城 -临桂区,3室2厅 | 143平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,2人关注 / 5个月以前发布,85,"5,945元/平"
房东急售，中间好楼层，三房，朝南户型,兴盛爱地社区 -临桂区,3室2厅 | 89平米 | 东北 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 5个月以前发布,36.5,"4,102元/平"
华润万象城旁耀和荣欲精装4房拎包入住家电家具都有,耀和荣裕 -秀峰区,3室2厅 | 131.29平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,105,"7,998元/平"
房子楼层好，户型方正，小区绿化好，物业好,彰泰公园1号 -临桂区,3室2厅 | 121.7平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,1人关注 / 3个月以前发布,67,"5,506元/平"
耀辉美好家园，房东急售，价格便宜。,耀辉美好家园 -临桂区,3室2厅 | 131.65平米 | 南 | 毛坯 | 低楼层(共12层)  | 板塔结合,0人关注 / 一年前发布,62,"4,710元/平"
国奥城  顶楼复式  毛坯房  业主急售,国奥城 -叠彩区,3室2厅 | 114.01平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,122.6,"10,754元/平"
任意设计装修   采光很好   布局合理,南洲1号 -灵川,3室2厅 | 143.9平米 | 南 | 其他 | 高楼层(共23层)  | 板塔结合,1人关注 / 7个月以前发布,65,"4,518元/平"
精装修2房，无贷款，拎包入住，随时可以过户,奥林匹克花园雅典阳光 -临桂区,2室2厅 | 71.38平米 | 东 | 其他 | 低楼层(共32层)  | 板楼,2人关注 / 8个月以前发布,35,"4,904元/平"
秀峰‘    荣和   榕湖   万象,荣和林溪府•和墅•尊府 -秀峰区,4室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,7人关注 / 一年前发布,146,"10,210元/平"
八里一路一品嘉苑毛坯低价出售带车库,滨都·一品嘉苑 -灵川,3室2厅 | 106.07平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,50.5,"4,762元/平"
金桥水岸3房2厅2卫1厨 ，南北向，楼间距宽， 46.5万,彰泰金桥水岸 -临桂区,3室2厅 | 94.01平米 | 北 | 毛坯 | 低楼层(共23层)  | 暂无数据,1人关注 / 4个月以前发布,46.5,"4,947元/平"
步梯房四楼，简单装修，户型方正，实用方便,碧园•印象桂林 -临桂区,3室1厅 | 128.76平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,48,"3,728元/平"
华骊茗城精装3房可拎包入住 旁边是农贸市场,碧园华骊茗城 -临桂区,3室2厅 | 97.89平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,46,"4,700元/平"
房子急售，红本在手，带车位，带车位,宜和云天 -临桂区,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,61,"4,693元/平"
灵川碧桂园，128平，4房，精装房，58万！,灵川碧桂园 -灵川,4室1厅 | 128平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,58.5,"4,571元/平"
电梯七层洋楼3680/平3房2卫40.5万,真龙茗苑 -临桂区,3室2厅 | 111.66平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,42.11,"3,772元/平"
七星区金地怡和东岸，电梯毛坯三房，实在价格诚意出售,金地怡和东岸 -七星区,3室2厅 | 103.27平米 | 东南 | 毛坯 | 中楼层(共12层)  | 板楼,9人关注 / 4个月以前发布,74,"7,166元/平"
金桥水岸，有车位，好楼层，视野开阔，看江景，看山景,彰泰金桥水岸 -临桂区,3室2厅 | 85.48平米 | 南 | 毛坯 | 中楼层(共23层)  | 塔楼,5人关注 / 5个月以前发布,38,"4,446元/平"
沃尔玛后面  凤集旁边  3房急售,抗战路9号 -叠彩区,3室2厅 | 99.04平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,44,"4,443元/平"
房子户型好，采光好，家具家电齐全！带阳台！,1号公馆 -灵川,3室2厅 | 111.01平米 | 东南 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,39,"3,514元/平"
九龙花园交通方便  采光好 环境好 近高铁,九龙花园 -灵川,3室2厅 | 118.31平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,56,"4,734元/平"
一线江景房，视野宽阔，采光充足，带车位,兴汇城 -临桂区,3室2厅 | 113.01平米 | 北 | 毛坯 | 中楼层(共30层)  | 板楼,1人关注 / 一年前发布,63.5,"5,619元/平"
看湖，双阳台，视野开阔，2梯2户,花样年•麓湖国际 -临桂区,3室2厅 | 124.56平米 | 东北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,83,"6,664元/平"
九龙花园交通方便  采光好 环境好 近高铁,九龙花园 -灵川,3室2厅 | 118.31平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,56,"4,734元/平"
彰泰峰誉3房2厅2卫1厨，112平55万,彰泰峰誉 -灵川,3室2厅 | 112.66平米 | 西南 | 毛坯 | 低楼层(共48层)  | 板塔结合,14人关注 / 8个月以前发布,53,"4,705元/平"
此房独门独院，带院子，动静分离，南北通风,水榭花都 -灵川,4室2厅 | 123.2平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,85,"6,900元/平"
比房户型方正，采光视野好，生话配套齐全。,云顶御峰 -临桂区,2室2厅 | 82.77平米 | 西南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,36,"4,350元/平"
芦笛粮油小区三房两厅一卫带客厅岀去平层20平米露台,粮油小区 -叠彩区,3室2厅 | 87.3平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,9人关注 / 一年前发布,48,"5,499元/平"
中山北路芳华路段小区电梯房三房两厅两卫130平,中山北路171号 -叠彩区,3室2厅 | 130.09平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,85,"6,534元/平"
联发欣悦，毛坯房大三房。楼层好采光好,联发欣悦 -叠彩区,3室2厅 | 98.28平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,70,"7,123元/平"
长岛16区135平电梯大三房57万急售。,桂林长岛16区 -临桂区,3室2厅 | 136.02平米 | 东南 | 毛坯 | 高楼层(共12层)  | 板楼,0人关注 / 3个月以前发布,57,"4,191元/平"
三星大厦 正规三房 户型方正，居住、办公皆宜,三星大厦 -七星区,3室2厅 | 104.37平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,2人关注 / 一年前发布,88.8,"8,509元/平"
户型方正 拎包入住 证件齐全 业主诚心出售 随时看房,山水凤凰城 -临桂区,3室2厅 | 97.49平米 | 东北 | 简装 | 中楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,46,"4,719元/平"
精通伊顿109平三房两卫毛坯，业主诚心出售！,精通伊顿国际 -临桂区,3室2厅 | 109.56平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,52,"4,747元/平"
时代枫林精装大三房 好楼层 拎包入住！,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 105.84平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,5人关注 / 5个月以前发布,65.8,"6,217元/平"
临桂精装大四房，满五唯一有证无贷！有车位带杂物间！,农业农村局家属院 -临桂区,4室2厅 | 158.24平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,66,"4,171元/平"
麓湖国际剑桥郡湖景毛坯三房两卫中高好楼层,花样年•麓湖国际 -临桂区,3室2厅 | 100.37平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,52.5,"5,231元/平"
时代枫林美食街   精装3房两厅两卫,时代枫林（时代枫林商贸城） -临桂区,3室1厅 | 121.96平米 | 北 | 精装 | 高楼层(共29层)  | 暂无数据,3人关注 / 一年前发布,76.8,"6,298元/平"
3+1房，视野好，格局方正实用，通风采光好,兴荣郡 -临桂区,3室2厅 | 95.82平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,54.8,"5,720元/平"
七星区万达商圈成熟社区电梯顶楼复式房东急售231万,东晖国际公馆 -七星区,6室4厅 | 284.17平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,2人关注 / 10个月以前发布,231,"8,129元/平"
户型方正，南北通透，好停车，带杂物间,桂容小区 -七星区,3室1厅 | 71.02平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,4人关注 / 11个月以前发布,50,"7,041元/平"
碧园印象桂林  东南朝向 大三房业主62万诚心出售,碧园•印象桂林 -临桂区,3室2厅 | 120平米 | 东 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,60,"5,000元/平"
一院两馆吾悦万达，经典3房2卫，带车位，中间好楼层,彰泰城市一号 -临桂区,3室2厅 | 90.73平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,4人关注 / 10个月以前发布,55,"6,062元/平"
秀峰   荣和    榕湖四房两厅一厨两卫,荣和林溪府•和墅•尊府 -秀峰区,4室2厅 | 144平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,4人关注 / 一年前发布,156,"10,834元/平"
桂林市 象山区  万福广场 御林湾 联达山与城 清水房,联达山与城 -象山区,3室2厅 | 113.31平米 | 东南 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,72.6,"6,408元/平"
广安道3号4房，停车很方便秀峰区万象城，小区内宽敞,广安道3号小区 -秀峰区,4室2厅 | 148.14平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,110,"7,426元/平"
象山区汽车南站润鸿水尚普罗旺斯旁金地球精装3房推荐,桂林金地球汽车农机配件大市场 -象山区,3室2厅 | 108.38平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,51.5,"4,752元/平"
高新万达广场 清水3房，电梯高层，三面采光,栖霞府北苑 -七星区,3室2厅 | 89平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,78,"8,765元/平"
吾悦旁边，中间楼层，朝南采光好，看房方便,鑫隆公园大地 -临桂区,2室2厅 | 88.27平米 | 南 | 简装 | 中楼层(共24层)  | 板塔结合,0人关注 / 8个月以前发布,41.8,"4,736元/平"
润鸿水尚 一梯两户湖景大三房急卖,润鸿•水尚 -象山区,3室2厅 | 131.57平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,10人关注 / 6个月以前发布,57.8,"4,394元/平"
楼栋楼层都很好，视野开阔，看山水公园美景,彰泰城市一号 -临桂区,3室2厅 | 110.74平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,67.3,"6,078元/平"
满五年 唯一 户型方正 实用面积大 采光好业主诚心卖,市检察院公寓 -秀峰区,4室2厅 | 156.91平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 暂无数据,7人关注 / 一年前发布,110,"7,011元/平"
