标题,开发商,房子信息,发布信息,售价/万,单价
豪庭御都 3室2厅 南 北,豪庭御都 -北湖区,3室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 7天以前发布,126,"7,975元/平"
忠心闸社区(济安桥南路) 2室1厅 南,忠心闸社区(济安桥南路) -南池区,2室1厅 | 48.9平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,23,"4,704元/平"
置城八号公馆  一室一厅一厨一卫  大产权,置城八号公馆 -济北区,1室1厅 | 57平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,14人关注 / 一年前发布,52,"9,123元/平"
外滩大公馆 2室1厅 南,外滩大公馆 -南池区,2室1厅 | 92平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,9人关注 / 11个月以前发布,66,"7,174元/平"
豪庭御都精装修南北通透户型方正宽敞明亮,豪庭御都 -北湖区,2室2厅 | 125平米 | 南 北 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 11个月以前发布,98,"7,840元/平"
此房是中间楼层 采光好 可贷款有钥匙方便看,杨柳国际新城J区 -济北区,2室2厅 | 105.6平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,1人关注 / 10个月以前发布,57,"5,398元/平"
业主急售，急售，看房方便，价格美丽,杨柳国际新城J区 -济北区,2室2厅 | 118.16平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,9人关注 / 9个月以前发布,62,"5,248元/平"
急售给钱就卖，精装两居纯领包入住，婚房急住SHou 选,龙城7090社区 -南池区,2室1厅 | 86平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2人关注 / 5个月以前发布,67,"7,791元/平"
南池公园西汇景园两室一厅精装带储,南池汇景园小区 -南池区,2室2厅 | 86.5平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,75,"8,671元/平"
此房为小高层顶层复式有储藏室户型方正前后距离不遮挡,豪庭御都 -北湖区,4室2厅 | 180平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 塔楼,8人关注 / 5个月以前发布,140,"7,778元/平"
杨柳国际新城J区 2室2厅 南 北,杨柳国际新城J区 -济北区,2室2厅 | 121平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,66,"5,455元/平"
过了一次户税少，诚心出售，好楼层精装修,杨柳国际新城J区 -济北区,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,5人关注 / 6个月以前发布,61,"5,170元/平"
龙翔御庭精装修二室二厅，中间楼层，户型设计合理,龙翔御庭 -济北区,2室2厅 | 97平米 | 南 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 9个月以前发布,89,"9,176元/平"
金城▪锦绣前城 2室2厅 南 北,金城▪锦绣前城 -西城区,2室2厅 | 103.57平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,85,"8,208元/平"
岗山苑简单装修   好楼层   68平27万有钥匙看房方便,岗山苑 -邹城市,2室1厅 | 68平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,27,"3,971元/平"
金色兰庭大两室  沿河观景房 房主因外地置业忍痛割爱,华都·金色兰庭 -济北区,2室2厅 | 94.42平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 10个月以前发布,79,"8,367元/平"
此房香堤新交房，小区环境好物业到位，房东chu税,金色兰庭香堤 -济北区,3室2厅 | 106平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,1人关注 / 1个月以前发布,91,"8,585元/平"
新陆苑一室一厅适  合陪读 老年人居住45平21万,新陆苑 -邹城市,1室1厅 | 45平米 | 南 | 简装 | 中楼层(共4层)  | 平房,2人关注 / 一年前发布,19,"4,223元/平"
太白小区，非顶，小两室，总价低，两室朝阳，视野好,太白小区 -南池区,2室2厅 | 52平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,39.5,"7,597元/平"
济宁孝养城 3室2厅 南,济宁孝养城 -南池区,3室2厅 | 100.3平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,6人关注 / 8个月以前发布,92,"9,173元/平"
高层电梯房 三室 有证 二实小六中挨着,圣地雅阁 -邹城市,3室2厅 | 119.26平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,5人关注 / 一年前发布,83,"6,960元/平"
燕京花园 3室2厅 南,燕京花园 -邹城市,3室2厅 | 118平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,68,"5,763元/平"
小区已洋房别墅为主，户型合理，园林式绿化。,中南瑞马樾府 -南池区,4室2厅 | 170平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 7个月以前发布,269,"15,824元/平"
急售恒兴经典三室两厅精装修有车位储藏室随时看房,恒兴经典 -邹城市,3室2厅 | 94平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,112,"11,915元/平"
薛口家园北区 3室2厅 南 北,薛口家园北区 -济北区,3室2厅 | 89.33平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,5人关注 / 6个月以前发布,105,"11,755元/平"
鴻顺·運河新城 3室2厅 南 北,鴻顺·運河新城 -西城区,3室2厅 | 100.3平米 | 南 北 | 简装 | 高楼层(共22层)  | 板楼,1人关注 / 1个月以前发布,85,"8,475元/平"
凤凰城C区，三室精装修房子，刚需房子，有储，看房约,鳳凰城C区 -南池区,3室1厅 | 103平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,55人关注 / 7个月以前发布,78,"7,573元/平"
长虹小区 4室2厅 南,长虹小区 -济北区,4室2厅 | 173.83平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,12人关注 / 3个月以前发布,75,"4,315元/平"
户型布局合理 客厅宽敞，格局明朗，周区配套商圈成熟,五金公司家属院 -邹城市,3室2厅 | 135平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,73,"5,408元/平"
高新区科技馆 大地都市美郡 核芯地段 大三室,大地都市美郡 -高新区,3室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,1人关注 / 8个月以前发布,135,"9,441元/平"
地质公司家属院 2室2厅 南 北,地质公司家属院 -邹城市,2室2厅 | 66平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,42,"6,364元/平"
西岸华府126平三室两厅一厨一卫毛坯房 好楼层,西岸华府 -西城区,3室2厅 | 123.3平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,85,"6,894元/平"
非顶层 全明三居室 带储 停车方便 价可议,国光新苑 -任城区,3室1厅 | 84.09平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,65,"7,730元/平"
房主诚心卖房，已装修，三室两厅南北格局，储藏间,文博苑 -邹城市,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 10个月以前发布,140,"10,145元/平"
颂运水庭A区 3室2厅 南,颂运水庭A区 -北湖区,3室2厅 | 124平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,5人关注 / 8个月以前发布,94,"7,581元/平"
高楼层满两年 精装修 可贷款 三师500米 2室改3室,鸿顺观邸 -北湖区,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,95,"9,224元/平"
九巨龙·华欣苑 3室2厅 南 北,九巨龙·华欣苑 -南池区,3室2厅 | 97.04平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 1个月以前发布,90,"9,275元/平"
格局合理，采光好，居住舒适，配套齐全，生活方便。,鳳凰城C区 -南池区,3室2厅 | 112.36平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,4人关注 / 4个月以前发布,130,"11,570元/平"
泰和家园92平三室二厅精装修有证能贷款,邹城泰和佳园 -邹城市,3室2厅 | 92平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,73,"7,935元/平"
湖畔云庐 一楼带大院子，带车位，带负一层,城投绿城·湖畔雲庐 -北湖区,3室2厅 | 137平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,326,"23,796元/平"
精装修房东诚心出售 没有浪费空间,鸿顺观邸 -北湖区,4室2厅 | 191.2平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,190,"9,938元/平"
精品飞机户型 房东诚心出售 2室朝阳,京杭佳苑B区 -北湖区,3室1厅 | 124平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,2人关注 / 4个月以前发布,86,"6,936元/平"
鲁商运河公馆精装大三室  南北格局 有车储 看房方便,鲁商运河公馆 -南池区,3室2厅 | 130.11平米 | 北 南 | 精装 | 中楼层(共34层)  | 板楼,4人关注 / 4个月以前发布,150,"11,529元/平"
京杭佳苑  单价7000多点 有证可贷款  看房方便,京杭佳苑F区 -北湖区,3室2厅 | 125平米 | 南 北 | 简装 | 高楼层(共26层)  | 暂无数据,33人关注 / 8个月以前发布,86,"6,880元/平"
城投鹿港三室两厅两卫满二户型方正无遮挡观景楼层,城投鹿港 -北湖区,3室2厅 | 128.8平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,120,"9,317元/平"
十三中 两室中间楼层 此房满五唯一,大地•都市春天 -济北区,2室1厅 | 97.12平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,126,"12,974元/平"
锦绣花园，毛坯三室，楼层好，价格低，公园旁,锦绣花园 -万达区,3室2厅 | 92平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,71.5,"7,772元/平"
翠都国际 三室精装修 南北通透 112平 80万 诚信出售,翠都国际一期 -济北区,3室2厅 | 112.04平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,102人关注 / 一年前发布,76,"6,784元/平"
华硕天韵，带装修，看房方便有钥匙，诚心出售！,华硕天韵 -济北区,3室2厅 | 148平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,18人关注 / 一年前发布,159,"10,744元/平"
汇翠园A区 4室2厅 南 北,汇翠园A区 -济北区,4室2厅 | 155平米 | 南 北 | 简装 | 中楼层(共10层)  | 暂无数据,0人关注 / 2个月以前发布,190,"12,259元/平"
华欣苑（曼哈顿）东边户，采光好视野好，带储藏室,九巨龙·华欣苑 -南池区,3室2厅 | 113.14平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,3人关注 / 7个月以前发布,98,"8,662元/平"
杨柳国际新城E区 客厅有大窗户  两室向阳 采光充足,杨柳国际新城E区 -济北区,3室2厅 | 85.92平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,60,"6,984元/平"
欧隆盛源精装四室 户型方正 精装修 房况优质,欧隆盛源 -济北区,4室2厅 | 160.8平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,11人关注 / 5个月以前发布,116,"7,214元/平"
锦绣花园，毛坯三室，楼层好，价格低，公园旁,锦绣花园 -万达区,3室2厅 | 92平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,71.5,"7,772元/平"
大地都市美郡 4室2厅 南 北,大地都市美郡 -高新区,4室2厅 | 159.35平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,133,"8,347元/平"
中医院家属院 低层 有储藏室好停 四中杏小挨着好上学,邹城市中医院家属院 -邹城市,2室2厅 | 69.33平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 10个月以前发布,41,"5,914元/平"
晨阳庄园北区 2室2厅 西南,晨阳庄园北区 -西城区,2室2厅 | 98.97平米 | 西南 | 精装 | 低楼层(共22层)  | 板塔结合,4人关注 / 8个月以前发布,88,"8,892元/平"
房东诚心出售 单价低 楼层好 采光无遮挡,冠鲁明德花园 -北湖区,3室1厅 | 131平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,3人关注 / 6个月以前发布,103,"7,863元/平"
中泰名城 3室1厅 南,中泰名城 -西城区,3室1厅 | 98平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,21人关注 / 4个月以前发布,35,"3,572元/平"
城投鹿港三室两厅两卫满二户型方正无遮挡观景楼层,城投鹿港 -北湖区,3室2厅 | 128.8平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,120,"9,317元/平"
京杭佳苑  单价7000多点 有证可贷款  看房方便,京杭佳苑F区 -北湖区,3室2厅 | 125平米 | 南 北 | 简装 | 高楼层(共26层)  | 暂无数据,33人关注 / 8个月以前发布,86,"6,880元/平"
华硕天韵，带装修，看房方便有钥匙，诚心出售！,华硕天韵 -济北区,3室2厅 | 148平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,18人关注 / 一年前发布,159,"10,744元/平"
满五的优质房源，精装修，带车位,华都·金色兰庭 -济北区,3室2厅 | 101.66平米 | 东南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,95,"9,345元/平"
警韵之家 车位储藏室 中间楼层 随时看房,警韵之家 -济北区,3室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,7人关注 / 4个月以前发布,169,"12,519元/平"
十三中 两室中间楼层 此房满五唯一,大地•都市春天 -济北区,2室1厅 | 97.12平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,126,"12,974元/平"
翠都国际 三室精装修 南北通透 112平 80万 诚信出售,翠都国际一期 -济北区,3室2厅 | 112.04平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,102人关注 / 一年前发布,76,"6,784元/平"
刘庄小区 中间楼层 随时过户。急售,刘庄小区 -万达区,3室1厅 | 75.7平米 | 南 北 | 简装 | 中楼层(共5层)  | 平房,0人关注 / 2个月以前发布,88,"11,625元/平"
满五唯一，业主诚心出售，户型方正，中间楼层,冠亚星城 -济北区,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 1个月以前发布,105,"9,293元/平"
新交房精装未住，视野开阔，采光充足，交通便利,南池春晓 -南池区,3室2厅 | 127.78平米 | 南 | 精装 | 低楼层(共23层)  | 暂无数据,29人关注 / 4个月以前发布,106,"8,296元/平"
精装修！有车库！诚心出售！可以满五唯一！,开泰花园 -西城区,2室2厅 | 89.06平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,26人关注 / 8个月以前发布,72,"8,085元/平"
吉安小区2楼3室1厅72平 储藏室14平 满五唯一,吉安小区 -南池区,3室1厅 | 72平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,69,"9,584元/平"
金山花园电梯洋房四室两厅两卫 将装修 拎包入住,金山花园 -邹城市,4室2厅 | 174平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,146,"8,391元/平"
房东诚心出售 价格合适 小区得房率高,望月湾 -南池区,3室1厅 | 110.7平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,95,"8,582元/平"
看房方便；；证满五年；过户费低,天拓家园住宅小区 -邹城市,3室2厅 | 110.8平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,75,"6,769元/平"
此房，通风效果好，户型合理，楼层好，采光好,开泰花园 -西城区,3室1厅 | 84平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,67.5,"8,036元/平"
一楼带院， 户型方正，视野开阔，闹市取静,华城勝景西苑 -万达区,3室1厅 | 109平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,13人关注 / 一年前发布,123,"11,285元/平"
碧桂园精装小三室 刚需适合小两口结婚居住 看房方便,碧桂园济州府领誉 -高新区,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共16层)  | 暂无数据,1人关注 / 4个月以前发布,125,"10,331元/平"
碧桂园云地天启144平单梯入户全屋定制精装 价格可议,碧桂园云地天启 -邹城市,4室2厅 | 144平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,155,"10,764元/平"
商品房 满五唯一 有证可贷款 随时可看 诚心出售,圣华园 -济北区,3室2厅 | 73.5平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,40,"5,443元/平"
铁塔寺 一楼带院 南北通风 院子外开门 好停车,文大街小区 -西城区,3室1厅 | 88平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,106,"12,046元/平"
业主诚意出售，户型方正，采光好，两居室,华都·金色兰庭 -济北区,3室1厅 | 106.41平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,9人关注 / 11个月以前发布,85,"7,988元/平"
精装修 带车位储，家具家电 三室两厅 税费少,鲁商运河公馆 -南池区,3室2厅 | 115.3平米 | 南 | 精装 | 低楼层(共34层)  | 暂无数据,19人关注 / 7个月以前发布,115,"9,974元/平"
精装修 带车位储，家具家电 三室两厅 税费少,鲁商运河公馆 -南池区,3室2厅 | 115.3平米 | 南 | 精装 | 低楼层(共34层)  | 暂无数据,19人关注 / 7个月以前发布,115,"9,974元/平"
此房子采光好，全明户型，小区地理位置优越,红星小区 -万达区,2室1厅 | 57.85平米 | 东 东南 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,48.5,"8,384元/平"
三室户型，采光好。好楼层。公摊小。总价低,玖玺天鹅堡 -高新区,3室2厅 | 89.16平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,83,"9,310元/平"
杨柳国际新城k区 3室2厅 南,杨柳国际新城k区 -济北区,3室2厅 | 115平米 | 南 | 其他 | 低楼层(共19层)  | 平房,0人关注 / 27天以前发布,80,"6,957元/平"
南向阳光充足，精装修即买就行，两室一厅户型方正,玺悦公馆 -万达区,2室1厅 | 55.21平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,2人关注 / 16天以前发布,37,"6,702元/平"
鸿顺济邹花园 2室1厅 南,鸿顺济邹花园 -万达区,2室1厅 | 67.57平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,63,"9,324元/平"
满五唯一，边户有储，底楼层 南北通透,温馨家园(新华路) -西城区,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,55,"6,875元/平"
公园小区·低楼层两室一厅带储藏室,公园小区 -邹城市,2室1厅 | 62.18平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,26,"4,182元/平"
龙玺·香醍溪谷 3室2厅 南 北,龙玺·香醍溪谷 -兖州区,3室2厅 | 151.4平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,138,"9,115元/平"
牛屯居委住宅楼 3室1厅 南,牛屯居委住宅楼 -南池区,3室1厅 | 90平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,6人关注 / 4个月以前发布,43,"4,778元/平"
凤凰·怡居佳苑 2室1厅 南 北,凤凰·怡居佳苑 -南池区,2室1厅 | 73平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,75,"10,274元/平"
中间楼层 飞机户型 采光通风好 带储藏室,豪庭御都 -北湖区,2室1厅 | 122.07平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 塔楼,0人关注 / 3个月以前发布,108,"8,848元/平"
中垠悦城 2室2厅 南,中垠悦城 -高新区,2室2厅 | 83平米 | 南 | 毛坯 | 低楼层(共22层)  | 塔楼,0人关注 / 一年前发布,73,"8,796元/平"
铁塔寺小区 2楼带楼台   两室一厅精装修 出售,铁塔寺小区 -西城区,2室1厅 | 49平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,57,"11,633元/平"
御景园(任城区) 2室1厅 南 北,御景园(任城区) -南池区,2室1厅 | 76.3平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,74,"9,699元/平"
中间楼层，精装修，业主包税 看房随时,长安花园 -西城区,2室2厅 | 90平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,75,"8,334元/平"
宁苑小区 2室1厅 南,宁苑小区 -南池区,2室1厅 | 86.6平米 | 南 | 其他 | 低楼层(共12层)  | 暂无数据,4人关注 / 6个月以前发布,78,"9,007元/平"
上山街独门独院上下两层 四室一厅83平 85万,上山街 -邹城市,4室1厅 | 83平米 | 南 | 简装 | 低楼层(共2层)  | 暂无数据,6人关注 / 10个月以前发布,85,"10,241元/平"
金色兰庭香堤、经典小三室、南北通透、户型合理、急售,金色兰庭香堤 -济北区,3室2厅 | 106平米 | 南 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 8个月以前发布,88,"8,302元/平"
瑞马名门 3室2厅 南,瑞马名门 -济北区,3室2厅 | 114.3平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,45人关注 / 5个月以前发布,86,"7,525元/平"
豪庭御都 四室 小高层一梯一户 全款签一手合同,豪庭御都 -北湖区,4室1厅 | 172.8平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,13人关注 / 一年前发布,130,"7,524元/平"
峄化小区  简单装修 78平  48万  带储藏室,峄化小区 -邹城市,3室1厅 | 78平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,48,"6,154元/平"
平安花园 毛坯2室 任意装修急售南杨庄翠都,平安花园社区 -济北区,2室2厅 | 103平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,52.8,"5,127元/平"
煤气公司家属院 三室两厅  低楼层精装修  二实小近,煤气公司家属院 -邹城市,3室2厅 | 83.5平米 | 南 | 简装 | 低楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,68.8,"8,240元/平"
西关对过县社小区 好楼层  2室1厅,县社小区 -邹城市,2室1厅 | 83.5平米 | 东南 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 4个月以前发布,51,"6,108元/平"
房东诚心出售，三室两厅，户型方正，看房方便,京杭佳苑B区 -北湖区,3室2厅 | 125平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,5人关注 / 3个月以前发布,75,"6,000元/平"
南池旁纯别墅区大院子的花园洋房，精装修带双车位储,中南瑞马樾府 -南池区,4室2厅 | 173平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,390,"22,544元/平"
方圆忻居精装修单位房人文素质高三室有车位储藏室,方圆忻居 -高新区,3室2厅 | 142平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,16人关注 / 7个月以前发布,116,"8,170元/平"
益民东区 3室2厅 南,益民东区 -西城区,3室2厅 | 70.8平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 4个月以前发布,73,"10,311元/平"
安康小区 3室2厅 南 北,安康小区 -邹城市,3室2厅 | 85平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,2人关注 / 4个月以前发布,55,"6,471元/平"
汇翠园A区 3室2厅 南,汇翠园A区 -济北区,3室2厅 | 146平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,198,"13,562元/平"
华联商厦家属院 3室2厅 南,华联商厦家属院 -邹城市,3室2厅 | 117.57平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 9个月以前发布,68,"5,784元/平"
上山街 3室1厅 南,上山街 -邹城市,3室1厅 | 90平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,1人关注 / 1个月以前发布,70,"7,778元/平"
鳳凰城C区 3室1厅 南 北,鳳凰城C区 -南池区,3室1厅 | 103平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,75,"7,282元/平"
崇文名都 3室2厅 南,崇文名都 -济北区,3室2厅 | 121平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,17人关注 / 6个月以前发布,60,"4,959元/平"
古槐路38-15号 2室1厅 南 北,古槐路38-15号 -西城区,2室1厅 | 86平米 | 南 北 | 其他 | 低楼层(共5层)  | 平房,2人关注 / 8个月以前发布,78,"9,070元/平"
京杭佳苑F三室两厅简单装修南北通透,京杭佳苑F区 -北湖区,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,2人关注 / 8个月以前发布,90,"7,200元/平"
平安花园社区 3室2厅 南 北,平安花园社区 -济北区,3室2厅 | 103平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,56,"5,437元/平"
挨着体育安公园 北兴小区 三室两厅 有证可贷款,北兴小区 -邹城市,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 5个月以前发布,105,"7,343元/平"
华欣苑  好楼层  东门  十五中   房东着急卖 价格可议,九巨龙·华欣苑 -南池区,3室2厅 | 106.96平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,4人关注 / 6个月以前发布,89,"8,321元/平"
碧桂园天绘 精装修 带车位 一梯一户 阳台已封随时看房,城投碧桂园天绘 -北湖区,3室2厅 | 119.3平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 4个月以前发布,124,"10,394元/平"
山东华硕曹庙，楼层低有车库，精装3室107平，地段好。,山东华硕曹庙村 -济北区,3室2厅 | 107平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,109,"10,187元/平"
绿地二期洋房，精装 四室 有车位储藏室,绿地公馆二期 -万达区,4室2厅 | 137平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,7人关注 / 5个月以前发布,175,"12,774元/平"
抢 邮电新苑单位宿舍，好房满五唯一，楼层佳位置棒，,邮电新苑 -济北区,3室1厅 | 94平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,110,"11,703元/平"
菱花富贵园 3室1厅 东,菱花富贵园 -济北区,3室1厅 | 139平米 | 东 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,112,"8,058元/平"
峄化小区 3室1厅 南 北,峄化小区 -邹城市,3室1厅 | 78平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,42,"5,385元/平"
文博苑105平凤凰层三室两厅带车位储藏室,文博苑 -邹城市,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,94,"8,953元/平"
急售 名鉴金地 三室两厅 带车位 好楼层 精装修,名鉴金地 -邹城市,3室2厅 | 129平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,1人关注 / 2个月以前发布,115,"8,915元/平"
薛口育德家园 3室2厅 南 北,薛口育德家园 -济北区,3室2厅 | 105平米 | 南 北 | 其他 | 中楼层(共20层)  | 板塔结合,1人关注 / 3个月以前发布,126,"12,000元/平"
挨着杏花村四 中 精装修 带家具家电好楼层,又一村 -邹城市,3室1厅 | 69平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 2个月以前发布,46,"6,667元/平"
龙玺·香醍溪谷 3室1厅 南,龙玺·香醍溪谷 -兖州区,3室1厅 | 118平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,4人关注 / 4个月以前发布,66.8,"5,662元/平"
