标题,开发商,房子信息,发布信息,售价/万,单价
绿地二期 好房出售 中间楼层 产证满二 可按揭价格便宜,智慧金融城H区 -兰州新区,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,62,"5,863元/平"
天源九号精装两室南北通透大阳台,天源9号 -九州,2室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,2人关注 / 7个月以前发布,96,"9,505元/平"
福福三，82，框架结构  中间楼层 无公摊,西固城建开发小区 -西固城,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,60,"7,500元/平"
单价9000 杨家桥 适合老人住 一室一厅,机车厂四区 -晏家坪,1室1厅 | 37.9平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,30,"7,916元/平"
户型好 采光好配套齐全  出行方便,天庆国际新城 -深沟桥,2室2厅 | 95.83平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 5个月以前发布,104.5,"10,905元/平"
天源九号精装两室南北通透大阳台,天源9号 -九州,2室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,2人关注 / 7个月以前发布,96,"9,505元/平"
兰玻旧区 电梯房  业主诚意出售,兰玻旧区 -西固城,2室1厅 | 82.83平米 | 东 | 其他 | 低楼层(共29层)  | 暂无数据,1人关注 / 4个月以前发布,65,"7,848元/平"
火车站和谐家园电梯房 两室一厅 次新小区 交通便利,和谐家园（火车站东路） -火车站,2室1厅 | 71.93平米 | 东 西 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 3个月以前发布,87,"12,096元/平"
热电小区  精装房 中间楼层 采光好 南北朝向,西固热电小区 -西固城,2室1厅 | 75.47平米 | 北 南 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,75,"9,938元/平"
福福三，82，框架结构  中间楼层 无公摊,西固城建开发小区 -西固城,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,60,"7,500元/平"
百合苑  两室一厅 户型方正 看房方便,百合苑 -西固城,2室1厅 | 100.8平米 | 南 北 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,95,"9,425元/平"
经伟城.两室一厅.一厨一卫.南北通透.采光好.,经纬城 -西固城,2室1厅 | 102.01平米 | 南 北 | 精装 | 中楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,93,"9,117元/平"
康乐路两室一厅  产权清晰  户型方正 交通便利,中石化五建公司家属院 -西固城,2室1厅 | 48.51平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,35,"7,216元/平"
天源九号南北通透精美装修中间楼层,天源9号 -九州,2室1厅 | 101平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,106,"10,496元/平"
玉门街两室一厅框架房！南北通透中间楼层！,厂前小区 -兰炼十字,2室1厅 | 46平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,38,"8,261元/平"
西站仁恒美林郡简单装修采光好一室产权按揭,仁恒美林郡 -金港城,1室0厅 | 47.09平米 | 西 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 10个月以前发布,66,"14,016元/平"
工商局家属院（平凉路） 2室1厅 东 西,工商局家属院（平凉路） -东方红广场,2室1厅 | 75平米 | 东 西 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,115,"15,334元/平"
曦华源小公寓一室一厅精装修产权到位可按揭随时看房,曦华源 -曦华源,1室1厅 | 49.17平米 | 南 | 简装 | 高楼层(共20层)  | 板楼,3人关注 / 5个月以前发布,63.8,"12,976元/平"
电力修造厂东区  一室一厅  产权可按揭  单位房无公摊,电力修造厂东小区（光华街） -金港城,1室1厅 | 38.89平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,42,"10,800元/平"
此房满五不唯一，通透户型方正，配套设施齐全,畅家巷小区 -东方红广场,2室0厅 | 39平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,77,"19,744元/平"
西客站 土门墩地铁口两室一厅南北中间楼层产权可按揭,凯悦华庭二期 -郑家庄,2室1厅 | 98.9平米 | 南 北 | 简装 | 中楼层(共23层)  | 板塔结合,1人关注 / 一年前发布,95,"9,606元/平"
建工东院，2楼家装，诚意出售。价格可以面议,建工东院（建工中街） -建工局,2室1厅 | 71.22平米 | 东 西 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,90,"12,637元/平"
缩水房 户型方正格局好 电梯房 视野开阔诚心出售,建设银行省分行家属院（自信路） -东方红广场,2室2厅 | 99平米 | 东 西 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,133,"13,435元/平"
十里店蓝星花园两室南北精装房首付15万随时看房,蓝星花园 -安宁庭院,2室2厅 | 89.8平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,95,"10,580元/平"
此房满五随时可以过户，单位房，每间房屋都有十几平米,城关区服务公司家属院 -五泉广场,2室0厅 | 40平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,14人关注 / 8个月以前发布,32.5,"8,125元/平"
七里河西站地铁口 阳光家园玫瑰苑 带平台 小高层,阳光家园玫瑰苑 -西站,2室1厅 | 85平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,168,"19,765元/平"
金港城（金宝花园） 2室1厅 南 北,金港城（金宝花园） -金港城,2室1厅 | 81.96平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,7人关注 / 5个月以前发布,80,"9,761元/平"
五泉广场 框架中层好房  南北朝向 2室1厅,康平园小区 -五泉广场,2室1厅 | 63.45平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,68,"10,718元/平"
塑料厂瑞兴园 新电梯房 单价低 产权清晰可以按揭,瑞兴园南区 -兰工坪,2室2厅 | 94.11平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,87,"9,245元/平"
张掖路地铁口永昌路北口框架三楼两室一厅南北通透,供电局木塔巷家属院（木塔巷） -西关南关,2室1厅 | 62.89平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,85,"13,516元/平"
基业豪庭 紧凑两室 户型方正 视野开阔 可按揭,基业豪庭 -雁滩高新区,2室1厅 | 79.11平米 | 东南 北 | 精装 | 低楼层(共14层)  | 板楼,0人关注 / 2个月以前发布,93,"11,756元/平"
十里店干休所3室 主干道 可按揭产权房 看房方便,十里店干休所家属院 -十里店,2室1厅 | 67.9平米 | 南 西 | 简装 | 低楼层(共6层)  | 暂无数据,18人关注 / 9个月以前发布,53,"7,806元/平"
盘旋路 渭源路 地震局家属院  南北通透 采光好可贷款,省地震局家属院（渭源路） -兰大盘旋路,2室2厅 | 75平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,5人关注 / 7个月以前发布,125,"16,667元/平"
首付15万小区环境优美西南两室一厅交通便利海洋世界,铁建丽苑 -建工局,1室2厅 | 51.8平米 | 西南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,57,"11,004元/平"
此房位于中医药后面嘉峪关路 满五唯一正规户型,甘肃省农业大厦家属院 -东部,2室1厅 | 70平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,8人关注 / 4个月以前发布,75,"10,715元/平"
马滩地铁口 全南两室 精装修 前排楼栋 未入住,恒大帝景 -秀川,2室1厅 | 99.55平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 5个月以前发布,118,"11,854元/平"
安居小区 万达大润发商圈 南北通透户型正无浪费可按揭,雁滩安居小区 -万达大润发,2室2厅 | 69.97平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 5个月以前发布,68,"9,719元/平"
明仁花苑 2室1厅 东,明仁花苑 -上西园,2室1厅 | 47.1平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,38,"8,068元/平"
框架广场南口皋兰路平凉路榆中街11学府朝南2室采光优,林业厅家属院（甘南路） -东方红广场,2室0厅 | 56.76平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,86,"15,152元/平"
晏家坪电梯房  精装修  一室一厅  可按揭,建工苑景 -晏家坪,2室1厅 | 69.9平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,66,"9,443元/平"
东部市场后门 两室一厅 电梯新高层,永新家园 -东部,2室1厅 | 80平米 | 东 | 简装 | 中楼层(共31层)  | 板楼,7人关注 / 8个月以前发布,87,"10,875元/平"
大润发两室电梯房 南北通透 户型方正产权清晰可按揭,佳新商住楼 -万达大润发,2室2厅 | 93.24平米 | 南 北 | 简装 | 中楼层(共14层)  | 板塔结合,0人关注 / 9个月以前发布,103,"11,047元/平"
中鹏佳园 2室1厅 南 北,中鹏佳园 -天鹅湖,2室1厅 | 84.34平米 | 南 北 | 其他 | 高楼层(共9层)  | 板楼,1人关注 / 1个月以前发布,60,"7,115元/平"
小区停车方便，适合老人小孩居住,省体委家属院 -东方红广场,2室1厅 | 47平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,65,"13,830元/平"
万达大润发  正规两室  采光好  中间楼层,金运花园 -万达大润发,2室2厅 | 105.78平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 9个月以前发布,83,"7,847元/平"
广场东口 精装一室一厅 3楼 朝南！,春风广场 -兰大盘旋路,1室1厅 | 42.1平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,56,"13,302元/平"
七里河区 西站 明珠家园 单价1.3万 产权清晰 可按揭,明珠家园 -仁恒美林郡,2室1厅 | 93.63平米 | 东 | 简装 | 低楼层(共33层)  | 塔楼,10人关注 / 一年前发布,96,"10,254元/平"
东部市场 永新家园  2012年电梯房  小区环境好  急售,永新家园 -东部,1室1厅 | 54.87平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,55,"10,024元/平"
兰州市检察院雁滩住宅小区 2室2厅 南 北,兰州市检察院雁滩住宅小区 -万达大润发,2室2厅 | 82.7平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,72,"8,707元/平"
海关地铁口新上房源一室一厅一厨一卫,中海凯旋门 -海关,1室1厅 | 51.44平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,64,"12,442元/平"
楼层好 户型方正  朝南户型  日照时间长采光好,天庆莱茵小镇 -北面滩,2室2厅 | 92平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,122,"13,261元/平"
楼层好，采光佳，视野开阔  精装修,兰州国资物业第三佳园 -交大,2室2厅 | 97.68平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,82,"8,395元/平"
优质精装修好房出售、地理位置配套成熟、小区环境优美,铁建丽苑 -建工局,2室2厅 | 86.54平米 | 东 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,96,"11,094元/平"
基业豪庭 电梯两室 纯毛坯 视野开阔 中间楼层 可按揭,基业豪庭 -雁滩高新区,2室2厅 | 89.47平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,3人关注 / 6个月以前发布,97,"10,842元/平"
基业豪庭 电梯两室 精装 视野开阔 中间楼层 可按揭,基业豪庭 -雁滩高新区,2室2厅 | 97.65平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 6个月以前发布,106,"10,856元/平"
西站五十五中首付25万小区环境优美南精装修两室两厅,铁建丽苑 -建工局,2室2厅 | 89.26平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,95,"10,644元/平"
电梯房 落地窗 产权清晰 可按揭 环境优美,五星花园 -五泉广场,2室2厅 | 96平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,75,"7,813元/平"
此房满五唯一，南北通透，精装修拎包入住，前后无遮挡,东湖小区 -段家滩,2室1厅 | 78平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,75,"9,616元/平"
此房位于万达大润发旁，交通便利配套齐全，采光视野好,城关区政府雁滩住宅小区 -万达大润发,2室1厅 | 60.8平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 5个月以前发布,57.6,"9,474元/平"
七里河 杨家桥 两室 业主诚售 价格可谈,机车厂四区 -晏家坪,2室1厅 | 57平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,46,"8,071元/平"
火车站商圈 小区环境优美 停车方便 交通便利 两室两厅,中科院近物所家属院二区（天水南路） -火车站,2室1厅 | 71.6平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 4个月以前发布,93,"12,989元/平"
此房交通便利，楼层也好，视野也好，采光也好,北站小区 -西固城,1室1厅 | 37.5平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,27.5,"7,334元/平"
广场一只船  11 中 楼层好地铁口有小区能停车,甘肃省建材局家属院（平凉路） -兰大盘旋路,2室1厅 | 50平米 | 东南 | 简装 | 中楼层(共6层)  | 板塔结合,30人关注 / 一年前发布,76,"15,200元/平"
安宁区金牛街康桥国际一室一厅好房出售,康桥国际 -交大,1室0厅 | 32.65平米 | 西 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,39,"11,945元/平"
此房户型方正，中间楼层，业主急售,建西西路社区 -龚家湾,2室1厅 | 47平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,8人关注 / 6个月以前发布,33,"7,022元/平"
美林郡 精致精装小户型 手续齐全 拎包入住 随时看房,仁恒美林郡 -金港城,1室1厅 | 54.32平米 | 西 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,78,"14,360元/平"
急售 兰石家园精装三室 南北通透 好楼层 好户型,兰石家园 -兰州新区,3室2厅 | 104.76平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,59.6,"5,690元/平"
兰石家园 明厨明卫 楼层佳  视野好 价格实惠,兰石家园 -兰州新区,2室2厅 | 95.68平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,47,"4,913元/平"
煜立家园  三室两卫全新精装修 全屋品牌定制 领包入住,煜利佳苑 -兰州新区,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 17天以前发布,85,"6,693元/平"
二号湖畔 学府大境  带家具家电 带物业费 带供暖费,绿地智慧金融城学府大境 -兰州新区,3室2厅 | 107.65平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,71,"6,596元/平"
南北通透 繁华地段 二次装修的三室两厅 无遮挡,伊顿郡 -碧桂园,3室2厅 | 132.77平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 5天以前发布,110,"8,286元/平"
单价9千多 高档小区全南两房 270度观景阳台 人车分流,天源9号 -九州,2室2厅 | 100.97平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 18天以前发布,99.9,"9,895元/平"
新上绿地智慧金融城H地块经典三室！业户急售！！,智慧金融城H区 -兰州新区,3室2厅 | 102.52平米 | 南 北 | 简装 | 中楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,63,"6,146元/平"
北站十字  单价7200 采光好 中间楼层 南北通透,五建西固小区东区 -西固城,2室2厅 | 85.09平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 4个月以前发布,62,"7,287元/平"
雁滩 万达大润发 星达小区精装两室 户型规整 看房方便,星达小区 -万达大润发,2室1厅 | 87.27平米 | 南 西 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,72,"8,251元/平"
兰石家园 东大门 简装房 南北通透 业主诚心打包出售,兰石家园 -兰州新区,3室2厅 | 104.76平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,48,"4,582元/平"
急售，精装两室，配套设施齐全，交通便利。,兰石睿智名居 -兰州新区,2室2厅 | 83.58平米 | 南 | 精装 | 中楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,60,"7,179元/平"
薇乐花园正规两室两厅，精装修，视野开阔,薇乐花园 -榆中县,2室2厅 | 93.67平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 9个月以前发布,65,"6,940元/平"
华鼎中央都会 2室2厅 南 北,华鼎中央都会 -东部,2室2厅 | 95平米 | 南 北 | 简装 | 中楼层(共35层)  | 塔楼,0人关注 / 9天以前发布,115,"12,106元/平"
新港城B区精装修中间楼层三室采光好房,新港城 -北面滩,3室2厅 | 114.27平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,155,"13,565元/平"
保利领秀凤凰位置 精装3房 南北通透,保利领秀山一区 -十里店,3室2厅 | 116.5平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,73,"6,267元/平"
新港城好房出售，小区环境优美交通便利,新港城 -北面滩,2室1厅 | 60.18平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 27天以前发布,82,"13,626元/平"
此房满两年中装 ，户型好，总价低,兰石家园 -兰州新区,1室1厅 | 58.71平米 | 东 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,0人关注 / 6天以前发布,34.8,"5,928元/平"
中高楼层 商务地段 总价较低 适合刚需,祥和景苑 -兰州新区,2室1厅 | 88.14平米 | 南 北 | 简装 | 高楼层(共14层)  | 暂无数据,0人关注 / 21天以前发布,46,"5,219元/平"
西固福利区 新陇嘉苑  二室二厅 电梯房 新小区,新陇嘉园 -天鹅湖,2室2厅 | 94.77平米 | 南 | 简装 | 低楼层(共33层)  | 塔楼,0人关注 / 18天以前发布,86,"9,075元/平"
自住婚房 3室2卫大三居 视野好,智慧金融城H区 -兰州新区,3室2厅 | 127.33平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 25天以前发布,79.5,"6,244元/平"
雁滩高新区南河道国泰嘉园广电电梯高层,国泰嘉园 -雁滩高新区,2室2厅 | 94.22平米 | 东 南 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,100,"10,614元/平"
新港城正规三室两厅一厨两卫，业主诚心卖价格可谈,新港城 -北面滩,3室2厅 | 129.16平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,183,"14,169元/平"
新区人工湖旁、带花园地下室、配套设施全、环境优美,智慧金融城B区 -兰州新区,4室2厅 | 169.22平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,145,"8,569元/平"
九州电梯房 小两室户型 好楼层 采光佳 诚心出售,荣江郡 -九州,2室1厅 | 71.57平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 13天以前发布,70,"9,781元/平"
成熟商圈 接地气的户型 还是毛坯,琨宇·书香名府 -兰州新区,3室1厅 | 89.47平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,40,"4,471元/平"
毛坯两室 ，好楼层，视野开阔，繁华地段，配套齐全,瑞岭名郡西区 -兰州新区,2室2厅 | 99.48平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 1个月以前发布,56,"5,630元/平"
绿地瓦萨公馆 3室2厅 南 北,绿地瓦萨公馆 -兰州新区,3室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 4天以前发布,65,"6,019元/平"
天恒银滩花园A区 2室2厅 南,天恒银滩花园A区 -秀川,2室2厅 | 98.03平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 18天以前发布,108,"11,018元/平"
东部火车站南山路两室一厅看房方便,北方住宅区 -二热,2室1厅 | 53.7平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,40,"7,449元/平"
碧桂园顶层带阁楼，带60平米露台大采光窗，诚心出售,碧桂园城市花园 -兰州新区,3室2厅 | 138.87平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 17天以前发布,69,"4,969元/平"
碧桂园天麓山 3室1厅 南 北,碧桂园天麓山 -碧桂园,3室1厅 | 146.96平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 11天以前发布,92,"6,261元/平"
基业豪庭，正规两居室 ，户型方正,基业豪庭 -雁滩高新区,2室2厅 | 82.72平米 | 东北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,95,"11,485元/平"
急售  文曲湖小区 简装三室  楼层好  采光好  视线好,文曲湖景园住宅小区 -兰州新区,3室2厅 | 103.49平米 | 东 南 | 简装 | 高楼层(共34层)  | 板楼,1人关注 / 6个月以前发布,50,"4,832元/平"
文曲湖景园  三室两厅  景观楼层,文曲湖景园住宅小区 -兰州新区,3室2厅 | 124.81平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,2人关注 / 11个月以前发布,56,"4,487元/平"
碧桂园 诺四 正规两室 精装修,诺四 -碧桂园,2室1厅 | 79.55平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,68,"8,549元/平"
西门口楼栋，位置好，南北通透。好楼层,瑞岭名郡东区 -兰州新区,3室2厅 | 133平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,82,"6,166元/平"
简装两室好房 ，满二不唯一，视野开阔,智慧金融城H区 -兰州新区,2室2厅 | 76平米 | 南 北 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,46.5,"6,119元/平"
城关区 北冰河路  3楼框架 两室 南北通透 可按揭,华夏小区 -九州,2室1厅 | 78.57平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,54,"6,873元/平"
兰石睿智名居  精装房  看房方便,兰石睿智名居 -兰州新区,2室2厅 | 81.78平米 | 南 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 3个月以前发布,55.5,"6,787元/平"
此房交通便利，湖景房，文曲湖有专门的跑道,文曲湖景园住宅小区 -兰州新区,3室2厅 | 124.77平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,68,"5,451元/平"
桃林家园 2室1厅 南 北,桃林家园 -沙井驿街道,2室1厅 | 88.97平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 4天以前发布,55,"6,182元/平"
天源9号 2室2厅 南 北,天源9号 -九州,2室2厅 | 113.85平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 2天以前发布,100,"8,784元/平"
祥和景苑 采光好 户型规整 视线无遮挡,祥和景苑 -兰州新区,2室1厅 | 96平米 | 南 北 | 毛坯 | 低楼层(共14层)  | 暂无数据,0人关注 / 3天以前发布,52.6,"5,480元/平"
碧桂园城市花园小区户型及配套介绍,碧桂园城市花园 -兰州新区,3室2厅 | 97.39平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 3天以前发布,56,"5,751元/平"
业主低价出售，楼栋位置好，能看湖景,绿地瓦萨公馆 -兰州新区,3室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 3天以前发布,63,"5,834元/平"
南山小区，两室一厅，采光充足，中间楼层，业主诚心出,南山小区 -西固城,2室1厅 | 66平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2天以前发布,80,"12,122元/平"
鸿运润园3室2厅 南北通透 一梯两户,鸿运润园 -北面滩,3室2厅 | 147.82平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,235,"15,898元/平"
中间楼层 精装两居室 户型方正,基业豪庭 -雁滩高新区,2室2厅 | 105.99平米 | 东南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,105.99,"10,000元/平"
火车站 和平饭店 轮胎厂家属院  电梯房,轮胎厂家属院 -火车站,2室1厅 | 54.73平米 | 东 | 简装 | 高楼层(共10层)  | 板塔结合,0人关注 / 1个月以前发布,55,"10,050元/平"
出售闵家桥两室一厅产权房小区绿化可停车,市政府市党委家属院 -五泉广场,2室1厅 | 63平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,75,"11,905元/平"
国投·秀美家园 2室1厅 南 北,国投·秀美家园 -郑家庄,2室1厅 | 64.58平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,54.5,"8,440元/平"
格局 好 采光好 无遮挡 西固繁华地段,兰州石化小桥洞小区 -天鹅湖,1室1厅 | 39.25平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,35,"8,918元/平"
新港城B区三楼三室明厨明卫精装房,新港城 -北面滩,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,158,"13,860元/平"
兰石安一小区 2室2厅 南 北,兰石安一小区 -西站,2室2厅 | 95平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,50,"5,264元/平"
濱河壹号 3室2厅 南 北,濱河壹号 -莫高大道,3室2厅 | 125平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,115,"9,200元/平"
时代伟业 3室2厅 南,时代伟业 -东部,3室2厅 | 130.41平米 | 南 | 简装 | 低楼层(共28层)  | 板塔结合,0人关注 / 6天以前发布,125,"9,586元/平"
交通便利，教育资源丰富，离学府近，方便孩子上学,安宁区政府家属院 -费家营,2室2厅 | 87.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,82,"9,372元/平"
安宁公馆 3室2厅 南 北,安宁公馆 -安宁高新区,3室2厅 | 124.53平米 | 南 北 | 简装 | 低楼层(共31层)  | 板楼,0人关注 / 3天以前发布,132,"10,600元/平"
瑞园小区 2室1厅 南 北,瑞园小区 -西固城,2室1厅 | 60.26平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,45,"7,468元/平"
祥和景苑 两室南大门口  楼层中间 价格实惠,祥和景苑 -兰州新区,2室2厅 | 95.05平米 | 南 | 简装 | 中楼层(共14层)  | 暂无数据,0人关注 / 4个月以前发布,52.5,"5,524元/平"
学府大境 楼层佳视野好 产证明晰 简装,绿地智慧金融城学府大境 -兰州新区,2室2厅 | 86.11平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,54,"6,272元/平"
户型方正，朝向采光好，公摊低，教育资源丰富，配套全,省石化供销公司家属院（民勤街） -西关南关,2室1厅 | 82平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,115,"14,025元/平"
西站首付25万小区环境优美南北通透中等装修交通便利,省地矿局三勘院中心实验室小区 -兰工坪,2室1厅 | 84.6平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 12天以前发布,75,"8,866元/平"
