标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园  洋房5楼  通透格局 中等装修,通辽碧桂园 -经济技术开发区,3室1厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,66,"6,487元/平"
百花新城 品质小区 好物业。。。,泽信·百花新城牡丹园 -老城区,3室1厅 | 113.7平米 | 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,70,"6,157元/平"
卖点：楼层好，采光充足，配套设施齐全，视野宽阔,嘉禾家和花园 -老城区,3室1厅 | 110平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,80,"7,273元/平"
生活设施齐全，简单装修，采光好,利业金灿家园 -铁南,3室2厅 | 87.59平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,63,"7,193元/平"
君宁家园 3室3厅 南 北,君宁家园 -老城区,3室3厅 | 101平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,105,"10,397元/平"
京汉五期 电梯中层 125平 80万,京汉天玺 -经济技术开发区,3室1厅 | 124.5平米 | 南 北 | 其他 | 中楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,80,"6,426元/平"
帝王花园二期   136.5平   3室99万,地王花园二期 -经济技术开发区,3室2厅 | 136.5平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,99,"7,253元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,京汉新城二期 -经济技术开发区,3室1厅 | 154平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 5个月以前发布,98,"6,364元/平"
走一手贷款 复试连厅 举架6米5 毛坯随意装,广厦梧桐苑 -河西,4室2厅 | 215.54平米 | 北 南 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 一年前发布,102,"4,733元/平"
京汉五期 电梯中层 125平 80万,京汉天玺 -经济技术开发区,3室1厅 | 124.5平米 | 南 北 | 其他 | 中楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,80,"6,426元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,中启·中央广场 -经济技术开发区,3室1厅 | 120平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,86,"7,167元/平"
璟苑步梯5楼 三室两卫  简单装修  可贷款,璟苑B区 -经济技术开发区,3室2厅 | 123.4平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,82,"6,646元/平"
碧桂园联排别墅202平 2层 前后100平大院,通辽碧桂园 -经济技术开发区,4室1厅 | 202平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,4人关注 / 一年前发布,215,"10,644元/平"
通辽碧桂园 5室3厅 南,通辽碧桂园 -经济技术开发区,5室3厅 | 208平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,5人关注 / 一年前发布,156,"7,500元/平"
凤凰城洋房二楼  毛坯随意装修 看房方便,广厦凤凰城 -河西,2室1厅 | 109平米 | 南 | 其他 | 低楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,55,"5,046元/平"
亚龙湾小区 成熟社区  交通便利  出行方便 采光充足,中信亚龙湾 -经济技术开发区,3室1厅 | 136平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,94,"6,912元/平"
永茂.步梯2楼有房证.东西都带.,永茂水岸国际A区 -河西,3室1厅 | 128平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,70,"5,469元/平"
凤凰城一期   三室两厅两卫 带储物间  南北通透,广厦凤凰城一期 -河西,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,81,"5,870元/平"
梓园B区  电梯7楼  三室两卫 洋房,泽信梓园B区 -经济技术开发区,3室1厅 | 142平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,155,"10,916元/平"
泽信梓园B区 3室2厅 南 北,泽信梓园B区 -经济技术开发区,3室2厅 | 134平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,1人关注 / 11个月以前发布,150,"11,195元/平"
洋房五楼 精装修 希望开发 洋房小区,泽信梓园B区 -经济技术开发区,3室2厅 | 142.8平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,158,"11,065元/平"
平安北区   124平  80万  三居室  好楼层,平安北区 -老城区,3室1厅 | 124平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,78,"6,291元/平"
房整体结构设施条件比较好，人文环境好。 首付不高：,农业小区 -老城区,3室1厅 | 63平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,40,"6,350元/平"
怡景江南步梯5楼118平77万继续出售,怡景江南 -老城区,3室1厅 | 118平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,66,"5,594元/平"
三室     一厅     一厨      两卫,香堤水郡 -经济技术开发区,3室1厅 | 131.68平米 | 南 北 | 其他 | 高楼层(共24层)  | 塔楼,0人关注 / 一年前发布,95,"7,215元/平"
状元府109.73平2居毛坯房有房证可贷款,状元府 -经济技术开发区,3室1厅 | 109.37平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,69,"6,309元/平"
德润园   一楼  三室两卫   毛坯房  可贷款,德润园 -经济技术开发区,3室1厅 | 136平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,108,"7,942元/平"
京汉六期电梯13楼 三室一卫 简单装修 拎包入住 有房证,京汉叫来河畔 -经济技术开发区,3室1厅 | 125平米 | 南 北 | 其他 | 中楼层(共23层)  | 暂无数据,2人关注 / 11个月以前发布,86,"6,880元/平"
成熟小区  交通便利  出行方便,京汉新城二期 -经济技术开发区,3室1厅 | 128平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,83,"6,485元/平"
步梯六楼带七楼  房证满五年可贷款,通辽碧桂园 -经济技术开发区,3室1厅 | 200平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,75,"3,750元/平"
京汉四期精装修 三室 房证满五年,京汉君庭 -经济技术开发区,3室1厅 | 121.03平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,1人关注 / 7个月以前发布,98.5,"8,139元/平"
桥北 京汉社区 步梯 中间楼层127平 三室两卫 精装修,京汉新城一期 -经济技术开发区,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,80,"6,300元/平"
北岸华庭，哲理木桥下，步梯平层，装修好，无纠纷。,北岸华庭 -经济技术开发区,3室2厅 | 142平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,1人关注 / 6个月以前发布,83,"5,846元/平"
璟苑B区 3室1厅 南,璟苑B区 -经济技术开发区,3室1厅 | 124平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,94,"7,581元/平"
碧桂园电梯6楼 精装房 交通方便 户型好,通辽碧桂园 -经济技术开发区,3室2厅 | 132平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,89.8,"6,804元/平"
京汉四期电梯2楼 南北通透 看房方便 带车位,京汉君庭 -经济技术开发区,3室1厅 | 121.03平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,85,"7,024元/平"
碧桂园步梯6拖7.能拎包入住。实际面积大,通辽碧桂园 -经济技术开发区,4室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,62,"5,041元/平"
创业家园3-1-1-2 139.53m²,创业家园 -河西,3室1厅 | 139.53平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,60,"4,301元/平"
碧桂园别墅 三层格局好 院子大 东西都带,通辽碧桂园 -经济技术开发区,5室3厅 | 302平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,260,"8,610元/平"
通透格局，楼层好，视野宽阔，采光充足，配套设施齐,京汉馨家 -经济技术开发区,5室2厅 | 240.99平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,200,"8,300元/平"
平安西区 ，三室户型 ，连包入住，看房子随时。,平安西区 -老城区,3室2厅 | 129.83平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,64,"4,930元/平"
万达南  新小区 一楼带半地下 带院 冬暖夏凉,平安北区 -老城区,4室2厅 | 68平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,69,"10,148元/平"
十九局2楼108平三室简单装修 有房证 可贷款,十九局小区 -老城区,3室1厅 | 108平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,70,"6,482元/平"
阳光小区2拖3  三室两厅两卫 拎包入住 看房子方便,阳光怡园 -老城区,3室2厅 | 168.5平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,112,"6,647元/平"
龙兴公馆 5室2厅 南,龙兴公馆 -老城区,5室2厅 | 144平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,170,"11,806元/平"
此房南北朝向，视野宽阔，采光充足，配套设施全,美域华府 -河西,4室2厅 | 208.36平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 一年前发布,180,"8,639元/平"
鹏通花园 3室两厅一卫   106.66平  58万,鹏通花园 -老城区,3室2厅 | 106.66平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,58,"5,438元/平"
东方盛世  电梯28楼  精装修  4室  房证满五唯一,东方盛世 -老城区,4室1厅 | 140平米 | 南 北 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 4个月以前发布,103,"7,358元/平"
百卉苑  3-1-1-1 136.00m²,百卉苑 -老城区,3室1厅 | 136平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,78,"5,736元/平"
香格里拉万达地段三室两卫 近前排视野全天无遮挡,香格里拉 -老城区,3室2厅 | 121.6平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,80,"6,579元/平"
万达沁府，干净整洁，拎包入住，包含楼下车位,万达沁府 -老城区,2室1厅 | 110.58平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,86.5,"7,823元/平"
楼层好，采光充足，配套设施齐全，视野宽阔，出行方便,西苑三区 -老城区,3室1厅 | 79.02平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,68,"8,606元/平"
盛世江南5楼108平74万精装修不把山不临街房证满二年,盛世江南 -铁南,3室1厅 | 108平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,72,"6,667元/平"
泽信希望 洋房2楼  房证过二 精装修,泽信水岸春城 -老城区,3室1厅 | 147.24平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,118,"8,015元/平"
蓝山郡.一楼半地下.带院.房证满五唯一.,蓝山郡 -铁南,1室1厅 | 65.5平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,75,"11,451元/平"
通辽碧桂园 3室2厅 南,通辽碧桂园 -经济技术开发区,3室2厅 | 128平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,85,"6,641元/平"
碧桂园步梯2楼  精装修  房证过二  看房打电话,通辽碧桂园 -经济技术开发区,3室1厅 | 127.15平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,83,"6,528元/平"
三合嘉园2-1-1-1 110.00m² 65 万,三合嘉园 -河西,2室1厅 | 110平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,66,"6,000元/平"
市里 泽信希望物业  电梯8楼精装修 拎包入住,泽信·四季花城 -老城区,3室1厅 | 131.1平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,115,"8,772元/平"
电梯6楼 随时看房 通透户型 诚心出售,京汉天玺 -经济技术开发区,3室2厅 | 125平米 | 南 西 | 其他 | 低楼层(共18层)  | 暂无数据,4人关注 / 8个月以前发布,82,"6,560元/平"
桥北 辽河公园 北侧 阳光楼层 三居两卫 房证满五,辽河一号院 -经济技术开发区,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,75,"5,906元/平"
金地2008步梯6拖7楼 采光充配套设施齐全，视野宽阔,金地2008 -经济技术开发区,2室1厅 | 106平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,68,"6,416元/平"
成熟小区  交通便利  出行方便,泰丰·悦熙台 -经济技术开发区,3室2厅 | 88平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,102,"11,591元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,泰丰·悦熙台 -经济技术开发区,3室1厅 | 99.7平米 | 南 北 | 其他 | 高楼层(共19层)  | 暂无数据,4人关注 / 10个月以前发布,92,"9,228元/平"
七号院  洋房五楼次顶楼  三室飞机户型  随时看房,七号院 -经济技术开发区,3室1厅 | 130平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,110,"8,462元/平"
碧桂园步梯3，楼127平三室两卫，南北通透,通辽碧桂园 -经济技术开发区,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 9个月以前发布,83.5,"6,575元/平"
金源丽都      63万       两居室,金源郦都 -经济技术开发区,2室1厅 | 103平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,63,"6,117元/平"
通华佳园 4室3厅 南,通华佳园 -老城区,4室3厅 | 176平米 | 南 | 其他 | 3层  | 暂无数据 | 联排别墅 ,0人关注 / 一年前发布,220,"12,500元/平"
挨近.学.校，商场，医院，交通便利，购物方便，采光好,紫云公馆 -老城区,3室2厅 | 195平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,140,"7,180元/平"
紫云公馆 4室2厅 南,紫云公馆 -老城区,4室2厅 | 213平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,5人关注 / 一年前发布,210,"9,860元/平"
辽河公园南侧 一楼半地下带院 精装 拎包入住,东方世纪城 -老城区,3室2厅 | 150平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,135,"9,000元/平"
成熟小区  交通便利  出行方便,水域蓝湾A区B区 -经济技术开发区,2室1厅 | 164平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,85,"5,183元/平"
美瑞龙源电梯12楼 精装  拎包入住,美瑞龙源 -经济技术开发区,3室1厅 | 124平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 11个月以前发布,81,"6,533元/平"
业主诚心出售  交通便利  小区环境优美,碧桂园·御珑湾北区 -经济技术开发区,3室2厅 | 170平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,93,"5,471元/平"
楼层好.采光充足.配套设施齐全,美瑞龙源 -经济技术开发区,3室2厅 | 132.2平米 | 南 | 其他 | 中楼层(共31层)  | 板楼,5人关注 / 一年前发布,82,"6,203元/平"
景观家园步梯五楼 房证过两年 看房子方便,景观家园小区 -老城区,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,79,"6,320元/平"
平安西区步梯1楼带小院116平82万房证过二适合开养老院,平安西区 -老城区,3室2厅 | 116.42平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,76,"6,529元/平"
三室一厅一厨一卫，简单装修，可随时入住,通辽市司法小区 -老城区,3室1厅 | 117.95平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,65,"5,511元/平"
安顺小区6楼中等装修三室 家具家电都带拎包入住,安顺小区 -铁南,3室1厅 | 113平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,71,"6,284元/平"
二中 交通 新装通透三室 放心房,振兴商业村 -老城区,3室2厅 | 113.35平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,72,"6,353元/平"
新天地  11楼  三室两卫  飞机户型  新装修,新天地住宅小区 -经济技术开发区,3室2厅 | 158.63平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,95,"5,989元/平"
步一楼带院成熟小区 交通便利 出行方便，新房证,泰安家园 -河西,3室1厅 | 166.37平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,80,"4,809元/平"
阳光怡园 南北户型   精装修 可贷款,阳光怡园 -老城区,3室1厅 | 132平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,97,"7,349元/平"
地税花园 3室1卫 户型合理 采光充足,地税花园 -老城区,3室1厅 | 156平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,94.5,"6,058元/平"
该房屋房证满二支持贷款，过户费低。7米多大客厅,地税花园 -老城区,3室1厅 | 154平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,80,"5,195元/平"
此房满二，通透格局，楼层好，视野宽阔，采光充足,地税花园 -老城区,3室1厅 | 156平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,97,"6,218元/平"
此房一楼带地下带车库  精装修 房证过二可贷款,泽信悦圣湾 -经济技术开发区,3室2厅 | 127平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,178,"14,016元/平"
京汉叫来河畔   三居室  视野宽阔,京汉叫来河畔 -经济技术开发区,3室2厅 | 125平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,5人关注 / 一年前发布,86,"6,880元/平"
龙兴世纪城(科尔沁区) 3室1厅 南,龙兴世纪城(科尔沁区) -经济技术开发区,3室1厅 | 143平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,97,"6,784元/平"
上河郡7楼 4室两卫 可走一手房贷款 带车位,碧桂园·上河郡 -经济技术开发区,4室2厅 | 148平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,95,"6,419元/平"
碧桂园6拖7 简装 房证两年 可贷款,通辽碧桂园 -经济技术开发区,4室2厅 | 133.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,63.5,"4,746元/平"
配套设施齐全，视野开阔交通便利，出行方便,美瑞龙源 -经济技术开发区,2室1厅 | 91平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,63,"6,924元/平"
此房房证满五年·室内精装修，房主诚心出售·价格可议,泰和新居 -经济技术开发区,4室2厅 | 136.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,82,"5,995元/平"
碧桂园6拖7.房证过二东西都带.精装修,通辽碧桂园 -经济技术开发区,4室2厅 | 82平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,57.5,"7,013元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,河畔花园C区 -经济技术开发区,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,81,"6,000元/平"
碧桂园一楼半地下带车库带200平大院,通辽碧桂园 -经济技术开发区,3室2厅 | 144平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,137,"9,514元/平"
水域蓝湾  6托7  南北通透  采光充足,水域蓝湾A区B区 -经济技术开发区,5室2厅 | 104平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,67,"6,443元/平"
龙兴世纪城 大平层 三室两卫 大客厅 满二年,龙兴世纪城(科尔沁区) -经济技术开发区,3室2厅 | 191.3平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,133,"6,953元/平"
桥北现房，人车分流 毛坯现房.单价低.小区环境好..,新天地住宅小区 -经济技术开发区,4室2厅 | 310平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 6个月以前发布,180,"5,807元/平"
桥北 东郡 电梯中层 三居室通透格局 毛坯随意装修,水域蓝湾东郡 -经济技术开发区,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,72,"5,670元/平"
好小区  诚达集团  毛坯随意装修,诚达龙庭国际C区 -老城区,3室1厅 | 130平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,2人关注 / 一年前发布,81,"6,231元/平"
银苑小区西区三室两厅户型南北朝向采光充足,银苑小区西区 -老城区,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,56,"4,870元/平"
通透格局，生活设施齐全，简单装修，采光好， 楼层好,通辽碧桂园 -经济技术开发区,3室1厅 | 146.81平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,65,"4,428元/平"
通透格局，楼层好，视野宽阔，采光充足，,阿利坦银河湾 -经济技术开发区,2室2厅 | 127.37平米 | 南 北 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 10个月以前发布,108,"8,480元/平"
不把山不临街  房证过2年  精装修  看房方便,京汉新城一期 -经济技术开发区,2室1厅 | 89平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,53.5,"6,012元/平"
集通凯宸佳苑 3室1厅 南 北,集通凯宸佳苑 -经济技术开发区,3室1厅 | 183平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,55,"3,006元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,利农小区 -老城区,3室1厅 | 77.47平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,45,"5,809元/平"
五中路东  上下两层  房证满2年  业主2年前改造,裕景花园 -老城区,2室1厅 | 65.53平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,46,"7,020元/平"
红星新城  步梯二楼  三室两卫  房证满二,泽信·红星新城 -老城区,3室1厅 | 116平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,88,"7,587元/平"
振兴小区，楼层好，视野宽阔，采光充足，配套设施齐全,振兴小区 -老城区,2室1厅 | 85平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,40,"4,706元/平"
希望物业，户型通透，得房率高，采光好。,东方世纪城 -老城区,3室2厅 | 162.7平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,96,"5,901元/平"
西湖名都三室两卫正南正北精装修单价本小区便宜,西湖名都 -经济技术开发区,3室2厅 | 136.46平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,1人关注 / 5个月以前发布,82,"6,010元/平"
楼层好，采光充足，配套设施齐全，视野宽阔，出行方便,京汉新城二期 -经济技术开发区,3室1厅 | 129平米 | 南 西北 | 其他 | 高楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,70,"5,427元/平"
距离万达近 复式楼屋里嗷嗷板正 有房证可贷款,村和新居 -老城区,3室1厅 | 117.48平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,57,"4,852元/平"
步梯6楼 3室2卫 通透户型 地热,滨河花园 -老城区,3室1厅 | 128平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,59,"4,610元/平"
三室 两厅  一厨 两卫  南北大通透,京汉新城二期 -经济技术开发区,3室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,80,"6,250元/平"
新天地  电梯11楼  三室两卫  飞机户型  带车位,新天地住宅小区 -经济技术开发区,3室2厅 | 159平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,76,"4,780元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,檀香湾 -经济技术开发区,3室2厅 | 152平米 | 南 | 其他 | 低楼层(共21层)  | 板楼,0人关注 / 4个月以前发布,120,"7,895元/平"
中国铁建电梯15楼   采光好  148.56平89万,中国铁建·国际城 -经济技术开发区,3室2厅 | 148.56平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,91,"6,126元/平"
阿卡迪亚小区   交通便利  看房方便,阿卡笛亚 -老城区,4室2厅 | 170平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,72,"4,236元/平"
大三 使用面积多15平 采光充足，配套设施齐全,十九局小区 -老城区,3室2厅 | 138平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,59.5,"4,312元/平"
永茂水岸国际A区 3室1卫 户型合理 采光充足,永茂水岸国际A区 -河西,3室1厅 | 120平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,79,"6,584元/平"
成熟小区  交通便利  出行方便,兴隆家园 -河西,2室1厅 | 90平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,85,"9,445元/平"
天骄城，步梯四楼，婚房精装修，三室两卫，飞机户型，,天骄城 -老城区,3室1厅 | 120平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,78,"6,500元/平"
怡水馨园 4室 带地下车位 房主管一半过户费,怡水馨园 -老城区,4室1厅 | 172.98平米 | 南 | 其他 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,96,"5,550元/平"
北岸华庭 洋房4楼 平层大三居 南北通透 看房随时,北岸华庭 -经济技术开发区,3室2厅 | 162.22平米 | 南 北 | 其他 | 高楼层(共4层)  | 暂无数据,1人关注 / 4个月以前发布,93,"5,733元/平"
阿卡迪亚精装房  120平 出行方便  拎包入住,阿卡笛亚 -老城区,2室1厅 | 130平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,65,"5,000元/平"
安顺小顺    134平  3w    交通便利,安顺小区 -铁南,3室1厅 | 134平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,80,"5,971元/平"
北国之春(科尔沁区) 3室2厅 南,北国之春(科尔沁区) -老城区,3室2厅 | 173平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,135,"7,804元/平"
农牧小区步梯5楼131平3室2卫南北通透户型看房方便,农牧小区(建国路) -老城区,3室1厅 | 131.2平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,68,"5,183元/平"
诚达集团打造 品质小区三室两卫电梯楼精装修,诚达龙庭国际C区 -老城区,3室1厅 | 141.1平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,116,"8,222元/平"
