标题,开发商,房子信息,发布信息,售价/万,单价
北京一号院，精装双卧朝南，有钥匙看房方便,北京壹号院 -张北县,2室1厅 | 91.33平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,9人关注 / 7个月以前发布,46,"5,037元/平"
工业街 电梯次顶层 高档社区 绿化高 小区环境优美,悦澜湾 -桥东区,2室1厅 | 93平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,3人关注 / 5个月以前发布,76,"8,173元/平"
五一店长推荐，东河沿小区三楼，配套齐全,东河沿小区 -桥东区,2室1厅 | 57.15平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,25,"4,375元/平"
环境优雅，低密度社区，小区绿化高，景色怡人,新垣雅轩 -桥东区,2室2厅 | 82.84平米 | 南 北 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 8天以前发布,62,"7,485元/平"
此房满五，能过户，好户型，楼层好，视野开阔，采光,融强御品小区 -桥东区,2室2厅 | 98平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,2人关注 / 一年前发布,75,"7,654元/平"
房子是经典的 户型，很好住 有房本可贷款。,军营凤凰城 -宣化区,2室2厅 | 76平米 | 北 | 其他 | 高楼层(共15层)  | 板塔结合,18人关注 / 4个月以前发布,27.6,"3,632元/平"
桥东好地段   距离南站一公里    交通便利  人车分流,京润现代城 -桥东区,2室2厅 | 97平米 | 南 北 | 简装 | 中楼层(共25层)  | 塔楼,0人关注 / 3个月以前发布,85,"8,763元/平"
市区热闹的地段，购物餐饮场所众多，有多路公交车。,元台子小区 -桥西区,2室1厅 | 52平米 | 东 西 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,12,"2,308元/平"
香格里拉小区，毛坯房，包过户，中间楼层,首府香格里拉 -桥东区,2室2厅 | 98.73平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 塔楼,7人关注 / 一年前发布,53,"5,369元/平"
此房可以过户，好楼层通风采光好,境门华府 -桥西区,2室1厅 | 112平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,58,"5,179元/平"
居住方便舒适.出进方便.环境整洁.交通便利....,学府佳园 -张北县,2室1厅 | 89.88平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,40,"4,451元/平"
南北通透，视野开阔，采光充足，公摊小，短进深大面宽,上东红郡 -桥东区,3室1厅 | 139平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,115,"8,274元/平"
交通便利，出行方便，面积不大适合老人居住,龙兴润城 -桥东区,2室2厅 | 100.16平米 | 南 北 | 其他 | 中楼层(共14层)  | 板塔结合,16人关注 / 一年前发布,80,"7,988元/平"
仁爱住宅小区2-1-1-1 88.00² 40 万,仁爱住宅小区 -张北县,2室1厅 | 88平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,38,"4,319元/平"
文华苑 2室2厅 南,文华苑 -桥东区,2室2厅 | 96平米 | 南 | 简装 | 中楼层(共13层)  | 板楼,19人关注 / 5个月以前发布,69,"7,188元/平"
此房满五唯一，户型好，板楼采光好，拎包入住,教场坡28号 -桥西区,2室1厅 | 70平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,30,"4,286元/平"
房子面积较小，楼层合适，总价低，适合低预算客户.,盛和日月华庭 -桥西区,2室2厅 | 73平米 | 南 | 简装 | 低楼层(共19层)  | 板楼,3人关注 / 2个月以前发布,52,"7,124元/平"
西泽园，满五唯一两居室看房方便,西泽园北区 -桥西区,2室1厅 | 93平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,8人关注 / 一年前发布,77,"8,280元/平"
新一中南，日月华庭，经典朝阳小两居,盛和日月华庭 -桥西区,2室1厅 | 73平米 | 南 | 简装 | 中楼层(共19层)  | 板楼,1人关注 / 2个月以前发布,45,"6,165元/平"
此房满五唯一，户型好，板楼采光好，拎包入住,教场坡28号 -桥西区,2室1厅 | 70平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,30,"4,286元/平"
御景天下2-1-1-1 75.00² 45 万,御景天下 -张北县,2室1厅 | 75平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 1个月以前发布,43,"5,734元/平"
西泽园，满五唯一两居室看房方便,西泽园北区 -桥西区,2室1厅 | 93平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,8人关注 / 一年前发布,77,"8,280元/平"
此房两室一厅，不挡光，户型方正，业主诚心出售,新五一广场2区 -桥东区,2室1厅 | 106.72平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,1人关注 / 一年前发布,85.37,"8,000元/平"
成熟社区，环境优美，有房本，满五年，诚心出售,拖车厂家属楼 -桥东区,3室1厅 | 76.58平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,49.5,"6,464元/平"
房子户型好 双仰卧小三居 离近明德路 配套好 看房随时,教委家属楼 -桥西区,3室1厅 | 82.06平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,1人关注 / 5个月以前发布,56,"6,825元/平"
中央大道 2室2厅 南,中央大道 -张北县,2室2厅 | 86平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,41,"4,768元/平"
鑫鼎银河湾 2室1厅 南 北,鑫鼎银河湾 -桥西区,2室1厅 | 90.5平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,56,"6,188元/平"
诚心出售 远大盛和苑小区电梯好楼层两居室有房本,远大·盛和苑 -桥西区,2室1厅 | 94.21平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,58,"6,157元/平"
华新园带地下室，带车库 ，精装修中间楼层有意向联系,华新园东2区 -桥西区,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,18人关注 / 一年前发布,84.9,"7,448元/平"
锦绣花园东区 2室2厅 南 北,锦绣花园东区 -桥东区,2室2厅 | 105.6平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,75,"7,103元/平"
房子地理位置好，出行方便，经开商圈，过桥是医院，,开元溪府 -桥西区,2室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,63,"7,079元/平"
惠安苑小区 2室2厅 南 北,惠安苑小区 -桥东区,2室2厅 | 93.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,69,"7,380元/平"
张北县兴华家园北区81平46万,兴华家园北区 -张北县,2室1厅 | 81平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,32,"3,951元/平"
滨河公馆 3室2厅 南 北,滨河公馆 -桥西区,3室2厅 | 125平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,6人关注 / 7个月以前发布,96,"7,680元/平"
地理位子不错，大两居户型 ， 方方正正 ，无遮挡,嘉盛源小区 -桥西区,2室1厅 | 99.2平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,70,"7,057元/平"
美居丽景园东区 2室1厅 南,美居丽景园东区 -桥西区,2室1厅 | 91平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,75,"8,242元/平"
乐购商圈  明厅明卧 采光充足 精装修两居室,时代广场小区西区 -桥东区,2室1厅 | 95.18平米 | 南 | 简装 | 高楼层(共10层)  | 板塔结合,1人关注 / 一年前发布,76,"7,985元/平"
南北通透  客卧朝阳 好楼层 优质小区山语华庭,山语华庭 -桥东区,3室2厅 | 118平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,80,"6,780元/平"
经开区纬一路东、简装电梯4楼层、2居室、房本满五,新园西苑 -桥东区,2室1厅 | 75平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,49,"6,534元/平"
经开区，乐购旁，奥林星城有好房！单价不贵，楼层不赖,奥林星城北区 -桥东区,2室2厅 | 75.07平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,62,"8,259元/平"
"经开区南站,电梯好楼层,无遮挡,有房本,业主诚心出售.",京润现代城8号院 -桥东区,3室2厅 | 112平米 | 南 北 | 精装 | 低楼层(共19层)  | 暂无数据,1人关注 / 5个月以前发布,88,"7,858元/平"
岭秀城（嶺秀城） 2室1厅 南 北,岭秀城（嶺秀城） -桥西区,2室1厅 | 85平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,5人关注 / 7个月以前发布,67,"7,883元/平"
东方苑小区南苑 3室2厅 南 北,东方苑小区南苑 -桥东区,3室2厅 | 83平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,61,"7,350元/平"
岭秀城（嶺秀城） 2室2厅 南 北,岭秀城（嶺秀城） -桥西区,2室2厅 | 102.62平米 | 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,2人关注 / 1个月以前发布,68,"6,627元/平"
有房本，随时能过户，看房提前联系就行！,天河尚城西区 -桥西区,2室1厅 | 49.9平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,32,"6,413元/平"
功能性3居，采光好，有房本满5唯1可贷款,开元溪府 -桥西区,3室2厅 | 106平米 | 南 北 | 精装 | 低楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,76,"7,170元/平"
东方苑和谐小区 2室2厅 南 北,东方苑和谐小区 -桥东区,2室2厅 | 97.32平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,67,"6,885元/平"
诚心出售，采光好，视野宽广，南北通透,锦城家园 -桥东区,2室2厅 | 97平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,56人关注 / 一年前发布,32,"3,299元/平"
经开区凤凰城一期性价较高的房源,凤凰城 -桥东区,3室2厅 | 105.23平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,19人关注 / 一年前发布,78,"7,413元/平"
诚心出售，采光好，视野宽广，南北通透,锦城家园 -桥东区,2室2厅 | 97平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,56人关注 / 一年前发布,32,"3,299元/平"
东方苑和谐小区 2室2厅 南 北,东方苑和谐小区 -桥东区,2室2厅 | 97.32平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,67,"6,885元/平"
满五唯一的房子，采光充盈，视野开阔,佳境天城 -桥东区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,72,"5,539元/平"
远大盛和苑有本可贷款，精装修，随时看房！,远大·盛和苑 -桥西区,1室1厅 | 53.68平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 31天以前发布,34,"6,334元/平"
此房满五，格局方正，楼层好采光好，装修不错,新村路 -桥西区,1室1厅 | 43.96平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 29天以前发布,27,"6,142元/平"
此房采光充足，生活配套完善，交能便利，楼层好,森林雅居 -万全区,2室2厅 | 75.24平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,30,"3,988元/平"
精装修两居 业主外地发展一直没有住过！急售！,开元溪府 -桥西区,2室1厅 | 85.23平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,65人关注 / 一年前发布,62,"7,275元/平"
兴华家园北区1-1-1-1 63.70² 19 万,兴华家园北区 -张北县,1室1厅 | 63.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,17,"2,669元/平"
，拎包入住，看房方便，业主急售，随时过户办贷款,北京壹号院 -张北县,2室1厅 | 92平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,19人关注 / 一年前发布,47,"5,109元/平"
全新家电精装拎包入住   户型方正    可以贷款,温馨家园(盛华东大街) -桥东区,2室1厅 | 77平米 | 北 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,63,"8,182元/平"
御园小区 2室2厅 南 北,御园小区 -桥西区,2室2厅 | 78平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,2人关注 / 5个月以前发布,58,"7,436元/平"
南海帝景苑 两居室 业主诚心出售,南海帝景苑 -桥西区,2室2厅 | 91平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 7个月以前发布,71,"7,803元/平"
北京一号院，精装带花园，有钥匙,北京壹号院 -张北县,2室2厅 | 93平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,45,"4,839元/平"
满五唯一，采光充足，南北通透，小区环境好。,御园小区 -桥西区,2室1厅 | 94平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,71,"7,554元/平"
金鹰花园(胜利中路) 2室2厅 南 北,金鹰花园(胜利中路) -桥东区,2室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 2个月以前发布,85,"8,674元/平"
地理位置好 户型方正，生活便利,金华郡都 -张北县,2室1厅 | 91.89平米 | 南 北 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,43,"4,680元/平"
房东诚心出售 此房楼层好，小区环境好,境门华府 -桥西区,2室1厅 | 95.5平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,60,"6,283元/平"
天河桐盛 2室1厅 南,天河桐盛 -桥西区,2室1厅 | 99.6平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,72,"7,229元/平"
西泽园北区，有房本，精装修，婚房出售。,西泽园北区 -桥西区,2室1厅 | 92平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,3人关注 / 3个月以前发布,75,"8,153元/平"
胜利北路花园小区 3室2厅 南,胜利北路花园小区 -桥东区,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,75,"6,819元/平"
此房精装两居室  看房方便，一梯两户户型方正,温馨家园(盛华东大街) -桥东区,2室1厅 | 76平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,55,"7,237元/平"
开元溪府 2室2厅 南 北,开元溪府 -桥西区,2室2厅 | 89.67平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,58,"6,469元/平"
奥林星城北区 3室2厅 南 北,奥林星城北区 -桥东区,3室2厅 | 100平米 | 南 北 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,80,"8,000元/平"
房子有房本 满五唯一 能贷款 精装修 全明户型,东山彩橘 -桥东区,2室2厅 | 111.16平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,85,"7,647元/平"
此房满五唯一，交通方便，户型方正,铸造厂家属院 -桥东区,2室1厅 | 55平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,29,"5,273元/平"
经开区.京北融创城 电梯好楼层137平3居.精装修.,京北融创城 -桥东区,3室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,96,"7,008元/平"
市政府旁，新天地小区精装大三居，嘎嘎板正。,前屯新天地小区 -桥东区,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,11人关注 / 5个月以前发布,104,"7,879元/平"
此房南北通透格局，楼层好，配套设施完善，交通便利,上东红郡 -桥东区,2室2厅 | 113平米 | 南 北 | 其他 | 高楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,94,"8,319元/平"
经开区 纬三路 成熟社区配套齐全，有房本能贷款,世纪豪园 -桥东区,2室2厅 | 90平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,65,"7,223元/平"
张北   中都酒业小区  .......,中都酒业小区 -张北县,2室1厅 | 93平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,30,"3,226元/平"
张北   中都酒业小区  .......,中都酒业小区 -张北县,2室1厅 | 93平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,30,"3,226元/平"
房子精华修，拎包入住，保持的不错。,世纪家园新区 -桥西区,2室1厅 | 83平米 | 南 北 | 其他 | 低楼层(共11层)  | 塔楼,30人关注 / 一年前发布,47,"5,663元/平"
精装修 有房本 可贷款  带地下室  明厅明卧,沁馨苑 -桥西区,2室1厅 | 65平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,40,"6,154元/平"
沁馨苑 小户型 老人住的不错 ，格局方正,沁馨苑 -桥西区,2室1厅 | 56.32平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,34,"6,037元/平"
地理位置好，环境好，，，，，，，,天保新城东区 -张北县,2室1厅 | 90平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,40,"4,445元/平"
张家口市宝善小区 2室1厅 南,张家口市宝善小区 -桥东区,2室1厅 | 65平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,13人关注 / 7个月以前发布,20,"3,077元/平"
此房是小平米的房子.适合老人居住.带地下室.,通泰福苑 -张北县,2室1厅 | 58.7平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,25,"4,259元/平"
金穗家园 3室1厅 南 北,金穗家园 -桥东区,3室1厅 | 100平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,75,"7,500元/平"
杏花小区，两室一厅，三楼，适合老人居住,东辰杏花 -张北县,2室2厅 | 75平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,32,"4,267元/平"
乐购商圈 奥林星城 标准H户型 房本满五唯一 实木装修,奥林星城北区 -桥东区,2室2厅 | 102平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,76,"7,451元/平"
环境优美适宜各个层次居住 物业管理完善,华新园西区 -桥西区,2室1厅 | 52.8平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 4个月以前发布,32,"6,061元/平"
纬二路 市政府 开元溪府 配套完善 好楼层,开元溪府 -桥西区,2室2厅 | 88.13平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,2人关注 / 7个月以前发布,70,"7,943元/平"
单价4000出头两居好房，房东急出手，二楼不挡光,垣豪小区 -桥西区,2室1厅 | 71平米 | 南 | 简装 | 低楼层(共3层)  | 板塔结合,30人关注 / 7个月以前发布,33,"4,648元/平"
工人村东宿舍 2室1厅 南 北,工人村东宿舍 -桥东区,2室1厅 | 60平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,7人关注 / 6个月以前发布,33,"5,500元/平"
水岸丽城 好位置 好楼层 精装3居 出门学习,水岸丽城 -桥西区,3室2厅 | 116.84平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,108,"9,244元/平"
金华怡园 老二医院 清河路   精装修,金华怡园 -桥西区,2室1厅 | 80平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,5人关注 / 7个月以前发布,63,"7,875元/平"
纬一路时代广场西区  好楼层 采光好 精装修  随时看房,时代广场小区西区 -桥东区,2室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 一年前发布,70,"7,292元/平"
丰泰风光苑纯毛坯，随意装修，出行方便,丰泰风光苑 -桥东区,2室2厅 | 104平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 10个月以前发布,76,"7,308元/平"
岭秀城2号院，新房未装修    享静谧安逸舒适,岭秀城（嶺秀城） -桥西区,2室1厅 | 102平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,20人关注 / 一年前发布,65,"6,373元/平"
桥东马路街局内小区二居   有本 税少 可贷款,局内小区 -桥东区,2室1厅 | 65.1平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 10个月以前发布,26,"3,994元/平"
南菜园旁边，中间楼层，南北通透,新营坊21号院 -桥西区,2室1厅 | 80平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,64,"8,000元/平"
房子南北通透 格局好 楼层好 精装修 看房方便,水岸云天小区 -桥东区,3室2厅 | 119.5平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,98,"8,201元/平"
此房格局好，楼层好，视野宽阔，采光充足，配套齐全。,华新园三期 -桥西区,2室2厅 | 83平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,4人关注 / 一年前发布,50,"6,025元/平"
采光充溢，户型方正，有房本满二年，物业尽心尽责,新五一广场2区 -桥东区,2室1厅 | 98平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 6个月以前发布,85,"8,674元/平"
高新区纬一路精装房出售 价格合适,奥林星城北区 -桥东区,2室1厅 | 95平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,10人关注 / 一年前发布,69,"7,264元/平"
新华街，好楼层，业主急售！！！,新华苑小区东二区 -桥西区,2室1厅 | 61平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,37,"6,066元/平"
硬装都已装好，前面是板楼，采光好,水岸云天小区 -桥东区,2室2厅 | 101平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,39人关注 / 一年前发布,64.5,"6,387元/平"
间宽敞明亮 采光好 布局合理 合理摆放家具 位置优越！,新東亚·城市花园 -桥东区,2室2厅 | 92平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,46,"5,000元/平"
电梯好楼层，采光很好，户型方正,京都花园 -桥东区,2室2厅 | 99平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 4个月以前发布,58,"5,859元/平"
东山采橘小区，明天明卧 视野宽阔,东山彩橘 -桥东区,2室2厅 | 101.7平米 | 东 南 北 | 精装 | 低楼层(共18层)  | 塔楼,6人关注 / 8个月以前发布,70,"6,883元/平"
电梯好楼层，采光很好，户型方正,京都花园 -桥东区,2室2厅 | 99平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 4个月以前发布,58,"5,859元/平"
南北通透装修好拎包入住，满五唯一。,开元溪府 -桥西区,2室1厅 | 89平米 | 南 北 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 6个月以前发布,68.5,"7,697元/平"
硬装都已装好，前面是板楼，采光好,水岸云天小区 -桥东区,2室2厅 | 101平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,39人关注 / 一年前发布,64.5,"6,387元/平"
间宽敞明亮 采光好 布局合理 合理摆放家具 位置优越！,新東亚·城市花园 -桥东区,2室2厅 | 92平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,46,"5,000元/平"
东山采橘小区，明天明卧 视野宽阔,东山彩橘 -桥东区,2室2厅 | 101.7平米 | 东 南 北 | 精装 | 低楼层(共18层)  | 塔楼,6人关注 / 8个月以前发布,70,"6,883元/平"
步梯三楼90平米两居室，精装修 家具齐全 价格便宜出售,幸福家园 -张北县,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,28,"3,077元/平"
房子满五唯一，交通便利，购物方便，离公园比较近,元台子小区 -桥西区,2室1厅 | 43.7平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,28,"6,408元/平"
房子位于二中天宝花园小区，双阳卧楼前无遮挡采光好,天宝花园 -桥西区,2室1厅 | 47平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,6人关注 / 4个月以前发布,18,"3,830元/平"
东环内 不堵车 上东红郡东边 环境好 物业费低,君悦东山 -桥东区,1室1厅 | 75平米 | 南 | 简装 | 中楼层(共20层)  | 板楼,2人关注 / 1个月以前发布,40,"5,334元/平"
碧桂园官厅湖精装修2居室低价出售，低价出售,碧桂园官厅湖 -东花园,2室1厅 | 78.48平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,7人关注 / 1个月以前发布,35,"4,460元/平"
兰顿庄园 2室1厅 南 北,兰顿庄园 -沙城,2室1厅 | 73.34平米 | 南 北 | 简装 | 低楼层(共24层)  | 塔楼,0人关注 / 8天以前发布,53,"7,227元/平"
小区交通便利 ，出行方便。 绿化比例高。,兴苑西小区 -张北县,2室1厅 | 96平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 5天以前发布,44,"4,584元/平"
地段平整，配套齐全，小区房龄新！,张铁家园 -桥东区,2室2厅 | 84平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,70,"8,334元/平"
一中后街，农行家属楼，单价8000，蒙古营,农行家属楼 -桥西区,1室1厅 | 45平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,35,"7,778元/平"
房子是板楼公摊小出行方便南北通透,佳境天城 -桥东区,3室2厅 | 139平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,94,"6,763元/平"
此房满五唯一，楼层好，价格合适，地处繁华,北关街7号 -桥西区,1室1厅 | 51.9平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,24.8,"4,779元/平"
下东营，九中，税务局家属楼，4楼，双阳户型,长青路32号院 -桥西区,1室1厅 | 43平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,40,"9,303元/平"
格局方正 采光好 通透户型 好楼层 税费少,煤炭家属小区 -桥西区,2室1厅 | 53平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,34,"6,416元/平"
环境优美适宜各个层次居住 物业管理完善,华新园三期 -桥西区,2室2厅 | 106.5平米 | 南 北 | 其他 | 低楼层(共29层)  | 板楼,0人关注 / 7天以前发布,68,"6,385元/平"
南菜园 光明园小区  板楼五楼 公摊小  诚心出售,光中路6号 -桥西区,2室1厅 | 60平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,36,"6,000元/平"
店长推荐好房，好户型，无遮挡。,凤翔山庄 -桥西区,2室2厅 | 73平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,42,"5,754元/平"
中泰城 工业街 明厅明卧两居 南北通透 毛坯房,中泰城 -桥东区,2室2厅 | 82.11平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 8天以前发布,69.79,"8,500元/平"
逸然小区 2室1厅 南 北,逸然小区 -桥东区,2室1厅 | 61.14平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,41,"6,706元/平"
此房南北通透格局，格局方正，户型好。电梯楼，,新城名座 -桥东区,3室2厅 | 153.88平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 8天以前发布,120,"7,799元/平"
房子是南北通透 格局，视野开阔，配套设施齐全,张家口运输公司家属楼 -桥西区,1室1厅 | 44平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 5天以前发布,22,"5,000元/平"
