标题,开发商,房子信息,发布信息,售价/万,单价
香榭丽舍新上精装三房 三开间朝南 基本未入住,香榭丽舍 -南环,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,76,"5,391元/平"
书源阁3-2-1-1 93.50m² 26 万）,书源阁 -川汇区政府商圈,3室2厅 | 93.5平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 25天以前发布,26,"2,781元/平"
2楼东边户，经典好户型，三室两厅两卫急售！！！,贾鲁嘉苑L区 -川汇区政府商圈,3室2厅 | 129.55平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 23天以前发布,39,"3,011元/平"
该小区环境比较好，住宅人素质较高，干净整洁,普罗旺斯 -西华县,3室2厅 | 131平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板楼,0人关注 / 24天以前发布,63,"4,810元/平"
此房是新小区，环境好，上学方便，出行方便,建业城东区 -沈丘县,3室2厅 | 132平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 20天以前发布,98,"7,425元/平"
此房是精装修，装修婚房家具家电齐全都是品牌家具家电,颍河嘉园 -沈丘县,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,60,"5,455元/平"
是南关唯一一个大产权房子的小区，证在手随时过户,龙城花园 -沈丘县,3室1厅 | 103.67平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,33,"3,184元/平"
万基颍河春天，毛坯房，户型方正，南北双阳台,万基·颍河春天 -中心医院商圈,3室2厅 | 137.84平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 19天以前发布,80,"5,804元/平"
此房配套全，房子格局好。楼层不错。,金海嘉苑A区 -川汇区政府商圈,3室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 23天以前发布,40,"3,101元/平"
君临府，出行便利，小区好，购物便利，有证，,君邻府 -沈丘县,3室2厅 | 122平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 20天以前发布,81,"6,640元/平"
四室两厅，一厨，两卫 ，好楼层，采光刺眼,大唐天龙郡 -沈丘县,4室2厅 | 149平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 20天以前发布,116,"7,786元/平"
步梯2楼，南北通通，采光好，小区住人不多很安静。,香橙公寓 -国贸商圈,3室2厅 | 130平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 24天以前发布,24.9,"1,916元/平"
户型好 大开间大客厅 小区位置在东新区地段,建业世和府 -东新区商圈,3室2厅 | 119.9平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 29天以前发布,71,"5,922元/平"
建业城大城小院  一楼带院  带地下室,建业城一期（大城小院） -南环,3室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,138,"10,000元/平"
电梯现房，通透户型，随时装修，采光好，随时看房,大唐天龙郡 -沈丘县,3室2厅 | 128.8平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 31天以前发布,85,"6,600元/平"
奥兰未来城  视野宽阔 采光充足  出行方便  购物便利,奥兰未来城 -沈丘县,4室2厅 | 118.75平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,66,"5,558元/平"
三层别墅，前后院，交通便利，出行方便，简装,新世纪花园 -万基城商圈,6室4厅 | 300平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 29天以前发布,140,"4,667元/平"
碧桂园城市之光 带地下停车位 看房方便,碧桂园城市之光 -川汇区政府商圈,4室2厅 | 140平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 20天以前发布,88,"6,286元/平"
鑫贵名苑精装修电梯房三房两厅两卫急售,鑫贵名苑 -郸城县,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,72,"5,143元/平"
此房是毛坯房 可根据自己喜好随意装修全天采光,大地华府 -万基城商圈,3室1厅 | 94.5平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 24天以前发布,43.8,"4,635元/平"
周口碧桂园 5室2厅 东南 南,周口碧桂园 -东新区商圈,5室2厅 | 258平米 | 东南 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 26天以前发布,180,"6,977元/平"
电梯洋房！一梯两户 中间楼层 融辉F区 采光视野都很好,融辉城F区 -商水县,4室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共8层)  | 平房,0人关注 / 27天以前发布,67,"4,963元/平"
小区房子南北通风，采光充足，楼层好，配套设施完善。,碧桂园中央公园 -万基城商圈,3室2厅 | 121.39平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 19天以前发布,63,"5,190元/平"
周口开元万达广场 3室2厅 南,周口开元万达广场 -南广场万达商圈,3室2厅 | 117平米 | 南 | 其他 | 高楼层(共34层)  | 暂无数据,0人关注 / 24天以前发布,58,"4,958元/平"
"户型方正,，采光、通风、视野好。交通便捷",聂堤家园 -中心医院商圈,3室2厅 | 108平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,29.8,"2,760元/平"
万正龙湖城 3室2厅 南 北,万正龙湖城 -淮阳县,3室2厅 | 138平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 23天以前发布,70,"5,073元/平"
此房有证可以按揭，业主诚心出售，看房方便,羲城名郡西区 -淮阳县,3室2厅 | 130平米 | 南 北 | 简装 | 低楼层(共11层)  | 平房,0人关注 / 21天以前发布,88,"6,770元/平"
美景佳苑一楼精装带地暖  家具家电全 双层防水,美景佳苑 -郸城县,3室2厅 | 110平米 | 南 北 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 29天以前发布,46,"4,182元/平"
位置好，出入方面，交通便利，环境好。,槐府六号 -沈丘县,3室2厅 | 168.91平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 24天以前发布,61,"3,612元/平"
户型好.中间楼层15楼，业主诚心出售此房,贾鲁嘉苑L区 -川汇区政府商圈,3室2厅 | 129.55平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 24天以前发布,42,"3,242元/平"
碧桂园精装四房 产权清晰 有证随时可过户,周口碧桂园 -东新区商圈,4室2厅 | 168平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 18天以前发布,115,"6,846元/平"
小区处于周口大道东侧，体育管东边，前面是沙河风景区,碧桂园天玺湾 -东新区商圈,3室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 27天以前发布,78,"6,342元/平"
金秋龙樾府 3室2厅 南,金秋龙樾府 -南广场万达商圈,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 28天以前发布,70,"5,556元/平"
建业电梯三房，环境优美，户型合理，居住舒心,建业森林半岛 -商水县,3室2厅 | 121.38平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 21天以前发布,32,"2,637元/平"
万基城壹号院洋房现房，随买随装随住。,万基城 -万基城商圈,3室2厅 | 143.89平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 19天以前发布,110,"7,645元/平"
融辉理想城D1区 3室2厅 南 北,融辉理想城D1区 -商水县,3室2厅 | 127.22平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 27天以前发布,54.5,"4,284元/平"
中间楼层，视野开阔，楼层适合位置优越，地段好,海林·哈根城 -兰亭山水商圈,3室2厅 | 138.45平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 24天以前发布,45,"3,251元/平"
水韵华庭二期 3室2厅 东,水韵华庭二期 -项城市,3室2厅 | 141平米 | 东 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 20天以前发布,79,"5,603元/平"
项城建邺城    可以按揭    看房提前约,项城建业城 -项城市,3室2厅 | 142平米 | 东 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 22天以前发布,71,"5,000元/平"
此小区新小区，户型方正，交通方便，业主诚心出售,水韵华庭二期 -项城市,4室2厅 | 137.37平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 16天以前发布,79,"5,751元/平"
绿城紫薇苑一期现房，边户有车位，业主急售,国控紫薇苑一期 -项城市,4室2厅 | 142.82平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,71,"4,972元/平"
诚德华府，装修三房，户型方正，通透，采光无遮挡,诚德华府 -兰亭山水商圈,3室2厅 | 134.5平米 | 南 | 简装 | 中楼层(共10层)  | 板塔结合,0人关注 / 28天以前发布,63,"4,685元/平"
周口市泰和家园 3室2厅 东,周口市泰和家园 -未知商圈,3室2厅 | 127平米 | 东 | 毛坯 | 中楼层(共21层)  | 板楼,0人关注 / 30天以前发布,36.6,"2,882元/平"
周口碧桂园洋房二楼精装修三大房,周口碧桂园 -东新区商圈,3室2厅 | 119平米 | 东南 南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 27天以前发布,86,"7,227元/平"
周口祥和家园中间户大三房干净整洁,祥和家园 -东新区商圈,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 28天以前发布,45,"3,750元/平"
建业春天里(周口） 3室2厅 南,建业春天里(周口） -南广场万达商圈,3室2厅 | 113.65平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 22天以前发布,65,"5,720元/平"
大城小院 前排电梯中间楼层 采光刺眼 业主挥泪出售,建业城一期（大城小院） -南环,3室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 18天以前发布,70,"5,933元/平"
亿豪花园，证在手。精装修，看房方便。出行便利，,亿豪花园 -沈丘县,3室2厅 | 125平米 | 南 | 简装 | 中楼层(共10层)  | 塔楼,0人关注 / 28天以前发布,60,"4,800元/平"
建业森林半岛电梯大三房，环境好格局合理,建业森林半岛 -商水县,3室2厅 | 132.3平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 21天以前发布,38,"2,873元/平"
金华苑小区，购物方便，出门就是大路,金华苑小区 -西华县,3室2厅 | 131平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 27天以前发布,35,"2,672元/平"
品质小区  位置好  四周方便,建业城 -沈丘县,4室2厅 | 158.99平米 | 南 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 23天以前发布,90,"5,661元/平"
九层电梯洋房  格局好 户型好 视野 看房方便,嘉和花园 -南环,3室2厅 | 126.8平米 | 东 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 28天以前发布,77,"6,073元/平"
万达香蜜湖洋房三室两厅一厨两卫,万达.香蜜湖 -郸城县,3室2厅 | 131平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 26天以前发布,71,"5,420元/平"
幸福家园西区 3室2厅 南 北,幸福家园西区 -中原国际商贸城商圈,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 28天以前发布,48,"4,000元/平"
急售  万科一期   带全屋品牌家具  视野开阔 全天采光,万科·溥天龙堂 -南环,3室2厅 | 102平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 28天以前发布,75,"7,353元/平"
电梯多层洋房7楼复式，四室两厅两卫，户型方正,现代城鸿泰园四期 -现代城商圈,4室2厅 | 158.4平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,88,"5,556元/平"
此房有证可按揭，产权清晰，楼层好,阳光澜岸 -兰亭山水商圈,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,45,"4,018元/平"
新交付碧桂园二期，小高层，可按揭随时看房,碧桂园天玺湾 -东新区商圈,3室2厅 | 123平米 | 西南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 29天以前发布,80,"6,505元/平"
新交付碧桂园二期，小高层，可按揭随时看房,碧桂园天玺湾 -东新区商圈,3室2厅 | 123平米 | 西南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 29天以前发布,80,"6,505元/平"
碧桂园现房 三室二厅二卫，大社区新环境,碧桂园天玺湾 -东新区商圈,3室2厅 | 123平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,83,"6,748元/平"
育新街，简装大3室，有证可按揭,育新街商业街 -中心医院商圈,3室1厅 | 120.09平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,42,"3,498元/平"
此房  户型方正，采光充足，视野开阔,外贸家属院 -中心医院商圈,3室2厅 | 94平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,23,"2,447元/平"
周口东区碧桂园 位置好采光好 税满即买即装修,周口碧桂园 -东新区商圈,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,70,"5,834元/平"
香榭丽舍 精装修 未入住 有证税满可以 按揭,香榭丽舍 -南环,3室2厅 | 134平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,80,"5,971元/平"
格局很好， 视野宽阔 ，采光充足， 交通便利 。,迎宾一号院 -西华县,3室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,46,"4,381元/平"
碧桂园温馨三房，全南户型，每个卧室都带飘窗,周口碧桂园 -东新区商圈,3室1厅 | 85平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,110,"12,942元/平"
周口碧桂园 洋房 有证税满2年 精装修 采光好,周口碧桂园 -东新区商圈,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 5个月以前发布,106,"8,689元/平"
雲鼎鑫城精装修二房 全屋品牌 拎包入住 有证税满,雲鼎鑫城 -中心医院商圈,2室2厅 | 86.91平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,7人关注 / 一年前发布,55,"6,329元/平"
格局很好 楼层好 视野宽阔 采光充足,华夏名郡北区 -西华县,3室2厅 | 119.88平米 | 南 | 毛坯 | 高楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,48,"4,005元/平"
南关新区 好房急售  有证看房方便 价位合适,建业城 -西华县,3室2厅 | 130.38平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,0人关注 / 一年前发布,66.8,"5,124元/平"
此房位于城繁华位置，处于县城枢纽地段。,梁鄂华商住楼 -西华县,20室9厅 | 356平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 9个月以前发布,290,"8,147元/平"
底价出售诚德华府精装三房 户型方正 阳光充足,诚德华府 -兰亭山水商圈,3室2厅 | 127.21平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,68,"5,346元/平"
现房 天明城二期 人车分流 看房有钥匙,天明城名门世家 -东新区商圈,3室2厅 | 128.83平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,7人关注 / 4个月以前发布,56,"4,347元/平"
领秀新城西府大院，户型好，半装修，,领秀新城西府大院 -西华县,3室2厅 | 120.97平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 一年前发布,69,"5,704元/平"
理想城3-2-1-2 124.09m² 64 万,理想城 -西华县,3室2厅 | 124.09平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,64,"5,158元/平"
此房户型方正，采光好，视野广，无暗室！,汉唐街社区 -西华县,3室2厅 | 119平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,35.9,"3,017元/平"
此房居家安静舒适，氛围安静和谐。适宜静养住家.,江南水乡 -西华县,3室2厅 | 130.9平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,46,"3,515元/平"
翰林苑3室2厅1厨2卫，精装修,翰林苑 -西华县,3室2厅 | 125.74平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,5人关注 / 一年前发布,59,"4,693元/平"
碧水云天简装大三房，有证可分期，采光好，随时看,碧水云天 -商水县,3室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,51,"3,778元/平"
盛世花园  。。。。。。。..........,盛世花园小区 -西华县,3室2厅 | 129.9平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,1人关注 / 一年前发布,51,"3,927元/平"
名郡南区好房急售  交通方便  温泉水 入住好地方,华夏名郡南区 -西华县,3室2厅 | 127.56平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,53,"4,155元/平"
此房为南关新区房，新房是建业的品质，..............,理想城 -西华县,3室2厅 | 112.15平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 5个月以前发布,49,"4,370元/平"
急售 汉唐街中段 满五 采光好 出行方便,汉唐街社区 -西华县,3室2厅 | 118.19平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,36.2,"3,063元/平"
此房户型方正，卧室朝阳，采光好，通风好,西华现代城小区 -西华县,3室2厅 | 129.14平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,25人关注 / 一年前发布,23,"1,782元/平"
该小区环境比较好，住宅人素质较高，干净整洁,温馨港湾 -西华县,4室2厅 | 147.31平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,74,"5,024元/平"
城中花园，楼层好，户型好，产权清晰,城中花园 -西华县,3室2厅 | 131.15平米 | 南 | 毛坯 | 23层  | 板楼,0人关注 / 一年前发布,59,"4,499元/平"
温泉花园电梯4室2厅 东边户 户型方正 有钥匙随时看房,中原温泉花园 -西华县,4室2厅 | 143.51平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,60,"4,181元/平"
此房户型端正，采光好视野广，无暗室！,城中花园 -西华县,3室2厅 | 114.04平米 | 南 | 毛坯 | 18层  | 板楼,2人关注 / 10个月以前发布,44.9,"3,938元/平"
新地阳光城..*大空间 格局好 楼层好 视野宽阔 采光好,新地阳光城 -西华县,5室2厅 | 174.43平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,44.5,"2,552元/平"
省钱购好房，热门大三居优选推荐，业主急售！,人民路中段周群商住楼 -西华县,3室2厅 | 172.43平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,54,"3,132元/平"
领秀新城西府大院  三室两厅 急售 性比价高,领秀新城西府大院 -西华县,3室2厅 | 114.1平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,58,"5,084元/平"
新地世纪城3-2-1-2 191.07m² 52 万）,新地世纪城 -西华县,3室2厅 | 191.07平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 10个月以前发布,48.88,"2,559元/平"
此户型设计合理，客厅卧室阳光充足。。。。。。。。,育龙鑫城 -西华县,3室2厅 | 108.71平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,33,"3,036元/平"
简装大三室 买房看价格 看地段 有证可过户,峰基莊園 -万基城商圈,3室2厅 | 144平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 4个月以前发布,45,"3,125元/平"
龙湖新城 小区环境优美  交通方便,龙湖新城1号院 -淮阳县,3室2厅 | 109.49平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,6人关注 / 一年前发布,52,"4,750元/平"
成熟商圈步梯三楼，简装修可拎包入住。,聂堤家园 -中心医院商圈,3室1厅 | 104平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,26.8,"2,577元/平"
五一路新华步行街大三房，交通位置便利，契税满2年,新华步行街 -五一广场商圈,3室2厅 | 142平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,44,"3,099元/平"
小区环境优美，交通便利，入住率高,华夏名郡南区 -西华县,3室2厅 | 126平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,53,"4,207元/平"
房子是一期大四房，出行方便，户型通透,天明城·人和苑 -东新区商圈,3室2厅 | 131.57平米 | 南 | 简装 | 低楼层(共25层)  | 塔楼,8人关注 / 一年前发布,73.5,"5,587元/平"
君邻府，三室两厅两卫，可按揭，随时可过户。,君邻府 -沈丘县,3室2厅 | 141.6平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,88,"6,215元/平"
天泰花园140平4室2厅可按揭,天泰花园 -西华县,4室2厅 | 139.9平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,35,"2,502元/平"
此房无纠纷无抵押，经配偶和共有权人同意出售此房,坤禧天安郡 -项城市,4室2厅 | 183平米 | 东 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 16天以前发布,160,"8,744元/平"
多层电梯洋房 一梯两户 南北通，透户型,奧蘭天和家園 -周师商圈,2室2厅 | 91平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 1个月以前发布,51,"5,605元/平"
汇林凤凰苑 四房出售 南北对流 有证满二可分期,汇林凤凰苑 -兰亭山水商圈,4室4厅 | 236.64平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,13人关注 / 一年前发布,110,"4,649元/平"
临河观景房 视野开阔 有证税满 随时可看,建业森林半岛 -周师商圈,3室2厅 | 136.52平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,85,"6,227元/平"
融辉城一期，花园洋房，复式楼，契税满两年可分期,融辉城一期 -商水县,4室2厅 | 184平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,10人关注 / 一年前发布,86,"4,674元/平"
朝向 南北 全明户型 户型很好 价格优惠,天泰花园 -西华县,3室2厅 | 140.31平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,28,"1,996元/平"
融辉城一期 3室2厅 南,融辉城一期 -商水县,3室2厅 | 120.06平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,77,"6,414元/平"
面积大楼层佳，出行购物方便，适合家里人口比较多的。,人民路 -西华县,4室2厅 | 158.55平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,46,"2,902元/平"
业主诚心出售。简单装修。户型明亮,阳光花园 -沈丘县,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 16天以前发布,32,"2,520元/平"
车库上面 好楼层 上下楼方便 位置好 采光好,紫竹花园 -西华县,3室2厅 | 128.96平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,48,"3,723元/平"
汉唐街社区9号楼 三室两厅一厨一卫毛坯房 。,汉唐街社区 -西华县,3室2厅 | 119平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,28,"2,353元/平"
鸿博家园   中间楼层  可以按揭  直接办证,鸿博家园 -项城市,3室2厅 | 111平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 12天以前发布,53,"4,775元/平"
此房电梯四室 中间楼层西边户 三面通透 客厅大落地窗,国控睿智城锦城 -项城市,4室2厅 | 145平米 | 南 西南 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 12天以前发布,78,"5,380元/平"
房子有证按揭 毛坯三室 采光良好,阳光水岸 -淮阳县,3室2厅 | 115.53平米 | 西南 | 毛坯 | 高楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,47,"4,069元/平"
外贸家属院 有证可以过户  看房子有钥匙 急售,外贸家属院 -中心医院商圈,3室1厅 | 73.27平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,21,"2,867元/平"
巴黎左岸大三居 有证满两年 拎包可住！,巴黎左岸 -兰亭山水商圈,3室2厅 | 131.55平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,82,"6,234元/平"
房子有证契税满两年银行不欠钱，南北通风效果好,奧蘭天和家園 -周师商圈,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 4个月以前发布,80,"6,505元/平"
此房户型端正，采光好，视野广，无暗室。,明诚苑社区 -西华县,3室2厅 | 148平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,62,"4,190元/平"
强达小区优质房源三室两厅带电梯,强达第一城 -西华县,3室2厅 | 136.8平米 | 南 | 毛坯 | 高楼层(共19层)  | 板塔结合,5人关注 / 一年前发布,40,"2,924元/平"
名郡内复式 5室3厅 使用空间大 采光好 常年温泉水,华夏名郡北区 -西华县,5室3厅 | 116.36平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,53.9,"4,633元/平"
外贸家属院 有证可以过户  看房子有钥匙 急售,外贸家属院 -中心医院商圈,3室1厅 | 73.27平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,21,"2,867元/平"
海通润园    环境优美   位置佳   采光充足,海通润园 -西华县,3室2厅 | 117.83平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,46,"3,904元/平"
温泉花园 三室急售  有证  业主诚心卖房 随时可看,中原温泉花园 -西华县,3室2厅 | 115平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,39,"3,392元/平"
急卖 急卖 10楼 总层17层 满2 按揭也可以,盛弘朗庭 -西华县,3室2厅 | 125.24平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,3人关注 / 一年前发布,52,"4,153元/平"
交通便利，物业管理好，诚心出售，，，，,金色华府 -项城市,3室2厅 | 136平米 | 西南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 11个月以前发布,67,"4,927元/平"
绿城紫薇苑大四房，环境优美，新中式园林设计风格,国控紫薇苑一期 -项城市,4室2厅 | 142.38平米 | 东 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,75,"5,268元/平"
房子有证契税满两年银行不欠钱，南北通风效果好,奧蘭天和家園 -周师商圈,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 4个月以前发布,80,"6,505元/平"
建业二期此房是毛坯房，户型方正，出行方便,沈丘建业城二期 -沈丘县,3室2厅 | 136.05平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 17天以前发布,73.5,"5,403元/平"
楼层好视野宽阔采光充足配套设施齐全交通便利,富强华庭 -西华县,3室2厅 | 122.58平米 | 南 | 毛坯 | 高楼层(共13层)  | 板楼,1人关注 / 8个月以前发布,45.9,"3,745元/平"
印象康桥装修好电梯三房，看房方便随时看房,印象康桥 -商水县,3室2厅 | 125.58平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,78,"6,212元/平"
