标题,开发商,房子信息,发布信息,售价/万,单价
世纪城五区 好楼层 南北通透 精装修 可贷款,世纪城▪五区 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 15天以前发布,186,"14,646元/平"
石洞沟平地不上坡高楼层  户型方正采光好公摊小位置好,标牌厂家属楼 -市区商圈,3室1厅 | 89.76平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,75,"8,356元/平"
高铁站 南北三居室 业主随时签约 随时看房 急售,梨花江苑 -开发区商圈,3室2厅 | 132.16平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,1人关注 / 6个月以前发布,105,"7,945元/平"
房子位置好，南北通透大三居，看房方便,新世家二期 -市区商圈,3室2厅 | 145平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,116,"8,000元/平"
兴隆县开发区集荣丽景三居二卫.中间楼层,集荣丽景 -兴隆县,3室1厅 | 119.4平米 | 南 北 | 其他 | 中楼层(共24层)  | 暂无数据,3人关注 / 一年前发布,83,"6,952元/平"
兴隆御景，交通发达，生活便利。。。,兴隆御景 -兴隆县,3室1厅 | 135.99平米 | 南 北 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,80,"5,883元/平"
江山华府 3室2厅 南,江山华府 -双滦区,3室2厅 | 129平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,110,"8,528元/平"
福溪帝苑全明大三居，毛坯随意装，次顶楼，有地下车位,福溪帝苑二期 -双滦区,3室2厅 | 121平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,2人关注 / 一年前发布,110,"9,091元/平"
凤凰御都 花园洋房 大三居 带车库,凤凰御都 -开发区商圈,3室2厅 | 130.4平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,145,"11,120元/平"
和润新城畅园大三居 毛坯随意装修,和润新城畅园 -开发区商圈,3室2厅 | 133平米 | 北 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 7个月以前发布,130,"9,775元/平"
桃李苑 临河观景房 中间层 带地下室,阳光四季城桃李苑 -开发区商圈,3室2厅 | 154平米 | 南 北 | 其他 | 高楼层(共22层)  | 板楼,2人关注 / 一年前发布,120,"7,793元/平"
银杏苑 精装修3居室 高层 采光好,阳光四季城银杏苑 -开发区商圈,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 一年前发布,145,"11,154元/平"
前排 毛坯房 南北通透三居室 带车位带地下室,凤凰豪庭 -开发区商圈,3室2厅 | 123.58平米 | 南 北 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 4个月以前发布,185,"14,971元/平"
三室两厅两卫 南北通透户型 采光好 无遮挡 平地不上坡,福地华园西区 -市区商圈,3室2厅 | 160平米 | 南 北 | 其他 | 高楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,230,"14,375元/平"
诚售天福家园三居室 ，东边户采光充足，全明户型。,天福家园 -平泉市,3室2厅 | 95.06平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,69,"7,259元/平"
车站路农机楼 平地 采光充足 视野开阔 看房方便,农机楼 -市区商圈,3室2厅 | 92.55平米 | 西南 东北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,65,"7,024元/平"
业主诚心出售.楼层好，采光好，视野宽阔,隆湾帝园A区 -兴隆县,4室2厅 | 198平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,140,"7,071元/平"
南北通透 中间楼层全天采光 户型方正 前后无遮 本五年,乾阳小区 -市区商圈,3室2厅 | 125平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,130,"10,400元/平"
兴隆县 70年产权住宅 民水民电可过户,财富九龙城 -兴隆县,2室1厅 | 85平米 | 南 北 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,70,"8,236元/平"
采光好 小区仅 此一套  产权清晰,世纪城▪五区 -市区商圈,3室2厅 | 126平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 一年前发布,218,"17,302元/平"
市中 心  四居室 167南北通透  位置好,向阳小区 -市区商圈,4室2厅 | 167.58平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,190,"11,338元/平"
电梯已按 易出行好楼层视野宽阔 光线好 配套设施全,乾坤山庄 -市区商圈,3室2厅 | 139.38平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,125,"8,969元/平"
海棠苑，南北通透大四居，老本可以贷款,阳光四季城海棠苑 -开发区商圈,4室2厅 | 185平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,170,"9,190元/平"
下二道河子，鸿时利和小区，三室一厅，临河观景，,鸿时利和 -市区商圈,3室1厅 | 136平米 | 北 南 | 其他 | 高楼层(共25层)  | 塔楼,1人关注 / 一年前发布,170,"12,500元/平"
欢乐江山 南北通透大三居  全明户型 有地下室,欢乐江山三期 -双滦区,3室2厅 | 121平米 | 南 北 | 其他 | 高楼层(共10层)  | 暂无数据,2人关注 / 一年前发布,115,"9,505元/平"
兴隆鹏鸣二期三居二卫，户型方正，即买即住.,鹏鸣 -兴隆县,3室1厅 | 119.18平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,93,"7,804元/平"
业主急售 看房方便 次顶层 房子采光好 南北通透,魁福园 -市区商圈,3室2厅 | 85平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,1人关注 / 8个月以前发布,85,"10,000元/平"
双滦五小边上，129平双室，全明户型，有钥匙随时看,生态家园 -双滦区,3室2厅 | 126平米 | 南 | 其他 | 高楼层(共24层)  | 塔楼,1人关注 / 一年前发布,83,"6,588元/平"
兴隆佳兴花园宽阔三居二卫，落地窗！毛坯房！,佳兴花园 -兴隆县,3室1厅 | 129.6平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,85,"6,559元/平"
兴隆县 馨埔花园 三室两卫 电梯房 采光好,馨埔花园 -兴隆县,3室1厅 | 124.9平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,80,"6,406元/平"
急售   气象局家属楼   两室一厅一厨一卫,气象局家属楼 -市区商圈,2室1厅 | 59.79平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,52,"8,698元/平"
兴隆财富九龙城，南北通透的3居室，附带大露台,财富九龙城 -兴隆县,3室1厅 | 116平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,4人关注 / 8个月以前发布,75,"6,466元/平"
采光好 小区仅 此一套  产权清晰,万华小区D区 -市区商圈,3室2厅 | 92平米 | 南 北 | 其他 | 高楼层(共23层)  | 板楼,2人关注 / 一年前发布,92,"10,000元/平"
此房南北通透 三洋开泰户型 全明户型， 临河观景，,椿林苑 -开发区商圈,4室2厅 | 187平米 | 南 北 | 其他 | 中楼层(共20层)  | 暂无数据,0人关注 / 4个月以前发布,158,"8,450元/平"
南北通透 全天采光 户型方正 前后无遮,翠兴园 -市区商圈,3室2厅 | 100平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,86,"8,600元/平"
盛和园前排南北通透  采光好 户型方正 老本可贷款,荣信盛和园 -市区商圈,2室1厅 | 85平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,110,"12,942元/平"
玉萍岛精装修，仅售6000多一平的好房源有钥匙看房方便,玉萍岛 -市区商圈,3室2厅 | 124.53平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,80,"6,425元/平"
香江二期，南北通透三居，毛坯随意装修，可以贷款,香江卡纳溪谷二期 -未知商圈,3室2厅 | 105平米 | 南 北 | 其他 | 中楼层(共27层)  | 暂无数据,1人关注 / 4个月以前发布,68,"6,477元/平"
梨花江苑，南北通透，大三居，单价低好楼层有本可贷款,梨花江苑 -开发区商圈,3室2厅 | 133平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,80,"6,016元/平"
石洞子沟 富华山庄二期 南北通透三居室 落地窗 采光好,富华山庄二期 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,110,"8,662元/平"
世纪城六期德泽府开发商是华锋地产社区配套齐全,世纪城六区德泽府 -市区商圈,3室2厅 | 122.21平米 | 北 南 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 6个月以前发布,190,"15,548元/平"
南北通透三居室 毛坯房给您更多的装修空间 临河观景房,阳光四季城银杏苑 -开发区商圈,3室2厅 | 117平米 | 南 北 | 其他 | 低楼层(共24层)  | 暂无数据,1人关注 / 5个月以前发布,95,"8,120元/平"
万华前排三室两厅双卫毛坯房中间楼层业主诚意出售,万华小区D区 -市区商圈,3室2厅 | 152.4平米 | 南 北 西 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,190,"12,468元/平"
业主诚心出售 透格局好，楼层好，视野宽阔，采光充足,鹏鸣 -兴隆县,3室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,72,"5,035元/平"
石洞子沟 清樾华庭 南北通透 户型方正  毛坯,清樾華庭 -市区商圈,4室4厅 | 185平米 | 南 北 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 一年前发布,190,"10,271元/平"
采光好 小区仅 此一套  产权清晰,福地华园西区 -市区商圈,4室2厅 | 223平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 塔楼,2人关注 / 一年前发布,360,"16,144元/平"
市区鸿时利合三室两厅两卫电梯房有房本可贷款看房方便,鸿时利和 -市区商圈,3室2厅 | 132.6平米 | 南 北 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 5个月以前发布,123,"9,277元/平"
此房视野开阔 南北通透户型好，交通便利，配套齐全,兴隆·碧桂园 -兴隆县,3室2厅 | 121.35平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 5个月以前发布,107,"8,818元/平"
天马一期3居室........................,天马一期 -兴隆县,3室2厅 | 247.47平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,103,"4,163元/平"
兴隆御景 3室2厅 南 北,兴隆御景 -兴隆县,3室2厅 | 147平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,95.5,"6,497元/平"
高铁站旁南北通透全明双卫大三居,至尊门第 -兴隆县,3室1厅 | 136平米 | 南 北 | 其他 | 高楼层(共22层)  | 暂无数据,1人关注 / 一年前发布,75,"5,515元/平"
荣丰华府 3室1厅 南 北,荣丰华府 -兴隆县,3室1厅 | 98.17平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 8个月以前发布,85,"8,659元/平"
南北通透格局好，楼层好，视野宽阔，采光充足,兴隆御景 -兴隆县,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,72,"6,102元/平"
是电梯房，南北双通透，格局好，交通便利,集荣丽景 -兴隆县,3室2厅 | 124平米 | 南 北 | 其他 | 低楼层(共24层)  | 暂无数据,2人关注 / 6个月以前发布,86,"6,936元/平"
大三室，税费少，临河观景，视野开阔,御龍瀚府 -开发区商圈,3室2厅 | 139.8平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,140,"10,015元/平"
兴隆县城，馨埔花园小区，好房出售。,馨埔花园 -兴隆县,3室1厅 | 126平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,88,"6,985元/平"
此房就是我们理想中的房子，纯南户型,隆湾帝园A区 -兴隆县,3室1厅 | 174平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,122,"7,012元/平"
"：南北通透格局，采光好视野好，公摊小,高楼层",福星公寓二期 -兴隆县,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共20层)  | 暂无数据,0人关注 / 3个月以前发布,95,"7,038元/平"
财富广场毛坯两居.金.角.采光充足.视野开阔,财富广场 -兴隆县,2室1厅 | 85平米 | 东南 | 其他 | 高楼层(共23层)  | 板楼,1人关注 / 8个月以前发布,60,"7,059元/平"
和润平地不上坡   醉前排  全天采光 视野开阔,和润新城 -开发区商圈,3室2厅 | 116.7平米 | 南 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 8个月以前发布,105,"8,998元/平"
不是别墅，胜似别墅。亲近自然，享受温馨舒适的生活,凤凰御景 -开发区商圈,5室3厅 | 206.21平米 | 南 北 | 其他 | 中楼层(共8层)  | 板塔结合,8人关注 / 一年前发布,199,"9,651元/平"
中兴路小区 通透 户型，采光好 位置佳,中兴路小区 -市区商圈,2室2厅 | 64平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,58,"9,063元/平"
铂悦山洋房，南北通透，毛坯三居，带车位，,铂悦山四期 -开发区商圈,3室2厅 | 138平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,180,"13,044元/平"
和润新城，南北通透三居室，采光好，户型好，视野好。,和润新城 -开发区商圈,3室2厅 | 117平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,100,"8,548元/平"
凤凰御景一楼带花园大四居毛坯房可随意装修房本满两年,凤凰御景 -开发区商圈,4室2厅 | 138平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 暂无数据,2人关注 / 7个月以前发布,165,"11,957元/平"
富华新天地.南北通透四居室.三阳开泰户型,富华新天地 -市区商圈,4室2厅 | 203平米 | 南 北 | 其他 | 中楼层(共31层)  | 暂无数据,1人关注 / 4个月以前发布,390,"19,212元/平"
凤凰豪庭毛坯三居室，南北通透，采光好，地势好。,凤凰豪庭 -开发区商圈,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 8个月以前发布,150,"12,500元/平"
御龙瀚府精装修大三居南北通透楼层好带100平大露台,御龍瀚府 -开发区商圈,3室2厅 | 146平米 | 南 北 | 其他 | 低楼层(共25层)  | 板塔结合,6人关注 / 11个月以前发布,120,"8,220元/平"
福溪帝苑，二期新小区，楼层好，视野开阔，南北通透，,福溪帝苑二期 -双滦区,2室2厅 | 99平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,80,"8,081元/平"
南北通透 高层采光充足无遮挡 本二年可贷款,陕西营小区 -市区商圈,2室2厅 | 75平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,65,"8,667元/平"
一中家属楼 电梯房 精装修  拎包入住,承德一中家属院 -市区商圈,3室2厅 | 104.57平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,140,"13,389元/平"
福 地 二期 南北三居室 平地不上坡,福地华园西区 -市区商圈,3室2厅 | 137.18平米 | 南 北 | 其他 | 高楼层(共24层)  | 板塔结合,1人关注 / 8个月以前发布,170,"12,393元/平"
开发区 凤凰系列洋房 南北三居室 有钥匙 随时看,凤凰御景 -开发区商圈,4室2厅 | 253.84平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,368,"14,498元/平"
兴隆高铁站旁边，福星公寓大三居精装修,福星公寓 -兴隆县,3室1厅 | 135平米 | 南 北 | 其他 | 高楼层(共20层)  | 暂无数据,0人关注 / 9个月以前发布,95,"7,038元/平"
观景楼房，有大露台。南北通透大三室毛坯随意装有钥匙,生态家园 -双滦区,3室2厅 | 134.84平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,78,"5,785元/平"
"兴隆县城,盛世嘉园三居二卫好楼层,",盛世嘉园 -兴隆县,3室1厅 | 155.64平米 | 南 北 | 其他 | 高楼层(共21层)  | 暂无数据,0人关注 / 4个月以前发布,85,"5,462元/平"
金桥大厦3居室..................,金桥大厦 -兴隆县,3室1厅 | 136平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,65,"4,780元/平"
此房好楼层全天采光，视野开阔，西边户带地下室。,馨园小区 -平泉市,3室2厅 | 106.64平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,60,"5,627元/平"
"兴隆县城,盛世嘉园三居二卫好楼层,",盛世嘉园 -兴隆县,3室1厅 | 155.64平米 | 南 北 | 其他 | 高楼层(共21层)  | 暂无数据,0人关注 / 4个月以前发布,85,"5,462元/平"
福 地 二期 南北三居室 平地不上坡,福地华园西区 -市区商圈,3室2厅 | 137.18平米 | 南 北 | 其他 | 高楼层(共24层)  | 板塔结合,1人关注 / 8个月以前发布,170,"12,393元/平"
一中家属楼 电梯房 精装修  拎包入住,承德一中家属院 -市区商圈,3室2厅 | 104.57平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,140,"13,389元/平"
南北通透 高层采光充足无遮挡 本二年可贷款,陕西营小区 -市区商圈,2室2厅 | 75平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,65,"8,667元/平"
财富九龙城 3室1厅 南 北,财富九龙城 -兴隆县,3室1厅 | 101平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,73,"7,228元/平"
金桥大厦3居室..................,金桥大厦 -兴隆县,3室1厅 | 136平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,65,"4,780元/平"
锦绣城两室毛坯房随意装修采光好公摊少,锦绣城一区 -双滦区,2室2厅 | 102.5平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,62,"6,049元/平"
诚心出售，房屋空置，房子不影响二次装修，带地下室,佳兴花园 -兴隆县,3室1厅 | 110平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,63,"5,728元/平"
凤凰御庭南北通透大三居好楼层全天采光无遮挡,凤凰御庭 -开发区商圈,3室2厅 | 157平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,180,"11,465元/平"
观景楼房，有大露台。南北通透大三室毛坯随意装有钥匙,生态家园 -双滦区,3室2厅 | 134.84平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,78,"5,785元/平"
兴隆高铁站旁边，福星公寓大三居精装修,福星公寓 -兴隆县,3室1厅 | 135平米 | 南 北 | 其他 | 高楼层(共20层)  | 暂无数据,0人关注 / 9个月以前发布,95,"7,038元/平"
石洞子沟 名城 福 地.大三居.南北通透.随时看房,名城福地 -市区商圈,3室2厅 | 119.61平米 | 北 南 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 一年前发布,157,"13,126元/平"
诚心出售武阳丽园98平毛坯两室105万,武阳丽园 -开发区商圈,2室1厅 | 97.32平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,105,"10,790元/平"
盛世家园，次顶楼，毛坯，本满两年，看房方便,盛世家园 -开发区商圈,3室2厅 | 132.31平米 | 南 北 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,120,"9,070元/平"
急售凤凰御景经典三居室南北通透中间层,凤凰御景 -开发区商圈,3室2厅 | 115.97平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,130,"11,210元/平"
兴隆县 鹏鸣 电梯房舒适大两居 中高楼层采光好,鹏鸣 -兴隆县,2室1厅 | 105平米 | 南 北 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,75,"7,143元/平"
御龙瀚府南向两居室毛坯可随意装修,御龍瀚府 -开发区商圈,2室2厅 | 105.83平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,105,"9,922元/平"
急售文轩名苑通透大四室临河观景中间楼层采光充足,文軒茗園 -开发区商圈,4室2厅 | 171平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,1人关注 / 11个月以前发布,180,"10,527元/平"
兴隆天马一期宽绰三居，喜欢大房子的朋友可入手,天马一期 -兴隆县,3室1厅 | 128平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,80,"6,250元/平"
南北通透两居室高层复式房本满五唯一可贷款,万华小区D区 -市区商圈,2室2厅 | 121.88平米 | 南 北 | 简装 | 中楼层(共25层)  | 塔楼,2人关注 / 一年前发布,135,"11,077元/平"
三居室南北通透，毛坯房可随意装修，带车位，中间楼层,欢乐江山三期 -双滦区,3室2厅 | 121平米 | 南 北 | 其他 | 中楼层(共10层)  | 暂无数据,3人关注 / 一年前发布,105,"8,678元/平"
户型方正 采光好 业主诚心出售 周 边配套齐全,兴盛丽水 -市区商圈,3室2厅 | 127平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,1人关注 / 7个月以前发布,260,"20,473元/平"
乾阳小区 H户型  两室  采光好  业主诚心出售,乾阳小区 -市区商圈,2室2厅 | 86.02平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,78,"9,068元/平"
长安二期通透两居，房龄新 采光好,长安小区二期 -市区商圈,2室1厅 | 67平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,49,"7,314元/平"
此房是君临逸城3居室 额外带10平米面积 全天采光,君临逸城 -开发区商圈,3室2厅 | 111.96平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,102,"9,111元/平"
"兴隆县开发区秀兰小区好房,三室一卫,户型方正",秀兰城市花园 -兴隆县,3室1厅 | 121.4平米 | 东南 | 其他 | 中楼层(共16层)  | 暂无数据,3人关注 / 7个月以前发布,80,"6,590元/平"
欢乐江山86万南北通透两居，有露台私家电梯厅，视野好,欢乐江山三期 -双滦区,2室2厅 | 110平米 | 南 北 | 其他 | 高楼层(共10层)  | 板塔结合,2人关注 / 11个月以前发布,86,"7,819元/平"
欢乐江山三期 4室2厅 南,欢乐江山三期 -双滦区,4室2厅 | 136平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,4人关注 / 一年前发布,110,"8,089元/平"
发改局家属楼 3室2厅 南 北,发改局家属楼 -双滦区,3室2厅 | 124.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,97,"7,792元/平"
出售天瑞城二期大三居双卫电梯房,天瑞城 -兴隆县,3室2厅 | 123.29平米 | 南 北 | 其他 | 低楼层(共25层)  | 暂无数据,6人关注 / 一年前发布,85,"6,895元/平"
双滦区碧桂园朗悦湾 精装三室 楼层好采光好 临河观景,碧桂园·朗悦湾 -双滦区,3室2厅 | 121平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,4人关注 / 一年前发布,88,"7,273元/平"
三居双卫南北通透全明格局电梯房,天瑞城 -兴隆县,3室1厅 | 106.7平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,77,"7,217元/平"
出售 天瑞城 南北通透三居室 好楼层 采光好,天瑞城 -兴隆县,3室2厅 | 106平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,78,"7,359元/平"
世纪城旁 简装三居室 电梯中层 全天采光 南北通透,福地华园西区 -市区商圈,3室2厅 | 138平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,180,"13,044元/平"
露露花园.南北通透.带花园.随时看房,露露花园 -市区商圈,5室3厅 | 348平米 | 南 北 | 其他 | 高楼层(共24层)  | 板楼,4人关注 / 8个月以前发布,428,"12,299元/平"
出售兴隆中野南北通透小三居次顶层精装修,中冶兴隆新城 -兴隆县,3室1厅 | 101平米 | 南 北 | 其他 | 高楼层(共10层)  | 暂无数据,2人关注 / 一年前发布,85,"8,416元/平"
出售佳兴花园两室一厅，好楼层，采光好,佳兴花园 -兴隆县,2室1厅 | 76.59平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,53,"6,920元/平"
福地华园西区 3室2厅 南 北,福地华园西区 -市区商圈,3室2厅 | 160平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,1人关注 / 8个月以前发布,200,"12,500元/平"
兴隆财富广场三居二卫精装修，随时过户。,财富广场 -兴隆县,3室1厅 | 118平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,92,"7,797元/平"
秀兰城市花园 4室1厅 南 北,秀兰城市花园 -兴隆县,4室1厅 | 169.66平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,110,"6,484元/平"
天瑞城 3室1厅 南 北,天瑞城 -兴隆县,3室1厅 | 106平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,78,"7,359元/平"
和润新城朗园南北通三居室毛坯房,和润朗园 -开发区商圈,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 10个月以前发布,130,"9,630元/平"
南北通透格局好，楼层好，视野宽阔，采光充足，,兴隆御景 -兴隆县,5室2厅 | 230平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,4人关注 / 一年前发布,115,"5,000元/平"
承泽府 好楼层 毛坯随意装修 南北通透 可贷款,世纪城·承泽府 -市区商圈,3室2厅 | 143.98平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,252,"17,503元/平"
兴隆御景好楼层，三居高铁站旁业主诚心出售,兴隆御景 -兴隆县,3室1厅 | 147.32平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,80,"5,431元/平"
会龙山庄全明户型，采光好无遮挡，带车位地下室,会龙山庄 -市区商圈,2室1厅 | 93.7平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,85,"9,072元/平"
毛坯房  南北通透三居室  美地湾景 前排 采光充足,德生美地湾景小区 -市区商圈,3室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 暂无数据,3人关注 / 11个月以前发布,115,"8,215元/平"
兴隆御景，高铁站旁边，精装三居两卫,兴隆御景 -兴隆县,3室1厅 | 144平米 | 西南 | 其他 | 中楼层(共14层)  | 暂无数据,6人关注 / 一年前发布,76,"5,278元/平"
世纪城商圈  精装三室  拎包入住  业主诚心出售,福地华园西区 -市区商圈,3室2厅 | 115平米 | 南 | 其他 | 中楼层(共19层)  | 板楼,3人关注 / 6个月以前发布,150,"13,044元/平"
北兴隆东区 南北通透 好楼层 全天采光,北兴隆小区东区 -市区商圈,3室2厅 | 118平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,116,"9,831元/平"
兴隆天瑞城二期南北通透全明格局,天瑞城 -兴隆县,3室1厅 | 111平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,80,"7,208元/平"
新华园三居透业主诚心出售位置好,新华园 -市区商圈,3室2厅 | 132.93平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,200,"15,046元/平"
