标题,开发商,房子信息,发布信息,售价/万,单价
景苑花园 5室2厅 南 北,景苑花园 -一号公馆,5室2厅 | 239.92平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 10天以前发布,145,"6,044元/平"
青山路5号街坊 2室1厅 北 南,青山路5号街坊 -二机二中双学区,2室1厅 | 77.09平米 | 北 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,57,"7,394元/平"
不吃差价 不收返费 东有包头乐园 蔬菜批发市场  吾悦,黄河四区 -包头乐园,2室1厅 | 73.51平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,42,"5,714元/平"
北梁新区南四区 电梯四楼 上下方便  适合各种人群,北梁新区南四区 -北梁新区,2室1厅 | 67平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,26.7,"3,986元/平"
此房出行方便，标准侧户。中间楼层。,青山路1号街坊 -二机一中,2室1厅 | 64平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,80,"12,500元/平"
丰产道1号街坊 3楼 好房不等,丰产道1号街坊 -二机一中,2室1厅 | 58平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,75,"12,932元/平"
春光四区 南 一 小空户 步梯2楼  阳面大客厅,春光四区 -五一市场,2室1厅 | 85平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,67,"7,883元/平"
标准户型 楼层好采光好 拎包入住交通便利德佑首推,钢24号街坊 -钢三小,2室1厅 | 71.51平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,110,"15,383元/平"
小区三供一业已经改造完成  出行方便,阿尔丁小区 -包头乐园,2室1厅 | 68.31平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,66,"9,662元/平"
安景苑 2室1厅 南 北,安景苑 -广汇,2室1厅 | 75平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,63,"8,400元/平"
不吃差价，不收返费   中间楼层  小户型 价格可议,万郡大都城 -万郡,2室1厅 | 90平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,62,"6,889元/平"
一化小区简单装修诚心出售看房方便,友谊22街坊一化小区 -包头乐园,2室1厅 | 66.8平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,49,"7,336元/平"
加州郡府、小平米，精装修好房急售,加州郡府 -中建御澜世家,2室1厅 | 96.54平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,74,"7,666元/平"
友谊南--楼层好--南北通透--位置好。,友谊南街坊 -友谊广场,2室1厅 | 68.31平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,74,"10,833元/平"
出售 青山路1号街坊 中间楼层 南北通透,青山路1号街坊 -二机一中,2室1厅 | 71平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,86,"12,113元/平"
吾悦广场  新星美地 二梯四户 有本配贷 带家具家电,新星美地 -内蒙古科技大学,2室2厅 | 86平米 | 南 | 简装 | 高楼层(共26层)  | 暂无数据,3人关注 / 6个月以前发布,73,"8,489元/平"
不吃差价不收反费三楼 三楼 拎包入住 看房方便,友谊19号街坊一区 -包头乐园,2室1厅 | 65.8平米 | 南 西 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,49,"7,447元/平"
标准户型 采光充足，，配套设施齐全，小区刚改造完毕,钢十八佳园 -钢四小,2室1厅 | 57平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,94,"16,492元/平"
不吃差价，不收返费。友谊19二楼三室单价低,友谊19号街坊三区 -包头乐园,3室1厅 | 69.9平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,44,"6,295元/平"
迎宾小区一楼70平精装修拎包入住,迎宾小区 -万达,2室1厅 | 69.99平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,58,"8,287元/平"
高新区 檀香湾 南北通透 精装 业主诚售 采光好 配贷,檀香湾 -中建御澜世家,3室1厅 | 119.4平米 | 南 北 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 6个月以前发布,73,"6,114元/平"
不吃差价不收返费 金桂名园 ，南北通透格局，房龄新,金桂名园 -106小商品城,4室2厅 | 178.55平米 | 南 北 | 其他 | 高楼层(共15层)  | 塔楼,2人关注 / 一年前发布,169,"9,466元/平"
不临街不把边  拎包入住      南北通透,少先路31号街坊 -广汇,2室1厅 | 70.6平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,39.9,"5,652元/平"
友谊小区 2室1厅 东 西,友谊小区 -友谊广场,2室1厅 | 68.9平米 | 东 西 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,63,"9,144元/平"
不吃差价不收返费，一楼房东诚心出售随时看房,钢十八佳园 -钢四小,2室1厅 | 61平米 | 东 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,100,"16,394元/平"
吾悦广场  新星美地 二梯四户 有本配贷 带家具家电,新星美地 -内蒙古科技大学,2室2厅 | 86平米 | 南 | 简装 | 高楼层(共26层)  | 暂无数据,3人关注 / 6个月以前发布,73,"8,489元/平"
标准户型 采光充足，，配套设施齐全，小区刚改造完毕,钢十八佳园 -钢四小,2室1厅 | 57平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,94,"16,492元/平"
不吃差价不收反费三楼 三楼 拎包入住 看房方便,友谊19号街坊一区 -包头乐园,2室1厅 | 65.8平米 | 南 西 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,49,"7,447元/平"
高新区 檀香湾 南北通透 精装 业主诚售 采光好 配贷,檀香湾 -中建御澜世家,3室1厅 | 119.4平米 | 南 北 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 6个月以前发布,73,"6,114元/平"
幸福路1号街坊 2室1厅 南 北,幸福路1号街坊 -娜琳,2室1厅 | 70.6平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,59,"8,357元/平"
不吃差价，不收返费。友谊19二楼三室单价低,友谊19号街坊三区 -包头乐园,3室1厅 | 69.9平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,44,"6,295元/平"
迎宾小区一楼70平精装修拎包入住,迎宾小区 -万达,2室1厅 | 69.99平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,58,"8,287元/平"
不吃差价不收返费，一楼房东诚心出售随时看房,钢十八佳园 -钢四小,2室1厅 | 61平米 | 东 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,100,"16,394元/平"
友谊小区 2室1厅 东 西,友谊小区 -友谊广场,2室1厅 | 68.9平米 | 东 西 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,63,"9,144元/平"
出售 青山路1号街坊 中间楼层 南北通透,青山路1号街坊 -二机一中,2室1厅 | 71平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,86,"12,113元/平"
不吃差价不收返费 金桂名园 ，南北通透格局，房龄新,金桂名园 -106小商品城,4室2厅 | 178.55平米 | 南 北 | 其他 | 高楼层(共15层)  | 塔楼,2人关注 / 一年前发布,169,"9,466元/平"
丰盈小区 2室1厅 南 北,丰盈小区 -包头乐园,2室1厅 | 75平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,52,"6,934元/平"
不吃差价，不收返费，幸16 南北通透 拎包入住,幸16街坊 -大连新型居住区,2室1厅 | 60平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,34,"5,667元/平"
永茂泉阳光小区 3室2厅 南 北,永茂泉阳光小区 -包头站,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,55,"5,340元/平"
不吃差价 不收返费 少先22 步梯4楼,少先路22号街坊 -106小商品城,2室1厅 | 68.31平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,73,"10,687元/平"
不吃差价，不收返费 春光小区 空户 步梯二楼,春光四区 -五一市场,2室2厅 | 74.3平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,58,"7,807元/平"
不吃差价，不收返费，少先22好房。,少先路22号街坊 -106小商品城,3室1厅 | 75.84平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,80,"10,549元/平"
万郡大都城 电梯房 视野开阔 中间楼层 新装修,万郡大都城 -万郡,2室2厅 | 89.92平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,1人关注 / 4个月以前发布,76,"8,452元/平"
出售慧谷佳园房子 出行便利 购物方便 大菜窖 吾悦广场,慧谷佳园 -包头站,2室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 4个月以前发布,75,"7,732元/平"
繁华地段宽敞明亮现代精装，落地飘窗+独立小区,西一街小区 -维多利,2室1厅 | 54平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,13,"2,408元/平"
东河区康复路拖制小区康复路28中远大菜市场急售,拖制小区（康复路北） -东大桥,2室1厅 | 66平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,25,"3,788元/平"
TOUCH悦城 2室1厅 西,TOUCH悦城 -南开小学,2室1厅 | 41平米 | 西 | 其他 | 低楼层(共19层)  | 板塔结合,2人关注 / 4个月以前发布,35,"8,537元/平"
新出 保利拉菲 俩室南北通透 精装修,保利拉菲公馆 -东亚,2室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共14层)  | 塔楼,0人关注 / 3个月以前发布,92,"9,584元/平"
六合城电梯五楼，采光好，精装修，随时看房,六合新城二区 -保利,2室2厅 | 105平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,80,"7,620元/平"
友谊十八114街坊，二楼，小平米，精装修,友谊大街18号街坊 -包头乐园,1室0厅 | 33.08平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,3人关注 / 3个月以前发布,29,"8,767元/平"
都兰小区 二楼二楼 采光好适合老人居住,都兰小区 -保利,2室1厅 | 72.2平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,48.8,"6,760元/平"
新上大连小区怡生园：精装四楼标侧 单价7000南二45,怡生园 -大连新型居住区,2室2厅 | 90.23平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,66,"7,315元/平"
不吃差价，不收返费，苏宁广场，万达旁，青年路7号街,青年路七号街坊 -包二十九中,2室1厅 | 55平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 4个月以前发布,84,"15,273元/平"
日月豪庭，住宅产权，小户型陪读，公园公交方便。,日月豪庭 -鹿港小镇,1室1厅 | 44.3平米 | 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,36,"8,127元/平"
装修崭新 停车方便 业主诚心急售.电梯适合各类人群,北梁新区北八区 -北梁新区,1室1厅 | 54平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,16.9,"3,130元/平"
日月豪庭，住宅产权，小户型陪读，公园公交方便。,日月豪庭 -鹿港小镇,1室1厅 | 44.3平米 | 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,36,"8,127元/平"
少先31街坊 离包百近  配套齐全   随时签约,少先路31号街坊 -广汇,2室1厅 | 52平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,4人关注 / 6个月以前发布,26,"5,000元/平"
北梁南三区电梯五楼 一次性付款价格可议,北梁新区南三区 -北梁新区,1室1厅 | 63平米 | 南 北 | 简装 | 中楼层(共10层)  | 暂无数据,4人关注 / 6个月以前发布,20,"3,175元/平"
楼层低，总价低，在小区里，不临街的厢房，,富强路九号街坊 -九星,1室1厅 | 42.73平米 | 东 西 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,25,"5,851元/平"
青山路1号街坊，好房出售，三楼，两室，户型好,青山路1号街坊 -二机一中,2室1厅 | 52平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 一年前发布,68,"13,077元/平"
楼层好  采光无遮挡  安静  带凉房,阿尔丁大街10号街坊 -包头站,2室1厅 | 53.71平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,27,"5,027元/平"
青山路一号街坊 小户型 低楼层 简单装修,青山路1号街坊 -二机一中,2室1厅 | 52.5平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,2人关注 / 5个月以前发布,66,"12,572元/平"
友谊大街18号街坊 2室1厅 南 北,友谊大街18号街坊 -包头乐园,2室1厅 | 53.1平米 | 南 北 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,30,"5,650元/平"
友谊18街坊，采光好，可陪读，可自住,友谊大街18号街坊 -包头乐园,2室1厅 | 50.15平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 4个月以前发布,32,"6,381元/平"
不吃差价，不收返费，友谊15街坊，4楼47平，简单装修,友谊大街15号街坊 -106小商品城,2室0厅 | 45.9平米 | 南 北 | 其他 | 高楼层(共4层)  | 板塔结合,0人关注 / 5个月以前发布,46,"10,022元/平"
昆区恒大名都，诚心出售，小区物业绿化好，,恒大名都 -东亚,3室2厅 | 144.52平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,108,"7,474元/平"
向阳两室，格局合理，看房方便的好房子,丽晶名邸小区 -中建御澜世家,2室2厅 | 89.2平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,2人关注 / 3个月以前发布,63.5,"7,119元/平"
贝壳首推精推房源中间楼层交通便利,青年路七号街坊 -包二十九中,2室1厅 | 58平米 | 东 | 其他 | 中楼层(共4层)  | 板楼,13人关注 / 7个月以前发布,80,"13,794元/平"
三楼精装修南北通透独立厨房小诚心出售,东豪新城 -东大桥,2室2厅 | 90.76平米 | 北 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,51,"5,620元/平"
不吃差价，不收返费，小区环境优美，交通便利,中慧新城御园 -九原区,2室1厅 | 68平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 3个月以前发布,38,"5,589元/平"
少先31街坊，地理环境优越，距离公园800米,少先路31号街坊 -广汇,1室1厅 | 35.75平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 7个月以前发布,14,"3,917元/平"
迎宾小区 精装修 民小 地段繁华 出行方便,迎宾小区 -万达,2室1厅 | 65平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,47,"7,231元/平"
业主诚意出售采光充足小区绿化好停车方便看房方便,奥宇新城A2区 -北梁新区,2室1厅 | 73平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,37.5,"5,137元/平"
自由路五号街坊  带阁楼的好房出售  20多平大晒台,自由路五号街坊 -二机二中双学区,3室2厅 | 121.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,101.9,"8,380元/平"
不吃差价 不收返费 怡河苑 精装 一楼 南北通透,怡河苑 -二旅社,2室2厅 | 76.79平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,55,"7,163元/平"
此房采光良好，交通便利，小区配套设施齐全交通方便,幸福路1号街坊 -娜琳,1室1厅 | 33平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,26,"7,879元/平"
景苑花园步梯六楼一层三室两卫两卫二层和一层面积一样,景苑花园 -一号公馆,4室3厅 | 131.34平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 10个月以前发布,78,"5,939元/平"
大面积阁楼、露台，风景视野独好一手房，价格低！！！,华发新城 -东亚,4室2厅 | 254.42平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,18人关注 / 一年前发布,265,"10,416元/平"
不吃差价 不收返费 一楼 满二  毛坯 随时看房 诚心售,金茂豪庭 -友谊广场,4室2厅 | 271.11平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,5人关注 / 6个月以前发布,199,"7,341元/平"
明德花园不临街，小区中间位置，带小院，入室车位,明德花园 -甲尔坝,4室2厅 | 217.69平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,9人关注 / 一年前发布,195,"8,958元/平"
不吃差价 不收返费 空户看房方便 有钥匙,友谊大街16号街坊 -昆区华联,2室1厅 | 63平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,38,"6,032元/平"
海威二区 3室2厅 南,海威二区 -海威小区,3室2厅 | 137.8平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,72,"5,225元/平"
少先24街坊街坊 好房在售 全天出售 价格可议,少先路24号街坊 -八一公园,2室2厅 | 118.32平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,5人关注 / 8个月以前发布,85,"7,184元/平"
昆区 二旅社 国泰新城  精装电梯房 带全套家具,国泰新城B区 -二旅社,3室2厅 | 114.51平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8天以前发布,79,"6,899元/平"
不吃差价不收返费青20街坊1楼精装2居独立下水诚意出售,青20号街坊 -包钢设计院,2室1厅 | 66平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 24天以前发布,50.5,"7,652元/平"
业主诚意出售，小区绿化好，停车方便,北方阳光 -蒙中医院,1室2厅 | 72.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,28.5,"3,916元/平"
正翔国际 3室2厅 南 西 北,正翔国际 -青山区,3室2厅 | 173平米 | 南 西 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 8天以前发布,220,"12,717元/平"
居然新城 全新精装婚房  三室两厅 南北通透,居然新城 -甲尔坝,3室1厅 | 110.3平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 7个月以前发布,94,"8,523元/平"
新星壹品瑞景 德佑推荐 三居 电梯房,新星壹品小区瑞景 -阿尔丁植物园,3室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 15天以前发布,171.5,"11,994元/平"
吉兴小区五楼，采光好，98.23平米，有本可贷款,吉兴小区 -通顺,3室2厅 | 98.23平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,45,"4,582元/平"
业主诚意出售，小区绿化好，停车方便，看房方便。,园中园 -人民公园,5室2厅 | 216平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 10天以前发布,165,"7,639元/平"
幸九街坊步梯5楼 小错层 阳厅出门劳动公园  娜琳正翔,幸9街坊 -劳动公园,3室2厅 | 147.5平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 15天以前发布,96.5,"6,543元/平"
海威小区 精装修五楼 三室两厅两卫 全天采光,海威二区 -海威小区,3室2厅 | 130.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,81,"6,216元/平"
芳汀园精装修大平米带60米大晒台看房随时,芳汀园 -名人鞋城,3室2厅 | 122平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,60,"4,919元/平"
出售  瑞兴苑 精装修 采光好 视野开阔 看房方便,瑞兴苑 -二机二中双学区,3室2厅 | 178.44平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,142,"7,958元/平"
明德花园 舒适社区 好房出售 双阳夹厅户型,明德花园 -甲尔坝,3室2厅 | 147.27平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,5人关注 / 9个月以前发布,95,"6,451元/平"
不吃差价，不收返费，诚心出售，看房随时,三江尊园 -中建御澜世家,8室2厅 | 431平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,8人关注 / 一年前发布,600,"13,922元/平"
昆区 佳园小区钢18街坊29片内植物园出现方便,钢十八佳园 -钢四小,2室2厅 | 91.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,130,"14,208元/平"
西脑包 瑞欣小区 精装 2楼 三居 采光好 新小区,瑞欣小区 -西脑包,3室2厅 | 108.87平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,57.8,"5,310元/平"
不吃差价 不收返费 香港花园三室两厅  万达商圈,香港花园 -106小商品城,3室2厅 | 147.64平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,129.8,"8,792元/平"
中铁诺德国际 科技住宅  不吃差价 不收返费 看房方便,中国中铁诺德国际花园 -南开小学,5室2厅 | 302.69平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,9人关注 / 6个月以前发布,228,"7,533元/平"
甲尔坝  傲北上城  精装电梯房,傲北上城 -甲尔坝,3室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 一年前发布,119,"8,624元/平"
八一公园 包百商圈 凯旋豪庭 中间楼层,凯旋豪庭 -八一公园,3室2厅 | 166.68平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,9人关注 / 一年前发布,265,"15,899元/平"
康乐小区 植物园旁边 全屋家具定制 精装 三室全明户型,康乐小区 -万达,3室1厅 | 110.4平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,17人关注 / 一年前发布,86,"7,790元/平"
不吃差价  不收返费  ..... 70年产权 满五年不唯一,望隆公寓 -九星,2室1厅 | 71.05平米 | 西 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 15天以前发布,31,"4,364元/平"
日月华庭A区，精装修高层房源，价格可议带阁楼晒台。,日月华庭A区 -一号公馆,3室2厅 | 124.5平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,125,"10,041元/平"
燕赵锦河湾精装，南北通透经典户型，三室两厅一厨两卫,燕赵锦河湾 -鹿港小镇,3室2厅 | 126.78平米 | 南 北 | 简装 | 高楼层(共30层)  | 板楼,17人关注 / 一年前发布,109,"8,598元/平"
科教公寓 双阳卧户型  大三居  全天采光 拎包住,幸9街坊 -劳动公园,3室2厅 | 127.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,92,"7,200元/平"
怡景苑小区 胡桃木门 精装三室急售,怡景园小区 -阿尔丁植物园,3室2厅 | 127.56平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,125,"9,800元/平"
不吃差价 不收返费三江尊园复式 拎包入住 急售,三江尊园 -中建御澜世家,4室2厅 | 317.76平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,11人关注 / 一年前发布,345,"10,858元/平"
万郡 电梯精装 全套家具 拎包入住,万郡大都城 -万郡,5室3厅 | 337.92平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,3人关注 / 一年前发布,270,"7,991元/平"
四楼三室 配套齐全 独立小区 24小时监控,广基花园 -106小商品城,3室2厅 | 129.6平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,94,"7,254元/平"
口岸花苑 2室2厅 南 北,口岸花苑 -口岸花园,2室2厅 | 110平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,90,"8,182元/平"
稀土高新区亚麻小区，交通便利，出门就是公园,亚麻小区 -鹿港小镇,2室2厅 | 59平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,42,"7,119元/平"
明日星城怡河苑 电梯 朝南 两室精装 成熟社区,怡河苑 -二旅社,2室2厅 | 103.55平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 一年前发布,68,"6,567元/平"
采光充足，配套设施齐全，小区人车分流  精装拎包入住,中建御澜世家 -中建御澜世家,3室2厅 | 144.6平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,117,"8,092元/平"
南北通透出行方便，采光好，可贷款,区委宿舍楼 -蒙中医院,2室1厅 | 72.4平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,31,"4,282元/平"
此房中间楼层户型好，格局好，视野宽阔采光充足,星月家园 -蒙中医院,2室2厅 | 93.52平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,45.8,"4,898元/平"
迎宾小区 四楼 精装修两居室 南 北 通 透,迎宾小区 -万达,2室1厅 | 71.78平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,56.5,"7,872元/平"
乐园商圈 保利拉菲公馆 位置好 精装修 双阳卧室,保利拉菲公馆 -东亚,3室2厅 | 140.1平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,137,"9,779元/平"
业主精装修婚房 经典格局 付款方式灵活 价可议,南圪洞北小区 -南圪洞,2室1厅 | 62.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,29,"4,637元/平"
钢11邮政小区，砖石4楼，空户，户口清晰-看房方便,邮政小区 -包二十九中,2室1厅 | 67.57平米 | 东 东北 | 简装 | 低楼层(共8层)  | 板楼,2人关注 / 一年前发布,100,"14,800元/平"
随时看房 低首付 有房本满五唯一产权清晰 步梯4楼,商品楼 -蒙中医院,3室2厅 | 92.2平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,35,"3,797元/平"
不吃差价不收返费南北通透，采光好无遮挡，,紫金华府 -东亚,3室2厅 | 143.23平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,2人关注 / 6个月以前发布,110,"7,680元/平"
九原明星楼，交通方便，生活配套齐全。,健康路6号街坊 -沙河街,3室2厅 | 135.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,55,"4,048元/平"
业主诚心出售，楼层低，户型好，南北通透。,保利沁心园 -保利,4室2厅 | 181.83平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,3人关注 / 一年前发布,175,"9,625元/平"
邮 政 小 区 价 格 优美中间楼层,邮政小区 -包二十九中,2室1厅 | 67.57平米 | 东南 东 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,96,"14,208元/平"
迎宾小区 4楼侧户 72平米精装修 民小 万达,迎宾小区 -万达,2室1厅 | 72平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,11人关注 / 一年前发布,56,"7,778元/平"
正翔商圈 振华小区 1楼 1楼 三居室 钥匙在手随时看房,振华小区一区 -口岸花园,3室2厅 | 80.17平米 | 西南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,59.8,"7,460元/平"
