标题,开发商,房子信息,发布信息,售价/万,单价
近南站，视野看湖看别墅，户型实用大五房，配套齐全,星河丹堤G区 -南站新城,5室2厅 | 124.39平米 | 南 北 | 毛坯 | 33层  | 板塔结合,0人关注 / 7天以前发布,208,"16,722元/平"
买一层得两层，业主急卖，户型方正实用,美林雅苑 -澳头,2室2厅 | 48.92平米 | 南 | 毛坯 | 19层  | 板塔结合,4人关注 / 5个月以前发布,38.5,"7,870元/平"
业主诚心 出售 价格可以优惠  户型方正,御蓝湾花园 -万达,3室2厅 | 79.77平米 | 南 | 精装 | 17层  | 板塔结合,2人关注 / 1个月以前发布,89.9,"11,270元/平"
城市经典 位置好 近商场 教学资质好  近公园,四洲城市经典 -区政府,2室1厅 | 77.22平米 | 南 | 简装 | 25层  | 平房,0人关注 / 2个月以前发布,62,"8,030元/平"
听涛雅苑 配套齐全 安静宜居 楼层好 采光充足,听涛雅苑 -大亚湾中心区,1室0厅 | 20.6平米 | 东南 | 精装 | 6层  | 板塔结合,4人关注 / 5个月以前发布,10.8,"5,243元/平"
户型棒，优质小区，近万达 灿邦新天地.惠州南站,金汇上元 -万达,2室2厅 | 77.23平米 | 东南 | 其他 | 31层  | 板塔结合,1人关注 / 9个月以前发布,73,"9,453元/平"
大亚湾西区 近南站 灿邦万达商圈  诚意出售 满五唯一,水墨林溪雅苑 -灿邦,2室2厅 | 79.71平米 | 南 | 精装 | 32层  | 塔楼,2人关注 / 7个月以前发布,72,"9,033元/平"
满五年唯一，精装修，近沙田站，碧桂园物业,鹏惠花园 -西区新寮,3室2厅 | 87.57平米 | 南 | 毛坯 | 28层  | 板塔结合,24人关注 / 5个月以前发布,100,"11,420元/平"
此房满五唯一，全新装修没住过人，楼层高采光好。,晨曦大地花园二期 -草洋新区,1室1厅 | 49.1平米 | 北 | 精装 | 28层  | 塔楼,1人关注 / 4个月以前发布,43,"8,758元/平"
悦榕湾 一线江景 无遮挡 全新装修 东南朝向 万科物业,悦榕湾 -江北,1室1厅 | 53平米 | 东南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 一年前发布,78,"14,717元/平"
区政府天虹旁新城国际南北通大两房,新城国际 -区政府,2室1厅 | 89.14平米 | 东南 | 精装 | 21层  | 板塔结合,5人关注 / 8个月以前发布,76,"8,526元/平"
离chao市近，接近人民医院，进出方便，环境舒适干燥,招商花园 -开城大润发,3室1厅 | 77.54平米 | 南 | 简装 | 7层  | 板楼,0人关注 / 2个月以前发布,35,"4,514元/平"
红本满3年，中楼层，户型方正，楼下是华美达天鹅湖,翡翠山国际公寓 -万达,2室1厅 | 59.14平米 | 北 | 毛坯 | 19层  | 塔楼,4人关注 / 8个月以前发布,49,"8,286元/平"
苑区大，绿化好，视野开阔，户型方正，采光好。,碧桂园十里银滩迎海北区 -惠东沿海,2室1厅 | 73.17平米 | 东南 | 精装 | 30层  | 板塔结合,12人关注 / 一年前发布,37,"5,057元/平"
3房60万出头 位置优越，楼层采光好，花园绿化好,鑫月御园 -秋长,3室2厅 | 72.61平米 | 南 | 毛坯 | 28层  | 板塔结合,6人关注 / 6个月以前发布,67,"9,228元/平"
大复式，楼下15万平购物广场，总价低业主诚心出售,灿邦新天地 -灿邦,4室2厅 | 81.67平米 | 南 | 毛坯 | 30层  | 板塔结合,2人关注 / 7个月以前发布,102,"12,490元/平"
园景两房，红本在手，家私齐全，看房方便,碧桂园.十里银滩.海逸湾北区 -惠东沿海,2室1厅 | 69平米 | 东南 | 精装 | 30层  | 板塔结合,11人关注 / 一年前发布,36.8,"5,334元/平"
惠亚医院旁，业主诚心出售，随时看房,听涛雅苑 -大亚湾中心区,1室1厅 | 28.69平米 | 南 | 简装 | 6层  | 板塔结合,2人关注 / 1个月以前发布,15.5,"5,403元/平"
近天虹商场  朝南2房  近地铁沙田站   白云站800米,东岸公馆 -白云新城,2室2厅 | 65平米 | 东南 | 毛坯 | 26层  | 板塔结合,11人关注 / 6个月以前发布,48,"7,385元/平"
万达广场旁，带入户花园，中间楼层,花千树五期 -灿邦,3室2厅 | 95.59平米 | 南 北 | 毛坯 | 18层  | 板塔结合,18人关注 / 一年前发布,72,"7,533元/平"
保利央企，临深品质大盘，高层视野开阔,保利阳光城 -白云新城,3室2厅 | 90.57平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 1个月以前发布,123,"13,581元/平"
临深龙光城一房一厅一卫，视野宽阔采光充足环境优美,龙光城南一期 -龙光城,1室1厅 | 37.01平米 | 南 | 简装 | 28层  | 板塔结合,0人关注 / 1个月以前发布,44,"11,889元/平"
业主年龄较老急于变/现，产权清晰，朝南2房 配套齐全,水墨林溪雅苑 -灿邦,2室1厅 | 79.72平米 | 南 | 毛坯 | 32层  | 板塔结合,2人关注 / 4个月以前发布,66.8,"8,380元/平"
满二年税费少，拎包入住。看房方便。月租抵月供,中天彩虹城南区 -开城大润发,1室0厅 | 30.47平米 | 南 | 毛坯 | 30层  | 板塔结合,0人关注 / 一年前发布,18,"5,908元/平"
满无不唯一，大社区，采光好，绿化园林好,德丰.天麓 -大亚湾中心区,1室1厅 | 30.72平米 | 北 | 毛坯 | 23层  | 板塔结合,6人关注 / 7个月以前发布,21.5,"6,999元/平"
临深1房，拎包入住，可租可住。,东岸公馆 -白云新城,1室1厅 | 29.6平米 | 东南 南 | 简装 | 26层  | 板塔结合,1人关注 / 6个月以前发布,20,"6,757元/平"
临深500米，精装修小两房，业主诚意出售,爱琴海 -西区新寮,2室1厅 | 61.38平米 | 南 | 精装 | 33层  | 板塔结合,18人关注 / 3个月以前发布,65,"10,590元/平"
与天虹 大润发为邻，精致实用两房业主急售！,鹏德名苑 -开城大润发,2室1厅 | 53.51平米 | 西南 | 简装 | 32层  | 塔楼,0人关注 / 1个月以前发布,51,"9,531元/平"
临深大社区，经典复式，上下两层，诚心出售,锦地繁花 -西区新寮,3室2厅 | 104.11平米 | 南 | 毛坯 | 11层  | 板塔结合,21人关注 / 一年前发布,106,"10,182元/平"
临深3房，朝南看花园坪山河，满五唯一，红本在手。,金溪湾 -西区新寮,3室2厅 | 89.68平米 | 南 | 毛坯 | 32层  | 板塔结合,4人关注 / 3个月以前发布,83.8,"9,345元/平"
房子是复式楼，一层的价格，二层的面积。,凯悦华庭 -大亚湾中心区,3室2厅 | 42.99平米 | 北 | 毛坯 | 11层  | 塔楼,13人关注 / 一年前发布,29,"6,746元/平"
业主诚心卖，房子是单身公寓，带装修，看房预约,阳光地带 -开城大润发,1室0厅 | 27.81平米 | 南 | 简装 | 17层  | 板塔结合,6人关注 / 7个月以前发布,16.8,"6,041元/平"
公交5站可到深圳沙田地铁 站，票价2元,东岸公馆 -白云新城,1室1厅 | 29.6平米 | 南 | 毛坯 | 26层  | 板塔结合,43人关注 / 一年前发布,18.5,"6,250元/平"
满五唯一，带装修，看房方便，诚心出售，,旺东国际广场 -开城大润发,2室2厅 | 74.65平米 | 东 | 精装 | 30层  | 板塔结合,0人关注 / 2个月以前发布,82,"10,985元/平"
满两年 中高楼层 视野优 看花园 毛坯房,半岛1号十一期 -白云新城,3室1厅 | 88.37平米 | 东南 | 毛坯 | 28层  | 塔楼,0人关注 / 5个月以前发布,106,"11,996元/平"
急售 新天虹大润发 阳光地带 惠州南站商圈 有钥匙看房,阳光地带 -开城大润发,1室1厅 | 33.3平米 | 南 | 简装 | 17层  | 板塔结合,2人关注 / 一年前发布,18,"5,406元/平"
四洲蜜方 澳头 大亚湾汽车站旁 交通便利 环境优美,四洲蜜方 -澳头,2室2厅 | 69.51平米 | 东 南 | 简装 | 23层  | 板塔结合,3人关注 / 4个月以前发布,55.7,"8,014元/平"
沃尔玛楼上住家纯南向2房急售，好楼层，拎包入住！,龙光城北二期 -龙光城,2室2厅 | 67.07平米 | 南 | 精装 | 32层  | 板塔结合,2人关注 / 2个月以前发布,108,"16,103元/平"
骏涛华府业主诚心卖，买房找夏艺,骏涛华府 -仲恺,3室2厅 | 73.11平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,6人关注 / 一年前发布,60,"8,207元/平"
万达旁，精装修两房，无抵押，朝南、低楼层，户型方正,奥园隆基绿洲花园 -万达,2室2厅 | 69.1平米 | 南 | 精装 | 15层  | 塔楼,5人关注 / 8个月以前发布,73,"10,565元/平"
临深地断好，原价高无个税，满两年新小区,御蓝湾花园 -万达,3室1厅 | 78.89平米 | 南 | 毛坯 | 18层  | 板塔结合,0人关注 / 1个月以前发布,70,"8,874元/平"
大社区，新环境，配套齐全，主干道旁边，看房方便的,御蓝湾花园 -万达,2室2厅 | 78平米 | 南 | 精装 | 18层  | 板塔结合,1人关注 / 3个月以前发布,69,"8,847元/平"
此房保养好，红本在手可随时交易,碧桂园.十里银滩.山林海二区 -惠东沿海,2室1厅 | 69.36平米 | 西 | 简装 | 30层  | 板塔结合,8人关注 / 2个月以前发布,31,"4,470元/平"
万达商圈 香榭小区 精装修 朝南 两房 户型好 急售,香榭名苑 -万达,2室2厅 | 64.97平米 | 南 | 简装 | 18层  | 板塔结合,19人关注 / 5个月以前发布,67.6,"10,405元/平"
带装修领包可入住买直接出租靠.近中小.学.校，税少,卓越东部蔚蓝海岸四期 -西区新寮,2室2厅 | 73.72平米 | 东 | 简装 | 26层  | 板塔结合,12人关注 / 7个月以前发布,90,"12,209元/平"
此房满五唯一 减少购房成本 楼间距宽阔 格局好 采光好,凯峰雅园 -西区新寮,2室1厅 | 78.86平米 | 南 | 毛坯 | 32层  | 板塔结合,32人关注 / 4个月以前发布,81,"10,272元/平"
带装修领包可入住买直接出租靠.近中小.学.校，税少,卓越东部蔚蓝海岸四期 -西区新寮,2室2厅 | 73.72平米 | 东 | 简装 | 26层  | 板塔结合,12人关注 / 7个月以前发布,90,"12,209元/平"
此房满五唯一 减少购房成本 楼间距宽阔 格局好 采光好,凯峰雅园 -西区新寮,2室1厅 | 78.86平米 | 南 | 毛坯 | 32层  | 板塔结合,32人关注 / 4个月以前发布,81,"10,272元/平"
富景花园 2室1厅 南,富景花园 -区政府,2室1厅 | 76.43平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 1个月以前发布,43,"5,627元/平"
急售，临深，交通方便，购物方便。业主诚心出售,晶地顺苑 -西区新寮,1室0厅 | 38.49平米 | 北 | 毛坯 | 30层  | 板塔结合,3人关注 / 2个月以前发布,26.8,"6,963元/平"
满五唯一，带装修，看房方便，诚心出售，,旺东国际广场 -开城大润发,2室2厅 | 74.65平米 | 东 | 精装 | 30层  | 板塔结合,0人关注 / 2个月以前发布,82,"10,985元/平"
公交5站可到深圳沙田地铁 站，票价2元,东岸公馆 -白云新城,1室1厅 | 29.6平米 | 南 | 毛坯 | 26层  | 板塔结合,43人关注 / 一年前发布,18.5,"6,250元/平"
业主诚心卖，房子是单身公寓，带装修，看房预约,阳光地带 -开城大润发,1室0厅 | 27.81平米 | 南 | 简装 | 17层  | 板塔结合,6人关注 / 7个月以前发布,16.8,"6,041元/平"
临深3房，朝南看花园坪山河，满五唯一，红本在手。,金溪湾 -西区新寮,3室2厅 | 89.68平米 | 南 | 毛坯 | 32层  | 板塔结合,4人关注 / 3个月以前发布,83.8,"9,345元/平"
急售 新天虹大润发 阳光地带 惠州南站商圈 有钥匙看房,阳光地带 -开城大润发,1室1厅 | 33.3平米 | 南 | 简装 | 17层  | 板塔结合,2人关注 / 一年前发布,18,"5,406元/平"
四洲蜜方 澳头 大亚湾汽车站旁 交通便利 环境优美,四洲蜜方 -澳头,2室2厅 | 69.51平米 | 东 南 | 简装 | 23层  | 板塔结合,3人关注 / 4个月以前发布,55.7,"8,014元/平"
方正两房，小区环境好，配套齐全！,映日兰庭 -秋长,2室1厅 | 60.57平米 | 南 北 | 毛坯 | 17层  | 板塔结合,4人关注 / 7个月以前发布,45,"7,430元/平"
此房满五唯一税费低，价格便宜，出小区就是沙滩,碧桂园十里银滩海云天 -惠东沿海,1室1厅 | 98.06平米 | 西北 | 精装 | 31层  | 板塔结合,22人关注 / 5个月以前发布,35,"3,570元/平"
深大城轨旁边  紫辰名苑  地铁14号线  延长线  三房,紫辰名苑 -万达,3室2厅 | 105.9平米 | 南 北 | 简装 | 低楼层(共25层)  | 板塔结合,22人关注 / 一年前发布,73,"6,894元/平"
临深，万城名座隔璧，准地铁口的小户型，随时签约,钰林星汇名庭 -白云新城,2室1厅 | 59.03平米 | 南 | 精装 | 27层  | 板塔结合,4人关注 / 2个月以前发布,63,"10,673元/平"
星河丹堤 精装南向两房 满两年 看房随时,星河丹堤E区 -南站新城,2室2厅 | 74.32平米 | 南 | 精装 | 30层  | 板塔结合,2人关注 / 4个月以前发布,108,"14,532元/平"
美丽洲花园 三房两卫 中间楼层 视野好 朝南看花园,美丽洲 -马安,3室2厅 | 86.6平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 16天以前发布,99,"11,432元/平"
富川瑞园 3室2厅 南,富川瑞园 -仲恺,3室2厅 | 93.31平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,76,"8,145元/平"
花样年别样城二期 3室2厅 南,花样年别样城二期 -新行政区,3室2厅 | 95平米 | 南 | 简装 | 33层  | 板塔结合,0人关注 / 15天以前发布,95,"10,000元/平"
东江新城 文岭西堤 南看江北看花园 看房有钥匙,文岭西堤 -东江新城,3室2厅 | 109平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 14天以前发布,180,"16,514元/平"
合生上观国际四房两厅一厨两卫带装修光线好,合生·上观国际 -水口,4室2厅 | 142平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 16天以前发布,148,"10,423元/平"
仲恺轻轨站旁品质小区仲恺隆生花园公园式小区,隆生仲恺花园 -仲恺,3室2厅 | 112.28平米 | 南 | 毛坯 | 32层  | 塔楼,1人关注 / 12天以前发布,123,"10,955元/平"
德洲城六期（二手） 2室2厅 南,德洲城六期（二手） -西区新寮,2室2厅 | 78.47平米 | 南 | 精装 | 25层  | 塔楼,0人关注 / 3天以前发布,99,"12,617元/平"
临深三房，花园式住宅好楼层，业主诚心卖,富康锦绣壹号 -西区新寮,3室1厅 | 75.89平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 8天以前发布,128,"16,867元/平"
业主资金周转，此房满五唯一，带装修，家私家电全齐,亚迪二村一区 -澳头,4室2厅 | 149平米 | 东南 | 精装 | 32层  | 板塔结合,0人关注 / 14天以前发布,120,"8,054元/平"
区政府版块，天虹旁精装大两房，拎包入住。,清泉城市广场 -区政府,2室1厅 | 65平米 | 东南 | 精装 | 32层  | 塔楼,0人关注 / 7天以前发布,76,"11,693元/平"
业主急售海伦堡春天一期户型方正,海伦春天一期 -水口,2室1厅 | 80.63平米 | 东南 | 精装 | 33层  | 板楼,0人关注 / 2天以前发布,84.9,"10,530元/平"
热闹 户型方正，采光好，配套齐全 ，生活便利,御景华城三期可园 -仲恺,1室1厅 | 28.92平米 | 西南 | 简装 | 7层  | 板塔结合,1人关注 / 2天以前发布,13.8,"4,772元/平"
业主诚心出售，大社区环境好，楼层视野好,德丰凯旋城北区 -大亚湾中心区,3室1厅 | 78.14平米 | 南 北 | 简装 | 33层  | 板塔结合,0人关注 / 一年前发布,70,"8,959元/平"
"半岛体育馆，百万别墅大盘，一公里城市CBD,",半岛1号一期 -白云新城,2室2厅 | 82.06平米 | 南 | 其他 | 6层  | 板塔结合,3人关注 / 3个月以前发布,70,"8,531元/平"
业主诚心出售，另带有一个车位可优惠出售，朝向采光好,城市绿兴 -江北,3室2厅 | 95.05平米 | 东 | 精装 | 中楼层(共15层)  | 板塔结合,1人关注 / 5个月以前发布,105,"11,047元/平"
业主诚心出售，另带有一个车位可优惠出售，朝向采光好,城市绿兴 -江北,3室2厅 | 95.05平米 | 东 | 精装 | 中楼层(共15层)  | 板塔结合,1人关注 / 5个月以前发布,105,"11,047元/平"
看湖景大四房，带精装急售，看房方便！,星河丹堤F区 -南站新城,4室2厅 | 136.81平米 | 东 东北 北 | 精装 | 33层  | 板塔结合,3人关注 / 1个月以前发布,235,"17,178元/平"
"半岛体育馆，百万别墅大盘，一公里城市CBD,",半岛1号一期 -白云新城,2室2厅 | 82.06平米 | 南 | 其他 | 6层  | 板塔结合,3人关注 / 3个月以前发布,70,"8,531元/平"
玉台华庭精装3房   满五唯一  阳台看花园,玉台华庭 -水口,3室2厅 | 79.39平米 | 东北 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 4个月以前发布,85,"10,707元/平"
业主诚心出售，户型实用，采光通风效果好使用,京华中央御园 -比亚迪商圈,4室2厅 | 88.64平米 | 南 | 精装 | 26层  | 板塔结合,1人关注 / 4个月以前发布,86,"9,703元/平"
：地段好 500米万达广场 精装修复式3+1房 税费少,龙城天悦 -万达,3室2厅 | 52.57平米 | 南 | 其他 | 低楼层(共16层)  | 板塔结合,9人关注 / 4个月以前发布,64,"12,175元/平"
临深地铁口精装两房，业主诚心急售,龙光城北二期 -龙光城,2室2厅 | 67.23平米 | 南 | 精装 | 32层  | 板塔结合,0人关注 / 1个月以前发布,106,"15,767元/平"
业主急 售 惠阳淡水第 一 城 三房 只需52w,第一城 -区政府,3室2厅 | 92平米 | 南 北 | 简装 | 20层  | 板塔结合,72人关注 / 10个月以前发布,52,"5,653元/平"
近南站沃尔玛商圈 山语龙庭南北通双阳台精装修四房,山语龙庭 -新行政区,4室2厅 | 97.85平米 | 南 | 精装 | 27层  | 板塔结合,8人关注 / 一年前发布,105,"10,731元/平"
装修了30万，顶楼复式4房4阳台，看别墅，满五唯一。,阳光地带 -开城大润发,4室2厅 | 136.86平米 | 南 | 精装 | 17层  | 板塔结合,5人关注 / 1个月以前发布,109,"7,965元/平"
满五唯一，红本在手无欠款，精装修，天虹楼上看房随时,旺东国际广场 -开城大润发,3室2厅 | 92.63平米 | 南 | 精装 | 30层  | 板塔结合,0人关注 / 1个月以前发布,116,"12,523元/平"
60栋楼大社区 厅出阳台 采光通风视野开阔 看花园,花样年别样城一期 -新行政区,3室1厅 | 82.29平米 | 南 | 精装 | 11层  | 板塔结合,0人关注 / 3个月以前发布,87,"10,573元/平"
业主急售  惠州南站 带大平台的房子 满五唯一,河滨华苑 -开城大润发,4室2厅 | 132.11平米 | 南 | 精装 | 11层  | 板塔结合,54人关注 / 8个月以前发布,123,"9,311元/平"
地段好 300米万达广场 精装修复式3房 无欠款 精装修,龙城天悦 -万达,3室1厅 | 84平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,23人关注 / 4个月以前发布,93,"11,072元/平"
惠州东平隆生广场 四房朝南 配套齐全,东湖小区 -东平,4室2厅 | 109平米 | 南 | 简装 | 低楼层(共9层)  | 塔楼,60人关注 / 8个月以前发布,50,"4,588元/平"
惠城区 江滨华府 有湖 有江 装修小3房诚意出售,江滨华府(二手) -小金口,3室2厅 | 87.32平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,81,"9,277元/平"
通风好，楼间距宽，无遮挡视野好，带装修,德洲城一、二期 -西区新寮,3室2厅 | 113.7平米 | 南 | 简装 | 18层  | 板塔结合,27人关注 / 一年前发布,119,"10,467元/平"
八千多带精装，南北对流大平层，全屋红木家具，看湖景,珠光御景湾 -水口,5室2厅 | 160平米 | 南 | 精装 | 30层  | 板塔结合,3人关注 / 1个月以前发布,136,"8,500元/平"
无个税，红本在手，中间楼层，精装修，安静视野好,碧桂园太东公园上城二区 -灿邦,4室2厅 | 128.73平米 | 东南 | 精装 | 33层  | 塔楼,10人关注 / 10个月以前发布,153,"11,886元/平"
满五唯一税费少，精装修三房保养好，中间楼层,三远大爱城 -灿邦,3室2厅 | 74.79平米 | 北 | 精装 | 32层  | 板塔结合,28人关注 / 一年前发布,83,"11,098元/平"
临深三公里，大社区，精装2+1房。满五唯一拎包入住,天域花园 -白云新城,3室2厅 | 73.84平米 | 北 | 精装 | 21层  | 板塔结合,4人关注 / 3个月以前发布,83.8,"11,349元/平"
满五唯一 税少 红本在手 看花园 精装修 拎包入住,龙光城南二期 -龙光城,5室2厅 | 119.15平米 | 南 北 | 精装 | 34层  | 板塔结合,4人关注 / 4个月以前发布,169,"14,184元/平"
急售！！海伦堡南北通三房，十楼，业主诚心出售,海伦堡爱Me城市 -澳头,3室2厅 | 102.75平米 | 南 北 | 毛坯 | 32层  | 塔楼,0人关注 / 1个月以前发布,82,"7,981元/平"
业主诚心出售  满五唯一 中间楼层  精装修,华冠花园 -大亚湾中心区,5室2厅 | 103.2平米 | 南 北 | 精装 | 33层  | 板塔结合,0人关注 / 2个月以前发布,98,"9,497元/平"
富丽达花园  业主急售  精装修  拎包入住,富丽达花园 -草洋新区,3室2厅 | 129.94平米 | 南 | 精装 | 28层  | 板塔结合,4人关注 / 6个月以前发布,100,"7,696元/平"
业主诚心出售  楼层位置优越 房子业主保养的很好,太东时尚岛 -比亚迪商圈,4室2厅 | 136.78平米 | 南 北 | 精装 | 31层  | 板塔结合,0人关注 / 3个月以前发布,118,"8,627元/平"
精装修带家私电器满五唯一。大家看房方便,好家园 -草洋新区,3室2厅 | 80.77平米 | 东南 | 精装 | 21层  | 板塔结合,2人关注 / 1个月以前发布,81,"10,029元/平"
区政府精装修三房 ，业主诚心卖,新祺园 -新行政区,3室2厅 | 77.67平米 | 南 | 精装 | 28层  | 板塔结合,31人关注 / 11个月以前发布,79.9,"10,288元/平"
惠城 金山湖旁 精装 方正户型朝南 看花园,中锴·华章 -河南岸,2室2厅 | 79.22平米 | 东南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 3个月以前发布,108,"13,633元/平"
全新精装修，配套成熟，满五，业主诚心出售。,瑞景居 -南站新城,3室2厅 | 116.13平米 | 东南 西北 | 精装 | 低楼层(共12层)  | 板塔结合,56人关注 / 一年前发布,120,"10,334元/平"
临惠州南站，天虹商场旁，配套成熟，入住率高。,中天彩虹城南区 -开城大润发,3室2厅 | 97.04平米 | 南 | 精装 | 30层  | 板塔结合,0人关注 / 2个月以前发布,90,"9,275元/平"
万祥豪苑 3室1厅 南,万祥豪苑 -白云新城,3室1厅 | 81.91平米 | 南 | 精装 | 30层  | 塔楼,5人关注 / 4个月以前发布,83,"10,134元/平"
满五唯一，红本在手，精装修，业主诚心卖,龙光城北三期 -龙光城,3室2厅 | 89.74平米 | 西南 东南 | 精装 | 低楼层(共34层)  | 板塔结合,2人关注 / 2个月以前发布,126.5,"14,097元/平"
南北通双阳台，通风采光好，视线无遮挡,金汇上元 -万达,3室2厅 | 110.15平米 | 南 北 | 精装 | 31层  | 板塔结合,2人关注 / 1个月以前发布,110,"9,987元/平"
富丽达花园  业主急售  精装修  拎包入住,富丽达花园 -草洋新区,3室2厅 | 129.94平米 | 南 | 精装 | 28层  | 板塔结合,4人关注 / 6个月以前发布,100,"7,696元/平"
精装修带家私电器满五唯一。大家看房方便,好家园 -草洋新区,3室2厅 | 80.77平米 | 东南 | 精装 | 21层  | 板塔结合,2人关注 / 1个月以前发布,81,"10,029元/平"
惠城 金山湖旁 精装 方正户型朝南 看花园,中锴·华章 -河南岸,2室2厅 | 79.22平米 | 东南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 3个月以前发布,108,"13,633元/平"
业主诚心出售  满五唯一 中间楼层  精装修,华冠花园 -大亚湾中心区,5室2厅 | 103.2平米 | 南 北 | 精装 | 33层  | 板塔结合,0人关注 / 2个月以前发布,98,"9,497元/平"
业主诚心出售  楼层位置优越 房子业主保养的很好,太东时尚岛 -比亚迪商圈,4室2厅 | 136.78平米 | 南 北 | 精装 | 31层  | 板塔结合,0人关注 / 3个月以前发布,118,"8,627元/平"
区政府精装修三房 ，业主诚心卖,新祺园 -新行政区,3室2厅 | 77.67平米 | 南 | 精装 | 28层  | 板塔结合,31人关注 / 11个月以前发布,79.9,"10,288元/平"
东南向 红本在手 精装三房 方便看房,江南豪苑 -区政府,3室2厅 | 89.49平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 2个月以前发布,100,"11,175元/平"
此房满五唯一税费低，户型通风，精装省心，楼层采光佳,海伦堡院子 -水口,3室2厅 | 104.36平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,6人关注 / 6个月以前发布,105,"10,062元/平"
临深  近白云地铁站800米  公园里的家 天虹步行可到,万城 -白云新城,4室2厅 | 108.29平米 | 东南 | 精装 | 17层  | 板塔结合,9人关注 / 6个月以前发布,120,"11,082元/平"
朝南看花园，户型方正，采光视野好，业主诚意出售,龙光城北八期 -龙光城,4室2厅 | 97.92平米 | 东南 | 精装 | 17层  | 板塔结合,0人关注 / 1个月以前发布,157,"16,034元/平"
临深 精装修   拎包入住  高楼层  朝南 视野好,锦地繁花 -西区新寮,3室2厅 | 89.49平米 | 南 | 精装 | 21层  | 塔楼,1人关注 / 3个月以前发布,115,"12,851元/平"
金宝创业家园 3房急 自己住的房子,金宝创业家园 -仲恺,3室2厅 | 106.95平米 | 北 | 简装 | 高楼层(共8层)  | 板楼,5人关注 / 1个月以前发布,59,"5,517元/平"
此房满五年，中高楼层，视野宽阔，采光好,瑞景居 -南站新城,3室2厅 | 114平米 | 东南 | 简装 | 中楼层(共11层)  | 板塔结合,7人关注 / 4个月以前发布,116,"10,176元/平"
：房子是近高铁站，出行方便，配套齐全,瑞景居 -南站新城,3室1厅 | 117.89平米 | 南 | 简装 | 中楼层(共12层)  | 板塔结合,13人关注 / 8个月以前发布,115,"9,755元/平"
润福苑 4室2厅 南,润福苑 -区政府,4室2厅 | 117.27平米 | 南 | 简装 | 18层  | 板塔结合,5人关注 / 10个月以前发布,90,"7,675元/平"
房子中高楼层，视野好，户型方正使用率高，业主急售,和府御堡 -西区新寮,3室2厅 | 84.41平米 | 北 | 毛坯 | 26层  | 塔楼,0人关注 / 4个月以前发布,78,"9,241元/平"
金沙世纪花园，小区绿化面积高，楼间距宽，通风效果好,金沙世纪城 -大亚湾中心区,3室2厅 | 85.2平米 | 南 | 精装 | 32层  | 塔楼,4人关注 / 8个月以前发布,83,"9,742元/平"
楼层好 六小旁笋盘 价格实惠 出租自住皆宜,惠渝苑 -开城大润发,4室2厅 | 136.46平米 | 东 | 简装 | 5层  | 平房,68人关注 / 一年前发布,45,"3,298元/平"
临深比亚迪商圈 满五唯一 业主诚心出售 看房方便,京华中央御园 -比亚迪商圈,4室2厅 | 103.72平米 | 南 北 | 精装 | 26层  | 板塔结合,3人关注 / 3个月以前发布,105.9,"10,211元/平"
本因坊，三房，菜市场就在旁边 业主自住的房,本因坊，宝家园 -草洋新区,3室1厅 | 117.25平米 | 东 北 | 精装 | 17层  | 板塔结合,26人关注 / 7个月以前发布,90,"7,676元/平"
临深精装三房南北通透，诚心出售,晨曦大地花园二期 -草洋新区,3室2厅 | 97.95平米 | 南 北 | 精装 | 26层  | 塔楼,10人关注 / 8个月以前发布,83,"8,474元/平"
县城旺区，有万信佳大型*市，文化广场,侨苑花园 -博罗中心区,3室2厅 | 85.79平米 | 北 | 精装 | 中楼层(共8层)  | 板楼,27人关注 / 一年前发布,39,"4,546元/平"
惠东滨江花园小区2房1厅精装修南北通,滨江花园(惠东) -惠东县城,2室1厅 | 88.73平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,69.6,"7,845元/平"
精装三房朝南，户型方正，采光好，通风透气，中高楼层,奥园隆基绿洲花园 -万达,3室2厅 | 104.42平米 | 南 北 | 精装 | 15层  | 塔楼,3人关注 / 9个月以前发布,115,"11,014元/平"
临深圳，近沙田站，满五年精装4房，中间楼层视野佳,凯南莱弗城 -西区新寮,4室2厅 | 109.67平米 | 南 北 | 精装 | 30层  | 板塔结合,1人关注 / 1个月以前发布,125,"11,398元/平"
