标题,开发商,房子信息,发布信息,售价/万,单价
格局好，楼层好，视野宽阔，采光充足,光华佳苑 -大中大,3室2厅 | 132.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,77.8,"5,870元/平"
九江学院 南山公园 莱茵美郡温馨小户型2房 诚意出售,华龙·莱茵美郡 -万达,2室1厅 | 60平米 | 南 | 精装 | 高楼层(共10层)  | 板塔结合,26人关注 / 一年前发布,35,"5,834元/平"
联盛朗香廷 商品房毛坯一室 70年产权 看房有钥匙,联盛朗香廷 -南山,1室1厅 | 46平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,28.8,"6,261元/平"
"小区生活便利，采光好，户型方正,",长虹小区 -万达,2室2厅 | 62.5平米 | 东 南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,34.3,"5,488元/平"
商 业 火车站 时代豪邸 三房两厅一卫,时代豪邸 -湖滨,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,69人关注 / 一年前发布,85,"7,523元/平"
此房满五，空户可用 北区位置好近一中 采光好,湖滨小区北区 -湖滨,2室2厅 | 68平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,115,"16,912元/平"
近白水湖公园环境优美，银行，菜场，医院，公交方便。,丰源·克拉城 -白水湖,1室1厅 | 37平米 | 东南 | 简装 | 低楼层(共35层)  | 板塔结合,10人关注 / 一年前发布,13,"3,514元/平"
三中金阳苑中山路步行街2房中间好楼层出售,金阳苑 -甘棠公园,2室1厅 | 76平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,60,"7,895元/平"
70年产权  朝南电梯 好楼层 拎包入住  诚心出售·,快乐公寓 -快乐城,1室1厅 | 51.17平米 | 北 南 | 精装 | 中楼层(共22层)  | 板楼,3人关注 / 4个月以前发布,35,"6,840元/平"
急售新桥头，房东自住，带家具家电,民生·瞰江郡 -开发区,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,6人关注 / 4个月以前发布,53,"6,625元/平"
十里万达商圈  九玻社区   房东诚心出售,九玻社区 -万达,1室1厅 | 33.62平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,1人关注 / 2个月以前发布,13,"3,867元/平"
正规小区，视野宽阔，采光好，通风效果好,民生·瞰江郡 -开发区,2室1厅 | 80平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 7个月以前发布,59,"7,375元/平"
锦城银座旁   中间楼层  房东自住房,九江市公安局宿舍 -大中大,2室1厅 | 57平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,88,"15,439元/平"
停车位多，合适老人家带小孩陪读，居住舒适，不压抑。,虹能小区 -湖滨,2室1厅 | 55平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 7个月以前发布,82,"14,910元/平"
购物出行很方便，出门就是南山公园，上学也 在旁边。,华龙·莱茵美郡 -万达,2室2厅 | 100.19平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,4人关注 / 6个月以前发布,57,"5,690元/平"
一室一厅带露台，光线好，可租可住，生活方便,新华公寓 -四码头,1室1厅 | 32平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 5个月以前发布,51.5,"16,094元/平"
甘棠公园 一中 丽景湾花园 电梯房 视野好 风景好,丽景湾花园B区 -湖滨,1室1厅 | 50平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 9天以前发布,88,"17,600元/平"
名门世家 3室2厅 南,名门世家 -瑞昌市,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 6天以前发布,93.8,"8,157元/平"
大中大旁信华城市花园一期精装电梯好房大3室,信华城市花园一期 -大中大,3室2厅 | 112平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 3天以前发布,82,"7,322元/平"
一 中旁 八里湖怡祥苑小区通透的两房,怡祥苑 -八里湖,2室2厅 | 62.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,48,"7,680元/平"
此房满2年 视野无遮挡 采光充.,丽景湾花园B区 -湖滨,1室0厅 | 48.48平米 | 西北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,79,"16,296元/平"
信华城市花园一期 4室2厅 北,信华城市花园一期 -大中大,4室2厅 | 111平米 | 北 | 精装 | 高楼层(共11层)  | 板楼,27人关注 / 一年前发布,80,"7,208元/平"
房东诚心出售  极地盛世名都带露台,极地·盛世名都 -南山,5室2厅 | 160.53平米 | 南 | 毛坯 | 高楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,186,"11,587元/平"
九江学院对 面 花园综合楼 户型方正 房东诚心出售,花园小区 -万达,2室1厅 | 70.87平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,39.5,"5,574元/平"
景观楼层，视野宽广，采光充足，中间户，房东诚心出售,缘壹四季春晖 -柴桑区,3室2厅 | 102.67平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 5天以前发布,56,"5,455元/平"
主干道边整栋私房  楼下底商  楼上住家,江西融悦湾 -柴桑区,6室2厅 | 287平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,8人关注 / 一年前发布,180,"6,272元/平"
阳光城富力·文澜府 3室2厅 南 北,阳光城富力·文澜府 -白水湖,3室2厅 | 110平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 5天以前发布,89,"8,091元/平"
生活设施齐全，坐公交都很方便，xiaoxue直接步行,印象柴桑二期 -柴桑区,4室2厅 | 130平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 4天以前发布,70,"5,385元/平"
北区位置好的 精装拎包入住，采光好,湖滨小区北区 -湖滨,3室2厅 | 133.68平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,140,"10,473元/平"
长虹大道  人寿保险公司  宿舍,长虹人寿保险公司宿舍 -湖滨,3室2厅 | 87.39平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,86,"9,841元/平"
亿 达 蓝 湾，小 三房 诚意  出 售,亿达蓝湾 -开发区,3室2厅 | 94.79平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 10天以前发布,80,"8,440元/平"
龙翔国际毛坯2房2厅带车位80万,龙翔国际 -瑞昌市,2室2厅 | 93.5平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 12天以前发布,80,"8,557元/平"
浔阳路工商政协宿舍单位房改房诚意出售,浔阳东路政协宿舍 -大中大,1室1厅 | 64平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,30,"4,688元/平"
水岸莲华，一线湖景，房东诚心，急售,水岸莲华 -八里湖,4室2厅 | 154.26平米 | 南 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 6天以前发布,150,"9,724元/平"
浔阳区   三里街电梯房  楼层好  急售,翠湖明居小区 -大中大,3室2厅 | 154.58平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,102,"6,599元/平"
八里湖新区碧桂园浔阳府，楼层好东边户大四房,碧桂园联发浔阳府 -八里湖,4室2厅 | 143.37平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,135,"9,417元/平"
龙鑫花园 原房东装修 南北通透 诚心出售 看房方便,龙鑫花园A区 -万达,4室2厅 | 137.38平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,83,"6,042元/平"
万达商圈 南山公园 莱茵美郡 优品尚城大四房,优品尚城 -万达,4室2厅 | 127.3平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 4天以前发布,110,"8,642元/平"
南山公园旁南山雅苑大四房诚心出售，看房请联系维护人,南山雅苑 -南山,4室2厅 | 140.8平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 3天以前发布,120,"8,523元/平"
鹤湖 自带商圈配套 快乐城九方 临河景观房，楼层好,新湖·柴桑春天三区 -快乐城,4室2厅 | 170.59平米 | 东 东南 | 毛坯 | 中楼层(共14层)  | 板塔结合,0人关注 / 2天以前发布,230,"13,483元/平"
滨江学府 南北通透 环境好 毛坯房 江景房,广隆·滨江学府 -白水湖,3室2厅 | 121平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,114.5,"9,463元/平"
联泰大平层 高楼层视野好 房主诚心想卖,联泰万泰城二期 -快乐城,4室2厅 | 164平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2天以前发布,193,"11,769元/平"
白水湖新旅旁 电梯3室 楼层阳光好,长盛锦江 -白水湖,3室2厅 | 135平米 | 南 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 3天以前发布,88,"6,519元/平"
房东急售，采光好，视野开阔，交通便利。,水厂宿舍 -万达,2室2厅 | 93.22平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 30天以前发布,46.8,"5,021元/平"
东方国际公寓 好楼层好户型大四房诚意出售，看房方便,东方国际公寓 -快乐城,4室1厅 | 160平米 | 南 北 | 简装 | 低楼层(共27层)  | 塔楼,0人关注 / 12天以前发布,136,"8,500元/平"
开发区毛坯三房，满两年税费少，业主诚心出售,亿达蓝湾 -开发区,3室2厅 | 88.96平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 14天以前发布,73,"8,206元/平"
快乐诚商圈通透四房户型，楼层好，视野开阔,联泰万泰城二期 -快乐城,4室2厅 | 136.33平米 | 南 北 | 毛坯 | 32层  | 板塔结合,0人关注 / 17天以前发布,140,"10,270元/平"
湖滨瀚林国际花园 纯毛坯三房 电梯好楼层,瀚林国际花园 -湖滨,3室2厅 | 97.63平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 12天以前发布,159.5,"16,338元/平"
房东诚心销售，价格可谈，前面带院子，适合养老,麻纺厂宿舍楼 -瑞昌市,2室2厅 | 90.28平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 11天以前发布,44,"4,874元/平"
大润发旁 带大露台的房子 业主诚心出售单价4000出头,向阳苑南 -快乐城,5室3厅 | 172.45平米 | 北 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,75.5,"4,379元/平"
御江一品南北通透户型。。。。。,御江一品 -白水湖,3室2厅 | 106平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 15天以前发布,90,"8,491元/平"
浔南名邸 3室2厅 南,浔南名邸 -万达,3室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共10层)  | 板塔结合,0人关注 / 12天以前发布,129,"10,488元/平"
九龙新城A区洋房顶楼带阁楼带车位,九龙新城A区 -八里湖,4室1厅 | 153.91平米 | 北 南 | 毛坯 | 高楼层(共8层)  | 板塔结合,0人关注 / 9天以前发布,280,"18,193元/平"
信华商圈  御江一品小高层 全天阳光 房东诚心出售,御江一品 -白水湖,3室2厅 | 128.53平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 5个月以前发布,125,"9,726元/平"
万达旁新小区  物业环境好   楼层视野好,浔南悦都 -万达,4室2厅 | 132平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 7个月以前发布,120.5,"9,129元/平"
浔阳区 小高层 通透三房两厅两卫 随时看房 诚心出售,御江一品 -白水湖,3室2厅 | 128.62平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,1人关注 / 4个月以前发布,112,"8,708元/平"
万达旁毛坯大三房，房东急置，带车位，价格可谈,万达华府F区 -万达,3室2厅 | 129.7平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,129,"9,947元/平"
八里湖商圈   奥林匹克花园 复式楼 精装修带露台,中体奥林匹克花园 -八里湖,5室2厅 | 105.51平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,34人关注 / 5个月以前发布,127.8,"12,113元/平"
联泰万泰城一期，即买即可装修入住,联泰·万泰城一期 -快乐城,4室2厅 | 130.81平米 | 南 | 毛坯 | 33层  | 板塔结合,3人关注 / 4个月以前发布,115,"8,792元/平"
房东诚心出售丶电梯复式花园小三洋房,九江国际湾 -柴桑区,3室2厅 | 91.21平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,59.3,"6,502元/平"
联盛国际、149平4房2厅一卫精装修,瑞昌联盛国际A区 -瑞昌市,4室2厅 | 149.02平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,1人关注 / 5个月以前发布,103.9,"6,973元/平"
联盛国际、149平4房2厅一卫精装修,瑞昌联盛国际A区 -瑞昌市,4室2厅 | 149.02平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,1人关注 / 5个月以前发布,103.9,"6,973元/平"
八里湖商圈 奥林匹克花园 大三房子 复式楼  观湖景,中体奥林匹克花园 -八里湖,3室2厅 | 115.02平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,151,"13,129元/平"
格局好，楼层好，视野宽阔，采光充足，配套设施齐全,怡嘉苑东区 -南山,2室2厅 | 65.23平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,40,"6,133元/平"
烟水亭，精装修可拎包入，地段好,环城路27号 -四码头,2室1厅 | 49.68平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,68,"13,688元/平"
万达华府c区 4室2厅 南,万达华府c区 -万达,4室2厅 | 142平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 6天以前发布,185,"13,029元/平"
公园1号 户型南北 通透  阳光充足  生活便利,公园1号 -白水湖,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 6天以前发布,86,"7,289元/平"
八里湖商圈联发浔阳府 正规四房中间楼层毛坯自由装,碧桂园联发浔阳府 -八里湖,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 刚刚发布,139,"9,721元/平"
品牌开发商 满庭春地暖 视野无遮挡 全天阳光 拎包入住,满庭春 -白水湖,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,120,"10,527元/平"
税费低，鹤湖，阳光充足，户型方正,时代华府 -快乐城,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 3天以前发布,105,"8,750元/平"
复式楼  ，采光好，房东诚心销售，看中价格可谈,温馨家园 -瑞昌市,4室2厅 | 85.37平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,54,"6,326元/平"
精装通透大四房，中间楼层，南北向采光好，近万达,万达华府c区 -万达,4室2厅 | 140.1平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 24天以前发布,160.8,"11,478元/平"
梅绽坡　小区安静　交通方便　光线好可拎包入住,梅绽坡社区 -四码头,3室2厅 | 99平米 | 东 南 | 精装 | 中楼层(共8层)  | 板塔结合,5人关注 / 一年前发布,93.8,"9,475元/平"
观澜盛世 全人车分流小区 阳光充足,观澜盛世 -开发区,2室2厅 | 94.61平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 13天以前发布,95,"10,042元/平"
精装修，采光视野好，房东诚意出售,恒大江湾 -开发区,4室2厅 | 140.64平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 10天以前发布,135,"9,599元/平"
房东诚心出售 九江豪庭精装2房 拎包入住 家具家电齐全,九江豪庭 -大中大,2室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共14层)  | 塔楼,0人关注 / 10天以前发布,70,"8,236元/平"
惠民家园好楼层拎包入住  带14平的柴房 满2 税率低,惠民家园 -瑞昌市,2室2厅 | 86.67平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 9天以前发布,57,"6,577元/平"
柴桑区甘亭旁原房东精装2室1厅 诚心出售,三中路商住楼 -柴桑区,2室1厅 | 81平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,41.6,"5,136元/平"
学府壹号 3室1厅 南 北,学府壹号 -柴桑区,3室1厅 | 122.31平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 5天以前发布,84.8,"6,934元/平"
房子原房东精装修 领包入住 中间楼层,瑞景新城 -柴桑区,2室2厅 | 83平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,49,"5,904元/平"
濂溪区奥克斯缔一城三室两厅一卫毛坯,奥克斯缔壹城 -南山,3室2厅 | 100平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 7天以前发布,78,"7,800元/平"
十里蓝山房东诚心，三房两厅两卫。,十里蓝山·悦诚 -莲花,3室2厅 | 112.59平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 4天以前发布,86,"7,639元/平"
房东诚心出售，精装三房两房，满五年,民生·瞰江郡 -开发区,3室2厅 | 95.68平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 3天以前发布,75.6,"7,902元/平"
八里湖商圈  市政府体育馆 水岸莲华 楼层位置视线好,水岸莲华 -八里湖,2室2厅 | 99平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,69,"6,970元/平"
八里湖金鹏城中高楼层一线湖景房大横厅落地大窗,九江金鹏城 -八里湖,3室2厅 | 126.8平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 4天以前发布,130.8,"10,316元/平"
万达一路之隔，带装修2房出售，,怡和苑一期 -万达,2室1厅 | 62.77平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 25天以前发布,36,"5,736元/平"
湖景房小区 南北通透户型 房东诚心出售 满两年,壹品湾 -开发区,4室2厅 | 132.71平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,120,"9,043元/平"
房子地理位置好，九龙广场即将开业，去湖边散步方便,前纬路26号 -新桥头,3室1厅 | 73.75平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 31天以前发布,43,"5,831元/平"
万达旁，素质人群小区便宜卖，中间楼层，满五唯一,庐山苑 -万达,3室2厅 | 133.83平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板楼,0人关注 / 17天以前发布,108,"8,070元/平"
贤母园东边户型  南北三房两厅两卫58万 满2,江州华府 -柴桑区,3室2厅 | 110.17平米 | 东南 | 毛坯 | 低楼层(共20层)  | 板塔结合,0人关注 / 31天以前发布,58,"5,265元/平"
正规复式带花园平台 采光视野好 满二 带装修 拎包入住,金铭福邸 -瑞昌市,5室2厅 | 189.8平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 25天以前发布,99.8,"5,259元/平"
八里湖商圈奥林匹克 洋房中间楼层 诚心出售,中体奥林匹克花园 -八里湖,3室1厅 | 127.99平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,180,"14,064元/平"
采光充足，配套设施齐，万达商圈，花园小区,新湖庐山国际 -万达,3室2厅 | 131平米 | 东南 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,171,"13,054元/平"
八里湖商圈 市政府体育馆 中梁首府 楼层阳光视野好,中梁首府 -八里湖,4室2厅 | 161.5平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,218,"13,499元/平"
"新小区 户型方正 四开间 碧桂园江州府, 毛坯 有车位",碧桂园江州府 -八里湖,4室2厅 | 145平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 24天以前发布,150,"10,345元/平"
八里湖市政府旁精装大四房楼层视线好带车位,联发碧桂园·天璞 -八里湖,4室2厅 | 134.69平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 24天以前发布,158,"11,731元/平"
房子光线好，户型方正 楼层好，采光好 ，视野开阔,海棠园 -十里,3室2厅 | 116.13平米 | 东 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,93,"8,009元/平"
此房是大面积  适合大家庭居住正规四房 户型方正朝南,佑达利花苑 -快乐城,4室2厅 | 145.79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 21天以前发布,71.5,"4,905元/平"
八里湖政府旁.中梁首府.洋房.复式楼.上下两层.6房两厅,中梁首府 -八里湖,6室2厅 | 171平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 25天以前发布,255,"14,913元/平"
碧桂园浔阳府，全人车分流 ，毛坯,碧桂园联发浔阳府 -八里湖,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 24天以前发布,169,"11,819元/平"
富豪花城4-2-1-2南北向采光通风好,富豪花城 -瑞昌市,4室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,0人关注 / 23天以前发布,73.8,"5,198元/平"
万达华府D区 好房诚心出售户型方正,万达华府D区 -万达,3室2厅 | 118.9平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 17天以前发布,113,"9,504元/平"
带大院子 低密度洋房 通透户型,融创政务壹号 -八里湖,3室2厅 | 116平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,232,"20,000元/平"
新湖庐山国际园中园中高楼层东边边户视野好,新湖庐山国际 -万达,3室1厅 | 130.2平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 17天以前发布,143,"10,984元/平"
九龙新城B区远离高速无噪音楼层视线好,九龙新城B区 -八里湖,3室2厅 | 130.31平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 30天以前发布,157,"12,049元/平"
新湖庐山国际 专梯专户 楼层好 视野好 带车位 满2年,新湖庐山国际 -万达,3室2厅 | 126.13平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,2人关注 / 4个月以前发布,142,"11,259元/平"
正规大三房二厅 二卫朝南 阳光视野没有遮挡 配套齐全,湖滨花园东区 -湖滨,3室2厅 | 150平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,0人关注 / 14天以前发布,290,"19,334元/平"
万达华府 品质小区 中间楼层 24小时安保,万达华府F区 -万达,3室2厅 | 129.7平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 8个月以前发布,126.5,"9,754元/平"
好楼层 户型方正 南北通透 公摊小,新湖庐山国际 -万达,3室2厅 | 142.4平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 17天以前发布,170,"11,939元/平"
户型方正，通风好，光线视野开阔！！,联泰万泰城二期 -快乐城,4室2厅 | 142平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 13天以前发布,135,"9,508元/平"
万达商圈 纯洋房 好楼层 房东外地定居诚心卖,远洲·九悦廷 -万达,3室2厅 | 135.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,183,"13,483元/平"
万达旁，花园洋房，自带前后院子，带地下室,新湖庐山国际 -万达,3室2厅 | 144平米 | 南 | 毛坯 | 低楼层(共5层)  | 板楼,0人关注 / 14天以前发布,265,"18,403元/平"
你可能正奔波在卖房的途中。。。。。,十里大道78号 -甘棠公园,3室2厅 | 121.07平米 | 西 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,74,"6,113元/平"
纯洋房 中间楼层 通透户型 全天采光日照,新湖庐山国际 -万达,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 11天以前发布,143,"12,435元/平"
盛世名都 精装 四房 带院子 钥匙在手 震撼出售,极地·盛世名都 -南山,5室2厅 | 199.84平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,230,"11,510元/平"
电梯洋房 保养很好 全屋家具家电 全天阳光 位置安静,远洲·九悦廷 -万达,4室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 5个月以前发布,171,"12,955元/平"
此房满五唯一 采光好 楼层好 精装修 拎包入住,万达华府c区 -万达,4室2厅 | 120.15平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,114,"9,489元/平"
通透大户型，7米长阳台，阳光从早晒到晚,翠湖明居小区 -大中大,3室2厅 | 154平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,82,"5,325元/平"
万达商圈，楼层俱佳，采光足，小区内设有小花园,万达华府c区 -万达,4室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 13天以前发布,115,"9,505元/平"
带车位 庐山国际 毛坯大三房 户型通透 阳光充足,新湖庐山国际 -万达,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 12天以前发布,138,"10,867元/平"
湖景大平层，原房东80万欧式装修,观澜盛世 -开发区,4室2厅 | 232平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,1人关注 / 15天以前发布,246.5,"10,625元/平"
带车位 庐山国际 毛坯大三房 户型通透 阳光充足,新湖庐山国际 -万达,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 12天以前发布,138,"10,867元/平"
万达旁中辉世纪城小区绿化好配套齐全户型方正诚意出售,中辉世纪城 -万达,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 12天以前发布,113,"9,417元/平"
万达广场旁 中茂铂宫 大四房 通透户型 动静分离,中茂铂宫 -万达,4室2厅 | 142.52平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,112.9,"7,922元/平"
此房满2年，户型通透，中间楼层，全天采光,新湖庐山国际 -万达,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 14天以前发布,135,"10,630元/平"
万达广场商圈精装修拎包入住中辉世纪城,中辉世纪城 -万达,3室2厅 | 127.92平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 5个月以前发布,119,"9,303元/平"
联泰万泰城 快乐城九方商圈 证满两年 大平层,联泰·万泰城一期 -快乐城,4室2厅 | 188.05平米 | 南 北 | 毛坯 | 33层  | 板楼,0人关注 / 2个月以前发布,185,"9,838元/平"
八里湖、市政 府旁，北面看湖，南看山的大四房,水岸莲华 -八里湖,4室2厅 | 153.47平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,135,"8,797元/平"
景观楼层，视野宽广，采光充足，品牌家私，精品装修,缘壹四季春晖 -柴桑区,4室2厅 | 136.83平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,79,"5,774元/平"
业主之前自住，质量有保障独栋私房三层，三证齐全,桃园新村 -柴桑区,5室3厅 | 332.58平米 | 南 北 | 简装 | 低楼层(共3层)  | 板塔结合,23人关注 / 一年前发布,110,"3,308元/平"
