标题,开发商,房子信息,发布信息,售价/万,单价
天下名筑毛坯三房 满两年 中高层 全明户型 随时看房,天下名筑 -老峰镇,3室2厅 | 110.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4天以前发布,66,"5,974元/平"
万达广场旁江景房 客厅房间朝南 环境优美停车方便诚售,碧桂园1号公园 -龙狮桥乡,2室2厅 | 82.99平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 9天以前发布,58.8,"7,086元/平"
苏宁洋房，独门独户，南北双阳台，人车分流高档小区,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 139.55平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 16天以前发布,138,"9,889元/平"
苏宁悦城洋房 四室两厅一厨两卫,安庆苏宁悦城 -龙狮桥乡,4室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 16天以前发布,158,"11,286元/平"
长江万里是长江边全新小区，中间楼层，楼间距大采光好,安庆碧桂园·长江万里 -龙狮桥乡,4室2厅 | 155平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 11天以前发布,120.8,"7,794元/平"
CBD 好地段  苏宁悦城  房东诚心出售,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 125.69平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 11天以前发布,123,"9,786元/平"
碧桂园1号公园 3室2厅 南,碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.62平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 14天以前发布,90,"6,891元/平"
三房朝南采光好小区环境好又安静,置地皖江四季 -龙狮桥乡,3室2厅 | 122.5平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 11天以前发布,125,"10,205元/平"
金山华府，毛坯三房两卫，南北通透,金山华府 -未知商圈,3室2厅 | 139.24平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 8天以前发布,48,"3,448元/平"
地理位置优越，小区环境好，新交付，全新毛坯,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 101平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 14天以前发布,112,"11,090元/平"
苏宁悦城四室两厅两卫    交通便利,安庆苏宁悦城 -龙狮桥乡,4室2厅 | 139.5平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 12天以前发布,170,"12,187元/平"
置地天玺 3室1厅 南,置地天玺 -龙狮桥乡,3室1厅 | 127.22平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 8天以前发布,145,"11,398元/平"
苏宁悦城 125平 三房两厅一厨两卫,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 15天以前发布,138,"11,040元/平"
中间楼层，采光无遮挡，满五税费低,绿地二期巴赫公馆 -龙狮桥乡,3室2厅 | 117.8平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 10天以前发布,108,"9,169元/平"
大发四期 毛坯房 中间楼层双阳台 满二 有钥匙随时看,大发宜景城四期 -龙狮桥乡,3室2厅 | 111平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 9天以前发布,72.6,"6,541元/平"
苏宁悦城 四室两厅两卫 私人门厅,安庆苏宁悦城 -龙狮桥乡,4室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 10天以前发布,200,"14,286元/平"
碧桂园江景房，2梯2户，南北全明飞机户，满两年,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 128.75平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,110,"8,544元/平"
南北双阳台  户型方正 中间好楼层 满二,大发宜景城四期 -龙狮桥乡,3室2厅 | 127.11平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,7人关注 / 一年前发布,88,"6,924元/平"
万达广场，红星美凯龙商圈，无尾款好房,碧桂园凤凰湾 -龙狮桥乡,4室2厅 | 139.52平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 11个月以前发布,95,"6,810元/平"
"此房满二年，视野开阔，采光充足,中间楼层",碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.75平米 | 南 | 简装 | 高楼层(共28层)  | 板楼,2人关注 / 一年前发布,85,"6,501元/平"
证满五唯一 毛坯三房两卫 户型方正 前后双阳台无遮挡,碧桂园山水云间 -龙狮桥乡,3室2厅 | 127.74平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,11人关注 / 一年前发布,81,"6,342元/平"
滨江CBD地段，林语棠三期多层带电梯，低公摊视野开阔,宜海林语棠三期 -龙狮桥乡,4室2厅 | 142.19平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 平房,0人关注 / 3个月以前发布,130.2,"9,157元/平"
滨江CBD，东部新城核优质地段，品牌楼盘-中梁滨江一号,安庆中梁滨江壹号 -龙狮桥乡,3室1厅 | 119.46平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,107.5,"8,999元/平"
东部zhongxin地段 大四房 从未入住 中上好楼层,恒大绿洲 -龙狮桥乡,4室2厅 | 164.08平米 | 南 北 | 精装 | 32层  | 板塔结合,2人关注 / 一年前发布,151,"9,203元/平"
一梯一户 四开间朝南 全新毛坯 购入自由装修 南北通风,碧桂园凤凰湾 -龙狮桥乡,4室2厅 | 139.52平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 平房,0人关注 / 一年前发布,100,"7,168元/平"
此房南北通，4室2厅1厨2卫，业主急售，价格可谈,安庆碧桂园钻石郡 -龙狮桥乡,4室2厅 | 141.32平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,130,"9,199元/平"
大发二期 精装修三房 好楼层 保养新 双阳台 东边户,大发宜景城二期 -龙狮桥乡,3室2厅 | 98.28平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,1人关注 / 1个月以前发布,72,"7,327元/平"
绿地卡莎公馆  中间楼层  毛坯四房 滨江CBD区域,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 162.72平米 | 南 西 北 | 毛坯 | 24层  | 板楼,7人关注 / 一年前发布,150,"9,219元/平"
税少 新小区 户型方正没有多余浪费面积 正满两年,碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.62平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,83,"6,355元/平"
安庆东部新城，交通便捷，配套齐全,绿地一期卡莎公馆 -龙狮桥乡,3室2厅 | 119.65平米 | 南 | 精装 | 18层  | 板塔结合,13人关注 / 一年前发布,103,"8,609元/平"
南北通透采足，绿化环境空气优，视野宽广无遮挡,天下名筑 -老峰镇,3室2厅 | 120.72平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,1人关注 / 一年前发布,94.8,"7,853元/平"
：视野开阔 采光充足 证满通透 出行方便 生活便携,天下名筑 -老峰镇,4室2厅 | 133.29平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,129,"9,679元/平"
采光效果好，出行方便，户型很好,绿地二期巴赫公馆 -龙狮桥乡,4室2厅 | 135.17平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,3人关注 / 4个月以前发布,100.8,"7,458元/平"
房东急售好房。地理位置好。设施齐全,碧桂园凤凰湾 -龙狮桥乡,4室2厅 | 139.52平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 平房,2人关注 / 一年前发布,92,"6,595元/平"
碧桂园凤凰湾120平三房  前后无遮挡  紧挨秦谭湖公园,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 118.16平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,75.8,"6,416元/平"
绿地一期精装四房 满五唯一 全天采光,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 117.57平米 | 南 北 | 精装 | 24层  | 板楼,1人关注 / 一年前发布,110,"9,357元/平"
碧桂园凤凰湾120平三房  前后无遮挡  紧挨秦谭湖公园,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 118.16平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,75.8,"6,416元/平"
绿地一期精装四房 满五唯一 全天采光,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 117.57平米 | 南 北 | 精装 | 24层  | 板楼,1人关注 / 一年前发布,110,"9,357元/平"
房东急售好房。地理位置好。设施齐全,碧桂园凤凰湾 -龙狮桥乡,4室2厅 | 139.52平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 平房,2人关注 / 一年前发布,92,"6,595元/平"
中间楼层，全新毛坯，全明户型，配套成熟。,大发宜景城三期 -龙狮桥乡,3室2厅 | 115.91平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,5人关注 / 一年前发布,85,"7,334元/平"
金星北街中间楼层，大面积四室两厅两卫,金星北街085号 -怀宁县,4室2厅 | 182.75平米 | 东 西 | 简装 | 中楼层(共4层)  | 暂无数据,2人关注 / 7个月以前发布,75,"4,104元/平"
绿地商圈，3房朝南，采光好！！！,绿地二期巴赫公馆 -龙狮桥乡,3室2厅 | 112.89平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,83,"7,353元/平"
迎江御墅 5室2厅 南,迎江御墅 -龙狮桥乡,5室2厅 | 205.88平米 | 南 | 简装 | 高楼层(共18层)  | 平房,4人关注 / 3个月以前发布,135,"6,558元/平"
全新毛坯 江景尽收眼底 视野是一览无余 户型方正,大发宜景城四期 -龙狮桥乡,3室2厅 | 111.76平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,78,"6,980元/平"
自住装修，拎包入住，小区环境优美，地理位置好,恒大绿洲 -龙狮桥乡,4室1厅 | 157.09平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 7天以前发布,120,"7,639元/平"
置地·皖江府 4室1厅 南,置地·皖江府 -龙狮桥乡,4室1厅 | 133平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 6天以前发布,130,"9,775元/平"
低总价  纯毛坯  入住滨江板块,水岸花都 -龙狮桥乡,5室2厅 | 151平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,66.8,"4,424元/平"
万达广场旁顶楼有一个阁楼。楼梯房，公摊面积小,余桥新村东区 -龙狮桥乡,2室2厅 | 80.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,38,"4,692元/平"
高区景观三房南北全明户型满两年带车位业主诚意急售,大发宜景城四期 -龙狮桥乡,3室2厅 | 110.93平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 7天以前发布,80,"7,212元/平"
此房证满二，置地新小区，人车分流，三开间朝南飞机户,置地百悦府 -大桥,3室2厅 | 134.99平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 11天以前发布,122,"9,038元/平"
碧桂园一号公园毛坯新房，楼层视野开阔，高品质小区,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,88,"7,858元/平"
恒大珺睿府四室二厅二卫 三开间朝南 南北通透,安庆恒大珺睿府 -大桥,4室2厅 | 145.65平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,125,"8,583元/平"
毛坯大四房 未住人中间楼层采光好 满二0税 一号公园,碧桂园1号公园 -龙狮桥乡,4室2厅 | 176平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,4人关注 / 一年前发布,108,"6,137元/平"
全明户型，楼间距大，保安24小时值班，小区环境干净。,翡翠华庭 -华中路,4室2厅 | 128.17平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,125,"9,753元/平"
精装修户型端正  外加车库  仅邻独秀,宁兴花园 -怀宁县,3室2厅 | 120.5平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,65,"5,395元/平"
恒大绿洲  精装，家具和家电都是留下 ，三房朝南,恒大绿洲 -龙狮桥乡,3室2厅 | 104.01平米 | 南 | 精装 | 33层  | 塔楼,0人关注 / 11天以前发布,88,"8,461元/平"
迎江御墅 3室2厅 南 北,迎江御墅 -龙狮桥乡,3室2厅 | 88.06平米 | 南 北 | 精装 | 低楼层(共11层)  | 平房,0人关注 / 9天以前发布,63,"7,155元/平"
视野开阔 采光时间久 配套完善 交通便利,任店新村 -龙狮桥乡,2室1厅 | 80.3平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,42.8,"5,331元/平"
金山华府 户型方正 中间楼层 采光视野无遮挡一梯两户,金山华府 -未知商圈,2室2厅 | 93.5平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 5天以前发布,32,"3,423元/平"
水岸花都电梯中层好房，精致装修，拎包即住,水岸花都 -龙狮桥乡,3室2厅 | 133.62平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,98.6,"7,380元/平"
大发二期精装三房 拎包入住 满两年 房东急售 随时看房,大发宜景城二期 -龙狮桥乡,3室2厅 | 118.76平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,97.8,"8,236元/平"
正宗三开间朝南户型 满二 税低 采光视野好,绿地四期卢浮公馆 -龙狮桥乡,2室1厅 | 87.78平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 27天以前发布,73,"8,317元/平"
大发三期  满五唯一  看中可小刀,大发宜景城三期 -龙狮桥乡,2室2厅 | 99.87平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 22天以前发布,69.8,"6,990元/平"
东部新城，环境优美，好楼层四室阳光大房,置地·皖江府 -龙狮桥乡,4室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,142,"10,677元/平"
碧桂园钻石郡二期，精装四房，南北通，满2年,安庆碧桂园钻石郡 -龙狮桥乡,4室2厅 | 141平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,93.8,"6,653元/平"
宜海林语堂三期楼层好 飞机户型 采光好 业主诚心出售,宜海林语棠三期 -龙狮桥乡,3室1厅 | 109平米 | 南 | 毛坯 | 中楼层(共11层)  | 平房,0人关注 / 26天以前发布,105,"9,634元/平"
置地天玺二期 电梯真洋房 总高8层 改善型的你选不选！,置地天玺 -龙狮桥乡,4室2厅 | 147平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 29天以前发布,168,"11,429元/平"
大发三期，毛坯三房，南北通，全天采光，满2年,大发宜景城三期 -龙狮桥乡,3室2厅 | 117.47平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 24天以前发布,79.8,"6,794元/平"
视野开阔 采光时间久 配套完善 交通便利,任店新村 -龙狮桥乡,3室2厅 | 121平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,68,"5,620元/平"
此房低楼层，视野开阔，采光充足，毛坯三房,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 125平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,99.9,"7,992元/平"
此房为新交付小区，小区有高层，洋房，环境好,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共21层)  | 暂无数据,0人关注 / 18天以前发布,150,"12,000元/平"
"楼栋位置佳，视野开阔，采光充足,中上楼层",大发宜景城三期 -龙狮桥乡,3室2厅 | 104.12平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 21天以前发布,80,"7,684元/平"
一楼挑高做成两层 采光视野好 出场大,恒大绿洲 -龙狮桥乡,5室2厅 | 90平米 | 南 | 精装 | 29层  | 板塔结合,0人关注 / 30天以前发布,100,"11,112元/平"
别墅 毛坯 5室 四层 大花园 随时看房 证满,碧桂园山水云间 -龙狮桥乡,5室3厅 | 228.54平米 | 南 | 毛坯 | 4层  | 板楼 | 联排别墅 ,0人关注 / 27天以前发布,193,"8,445元/平"
万达旁高品质住宅，精装中间楼层，满两年随时过户,天下名筑 -老峰镇,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 22天以前发布,70,"7,000元/平"
格林镇 中高层总高17层，低密度社区，阳光好 南北通透,宜海格林镇B区 -龙狮桥乡,3室2厅 | 125.05平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 27天以前发布,115.8,"9,261元/平"
置地皖江四季中间楼层三室两厅两卫纯毛坯自由随心装修,置地皖江四季 -龙狮桥乡,3室2厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 19天以前发布,121,"9,454元/平"
洋房 采光视野很好 无遮挡 毛坯交付,安庆苏宁悦城 -龙狮桥乡,4室2厅 | 140.09平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 16天以前发布,127.5,"9,102元/平"
万达旁 全新毛坯房   户型方正  全天采光,碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.62平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,93.8,"7,182元/平"
凤凰湾毛坯大三房 户型正 前后视野好 阳光充足,碧桂园凤凰湾 -龙狮桥乡,4室2厅 | 139.52平米 | 南 | 其他 | 高楼层(共25层)  | 平房,1人关注 / 一年前发布,100,"7,168元/平"
吾悦广场公寓，精装修，楼层好，采光充足，房东急售,吾悦广场 -新河,1室1厅 | 50.22平米 | 西南 | 其他 | 低楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,29,"5,775元/平"
凤凰湾毛坯三房  飞机户型  中高楼层  采光好,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 120.73平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,94,"7,786元/平"
视野开阔采光好，户型方正，厅通阳台。。。,大发宜景城四期 -龙狮桥乡,3室1厅 | 111.36平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,77,"6,915元/平"
好房多推荐 简单装修 配套和出行都是方便的,绿地一期卡莎公馆 -龙狮桥乡,3室2厅 | 135.3平米 | 南 | 其他 | 24层  | 板楼,4人关注 / 一年前发布,110,"8,131元/平"
苏宁悦城  ，小区环境优美，凤凰楼层，全新毛坯,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 124.84平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 16天以前发布,135,"10,814元/平"
苏宁悦城 三室二厅125平  南北中间楼层,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,138.6,"11,088元/平"
置地皖江四季 4室2厅 南 北,置地皖江四季 -龙狮桥乡,4室2厅 | 142.8平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 15天以前发布,143,"10,015元/平"
东部新城成熟商圈，配套齐全，交通方便,置地康熙左岸 -龙狮桥乡,5室1厅 | 346平米 | 南 | 其他 | 低楼层(共8层)  | 板楼,6人关注 / 一年前发布,310,"8,960元/平"
品质生活，毛坯未住，打造属于自己的蜗居,大发宜景城四期 -龙狮桥乡,3室2厅 | 110.93平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,3人关注 / 一年前发布,78,"7,032元/平"
小区环境优美，新交付，全新毛坯,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 14天以前发布,132,"10,560元/平"
大发四期方正三房，南边双阳台，采光好，无遮挡,大发宜景城四期 -龙狮桥乡,3室2厅 | 113.54平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,2人关注 / 一年前发布,88,"7,751元/平"
大花园 迎江板块 石材刚挂  双拼边户  证满低税费,安庆碧桂园钻石郡 -龙狮桥乡,6室2厅 | 401.94平米 | 南 | 其他 | 3层  | 板楼 | 双拼别墅 ,0人关注 / 13天以前发布,600,"14,928元/平"
诚心出售 中高楼层 采光无遮挡,高速·滨江首府 -龙狮桥乡,3室2厅 | 110.95平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,115,"10,366元/平"
房屋毛坯房，三室两厅，视线很好，南边是多层，低税费,林语棠一期 -龙狮桥乡,3室2厅 | 129.99平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,27人关注 / 一年前发布,98,"7,540元/平"
宜海林语棠三期全明户型 视野开阔,宜海林语棠三期 -龙狮桥乡,3室1厅 | 109.39平米 | 南 | 其他 | 高楼层(共11层)  | 平房,0人关注 / 17天以前发布,115,"10,513元/平"
新老城区的交接点，配套齐全，生活方便,高速·滨江首府 -龙狮桥乡,4室2厅 | 129平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,5人关注 / 一年前发布,148,"11,473元/平"
宜海林语棠三期全明户型 视野开阔,宜海林语棠三期 -龙狮桥乡,3室1厅 | 109.39平米 | 南 | 其他 | 高楼层(共11层)  | 平房,0人关注 / 17天以前发布,115,"10,513元/平"
诚心出售 中高楼层 采光无遮挡,高速·滨江首府 -龙狮桥乡,3室2厅 | 110.95平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,115,"10,366元/平"
碧桂园秦潭凤舞联排精装别墅，前后院子,秦潭凤舞小区 -龙狮桥乡,4室3厅 | 194.98平米 | 南 北 | 其他 | 3层  | 暂无数据 | 联排别墅 ,0人关注 / 1个月以前发布,168,"8,617元/平"
碧桂园精装三房，拎包入住，楼层好 采光好 一线江景房,安庆碧桂园钻石郡 -龙狮桥乡,3室1厅 | 107.52平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,14人关注 / 9个月以前发布,70,"6,511元/平"
安庆东部新城成熟商圈，交通方便，配套完善,安庆苏宁悦城 -龙狮桥乡,4室2厅 | 139.5平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 15天以前发布,153,"10,968元/平"
全新景观房，钻石楼层入户花园全景外飘窗均不算面积,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 163.48平米 | 南 北 | 毛坯 | 24层  | 板楼,2人关注 / 一年前发布,135.9,"8,313元/平"
天下名筑，电梯洋房，低公摊，东边户,天下名筑 -老峰镇,4室2厅 | 135.74平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,3人关注 / 一年前发布,108,"7,957元/平"
万达旁 电梯洋房  证满两年  秦潭湿地公园岸,天下名筑 -老峰镇,4室1厅 | 109.47平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,16人关注 / 一年前发布,80,"7,308元/平"
南北双阳台 通风良好 紧靠万达广场，边邻居外国语.,天下名筑 -老峰镇,4室2厅 | 120.73平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,2人关注 / 一年前发布,89,"7,372元/平"
房东急售 价格好谈，高楼层 采光无遮挡,恒大绿洲 -龙狮桥乡,4室2厅 | 140.55平米 | 南 | 其他 | 33层  | 塔楼,0人关注 / 10天以前发布,139.5,"9,926元/平"
秦潭湖畔万达旁满五税费低中间楼层新装修保养好,碧桂园山水云间 -龙狮桥乡,4室2厅 | 143.13平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,95,"6,638元/平"
纯毛坯 中间楼层 产证满五唯一 价格可谈,大发宜景城二期 -龙狮桥乡,3室2厅 | 102.49平米 | 南 | 毛坯 | 中楼层(共29层)  | 板塔结合,7人关注 / 一年前发布,65,"6,343元/平"
绿地一期卡莎公馆，精装3室，户型正，楼层好，采光佳,绿地一期卡莎公馆 -龙狮桥乡,3室2厅 | 138.63平米 | 南 北 | 精装 | 24层  | 板楼,2人关注 / 一年前发布,142,"10,244元/平"
绿地一期 大四房 看房方便 小区环境好,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 173.21平米 | 南 | 其他 | 33层  | 板楼,1人关注 / 一年前发布,148,"8,545元/平"
大发四期 中高楼层 视野开阔 全天采光 证满2年,大发宜景城四期 -龙狮桥乡,3室2厅 | 96.96平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,19人关注 / 一年前发布,68,"7,014元/平"
绿地三期，毛坯三室，户型正，采光佳，看房有钥匙,绿地三期西斯莱公馆 -龙狮桥乡,3室2厅 | 111.67平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,11人关注 / 一年前发布,98,"8,776元/平"
楼层好，采光佳，有大型商场，菜市场，居家方便,绿地二期巴赫公馆 -龙狮桥乡,3室2厅 | 131.09平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,128,"9,765元/平"
此房户型好 居住采光度好小区环境优美中高楼层采光好,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112.53平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,85,"7,554元/平"
凤凰湾 毛坯大三室 南北通透 飞机户型 采光好,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 120平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,76,"6,334元/平"
天下名筑 中间楼层 毛坯自由装修,天下名筑 -老峰镇,4室2厅 | 120.72平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,1人关注 / 3个月以前发布,84,"6,959元/平"
证满五年大发一期花园洋房 采光好 有个地下车库,大发宜景城一期 -龙狮桥乡,4室2厅 | 144.89平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,98,"6,764元/平"
此房全明户型，户型方正，小区地理位置优越,置地·皖江府 -龙狮桥乡,4室2厅 | 132.29平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,125,"9,449元/平"
房东诚售，南北通风，小区环境幽静，读书生活,天下名筑 -老峰镇,4室2厅 | 120.83平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,6人关注 / 一年前发布,110,"9,104元/平"
万达广场旁全新拎包入住新房 中层采光佳停车方便诚售,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112平米 | 南 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 12天以前发布,95.6,"8,536元/平"
绿地四期。新小区，精装修，好楼层,绿地四期卢浮公馆 -龙狮桥乡,3室2厅 | 119.46平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,16人关注 / 11个月以前发布,106.8,"8,941元/平"
此房三室两厅一卫，南北通，三室两厅一卫一厨全明,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 105.52平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,3人关注 / 一年前发布,72,"6,824元/平"
一线江景房 飞机户型 精装大四房 有车位,安庆碧桂园钻石郡 -龙狮桥乡,4室2厅 | 138.53平米 | 东南 | 其他 | 高楼层(共11层)  | 塔楼,2人关注 / 6个月以前发布,116,"8,374元/平"
此房满2年，采光充足，房子通透性*好,碧桂园山水云间 -龙狮桥乡,5室2厅 | 243平米 | 南 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,6人关注 / 一年前发布,257,"10,577元/平"
