标题,开发商,房子信息,发布信息,售价/万,单价
东站旁 梧桐邑满二税低 双阳双卫全明通透户型,华鹏梧桐邑 -东站,4室2厅 | 117.07平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 5天以前发布,68,"5,809元/平"
宜昌东站旁 兴润秋语台大三房毛坯 楼层好 户型佳,兴润·秋语台 -东站,3室2厅 | 113.64平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,15人关注 / 一年前发布,83,"7,304元/平"
东站旁 南北双阳台 精装大三房 拎包入住,碧桂园公园壹号 -东站,3室1厅 | 118.83平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 7个月以前发布,110,"9,257元/平"
五一广场 东辰心语小高层毛坯三房 可看江,东辰心语 -中南路,3室2厅 | 92.19平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,65,"7,051元/平"
五一广场 江山多娇江景房满2年 精装修 拎包入住,江山多娇四期 -五一广场,4室2厅 | 120.69平米 | 东 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 8个月以前发布,166,"13,755元/平"
中建宜昌之星C区3-2-1-1 143.00m² 155 万,中建宜昌之星C区 -五一广场,4室2厅 | 143平米 | 东南 | 毛坯 | 低楼层(共44层)  | 板楼,3人关注 / 一年前发布,141,"9,861元/平"
滨江楼盘，方正四房，南北通透，双阳台,中建宜昌之星C区 -五一广场,4室2厅 | 142.59平米 | 南 北 | 毛坯 | 低楼层(共44层)  | 板塔结合,0人关注 / 一年前发布,140,"9,819元/平"
火车东站旁  香城尚都  满五税低  全明户型,香城尚都 -五一广场,3室2厅 | 121.42平米 | 南 西南 | 简装 | 高楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,102,"8,401元/平"
五一广场 改善型小高层 电梯四房 带车位 边户 满两年,万豪公园里 -五一广场,4室2厅 | 132.82平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 平房,1人关注 / 2个月以前发布,86,"6,475元/平"
梅岭一号电梯洋房毛坯大客厅带车位带地下室可看湖景,梅岭一号 -夷陵区,4室2厅 | 133.26平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,115,"8,630元/平"
一线景观  精装修未入住，看房方便有钥匙,清江润城三期 -夷陵区,3室2厅 | 124平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,10人关注 / 一年前发布,98,"7,904元/平"
华翔星城精装修复式楼房东诚心出售,华翔星城 -夷陵区,4室2厅 | 171平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,90.8,"5,310元/平"
梧桐邑 一期房产 大户型三房  家具家电齐全,华鹏梧桐邑 -东站,3室2厅 | 129.44平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,12人关注 / 一年前发布,90,"6,954元/平"
东站万象汇旁 碧桂园公园壹号精装小高层三房 一梯一户,碧桂园公园壹号 -东站,3室2厅 | 118.83平米 | 东南 东 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 8个月以前发布,97,"8,163元/平"
房子前后开阔，无遮挡，南北通透，满二，,清江润城四期 -夷陵区,3室2厅 | 132.48平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,78.8,"5,949元/平"
龙盘湖别墅区 龙岛壹号 一线江景房 业主诚心出售,龙岛壹号 -东站,3室2厅 | 122.34平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 6个月以前发布,80,"6,540元/平"
梧桐邑 此房满二 首付14万，带入户花园 钥匙看房,华鹏梧桐邑 -东站,3室2厅 | 109.08平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,4人关注 / 3个月以前发布,70,"6,418元/平"
宜化新天地114平精装三房拎包入住，中间楼层,宜化新天地 -中南路,3室2厅 | 113.4平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,85,"7,496元/平"
五一广场   品质小区  宜昌中建之星,中建宜昌之星C区 -五一广场,4室2厅 | 161.58平米 | 南 | 毛坯 | 中楼层(共44层)  | 板楼,0人关注 / 7个月以前发布,162.8,"10,076元/平"
业主诚心出售，户型方正，中间好楼层，小区环境好。,中建宜昌之星C区 -五一广场,3室2厅 | 104.61平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 9个月以前发布,98,"9,369元/平"
一套品质户型好的房子，采光好，环境优美,恒大绿洲 -夷陵区,4室2厅 | 153.08平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,98,"6,402元/平"
房子前后开阔，无遮挡，南北通透，满二，,清江润城四期 -夷陵区,3室2厅 | 132.48平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,78.8,"5,949元/平"
华翔星城精装修复式楼房东诚心出售,华翔星城 -夷陵区,4室2厅 | 171平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,90.8,"5,310元/平"
五一广场东站东山大道旁梧桐邑3房满两年,华鹏梧桐邑 -东站,3室2厅 | 129.41平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,86,"6,646元/平"
天域水岸 江景 小三居  江景好 视野开阔 采光好,天域水岸 -中南路,3室2厅 | 93.55平米 | 南 北 | 毛坯 | 高楼层(共36层)  | 板楼,4人关注 / 11个月以前发布,130,"13,897元/平"
五一广场 江边 边户三面采光，楼层高，视野开阔,江山多娇5期 -五一广场,4室2厅 | 120.11平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,13人关注 / 一年前发布,140,"11,656元/平"
这是业主婚房，年轻人的装修风格，装修材料环保。,长阳新城 -长阳土家族自治县,3室2厅 | 108.11平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,4人关注 / 一年前发布,45,"4,163元/平"
西湖春天高楼层户型方正有三个阳台,西湖春天 -宜都市,3室2厅 | 107.29平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,14人关注 / 一年前发布,29.8,"2,778元/平"
一线江景三居室毛坯诚心出售 交通便利 可随时看yny,金色水岸 -长阳土家族自治县,3室2厅 | 116.59平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,2人关注 / 一年前发布,52.8,"4,529元/平"
湖景花园叠拼别墅，毛坯房想怎么装修都可,湖锦花园 -夷陵区,5室2厅 | 335平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,148,"4,418元/平"
好房来袭 香山总部鑫苑毛坯三房带车位出售报价80.5万,香山总部鑫苑 -东山开发区,3室2厅 | 118.68平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,72,"6,067元/平"
水悦城商圈保利时代 毛坯小三房 钥匙看房,保利时代 -东山开发区,3室1厅 | 93.94平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,10人关注 / 一年前发布,79.5,"8,463元/平"
江南好房 环境优美 天然氧吧 南北通透 双阳台,智禧湾 -点军区,3室2厅 | 124.97平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,86,"6,882元/平"
夷陵万达旁，前排11层洋房，一线湖景房，带车位出售,钓鱼台壹号 -夷陵区,4室2厅 | 163.46平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 7个月以前发布,118,"7,219元/平"
地处隆康路繁华地段，菜场、小吃街、医院一应俱全。,银海丽景 -万达,4室2厅 | 142.21平米 | 南 | 简装 | 低楼层(共24层)  | 板塔结合,2人关注 / 6个月以前发布,160,"11,251元/平"
伍家岗中南路 环球港 城东公园旁 别墅出售,宜化·巴黎香颂 -中南路,6室3厅 | 309.56平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,10人关注 / 一年前发布,420,"13,568元/平"
萧氏125.6平毛坯三房 中间楼层 好装修优惠价出售,茗邸 -夷陵区,3室2厅 | 125.67平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,15人关注 / 一年前发布,59.5,"4,735元/平"
"夷陵区老城区地段,整栋私房,三层精装修,擒包入住.",罗河二巷41号 -夷陵区,6室2厅 | 190平米 | 东南 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 7个月以前发布,116,"6,106元/平"
比邻保利 锦苑小区 163平大平层 带同等面积隔热,锦苑小区 -夷陵区,4室2厅 | 163平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,79.5,"4,878元/平"
清江润城叠拼别墅.奢华装修带惬意小院，品味百变人生,清江润城三期 -夷陵区,4室2厅 | 197.47平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,11人关注 / 一年前发布,196,"9,926元/平"
碧桂园公园壹号 装修四房带车位 急售 急售,碧桂园公园壹号 -东站,4室2厅 | 128.67平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,99,"7,695元/平"
中南路商圈  毛坯大4房 楼层高  满五唯一  户型方正,上善谷北区 -中南路,4室2厅 | 159.69平米 | 东南 东 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 4个月以前发布,165,"10,333元/平"
东站旁，秋语台三房变四房，楼层好，价格优,兴润·秋语台 -东站,4室2厅 | 111.92平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,19人关注 / 一年前发布,83.9,"7,497元/平"
宜昌东站片区 欢乐世界旁梧桐邑一期 精装大三房,华鹏梧桐邑 -东站,3室2厅 | 121.24平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,86,"7,094元/平"
业主因工作调动在武汉，亏本急售，看房有钥匙,华鹏梧桐邑·九棠府 -东站,3室2厅 | 110.15平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,113人关注 / 一年前发布,62,"5,629元/平"
东站路梧桐邑一期 三房毛坯满二诚心出售,华鹏梧桐邑 -东站,3室2厅 | 109.09平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,5人关注 / 6个月以前发布,65,"5,959元/平"
五一广场商圈 精装小三房 生活交通方便,宜化新天地 -中南路,3室2厅 | 89.88平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,7人关注 / 一年前发布,68,"7,566元/平"
舒适大平层户型方正空间布局好一线江景采光好,江畔大地 -中南路,4室2厅 | 170.64平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,195,"11,428元/平"
五一广场旁 宜化新天地洋房精装修 拎包入住,宜化新天地 -中南路,3室2厅 | 122.3平米 | 南 | 精装 | 中楼层(共10层)  | 塔楼,2人关注 / 6个月以前发布,114,"9,322元/平"
东站秋语台 满五年精装房 采光好,兴润·秋语台 -东站,3室2厅 | 113.73平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,76,"6,683元/平"
中南路商圈  毛坯大4房 楼层高  满五唯一  户型方正,上善谷北区 -中南路,4室2厅 | 159.69平米 | 东南 东 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 4个月以前发布,165,"10,333元/平"
碧桂园公园壹号 装修四房带车位 急售 急售,碧桂园公园壹号 -东站,4室2厅 | 128.67平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,99,"7,695元/平"
五一广场商圈 精装小三房 生活交通方便,宜化新天地 -中南路,3室2厅 | 89.88平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,7人关注 / 一年前发布,68,"7,566元/平"
业主因工作调动在武汉，亏本急售，看房有钥匙,华鹏梧桐邑·九棠府 -东站,3室2厅 | 110.15平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,113人关注 / 一年前发布,62,"5,629元/平"
东站路梧桐邑一期 三房毛坯满二诚心出售,华鹏梧桐邑 -东站,3室2厅 | 109.09平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,5人关注 / 6个月以前发布,65,"5,959元/平"
正规四房 带入户 车位 楼层好 装修好 拎包入住,东辰二号 -中南路,4室2厅 | 155.46平米 | 东南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 4天以前发布,175,"11,257元/平"
江山多娇4期精装大3房，有吧台哦，高楼层视野开阔,江山多娇四期 -五一广场,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 4天以前发布,150,"12,296元/平"
杨岔路 江临天下 带装修 4房 诚心出售 看房方便,江临天下 -杨岔路,4室2厅 | 146平米 | 南 | 精装 | 低楼层(共12层)  | 塔楼,0人关注 / 5天以前发布,120,"8,220元/平"
满五唯一价格包含车位!!!小姐姐自住房,东郡A区 -五一广场,3室2厅 | 86.04平米 | 南 东南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 4天以前发布,80,"9,299元/平"
九棠府四房双阳台，出门就是公交车站,华鹏梧桐邑·九棠府 -东站,4室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 1天以前发布,118,"8,551元/平"
伍家岗 东站 梧桐邑 精装3房2厅 户型通透 满五唯一,华鹏梧桐邑 -东站,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,100,"8,475元/平"
书包翻个墙，前面完全无遮挡 ，采光好,宜化新天地三期 -东站,3室2厅 | 111.68平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1天以前发布,89,"7,970元/平"
发展大道品质小区一楼毛坯带80平大平台,恒大绿洲 -夷陵区,3室2厅 | 110.54平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 16天以前发布,85,"7,690元/平"
东湖市场旁，04年房屋，中间楼层。地段好，生活方便！,夷陵大道20号 -葛洲坝,2室2厅 | 73.76平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,55,"7,457元/平"
户型方正采光好，楼层好，出门就是公交车站,平湖国际 -夷陵区,2室2厅 | 101.42平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 14天以前发布,85,"8,381元/平"
水悦城 运河边 江峡苑精装大四房带露台,江峡苑 -东山开发区,4室3厅 | 91.89平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 21天以前发布,85,"9,251元/平"
月亮湾毛坯小三房，有钥匙，随时可看房，诚心出售,月亮湾 -中南路,3室2厅 | 88.6平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 17天以前发布,80,"9,030元/平"
宏信玫瑰城 3室2厅 南,宏信玫瑰城 -夷陵区,3室2厅 | 83.91平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 6天以前发布,67,"7,985元/平"
八零九生活小区 2室1厅 南 北,八零九生活小区 -东山开发区,2室1厅 | 51.21平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,41,"8,007元/平"
万达商圈精装两房带露台 看房提前预约,香山铭苑 -万达,2室2厅 | 84.41平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 9天以前发布,75,"8,886元/平"
平云二路公园里大四房，双书包购物出行方便,宏信公园里 -夷陵区,4室2厅 | 130.29平米 | 东南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 9天以前发布,85.8,"6,586元/平"
金家台7号小区，中层两房，对铁路坝和十六书包,金家台小区 -解放路,2室2厅 | 84.5平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,70,"8,285元/平"
上岗路 二楼 正规 出让性质 没有土地出让金！,上岗路 -华祥,3室2厅 | 61.41平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,42,"6,840元/平"
平湖天下华庭 3室2厅 北,平湖天下华庭 -夷陵区,3室2厅 | 129.86平米 | 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 2天以前发布,77,"5,930元/平"
水悦城商圈民生丽岛，一楼带院子，诚意出售！,民生丽岛 -东山开发区,3室2厅 | 105.25平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,0人关注 / 4天以前发布,78,"7,411元/平"
金东方旁 三楼步梯 精装大房 背包住 王家河小区,夷陵大道384-3号 -中南路,2室1厅 | 81.99平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 3天以前发布,49.8,"6,074元/平"
小溪塔城区，精装大四房，拎包入住,楚天明珠 -夷陵区,4室2厅 | 162.17平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 1天以前发布,98,"6,044元/平"
桃花岭是正规大5房，专员楼，满五不唯一全明边户,桃花岭 -解放路,5室2厅 | 139.52平米 | 东 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,99,"7,096元/平"
满两年 前后无遮挡 中层 通透户型 精装修加车位一个,碧桂园公园壹号 -东站,4室2厅 | 129.61平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 25天以前发布,104,"8,025元/平"
房子格局好，楼层好，有电梯.视野开阔,兴发小区 -兴山县,3室1厅 | 70.18平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 25天以前发布,47,"6,698元/平"
中南路商圈精装三房  坐拥四大广场,宜化山语城二期 -中南路,3室2厅 | 110.68平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 27天以前发布,110,"9,939元/平"
五一广场中建之星C区中高层江景房,中建宜昌之星C区 -五一广场,3室1厅 | 122.97平米 | 南 | 毛坯 | 中楼层(共44层)  | 板楼,0人关注 / 1个月以前发布,117,"9,515元/平"
宜昌万达 国际广场一线江景大平层 跑道式大阳台有车位,宜昌国际广场 -万达,4室2厅 | 262.68平米 | 南 | 毛坯 | 低楼层(共49层)  | 板楼,1人关注 / 24天以前发布,485,"18,464元/平"
东南岸 房东诚心出售 顶楼 南北通透户型 视野好,东南岸 -中南路,4室2厅 | 129平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 塔楼,0人关注 / 1个月以前发布,82,"6,357元/平"
五一广场中建之星精装修三室婚房,中建宜昌之星东区 -五一广场,3室2厅 | 97.6平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,88,"9,017元/平"
此房采光好，房子公摊小，得房率高，小区环境很好,东辰心语 -中南路,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 20天以前发布,88,"7,720元/平"
东站万豪，高楼层，视野开阔，一览无余，6700.,万豪中心 -东站,3室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共44层)  | 板塔结合,1人关注 / 21天以前发布,85,"6,855元/平"
水利工程队宿舍 3室2厅 南,水利工程队宿舍 -宜都市,3室2厅 | 88.52平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 17天以前发布,25.8,"2,915元/平"
五一广场、东辰心语 门口就是BRT  江山多娇商圈,东辰心语 -中南路,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 20天以前发布,105,"9,211元/平"
碧桂园·阅江山 4室2厅 东南,碧桂园·阅江山 -点军区,4室2厅 | 166.8平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,124.5,"7,465元/平"
万豪公园里 3室2厅 南,万豪公园里 -五一广场,3室2厅 | 122平米 | 南 | 毛坯 | 高楼层(共17层)  | 平房,0人关注 / 22天以前发布,88,"7,214元/平"
中南二号 一线江景 公务员小区 你值得拥有,中南二号 -中南路,4室2厅 | 176.22平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,10人关注 / 一年前发布,198,"11,236元/平"
山水华庭 毛坯三房 视野开阔 诚心出售,山水华庭 -东站,3室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,85,"8,855元/平"
中建宜昌之星东区 3室2厅 南,中建宜昌之星东区 -五一广场,3室2厅 | 114.84平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,1人关注 / 8个月以前发布,113,"9,840元/平"
一线正江景全明户型方正采光好！,江畔大地 -中南路,3室2厅 | 123.7平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,1人关注 / 一年前发布,164,"13,258元/平"
走过路过不要错过江畔大地三房两卫绝世好房出售啦！,江畔大地 -中南路,3室2厅 | 118.41平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,133,"11,233元/平"
宜化新天地毛坯大三房 中间楼层 户型方正,宜化新天地 -中南路,3室2厅 | 113.78平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,6人关注 / 一年前发布,89,"7,823元/平"
碧桂园御园 4室2厅 西南,碧桂园御园 -点军区,4室2厅 | 136.95平米 | 西南 | 精装 | 低楼层(共21层)  | 平房,1人关注 / 11个月以前发布,103,"7,521元/平"
碧桂园御园双拼别墅，自带两百多平花园。,碧桂园御园 -点军区,5室3厅 | 237.82平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 10个月以前发布,380,"15,979元/平"
彩云路独栋私房  房东全家已搬迁外地120万诚心出售,彩云路1号 -夷陵区,4室2厅 | 168平米 | 东南 | 毛坯 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,103,"6,131元/平"
宜化新天地 3室2厅 南,宜化新天地 -中南路,3室2厅 | 93.89平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,81,"8,628元/平"
无石山庄精装别墅 带院子 带亭子 有场吧,无石山庄 -夷陵区,6室3厅 | 278.61平米 | 南 | 精装 | 下叠(共6层)  | 板楼 | 叠拼别墅 ,0人关注 / 5个月以前发布,300,"10,768元/平"
此房位置正对长江，高层江景尽收眼底,中建宜昌之星C区 -五一广场,4室2厅 | 156.43平米 | 东南 | 毛坯 | 高楼层(共44层)  | 板楼,0人关注 / 1个月以前发布,225,"14,384元/平"
江南碧桂园 至喜大桥奥体只心 碧桂园御园 豪花装修,碧桂园御园 -点军区,4室2厅 | 136.95平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 7个月以前发布,135,"9,858元/平"
碧桂园御园正规四房，带车位，楼层好，税费低。,碧桂园御园 -点军区,4室2厅 | 129.16平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,5人关注 / 7个月以前发布,100,"7,743元/平"
猇亭 桐岭新村 大三房两厅两卫 诚心出售,桐岭新村二期 -猇亭区,3室2厅 | 132.5平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,41,"3,095元/平"
大四房，户型采光没话说，看房方便，单价低，,山水国际 -夷陵区,4室2厅 | 139.92平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 6个月以前发布,80,"5,718元/平"
伍家岗正一线江景房，一梯一户，满二，看房有钥匙,虹桥国际公寓 -中南路,3室2厅 | 151.06平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 15天以前发布,185,"12,247元/平"
山水华庭全明大四房出售，精装修拎包入住,山水华庭 -东站,4室2厅 | 124平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,19人关注 / 一年前发布,102,"8,226元/平"
宜化新天地 3室2厅 南,宜化新天地 -中南路,3室2厅 | 139.92平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,110,"7,862元/平"
猇亭 桐岭新村 大三房两厅两卫 诚心出售,桐岭新村二期 -猇亭区,3室2厅 | 132.5平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,41,"3,095元/平"
碧桂园御园正规四房，楼层好，税费低。,碧桂园御园 -点军区,4室2厅 | 129.14平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 7个月以前发布,88,"6,815元/平"
中建宜昌之星C区 3室2厅 南,中建宜昌之星C区 -五一广场,3室2厅 | 163平米 | 南 | 毛坯 | 中楼层(共44层)  | 板楼,1人关注 / 一年前发布,210,"12,884元/平"
水悦城正规四房，户型方正，面积大 精装修,民生丽岛 -东山开发区,4室2厅 | 148.34平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,1人关注 / 1个月以前发布,97,"6,540元/平"
梅香溪岸 毛坯3房 业主诚心出售,梅香溪岸 -夷陵区,3室2厅 | 128.93平米 | 东南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,85,"6,593元/平"
香城尚都经典3房2卫户型 房子通透双阳台 好楼层,香城尚都 -五一广场,3室2厅 | 125.49平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,95,"7,571元/平"
精装三房 全屋实木家具 采光佳,华鹏梧桐邑 -东站,3室2厅 | 91.85平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 8个月以前发布,78,"8,493元/平"
五一广场，精装三房，楼层好，业主诚心出售,香山福久源东区 -东站,3室1厅 | 125.81平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,98,"7,790元/平"
山水华庭大四房出售............,山水华庭 -东站,4室2厅 | 134平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,1人关注 / 一年前发布,145,"10,821元/平"
梅岭一号大四房，万达商圈旁边，采光通风，楼层佳.,梅岭一号 -夷陵区,4室2厅 | 135.71平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板塔结合,6人关注 / 一年前发布,86,"6,338元/平"
清江润城三期3-2-1-2 128.00m²,清江润城三期 -夷陵区,3室2厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,83,"6,485元/平"
中铁龙盘湖世纪山水 6室3厅 南,中铁龙盘湖世纪山水 -东站,6室3厅 | 261.22平米 | 南 | 毛坯 | 2层  | 板楼 | 双拼别墅 ,1人关注 / 一年前发布,360,"13,782元/平"
此小区楼层佳，户型广阔，视野宽阔 标准三房交通便利,山水华庭 -东站,3室2厅 | 110.13平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,7人关注 / 一年前发布,88.8,"8,064元/平"
前阳台，后LU台，成熟小区，配套齐全，交通便利,桔香花園 -五一广场,3室2厅 | 135平米 | 南 | 简装 | 低楼层(共12层)  | 板楼,1人关注 / 1个月以前发布,95,"7,038元/平"
梧桐邑洋房出售，先到先得，洋房，居住舒适,梧桐邑七贤台 -东站,3室2厅 | 128.17平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,2人关注 / 一年前发布,118,"9,207元/平"
山水华庭品质小区，刚需三房边户诚心出售,山水华庭 -东站,3室2厅 | 99.56平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,83,"8,337元/平"
月亮湾138平洋房，有大露台和地下室花园,月亮湾 -中南路,3室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,0人关注 / 18天以前发布,175,"12,682元/平"
五一广场商圈  毛坯 看房方便,中建宜昌之星C区 -五一广场,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共44层)  | 板塔结合,0人关注 / 18天以前发布,130,"10,484元/平"
山水华庭 有钥匙随时看房 业主诚心出售 发票价107万,山水华庭 -东站,3室2厅 | 95.85平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,1人关注 / 8个月以前发布,82,"8,556元/平"
五一广场 东辰心语 边户小3房 三面采光 满二年,东辰心语 -中南路,3室2厅 | 92.03平米 | 南 北 东 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,58,"6,303元/平"
