标题,开发商,房子信息,发布信息,售价/万,单价
高品质生活金品时代值得拥有。房本满二年,金品时代 -涿州,4室2厅 | 170平米 | 南 北 | 毛坯 | 17层  | 板塔结合,0人关注 / 15天以前发布,200,"11,765元/平"
华阳路 全南两居 采光和视野都没有问题,润卓天伦湾 -涿州,2室1厅 | 76.83平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,2人关注 / 一年前发布,66,"8,591元/平"
汇元尚品 精装一居室 满五唯一 采光好,汇元尚品 -涿州,1室0厅 | 44.07平米 | 北 | 精装 | 中楼层(共10层)  | 板塔结合,19人关注 / 一年前发布,33,"7,489元/平"
此房满五唯一，南北通透，出行方便,仙颐园小区 -涿州,2室2厅 | 94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,88,"9,362元/平"
南北通透大两居，户型方正，通风效果良好，采光无遮挡,嵘御航城 -涿州,2室2厅 | 100.92平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,1人关注 / 3个月以前发布,79,"7,828元/平"
交通便利，采光充足，精致装修未住,君临天下御景园 -涿州,2室2厅 | 104.16平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,125,"12,001元/平"
开发区 双语旁 精装两居室 房本满二 配套齐全交通方便,京中美居 -涿州,2室2厅 | 83.52平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 10个月以前发布,75,"8,980元/平"
房本满二精装两居拎包入住采光俱佳环境优美,温莎假日二期高层公寓 -涿州,2室2厅 | 92.52平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,1人关注 / 4个月以前发布,60,"6,486元/平"
此房精装修，全明格局两居室，中高层，采光视野一级棒,鸿坤理想湾北区 -涿州,2室2厅 | 77.38平米 | 南 西 北 | 精装 | 中楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,95,"12,278元/平"
联合小区一号院 朝南两居 中间楼层 无遮挡采光充足,联合一号院 -涿州,2室2厅 | 86.79平米 | 西南 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 一年前发布,80,"9,218元/平"
房子位置好，好地段 低楼层的精装修,北京理想城 -涿州,2室1厅 | 82.35平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 6个月以前发布,65,"7,894元/平"
金街公寓，位置好，生活便利，，，，，,金街公寓 -涿州,1室0厅 | 53平米 | 东 | 简装 | 中楼层(共21层)  | 塔楼,0人关注 / 一年前发布,29,"5,472元/平"
南北通透，满五唯一，税费低，有房本，随时过户.,市直小区 -涿州,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,86,"9,149元/平"
天地新城，南北通透两居室，楼层好，视野好，采光好,天地新城 -涿州,2室2厅 | 84.36平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,93,"11,025元/平"
此房板楼，一梯两户的，公摊面积小，免费停车位多，,地质总局南院 -涿州,2室2厅 | 51.81平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,33人关注 / 一年前发布,38,"7,335元/平"
房本满二，采光好，无遮挡，配套设施齐全 有储藏室,翔天万和城 -涿州,2室1厅 | 87.82平米 | 南 北 | 简装 | 21层  | 板塔结合,0人关注 / 一年前发布,79,"8,996元/平"
南向两居，采光号好配套齐全， 交通便利,县府小区 -涿州,2室1厅 | 56.83平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,35,"6,159元/平"
看房方便 业主靠谱 适合居家生活 周  围配套齐全,汇元尚品 -涿州,1室1厅 | 70.73平米 | 南 | 精装 | 高楼层(共10层)  | 板塔结合,5人关注 / 一年前发布,58,"8,201元/平"
冠云路 精装修南北通透两居室满二靠谱出售,东方丽景 -涿州,2室1厅 | 95平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,0人关注 / 7个月以前发布,69,"7,264元/平"
楼间距大的朝南两居室中间楼层业主诚心出售无尾款,联合七号院 -涿州,2室1厅 | 85.93平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,60,"6,983元/平"
低楼层，适合有老人和孩子的家庭，生活便利，绿化好,翔天万和城 -涿州,2室1厅 | 74.3平米 | 西北 | 简装 | 21层  | 板塔结合,1人关注 / 一年前发布,60,"8,076元/平"
板楼全南正规1居室，中间层，停车方便，,名流枫景五期 -涿州,1室2厅 | 60.34平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,42,"6,961元/平"
鹏润四季花园 2室2厅 南,鹏润四季花园 -涿州,2室2厅 | 89.78平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,72,"8,020元/平"
房子是大一居，朝北的户型，视野好，位置好,绅士大厦 -涿州,1室1厅 | 56.34平米 | 北 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 一年前发布,38,"6,745元/平"
"温莎假日,精装修,满二，观景房，全南一居",温莎假日二期高层公寓 -涿州,1室1厅 | 72.68平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,45,"6,192元/平"
涿州城区 配套齐全 宽敞两居 采光充足 房本满二,东方家园 -涿州,2室1厅 | 116平米 | 南 北 | 简装 | 7层  | 板楼,1人关注 / 一年前发布,100,"8,621元/平"
此房板楼，一梯两户的，公摊面积小，免费停车位多，,地质总局南院 -涿州,2室2厅 | 51.81平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,33人关注 / 一年前发布,38,"7,335元/平"
涿州三利中和成，精装两居室，无遮挡,三利中和城一期 -涿州,2室1厅 | 83平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,4人关注 / 一年前发布,75,"9,037元/平"
户型方正，采光充足，此房是满5年税费低，生活成本低,名流枫景洋房 -涿州,2室2厅 | 93平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,72,"7,742元/平"
二康西南北通透两居，低楼层无遮挡,绿茵家园 -涿州,2室2厅 | 93.4平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,70,"7,495元/平"
北侧有机场北线高速，东侧有京港澳，快速抵达北京西,香邑溪谷 -涿州,2室1厅 | 79.79平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,1人关注 / 8个月以前发布,57,"7,144元/平"
华阳路简装两居，南北户型，西丁三义双塔,华光小区 -涿州,2室2厅 | 89.72平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55,"6,131元/平"
鸿坤理想湾，南北通透大两居户型，采光好，视野好,鸿坤理想湾北区 -涿州,2室2厅 | 77.19平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,42人关注 / 11个月以前发布,82,"10,624元/平"
德信公园旁 南北通透2居室 有房本 精装 拎包入住,翡翠城 -涿州,2室1厅 | 94.5平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,69,"7,302元/平"
市区南北两居户型采光通风 通风性好 楼层好 采光充足,云景城 -涿州,2室1厅 | 91.46平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,70,"7,654元/平"
此房所在小区临范阳路，通透两居，三层无遮挡。,范阳水电小区 -涿州,2室2厅 | 58.69平米 | 南 北 | 简装 | 6层  | 板楼,13人关注 / 一年前发布,57,"9,713元/平"
开发区 公园壹号 南北通透两居室 有装修,公园壹号 -涿州,2室1厅 | 85.2平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,76,"8,921元/平"
华阳路联合小区六号院 南北通透二居室 板楼公摊小,联合小区六号院 -涿州,2室2厅 | 75.17平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,52,"6,918元/平"
出售研制厂小区，范阳路，二居室住宅。,研制厂小区 -涿州,1室1厅 | 40.65平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,28,"6,889元/平"
南北通透两居，户型方正，房屋公摊小，,华福佳缘小区 -涿州,2室2厅 | 93.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,94,"10,014元/平"
名流一品 南北通透大三居 房本满二 可贷款,名流一品 -涿州,3室2厅 | 126.77平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板塔结合,4人关注 / 一年前发布,136,"10,729元/平"
房子是开发区转东兴南街的，出行方便，购物方便。,九州小区 -涿州,3室2厅 | 113平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 11个月以前发布,90,"7,965元/平"
此房满五唯一 房主诚心出售全阳户型 价格可议,绿茵家园 -涿州,2室2厅 | 88平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,100,"11,364元/平"
南北通透三居室，中 心地段，业主急售！,农业局小区 -涿州,3室2厅 | 97平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,78,"8,042元/平"
宝利新仕界 3室2厅 南,宝利新仕界 -涿州,3室2厅 | 111平米 | 南 | 毛坯 | 8层  | 板楼,0人关注 / 一年前发布,136,"12,253元/平"
小区位于润禾街，交通便利。 有房产证，交易便捷,宝利新仕界 -涿州,3室2厅 | 113平米 | 南 | 毛坯 | 8层  | 板楼,0人关注 / 一年前发布,126,"11,151元/平"
这是洋房高铁商圈划算的洋房，业主为回笼资金底价出售,宝利新仕界 -涿州,3室2厅 | 113.9平米 | 南 | 毛坯 | 8层  | 板楼,1人关注 / 一年前发布,115,"10,097元/平"
南北通透正规2居格局，户型方正没有浪费,农大涿园小区 -涿州,2室2厅 | 85.72平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,65,"7,583元/平"
此房满五，税费低，南北通透，集中供暖，停车位充足,涿州银都小区 -涿州,3室2厅 | 122.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,105,"8,568元/平"
牛津花园，中间楼层，南北通透，采光无遮挡。,鹏渤印象城牛津花园 -涿州,3室2厅 | 108.19平米 | 南 北 | 毛坯 | 23层  | 板塔结合,0人关注 / 一年前发布,130,"12,016元/平"
此房是南北通透的三室，毛坯，可以随意装修,鹏渤印象城牛津花园 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 23层  | 板塔结合,1人关注 / 一年前发布,110,"11,225元/平"
牛津花园   毛坯南北通透三居,鹏渤印象城牛津花园 -涿州,3室2厅 | 107.87平米 | 南 北 | 毛坯 | 23层  | 板塔结合,0人关注 / 一年前发布,135,"12,516元/平"
南北通透三居室，全明格局，采光好无遮挡，转角阳台,鹏渤印象城牛津花园 -涿州,3室1厅 | 99平米 | 南 北 | 毛坯 | 23层  | 板塔结合,1人关注 / 一年前发布,108,"10,910元/平"
新  上房源  华融现代城洋房  南北通透三居室,华融现代城 -涿州,3室2厅 | 96.63平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,135,"13,971元/平"
高铁华融现代城洋房。南北通透格局，无遮挡，采光好。,华融现代城 -涿州,3室2厅 | 97平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,3人关注 / 一年前发布,105,"10,825元/平"
华融现代城，洋房南北通透三居室，精装修自住标准,华融现代城 -涿州,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,118,"12,041元/平"
高铁  华融现代城 高层三居 采光好,华融现代城 -涿州,3室2厅 | 98平米 | 北 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,120,"12,245元/平"
新  上房源  华融现代城洋房  南北通透三居室,华融现代城 -涿州,3室2厅 | 96.63平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,135,"13,971元/平"
【鸿坤新维港】南北通透三居室，采光无遮挡,鸿坤新维港 -涿州,3室2厅 | 127.8平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 板塔结合,9人关注 / 一年前发布,100,"7,825元/平"
华融现代城 洋房 三居 南北通透 楼层采光好 有房本,华融现代城 -涿州,3室2厅 | 100平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,160,"16,000元/平"
名流一品 中装两居 范阳路中段 好楼层,名流一品 -涿州,2室1厅 | 100平米 | 南 | 简装 | 低楼层(共20层)  | 板塔结合,0人关注 / 一年前发布,98,"9,800元/平"
精装修，南北通透，三居，中间楼层,鹏渤印象城牛津花园 -涿州,3室2厅 | 98平米 | 南 北 | 精装 | 23层  | 板塔结合,1人关注 / 一年前发布,120,"12,245元/平"
天伦湾大社区 绿化水系公园 集中供暖 样板间户型,润卓天伦湾 -涿州,3室1厅 | 108平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,105,"9,723元/平"
华融现代城洋房，总价105万，有房本,华融现代城 -涿州,3室2厅 | 96.9平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,7人关注 / 一年前发布,90,"9,288元/平"
南北通透，户型方正，楼层采光都好。,鹏渤印象城牛津花园 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 23层  | 板塔结合,0人关注 / 一年前发布,88,"8,980元/平"
宝利新仕界 3室2厅 南 北,宝利新仕界 -涿州,3室2厅 | 113.9平米 | 南 北 | 毛坯 | 8层  | 板楼,1人关注 / 一年前发布,120,"10,536元/平"
南北通透大三居，采光好，视野好，小区环境好,华融现代城 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,98,"10,000元/平"
金品时代 高duan社区 南北通透大三居 中间楼层,金品时代 -涿州,3室2厅 | 155平米 | 南 北 | 毛坯 | 18层  | 板楼,2人关注 / 一年前发布,250,"16,130元/平"
南北通透户型，采光好，公摊小，楼层好,水岸花城 -涿州,2室1厅 | 83.71平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,75,"8,960元/平"
开发区广场京东商贸城122平两居室90万出售中,京东商贸城 -涿州,3室2厅 | 122平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,86,"7,050元/平"
高铁区域，华融现代城，通透三居，诚意出售,华融现代城 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,8人关注 / 一年前发布,97,"9,898元/平"
华融现代城带装修洋房出售，中间楼层采光好,华融现代城 -涿州,3室2厅 | 98平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,6人关注 / 一年前发布,95,"9,694元/平"
高铁新干线 4室2厅 南 北,高铁新干线 -涿州,4室2厅 | 128.5平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,165,"12,841元/平"
高铁东站 新干线朝南小三居 花园式园区,高铁新干线 -涿州,3室2厅 | 92平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 8个月以前发布,100,"10,870元/平"
北二环凯旋门 南北通透两居 大客厅朝阳..,鸿盛凯旋门 -涿州,2室2厅 | 102平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,78,"7,648元/平"
涿州高铁新干线 三居室 采光好 视野开阔,高铁新干线 -涿州,3室2厅 | 91.79平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,100,"10,895元/平"
小高层 一梯两户 公摊小  南北大三居 居住舒适,鸿盛凯旋门 -涿州,3室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,150,"10,715元/平"
高铁新干线 3室2厅 南,高铁新干线 -涿州,3室2厅 | 92.5平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,102,"11,028元/平"
距离高铁1000米，社区环境好，物业管家式服务.,高铁新干线 -涿州,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,150,"11,812元/平"
房子南北通透三居室，楼层低，看房方便,高铁新干线 -涿州,3室1厅 | 99.53平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,120,"12,057元/平"
本房是70年产权房子是 南北通透三居全明户型毛坯房,高铁新干线 -涿州,3室2厅 | 98平米 | 北 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,115,"11,735元/平"
高铁新干线全阳三居室 好楼层 采光充足 业主急售,高铁新干线 -涿州,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,95,"10,675元/平"
小区首批交房客户，业主诚意出售,高铁新干线 -涿州,3室1厅 | 92.6平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,105,"11,340元/平"
涿州高铁东站旁  紧凑型南向三居出售 采光好 户型方正,高铁新干线 -涿州,3室1厅 | 91.2平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,100,"10,965元/平"
总高7层的洋房，南北通透，视野优美，采光充足,高铁新干线 -涿州,3室1厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,175,"12,774元/平"
高层大F，视野好，无遮挡，有钥匙看房方便,高铁新干线 -涿州,3室2厅 | 97平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,14人关注 / 一年前发布,110,"11,341元/平"
高层大F，视野好，无遮挡，有钥匙看房方便,高铁新干线 -涿州,3室2厅 | 97平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,14人关注 / 一年前发布,110,"11,341元/平"
世纪嘉园 南北通透三居 板楼无公摊 房本满五唯一,世纪嘉园 -涿州,3室2厅 | 94平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,90,"9,575元/平"
德信公园旁华泰豪庭板楼中间楼层南北通透大两居税费低,华泰豪庭 -涿州,2室2厅 | 105平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,80,"7,620元/平"
华融现代城大四居室洋房品质总高11层,华融现代城 -涿州,4室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,190,"14,075元/平"
高新区 技校家园 南北通透三居双卫 房本满二 精装未住,技校家园 -涿州,3室2厅 | 135.29平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,135.29,"10,000元/平"
南北 通透 三居室 楼前没有遮挡 全天采光,名流枫景五期 -涿州,3室1厅 | 110平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,108,"9,819元/平"
德信公园旁  南北通透两居。板楼公摊小，带地下室，,名流枫景五期 -涿州,3室2厅 | 111平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,100,"9,010元/平"
高铁新干线，电梯洋房，一梯两户，诚意出售，随时看房,高铁新干线 -涿州,3室2厅 | 137.5平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,11人关注 / 一年前发布,165,"12,000元/平"
花园洋房 带阳台 采光好 南北通透,香邑溪谷 -涿州,3室2厅 | 136.77平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,180,"13,161元/平"
全南格局 楼层好视野宽阔采光充 配套设施齐全交通便利,高铁新干线 -涿州,3室1厅 | 87.77平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,100,"11,394元/平"
急售高铁采光无遮挡朝南小三居，价格美丽,高铁新干线 -涿州,3室1厅 | 88.09平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,90,"10,217元/平"
高铁新城朝南三居 好楼层  有房本,高铁新干线 -涿州,3室2厅 | 91平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,86,"9,451元/平"
花园洋房，经典之作，中高层无遮挡，视线好,香邑溪谷 -涿州,3室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板塔结合,1人关注 / 一年前发布,210,"15,000元/平"
小区环境优美，南北通透三居，出行方便,燕赵花园 -涿州,4室2厅 | 161.27平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,150,"9,302元/平"
狮子城北区 南北通透三居 带防火门 白墙木地板,K2狮子城北区 -涿州,3室2厅 | 93平米 | 南 北 | 简装 | 23层  | 板塔结合,3人关注 / 一年前发布,115,"12,366元/平"
【狮子城】南北通透三居，高楼层采光好，视野宽阔。,K2狮子城北区 -涿州,3室2厅 | 93.6平米 | 南 北 | 毛坯 | 23层  | 板塔结合,5人关注 / 一年前发布,93,"9,936元/平"
南北通透.全天采光.彰显高性能舒居价值 经典设计,K2狮子城北区 -涿州,3室1厅 | 94平米 | 南 北 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,130,"13,830元/平"
急售 南北通透三居 首付42万 带地下室,K2狮子城北区 -涿州,3室1厅 | 93平米 | 南 北 | 毛坯 | 24层  | 板塔结合,5人关注 / 一年前发布,125,"13,441元/平"
高铁新干线 三居毛坯 格局方正 采光充足,高铁新干线 -涿州,3室2厅 | 93.43平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,100,"10,704元/平"
K2狮子城北区 3室2厅 北 南,K2狮子城北区 -涿州,3室2厅 | 94平米 | 北 南 | 毛坯 | 24层  | 板塔结合,4人关注 / 一年前发布,96,"10,213元/平"
新干线C3户型 首付30万 次卧亮 视野好 中间层 朝阳,高铁新干线 -涿州,3室1厅 | 91平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,78,"8,572元/平"
南北通透的户型，花园式社区，环境好，物业好,鹏渤印象城牛津花园 -涿州,3室1厅 | 97平米 | 南 北 | 毛坯 | 23层  | 板塔结合,0人关注 / 一年前发布,88,"9,073元/平"
鸿坤新维港 三居毛坯南北通透 格局好 全天采光,鸿坤新维港 -涿州,3室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,16人关注 / 10个月以前发布,120,"9,600元/平"
高铁  一梯两户 洋房 有本 诚意出售,华融现代城 -涿州,3室2厅 | 97平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 7个月以前发布,100,"10,310元/平"
狮子城拐角飘窗东边户 南北通透三居 高层带地下车位,K2狮子城北区 -涿州,3室2厅 | 95平米 | 南 北 | 毛坯 | 24层  | 板塔结合,1人关注 / 一年前发布,105,"11,053元/平"
开发区 高铁  狮子城  华融现代城  南北三居,华融现代城 -涿州,3室1厅 | 93平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 4个月以前发布,85,"9,140元/平"
高铁 狮子城 鸿坤理想湾 华融现代城 洋房 一梯两户,华融现代城 -涿州,3室2厅 | 97.18平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,99.9,"10,280元/平"
鸿坤高铁新干线，南北双通透F户型三居室,高铁新干线 -涿州,3室2厅 | 99.58平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,120,"12,051元/平"
精品洋房，给您住在古堡里的感觉。,香邑溪谷 -涿州,3室2厅 | 141平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,165,"11,703元/平"
新社区，环境好楼龄新，交通便利，小区配套设施完善。,天地新城 -涿州,3室2厅 | 97.6平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,98,"10,041元/平"
农大人才家园 南北通透大三居 毛坯房 首付可谈,涿州农大人才家园 -涿州,3室2厅 | 151.24平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 一年前发布,110,"7,274元/平"
新社区，环境好楼龄新，交通便利，小区配套设施完善。,天地新城 -涿州,3室2厅 | 97.6平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,98,"10,041元/平"
高楼层，采光充足，视野宽阔，交通便捷！,高铁新干线 -涿州,3室1厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,109,"11,123元/平"
此房户型方正，采光充足，视野开阔,高铁新干线 -涿州,3室1厅 | 91.92平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,100,"10,880元/平"
华阳建行小区   南北通透   四居室    满二,华阳建行小区 -涿州,4室2厅 | 151平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,115,"7,616元/平"
高新区 交通便利 大社区集中供暖 保利物业，人车分流,润卓天伦湾 -涿州,3室1厅 | 102平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,9人关注 / 一年前发布,84,"8,236元/平"
新干线诚意出售 南北双卫洋房 正常首付,高铁新干线 -涿州,3室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,220,"16,059元/平"
南北通透 采光好 视野好 交通便利,祥云瑞景小区 -涿州,2室2厅 | 103平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,121,"11,748元/平"
小区环境好绿化面积大南北通透的大,香邑溪谷玫瑰园 -涿州,4室2厅 | 132.4平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,150,"11,330元/平"
东兴北街和二环路交叉口 南北通透三居 中间楼层无遮挡,军怡公馆 -涿州,3室1厅 | 105平米 | 南 北 | 毛坯 | 18层  | 塔楼,5人关注 / 一年前发布,75.6,"7,200元/平"
一层带82平花园，南北通透大三居，安家置业优选好房！,高铁新干线 -涿州,3室1厅 | 97平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,8人关注 / 一年前发布,130,"13,403元/平"
房本在手，随时签约，南向三居室，经济实惠,鸿坤理想湾北区 -涿州,3室2厅 | 90.55平米 | 东南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,115,"12,701元/平"
金竹花园 范阳路品质社区 大三居 满五唯一,金竹花园 -涿州,3室2厅 | 122.53平米 | 东南 | 毛坯 | 中楼层(共17层)  | 塔楼,1人关注 / 一年前发布,140,"11,426元/平"
名流枫景洋房小区南北通透高新区三居室住宅,名流枫景洋房 -涿州,3室2厅 | 98平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,80,"8,164元/平"
光明小区干部楼 稀有毛坯三居室  本满看房有钥匙,光明小区(涿州) -涿州,3室2厅 | 125.04平米 | 南 北 | 毛坯 | 6层  | 板楼,6人关注 / 一年前发布,90,"7,198元/平"
高铁 牛津花园 南北通透三居  转角带飘窗 看房方便,鹏渤印象城牛津花园 -涿州,3室1厅 | 98平米 | 南 北 | 毛坯 | 23层  | 板塔结合,7人关注 / 一年前发布,81,"8,266元/平"
鸿坤理想湾   南向三居室   中间楼层   视野好,鸿坤理想湾北区 -涿州,3室2厅 | 89.99平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,110,"12,224元/平"
小区人车分流，南北通透三居室，通勤做高铁方便,华融现代城 -涿州,3室1厅 | 93.05平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,80,"8,598元/平"
