标题,开发商,房子信息,发布信息,售价/万,单价
市海景两房，东南朝向，户型方正，观小区园林,龍正中央海洋公園 -港口区,2室1厅 | 89平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,34.8,"3,911元/平"
瑞海尚都 5室2厅 南,瑞海尚都 -港口区,5室2厅 | 86.78平米 | 南 | 其他 | 低楼层(共29层)  | 板塔结合,0人关注 / 4天以前发布,52,"5,993元/平"
房产证满两年，中高楼层，，采通透，视野开阔,三生观邸 -港口区,3室1厅 | 112.98平米 | 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,18人关注 / 一年前发布,37.5,"3,320元/平"
户型方正，房屋无抵押，过户方便，出行交通方便,恒源新都 -港口区,4室2厅 | 130.59平米 | 北 南 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 15天以前发布,52.8,"4,044元/平"
港口铜锣湾旁逢时海景大厦两房出售,逢时商业大厦 -港口区,2室2厅 | 87.88平米 | 东南 | 简装 | 低楼层(共31层)  | 板楼,22人关注 / 一年前发布,26,"2,959元/平"
一房一厅，满足私密，度假养老必备户型,泰城幸福雅居 -港口区,1室1厅 | 58.87平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 3天以前发布,26,"4,417元/平"
泰城幸福雅居 2室2厅 北,泰城幸福雅居 -港口区,2室2厅 | 78平米 | 北 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 5天以前发布,35,"4,488元/平"
此房采光好，通风好，楼盘地段好，，有证契税满2年,龙光阳光海岸四期 -港口区,3室2厅 | 93.61平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,61,"6,517元/平"
户型方正，朝南，光线充足， 标准的一房一厅,四通八达国际广场A区 -港口区,1室1厅 | 57.71平米 | 南 | 其他 | 高楼层(共28层)  | 板塔结合,0人关注 / 6天以前发布,25.95,"4,497元/平"
宽敞明亮，采光充足。配套设施齐全，交通便利,瑞海尚都 -港口区,3室2厅 | 116.58平米 | 南 | 简装 | 高楼层(共20层)  | 板塔结合,5人关注 / 5个月以前发布,51,"4,375元/平"
四大场馆  红树林  一线海景  市政府  海洋文化公园,晨华·红林海湾 -港口区,3室2厅 | 136.05平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,123,"9,041元/平"
防城港恒大悦珑湾 3室2厅 北,防城港恒大悦珑湾 -港口区,3室2厅 | 124.21平米 | 北 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 7天以前发布,80,"6,441元/平"
龙光阳光海岸四期 3室1厅 南,龙光阳光海岸四期 -港口区,3室1厅 | 101平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,51,"5,050元/平"
龙光阳光海岸四期 3室1厅 南,龙光阳光海岸四期 -港口区,3室1厅 | 101平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,51,"5,050元/平"
此房装修好的，视野宽阔，采光充足，配套设施齐全,碧玉园 -港口区,4室2厅 | 140平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 6天以前发布,70,"5,000元/平"
新城国际四房两厅两卫户型方正价格优惠交通方便,新城国际 -港口区,4室2厅 | 172.51平米 | 南 北 | 其他 | 中楼层(共20层)  | 板塔结合,1人关注 / 一年前发布,67,"3,884元/平"
乐天花园 5室2厅 南,乐天花园 -港口区,5室2厅 | 180.71平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,62,"3,431元/平"
中冶兴港华府 3室1厅 北,中冶兴港华府 -港口区,3室1厅 | 111平米 | 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 1天以前发布,49,"4,415元/平"
桂海星座一房出售简装修拎包入住,桂海星座 -港口区,1室0厅 | 29平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,0人关注 / 13天以前发布,11,"3,794元/平"
配套设施齐全交通便利， 出门休闲散,龙光阳光海岸四期 -港口区,2室1厅 | 70.47平米 | 东北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 14天以前发布,35,"4,967元/平"
碧桂园滨海城 1室0厅 南,碧桂园滨海城 -港口区,1室0厅 | 49.2平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 15天以前发布,32,"6,505元/平"
碧桂园滨海城3房2厅2卫 楼层好 户型方正,碧桂园滨海城 -港口区,3室2厅 | 93.81平米 | 西南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 17天以前发布,54.3,"5,789元/平"
碧桂园梵高的海1房1厅1卫  户型方正,碧桂园梵高的海 -防城区,1室1厅 | 45.74平米 | 东 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 16天以前发布,18,"3,936元/平"
配套设施齐全交通便利， 出门休闲散,龙光阳光海岸五期 -港口区,2室1厅 | 88平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 14天以前发布,46,"5,228元/平"
配套设施齐全交通便利， 出门休闲散,龙光阳光海岸五期 -港口区,3室2厅 | 98平米 | 东南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 10天以前发布,45,"4,592元/平"
海岸巴黎 2室1厅 北,海岸巴黎 -港口区,2室1厅 | 75平米 | 北 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 16天以前发布,43,"5,734元/平"
泰富汇通中心 2室2厅 北,泰富汇通中心 -防城区,2室2厅 | 74.4平米 | 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 16天以前发布,29.5,"3,966元/平"
碧桂园梵高的海1室1厅1卫 户型方正,碧桂园梵高的海 -防城区,1室1厅 | 45.74平米 | 东 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 16天以前发布,18,"3,936元/平"
采光充足，视野好，满五配套设施齐全,西湾上城 -港口区,2室2厅 | 91.72平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,0人关注 / 13天以前发布,46,"5,016元/平"
配套设施齐全交通便利， 出门休闲散,龙光阳光海岸五期 -港口区,2室1厅 | 88平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 14天以前发布,53,"6,023元/平"
配套设施齐全交通便利， 出门休闲散,龙光阳光海岸五期 -港口区,2室1厅 | 79平米 | 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 14天以前发布,45,"5,697元/平"
业主急售1房1厅，装修好的，可公积金贷款，看园林,铜锣湾 -港口区,1室1厅 | 56.98平米 | 西 | 简装 | 中楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,34.7,"6,090元/平"
户型方正，通透，小区宽敞，交通便利，出行方便,铜锣湾 -港口区,2室2厅 | 77.41平米 | 东 | 毛坯 | 中楼层(共34层)  | 板塔结合,4人关注 / 一年前发布,37.5,"4,845元/平"
阳光海岸精装两房  户型方正 采光好  拎包入住,龙光·阳光海岸一期 -港口区,2室1厅 | 62.37平米 | 西南 | 简装 | 低楼层(共27层)  | 塔楼,3人关注 / 一年前发布,34.5,"5,532元/平"
阳光海岸，封闭小区，两房小面积，增税满2，,龙光阳光海岸三期 -港口区,2室2厅 | 59.42平米 | 北 | 简装 | 低楼层(共21层)  | 板塔结合,0人关注 / 一年前发布,33,"5,554元/平"
阳光海岸二期72平 经典两房 精装 高楼层采光充足,龙光·阳光海岸二期 -港口区,2室2厅 | 72.23平米 | 北 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,47,"6,507元/平"
瑞海尚都1-1-1-1 42.73m² 29.7 万,瑞海尚都 -港口区,1室1厅 | 42.73平米 | 北 | 精装 | 高楼层(共20层)  | 板塔结合,9人关注 / 一年前发布,22,"5,149元/平"
万基公馆 中间楼层 采光良好 无遮挡 方正两房,万基中央公館 -港口区,2室2厅 | 80.87平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,54.5,"6,740元/平"
采光充足  可看海，62平的两房好户型，宜商宜住,龙光·阳光海岸一期 -港口区,2室2厅 | 62.59平米 | 西北 | 毛坯 | 高楼层(共27层)  | 塔楼,4人关注 / 一年前发布,33.3,"5,321元/平"
逢时大厦2房！拎包入住！42万一套,逢时商业大厦 -港口区,2室2厅 | 91.05平米 | 东 | 简装 | 中楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,42,"4,613元/平"
海景公寓楼。62平21万   3900元一平，全屋家具家电。,阳光海岸蔚蓝假日三期 -港口区,1室1厅 | 60.02平米 | 西北 | 简装 | 低楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,21,"3,499元/平"
广西防城港龙光阳光海岸一期海景房.,龙光·阳光海岸一期 -港口区,2室2厅 | 86.95平米 | 东南 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 一年前发布,42,"4,831元/平"
广西防城港市港口区新区晟大海湾城,晟大海湾城 -港口区,2室2厅 | 83.51平米 | 西 | 简装 | 中楼层(共31层)  | 板塔结合,12人关注 / 一年前发布,35,"4,192元/平"
市区一房一厅，拎包入住，中间楼层，品质小区，物业好,瑞海尚都 -港口区,1室1厅 | 45.41平米 | 南 | 简装 | 中楼层(共21层)  | 板塔结合,5人关注 / 一年前发布,25.1,"5,528元/平"
龙光阳光海岸三期 1室0厅 东南,龙光阳光海岸三期 -港口区,1室0厅 | 30.58平米 | 东南 | 简装 | 低楼层(共19层)  | 板塔结合,0人关注 / 2个月以前发布,17,"5,560元/平"
三生国贸  高楼层 小面积 视野开阔,三生国贸 -港口区,1室0厅 | 58.43平米 | 东 | 毛坯 | 中楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,24,"4,108元/平"
户型方正，两大居，宽敞明亮，生活配套完善,海湾公馆 -港口区,2室2厅 | 94.16平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,43.5,"4,620元/平"
低密度 高楼层 视野好 交通出行方便,中冶兴港华府 -港口区,2室1厅 | 89.17平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,38.5,"4,318元/平"
业主急售看海复式楼，毛坯房，无抵押，5房小区安静,晟大海湾城 -港口区,5室2厅 | 213.54平米 | 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,110,"5,152元/平"
碧桂园滨海城2室1厅1卫 采光充足,碧桂园滨海城 -港口区,2室1厅 | 78.67平米 | 西南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,46,"5,848元/平"
全户型全朝南 双阳台 下楼20米到海边,海湾1号 -港口区,2室1厅 | 82.75平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,55.4,"6,695元/平"
防城港CBD翡翠园单间精装公寓,翡翠园 -港口区,1室0厅 | 45.89平米 | 北 | 简装 | 低楼层(共31层)  | 板楼,0人关注 / 一年前发布,21,"4,577元/平"
广西防城港铜锣湾行 政区cbd旁,铜锣湾 -港口区,2室2厅 | 94.82平米 | 东北 | 简装 | 中楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,42.8,"4,514元/平"
恒大御景湾精装两房，全套家具家电，恒大物业园林品质,恒大御景湾 -港口区,2室2厅 | 85.38平米 | 东南 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 6个月以前发布,44,"5,154元/平"
阳光海岸一期蔚蓝一组团看海单间低价出售,龙光阳光海岸三期 -港口区,1室1厅 | 62.34平米 | 东南 | 简装 | 中楼层(共28层)  | 塔楼,4人关注 / 一年前发布,22,"3,530元/平"
广西防城港市海湾1号海湾海滩海景房,海湾1号 -港口区,2室2厅 | 82.86平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,48,"5,793元/平"
满五不唯一，随时过户，适合两口居住,桂海·塞纳庄园 -港口区,1室1厅 | 36.14平米 | 西 | 毛坯 | 低楼层(共30层)  | 板楼,1人关注 / 一年前发布,18,"4,981元/平"
龙光阳光海岸三期 2室1厅 北,龙光阳光海岸三期 -港口区,2室1厅 | 76平米 | 北 | 简装 | 中楼层(共21层)  | 板塔结合,0人关注 / 一年前发布,43.4,"5,711元/平"
铜锣湾两房 楼下配套完善  视野开阔无遮挡,铜锣湾 -港口区,2室1厅 | 87.63平米 | 西南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,37,"4,223元/平"
中鑫区，生活便利，园博园，北部湾海洋公园,铜锣湾 -港口区,3室1厅 | 94.82平米 | 东北 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 4个月以前发布,45,"4,746元/平"
诚心出售，清水两房  海边 适合养老,博鑫双湾国际 -港口区,2室2厅 | 79.68平米 | 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 一年前发布,33.6,"4,217元/平"
公寓毛坯一线海景房，朝东阳光充足,晨华·红林海湾 -港口区,1室1厅 | 47.92平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板塔结合,1人关注 / 7个月以前发布,19.8,"4,132元/平"
红林海湾1房，毛坯房，朝北，户型方正,晨华·红林海湾 -港口区,1室0厅 | 47.92平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,20.9,"4,362元/平"
一线海景房，户型方正，朝南精装修，拎包入住,晨华·红林海湾 -港口区,2室2厅 | 89.39平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,53.8,"6,019元/平"
配套设施齐全，看房方便 ，可按揭，朝南户型,海湾公馆 -港口区,2室2厅 | 94.16平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,13人关注 / 一年前发布,32,"3,399元/平"
小区配套成熟地点繁华出租自住均可,辉龙桃源居 -港口区,2室2厅 | 73.85平米 | 西北 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,30.5,"4,130元/平"
楼间距120米出门见海步行海滩,海湾1号 -港口区,2室2厅 | 82.87平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,36,"4,345元/平"
户型方正，小区宽敞，交通便利，有*市银行,中央第一街 -港口区,1室1厅 | 38.88平米 | 北 | 简装 | 高楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,24.5,"6,302元/平"
小区位置好，未来可期，值得你拥有。,三生观邸 -港口区,1室1厅 | 60.45平米 | 西南 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,23.8,"3,938元/平"
阳光海岸一期精装修拎包入住80平两房,龙光·阳光海岸一期 -港口区,2室1厅 | 80.58平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,1人关注 / 1个月以前发布,44.5,"5,523元/平"
阳光海岸二期 方正大两房 生活配套好 近湖近公园,龙光·阳光海岸二期 -港口区,2室2厅 | 85.13平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,1人关注 / 3个月以前发布,46,"5,404元/平"
中冶兴港华府 3室2厅 南 北,中冶兴港华府 -港口区,3室2厅 | 100.2平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,4人关注 / 6个月以前发布,40,"3,993元/平"
鱼峰大夏单间，采光好，交通方便，配套齐全，拎包入住,鱼峰大厦 -港口区,1室0厅 | 31.38平米 | 南 | 简装 | 中楼层(共13层)  | 塔楼,3人关注 / 一年前发布,13,"4,143元/平"
鱼峰大夏单间，采光好，交通方便，配套齐全，拎包入住,鱼峰大厦 -港口区,1室0厅 | 31.38平米 | 南 | 简装 | 中楼层(共13层)  | 塔楼,3人关注 / 一年前发布,13,"4,143元/平"
荣兴亚太，1室1厅1厨1卫，简单装修,荣兴·亚太国际 -港口区,1室1厅 | 41.87平米 | 南 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 6个月以前发布,18,"4,300元/平"
品质小区，绿植多，带游泳池，室内健身场所,桂海·塞纳庄园 -港口区,1室1厅 | 31平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,11人关注 / 4个月以前发布,13,"4,194元/平"
急售碧海紫禁城简装91.82平大2房,碧海紫金城 -港口区,2室2厅 | 91.82平米 | 南 | 简装 | 低楼层(共13层)  | 塔楼,3人关注 / 5个月以前发布,39,"4,248元/平"
"面积80,62平米户型方正南户型客厅卧室都有足够光线",万基中央公館 -港口区,2室2厅 | 80.62平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,31,"3,846元/平"
三顺财富小区朝南两房，户型方正位置好，配套齐全！,三顺财富中心 -港口区,2室2厅 | 95平米 | 南 | 简装 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,38,"4,000元/平"
泰城幸福里 2室2厅 南,泰城幸福里 -港口区,2室2厅 | 88.48平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,1人关注 / 6个月以前发布,31,"3,504元/平"
装修1房，税满二年，景观视线好，楼层高,中央第一街 -港口区,1室1厅 | 32.83平米 | 南 | 简装 | 高楼层(共15层)  | 板塔结合,3人关注 / 一年前发布,11.5,"3,503元/平"
金石雅筑 2室2厅 南,金石雅筑 -港口区,2室2厅 | 72.42平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,2人关注 / 8个月以前发布,31.5,"4,350元/平"
塞纳庄园中高楼层，随意装修，朝向好，采光好,桂海·塞纳庄园 -港口区,1室1厅 | 55.49平米 | 南 西 | 毛坯 | 中楼层(共29层)  | 板塔结合,8人关注 / 一年前发布,22.5,"4,055元/平"
碧宸西海岸  两房两厅一卫 可看海 无遮挡,碧宸西海岸 -港口区,2室2厅 | 90.44平米 | 西 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,36,"3,981元/平"
碧桂园滨海城 2室高楼层 精装修,碧桂园滨海城 -港口区,2室1厅 | 78.67平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 7个月以前发布,46,"5,848元/平"
荣华国际有证税满，视觉好，带装修，中间楼层,荣华国际新城 -港口区,2室2厅 | 85平米 | 西南 | 简装 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,33,"3,883元/平"
户型方正，采光充足，宽敞，房产证满5年，配套齐全。,西湾上城 -港口区,2室1厅 | 90.54平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,32,"3,535元/平"
高铁1号 中高楼层 通风朝向都不错,高铁一号 -防城区,1室1厅 | 49.67平米 | 南 北 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 6个月以前发布,27.5,"5,537元/平"
2房2厅1卫1厨朝南，采光好户型通透低楼层,中冶●金海都 -港口区,2室2厅 | 93.61平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,46.8,"5,000元/平"
海湾一号酒店式公寓，成熟社区，全海景，配套齐全,海湾1号 -港口区,1室0厅 | 38.1平米 | 西 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 6个月以前发布,19,"4,987元/平"
此房户型好海景房格局好视野宽阔采光充足大阳台。。。,欧景蓝湾 -港口区,2室2厅 | 97.72平米 | 西 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,33,"3,377元/平"
海湾1号 2室1厅 东南,海湾1号 -港口区,2室1厅 | 76.56平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,46,"6,009元/平"
瑞海尚都 精装修两房 一线海景 随时看房,瑞海尚都 -港口区,2室2厅 | 91.97平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 6个月以前发布,44,"4,785元/平"
此房满二，视野好，采光充足，配套齐全，交通便利，,晟大海湾城 -港口区,1室0厅 | 45.8平米 | 东南 | 简装 | 低楼层(共31层)  | 板塔结合,14人关注 / 一年前发布,17.3,"3,778元/平"
品质阳光大两房 好楼层出售中 简单装修   宽松大两房,龙光·阳光海岸二期 -港口区,2室2厅 | 90.6平米 | 东南 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,47.8,"5,276元/平"
急售夏威夷豪庭88.33平方大两房,夏威夷豪庭 -港口区,2室2厅 | 88.33平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,39.6,"4,484元/平"
碧海紫金城125.64平3房2厅2卫带大平台,碧海紫金城 -港口区,3室2厅 | 125.64平米 | 东南 | 简装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,56.6,"4,505元/平"
业主回老家了，不想在这边住了；所以想出售，,碧桂园滨海城 -港口区,2室1厅 | 93.46平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 8个月以前发布,49,"5,243元/平"
精装修，拎包入住，距港口汽车站300 米,夏威夷.城市广场 -港口区,2室2厅 | 91.2平米 | 东北 | 简装 | 中楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,39.5,"4,332元/平"
高楼层视野好，户型方正看园林，采光通透。,夏威夷豪庭 -港口区,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 20天以前发布,55,"4,472元/平"
龙光·阳光海岸二期 3室1厅 南,龙光·阳光海岸二期 -港口区,3室1厅 | 121.92平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 18天以前发布,68,"5,578元/平"
新城国际3房2厅2卫 楼层好 采光好,新城国际 -港口区,3室2厅 | 137.93平米 | 南 北 | 简装 | 中楼层(共20层)  | 板塔结合,0人关注 / 15天以前发布,62.3,"4,517元/平"
西湾上城 2室1厅 东,西湾上城 -港口区,2室1厅 | 85.2平米 | 东 | 简装 | 中楼层(共17层)  | 暂无数据,0人关注 / 6天以前发布,42,"4,930元/平"
碧桂园碧海城高层单间出租，精装修拎包入住,碧桂园滨海城 -港口区,1室0厅 | 49平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 7天以前发布,29,"5,919元/平"
新城国际4房2厅2卫 楼层好 采光充足,新城国际 -港口区,4室2厅 | 152.51平米 | 东 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 15天以前发布,53.3,"3,495元/平"
阳光海岸四期，两房一卫，高层视野开阔，阳台可看海,龙光阳光海岸四期 -港口区,2室1厅 | 63.82平米 | 北 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,36,"5,641元/平"
东北方有高铁站正北方新建一个大型医院有豪丫菜市场,领袖壹方 -港口区,3室1厅 | 101.5平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 11天以前发布,45,"4,434元/平"
乐天花园 5室2厅 南 北,乐天花园 -港口区,5室2厅 | 183平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 10天以前发布,82,"4,481元/平"
公园里3房户型方正中间l，双卫居住舒适,荣顾公园里 -港口区,3室2厅 | 104.98平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 12天以前发布,47.2,"4,497元/平"
此房满五 精装修带车位 ，户型方正， 采光充足,桂海东盟新城 -港口区,3室2厅 | 111.37平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,63,"5,657元/平"
阳光海岸四期一线湖景海景三房两卫,龙光阳光海岸四期 -港口区,3室2厅 | 105平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,58,"5,524元/平"
龙光阳光海岸四期 3室2厅 西南,龙光阳光海岸四期 -港口区,3室2厅 | 101.5平米 | 西南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,58,"5,715元/平"
德城大三房 视野开阔高楼层 无遮挡,德城.新世界 -港口区,3室2厅 | 116.56平米 | 北 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 12天以前发布,47,"4,033元/平"
荣顾公园里小区 人车分流 智能管理 环境好,荣顾公园里 -港口区,3室2厅 | 112.23平米 | 北 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 15天以前发布,50.5,"4,500元/平"
麒胤·西湾华庭 3室2厅 北,麒胤·西湾华庭 -港口区,3室2厅 | 138平米 | 北 | 简装 | 中楼层(共24层)  | 板塔结合,0人关注 / 9天以前发布,47,"3,406元/平"
碧桂园小区环境优美，三房朝南户型，楼层好采光好！,碧桂园滨海城 -港口区,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 12天以前发布,76,"6,667元/平"
一线湖景三房两卫采光好视野美丽,龙光阳光海岸四期 -港口区,3室2厅 | 105平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,51,"4,858元/平"
凤景湾大三房 通透户型 简单装修 房子干净 楼层好,防城港凤景湾 -港口区,3室2厅 | 122.84平米 | 南 西南 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 12天以前发布,60,"4,885元/平"
西湾上城 2室1厅 北,西湾上城 -港口区,2室1厅 | 92平米 | 北 | 简装 | 高楼层(共26层)  | 暂无数据,0人关注 / 6天以前发布,36,"3,914元/平"
万基中央公馆4房2厅2卫 低楼层 出行方便,万基中央公館 -港口区,4室2厅 | 141.91平米 | 北 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 12天以前发布,65.3,"4,602元/平"
龙光·阳光海岸一期 3室2厅 东北,龙光·阳光海岸一期 -港口区,3室2厅 | 127平米 | 东北 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 一年前发布,69.8,"5,497元/平"
精品房源，品质小区，五星物业，值得拥有。,晟大海湾城 -港口区,3室2厅 | 104.23平米 | 西南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,52,"4,989元/平"
广西防城港龙光阳光海岸一期海景洋房.,龙光·阳光海岸一期 -港口区,3室2厅 | 159.65平米 | 东南 | 精装 | 低楼层(共4层)  | 板楼,6人关注 / 一年前发布,180,"11,275元/平"
此房户型方正，精装修，有40平方大阳台，采光充足,欧景蓝湾 -港口区,3室2厅 | 129.51平米 | 北 | 精装 | 低楼层(共27层)  | 板塔结合,23人关注 / 一年前发布,61.8,"4,772元/平"
房子南向，采光好通风，业主急卖供孩子上学，出入方便,清华蓝湾 -港口区,3室2厅 | 133.69平米 | 南 北 | 简装 | 低楼层(共9层)  | 暂无数据,3人关注 / 一年前发布,58,"4,339元/平"
台湾业主着急卖想回台湾瑞海尚都三房两厅一卫,瑞海尚都 -港口区,3室2厅 | 98.8平米 | 北 | 简装 | 高楼层(共16层)  | 暂无数据,2人关注 / 6个月以前发布,51,"5,162元/平"
阳光海岸三期 能看海 楼层好 出行方便,龙光阳光海岸三期 -港口区,3室2厅 | 106.64平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,61,"5,721元/平"
龙光阳光海岸一期精装洋房三房两厅两卫,龙光·阳光海岸一期 -港口区,3室2厅 | 147.55平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 一年前发布,85,"5,761元/平"
碧宸西海岸3房两厅两卫 精装家具家电齐全 楼层居中,碧宸西海岸 -港口区,3室2厅 | 130.58平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,6人关注 / 一年前发布,55,"4,212元/平"
北连防城区南连港口区东连企沙工业区是交通枢纽和城市,三顺财富中心 -港口区,3室2厅 | 125.35平米 | 北 | 简装 | 低楼层(共31层)  | 塔楼,0人关注 / 4个月以前发布,50,"3,989元/平"
精装房，户型好，低楼层，视野宽敞，采光充足,龙光阳光海岸四期 -港口区,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,63.8,"6,380元/平"
