标题,开发商,房子信息,发布信息,售价/万,单价
此房为毛坯4房 看小区园林 户型很好 楼层好,珠江·云锦 -雁峰区,4室2厅 | 128.22平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,68.8,"5,366元/平"
楼层好，采光充足，配套设施齐全，交通便利。,广西路东香苑 -珠晖区,3室2厅 | 108.5平米 | 北 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 一年前发布,39.8,"3,669元/平"
楼梯4楼精装修4房2厅2卫售39万8,葵花里社区 -珠晖区,4室2厅 | 105平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,5人关注 / 4个月以前发布,39.8,"3,791元/平"
雁西湖耀江花园洋房三楼南北通透双阳台采光好,雁西湖耀江花园 -石鼓区,3室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,68,"5,000元/平"
碧水阳光 精装大三房 拎包入住 ，支持贷款 证满2年,碧水阳光 -石鼓区,3室2厅 | 136.7平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,1人关注 / 11个月以前发布,59,"4,317元/平"
石鼓区政府旁 北建理想城毛坯3室 户型采光好,北建理想城 -石鼓区,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,54.8,"4,982元/平"
江山花苑 石鼓区北二环旁 朝南毛坯大五房 单价低,江山花苑 -石鼓区,5室2厅 | 173.23平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,1人关注 / 10个月以前发布,61,"3,522元/平"
加装电梯中 明兴花苑 3室精装 格局采光好 有露台,明兴花苑 -蒸湘区,3室2厅 | 137平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,16人关注 / 11个月以前发布,44,"3,212元/平"
衡阳市实验小/学旁 御江帝景 复式江景房,天弘御江帝景 -雁峰区,6室2厅 | 269.58平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,3人关注 / 一年前发布,168,"6,232元/平"
愉景新城4房两厅两卫.118平紧凑户型.诚心售卖,愉景新城 -蒸湘区,4室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,62,"5,255元/平"
愉景新城 3室2厅 南,愉景新城 -蒸湘区,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,62.8,"5,024元/平"
蒸湘区。锦雁花苑。产证面积103，有煤房30平方，,锦雁花苑 -蒸湘区,4室2厅 | 103.6平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,45,"4,344元/平"
蒸湘世纪城 复式带大露台 5房3厅  园林绿化好,蒸湘世纪城 -蒸湘区,5室3厅 | 235平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,6人关注 / 7个月以前发布,69.8,"2,971元/平"
碧水阳光 精装大三房 拎包入住 ，支持贷款 证满2年,碧水阳光 -石鼓区,3室2厅 | 136.7平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,1人关注 / 11个月以前发布,59,"4,317元/平"
江山花苑 石鼓区北二环旁 朝南毛坯大五房 单价低,江山花苑 -石鼓区,5室2厅 | 173.23平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,1人关注 / 10个月以前发布,61,"3,522元/平"
石鼓区政府旁 北建理想城毛坯3室 户型采光好,北建理想城 -石鼓区,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,54.8,"4,982元/平"
华新 53万 电梯房复式4房 冠都现代城 192平米毛坯,冠都现代城A2区 -蒸湘区,4室2厅 | 195.3平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,95人关注 / 一年前发布,70,"3,585元/平"
雁峰区  白沙洲商圈  步梯房  配套成熟,君旺小区 -雁峰区,2室2厅 | 86.4平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,10人关注 / 一年前发布,20.8,"2,408元/平"
沐淋美郡原房东欧式装修四房九五成新带25平米露台,沐林美郡南区 -蒸湘区,4室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 10个月以前发布,83.8,"6,814元/平"
雁西湖耀江花园洋房三楼南北通透双阳台采光好,雁西湖耀江花园 -石鼓区,3室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,68,"5,000元/平"
雁城国际公馆  急售5字头精装大四房 高品质园林社区,雁城国际公馆 -雁峰区,4室2厅 | 142平米 | 东 东南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,80,"5,634元/平"
政务中 心旁！邸苑毛坯三房！单价5000一平！,邸苑 -蒸湘区,3室2厅 | 123平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,61.8,"5,025元/平"
平湖公园旁，沐林美郡2两房精装，可以上船山英文,沐林美郡北区 -蒸湘区,2室2厅 | 88.08平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,1人关注 / 2个月以前发布,52,"5,904元/平"
华新的地段，西子莲花中间楼层，,天伦百汇 -蒸湘区,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,85,"7,084元/平"
龙锦花苑【4房2厅2卫1阳台1大露台】,龙锦花苑 -蒸湘区,4室2厅 | 140.11平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,84,"5,996元/平"
华新长湖峰境  南北通透3+1房 户型采光好 环境优美,长湖峰境 -蒸湘区,4室2厅 | 120.41平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,3人关注 / 8个月以前发布,69.8,"5,797元/平"
雅士林湘苑 3室2厅 南 北,雅士林湘苑 -蒸湘区,3室2厅 | 151平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,89.8,"5,948元/平"
金星湘江苑园林小区业主九成新住房,金星湘江苑 -珠晖区,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,45,"4,946元/平"
亿城花園 3室2厅 南 北,亿城花園 -蒸湘区,3室2厅 | 113.47平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 4天以前发布,49.8,"4,389元/平"
依山美郡 3室2厅 南 北,依山美郡 -蒸湘区,3室2厅 | 124平米 | 南 北 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 2天以前发布,66.8,"5,388元/平"
该小区人车分流 停车方便 精装修 拎包入住 配套成熟,冠都现代城A1区 -蒸湘区,3室2厅 | 102.66平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 2天以前发布,54.8,"5,339元/平"
蒸湘万达旁  精装修3室2厅2卫 带小平台,鸿菱大厦 -蒸湘区,3室2厅 | 118平米 | 南 北 | 精装 | 低楼层(共14层)  | 塔楼,0人关注 / 4天以前发布,46.8,"3,967元/平"
蒸湘世纪城 3室2厅 南,蒸湘世纪城 -蒸湘区,3室2厅 | 97平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,45.8,"4,722元/平"
临江社区 两房两厅  证件齐全,临江村 -珠晖区,2室2厅 | 80平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,28,"3,500元/平"
泰宇花园 3室2厅 南,泰宇花园 -蒸湘区,3室2厅 | 91.91平米 | 南 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 2天以前发布,66.8,"7,268元/平"
金钟时代城 双层loft住宅公寓 成章旁 日式简约风精装,金钟时代城 -雁峰区,1室2厅 | 51.3平米 | 北 | 精装 | 高楼层(共19层)  | 暂无数据,0人关注 / 7天以前发布,54.8,"10,683元/平"
阳光金城 4室2厅 南,阳光金城 -蒸湘区,4室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1天以前发布,74.8,"5,984元/平"
俊景万和城，毛坯四房两厅两卫，房东诚心要卖，,俊景万和城 -蒸湘区,4室2厅 | 122.75平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 6天以前发布,85,"6,925元/平"
星美精装一房 家具家电齐全，可拎包入住 房东诚心卖,星美新外滩 -蒸湘区,1室2厅 | 61平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 12天以前发布,36.8,"6,033元/平"
蒸水风光带、蒸水一号、电梯中层、70年产权,三和蒸水1号 -石鼓区,1室0厅 | 30.45平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 6个月以前发布,13.8,"4,533元/平"
和平北路经济实惠两房一厅一厨一卫,和平北路 -石鼓区,2室1厅 | 55.64平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,11,"1,977元/平"
人民路旁，精 装2房1厅 13.8万元,常胜巷 -石鼓区,2室1厅 | 57.5平米 | 南 | 简装 | 高楼层(共10层)  | 暂无数据,42人关注 / 一年前发布,13,"2,261元/平"
中山北路一楼，2房一厅 精装 23.8万,中山北路122号 -石鼓区,2室1厅 | 52.91平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,23.8,"4,499元/平"
总价低买3房  弘阳广场  立新原房东中装3房 生活便利,立新二社区 -蒸湘区,3室2厅 | 126.68平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,36.8,"2,905元/平"
南华大学南校家属院 3室3厅 东南,南华大学南校家属院 -蒸湘区,3室3厅 | 128.7平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,63.8,"4,958元/平"
雁峰公园一楼黄青巷20号4-2-1-2 108.67m² 44.88 万,黄青巷20号 -雁峰区,4室2厅 | 108.67平米 | 西南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 24天以前发布,44.88,"4,130元/平"
太平小区 电业局家属房 有院子方便停车 带杂物间,太平一社区 -蒸湘区,2室2厅 | 68平米 | 南 北 | 简装 | 低楼层(共8层)  | 暂无数据,1人关注 / 24天以前发布,32.8,"4,824元/平"
万达商圈海通茶叶城四房两厅一厨两卫,海通衡州府 -蒸湘区,4室2厅 | 123平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 28天以前发布,62.8,"5,106元/平"
仙姬巷公证处后面精装四室两厅  1楼  停车方便,黄青巷4号 -雁峰区,4室2厅 | 110平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 25天以前发布,44.68,"4,062元/平"
珠晖区荷花新城小区电梯中层客厅阳台可看江,荷花新城 -珠晖区,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 24天以前发布,57.8,"4,777元/平"
中泰·峰境 4室1厅 南,中泰·峰境 -蒸湘区,4室1厅 | 121平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 23天以前发布,78.8,"6,513元/平"
九里晴川 房龄新户型南北通透 双阳台四房二厅 满二,九里晴川 -蒸湘区,4室2厅 | 134平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 24天以前发布,66.9,"4,993元/平"
"小区得房率高 人车分流中间楼层 采光充足,交通便利。",碧桂园衡中心 -蒸湘区,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,99.8,"6,980元/平"
星美精精修两房，业主诚心出售，看房方便。满两年税少,星美新外滩 -蒸湘区,3室2厅 | 93.7平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 26天以前发布,58.8,"6,276元/平"
愉景新城 4室2厅 东南,愉景新城 -蒸湘区,4室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 23天以前发布,62,"5,255元/平"
衡阳名郡 3室2厅 南 北,衡阳名郡 -蒸湘区,3室2厅 | 131平米 | 南 北 | 精装 | 中楼层(共19层)  | 暂无数据,0人关注 / 19天以前发布,79.8,"6,092元/平"
陆家新区 蒸水河畔 五居室 满足三代同堂幸福生活,珠江愉景南苑 -蒸湘区,5室2厅 | 140平米 | 北 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 18天以前发布,112.8,"8,058元/平"
名仕华府 房东装修 带50平露台 采光好 房东诚心卖,名仕华府 -蒸湘区,2室2厅 | 92平米 | 南 | 精装 | 低楼层(共25层)  | 暂无数据,0人关注 / 18天以前发布,56.8,"6,174元/平"
珠江愉景南苑 3室2厅 南,珠江愉景南苑 -蒸湘区,3室2厅 | 89.85平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 22天以前发布,58.8,"6,545元/平"
弘阳广场旁小高层  光线视野好 原房东精装四字头,衡陽中房都市村荘 -蒸湘区,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共13层)  | 塔楼,0人关注 / 23天以前发布,59.8,"4,984元/平"
帝景山庄 毛坯四房 南北通透 可随时看房,珠江帝景山莊 -石鼓区,3室2厅 | 131.4平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,58.8,"4,475元/平"
雁西湖耀江花园 3室2厅 南 北,雁西湖耀江花园 -石鼓区,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,66,"5,077元/平"
中山北路62号4-2-1-2 120.00m² 46.8 万,中山北路62号 -石鼓区,4室2厅 | 120平米 | 西南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 27天以前发布,46.8,"3,900元/平"
东湖居2楼 全屋地暖 小高层洋楼 精装修 家具家,雁西湖耀江花园 -石鼓区,3室2厅 | 129.7平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 18天以前发布,70,"5,398元/平"
中山南北路旁不梯4楼3-2-1-1 106.56m² 45.8 万,王家巷 -石鼓区,3室2厅 | 106.56平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 20天以前发布,45.8,"4,299元/平"
蒸湘万达旁，大型小区，创发城电梯中层，全新毛坯,创发城1938 -蒸湘区,4室2厅 | 137.43平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 28天以前发布,80,"5,822元/平"
蒸湘万达商圈 红湘南路 毛坯大四房 新盛花园电梯中层,新盛花园 -蒸湘区,4室2厅 | 179平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 16天以前发布,69.8,"3,900元/平"
雁峰区 美美世界 精装四房两厅两卫 楼层好 通风采光佳,美美世界 -雁峰区,4室2厅 | 123.88平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 28天以前发布,76.8,"6,200元/平"
碧桂园观澜大平层5房2厅3卫带空中花园,华耀碧桂园十里江湾 -石鼓区,5室2厅 | 264平米 | 南 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 29天以前发布,138,"5,228元/平"
香格里拉 3室2厅 南,香格里拉 -蒸湘区,3室2厅 | 141平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 25天以前发布,59.8,"4,242元/平"
十里江湾大户型4房2厅2厨3卫中间楼层诚心出售,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 142平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 17天以前发布,96,"6,761元/平"
雁峰区 美美世界 精装四房两厅两卫 楼层好 通风采光佳,美美世界 -雁峰区,4室2厅 | 123.88平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 28天以前发布,76.8,"6,200元/平"
配套齐全房子真实在卖，看房方便，带院子,青峰街41号 -蒸湘区,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,55,"4,584元/平"
老城区地段繁华，楼下就是万达，价格实惠,创发城1938 -蒸湘区,3室2厅 | 112.74平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 22天以前发布,55.5,"4,923元/平"
蒸湘万达旁，大型小区，创发城电梯中层，全新毛坯,创发城1938 -蒸湘区,4室2厅 | 137.43平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 28天以前发布,80,"5,822元/平"
蒸湘万达商圈 红湘南路 毛坯大四房 新盛花园电梯中层,新盛花园 -蒸湘区,4室2厅 | 179平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 16天以前发布,69.8,"3,900元/平"
洋州麗園 3室2厅 南 北,洋州麗園 -蒸湘区,3室2厅 | 120.4平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 24天以前发布,79.8,"6,628元/平"
金河湾1881 毛坯现房3室2厅2卫 满2年 环境优美,金河湾·1881 -蒸湘区,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 18天以前发布,75.8,"6,317元/平"
雁城国际公馆 电梯中层高品质园林社区 宜养老居家,雁城国际公馆 -雁峰区,4室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 24天以前发布,63.8,"4,908元/平"
东城国际3房2厅2卫，精装修，看房方便，诚意出售,东城国际 -珠晖区,3室2厅 | 121.45平米 | 南 北 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 15天以前发布,78,"6,423元/平"
东城国际精装修2房，朝南户型，看房方便，诚意出售,东城国际 -珠晖区,2室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 13天以前发布,49.8,"5,859元/平"
买房带车库 荣华花苑 住家装修 3房2厅2卫,荣华花苑 -蒸湘区,3室2厅 | 124.64平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 12天以前发布,54,"4,333元/平"
星美外滩 大四房 正宗南北通透 两梯两户板房,星美新外滩 -蒸湘区,4室2厅 | 153平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 12天以前发布,110,"7,190元/平"
中泰峰境 紧凑三房 全新毛坯 电梯中层 满五唯一省个税,中泰·峰境 -蒸湘区,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 12天以前发布,60,"6,742元/平"
帝景山庄 大型园林式小区 环境优美 3房精装 朝南,珠江帝景山莊 -石鼓区,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 12天以前发布,52,"5,843元/平"
嘉华花苑 楼梯2楼 现代简约风 大三房 家具家电齐全,嘉华花苑 -蒸湘区,3室2厅 | 151平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,63.8,"4,226元/平"
愉景湾3室简装  正南东边户 可按揭,珠江愉景湾 -蒸湘区,3室2厅 | 94平米 | 南 | 简装 | 中楼层(共28层)  | 暂无数据,0人关注 / 16天以前发布,56.8,"6,043元/平"
此房源户型好 方正实用 原房东精装修 保养得好,山水华庭 -蒸湘区,3室2厅 | 89.8平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 13天以前发布,62.5,"6,960元/平"
锦绣雁城 住家精装三房 电梯房中高层 采光佳,锦绣雁城 -蒸湘区,3室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 11天以前发布,66,"4,783元/平"
凯富景苑 毛坯3房2厅2卫 南北通透 三阳台,凯富景苑 -蒸湘区,3室2厅 | 134.72平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 11天以前发布,56.6,"4,202元/平"
东城国际 3室2厅 南 北,东城国际 -珠晖区,3室2厅 | 110平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 9天以前发布,62,"5,637元/平"
中泰峰境三房两厅一厨两卫成熟小区,中泰·峰境 -蒸湘区,3室2厅 | 107.89平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 8个月以前发布,76,"7,045元/平"
单位家属房 户型正气二室 中层 环境好,仙姬巷68号 -雁峰区,2室2厅 | 81.95平米 | 南 北 | 简装 | 中楼层(共9层)  | 板塔结合,1人关注 / 5个月以前发布,28,"3,417元/平"
沐林美郡北区2-2-1-1平湖公园旁边住家舒适,沐林美郡北区 -蒸湘区,2室2厅 | 88.08平米 | 北 | 精装 | 中楼层(共31层)  | 暂无数据,6人关注 / 一年前发布,55,"6,245元/平"
精装三房，南北通透，户型方正，格局好，即可拎包入住,香格里拉 -蒸湘区,3室2厅 | 131.02平米 | 南 北 | 精装 | 高楼层(共9层)  | 暂无数据,51人关注 / 一年前发布,54,"4,122元/平"
划分人民路的一室一厅，户型好，带阳台，楼道有杂物房,蒸阳路 -石鼓区,1室1厅 | 42.96平米 | 东 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,12,"2,794元/平"
桑园街2房2厅15万元 户型方正,桑园路 -石鼓区,2室2厅 | 69.46平米 | 东南 南 | 简装 | 高楼层(共8层)  | 板楼,11人关注 / 8个月以前发布,12.6,"1,814元/平"
户型正气 光线明亮 二室二厅 楼梯房中层,雁城路 -雁峰区,2室2厅 | 70.1平米 | 东 西 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,21,"2,996元/平"
户型正气 光线明亮 二室二厅 楼梯房中层,雁城路 -雁峰区,2室2厅 | 70.1平米 | 东 西 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,21,"2,996元/平"
易赖街2楼，精装大2房2厅45.8万,建欣大厦 -石鼓区,2室2厅 | 92.17平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,39.8,"4,319元/平"
人民路旁经济实惠两房一厅。。。。。。。,九角巷14-1号 -石鼓区,2室1厅 | 56.42平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,15,"2,659元/平"
宇元·万向城，毛坯2房，户型哇塞，看了就会上头,宇元·万向城 -雁峰区,2室2厅 | 93平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,45,"4,839元/平"
光明街，3房1厅，拎包入住，房东诚心出售,嘉树里 -珠晖区,3室1厅 | 72.99平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,18.8,"2,576元/平"
蒸湘区有色地质勘查局家属楼 120平 3房2厅1卫,湖南省有色地质勘查局二一七队西外环路小区 -蒸湘区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 30天以前发布,39,"3,250元/平"
高星明居 三房两厅一卫 简装装修,高星明居 -蒸湘区,3室2厅 | 98平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,35.8,"3,654元/平"
华新星美新外滩 品牌精装3室2厅2卫 次新小区 满2年,星美新外滩 -蒸湘区,3室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 25天以前发布,85.8,"7,272元/平"
大型小区园林 精装拎包入住  采光好,冠佳西子莲花 -蒸湘区,3室2厅 | 132.42平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 26天以前发布,92.8,"7,009元/平"
恒大绿洲精装家电家私齐全拎包入住,恒大绿洲 -蒸湘区,2室2厅 | 89.5平米 | 东南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 20天以前发布,58,"6,481元/平"
拓兴阳光新城 4室2厅 南,拓兴阳光新城 -蒸湘区,4室2厅 | 155平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 26天以前发布,92.8,"5,988元/平"
金钟时代城 急售原房东精装3房 品质园林小区,金钟时代城 -雁峰区,3室2厅 | 106.5平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 29天以前发布,65.8,"6,179元/平"
仁济新村 2室2厅 南 北,仁济新村 -蒸湘区,2室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 18天以前发布,51.5,"5,203元/平"
沐林美郡北区 2室2厅 北,沐林美郡北区 -蒸湘区,2室2厅 | 88.06平米 | 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 29天以前发布,46.8,"5,315元/平"
粤新小区，3房2厅，全新装修配全套家具，房东诚心出售,粤新小区 -珠晖区,3室2厅 | 86平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,36.6,"4,256元/平"
天酬 · 尚都 1室1厅 北,天酬 · 尚都 -蒸湘区,1室1厅 | 42平米 | 北 | 简装 | 低楼层(共28层)  | 暂无数据,0人关注 / 20天以前发布,31.8,"7,572元/平"
14.8旺底架，精装修两室天然气入住,向群坪 -石鼓区,2室1厅 | 55平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 29天以前发布,17.8,"3,237元/平"
华新衡州小 学门口 海博星都 品牌精装3室2厅2卫 次新,海博星都 -蒸湘区,3室2厅 | 125.46平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 17天以前发布,88.8,"7,078元/平"
带平台的精装大两房，全套家具，不动产证满二,演武坪小区 -石鼓区,2室1厅 | 63.09平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 29天以前发布,32.8,"5,199元/平"
成章后门纺织村带双平台二房精装修出售,纺织新村 -雁峰区,2室1厅 | 57平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,26.8,"4,702元/平"
万恒白金汉宫 精装三房两厅两卫 带家具家电,万恒公馆 -蒸湘区,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 27天以前发布,79.8,"7,529元/平"
楼层好，视野宽阔，采光充足，配套设施齐全,雁南村 -雁峰区,3室1厅 | 57平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,26.8,"4,702元/平"
楊柳苑 3室2厅 南,楊柳苑 -蒸湘区,3室2厅 | 127.24平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 24天以前发布,69.8,"5,486元/平"
御璟花苑 3室2厅 南 北,御璟花苑 -蒸湘区,3室2厅 | 150平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,67.8,"4,520元/平"
华苑阁精空大四房 电梯中层 价格可谈,华苑阁小区 -蒸湘区,4室2厅 | 170平米 | 南 | 简装 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,100,"5,883元/平"
蒸湘雅郡 3室2厅 南 北,蒸湘雅郡 -蒸湘区,3室2厅 | 144.51平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,6人关注 / 一年前发布,68.8,"4,761元/平"
华新 华苑阁 170平方 4房 出售,华苑阁小区 -蒸湘区,4室2厅 | 171平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 5个月以前发布,94.8,"5,544元/平"
老城区地段繁华，宽敞5居室，价格实惠，生活配套齐。,雲沙诗意 -雁峰区,5室2厅 | 203平米 | 东南 | 毛坯 | 高楼层(共31层)  | 暂无数据,2人关注 / 一年前发布,110,"5,419元/平"
