标题,开发商,房子信息,发布信息,售价/万,单价
建发品质 新中式风格小区  温馨三房两厅两卫,建发中泱天成 -洛江区,3室2厅 | 89.94平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,3人关注 / 8个月以前发布,160,"17,790元/平"
建发国企品质小区，南北通全明户型，精装修，拎包入住,建发珑玥湾二期 -站前大道,4室2厅 | 126.68平米 | 南 | 精装 | 低楼层(共40层)  | 塔楼,0人关注 / 22天以前发布,275,"21,709元/平"
城北新小区，高层大四房，诚意出售,鼎盛上城 -石狮中心,4室2厅 | 136.71平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 18天以前发布,185,"13,533元/平"
好格局，好楼层，电梯高层，精装，房东诚意出售,虹景花园 -丰泽街,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,1人关注 / 21天以前发布,205,"16,016元/平"
SM商圈房东诚意出售装修毛坯价,华泰国际新城 -SM广场,3室2厅 | 126.81平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 24天以前发布,123,"9,700元/平"
房东诚意卖，看房方便，钥匙在物业,阳光曼哈顿 -万达,1室0厅 | 33.28平米 | 西南 | 简装 | 中楼层(共15层)  | 塔楼,0人关注 / 22天以前发布,55,"16,527元/平"
铂金酒店，70年产权性质公寓，楼层好，采光充足！,铂金酒店 -泉秀街,1室0厅 | 26.15平米 | 南 | 简装 | 中楼层(共20层)  | 板塔结合,0人关注 / 18天以前发布,42,"16,062元/平"
业主诚意出售 高楼层有外阳台 户型方正 装修 拎包即可,万达华府C区 -晋江万达,1室1厅 | 40.36平米 | 东 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,55,"13,628元/平"
房东急售 两套打通  楼层采光视野好,石狮泰禾首玺 -石狮中心,3室2厅 | 47.68平米 | 东南 南 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 2个月以前发布,44,"9,229元/平"
宝龙广场正规两房，视野开阔，高楼层,宝龙广场公寓 -宝龙广场,2室1厅 | 68.92平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,16人关注 / 7个月以前发布,103,"14,945元/平"
梅岭电力小区，标准3房，房东稳定出售。,梅岭电力小区 -晋江万达,3室2厅 | 134.25平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,103,"7,673元/平"
世纪公园旁世纪花园 中装2房 配套成熟 交通便利,世纪花园 -宝龙广场,2室1厅 | 90.27平米 | 东南 | 简装 | 高楼层(共15层)  | 暂无数据,0人关注 / 2个月以前发布,80.8,"8,951元/平"
中骏品牌开发商，小区环境优美，2房诚意出售,中骏蓝湾悦庭 -泉州桥南,2室2厅 | 62.88平米 | 东南 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,130,"20,675元/平"
万达商圈   大淮新村新装两房    框架结构,大淮新村 -万达,2室1厅 | 90平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,11人关注 / 11个月以前发布,130,"14,445元/平"
交通便利，格局方正，业主好沟通，户型方正，采光好,仙格小区 -宝龙广场,2室2厅 | 84.01平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,3人关注 / 6个月以前发布,115,"13,689元/平"
聚鑫广场刚需房，业主诚意出售飒飒来哦,聚鑫通讯广场 -九一街,2室0厅 | 48.28平米 | 南 东北 | 简装 | 高楼层(共15层)  | 塔楼,0人关注 / 3个月以前发布,125,"25,891元/平"
自住居家精装高层两房两厅  满五唯一,阳光国际广场 -洛江区,2室2厅 | 72.27平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,125,"17,297元/平"
泉州市鲤城区南环路精装低总价诚意出售,嘉祥·领寓 -南环路,1室1厅 | 30.21平米 | 北 | 简装 | 低楼层(共18层)  | 塔楼,3人关注 / 4个月以前发布,28,"9,269元/平"
祥远路，精装两房，业主诚意出售，总价低,聚融花苑 -丰泽街,2室1厅 | 61.04平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,6人关注 / 6个月以前发布,105,"17,202元/平"
西湖边，红砖框架两房，地段好流量大,鑫亿西湖小区 -西湖,2室1厅 | 83平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,148,"17,832元/平"
文旅街区，阳光户型，步行上学，,涂门街 -涂门街,2室2厅 | 98.2平米 | 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,185,"18,840元/平"
老城区 次新小区 总价低 配套完善 诚意出售,聚鑫通讯广场 -九一街,1室1厅 | 32.18平米 | 南 | 简装 | 中楼层(共15层)  | 塔楼,0人关注 / 2个月以前发布,99,"30,765元/平"
中骏四季花城二期 电梯高层小两房 房东诚意出售,中骏四季花城2期 -泉州桥南,2室2厅 | 64.44平米 | 北 | 精装 | 中楼层(共34层)  | 塔楼,4人关注 / 6个月以前发布,128,"19,864元/平"
房东诚意出售，客厅看湖，首付十几万即可,泉商悦湖 -泉州桥南,1室1厅 | 51平米 | 东 | 毛坯 | 低楼层(共30层)  | 板楼,13人关注 / 一年前发布,55,"10,785元/平"
晋江桥头，精致小区，百捷系列，刚需两房,百捷中央领地 -泉州桥南,2室2厅 | 71.54平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,150,"20,968元/平"
晋江锦塘雅苑精装2房诚意出售可拎包入住,锦塘雅苑北区 -晋江万达,2室2厅 | 60.8平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,10人关注 / 一年前发布,85,"13,981元/平"
房东诚意出售昌茂小区，配套设施齐全，采光好交通便利,昌茂小区 -泉港区,3室2厅 | 127.92平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,45,"3,518元/平"
美亚芳邻 2室2厅 西南,美亚芳邻 -洛江区,2室2厅 | 63.24平米 | 西南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 3个月以前发布,89,"14,074元/平"
东岩苑精装两房，户型方正，朝南户型，看房预约,东岩苑 -晋江万达,2室1厅 | 81.07平米 | 东 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 2个月以前发布,116,"14,309元/平"
真实房源，房东诚意出售，随时可签,裕福康城 -宝龙广场,3室2厅 | 89.79平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,5人关注 / 3个月以前发布,149,"16,595元/平"
鲤城户口，小区闹中取静，有小区停车方便,顶埔99号 -东街,2室1厅 | 74平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,150,"20,271元/平"
安海宝龙三房诚意出售，寻找新主人,宝龙豪苑 -安海镇,3室1厅 | 105平米 | 南 | 简装 | 中楼层(共4层)  | 板塔结合,0人关注 / 2个月以前发布,73,"6,953元/平"
此房满五 户型方正 视野开阔 适合各类人群居住 可优质,凤凰城 -晋江万达,3室2厅 | 154.86平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,154,"9,945元/平"
户型方正，房子利用空间大，三房明厨明卫,吉源花苑 -洛江区,2室2厅 | 90.26平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,100,"11,080元/平"
龙喜华城 精装东边套正规一室一厅 视野开阔可看姑嫂塔,龙喜华城 -石狮中心,1室1厅 | 50.95平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,59,"11,580元/平"
西湖七星街、盛荣苑一期西湖小区、三房带储出售、,西湖社区盛荣苑一期 -城北路,3室1厅 | 94平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,255,"27,128元/平"
晋江保利上城 4室2厅 南,晋江保利上城 -晋江万达,4室2厅 | 157平米 | 南 | 毛坯 | 低楼层(共47层)  | 暂无数据,1人关注 / 2个月以前发布,242,"15,415元/平"
广海聚景山庄 4室2厅 南 北,广海聚景山庄 -惠安县,4室2厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,155,"12,302元/平"
石狮金辉城 毛坯3房  您的理想之家,石狮金辉城 -石狮中心,3室2厅 | 120.38平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,3人关注 / 4个月以前发布,99,"8,224元/平"
此房新上，上套已成交，方正3居室，通透户型,中兴商住区 -惠安县,3室1厅 | 128平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,88,"6,875元/平"
东海湾十二宴精装修3房2厅2卫 边套小区环境好看房方便,东海湾·十二宴 -东海,3室2厅 | 113.36平米 | 南 | 精装 | 低楼层(共36层)  | 塔楼,0人关注 / 1个月以前发布,315,"27,788元/平"
石狮金辉城现房边套四房  诚意出售看房方便,石狮金辉城 -石狮中心,4室2厅 | 130.07平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,125,"9,611元/平"
名仕华府4-2-1-2 142.55m²,名仕华府 -泉港区,4室2厅 | 142.55平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,97.2,"6,819元/平"
190万三房毛坯大阳台圆你装修梦,浔兴格林春天 -晋江万达,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,2人关注 / 2个月以前发布,182,"16,546元/平"
桥南万科 边套精装4房南北朝向南北双阳台,万科金域滨江一期 -泉州桥南,4室2厅 | 93.3平米 | 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,220,"23,580元/平"
华泰国际新城 3室2厅 南,华泰国际新城 -SM广场,3室2厅 | 131.55平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,134,"10,187元/平"
龙湖紫晋城小三房，户型方正。中高层,龙湖嘉天下紫晋城 -池店南,3室2厅 | 88.2平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,159,"18,028元/平"
大江盛世B区  产权清晰   可看江景  毛坯大四房,大江盛世B区 -洛江区,4室2厅 | 135.84平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,1人关注 / 8个月以前发布,240,"17,668元/平"
后厝街毛坯3房 产权满 有钥匙 看房方便,后厝街竹园 -紫帽镇,3室2厅 | 114.45平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,97,"8,476元/平"
津淮街三房三楼采光通风 证满 看房随时有钥匙,迎津新村 -泉秀街,3室1厅 | 84平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 4个月以前发布,158,"18,810元/平"
鲤城正规大3层，好楼层，视野好，可读 书,建龙花苑 -清濛开发区,3室2厅 | 110.34平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,93,"8,429元/平"
大江盛世B区三房两卫，中高楼层，看房有钥匙,大江盛世B区 -洛江区,3室2厅 | 94.78平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,3人关注 / 4个月以前发布,173,"18,253元/平"
鲤城尚好家园，毛坯3房，边套小区中庭，首付40万起,尚好家园 -站前大道,3室2厅 | 113.7平米 | 南 | 毛坯 | 低楼层(共21层)  | 塔楼,2人关注 / 8个月以前发布,125,"10,994元/平"
小区居住环境好，社区比较完善，是大片的居民区,世贸一品 -泉州桥南,4室2厅 | 133平米 | 东南 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,223,"16,767元/平"
【盛世锦都】通透户型、南北3阳台、采光视野优秀,盛世锦都 -惠安县,3室2厅 | 120平米 | 北 | 毛坯 | 高楼层(共18层)  | 平房,12人关注 / 一年前发布,96,"8,000元/平"
前坂新村东区  三房 业主诚意出售,前坂新村东区 -泉秀街,3室2厅 | 103.5平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,162,"15,653元/平"
百宏雅苑 3室2厅 南,百宏雅苑 -SM广场,3室2厅 | 137.32平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,117,"8,521元/平"
聚福三期，运动楼层，采光好，通风好,聚福三期 -泉港区,3室2厅 | 90平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,34.2,"3,800元/平"
兰峰城市花园低层小三房，业主诚意急售！！！,兰峰城市花园 -SM广场,3室2厅 | 107.53平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,102,"9,486元/平"
世茂满堂红，高楼层看湖视野无遮挡，三房两卫诚意售,世茂御龙湾满堂红 -晋江万达,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共42层)  | 板楼,0人关注 / 1个月以前发布,169.5,"14,488元/平"
栖霞 旁  三青现代城  大三房  中层   看房方便,三青现代城 -泉港区,3室2厅 | 131.6平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,37,"2,812元/平"
嘉琳广场 4室2厅 东南,嘉琳广场 -洛江区,4室2厅 | 146.22平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,190,"12,995元/平"
鼎盛天玺 精装大四房 南北通透三面采光 入住不足一年,石狮鼎盛天玺 -服装城,4室2厅 | 128.52平米 | 南 北 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,196,"15,251元/平"
聚景山庄 今年证满 墙体已打 想置换四房 有诚意的速来,广海聚景山庄 -惠安县,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 2个月以前发布,126,"11,887元/平"
华大旁品质小区 简装两房 拎包入住 看房方便,泰禾首府 -城东,2室1厅 | 88.12平米 | 东南 南 | 简装 | 中楼层(共23层)  | 板塔结合,9人关注 / 一年前发布,170,"19,292元/平"
机场旁天骏壹品商品正规小三房业主诚意出售,天骏壹品 -宝龙广场,3室2厅 | 95平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,1人关注 / 1个月以前发布,139,"14,632元/平"
中骏品质小区，管理好，三房格局好,中骏四季花城 -泉州桥南,3室2厅 | 86平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,158,"18,373元/平"
中航城天骏104平标准四房 业主诚意出售,中航城天骏 -宝龙广场,4室2厅 | 104.64平米 | 西北 | 毛坯 | 高楼层(共36层)  | 板楼,2人关注 / 4个月以前发布,170,"16,247元/平"
保利边上正规三居室西边套高楼层视野好，业主诚意出售,梅屿苑 -晋江万达,3室2厅 | 116.54平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,10人关注 / 6个月以前发布,132.5,"11,370元/平"
高层 看江 毛坯 随意装修 三房格局,嘉琳广场 -洛江区,3室2厅 | 119平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,160,"13,446元/平"
皇江御景高层(看江)看中庭3房2厅毛坯东南朝向,茂诚皇江御景 -浮桥,3室2厅 | 100.3平米 | 东南 | 毛坯 | 中楼层(共37层)  | 板楼,0人关注 / 1个月以前发布,177,"17,648元/平"
石狮正荣府 户型方正 证满税优,石狮正荣府 -服装城,4室2厅 | 143.92平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,195,"13,550元/平"
津汇红树湾A区带装修小三房高层诚意出售看房方便,津汇红树湾 -洛江区,3室2厅 | 89.06平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,195,"21,896元/平"
房东诚意出售，欢迎您随时看房，恭喜发财,锦绣江南 -清濛开发区,3室2厅 | 130.2平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,140,"10,753元/平"
桥南 恒大御景湾高层边套 118平居住舒适度高 钥匙在手,恒大御景湾 -泉州桥南,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,248,"21,017元/平"
龙湖嘉天下天璞 4室2厅 南,龙湖嘉天下天璞 -池店南,4室2厅 | 130.75平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,211.7,"16,192元/平"
福龙花园西区 3室2厅 南,福龙花园西区 -宝龙广场,3室2厅 | 137.61平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,118,"8,575元/平"
中海锦城 140 独梯独户 户型方正,中海锦城 -池店南,4室2厅 | 139.85平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 2个月以前发布,245,"17,519元/平"
户型方正，格局很好，视野好，交通便利，通风好,大江盛世B区 -洛江区,2室2厅 | 80平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 8个月以前发布,135,"16,875元/平"
新小区红树湾B区，江景房，随时可以看房,津汇红树湾B区 -洛江区,4室2厅 | 135.24平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,288,"21,296元/平"
鲤城 皇江御景3房2厅毛坯，高层东南朝向 看中庭,茂诚皇江御景 -浮桥,3室2厅 | 89.5平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,165,"18,436元/平"
世茂御龙湾湖心岛  精装3房 户型方正 看湖 晋阳湖,世茂御龙湾湖心岛 -晋江万达,3室2厅 | 94.24平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,6人关注 / 4个月以前发布,156,"16,554元/平"
湖光小区大4房，主人房配置独立衣帽间地下室停车免费,湖光小区 -石狮中心,4室2厅 | 165.51平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,116,"7,009元/平"
皇江御景毛坯4房，带3个阳台.看中庭,茂诚皇江御景 -浮桥,4室2厅 | 127.89平米 | 东南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,225,"17,594元/平"
大江B区，单价1.5万+，通透，证在手,大江盛世B区 -洛江区,3室2厅 | 127.73平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,202,"15,815元/平"
鲤城朝天门旁、梧桐轩、套内三层、实用大,梧桐轩 -东街,3室2厅 | 47.05平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,8人关注 / 4个月以前发布,169,"35,920元/平"
房东诚意出售看房方便提前联系我,石狮金辉城 -石狮中心,3室2厅 | 119.7平米 | 西南 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 3个月以前发布,108,"9,023元/平"
锦塘雅苑南北朝向三房，高层采光好无遮档,锦塘雅苑南区 -晋江万达,3室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,141,"11,950元/平"
锦绣江南三房两厅诚意出售，中间楼层，小区内房子,锦绣江南 -清濛开发区,3室2厅 | 110平米 | 东 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,99,"9,000元/平"
小区环境优美，高楼层，格局通透，明厨明卫，物业好,龙湖嘉天下紫宸Ⅲ -池店南,4室1厅 | 125平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,207,"16,560元/平"
中航城天骏精装高层三房小区环境好,中航城天骏 -宝龙广场,3室2厅 | 108.5平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,190,"17,512元/平"
世茂御龙府 中高层边套  三面采光 户型方正,世茂御龙府 -池店南,3室2厅 | 121.2平米 | 南 | 毛坯 | 中楼层(共47层)  | 板楼,0人关注 / 2个月以前发布,145,"11,964元/平"
锦绣江南 电梯三房 采光好 交通便利 房东诚意出售,锦绣江南 -清濛开发区,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,128,"10,667元/平"
全明结构，采光很好 南北朝向 交通便利视野开阔无遮挡,恒大雅苑 -泉港区,4室2厅 | 139.25平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,109.9,"7,893元/平"
奥园上林苑3-2-1-2 104.90m²,奥园上林苑 -石狮中心,3室2厅 | 104.9平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,146,"13,919元/平"
鲤城 皇江御景3房2厅毛坯，高层东南朝向 看中庭,茂诚皇江御景 -浮桥,3室2厅 | 89.5平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,165,"18,436元/平"
新小区红树湾B区，江景房，随时可以看房,津汇红树湾B区 -洛江区,4室2厅 | 135.24平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,288,"21,296元/平"
大江B区，单价1.5万+，通透，证在手,大江盛世B区 -洛江区,3室2厅 | 127.73平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,202,"15,815元/平"
户型方正，格局很好，视野好，交通便利，通风好,大江盛世B区 -洛江区,2室2厅 | 80平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 8个月以前发布,135,"16,875元/平"
丰泽城东新小区，70年产权单身公寓,绿创山语城 -城东,1室1厅 | 46.91平米 | 北 | 毛坯 | 中楼层(共20层)  | 板楼,14人关注 / 一年前发布,74,"15,775元/平"
大江盛世B区 正规大三房两厅 户型方正 价格美丽,大江盛世B区 -洛江区,3室2厅 | 127.73平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,208,"16,285元/平"
中骏柏景湾，小两房，诚意出售，看房很方便。,中骏柏景湾 -城东,2室2厅 | 62平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,4人关注 / 11个月以前发布,206,"33,226元/平"
美仙山二期 五中旁 楼层好 户型方正,美仙山花苑二期 -城东,2室1厅 | 115.98平米 | 东南 | 简装 | 高楼层(共27层)  | 板塔结合,0人关注 / 4个月以前发布,150,"12,934元/平"
城东中骏雍景台楼层视野好诚意出售,中骏雍景台 -城东,3室2厅 | 126.38平米 | 东南 | 简装 | 中楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,350,"27,695元/平"
红树湾看江景三房 精装 诚意出售 单价低,津汇红树湾B区 -洛江区,3室2厅 | 88平米 | 东南 | 精装 | 中楼层(共34层)  | 暂无数据,1人关注 / 1个月以前发布,200,"22,728元/平"
美仙山二期  免土地出让金  省税  五中旁,美仙山花苑二期 -城东,3室2厅 | 134平米 | 东南 | 简装 | 低楼层(共30层)  | 板塔结合,3人关注 / 6个月以前发布,170,"12,687元/平"
两房近益海，可拎包入住，随时可过户,富临华庭 -泉港区,2室2厅 | 98.84平米 | 东 | 简装 | 低楼层(共13层)  | 暂无数据,0人关注 / 1个月以前发布,48,"4,857元/平"
城东板块，稀有三房，业主诚意稳定出售！,美仙山花苑二期 -城东,2室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,2人关注 / 3个月以前发布,157,"13,894元/平"
嘉琳广场小区 装修 安静视野佳 正看中庭,嘉琳广场 -洛江区,2室1厅 | 92平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,7人关注 / 一年前发布,118,"12,827元/平"
中骏四季康城二期 高层视野开阔 经典两房采光好,中骏四季康城2期 -南环路,2室2厅 | 74.8平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,2人关注 / 7个月以前发布,73,"9,760元/平"
泰禾广场复式三房买一层用两层 使用面积140平左右,石狮泰禾首玺 -石狮中心,3室1厅 | 90.3平米 | 东南 | 毛坯 | 低楼层(共20层)  | 板楼,5人关注 / 5个月以前发布,58,"6,424元/平"
福塘小区，边套两房，便宜又大碗,福塘小区 -泉州桥南,2室2厅 | 75.56平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,2人关注 / 3个月以前发布,86,"11,382元/平"
八仙山公园旁，新小区，价格低。,梅屿苑 -晋江万达,2室2厅 | 92平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板塔结合,13人关注 / 一年前发布,108,"11,740元/平"
本房装修很清爽，光线充足。价格很便宜,汇金广场 -涂门街,1室1厅 | 58平米 | 东南 | 精装 | 中楼层(共13层)  | 板楼,0人关注 / 2个月以前发布,82.5,"14,225元/平"
总价低，单价低，小区交通便利。,福龙花园西区 -宝龙广场,2室2厅 | 97.2平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板楼,1人关注 / 3个月以前发布,75,"7,717元/平"
港通公园壹号2-1-1-1  84.9平 46万,港通公园一号 -泉港区,2室1厅 | 84.9平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,37,"4,359元/平"
德佑戏剧店主推  欧景楼上楼下两层  自带落地窗,欧景帝苑 -惠安县,3室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,6人关注 / 6个月以前发布,85,"8,096元/平"
南北朝向，健康楼层，视野宽阔，采光充足.....,春满城花园一期 -泉港区,1室1厅 | 49平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,0人关注 / 8个月以前发布,17.8,"3,633元/平"
非住宅性质，不限，售贷，纯毛坯，业主急售,星光耀二期 -城东,2室2厅 | 55.86平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,46.8,"8,379元/平"
宝龙广场精装两房带露台出售，好格局,宝龙广场公寓 -宝龙广场,2室1厅 | 78.51平米 | 西 | 精装 | 高楼层(共29层)  | 板楼,1人关注 / 4个月以前发布,105,"13,375元/平"
美亚芳邻 3室2厅 东南 南,美亚芳邻 -洛江区,3室2厅 | 90.38平米 | 东南 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,108,"11,950元/平"
复式3房，红树湾品质小区，国企有保障，一线看江景。,津汇红树湾 -洛江区,3室2厅 | 83.46平米 | 东南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,179,"21,448元/平"
东海湾丽园 朝南 小两房 上学方便,东海湾丽园 -东海,2室2厅 | 55平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,112,"20,364元/平"
君临世纪，一房一厅，47平，采光通透！！！,君临世纪 -惠安县,1室1厅 | 47.4平米 | 南 | 精装 | 高楼层(共15层)  | 平房,2人关注 / 11个月以前发布,45,"9,494元/平"
做北朝南证在手交易方便房东诚意卖随时可以签约,丰泽宝秀小区 -泰禾广场,3室2厅 | 143平米 | 东南 | 简装 | 低楼层(共14层)  | 板塔结合,2人关注 / 5个月以前发布,182,"12,728元/平"
泉秀街精装4房  拎包入住 临刺桐公园 万达广场,虹邦·陽光水岸 -泉秀街,4室2厅 | 84.31平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,248,"29,416元/平"
于丰泽街湖心街之间电梯房，户型方正，采光通风好,汇源湖心花苑 -丰泽街,3室2厅 | 117平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,210,"17,949元/平"
房子采光好，南北通透，价格亲民，房东诚意出售,东湖新村少林社区 -东湖,3室2厅 | 90.5平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,30人关注 / 一年前发布,107,"11,824元/平"
诚心出售磁灶当红楼盘，喜欢来撩,中瑞城公园首府 -磁灶镇,3室2厅 | 121平米 | 东南 | 简装 | 中楼层(共29层)  | 暂无数据,11人关注 / 一年前发布,87.1,"7,199元/平"
鼎盛大观 高层精装     诚意出售,鼎盛大观 -站前大道,3室2厅 | 98.22平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,195,"19,854元/平"
