标题,开发商,房子信息,发布信息,售价/万,单价
世纪花园竹园 3室2厅 南 北,世纪花园竹园 -张店区,3室2厅 | 188.59平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,4人关注 / 13天以前发布,163,"8,644元/平"
拎包入住，置业将军路大产权，体育公园，森林公园旁,鼓浪屿小镇 -淄川区,3室1厅 | 111.17平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,89,"8,006元/平"
齐悦3室 通透户型 客厅大窗户诚意出售 带车位储,齐悦花园盛悦园 -张店区,3室2厅 | 134.48平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,11人关注 / 8个月以前发布,180,"13,385元/平"
金花村六楼，视野好，采光充足 配套齐全 生活方便,科技苑金花村 -张店区,3室2厅 | 123.73平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,78,"6,305元/平"
吾悦广场旁11层小高富康嘉苑中间楼层毛坯带储,富康嘉苑 -张店区,2室2厅 | 87平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,2人关注 / 5个月以前发布,62,"7,127元/平"
义乌旁美达华庭130平精装小高层三室二厅带储急,美达华庭 -张店区,3室2厅 | 129.98平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,9人关注 / 10个月以前发布,153,"11,772元/平"
经开区 电梯中上层 毛坯可自己装修 有钥匙随时可看房,金城 · 春天里小区 -张店区,2室2厅 | 80.37平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,4人关注 / 一年前发布,50,"6,222元/平"
金石晶城140平湖边精装大元宝户 南北阳台双卫带大车库,金石晶城 -张店区,3室2厅 | 138.14平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 8个月以前发布,147,"10,642元/平"
业主急售，有车位储，采光好楼层，随时看房，无贷款。,恒生城市花园 -张店区,3室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,122,"8,244元/平"
共青团西路人保宿舍多层三楼好户型诚意出售,共青团西路148号院 -张店区,3室2厅 | 118.92平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 10个月以前发布,105,"8,830元/平"
江南豪庭 不沿街不靠路，采光好，通透好住，配套完善,江南豪庭 -张店区,3室2厅 | 149.76平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,30人关注 / 一年前发布,133,"8,881元/平"
户型客卧朝阳，全明户型 视野宽阔，采光充足，位置佳,孙家南苑绿洲小区三区 -张店区,3室1厅 | 90.66平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,26,"2,868元/平"
此房满五唯一，客卧朝阳，随时可看。,盛世康城二期 -张店区,2室2厅 | 104.55平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,9人关注 / 一年前发布,78,"7,461元/平"
西五路旁两室电梯房，配套全，生活方便,莲泽苑 -张店区,2室2厅 | 103.66平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,93,"8,972元/平"
位于孝妇河湿地公园旁 带储藏室， 楼层采光好,汇美·花月苑 -张店区,2室2厅 | 88.28平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,5人关注 / 一年前发布,58,"6,571元/平"
干净明朗，拎包入住，多层5楼，适合年轻人过渡...,安康佳园南区 -张店区,3室2厅 | 111.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,68.5,"6,120元/平"
精装两室，客卧朝阳 采光通风好,恒和花园 -张店区,2室2厅 | 88.59平米 | 南 | 简装 | 低楼层(共19层)  | 板楼,7人关注 / 一年前发布,57.5,"6,491元/平"
毛坯三室两卫有钥匙随时看房！带储藏室！价格可议！！,汇美·和平里 -张店区,3室2厅 | 129.52平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,115,"8,879元/平"
"恒生城市花园 好房 视野宽阔,采光充足,生活方便",恒生城市花园 -张店区,3室2厅 | 148.07平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,115,"7,767元/平"
楼层好 格局好房龄新生活便利交通便利,都市名苑 -张店区,2室2厅 | 93.44平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,68,"7,278元/平"
五里桥成熟社区，入住率高，小区内有免费停车位，小,五里桥生活区 -张店区,3室2厅 | 102.18平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,78,"7,634元/平"
此房满五  近七中 公园 大润发 银座 户型方正,五里桥生活区 -张店区,3室1厅 | 89.38平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,59.8,"6,691元/平"
此房有证 满二 三室两厅 客卧朝阳 精装 好楼层,嘉亿国际 -张店区,3室2厅 | 105.03平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,16人关注 / 9个月以前发布,86,"8,189元/平"
南北通透  大两室 楼层好 采光好,怡海世家 -张店区,2室2厅 | 120.48平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,120,"9,961元/平"
凯瑞安园.大三居.采光充足.配套齐全,凯瑞安园 -张店区,3室2厅 | 115.27平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,80,"6,941元/平"
临池公园旁 丽景苑 多层 2楼 带储,丽景苑 -张店区,3室2厅 | 109.65平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,98,"8,938元/平"
锦绣花城  精装三室  三证满五唯一住房  带储藏室,錦綉花城 -张店区,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,19人关注 / 一年前发布,57,"4,560元/平"
南苑绿洲大产权！次新房！元宝户型 方正好住！带储,孙家南苑绿洲小区一区 -张店区,3室2厅 | 114.36平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,57,"4,985元/平"
南苑绿洲多层楼全明户型三室精装元宝户型采光充好,孙家南苑绿洲小区一区 -张店区,3室2厅 | 118.7平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,78,"6,572元/平"
齐盛湖畔远景花园三室两厅万达广场近在咫尺,远景花园滋欣苑 -张店区,3室2厅 | 122.63平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,25人关注 / 一年前发布,98,"7,992元/平"
很少见的元宝户型大社区配套成熟中间楼层随时看房,泉山小区南区 -张店区,3室2厅 | 112.83平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,72,"6,382元/平"
总价低带储藏室采光好精装修未住,椿林佳园 -张店区,2室2厅 | 81.04平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,50,"6,170元/平"
此房独梯独户  三卧朝阳户型 随时看房,五里桥生活区 -张店区,3室2厅 | 120.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,25人关注 / 一年前发布,65,"5,399元/平"
华瑞园三楼 火炬公园旁 单位房  公摊小,华瑞园北区 -张店区,3室2厅 | 166.59平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,106,"6,363元/平"
美达花园多层4楼，三卧室。116万,美达花园 -张店区,3室2厅 | 123.63平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,109.9,"8,890元/平"
新经开区 多层二楼精装三室 拎包入住!证满五！,孙家南苑绿洲小区一区 -张店区,3室2厅 | 97.94平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,58,"5,922元/平"
精装修带储藏室，电梯房，带全部家具家电，及拎包入住,民泰▪龙泰苑 -张店区,3室2厅 | 117.57平米 | 南 北 | 精装 | 高楼层(共19层)  | 板塔结合,32人关注 / 一年前发布,108,"9,187元/平"
电西村生活区 多层三楼 三室一厅 三卧朝阳,华电淄博电西村生活区 -张店区,3室1厅 | 87.56平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,6人关注 / 11个月以前发布,39,"4,455元/平"
新经开区 多层二楼精装三室 拎包入住!证满五！,孙家南苑绿洲小区一区 -张店区,3室2厅 | 97.94平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,58,"5,922元/平"
齐盛湖畔远景花园三室两厅万达广场近在咫尺,远景花园滋欣苑 -张店区,3室2厅 | 122.63平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,25人关注 / 一年前发布,98,"7,992元/平"
此房独梯独户  三卧朝阳户型 随时看房,五里桥生活区 -张店区,3室2厅 | 120.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,25人关注 / 一年前发布,65,"5,399元/平"
华瑞园三楼 火炬公园旁 单位房  公摊小,华瑞园北区 -张店区,3室2厅 | 166.59平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,106,"6,363元/平"
南苑绿洲多层楼全明户型三室精装元宝户型采光充好,孙家南苑绿洲小区一区 -张店区,3室2厅 | 118.7平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,78,"6,572元/平"
华侨城十二组团精装三室带车储 满五唯一看房有钥匙,中润·华侨城十二组团 -张店区,3室2厅 | 126.14平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,29人关注 / 一年前发布,130,"10,307元/平"
龙凤苑电梯16楼好楼层采光好三室二厅二卫,民泰龙凤苑 -张店区,3室2厅 | 159.02平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,6人关注 / 6个月以前发布,170,"10,691元/平"
新东升福园 花园式小区 人车分流,新东升福园 -张店区,3室2厅 | 108.17平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 4天以前发布,140,"12,943元/平"
龙凤苑A区（小高层）159平不沿街！双卫！带车储,民泰龙凤苑 -张店区,3室2厅 | 159.97平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 5天以前发布,181,"11,315元/平"
精装三室 改地暖 城市人家装修 拎包入住,温馨家园 -张店区,3室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,76,"7,756元/平"
龙泰国际，精装元宝户，诚意出售，有2个车位，1个储。,龙泰国际 -张店区,3室2厅 | 201.42平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,280,"13,902元/平"
颐泽花园 洋房 二楼 带大车库 房主出国 闲置诚意出售,颐泽花园百合苑 -淄川区,3室2厅 | 147平米 | 北 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 5天以前发布,175,"11,905元/平"
三楼 单位房  诚意出售 价格面议！,和平小区 -张店区,3室1厅 | 72.85平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 7天以前发布,49,"6,727元/平"
育才旁，电梯房三室精装带车位，可贷款,翰林世家 -淄川区,3室1厅 | 100.41平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 5天以前发布,110,"10,956元/平"
万达广场旁165平小高层 大三居 带车位储 165万出售,远景花园洲熹苑 -张店区,3室2厅 | 165平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 4天以前发布,165,"10,000元/平"
祥瑞花园，电梯内复式，小高层，适合两代人居住218平,祥瑞花园 -张店区,4室3厅 | 218.79平米 | 南 北 | 精装 | 高楼层(共12层)  | 塔楼,7人关注 / 6个月以前发布,259,"11,838元/平"
翡翠园电梯小高175平售价160万，电梯四室两厅两卫。,翡翠园 -张店区,4室2厅 | 175.31平米 | 西 | 精装 | 低楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,160,"9,127元/平"
中润·华侨城第五组团   三室两厅一厨两卫,中润·华侨城五组团 -张店区,3室2厅 | 159.22平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,6人关注 / 一年前发布,168,"10,552元/平"
颐丰花园颐臻园精装大四室，带阁楼带露台,颐丰花园颐臻园 -张店区,4室2厅 | 191.54平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,69人关注 / 一年前发布,258.8,"13,512元/平"
龙凤苑好楼层，大三居精装修，带车储,民泰龙凤苑 -张店区,3室3厅 | 166.2平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,29人关注 / 一年前发布,180,"10,831元/平"
此房证件齐全 满五年 业主自住 看房方便 带露台,中润 · 华侨城二组团 -张店区,2室1厅 | 68.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,153人关注 / 一年前发布,56,"8,141元/平"
齐盛湖龙泰国际四室大平层，实木装修，双车位。,龙泰国际 -张店区,4室2厅 | 262.51平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,403,"15,352元/平"
民泰▪龙泰苑 3室2厅 北 南,民泰▪龙泰苑 -张店区,3室2厅 | 123.11平米 | 北 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,99,"8,042元/平"
兴业家园，精装电梯三室，两卧一客朝阳，南北通透,兴业家园 -张店区,3室2厅 | 143.17平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 22天以前发布,165,"11,525元/平"
高楼层，采光好，无遮挡，看房方便，湿地公园旁。,尚美苑 -张店区,2室2厅 | 92.93平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,65,"6,995元/平"
晴岚名苑 精装带储 电梯次顶楼 生活方便,晴岚名苑 -张店区,2室2厅 | 98.36平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 16天以前发布,53,"5,389元/平"
人民路上87平售价42.7万三室二厅一厨二卫可以分成2户,人民东路北二巷 -张店区,3室2厅 | 87.31平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 22天以前发布,42.7,"4,891元/平"
王舍铁路小区。温馨两室两厅，多层4楼，很干净带储,王舍铁路小区 -张店区,2室2厅 | 79.16平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 20天以前发布,51,"6,443元/平"
文化小区 4室2厅 南 北,文化小区 -淄川区,4室2厅 | 126.77平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,72,"5,680元/平"
碧桂园剑桥郡多层带电梯洋房157平带大露台,碧桂园剑桥郡 -周村区,4室2厅 | 156平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,125,"8,013元/平"
辉盛新房未住！电梯洋房！唯一一套四室！看房方便！,辉盛鑫苑学府 -张店区,4室2厅 | 139平米 | 南 北 | 其他 | 低楼层(共9层)  | 板塔结合,0人关注 / 17天以前发布,177,"12,734元/平"
经开区电梯小高层 视野开阔过渡好房带车位看房方便,金城 · 春天里小区 -张店区,2室2厅 | 80.18平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 26天以前发布,65,"8,107元/平"
经开区多层中间楼层，证满年限带储诚意出售,孙家南苑绿洲小区一区 -张店区,2室1厅 | 87.44平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 30天以前发布,52,"5,947元/平"
华侨城电梯洋房 适合三代人居住的好房,中润·华侨城一组团 -张店区,7室2厅 | 400平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,435,"10,875元/平"
小区中间位置前后无遮挡。四室三卫户型，有字母车位,绿城紫薇园 -张店区,4室2厅 | 199平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,22人关注 / 一年前发布,300,"15,076元/平"
三玉独栋别墅 带院 毛坯   随时看房,三玉别墅区 -张店区,6室3厅 | 312.24平米 | 北 南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 5个月以前发布,326,"10,441元/平"
龙泰B区   精装修  带储   随时看房 有车位单独买卖,民泰▪龙泰苑 -张店区,3室2厅 | 137.66平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 22天以前发布,160,"11,623元/平"
市里电梯两室   双区   价格合适,金領世家 -张店区,2室2厅 | 105平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 22天以前发布,85,"8,096元/平"
经开区吾悦广场旁天泰嘉亿城精装三室经典户,天泰·嘉亿城 -张店区,3室2厅 | 106平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 24天以前发布,98,"9,246元/平"
莲池公园西黄jin国际电梯十楼 莲池七中 带储有车位,黄金国际 -张店区,2室2厅 | 109.6平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 27天以前发布,115,"10,493元/平"
紫薇园精装房， 看房方便，采光好，精装短住,绿城紫薇园 -张店区,3室2厅 | 148平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 28天以前发布,193,"13,041元/平"
远景花园98平2室，位置好、价格低！刚需必看,远景花园洲熹苑 -张店区,2室2厅 | 98平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 18天以前发布,103,"10,511元/平"
城中东方小区 3室1厅 南,城中东方小区 -张店区,3室1厅 | 82.8平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 21天以前发布,64,"7,730元/平"
电梯三室一客两卧朝阳.南北通透.北向一个卧室..,中泰万和苑 -桓台县,3室2厅 | 108.55平米 | 南 北 | 精装 | 高楼层(共21层)  | 暂无数据,0人关注 / 23天以前发布,86.8,"7,997元/平"
齐悦三期  95平  2室  布局合理,齐悦国际花园三期 -张店区,2室2厅 | 94.78平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,4人关注 / 7个月以前发布,120,"12,661元/平"
电梯洋房，挑高户型，三室朝阳，精装修,松龄华府 -淄川区,3室2厅 | 112.16平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,35人关注 / 一年前发布,75,"6,687元/平"
锦绣花苑百合苑 2室2厅 南,锦绣花苑百合苑 -淄川区,2室2厅 | 89平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,46,"5,169元/平"
精品房源，拎包入住，精装30万，谁看谁喜欢,民泰 · 龙泰苑A区 -张店区,3室2厅 | 127.62平米 | 北 | 其他 | 低楼层(共15层)  | 板楼,0人关注 / 3个月以前发布,167,"13,086元/平"
万达广场旁 龙凤苑 电梯六楼 带储 有钥匙 看房方便,民泰龙凤苑 -张店区,3室2厅 | 124.28平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,145,"11,668元/平"
福林小区   精装带储带车位  采光好  有钥匙,福林小区 -张店区,3室2厅 | 111.49平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,65,"5,831元/平"
南北通透采光好，总面积220平内复式，双阳台带俩储,北山小区 -张店区,3室2厅 | 123.95平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,68,"5,487元/平"
精装短住 三室两厅 高楼层 采光无遮挡.,宏程誉园 -张店区,3室2厅 | 119.75平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,159,"13,278元/平"
急急急！！！户型楼层好！义乌旁！,恒兴花园 -张店区,3室2厅 | 136.37平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,135,"9,900元/平"
南苑绿洲多层大三居，公摊小，采光好经典户。,孙家南苑绿洲小区一区 -张店区,3室1厅 | 96.55平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,51,"5,283元/平"
精装修带储，带露台，南向无遮挡采光好,明博新城 -张店区,3室2厅 | 104平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 12天以前发布,125,"12,020元/平"
华侨城南区 南北通透 中层精装带储 车位另加9万,中润·华侨城南区 -张店区,3室2厅 | 133.71平米 | 南 北 | 其他 | 中楼层(共21层)  | 塔楼,8人关注 / 11个月以前发布,142,"10,620元/平"
元宝户 户型好 生活便利 配套好,兰香园 -桓台县,3室2厅 | 118.37平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,2人关注 / 一年前发布,128,"10,814元/平"
大户型 宽敞明亮 空间充分利用 ，电梯房 房龄新,鼓浪屿小镇 -淄川区,3室2厅 | 116.06平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,96,"8,272元/平"
带车位储藏室，电梯房，毛坯 不满二,中德金科学府 -张店区,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 15天以前发布,92,"7,667元/平"
房子中楼层视野宽阔，采光好，交通便利，车位充足,阳光花园 -桓台县,3室2厅 | 113.02平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,74.5,"6,592元/平"
房子急售，楼层适中，新装修基本未住，位置好交通便利,云涛小区北区 -桓台县,3室2厅 | 103.92平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,16人关注 / 一年前发布,59.9,"5,765元/平"
中润·华侨城五组团 3室2厅 南 北,中润·华侨城五组团 -张店区,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 13天以前发布,145,"10,741元/平"
东岳盛景澜庭 3室2厅 南 北,东岳盛景澜庭 -张店区,3室2厅 | 142.26平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,146,"10,263元/平"
鲁能齐林家园 3室2厅 南,鲁能齐林家园 -张店区,3室2厅 | 102.94平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,95.8,"9,307元/平"
碧桂园翡丽湖樾 4室2厅 南 北,碧桂园翡丽湖樾 -桓台县,4室2厅 | 148平米 | 南 北 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 11天以前发布,150,"10,136元/平"
采光好   价格可议  房屋满五,恒生城市花园 -张店区,3室2厅 | 139.98平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,115,"8,216元/平"
封闭式小区五星物业管理，24小时监控干净优雅舒适 。,天煜信园 -桓台县,3室2厅 | 98平米 | 南 北 | 其他 | 高楼层(共26层)  | 塔楼,2人关注 / 一年前发布,125,"12,756元/平"
金润和谐居 三室两厅 通风好 逛街 吃 住 行一条街,金润和谐居小区 -张店区,3室2厅 | 118.17平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,153,"12,948元/平"
出门柳泉！新房未住！带车储！中间楼层！,明博新城 -张店区,2室2厅 | 94.22平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,125,"13,267元/平"
原始房主，空置款到既交房，中层采光好，客卧朝阳双卫,羿景嘉园 -桓台县,3室2厅 | 156.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,91.8,"5,859元/平"
房子满五，客卧朝阳，户型好住，价格实惠,玉腾鱼苑 -桓台县,2室2厅 | 94.19平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,33.5,"3,557元/平"
出小区就是城南，带车位储藏室，南北通透户型好，,橡树玫瑰城 -桓台县,3室2厅 | 121.33平米 | 南 北 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 5个月以前发布,145,"11,951元/平"
精致的生活需要房屋的点缀橡树玫瑰城满足您的一切需求,橡树玫瑰城 -桓台县,3室2厅 | 150.61平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,11人关注 / 10个月以前发布,180,"11,952元/平"
恒兴花园 二期 一楼带院带车位储藏室 元宝户型，！！,恒兴花园 -张店区,3室2厅 | 111.98平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,33人关注 / 一年前发布,159,"14,199元/平"
嘉亿国际南，南苑绿洲小区，多层5楼。看房方便,孙家南苑绿洲小区一区 -张店区,3室1厅 | 97.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 11个月以前发布,52,"5,310元/平"
南苑绿洲二区纯毛坯住宅带储藏室,孙家南苑绿洲小区小区二区 -张店区,2室1厅 | 81.18平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,45,"5,544元/平"
怡海世家 3室2厅1卫 中层南北通透 带地上车库,怡海世家 -张店区,3室2厅 | 129.79平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 6个月以前发布,125,"9,631元/平"
大泰景苑 2室1厅 西南,大泰景苑 -张店区,2室1厅 | 80.12平米 | 西南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,53.5,"6,678元/平"
怡海世家 多层中楼层，有车库另算欲购从速！！,怡海世家 -张店区,3室2厅 | 133.05平米 | 北 南 | 简装 | 中楼层(共6层)  | 板塔结合,17人关注 / 8个月以前发布,120,"9,020元/平"
精装修 电梯好楼层 出门200米即是孝妇河湿地公园,新世纪华庭 -张店区,3室2厅 | 117.38平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,30人关注 / 一年前发布,86,"7,327元/平"
精装修 拎包入住 家具家电齐全,鸿泰嘉园 -张店区,1室1厅 | 40平米 | 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 5天以前发布,26,"6,500元/平"
地矿家园 多层电梯洋房 观景五楼 三室两厅,地矿家园 -张店区,3室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,8人关注 / 一年前发布,113,"11,650元/平"
逸景阳光 小高层毛坯3室103平 中间楼层 采光无遮挡,逸景阳光 -张店区,3室2厅 | 103平米 | 南 | 其他 | 中楼层(共12层)  | 板楼,0人关注 / 13天以前发布,101,"9,806元/平"
泉山小区南区1楼3室，看房方便,泉山小区南区 -张店区,3室2厅 | 99.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,9人关注 / 8个月以前发布,68,"6,858元/平"
此房满二  元宝户型  南北通透  采光充足 交通便利,孙家南苑绿洲小区小区二区 -张店区,3室1厅 | 97.07平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,32,"3,297元/平"
河滨新区 1室1厅 南 北,河滨新区 -张店区,1室1厅 | 58平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 4天以前发布,30,"5,173元/平"
客卧朝阳户型，大产权住房可以贷款，轻松住爱房,盛世泽园 -张店区,2室2厅 | 89.6平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,42.8,"4,777元/平"
理工大  尚文苑 电梯凤凰层 三室两厅带储,尚文苑 -张店区,3室2厅 | 115.31平米 | 南 北 | 其他 | 高楼层(共12层)  | 板楼,1人关注 / 3个月以前发布,104,"9,020元/平"
区十堰西六路 带储藏室，离着近的房子，出门上学,恒基花苑 -张店区,2室1厅 | 98平米 | 南 北 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 10天以前发布,95,"9,694元/平"
此房格局南北通，精装修，小高层中高楼层，采光好。,盛世名苑 -张店区,3室2厅 | 110.28平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,21人关注 / 一年前发布,89,"8,071元/平"
停车方便，采光充足，户型居住舒适度*高 全新未住,孙家南苑绿洲小区三区 -张店区,3室1厅 | 91.77平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,36,"3,923元/平"
