标题,开发商,房子信息,发布信息,售价/万,单价
特警支队宿舍 宽敞的3房2厅诚心出售,海口特警支队宿舍 -海甸岛,3室2厅 | 88.45平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,1人关注 / 15天以前发布,146,"16,507元/平"
此房满五唯一，税费少，视野宽阔，配套齐全，交通便利,龙华商城 -解放西,4室2厅 | 140.98平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,189,"13,407元/平"
蓝水湾（二期） 5室2厅 南 北,蓝水湾（二期） -白龙,5室2厅 | 141.02平米 | 南 北 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 2个月以前发布,272,"19,289元/平"
国兴大润发滨江路盛达景都四房南北通透满五唯一,盛达景都（一期） -国兴,4室2厅 | 167.42平米 | 南 北 | 精装 | 中楼层(共21层)  | 板塔结合,1人关注 / 1个月以前发布,334.5,"19,980元/平"
海甸万兴路 伊甸家园 四房两卫 精装 南北通透 中楼层,伊甸家园 -海甸岛,4室2厅 | 137.41平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,255,"18,558元/平"
江东新区  花园洋房 精装2房2厅 南北通透 一梯二户,鲁能海蓝椰风 -江东,2室2厅 | 81.16平米 | 南 北 | 精装 | 10层  | 板楼,5人关注 / 5个月以前发布,160,"19,715元/平"
高档装修纯实木家具，南北通透格局采光好。,兆南丽湾 -海甸岛,3室2厅 | 139.75平米 | 东南 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,9人关注 / 一年前发布,305,"21,825元/平"
国兴滨江路枫丹白露三房南北通透精装修满五唯一,枫丹白露 -国兴,3室2厅 | 127.11平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,300,"23,602元/平"
人民公园旁榆海小区里的独立小区 正规三房带产权车位,福美公寓 -明珠,3室2厅 | 132.31平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,215,"16,250元/平"
新埠岛 新世界花园 2室2厅1厨2卫,新世界花园 -新埠岛,2室2厅 | 87.34平米 | 北 | 精装 | 11层  | 板楼,0人关注 / 3个月以前发布,183,"20,953元/平"
满五唯一税少  满五唯一税少   满五唯一税少,翰林西苑 -万达,4室2厅 | 141.01平米 | 南 北 | 精装 | 18层  | 板楼,12人关注 / 一年前发布,220,"15,602元/平"
满二低税、采光通风好、可看海、视野好、户型方正,海岸豪庭 -紫园片区,2室2厅 | 94.91平米 | 北 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 7天以前发布,230,"24,234元/平"
珍珠裕苑一期 1室1厅 北,珍珠裕苑一期 -海甸岛,1室1厅 | 68.1平米 | 北 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 1天以前发布,115,"16,887元/平"
"西海岸大平层,纯板楼,精装修拎包入住,电梯入户,高楼层",三弦慧府 -远大,3室2厅 | 162.7平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 7天以前发布,345,"21,205元/平"
南区满二精装修未入住业主诚心出售朝南,楠滨华庭 -海垦,3室2厅 | 117.23平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,0人关注 / 6天以前发布,292,"24,909元/平"
滨江路 琼山椰博旁 佳元椰风 2房 195万带一个产权车位,佳元·椰风水韵 -滨江,2室2厅 | 87平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 3天以前发布,195,"22,414元/平"
国兴城 满五唯一 精装修 两房两厅 看房方便,海航国兴城 -国兴,2室2厅 | 92平米 | 东南 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 7天以前发布,270,"29,348元/平"
滨江度假城，满5年，含车位，含家具家电，全明户型,滨江度假城 -滨江,2室2厅 | 92.21平米 | 南 | 精装 | 17层  | 板塔结合,0人关注 / 12天以前发布,198,"21,473元/平"
没住过、满五低税、正规三房南北朝向，通风采光好,祥和家园 -紫园片区,3室2厅 | 127.6平米 | 南 北 | 精装 | 18层  | 板楼,0人关注 / 1个月以前发布,300,"23,511元/平"
此房满五唯一，朝南户型，利用空间大，业主诚心出售,厚土珊瑚湾 -海甸岛,2室2厅 | 83平米 | 南 | 简装 | 低楼层(共24层)  | 板塔结合,1人关注 / 31天以前发布,145,"17,470元/平"
君悦府 3室2厅 南 北,君悦府 -紫园片区,3室2厅 | 147平米 | 南 北 | 其他 | 低楼层(共19层)  | 板楼,0人关注 / 21天以前发布,400,"27,211元/平"
满五唯一 产证在手 小区绿化好 交通便利,荣域 -海甸岛,4室2厅 | 198.41平米 | 东南 | 毛坯 | 低楼层(共9层)  | 板楼,0人关注 / 20天以前发布,450,"22,681元/平"
荣域 4室2厅 南,荣域 -海甸岛,4室2厅 | 165.8平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,400,"24,126元/平"
海甸岛兆南丽湾精装3房中间楼层155平带入户花园有钥匙,兆南丽湾 -海甸岛,3室2厅 | 155.5平米 | 东 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 25天以前发布,338,"21,737元/平"
成熟大型花园社区，全新精装修，户型方正,碧桂园·中央首府 -椰海大道,3室2厅 | 111平米 | 南 北 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 17天以前发布,238,"21,442元/平"
户型方正，南北通透，楼层好，小区绿化好,长信·海岸水城 -紫园片区,3室2厅 | 136.83平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 23天以前发布,385,"28,138元/平"
蓝城印象   业主诚意出售   南北通透,城投蓝城印象 -紫园片区,3室2厅 | 167.41平米 | 南 北 | 毛坯 | 18层  | 板楼,0人关注 / 17天以前发布,415,"24,790元/平"
海甸岛次新小区 滨江海岸 毛坯 四房 电梯房,滨江海岸·御江（一期） -海甸岛,4室2厅 | 149平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 20天以前发布,447,"30,000元/平"
夏瑶花苑 2室2厅 南,夏瑶花苑 -国兴,2室2厅 | 100.36平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 16天以前发布,176,"17,537元/平"
江东1房2厅 边户采光好 业主诚心卖 简单装修,琥珀悠澜 -江东,1室2厅 | 59.84平米 | 北 | 简装 | 19层  | 板塔结合,0人关注 / 8天以前发布,90,"15,041元/平"
中弘 满二 南北通透 精装修业主诚意出售,中弘·西岸首府 -远大,2室2厅 | 117平米 | 南 北 | 其他 | 16层  | 板塔结合,0人关注 / 9天以前发布,225,"19,231元/平"
正义路大型小区，正规3房，通风采光好,南玻公寓北区 -龙昆南,3室1厅 | 106.4平米 | 西南 | 精装 | 高楼层(共9层)  | 板塔结合,1人关注 / 13天以前发布,100,"9,399元/平"
塔结合 楼层高 视野开阔 无遮挡 大两房 有入户花厅,海岸豪庭 -紫园片区,2室1厅 | 94.13平米 | 南 北 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 4个月以前发布,254,"26,984元/平"
房子满五多套，位于秀英海盛路  正规大3房 简装,金楚小区 -秀英,3室2厅 | 115.22平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 10个月以前发布,142,"12,325元/平"
滨江帝景 朝南 毛坯 3房 即将满五唯一,广物滨江帝景1期 -滨江,3室2厅 | 99.64平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,218,"21,879元/平"
国兴商圈买一层多得楼上一层，通风采光全明户型,金鹿花园二期 -国兴,5室2厅 | 117.52平米 | 南 | 毛坯 | 高楼层(共19层)  | 板楼,2人关注 / 一年前发布,300,"25,528元/平"
椰海新城旁 香榭花园小三房户型 车位充足，采光好,香榭花园 -椰海大道,2室2厅 | 91平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,0人关注 / 4个月以前发布,182,"20,000元/平"
金盘金花别墅大平层3房2厅，可按揭，看房方便。,金华别墅 -金盘,3室2厅 | 111.4平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,229.8,"20,629元/平"
滨江 椰合路 四室两厅两卫 南北户型 高楼层 满五,滨江绿都 -滨江,4室2厅 | 142.6平米 | 南 北 | 毛坯 | 30层  | 板塔结合,4人关注 / 11个月以前发布,280,"19,636元/平"
海甸岛公务员小区鸿天阁两房双阳台业主诚心出售,鸿天阁北区 -海甸岛,2室2厅 | 94.06平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,196,"20,838元/平"
海甸岛五东路次新小区正规三房业主急售,濠江壹号 -海甸岛,3室2厅 | 91.77平米 | 西北 | 精装 | 17层  | 板塔结合,5人关注 / 3个月以前发布,175,"19,070元/平"
品质小区，满二税少，户型经典，大平层，视野好。,慧远美林谷 -紫园片区,3室2厅 | 157.65平米 | 东 | 毛坯 | 高楼层(共6层)  | 板塔结合,10人关注 / 6个月以前发布,530,"33,619元/平"
海口市美兰区海甸岛海天一舍两房,海天一舍 -海甸岛,2室1厅 | 83.24平米 | 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,150,"18,021元/平"
精装二房二厅 带120平私家花园,天伦誉海湾 -紫园片区,2室1厅 | 86.37平米 | 东南 | 精装 | 低楼层(共31层)  | 塔楼,23人关注 / 一年前发布,195,"22,578元/平"
文明东滨江温泉花园大三房，有四季泳池，篮球场，急售,滨江温泉花园 -白龙,3室1厅 | 144.66平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 8个月以前发布,216,"14,932元/平"
紫园，正规2房，满五唯一，南北对流，采光好,紫园 -紫园片区,2室2厅 | 97.53平米 | 南 北 | 简装 | 11层  | 板楼,6人关注 / 3个月以前发布,283,"29,017元/平"
明厨明卫，户型方正，阳台朝南，入户花园利用大，毛坯,四季华庭阳光华府 -金盘,3室2厅 | 109.32平米 | 南 北 | 毛坯 | 33层  | 板楼,0人关注 / 1个月以前发布,219,"20,033元/平"
满五唯一 别墅区洋房电梯小高层  格局方正 南北通透,富力盈溪谷 -西海岸南片区,3室2厅 | 129.29平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,51人关注 / 11个月以前发布,205,"15,856元/平"
满五唯一税少，可看湖景、一梯两户、户型方正,城市海岸 -紫园片区,4室2厅 | 170.04平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,15人关注 / 11个月以前发布,450,"26,465元/平"
此房位于江东新区重要板块地理位置好 感受大海的魅力,海涛花园 -江东,2室2厅 | 98.59平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,9人关注 / 8个月以前发布,157,"15,925元/平"
次新小区户型好 坐拥生态沿江公园 朝东视野环境优雅,招鑫公馆 -海甸岛,1室1厅 | 79.43平米 | 东 南 | 简装 | 低楼层(共23层)  | 塔楼,2人关注 / 一年前发布,135,"16,997元/平"
此房位于江东新区重要板块地理位置好 感受大海的魅力,海涛花园 -江东,2室2厅 | 98.59平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,9人关注 / 8个月以前发布,157,"15,925元/平"
海大北门高层朝南两房，繁华地段位置优越配套成熟。,恒福居申海花苑 -海甸岛,2室1厅 | 77.22平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,3人关注 / 4个月以前发布,152,"19,685元/平"
海甸岛满五唯一舒适两房，生活便利出行方便,衍宏海岛春天 -海甸岛,2室2厅 | 91.06平米 | 东南 | 简装 | 20层  | 板塔结合,10人关注 / 一年前发布,139,"15,265元/平"
友谊阳光城，椰岛广场小区，高楼层 采光好，诚心出售,椰岛广场 -国贸,2室2厅 | 84.88平米 | 北 | 精装 | 高楼层(共30层)  | 板塔结合,3人关注 / 10个月以前发布,185,"21,796元/平"
龙昆南 3房2厅2卫 户型方正 采光好,龙泉家园 -龙昆南,3室2厅 | 129.46平米 | 北 | 简装 | 高楼层(共22层)  | 板塔结合,0人关注 / 5个月以前发布,236,"18,230元/平"
海口湾泉品质小区海好家园 精装正规两房业主诚心出售,泉海好家园 -海口湾,3室2厅 | 111.78平米 | 南 | 精装 | 30层  | 板塔结合,0人关注 / 6个月以前发布,230,"20,577元/平"
中弘西岸  满二 中楼层 毛坯房,中弘·西岸首府 -远大,3室2厅 | 135.67平米 | 南 北 | 毛坯 | 24层  | 板塔结合,0人关注 / 1个月以前发布,233,"17,175元/平"
金牛岭公园门口旁，大型社区，近商场菜市场，生活便利,金牛生态小区 -海垦,3室2厅 | 113.28平米 | 北 | 简装 | 22层  | 板楼,4人关注 / 8个月以前发布,178,"15,714元/平"
满五多套的两房，品质住宅小区，出入交通方便。,碧水名城 -白龙,2室2厅 | 73.75平米 | 东南 | 简装 | 高楼层(共16层)  | 板塔结合,3人关注 / 4个月以前发布,130,"17,628元/平"
美丽沙天寰海景三房两卫-北向-满二-随时看房,海口恒大美丽沙 -海甸岛,3室2厅 | 125.95平米 | 东 北 | 精装 | 中楼层(共24层)  | 塔楼,18人关注 / 一年前发布,280,"22,232元/平"
幸福城三期朝南三房两卫 客厅阳台＋小露台 共5个阳台,南海幸福城 -金盘,3室2厅 | 104.03平米 | 南 | 毛坯 | 26层  | 板塔结合,1人关注 / 2个月以前发布,205,"19,706元/平"
房子是满五唯一 南北通透 户型方正,金海雅苑南区 -海甸岛,2室2厅 | 87.13平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,26人关注 / 5个月以前发布,143,"16,413元/平"
万绿园旁，悠生海华，三房两厅两卫南北通透 满五唯一,悠生海华 -海口湾,3室2厅 | 138.31平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,276,"19,956元/平"
低楼层，高素质邻居、大社区、适合养老居住,海南师范大学怡园 -龙昆南,3室2厅 | 93.81平米 | 南 北 | 简装 | 低楼层(共8层)  | 暂无数据,17人关注 / 一年前发布,180,"19,188元/平"
满五唯一 ，税费低，采光好，出行便利,金椰大厦 -和平南,3室2厅 | 118.97平米 | 西北 | 其他 | 18层  | 塔楼,0人关注 / 2个月以前发布,142,"11,936元/平"
国兴商圈顶楼大跃层大露台  两梯两户 南北通,海航国兴城 -国兴,6室2厅 | 218.75平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,580,"26,515元/平"
次新小区环境好，满二税费低，户型南北通透。,宇信·西岸公馆 -紫园片区,3室2厅 | 110.01平米 | 南 北 | 简装 | 18层  | 板塔结合,1人关注 / 2个月以前发布,231,"20,999元/平"
世纪大桥 万绿园，高品质小区17年次新小区,绿地·海德公馆 -解放西,4室2厅 | 116.55平米 | 南 | 毛坯 | 33层  | 板塔结合,5人关注 / 一年前发布,315,"27,028元/平"
国兴 电梯小两房 低总价低税率 地段好,宇建城市花园 -国兴,2室2厅 | 84.42平米 | 南 | 精装 | 低楼层(共19层)  | 板楼,2人关注 / 3个月以前发布,125,"14,807元/平"
一线海景，正规三房，业主诚心出售,碧桂园·滨海国际 -新埠岛,3室2厅 | 121.55平米 | 北 | 毛坯 | 18层  | 板塔结合,10人关注 / 8个月以前发布,249,"20,486元/平"
海口湾大平层，户型方正，紫荆花园。,紫荆花园一期 -海口湾,4室2厅 | 188.6平米 | 南 北 | 精装 | 高楼层(共20层)  | 板塔结合,2人关注 / 一年前发布,490,"25,981元/平"
海口湾 次新房 近海边 环境好  楼层好,東方天澜滙 -海口湾,4室2厅 | 183.54平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,700,"38,139元/平"
公务员小区，满五唯一税少，小区地理位置优越。,海南省人民检察院东院住宅区 -白龙,3室2厅 | 91.07平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 8个月以前发布,128,"14,056元/平"
海甸岛 大型小区 水岸听涛 精装三房 生活交通便利,水岸听涛 -海甸岛,3室2厅 | 91.14平米 | 南 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,150,"16,459元/平"
花园小区 新埠岛 新世界花园 精装 三室二厅二卫二阳台,新世界花园 -新埠岛,3室2厅 | 152.84平米 | 西南 | 精装 | 12层  | 板楼,0人关注 / 2个月以前发布,248,"16,227元/平"
海口湾 毛坯 大平层 5房 业主诚心,丽晶海景花园 -海口湾,5室2厅 | 182.13平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,2人关注 / 4个月以前发布,390,"21,414元/平"
简单介绍下该房的一些亮点小区介绍，交通情况,宇建城市花园 -国兴,2室2厅 | 86.71平米 | 东南 | 精装 | 中楼层(共19层)  | 板楼,1人关注 / 3个月以前发布,123,"14,186元/平"
海甸岛三东路金谷大厦正规一房一厅，满五唯一,金谷大厦 -海甸岛,1室1厅 | 68.12平米 | 南 | 简装 | 中楼层(共25层)  | 塔楼,9人关注 / 7个月以前发布,82,"12,038元/平"
万达省医院商圈 南海大道 满五 户型方正 视野开阔,印象荷园 -秀英,3室2厅 | 134.68平米 | 南 北 | 精装 | 21层  | 塔楼,9人关注 / 8个月以前发布,190,"14,108元/平"
西海岸 现房现证 高楼层视野好 毛坯两房  单价14000元,时代城 -西海岸南片区,2室2厅 | 80.84平米 | 北 | 其他 | 高楼层(共31层)  | 板塔结合,3人关注 / 8个月以前发布,120,"14,845元/平"
楠滨华庭 18年小区 满二 4房2厅2卫 户型方正 采光好,楠滨华庭 -海垦,4室2厅 | 139.82平米 | 东 北 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,269.5,"19,275元/平"
一线海景 居住舒适 产权清晰  满二,海域阳光 -远大,2室2厅 | 127.12平米 | 北 | 简装 | 低楼层(共32层)  | 板塔结合,1人关注 / 8个月以前发布,255,"20,060元/平"
万达广场 2017年小区 毛坯出售,银泉花园 -万达,2室2厅 | 74.98平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板塔结合,1人关注 / 3个月以前发布,136,"18,139元/平"
东海小区 3室2厅 南 北,东海小区 -国贸,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,120,"10,910元/平"
万达省医院商圈 南海大道 满五 户型方正 视野开阔,印象荷园 -秀英,3室2厅 | 134.68平米 | 南 北 | 精装 | 21层  | 塔楼,9人关注 / 8个月以前发布,190,"14,108元/平"
精装小两房 带阳台 精品户型新小区包税,碧桂园·滨江海岸（三期） -海甸岛,2室2厅 | 66.92平米 | 西南 | 精装 | 中楼层(共25层)  | 塔楼,42人关注 / 一年前发布,115,"17,185元/平"
满五唯一，国贸大三方位置好，楼层好。,四季大厦 -国贸,3室2厅 | 135.73平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,13人关注 / 7个月以前发布,155,"11,420元/平"
较新小区，拎包入住，不近马路，不吵,佳元·江畔人家 -滨江,2室2厅 | 96.3平米 | 南 | 精装 | 20层  | 板楼,1人关注 / 2个月以前发布,210,"21,807元/平"
绿地文化城一期 精装修两房 楼层高 视野开阔,绿地文化城 -西海岸南片区,2室2厅 | 70.7平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,5人关注 / 3个月以前发布,128,"18,105元/平"
精装修正规3房 得房率高 通风采光很好 拎包入住,海口市城西教师村 -金盘,3室2厅 | 76.03平米 | 北 | 精装 | 低楼层(共6层)  | 板塔结合,9人关注 / 8个月以前发布,128,"16,836元/平"
精装修基本没住过 满五唯一 业主诚意出售，价格可商议,现代花园三期 -龙昆南,3室2厅 | 143.45平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,2人关注 / 4个月以前发布,260,"18,125元/平"
水岸阳光A区 2室1厅 南,水岸阳光A区 -海甸岛,2室1厅 | 65.72平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,2人关注 / 1个月以前发布,107.5,"16,358元/平"
有温泉的小高层，花园小区环境舒适，配套全生活便利。,白沙门温泉度假村 -海甸岛,1室2厅 | 48.07平米 | 西 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 1个月以前发布,68,"14,147元/平"
海垦三房 南北通透  有空中花园,金鹿雅苑 -海垦,3室2厅 | 128.51平米 | 南 北 | 精装 | 22层  | 板楼,1人关注 / 2个月以前发布,206,"16,030元/平"
花园式小区，地段好，成熟配套，满五年，业主诚心出售,现代花园二区 -龙昆南,3室2厅 | 124.73平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,3人关注 / 6个月以前发布,246,"19,723元/平"
全屋中    央空调 地暖  精装两房拎包入住,椰风海岸 -江东,2室2厅 | 101.39平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,216,"21,304元/平"
业主常年  在外地工作   诚心出售此房,海口恒大美丽沙 -海甸岛,2室2厅 | 84.48平米 | 南 | 精装 | 12层  | 板塔结合,3人关注 / 3个月以前发布,215,"25,450元/平"
蓝色海岸正规一房！满两年！低总价！高层视野好！,美丽沙·蓝色海岸 -海甸岛,1室2厅 | 61平米 | 北 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,140,"22,951元/平"
蓝色海岸次新小区户型方正 朝南中高楼层 精装拎包入住,美丽沙·蓝色海岸 -海甸岛,2室2厅 | 80.19平米 | 南 | 其他 | 中楼层(共24层)  | 塔楼,0人关注 / 1个月以前发布,185,"23,071元/平"
大型社区，生活方便，一梯两户，南北通透，采光通风好,海南农垦东大院 -海垦,3室2厅 | 127.9平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,208,"16,263元/平"
大型小区绿化好，带泳池，正规三房2厅2卫，物管好,棕榈泉 -秀英,3室2厅 | 100平米 | 东南 | 简装 | 低楼层(共11层)  | 板塔结合,45人关注 / 6个月以前发布,163,"16,300元/平"
曾经你说：要面朝大海，看春暖花开，来看看我吧！,御景湾 -海口湾,5室2厅 | 202平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,3人关注 / 4个月以前发布,458,"22,674元/平"
五指山路  明珠广场商圈   满五唯一     3房,远良明珠大厦 -明珠,3室1厅 | 96.69平米 | 东南 | 简装 | 14层  | 板塔结合,0人关注 / 11个月以前发布,120,"12,411元/平"
琼山滨江商圈精装婚房包品牌家具家电,博雅花园 -滨江,3室2厅 | 111.77平米 | 南 北 | 毛坯 | 27层  | 板楼,0人关注 / 1个月以前发布,188,"16,821元/平"
观澜湖低密度空中别墅，边户采光更好，过户即住,观澜湖观邸 -观澜湖,3室2厅 | 105.78平米 | 南 西南 | 其他 | 7层  | 板楼,0人关注 / 1个月以前发布,268,"25,336元/平"
此房满五唯一，格局分明，采光通风好，只有1.5%的契税,广物滨江帝景1期 -滨江,3室1厅 | 112平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 24天以前发布,199,"17,768元/平"
2018年交房的小区！房产证满二！,海鑫城 -万达,1室1厅 | 60.92平米 | 北 | 精装 | 低楼层(共25层)  | 板塔结合,1人关注 / 29天以前发布,108,"17,729元/平"
椰海大道碧桂园大社区住宅2房只要125万,碧桂园·中央首府 -椰海大道,2室2厅 | 65平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 6天以前发布,125,"19,231元/平"
龙昆南  华新商业大厦 四房两厅  简装,华新商业大厦 -明珠,4室2厅 | 209平米 | 西南 | 简装 | 12层  | 板楼,0人关注 / 6天以前发布,200,"9,570元/平"
龙昆南  华新商业大厦 四房两厅  简装,华新商业大厦 -明珠,4室2厅 | 209平米 | 西南 | 简装 | 12层  | 板楼,0人关注 / 6天以前发布,200,"9,570元/平"
时代城 朝南精装修两房 业主诚心急售 置换大三房,时代城 -西海岸南片区,2室2厅 | 83平米 | 西南 | 精装 | 中楼层(共25层)  | 板塔结合,1人关注 / 6天以前发布,120,"14,458元/平"
五指山路 单价低 大户型 满五多套,康业西湖苑 -明珠,4室2厅 | 141.43平米 | 南 | 简装 | 12层  | 板塔结合,0人关注 / 5天以前发布,160,"11,314元/平"
蓝天路 国瑞城 旁 精装修 跃层 3房 视野好 满五唯一,蓝天丽城 -国兴,3室2厅 | 115.16平米 | 北 | 其他 | 高楼层(共20层)  | 塔楼,0人关注 / 5天以前发布,188,"16,326元/平"
鲁能·钓鱼台·美高梅 2室2厅 北,鲁能·钓鱼台·美高梅 -远大,2室2厅 | 75.75平米 | 北 | 简装 | 20层  | 板塔结合,0人关注 / 1个月以前发布,172.5,"22,773元/平"
万恒城市花园三期 大两居 南北向 满五 诚意出售,万恒城市花园 -海甸岛,2室2厅 | 89.27平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 29天以前发布,165,"18,484元/平"
中山南路，品质小区 有游泳池，绿化精致,滨河华庭 -府城,3室2厅 | 132.95平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 28天以前发布,252,"18,955元/平"
满五唯一，业主诚意出售，价位可谈,海汽物业小区 -国兴,2室2厅 | 79.3平米 | 西 | 简装 | 高楼层(共12层)  | 暂无数据,1人关注 / 1个月以前发布,82,"10,341元/平"
江海郡次新小区，高楼层东南朝向精装二房,江海郡 -海甸岛,2室2厅 | 73.55平米 | 东南 | 其他 | 23层  | 板塔结合,0人关注 / 1个月以前发布,168,"22,842元/平"
椰海大道，凤翔湿地公园旁，精装修，满五唯一，少税,香榭花园 -椰海大道,3室2厅 | 90.95平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,1人关注 / 30天以前发布,193,"21,221元/平"
大华锦绣海岸 精装满2年 拎包入住 产证满5年,大华·锦绣海岸 -远大,3室2厅 | 96.75平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,1人关注 / 1个月以前发布,200,"20,672元/平"
海甸岛一东路 交通便利  高楼层 视野开阔  满五,谐安花园 -海甸岛,3室2厅 | 92.56平米 | 南 | 其他 | 高楼层(共26层)  | 塔楼,0人关注 / 29天以前发布,160,"17,287元/平"
"小高层，此房满五多套,通风、采光好，双阳台",紫园 -紫园片区,2室2厅 | 97.53平米 | 东南 | 其他 | 11层  | 板楼,0人关注 / 23天以前发布,329,"33,734元/平"
龙昆南 康馨花园 地理位置优越,衍宏·康馨花园 -龙昆南,4室2厅 | 140.51平米 | 南 北 | 其他 | 22层  | 塔楼,0人关注 / 1个月以前发布,260,"18,505元/平"
海甸岛次 新电梯楼，户型方正 商圈成熟 出行方便,天海居 -海甸岛,2室2厅 | 82.22平米 | 东 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 28天以前发布,170,"20,677元/平"
吾悦广场商圈，2018年小区中海锦城3室2厅2卫,中海锦城 -椰海大道,3室2厅 | 96.75平米 | 南 | 精装 | 26层  | 板楼,0人关注 / 1个月以前发布,228,"23,566元/平"
满五唯一单位房大英菜市场旁正规两房业主诚心出售,水产实业宿舍 -明珠,2室2厅 | 66.31平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,75,"11,311元/平"
滨江路大型小区 楼层好视野宽阔配套设施齐全交通方便,广物滨江帝景Ⅱ期 -滨江,3室2厅 | 118.73平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 20天以前发布,258,"21,730元/平"
龙湖光年四季华庭Ⅱ金色年华 园林花园洋房 一梯两户,四季华庭Ⅱ金色年华 -金盘,3室2厅 | 120.45平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 31天以前发布,195,"16,190元/平"
珍珠裕苑二期 南向 大两居 满五一套 看房方便,珍珠裕苑二期 -海甸岛,2室2厅 | 78.47平米 | 东南 | 其他 | 低楼层(共16层)  | 板塔结合,0人关注 / 29天以前发布,158,"20,136元/平"
业主诚心出售。看房方便，满五多套无大税,龙华区中山街道九小宿舍 -解放西,3室2厅 | 67.3平米 | 西南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 26天以前发布,85,"12,631元/平"
