标题,开发商,房子信息,发布信息,售价/万,单价
金地檀境 前排 视野开阔 采光充足 诚心出售,金地檀境 -前关,3室2厅 | 104.15平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,136,"13,059元/平"
【华润海中国蕞便宜的三室】南北通透精装修全明户型,华润海中国六期 -华润海中国,3室1厅 | 107.04平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,26人关注 / 7个月以前发布,145,"13,547元/平"
精装修中间楼层，三室两厅，看房方便,万科城 -金纺,3室2厅 | 97.61平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,8人关注 / 5个月以前发布,108,"11,065元/平"
业主诚心，急售好房 背靠童牛岭 南面大海,西雅图 -海富,2室2厅 | 97.29平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,108,"11,101元/平"
华润海中国十期海景房，楼层好，采光好，高档装修。,华润海中国十期 -华润海中国,3室2厅 | 126.71平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,51人关注 / 5个月以前发布,277,"21,861元/平"
C区高楼层 清水房 全明户型 业主诚售 看房方便,星海融汇 -太原街,2室1厅 | 87.04平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,17人关注 / 5个月以前发布,198,"22,749元/平"
近轻轨 绿化好 保持干净 随时可看,城润万家 -城润,3室1厅 | 105.47平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,9人关注 / 5个月以前发布,118,"11,189元/平"
此房满两年，南北通厅通透户型，小区中间位置，,红星海五期岚谷 -红星海,2室1厅 | 88.34平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,22人关注 / 5个月以前发布,121,"13,698元/平"
D区好位置 好楼层 精装修 南向无遮挡 采光好 位置佳,一方天鹅湖 -高城山,3室2厅 | 123.02平米 | 南 北 | 精装 | 11层  | 板楼,37人关注 / 9个月以前发布,85,"6,910元/平"
全屋实木装修，林内燃气供热，采光好保持好难得好房子,华润海中国二期 -华润海中国,3室2厅 | 142.1平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,27人关注 / 7个月以前发布,197,"13,864元/平"
体育场招商海德公园清水电梯洋房，一梯一户，位置好。,招商海德公园 -体育新城,4室2厅 | 125.47平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,33人关注 / 4个月以前发布,229,"18,252元/平"
店长推荐 阳台在客厅 视野宽阔 采光充足 交通便利,万科魅力之城 -魅力之城,2室2厅 | 75.56平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,4人关注 / 1个月以前发布,107,"14,161元/平"
一天未住 楼层高 无遮挡视野开阔一览无余 南北通厅,万科翡翠公园 -生态新城,3室2厅 | 92.2平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,13人关注 / 8个月以前发布,145,"15,727元/平"
华润海中国二期高层位置好随时看房诚心出售,华润海中国二期 -华润海中国,3室1厅 | 115.75平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 1个月以前发布,160,"13,823元/平"
近万达广场和地铁口，南向独立一室一厅,硅谷假日公寓 -万达,1室1厅 | 59.95平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,8人关注 / 1个月以前发布,115,"19,183元/平"
瑞仕新上三室，小高中上楼层，不临街，拎包入住。,瑞仕尚城二期 -海富,3室2厅 | 106.79平米 | 东 南 北 | 精装 | 中楼层(共18层)  | 板楼,20人关注 / 9个月以前发布,136,"12,736元/平"
小区前排 一线海景  三室两卫 诚心出售,宏都筑景Ⅰ期 -孙家沟,3室2厅 | 143.92平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,15人关注 / 4个月以前发布,310,"21,540元/平"
房主诚心出售 看房有钥匙 中间楼层 单价低,星海小区 -孙家沟,3室2厅 | 104.25平米 | 东 南 西 | 简装 | 中楼层(共7层)  | 板楼,65人关注 / 11个月以前发布,101,"9,689元/平"
近地铁 洋房前排 次顶层 全明户型采光视野好 一梯两户,万科魅力之城 -魅力之城,3室2厅 | 89.94平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 1个月以前发布,132.5,"14,733元/平"
泉水龙畔南北通厅精装修 南北阳台位置好采光好,龙畔金泉二期 -泉水龙畔金泉,3室2厅 | 92平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,13人关注 / 6个月以前发布,128,"13,914元/平"
精装修！电梯洋房 ，封闭小区！户型好，南北通厅三室,红星海五期青屿蓝 -红星海,3室1厅 | 141.29平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,21人关注 / 8个月以前发布,249,"17,624元/平"
格致 五期 三室两卫 楼层视野好 装修保持好,幸福e家五期 -幸福e家,3室2厅 | 112.58平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 1个月以前发布,398,"35,353元/平"
：秀月广场 无坡 中间楼 近公交 近市场 近地铁,秀月广场 -秀月,2室2厅 | 98.26平米 | 北 南 | 简装 | 中楼层(共7层)  | 板楼,36人关注 / 一年前发布,105,"10,686元/平"
新希望家园 精装修南北通透三室 房主诚心卖房,新希望家园 -城润,3室1厅 | 106.4平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 31天以前发布,93,"8,741元/平"
亿达品质，龙湖物业“电梯洋房”有28平仓房。,亿达普罗旺斯二期 -普罗旺斯,3室2厅 | 160.6平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,17人关注 / 4个月以前发布,340,"21,171元/平"
经典两室南北通厅，南明厅，好楼层，有钥匙,泡崖四区 -泡崖四区,2室2厅 | 68.83平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,79,"11,478元/平"
精装修中间楼层，三室两厅，看房方便,万科城 -金纺,3室2厅 | 97.61平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,8人关注 / 5个月以前发布,108,"11,065元/平"
89平三室两厅一卫，城润比较少见户型。,新希望乐城 -城润,3室2厅 | 89.93平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,15人关注 / 一年前发布,112,"12,455元/平"
拎包入住 交通方便 近轻轨  大阳台不算面积,佳地花园 -安盛,3室1厅 | 133.31平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,17人关注 / 一年前发布,119,"8,927元/平"
三室两卫精装修，采光好，房主自住，看房方便,一方天鹅湖 -高城山,3室1厅 | 123.03平米 | 南 北 | 精装 | 11层  | 板楼,27人关注 / 8个月以前发布,86,"6,991元/平"
五一广场  南北通透  02年旳框架结构 电梯房,银寰大厦 -北京公园,3室1厅 | 165.39平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,12人关注 / 8个月以前发布,169,"10,219元/平"
小区中间位置好房，楼间距大，采光好,锦华中园 -锦绣,3室1厅 | 80.14平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 6个月以前发布,105,"13,103元/平"
岭秀滨城中园  带阳光房 带小院  精装修 房主诚心卖,岭秀滨城悦和中园 -生态新城,3室2厅 | 84.06平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,9人关注 / 5个月以前发布,195,"23,198元/平"
良运缤纷四季 一楼带院 精装修 拎包即住 居中位置,良运缤纷四季 -丽景,3室2厅 | 102.58平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,5人关注 / 31天以前发布,270,"26,321元/平"
业主诚心，急售好房 背靠童牛岭 南面大海,西雅图 -海富,2室2厅 | 97.29平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,108,"11,101元/平"
华润海中国十期海景房，楼层好，采光好，高档装修。,华润海中国十期 -华润海中国,3室2厅 | 126.71平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,51人关注 / 5个月以前发布,277,"21,861元/平"
电梯洋房精装修温泉入户看房方便,保亿丽景山 -金石滩,1室1厅 | 49.6平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,51.8,"10,444元/平"
南北通透通风好，落地窗采光好， 近车站 80 空中花园,东北名苑 -大纺,2室2厅 | 96.28平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,24人关注 / 4个月以前发布,176,"18,281元/平"
三室 2楼 南北通透 2005年小区,大有恬园 -凌水,3室2厅 | 141.55平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,297,"20,982元/平"
此房三室两厅，南北通透，户型优质，可塑造性强,中海天赋山二期 -绿波,3室1厅 | 111.85平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,41人关注 / 8个月以前发布,188,"16,809元/平"
【华润海中国蕞便宜的三室】南北通透精装修全明户型,华润海中国六期 -华润海中国,3室1厅 | 107.04平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,26人关注 / 7个月以前发布,145,"13,547元/平"
房子手续齐全，房主诚心卖，看房方便,金地自在城 -前关,3室1厅 | 113.13平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,6人关注 / 2个月以前发布,133,"11,757元/平"
瑞仕新上三室，小高中上楼层，不临街，拎包入住。,瑞仕尚城二期 -海富,3室2厅 | 106.79平米 | 东 南 北 | 精装 | 中楼层(共18层)  | 板楼,20人关注 / 9个月以前发布,136,"12,736元/平"
华润海中国二期高层位置好随时看房诚心出售,华润海中国二期 -华润海中国,3室1厅 | 115.75平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 1个月以前发布,160,"13,823元/平"
精装修，拎包入住，视野开阔无遮挡。看房方便。,万国宫馆二期 -红梅翠竹,3室1厅 | 150.53平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,17人关注 / 5个月以前发布,194,"12,888元/平"
此房南北通透楼层好、视野宽阔、精装修拎包即住,万科城市花园 -绿波,3室2厅 | 150.13平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,21人关注 / 6个月以前发布,272.8,"18,171元/平"
环馨山庄 三室两卫 框架房 南北通透 交通便利,环馨山庄 -山东路,3室1厅 | 79.26平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,12人关注 / 一年前发布,61,"7,697元/平"
亿达品质，龙湖物业“电梯洋房”有28平仓房。,亿达普罗旺斯二期 -普罗旺斯,3室2厅 | 160.6平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,17人关注 / 4个月以前发布,340,"21,171元/平"
店长推荐 带露台 海景房 户型塑造性比较强,红星海五期青屿蓝 -红星海,3室2厅 | 123.77平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,1人关注 / 1个月以前发布,167,"13,493元/平"
三楼没坡好房，近市场车站，南北通透,锦虹南园 -锦绣,2室1厅 | 82.39平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,99,"12,017元/平"
一楼南北 居住安静 有百平大院 空气清新 得房率高,麒麟西巷 -南山,2室1厅 | 91.36平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,14人关注 / 4个月以前发布,125,"13,683元/平"
保利西山林语 地铁2号线 清水现房,保利西山林语 -西山水库,3室1厅 | 104.9平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,7人关注 / 5个月以前发布,239.9,"22,870元/平"
精装修拎包入住，有钥匙看房方便。,红星海五期青屿蓝 -红星海,4室2厅 | 167.07平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,10人关注 / 5个月以前发布,190,"11,373元/平"
中山公园79 朝向好 位置好 近79 房主诚心出售,永平 -中山公园,3室1厅 | 100.6平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,210,"20,875元/平"
店长推荐+洋房+阳台在客厅+精装修,万科魅力之城 -魅力之城,3室2厅 | 89.67平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,28人关注 / 一年前发布,129,"14,387元/平"
红梅七中， 住宅手续，户型方正，采光好！交通便利！,蓝翎公寓 -安盛,3室1厅 | 97.42平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,54,"5,544元/平"
近万达，地铁口，格局设计合理，落地大窗，没怎么住过,因特摩尔 -高新园区,3室2厅 | 79.55平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,1人关注 / 1个月以前发布,149,"18,731元/平"
远洋风景2008年·框架落地窗房，，，，，，,远洋风景 -北京公园,2室2厅 | 94.26平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,6人关注 / 31天以前发布,207,"21,961元/平"
西山水库新小区人车分流电梯入户 南北通透精装入即住,易和熙园 -万科假日,2室2厅 | 76平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,30人关注 / 一年前发布,119,"15,658元/平"
万达商圈地铁沿线，四室装修保持好，总价低，改善居住,硅谷假日 -万达,4室2厅 | 130.96平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,65人关注 / 7个月以前发布,256,"19,548元/平"
万科溪之谷三期 3室1厅 南 北,万科溪之谷三期 -溪之谷,3室1厅 | 93.24平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,6人关注 / 2个月以前发布,109,"11,691元/平"
中冶蓝城三室精装修，电梯洋房 视野开阔，拎包入住,中冶蓝城C区 -生态新城,3室2厅 | 85.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,25人关注 / 一年前发布,130,"15,187元/平"
精装修三室，低楼层，适合任意人群居住,福佳新城 -前关,3室2厅 | 78.71平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,94.4,"11,994元/平"
林语家话 近地铁 品字三室 装修保持新 楼层好,林语家话 -促进路,3室2厅 | 111.68平米 | 北 南 | 精装 | 高楼层(共9层)  | 板楼,10人关注 / 3个月以前发布,306,"27,400元/平"
洋房社区 南北通透 品字户型 自住精装修  位置好,金地檀境 -前关,3室2厅 | 121.64平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,139人关注 / 一年前发布,198,"16,278元/平"
此房南北通透楼层好、视野宽阔、精装修拎包即住,万科城市花园 -绿波,3室2厅 | 150.13平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,21人关注 / 6个月以前发布,272.8,"18,171元/平"
金广东海岸新精装，视野好，五明户型，拎包入住。,金广东海岸 -华乐,3室2厅 | 127.72平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,7人关注 / 2个月以前发布,290,"22,706元/平"
南北通厅通透五明户型3室高层采光好能看海带大阳台,美林西岸西岸风景 -旅顺开发区,3室2厅 | 121.18平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,16人关注 / 一年前发布,50,"4,127元/平"
兰亭山水 精装修 可以拎包入住 看房方便 防水保温新做,兰亭山水 -星海人家商圈,2室2厅 | 71.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,52人关注 / 7个月以前发布,155,"21,737元/平"
保利西山林语 地铁2号线 清水现房,保利西山林语 -西山水库,3室1厅 | 104.9平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,7人关注 / 5个月以前发布,239.9,"22,870元/平"
中山公园79 朝向好 位置好 近79 房主诚心出售,永平 -中山公园,3室1厅 | 100.6平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,210,"20,875元/平"
华业一期前排，视野采光好，房主诚心出售,华业玫瑰东方 -和平广场,3室2厅 | 98.55平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 1个月以前发布,328,"33,283元/平"
精装修拎包入住，有钥匙看房方便。,红星海五期青屿蓝 -红星海,4室2厅 | 167.07平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,10人关注 / 5个月以前发布,190,"11,373元/平"
岭前街 砖混房 三室两厅83.53平 随时能看房,岭前街 -普兰店,3室2厅 | 83.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,9人关注 / 一年前发布,37,"4,430元/平"
三楼没坡好房，近市场车站，南北通透,锦虹南园 -锦绣,2室1厅 | 82.39平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,99,"12,017元/平"
近三期出入口，楼层高度适中，自住保持好,万科樱花园三期 -龙王塘,3室2厅 | 97.61平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,49人关注 / 一年前发布,132,"13,524元/平"
满五不唯一、南北通透、楼层好视野佳。,万岁公寓 -中山公园,3室1厅 | 151.51平米 | 南 北 | 简装 | 高楼层(共24层)  | 板楼,11人关注 / 4个月以前发布,209,"13,795元/平"
一楼南北 居住安静 有百平大院 空气清新 得房率高,麒麟西巷 -南山,2室1厅 | 91.36平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,14人关注 / 4个月以前发布,125,"13,683元/平"
此房是封闭小区 空气环境好 出行便利 楼层好 单价不高,阳光花园二期 -中南,3室1厅 | 123.1平米 | 东 南 西 北 | 简装 | 中楼层(共4层)  | 板楼,90人关注 / 一年前发布,179,"14,542元/平"
带车位，带露台，看房随时南北通厅通透,绿洲半岛二期 -海富,3室1厅 | 147.63平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,13人关注 / 6个月以前发布,124,"8,400元/平"
中国人民银行家属楼 质量好 电梯入户 海景房 大三室,嘉汇星海 -孙家沟,3室2厅 | 131.35平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,60人关注 / 4个月以前发布,279,"21,241元/平"
南北通厅，格局好，落地窗，视野宽阔，采光充足,秀月麒林 -秀月,3室2厅 | 129.08平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 板楼,13人关注 / 6个月以前发布,390,"30,214元/平"
此房满五唯一，楼层好，采光充足，配套设施齐全。,交通花园 -普兰店,3室2厅 | 101.74平米 | 南 北 | 简装 | 中楼层(共5层)  | 塔楼,6人关注 / 一年前发布,46,"4,522元/平"
三室两卫精装修，封闭小区采光足，地铁口 红旗十四,保利西山林语 -西山水库,3室1厅 | 104.9平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,244,"23,261元/平"
前关成熟商圈，南北通透，四室二厅一厨一卫清水洋房,金地檀境 -前关,4室2厅 | 130.51平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,64人关注 / 一年前发布,180,"13,793元/平"
经典两室南北通厅，南明厅，好楼层，有钥匙,泡崖四区 -泡崖四区,2室2厅 | 68.83平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,79,"11,478元/平"
锦泉源D区  三室两厅  南北朝向  装修 电梯洋房,锦泉源D4区 -泉水锦泉源,3室2厅 | 86.65平米 | 东 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 1个月以前发布,129.9,"14,992元/平"
5层顶电梯洋房 一梯一户 楼层好 原装修 保持好,万科翡翠公园 -生态新城,3室1厅 | 108.97平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,22人关注 / 3个月以前发布,199,"18,262元/平"
39 风景 中楼层 户型规矩方正 南北通透格局 近校舍,39中七七街 -三八南,2室1厅 | 103.17平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,9人关注 / 5个月以前发布,208,"20,161元/平"
华业一期前排，视野采光好，房主诚心出售,华业玫瑰东方 -和平广场,3室2厅 | 98.55平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 1个月以前发布,328,"33,283元/平"
精装修三室，低楼层，适合任意人群居住,福佳新城 -前关,3室2厅 | 78.71平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,94.4,"11,994元/平"
南北通厅通透五明户型3室高层采光好能看海带大阳台,美林西岸西岸风景 -旅顺开发区,3室2厅 | 121.18平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,16人关注 / 一年前发布,50,"4,127元/平"
中冶蓝城三室精装修，电梯洋房 视野开阔，拎包入住,中冶蓝城C区 -生态新城,3室2厅 | 85.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,25人关注 / 一年前发布,130,"15,187元/平"
中国人民银行家属楼 质量好 电梯入户 海景房 大三室,嘉汇星海 -孙家沟,3室2厅 | 131.35平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,60人关注 / 4个月以前发布,279,"21,241元/平"
万达商圈地铁沿线，四室装修保持好，总价低，改善居住,硅谷假日 -万达,4室2厅 | 130.96平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,65人关注 / 7个月以前发布,256,"19,548元/平"
万科魅力之城小区前排精装三室，近市场近车站,万科魅力之城 -魅力之城,3室2厅 | 89.94平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,14人关注 / 一年前发布,139.8,"15,544元/平"
清水房南北通透格局好，楼层好，楼层好，视野好,一方天鹅湖 -高城山,3室2厅 | 110.31平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,66,"5,984元/平"
店长推荐 视野宽阔 南北通厅 采光充足 位置好配套齐全,万科朗润园 -魅力之城,3室2厅 | 89.68平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,11人关注 / 7个月以前发布,132,"14,720元/平"
总监强烈推荐 价格很美丽的海湾城大三室，急售,大连海湾城一期 -华润海中国,3室2厅 | 137.38平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,84人关注 / 9个月以前发布,149.7,"10,897元/平"
34三室一厅，中间楼层，配套成熟,34中三元街 -唐山街,3室1厅 | 66.85平米 | 南 西 东 | 简装 | 中楼层(共4层)  | 板楼,47人关注 / 一年前发布,150,"22,439元/平"
洋房社区 南北通透 品字户型 自住精装修  位置好,金地檀境 -前关,3室2厅 | 121.64平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,139人关注 / 一年前发布,198,"16,278元/平"
近万达，地铁口，格局设计合理，落地大窗，没怎么住过,因特摩尔 -高新园区,3室2厅 | 79.55平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,1人关注 / 1个月以前发布,149,"18,731元/平"
悦丽四期好房！视野宽广海景房，格局规矩，南北通透。,悦丽海湾四期 -小平岛,3室2厅 | 125.86平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,8人关注 / 3个月以前发布,330,"26,220元/平"
近奥林匹克  地理位置好 商圈成熟 适宜居住  近医院,五四小区 -太原街,3室2厅 | 143.52平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,14人关注 / 5个月以前发布,215,"14,981元/平"
多得近60平 公园对·面 南北 东明厅有阳台室内有跃层,玉浓街 -泡崖八区,3室1厅 | 78.1平米 | 东 南 北 | 精装 | 高楼层(共6层)  | 板楼,30人关注 / 一年前发布,79,"10,116元/平"
远洋南向一室顶楼带跃层带露台房源精装修保持好诚心卖,远洋时代城一期 -高城山,1室1厅 | 62.66平米 | 南 | 精装 | 24层  | 板楼,4人关注 / 4个月以前发布,55,"8,778元/平"
【新上房源】 诚心出售 高楼层 保持干净 视野采光好,华润海中国一期 -华润海中国,3室2厅 | 140.67平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,24人关注 / 4个月以前发布,210,"14,929元/平"
跃层户型，实得104平，高得房率房主诚心卖，看房方便,金湾山城 -金湾新城,3室2厅 | 52.32平米 | 南 | 精装 | 17层  | 板楼,5人关注 / 1个月以前发布,58.8,"11,239元/平"
远洋假日叠拼别墅 位置好 天然氧吧 住家就是度假,远洋假日养生庄园 -金石滩,3室2厅 | 100.2平米 | 北 南 | 精装 | 中楼层(共4层)  | 板楼,27人关注 / 一年前发布,88,"8,783元/平"
店长推荐！示范区电梯洋房，保持好拎包入住,运达诺维溪谷一期 -生态新城,3室1厅 | 88.08平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,127,"14,419元/平"
小司推荐！墅品质，110平花园，动静分明,红星海五期岚谷 -红星海,2室1厅 | 80.38平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,59人关注 / 一年前发布,123,"15,303元/平"
店长推荐：南北通透，装修较佳，拎包入住，欢迎参观,鹏辉新世纪四期 -鹏辉,3室1厅 | 115.86平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,51人关注 / 一年前发布,203,"17,522元/平"
鹏辉八十满五唯一，采光充足，交通方便，拎包入住！,鹏辉新世纪三期北园 -鹏辉,3室2厅 | 122.54平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,10人关注 / 4个月以前发布,200,"16,322元/平"
精装保持好 基本没住 南北大三室 前后视野开阔,石葵秀景 -武昌街,3室2厅 | 126.33平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,84人关注 / 6个月以前发布,246,"19,473元/平"
此房满两年，前排，采光好，商圈配套齐全，交通方便，,乾豪新界 -金湾新城,3室1厅 | 89.96平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,18人关注 / 一年前发布,94,"10,450元/平"
鼎润府 框架三室 南北跃层 精装五明 带露台使用面积大,鼎新鼎润府 -机场,3室2厅 | 71.23平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,26人关注 / 11个月以前发布,165,"23,165元/平"
远洋假日叠拼别墅 位置好 天然氧吧 住家就是度假,远洋假日养生庄园 -金石滩,3室2厅 | 100.2平米 | 北 南 | 精装 | 中楼层(共4层)  | 板楼,27人关注 / 一年前发布,88,"8,783元/平"
全新好房 一天未住 次顶视野 采光开阔,万科翡翠公园 -生态新城,3室1厅 | 88.82平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,29人关注 / 10个月以前发布,132,"14,862元/平"
店长推荐 视野宽阔 南北通厅 采光充足 位置好配套齐全,万科朗润园 -魅力之城,3室2厅 | 89.68平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,11人关注 / 7个月以前发布,132,"14,720元/平"
体育场万科三室 精装修 万科物业 配套齐全,万科翡翠都会 -体育新城,3室2厅 | 96.03平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,3人关注 / 2个月以前发布,163,"16,974元/平"
青云街无坡，近地铁车站和市场，适合年轻人过度,捷信街 -青云街,2室2厅 | 71.63平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 8个月以前发布,66,"9,215元/平"
粮仓，中间楼层，精装品字格3室,大连港天下粮仓 -鹏辉,3室2厅 | 95.67平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,4人关注 / 3个月以前发布,237.8,"24,857元/平"
北园上跃，独立入户，中间户有车位。,三寰融创城北园 -生态新城,2室1厅 | 82.83平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 30天以前发布,115,"13,884元/平"
星海公园 二楼无坡 南北通透 两室房源,星海公园 -孙家沟,2室1厅 | 53.85平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 29天以前发布,85,"15,785元/平"
婚房精装 住了不到6个月去山东发展 诚心出售,金地自在城 -前关,2室1厅 | 88.14平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,2人关注 / 22天以前发布,104,"11,800元/平"
高新园区   一室一厅   可看海,广贤·梁园 -高新园区,1室1厅 | 47.87平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,3人关注 / 19天以前发布,68,"14,206元/平"
湾里东 2室1厅 南 北,湾里东 -金湾新城,2室1厅 | 69.15平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 19天以前发布,56,"8,099元/平"
优质业主 三阳暖房 南厅南卧 视野采光俱佳 电梯5楼,金色阳光家园 -泉水锦泉源,2室1厅 | 61.16平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 26天以前发布,95,"15,534元/平"
