标题,开发商,房子信息,发布信息,售价/万,单价
适合老年人居住。一楼带花园不潮湿,广信四季家园 -贵阳北站,3室1厅 | 90.6平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,58.8,"6,491元/平"
房子装修很好（长客厅户型）楼层视野各方面OK（满2）,中天甜蜜小镇2组团 -未来方舟,2室1厅 | 60平米 | 东南 | 精装 | 中楼层(共35层)  | 板塔结合,0人关注 / 7天以前发布,36,"6,000元/平"
带地暖，观山湖公园旁，产权清晰，无抵押,金元国际新城北区 -观山湖公园,3室2厅 | 135.43平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,138,"10,190元/平"
贵州省经济贸易委员会宿舍 4室2厅 东南,贵州省经济贸易委员会宿舍 -市北,4室2厅 | 72平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 12天以前发布,110,"15,278元/平"
此房户型方正 小区绿化面积高 低楼层适合老人居住,恒大中央广场 -高新区,3室1厅 | 96.97平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 13天以前发布,74,"7,632元/平"
主城区的别墅区永远不再批复，具无复制的优质性；,栖凤谷 -三桥,8室2厅 | 353.77平米 | 南 北 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,0人关注 / 1个月以前发布,256,"7,237元/平"
精装拎包入住 小高层住宅 户型方正实用 地铁口,蒙特卡尼 -三桥,3室1厅 | 135平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,1人关注 / 1个月以前发布,96,"7,112元/平"
万科新都荟+地铁口+精装修带地暖+价格低,万科新都荟 -贵阳普天,4室2厅 | 142.62平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,9人关注 / 3个月以前发布,145,"10,167元/平"
华润悦府毛坯跃层户型方正品质盘,华润悦府H区 -奥体中心,4室2厅 | 163平米 | 南 | 毛坯 | 高楼层(共46层)  | 塔楼,16人关注 / 7个月以前发布,238,"14,602元/平"
悦府少之又少的景观三房，房东急卖带车位,华润悦府F区 -奥体中心,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,178,"13,907元/平"
万花城精装修家电家具齐全，拎包入住，中间楼层,贵阳宇虹万花城 -阅山湖,3室2厅 | 121.01平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,17人关注 / 5个月以前发布,101,"8,347元/平"
房子精装修 新房 银行没有尾款看房子方便,恒大城 -南湖,3室2厅 | 126.44平米 | 东 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 2个月以前发布,79.2,"6,264元/平"
花果园X区 2室1厅 南 北,花果园X区 -花果园,2室1厅 | 77平米 | 南 北 | 简装 | 低楼层(共44层)  | 塔楼,0人关注 / 9天以前发布,45.8,"5,949元/平"
地铁口两房，急售，价格可谈，中间楼层,冶金路5号 -油榨街,2室2厅 | 72平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 15天以前发布,43,"5,973元/平"
房子简单装修，带露台，采光好。可用空间大。,中天甜蜜小镇南组团 -未来方舟,2室1厅 | 59.61平米 | 南 | 简装 | 低楼层(共33层)  | 暂无数据,0人关注 / 11天以前发布,27.5,"4,614元/平"
银通花园单价6700的毛坯2房 产权清晰方便看房,银通花园 -市北,2室1厅 | 70.92平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 11天以前发布,48,"6,769元/平"
渔安新城E组团 2室1厅 东南,渔安新城E组团 -师大,2室1厅 | 60.62平米 | 东南 | 精装 | 低楼层(共35层)  | 板楼,1人关注 / 15天以前发布,38.8,"6,401元/平"
地铁口楼上中科嘉园电梯房精装两室好停车,中国科学院地球化学研究所 -钻石广场,2室2厅 | 100平米 | 东南 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 9天以前发布,156,"15,600元/平"
花果园X区 2室1厅 南 北,花果园X区 -花果园,2室1厅 | 77平米 | 南 北 | 简装 | 低楼层(共44层)  | 塔楼,0人关注 / 9天以前发布,45.8,"5,949元/平"
宜家尚城三号线旁精装无尾款，诚心出售看房方便,宜家尚城 -小河转盘,2室2厅 | 85.54平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 9天以前发布,49.8,"5,822元/平"
此房满五 头桥海马冲口位置 近地铁 面朝东南 采光足。,头桥路35号 -黔灵山,2室1厅 | 65.77平米 | 南 | 简装 | 中楼层(共8层)  | 平房,1人关注 / 11天以前发布,39,"5,930元/平"
东山怡景苑 2室1厅 东,东山怡景苑 -师大,2室1厅 | 70.01平米 | 东 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 10天以前发布,36.8,"5,257元/平"
龙门大厦 中装3室改2套独立住房 好租、好住皆宜,龙门大厦 -大西门,3室2厅 | 113.31平米 | 南 | 简装 | 中楼层(共25层)  | 板塔结合,7人关注 / 一年前发布,63,"5,560元/平"
观山湖公园全景观房 精装修三室二厅二卫出售,金元国际新城北区 -观山湖公园,3室2厅 | 143平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,193,"13,497元/平"
精装修，拎包入住，房东随时可签约，产权清晰在手,腾龙湾 -十里河滩,2室2厅 | 82.27平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,10人关注 / 5个月以前发布,51.8,"6,297元/平"
花果园一期地铁口精装2房拎包入住 产权满二,花果园一期 -花果园,2室1厅 | 70.36平米 | 东 | 精装 | 中楼层(共48层)  | 塔楼,14人关注 / 5个月以前发布,53.97,"7,671元/平"
浣纱路49号 1室1厅 南,浣纱路49号 -花果园,1室1厅 | 42.03平米 | 南 | 简装 | 中楼层(共8层)  | 平房,4人关注 / 2个月以前发布,21,"4,997元/平"
地铁口电梯房，精装修，采光充足。配套设施齐全生活方,金田家园 -振华广场,3室2厅 | 113平米 | 东 东南 | 精装 | 低楼层(共10层)  | 板塔结合,0人关注 / 3个月以前发布,72,"6,372元/平"
此房满五唯一，产权清晰，采光通风佳，精装修关门卖。,银通山庄鸿禧园 -市北,2室2厅 | 87.83平米 | 东南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 30天以前发布,62,"7,060元/平"
满5年、关门出售豪hua家具，高楼层，视野开阔,碧潭园D区 -新世界,4室2厅 | 126.15平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,152,"12,050元/平"
山水黔城，九组团精装两房 带入户花园,山水黔城九组团 -小河山水黔城,2室2厅 | 92.54平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 31天以前发布,67.3,"7,273元/平"
兰花广场现代精装小两室，业主急售,花果园J区 -花果园,2室1厅 | 60.2平米 | 东南 | 精装 | 低楼层(共46层)  | 塔楼,2人关注 / 1个月以前发布,37.5,"6,230元/平"
龙泉苑一室 适合单身人士 户型方正 两梯四户,世纪城龙泉苑东区 -世纪城,1室1厅 | 61.25平米 | 东南 | 精装 | 中楼层(共30层)  | 塔楼,3人关注 / 1个月以前发布,48,"7,837元/平"
花溪大道北段，汽配城旁，小户型，间间采光,花溪大道北段410号 -太慈桥,2室2厅 | 77.46平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,41,"5,294元/平"
小河清水江西工厂步梯一楼出行方便两房可当三房用,清水江生活小区（西工厂家属区） -小河浦江路,2室1厅 | 63.65平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,42,"6,599元/平"
粮食局宿舍三室两厅一厨一卫无公摊,贵乌中路229号楼 -市北,3室2厅 | 105.74平米 | 南 北 | 简装 | 中楼层(共8层)  | 塔楼,2人关注 / 3个月以前发布,65,"6,148元/平"
诚心出售，户型方正，正规三室两厅两卫，采光明亮,恒大名都 -三桥,3室2厅 | 124.26平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 1个月以前发布,79.9,"6,431元/平"
花园洋房，芳草地50米，房东诚心出售，肆房,未来方舟C2组团 -未来方舟,3室2厅 | 136平米 | 东南 | 毛坯 | 中楼层(共7层)  | 暂无数据,6人关注 / 5个月以前发布,128,"9,412元/平"
房子中间楼层 采光通风好 三房两卫 房子精装修,绿地伊顿公馆 -南湖,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,67,"5,930元/平"
未来方舟H3组团 3室2厅 东南,未来方舟H3组团 -未来方舟,3室2厅 | 105平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,95,"9,048元/平"
精装3房，业主保养很好，直接拎包入住。,未来方舟H1组团 -未来方舟,3室2厅 | 127.8平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,2人关注 / 4个月以前发布,110,"8,608元/平"
绿苑小区 天源居精装大房  带家具家电 业主诚售,绿苑小区天源居 -望城坡,4室2厅 | 132.73平米 | 东 东南 | 精装 | 中楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,75,"5,651元/平"
诚心出售 看房方便 户型方正 采光好 空间大,万科城E区 -贵阳普天,3室2厅 | 90.45平米 | 北 | 精装 | 低楼层(共35层)  | 板塔结合,2人关注 / 4个月以前发布,72.8,"8,049元/平"
中天宅吉碧苑三室一厅的底层的好房出售,中天宅吉碧苑 -市北,3室1厅 | 136.7平米 | 东南 | 简装 | 低楼层(共30层)  | 塔楼,11人关注 / 一年前发布,118,"8,633元/平"
房子2改4的户型 使用面积大 适合刚需客户,中铁逸都国际A区 -奥体中心,4室2厅 | 93平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,7人关注 / 3个月以前发布,83,"8,925元/平"
优质位置，配套齐全，交通出行方便,睿力上城 -世纪城,3室1厅 | 115平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,36人关注 / 11个月以前发布,140,"12,174元/平"
一鸣·宽城国际 2室2厅 东南,一鸣·宽城国际 -十里河滩,2室2厅 | 90.04平米 | 东南 | 毛坯 | 低楼层(共35层)  | 塔楼,1人关注 / 11个月以前发布,45,"4,998元/平"
优质位置，配套齐全，交通出行方便,睿力上城 -世纪城,3室1厅 | 115平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,36人关注 / 11个月以前发布,140,"12,174元/平"
地铁口3号线云岩万达广场商圈城市魔方精装修3室未入住,城市魔方 -中天花园,3室2厅 | 70.81平米 | 西南 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 1个月以前发布,43,"6,073元/平"
九樾府全新精装修带地暖诚心出售，凤凰楼层，拎包入住,融创九樾府B区 -高新区,3室2厅 | 114.89平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,17人关注 / 6个月以前发布,139,"12,099元/平"
松山路57号，业主诚心出售，无抵押，,松山路57号 -花果园,2室1厅 | 64.55平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 4个月以前发布,37,"5,732元/平"
客厅看南明河，风景好，视野开阔,贵钢团坡桥小区 -油榨街,3室2厅 | 92.62平米 | 东 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,55.8,"6,025元/平"
碧桂园，准新房！房子急售，业主好沟通,碧桂园贵阳一号 -十里河滩,4室2厅 | 127.55平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,3人关注 / 5个月以前发布,85,"6,665元/平"
急售 花溪区 近地铁电梯房 采光好。,五七0八厂安置小区 -花溪大学城,3室2厅 | 110.36平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,1人关注 / 4个月以前发布,45,"4,078元/平"
恒大雅苑精装修满两年低税关门卖,恒大雅苑 -中天花园,3室2厅 | 123.23平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,75,"6,087元/平"
精装三房带大阳台，户型方正，通风好，采光好,万科富中翡翠传奇森林公园 -市北,3室2厅 | 115.81平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,6人关注 / 一年前发布,130,"11,226元/平"
中天金融城二期集中供暖房子是全新精装修,中天雅实轩 -会展城,2室1厅 | 95.03平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,11人关注 / 6个月以前发布,102,"10,734元/平"
一线河景房，客厅带全景落地窗，户型方正宽阔,中天未来方舟D2组团 -未来方舟,6室2厅 | 218.6平米 | 南 | 毛坯 | 高楼层(共42层)  | 板楼,1人关注 / 6个月以前发布,216.8,"9,918元/平"
公园门口，环境好，产权在手，已满2年，业主诚心出售,花果园S1区 -太慈桥,3室2厅 | 126.94平米 | 西南 | 毛坯 | 高楼层(共44层)  | 塔楼,4人关注 / 5个月以前发布,73.5,"5,791元/平"
双地铁口 纯毛坯三房 可按揭 房东诚心出售,中国普天中央国际·书香里 -贵阳普天,3室2厅 | 102.87平米 | 东南 | 毛坯 | 中楼层(共48层)  | 板楼,0人关注 / 2个月以前发布,73,"7,097元/平"
畔山丽苑3-1-1-1 115.07m² 100 万,畔山丽苑 -望城坡,3室2厅 | 115.07平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,100,"8,691元/平"
龚北路清水房两室，低楼层，户型方正,龚北路 -大山洞,2室1厅 | 58平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 3个月以前发布,24,"4,138元/平"
风雨桥旁  精装横厅大三房两卫,花果园R1区 -花果园,3室2厅 | 124.24平米 | 东南 | 精装 | 低楼层(共39层)  | 塔楼,17人关注 / 4个月以前发布,75,"6,037元/平"
带大阳台，看小湾河，精装修带地暖大阳台，没入住过,万科·麓山 -三桥,4室2厅 | 115平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,23人关注 / 一年前发布,128,"11,131元/平"
复式楼    保养好           视野好  南北通透,南山高地 -小河浦江路,3室2厅 | 120.1平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,92,"7,661元/平"
房子满五唯一 没有抵押 可以贷款 低总价两房,电建一公司四方河小区 -小河转盘,2室2厅 | 68.61平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,28.88,"4,210元/平"
运营官方推荐，全新装修带地暖，品牌家电,中天月华轩 -会展城,3室1厅 | 130平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,140,"10,770元/平"
出售保利·紫薇郡四室二厅2卫精装经典好房 136平,保利·紫薇郡 -振华广场,4室2厅 | 136.02平米 | 东南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,98,"7,205元/平"
森林公园毛坯大两房 朝南 钥匙在手,金融城二期A9组团四达轩 -会展城,2室2厅 | 97平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,69.5,"7,165元/平"
观山湖公园边 远大生态三房 通透户型 业主诚心出售,远大生态风景 -高新区,4室2厅 | 139.94平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,73人关注 / 8个月以前发布,103,"7,361元/平"
万科在售三房，房东急售 ，户型方正好用,万科富中翡翠传奇森林公园 -市北,3室2厅 | 92平米 | 南 北 东北 | 精装 | 高楼层(共32层)  | 暂无数据,6人关注 / 4个月以前发布,92,"10,000元/平"
观山湖区金融城旁，融创九樾府品质好房,融创九樾府B区 -高新区,3室2厅 | 116.48平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,17人关注 / 一年前发布,111.8,"9,599元/平"
全新装修未入住 楼盘位于黔灵山路 交通很便利,恒大滨河左岸 -高新区,3室2厅 | 131.3平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,4人关注 / 4个月以前发布,115,"8,759元/平"
未来方舟F10组团 毛坯3房 庭院式小区 朝中庭 楼层佳,中天未来方舟F10组团盛棠 -大营坡,3室2厅 | 113.05平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,83,"7,342元/平"
风雨桥旁精装三房 业主急售 看房方便,花果园R1区 -花果园,3室2厅 | 123.27平米 | 南 北 | 精装 | 中楼层(共43层)  | 塔楼,1人关注 / 8个月以前发布,93,"7,545元/平"
凯宾斯基旁林城大厦温馨两房可贷款,林城大厦 -钻石广场,2室1厅 | 107平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,13人关注 / 一年前发布,89,"8,318元/平"
乐湾国际山语湖花园4室2厅3卫，户型方正，采光好,山语湖花园 -乐湾国际,4室2厅 | 142.8平米 | 西南 | 毛坯 | 高楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,105,"7,353元/平"
精装带地暖  中间楼层  产权满两年  诚心出售,观府壹号二组团 -新世界,3室1厅 | 91平米 | 西南 | 简装 | 中楼层(共32层)  | 板塔结合,5人关注 / 6个月以前发布,90,"9,891元/平"
金华园  北师大 三房朝南 视野开阔 可看湖,金华园南院C区 -观山湖公园,3室2厅 | 137平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,42人关注 / 一年前发布,237,"17,300元/平"
凯宾斯基旁林城大厦温馨两房可贷款,林城大厦 -钻石广场,2室1厅 | 107平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,13人关注 / 一年前发布,89,"8,318元/平"
乐湾国际山语湖花园4室2厅3卫，户型方正，采光好,山语湖花园 -乐湾国际,4室2厅 | 142.8平米 | 西南 | 毛坯 | 高楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,105,"7,353元/平"
风雨桥旁精装三房 业主急售 看房方便,花果园R1区 -花果园,3室2厅 | 123.27平米 | 南 北 | 精装 | 中楼层(共43层)  | 塔楼,1人关注 / 8个月以前发布,93,"7,545元/平"
急售地铁口正规三房两卫 楼层低 出入方便 生活便,金世旗楠苑 -花溪公园,3室2厅 | 136.27平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,73,"5,358元/平"
省医旁毛坯三房  国企房开 小区环境优雅   配套齐全,观府壹号三组团 -新世界,3室2厅 | 87.15平米 | 南 西南 | 毛坯 | 低楼层(共18层)  | 板塔结合,3人关注 / 3个月以前发布,82,"9,410元/平"
恒大精装小三房中间楼层，采光好通风好,恒大金阳新世界观澜 -新世界,3室2厅 | 97.71平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,94,"9,621元/平"
新世界地铁口小三房看房方便业主诚心出售,恒大金阳新世界观澜 -新世界,3室2厅 | 98平米 | 东 东南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,99,"10,103元/平"
熙山郡中间楼层南北通透得房率高楼层视野好房东急售,熙山郡 -贵阳北站,3室2厅 | 125.32平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,11人关注 / 一年前发布,88.3,"7,046元/平"
业主急售，急售，急售，精装修，看房方便，,朝阳洞路123号 -火车站,3室1厅 | 70平米 | 东 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,48.8,"6,972元/平"
龚家寨低楼层简装两房，户型方正满五税低,龚北路 -大山洞,2室1厅 | 51.87平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,2人关注 / 1个月以前发布,26.5,"5,109元/平"
有车位 满两年 双地铁 急售中 看房方便,美的林城时代北区 -会展城,2室2厅 | 92.57平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 1个月以前发布,105,"11,343元/平"
急卖三桥星辰国际 112平精装修关门卖3室2厅,星宸国际 -三桥,3室2厅 | 112.65平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,1人关注 / 3个月以前发布,73,"6,481元/平"
业主多余房源，变现卖房，产权清晰无争议,花果园U区 -花果园,3室2厅 | 100平米 | 东 东南 | 精装 | 中楼层(共46层)  | 塔楼,17人关注 / 5个月以前发布,60.5,"6,050元/平"
花果园A南区地铁口 实得面积80P 配套齐全,花果园A南区 -花果园,2室1厅 | 67.4平米 | 东南 | 精装 | 中楼层(共31层)  | 板楼,5人关注 / 4个月以前发布,52.5,"7,790元/平"
万科经典小三房房开装修  带10平露台,万科亲爱的 -小河大都会,3室1厅 | 75.11平米 | 东南 | 精装 | 低楼层(共31层)  | 塔楼,1人关注 / 1个月以前发布,56.8,"7,563元/平"
立恒花园 3室2厅 南,立恒花园 -火车站,3室2厅 | 95.06平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,54,"5,681元/平"
（河景房）龙锦苑三房带车位 中间楼层 看房方便,龙锦苑 -世纪城,3室2厅 | 117平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,82,"7,009元/平"
优山美诗电梯三房视野开阔 满二 日报社与未来方舟之间,优山美诗 -师大,3室1厅 | 70.9平米 | 东 | 简装 | 中楼层(共18层)  | 板楼,4人关注 / 1个月以前发布,43,"6,065元/平"
乐湾国际依山云墅高楼层4室2卫，视野开阔，采光好,乐湾国际.依山云墅 -乐湾国际,4室2厅 | 138.19平米 | 西南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,88.8,"6,426元/平"
南明区新华路石岭街4楼精装大3室2厅户型正采光好,石岭街 -钻石广场,3室2厅 | 100.31平米 | 东南 | 精装 | 中楼层(共9层)  | 板塔结合,3人关注 / 3个月以前发布,81.8,"8,155元/平"
油榨街大3房带双卫楼层好步梯房可以贷款看中可以谈,骐宝苑 -油榨街,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,4人关注 / 11个月以前发布,73.5,"6,125元/平"
熙山郡毛坯三室两厅 产权已办 户型方正好用,熙山郡 -贵阳北站,3室2厅 | 108平米 | 西南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 11个月以前发布,78,"7,223元/平"
地铁口的公园房155平全款只要120万，业主诚心出售,南湖里 -南湖,3室2厅 | 155平米 | 东南 | 毛坯 | 低楼层(共23层)  | 板塔结合,19人关注 / 5个月以前发布,111,"7,162元/平"
此方子户型端正，精装修，共两层适合人多居住。,保利春天大道 -保利温泉,3室2厅 | 197平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,122,"6,193元/平"
花果园L区 精装大三房 产权满二 价格可谈 可按揭,花果园L1区 -花果园,3室2厅 | 125.5平米 | 东南 | 精装 | 高楼层(共44层)  | 塔楼,0人关注 / 1个月以前发布,82,"6,534元/平"
龙慧苑，单价低，毛坯，坐北朝南大三房,龙慧苑 -世纪城,3室2厅 | 130.45平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,63人关注 / 5个月以前发布,85,"6,516元/平"
满五 唯一 观景房 价格优美 户型方正 产权清晰,龙晖苑 -世纪城,2室2厅 | 88.91平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,2人关注 / 1个月以前发布,64,"7,199元/平"
保利温泉新城4期精装三房两卫 产权满两年 横厅设计,保利温泉新城四期 -保利温泉,3室1厅 | 116.29平米 | 南 | 简装 | 高楼层(共26层)  | 塔楼,7人关注 / 8个月以前发布,67.5,"5,805元/平"
未来方舟一线河景大平层 视野开阔，成功人士住房标配,未来方舟D18组团 -未来方舟,5室2厅 | 212.77平米 | 东南 | 毛坯 | 高楼层(共23层)  | 板楼,13人关注 / 5个月以前发布,180,"8,460元/平"
正规两房，户型方正，满五不唯一,泰安巷38号 -二戈寨,3室1厅 | 55.23平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,32人关注 / 一年前发布,21,"3,803元/平"
乐湾国际依山云墅高楼层4室2卫，视野开阔，采光好,乐湾国际.依山云墅 -乐湾国际,4室2厅 | 138.19平米 | 西南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,88.8,"6,426元/平"
万科经典小三房房开装修  带10平露台,万科亲爱的 -小河大都会,3室1厅 | 75.11平米 | 东南 | 精装 | 低楼层(共31层)  | 塔楼,1人关注 / 1个月以前发布,56.8,"7,563元/平"
森林之家，大自然空气氧吧，你的不二选择,森林之家 -油榨街,3室2厅 | 110平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,15人关注 / 一年前发布,50,"4,546元/平"
立恒花园 3室2厅 南,立恒花园 -火车站,3室2厅 | 95.06平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,54,"5,681元/平"
油榨街大3房带双卫楼层好步梯房可以贷款看中可以谈,骐宝苑 -油榨街,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,4人关注 / 11个月以前发布,73.5,"6,125元/平"
花果园V区 贵阳街旁 楼层好 采光好,花果园V区 -花果园,3室2厅 | 87.34平米 | 东南 南 | 精装 | 中楼层(共44层)  | 板塔结合,0人关注 / 1个月以前发布,60,"6,870元/平"
出售：宝山北路警苑社区，地铁口房源，地段好方便出行,警苑社区 -蟠桃宫,3室1厅 | 67.3平米 | 东南 | 简装 | 中楼层(共4层)  | 板塔结合,3人关注 / 3个月以前发布,41.2,"6,122元/平"
地铁口的公园房155平全款只要120万，业主诚心出售,南湖里 -南湖,3室2厅 | 155平米 | 东南 | 毛坯 | 低楼层(共23层)  | 板塔结合,19人关注 / 5个月以前发布,111,"7,162元/平"
此方子户型端正，精装修，共两层适合人多居住。,保利春天大道 -保利温泉,3室2厅 | 197平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,122,"6,193元/平"
花溪新城位置，精装房，采光好通风好,美的国宾府 -花溪公园,3室2厅 | 119.4平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 5个月以前发布,99.5,"8,334元/平"
花果园A南区地铁口 实得面积80P 配套齐全,花果园A南区 -花果园,2室1厅 | 67.4平米 | 东南 | 精装 | 中楼层(共31层)  | 板楼,5人关注 / 4个月以前发布,52.5,"7,790元/平"
优山美诗电梯三房视野开阔 满二 日报社与未来方舟之间,优山美诗 -师大,3室1厅 | 70.9平米 | 东 | 简装 | 中楼层(共18层)  | 板楼,4人关注 / 1个月以前发布,43,"6,065元/平"
7652元一平米万科公园传奇三房改四房电梯房,万科公园传奇 -市北,4室2厅 | 129.39平米 | 东 | 毛坯 | 中楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,99,"7,652元/平"
兴隆城市花园，精装三室，步梯三楼,兴隆城市花园 -小河山水黔城,3室2厅 | 118.02平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,71.8,"6,084元/平"
万科翡翠系精装修带地暖，可直接入住,万科翡翠公园 -阅山湖,4室2厅 | 128.39平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,7人关注 / 3个月以前发布,136,"10,593元/平"
中铁逸都精装2改3小两房，采光视野都不错,中铁逸都国际B区 -奥体中心,2室2厅 | 77平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合,2人关注 / 3个月以前发布,69.8,"9,065元/平"
M区雅致精装欧式风格，装修成本25万＋,花果园M区 -花果园,3室2厅 | 88.8平米 | 东南 | 精装 | 高楼层(共45层)  | 塔楼,3人关注 / 3个月以前发布,67.8,"7,636元/平"
房子中等装修 总价低 低楼层 出行方便,龙贤苑 -世纪城,2室2厅 | 89.5平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 8个月以前发布,66,"7,375元/平"
花果园L区 精装大三房 产权满二 价格可谈 可按揭,花果园L1区 -花果园,3室2厅 | 125.5平米 | 东南 | 精装 | 高楼层(共44层)  | 塔楼,0人关注 / 1个月以前发布,82,"6,534元/平"
观府壹号4室花费50万装修带地暖产权清晰无户口视野好,观府壹号二组团 -新世界,4室2厅 | 142.99平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 1个月以前发布,146,"10,211元/平"
