标题,开发商,房子信息,发布信息,售价/万,单价
清江嘉园 4室2厅 南,清江嘉园 -钱清,4室2厅 | 188.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,355,"18,834元/平"
头排洋房无遮挡，简装修，有意向先看房再谈价格！,光明海樾府东区 -镜湖,3室2厅 | 119.44平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,265,"22,187元/平"
金地四期  全新毛坯   中间楼层  诚心出售,金地芳草地 -柯西,3室2厅 | 90.56平米 | 东南 南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,175,"19,325元/平"
房源真实在售，价格相对实惠，看房提前联系,金色家園 -上虞城南,3室1厅 | 86.89平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,188,"21,637元/平"
龙洲花园精装两房朝南，4楼采光好诚心出售！,龙洲花园 -迪荡,2室1厅 | 66.69平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 9个月以前发布,120,"17,994元/平"
采光好，两室，精装修.适合老年人居住养老,凤西路 -老城区,2室1厅 | 30.66平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,5人关注 / 3个月以前发布,48.8,"15,917元/平"
亲亲家园，多层，楼道干净，楼层好，采光充足，大三房,亲亲家园南区 -斗门,3室1厅 | 90.24平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,148,"16,401元/平"
小区幽静 出行方便 公园多 环境好靠河边,罗门西村 -绍兴市区,2室2厅 | 52.5平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,130,"24,762元/平"
望湖三房两卫 东边套 带车棚 诚心卖,望湖花园南区 -柯桥市区,3室2厅 | 106.82平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板塔结合,16人关注 / 8个月以前发布,141,"13,200元/平"
柯西银都水岸，大双阳台好房，全新毛坯，楼层佳,银都水岸 -柯西,3室1厅 | 118平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 16天以前发布,196,"16,611元/平"
老城区 交通方便 采光好 两房 精装修  满两年,育新弄 -老城区,2室1厅 | 55平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,65.8,"11,964元/平"
边套采光好  全新毛坯   中小户型 户型方正 视野开阔,恒宇锦园 -柯西,3室2厅 | 122.61平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,6人关注 / 一年前发布,268,"21,858元/平"
全新小区，环境优美，户型方正，精装修拎包入住,永利天桥府 -杨汛桥,3室2厅 | 122.7平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,179,"14,589元/平"
房子户型方正，看房方便，房东诚意出售,金通黄金海岸 -城北新区,3室2厅 | 89.99平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,195,"21,670元/平"
楼层阳光充足，采光好，视野开阔！看房方便,振兴新村 -开发区,3室2厅 | 84.52平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,115,"13,607元/平"
诚售华城新天地二期，中高层视野开阔，毛坯+产权车位,华城新天地 -诸暨城西,3室1厅 | 120.63平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 23天以前发布,173,"14,342元/平"
房东诚心出售，可小刀看房电联。,中南新悦府 -诸暨城区（老）,3室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 29天以前发布,166,"15,515元/平"
诚心出售，精装修，边套房，采光好。。。。。。。。。,双桥新村 -开发区,3室1厅 | 93平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,126.8,"13,635元/平"
鉴水人家北区，次新房，楼层佳，户型好，诚意卖,鉴水人家北区 -柯岩,3室2厅 | 115平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 27天以前发布,155,"13,479元/平"
东边套 带车位 采光视线很好，房东诚心出售,华城四季花园 -诸暨城西,3室2厅 | 109平米 | 南 | 简装 | 高楼层(共16层)  | 暂无数据,0人关注 / 19天以前发布,164,"15,046元/平"
碧水苑西区  中间楼层   楼梯房  精装修1年左右,碧水苑西区 -柯东,2室2厅 | 92.66平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,155,"16,728元/平"
前梅商厦 3室2厅 南,前梅商厦 -钱清,3室2厅 | 89.91平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 23天以前发布,135,"15,016元/平"
出售碧桂园精装修，户型方正，全屋定制,碧桂园澜泊湾 -嵊州城南,3室2厅 | 94平米 | 南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 25天以前发布,125,"13,298元/平"
金地格林三室大房  自住精装修 满五唯一 诚心出售,金地·格林自在城三期 -柯西,3室2厅 | 98.34平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 27天以前发布,195,"19,830元/平"
城北盛丰新村中间楼层，满五唯一，自住装修保养好,百官盛丰新村 -上虞城北,2室1厅 | 70.67平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,128,"18,113元/平"
锦泽苑 2室2厅 南,锦泽苑 -上虞城南,2室2厅 | 112.58平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,98,"8,705元/平"
满五唯一，楼层好，适合居住.........,双桥新村 -开发区,3室2厅 | 84.16平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,112.8,"13,404元/平"
文化新村北区，大面积.............,文化新村北区 -老城区,3室2厅 | 142平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,148,"10,423元/平"
精装三室东边套，前后无遮挡，通风效果好，采光无遮挡,中泽嘉园 -柯桥市区,3室2厅 | 139平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,283,"20,360元/平"
有车位，诚心出售，随时可以看房,谷丰东城府 -诸暨城南,4室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 7天以前发布,169,"14,569元/平"
此房楼层好，视野开阔采光好，小区环境优美,宝华和天下 -开发区,4室2厅 | 142.36平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,14人关注 / 一年前发布,350,"24,586元/平"
亚厦风和苑，满五唯一低楼层精装修，诚心出售。,亚厦风和苑 -上虞城北,3室2厅 | 93.03平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,175,"18,812元/平"
户型好格局方正.采光好.有免费停车位......,梁江家苑 -上虞城北,3室2厅 | 99平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,200,"20,203元/平"
梁江家苑 小户型66平 自住装修 诚心出售,梁江家苑 -上虞城北,2室1厅 | 66平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,6人关注 / 4个月以前发布,152,"23,031元/平"
梁江家苑 小户型66平 自住装修 诚心出售,梁江家苑 -上虞城北,2室1厅 | 66平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,6人关注 / 4个月以前发布,152,"23,031元/平"
金湖湾精装2室，楼层好，朝南，诚心出售，看房方便,金湖湾小区 -斗门,2室1厅 | 62.72平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 3个月以前发布,42,"6,697元/平"
现浇房，采光充足，交通便利，生活方便,建开花园南区 -开发区,3室2厅 | 117.02平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,149.8,"12,802元/平"
此房精装修 买来即可自住 小区环境优美 交通便利,丽湖小区 -嵊州城南,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,128,"12,800元/平"
楼层佳，可直接拎包入住，改善教育和居住环境,运河人家•会龙坊 -城北,3室2厅 | 104.35平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,230,"22,042元/平"
格局户型好，楼层位置好，视野宽阔，采光好，,天一小区 -斗门,3室2厅 | 146.49平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,150,"10,240元/平"
华秦铂湾 2室1厅 南,华秦铂湾 -斗门,2室1厅 | 68.07平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,3人关注 / 6个月以前发布,130,"19,098元/平"
此房为电梯房，配套设施齐全交通便利户型方正楼层好,解放街 -老城区,3室2厅 | 81.9平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,10人关注 / 3个月以前发布,98,"11,966元/平"
东边套，带车位，高铁站500米明德方便，充满时尚气息,华城四季花园 -诸暨城西,3室2厅 | 109平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,172,"15,780元/平"
蠡湖新村 3室2厅 南,蠡湖新村 -诸暨城区（老）,3室2厅 | 52平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 9天以前发布,83,"15,962元/平"
中间楼层，双阳台，精装修，房东诚售。,玉山公馆 -嵊州城南,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 11天以前发布,104.8,"11,776元/平"
袍江次新洋房边套中上楼层品质精装,绍兴艺境 -斗门,3室2厅 | 87.24平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,177,"20,289元/平"
东周小区房子满5年税费低楼层好,东周小区 -柯西,3室2厅 | 111.08平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,166,"14,945元/平"
天香南园中楼层，三房二厅二卫，房东诚心出售,卧龙天香南园 -开发区,3室2厅 | 104.58平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,173,"16,543元/平"
华城四季花园 3室2厅 南,华城四季花园 -诸暨城西,3室2厅 | 90平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 12天以前发布,132,"14,667元/平"
华联新城华府 3室2厅 南,华联新城华府 -诸暨店口镇,3室2厅 | 92平米 | 南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 7天以前发布,92,"10,000元/平"
大学城 东边套 大三房 带40方大露台 带车棚 诚心卖,镜湖莲庄 -东浦,3室2厅 | 138.57平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,192,"13,856元/平"
碧水苑满五唯一 精装修保养好 有双阳台储物间车棚,碧水苑东区 -柯东,4室2厅 | 200.42平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,200,"9,980元/平"
中海世纪公馆精装3房，采光无遮挡，单价低，,中海·世纪公館 -斗门,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,16人关注 / 9个月以前发布,145,"14,949元/平"
天香南园中间楼层，视野好楼层好，房东诚心出售,卧龙天香南园 -开发区,3室2厅 | 133.33平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,200,"15,001元/平"
西横河三区   中高楼   房东诚心出售,西横河新村三区 -老城区,3室1厅 | 71平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,134.8,"18,986元/平"
龙湾府  楼层好 湖景房  看房方便,龙湾府 -柯西,3室2厅 | 92.46平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,13人关注 / 3个月以前发布,185,"20,009元/平"
：此房满二，格局好，户型好，楼层好，,华锦锦园 -城西,4室2厅 | 136平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 9天以前发布,248,"18,236元/平"
房东自住 精装修 诚心出售 看房方便,龙湖·原著西苑 -柯西,3室2厅 | 97.73平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,183,"18,726元/平"
城南新村 自住精装 地铁口 生活设施齐全 有车库阳光好,城南新村北区 -城南,3室1厅 | 94.81平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,150,"15,822元/平"
楼层好采光好两房朝南满五唯一诚心出售价格好说,东昌公寓 -两湖,3室1厅 | 80.6平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,95,"11,787元/平"
两湖4房不靠高架大间距自带幼儿园精装修好房,永成天御湾 -两湖,3室2厅 | 88.47平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,4人关注 / 2个月以前发布,162,"18,312元/平"
九城公园里南区 毛坯 带地下室 有露天,九城公园里南区 -两湖,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,178,"20,000元/平"
两湖东边套好房房东诚心出售看房方便,恒润嘉苑 -两湖,3室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 31天以前发布,128,"11,429元/平"
急售双梅小区，地铁口，精装修婚房，瓜渚湖畔,双梅小区 -瓜渚湖北,4室2厅 | 185.52平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,9人关注 / 11个月以前发布,249,"13,422元/平"
房子楼层好，采光充足，北门出门就是菜市场，交通便利,頭甲公寓 -城北新区,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,93.8,"23,450元/平"
此房精装修，买进即可入住，价格实在，楼层好,万达银座 -上虞万达,1室1厅 | 50.67平米 | 西北 北 | 其他 | 中楼层(共29层)  | 塔楼,17人关注 / 一年前发布,35,"6,908元/平"
万达单身公寓精装修好房好楼层。,万达银座 -上虞万达,1室1厅 | 48平米 | 西南 | 精装 | 低楼层(共30层)  | 塔楼,3人关注 / 一年前发布,35,"7,292元/平"
亚厦江与城，精装修，户型方正两居室，可直接拎包入住,亚厦江与城 -城北新区,2室1厅 | 95.87平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,225,"23,470元/平"
全明户型，交通方便，通透格局，视野宽阔，采光充足..,东厦瑞星园 -柯桥滨海,2室1厅 | 97.88平米 | 南 | 毛坯 | 高楼层(共13层)  | 板塔结合,1人关注 / 2个月以前发布,102,"10,421元/平"
新力帝泊湾 3室2厅 南 北,新力帝泊湾 -诸暨西,3室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 18天以前发布,83,"9,326元/平"
此房是三室二厅一卫，楼层好，采光好,建屋海德景园 -上虞北其他,3室2厅 | 94平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 14天以前发布,115,"12,235元/平"
此房全新自住装修，楼层好采光充足，可拎包入住,祥生明玥府 -上虞城北,3室1厅 | 120平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,1人关注 / 12天以前发布,336.8,"28,067元/平"
全新毛坯，无抵押，产权清晰，房东诚心出售,一品•星泽湾 -皋埠,2室2厅 | 81.18平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,1人关注 / 9天以前发布,106,"13,058元/平"
满五唯一， 三房两厅精装可拎包入住，中间楼层采光好,大通水尚名都 -城北新区,3室1厅 | 89平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 13天以前发布,238,"26,742元/平"
昌安东村，格局方正，采光充足，诚心出售,昌安东村 -迪荡,2室1厅 | 52.95平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,88,"16,620元/平"
満二 户型好 采光可以 装修风格简单 性.价.比.高,聚贤花苑 -柯西,2室2厅 | 83.73平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,140,"16,721元/平"
此房户型方正南北通，朝东面双阳台房东自住精装修,中泽嘉园 -柯桥市区,3室2厅 | 149.56平米 | 东南 | 精装 | 低楼层(共24层)  | 板楼,1人关注 / 7个月以前发布,275,"18,388元/平"
杭州南现房，精装修楼层好，采光无遮挡，萧山尽在眼底,华府一号院 -杨汛桥,3室2厅 | 97.25平米 | 南 | 简装 | 中楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,139,"14,294元/平"
宝华庄园  2室2卫  精装  采光好,宝华海滨庄园 -上虞北其他,2室2厅 | 107.39平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,119.9,"11,165元/平"
星丰小区好楼层总价不高房源，精装修，房东自住要置换,星丰小区 -上虞城北,2室1厅 | 66平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,138,"20,910元/平"
东关近高速口，近地铁，交通便利,新东方家园 -上虞区,2室2厅 | 93平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,138.8,"14,925元/平"
锦江丁香园，3室1卫，房东自住装修，中高楼层,锦江丁香园 -城北新区,2室1厅 | 88.04平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,33人关注 / 7个月以前发布,215,"24,421元/平"
户型方正，两房朝南，南北通透，阳光充足，,驸马新村 -绍兴市区,2室1厅 | 53.39平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,113,"21,166元/平"
房子还是交付时纯毛坯可设计自己的喜好装修理想的家,学府新城·星云园 -杨汛桥,3室2厅 | 87.74平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,118,"13,449元/平"
金地大坂湖公园旁，头排视野好，东边套急售,金地·格林自在城三期 -柯西,3室2厅 | 112.72平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,226,"20,050元/平"
丁香园此房楼幢好楼层好，视野开阔，精装修边套,锦江丁香园 -城北新区,3室2厅 | 89.21平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,225,"25,222元/平"
楼层好，采光佳，自住装修拎包入住看房方便,迎驾桥小区 -万达,3室2厅 | 130.44平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,7人关注 / 11个月以前发布,180,"13,800元/平"
清兰公寓 2室2厅 南 北,清兰公寓 -钱清,2室2厅 | 81.69平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,103,"12,609元/平"
兴华小区南区，好楼层，采光好。,兴华小区南区 -柯北,2室2厅 | 91平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,7人关注 / 6个月以前发布,145,"15,935元/平"
楼层好，视野开阔无遮挡，小区中间位置，安静舒适。,金地湖城大境 -柯西,4室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 5个月以前发布,355,"24,826元/平"
房东诚意在售  价格底 看房有钥匙,光明▪澜山 -蓝天,3室2厅 | 93.49平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,163,"17,436元/平"
小高层洋房，环境优美，世外桃源，诚售。,桃花源山庄 -越城,3室1厅 | 114平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,8人关注 / 6个月以前发布,90,"7,895元/平"
御亭山 品质小区 全新毛坯 带车位,御亭山 -城西,3室2厅 | 107平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,14人关注 / 一年前发布,140,"13,085元/平"
好房出售楼层好 前后无遮挡 阳光全日照,绍兴艺境 -斗门,3室1厅 | 87.24平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,142,"16,277元/平"
好房出售楼层好 前后无遮挡 阳光全日照,绍兴艺境 -斗门,3室1厅 | 87.24平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,142,"16,277元/平"
楼层好 采光视野开阔 可使用面积多 小区环境好,保利湖畔林语 -柯西,3室2厅 | 170平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,430,"25,295元/平"
城南上悦城。边套，双阳台，南北通风，楼盘精装修。,上悦城 -嵊州城南,3室2厅 | 111平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,4人关注 / 6个月以前发布,115,"10,361元/平"
大3房，前面排屋无遮挡，采光好。,金色凤凰园锦园 -兰亭,3室2厅 | 111平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,110,"9,910元/平"
东方明珠小区 阳光通透 吃香小户型,东方明珠小区 -两湖,1室1厅 | 59.49平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,65,"10,927元/平"
万达商圈 交通方便 大四房 采光充足 前面大花园,万达中心名宅 -万达,4室2厅 | 185平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 一年前发布,290,"15,676元/平"
此房采光好，宽敞，小区环境好，楼层间距大,京联·观湖 -两湖,4室2厅 | 127平米 | 南 | 精装 | 低楼层(共13层)  | 板塔结合,1人关注 / 5个月以前发布,220,"17,323元/平"
本房视野宽阔，采光充足，小区配套设施齐全，,恒宇锦园 -柯西,3室2厅 | 95平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 4个月以前发布,220,"23,158元/平"
都市阳光花园小平方 总价低 诚心出售,都市阳光花园 -柯西,2室2厅 | 90.22平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,162,"17,957元/平"
金地芳草地 户型方正 三房二厅 房东诚心出售,金地芳草地 -柯西,3室1厅 | 90平米 | 北 南 | 毛坯 | 低楼层(共26层)  | 板楼,5人关注 / 5个月以前发布,170,"18,889元/平"
全日照 无遮挡 交通便利 地理位置优越,观澜豪庭 -城西,3室2厅 | 89.7平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,7人关注 / 5个月以前发布,165,"18,395元/平"
蝶庄  轻纺城边上的房子，看房方便，诚心卖房,锦盛蝶庄 -柯东,3室2厅 | 124平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,261,"21,049元/平"
全新毛坯 边套 采光佳 方向朝南,佳兆业君汇上品 -城南,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 8个月以前发布,136.5,"13,253元/平"
楼栋位置好，两湖景观房，中上位置，楼层好,永成天御湾 -两湖,3室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,5人关注 / 10个月以前发布,240,"17,648元/平"
佳源广场三开间朝南眺望梅山地铁口,佳源广场 -镜湖,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,4人关注 / 4个月以前发布,247,"22,455元/平"
全新装修未入住，看房方便。...,元垄星悦湾 -柯西,3室2厅 | 119平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,315,"26,471元/平"
楼层 采光好  诚意出售 全新毛坯,祥生群贤府御园 -柯北,4室2厅 | 122.43平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,1人关注 / 1个月以前发布,250,"20,420元/平"
西周小区全新毛坯边套，采光无遮挡,西周嘉園 -柯西,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,4人关注 / 10个月以前发布,158,"13,740元/平"
新力帝泊湾10楼，小三室精装修，带车位。,新力帝泊湾 -诸暨西,3室1厅 | 89平米 | 东南 | 精装 | 中楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,97,"10,899元/平"
柯桥CBD金融商务区，宝龙万达广场边，边套大户型,光明▪澜山 -蓝天,3室2厅 | 116平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 一年前发布,215,"18,535元/平"
业主急售碧桂园钱塘府89.00m² 103w税各付各,碧桂园钱塘府 -诸暨店口镇,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,2人关注 / 9个月以前发布,103,"11,574元/平"
中泽嘉园中间楼层简单装修诚心出售价格可谈,中泽嘉园 -柯桥市区,3室2厅 | 106平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 一年前发布,233,"21,982元/平"
今日阳光庭园排屋西边套下沉花园60方,今日阳光庭园 -柯岩,5室2厅 | 270平米 | 南 | 毛坯 | 4层  | 板楼 | 联排别墅 ,1人关注 / 3个月以前发布,545,"20,186元/平"
文化新村南区，中间楼层，停车方便，小区已经改造,文化新村南区 -老城区,3室1厅 | 63.46平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,112,"17,649元/平"
翡翠御府 3室2厅 南,翡翠御府 -城北新区,3室2厅 | 126.13平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,312,"24,737元/平"
此房满二税低，交通方便，通透格局，视野宽阔.,碧海家园 -柯桥滨海,3室2厅 | 103平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,94,"9,127元/平"
两湖公园旁，天御湾全新装修未入住，房东诚心出售,永成天御湾 -两湖,3室2厅 | 89.24平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,4人关注 / 8个月以前发布,142,"15,913元/平"
房东诚心出售 精装三房两卫 阳台特宽敞,亲亲家园南区 -斗门,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,15人关注 / 8个月以前发布,165,"15,567元/平"
买一层得两层！双周景园配45万装修顶跃房东诚心出售,双周小区 -柯西,3室1厅 | 126.55平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,162,"12,802元/平"
恒大未来城开发商精装修三房两卫,嵊州恒大未来城 -嵊州城南,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,138,"11,897元/平"
佳源广场三期湖景房 西边套全新毛坯地铁口,佳源广场 -镜湖,3室1厅 | 142平米 | 南 | 毛坯 | 低楼层(共29层)  | 板楼,4人关注 / 11个月以前发布,308,"21,691元/平"
龙湖·原著西苑 3室1厅 南,龙湖·原著西苑 -柯西,3室1厅 | 97.91平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,165,"16,853元/平"
星尚悦湖B区 四房好楼层 湖景房,星尚·悦湖苑 -迪荡,4室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,8人关注 / 8个月以前发布,325,"23,050元/平"
小区离地铁口和坂湖公园近，视野宽阔 ，户型好,金地湖城大境 -柯西,3室2厅 | 86.57平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,2人关注 / 10个月以前发布,176,"20,331元/平"
绍兴艺境 中上楼层 房源 出售  诚心卖,绍兴艺境 -斗门,3室1厅 | 88.86平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,149,"16,768元/平"
带车棚，房东诚心出售，宽大的双阳台，,都市阳光花园 -柯西,4室2厅 | 141.5平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 10个月以前发布,210,"14,841元/平"
三房两厅两卫，三开间朝南，江景房很哇塞,东渡玺悦 -诸暨城西,3室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,98,"11,137元/平"
中海，满二，楼层好，阳光好，精装修,中海·世纪公館 -斗门,3室2厅 | 97.59平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,165,"16,908元/平"
恒大未来城开发商精装修三房两卫,嵊州恒大未来城 -嵊州城南,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,138,"11,897元/平"
