标题,开发商,房子信息,发布信息,售价/万,单价
团城山优质好房拎包入住，交通生活便利,扬子玉龙湾 -团城山,3室2厅 | 133.59平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 6个月以前发布,105,"7,860元/平"
二医院旁花园小区，步梯大两房，简单装修,青山花园文化大院 -沈家营,2室2厅 | 90.37平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,8人关注 / 一年前发布,41,"4,537元/平"
万达 老虎头 南极雪小区 中层 南北全新二房满二税费低,南极雪小区 -万达,2室2厅 | 96.13平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 6个月以前发布,42,"4,370元/平"
万达商圈裕华城简装两房  老虎头,裕华城 -万达,2室2厅 | 93.23平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,58,"6,222元/平"
繁华热闹地段，出行方便！满五不唯一！,大冶大道69号 -老城区,2室1厅 | 80.61平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,26,"3,226元/平"
八卦嘴 银湖月色 精装两房 朝南 采光好 满五年,银湖月色 -八卦嘴,2室1厅 | 68.24平米 | 南 | 精装 | 低楼层(共19层)  | 板楼,12人关注 / 一年前发布,39.8,"5,833元/平"
房子产证在手，楼梯房的中高层，两个卧室朝南。,紫竹花园 -老下陆,2室2厅 | 79.05平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,21.5,"2,720元/平"
万达商圈华森公馆中层2房 朝南 拎包入住,华森国际公馆 -万达,2室2厅 | 90.61平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,63.9,"7,053元/平"
新街口 简单装修两居室 满五年,延安路6号 -万达,2室2厅 | 84.59平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,45,"5,320元/平"
金港明珠 毛坯带大露台 大两房 ！,金港明珠小区 -万达,2室2厅 | 87平米 | 北 | 毛坯 | 低楼层(共26层)  | 塔楼,24人关注 / 一年前发布,62,"7,127元/平"
万达商圈，经典户型，电梯两房好楼层，成熟小区,宝石名城 -万达,2室2厅 | 67.1平米 | 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,48,"7,154元/平"
都市花苑 2室2厅 南,都市花苑 -万达,2室2厅 | 97.61平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,55,"5,635元/平"
此房装修保养好，采光好 布局合理。视野开阔,江泰春岸 -花湖,3室2厅 | 97.92平米 | 南 | 精装 | 低楼层(共47层)  | 塔楼,1人关注 / 6个月以前发布,68.5,"6,996元/平"
万达旁 迎宾御园  电梯大2房91平 朝南双阳台,迎宾御园 -万达,2室1厅 | 90.58平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,3人关注 / 5个月以前发布,45,"4,968元/平"
此房满两年，电梯洋房，户型南北朝向，满二税费低,黄石绿城玉兰花园 -万达,2室2厅 | 88.25平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,12人关注 / 6个月以前发布,63,"7,139元/平"
人民街低层步梯3房  加30平米  简装  老人住也方便,人民街 -万达,3室1厅 | 61.63平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,4人关注 / 6个月以前发布,32.8,"5,323元/平"
14中旁 万达商圈 大两房 楼层佳 一线江景,桥南小区 -万达,2室2厅 | 80.66平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 一年前发布,53,"6,571元/平"
紫金花城 大两房精装修 拎包入住楼层好 采光佳总价低,紫金花城 -花湖,2室2厅 | 83.63平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 5个月以前发布,57,"6,816元/平"
万达商圈，出行便利，生活方便，交通发达,江泰春岸 -花湖,2室2厅 | 94.51平米 | 南 | 简装 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,66,"6,984元/平"
颐阳路 温馨一居室 采光通透 拎包入住,颐阳路28号院 -武商,1室1厅 | 45.37平米 | 东南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,29,"6,392元/平"
杭州西路主干道毛坯满二 大两厅 随心装修位置好,杭州公馆 -团城山,2室2厅 | 96.96平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,5人关注 / 8个月以前发布,54,"5,570元/平"
高品质小区 绿城玉兰花园 89平三房 满二 采光好,黄石绿城玉兰花园 -万达,3室2厅 | 89平米 | 南 | 简装 | 中楼层(共23层)  | 板楼,3人关注 / 8个月以前发布,78,"8,765元/平"
配套成熟，采光好，环境好，品牌物业管理，税费低。,佳木公园 -团城山,2室2厅 | 109.89平米 | 南 | 毛坯 | 低楼层(共21层)  | 板塔结合,0人关注 / 6个月以前发布,89,"8,100元/平"
磁湖旁  湖景房 毛坯随意装修 随时看房,阳光水岸 -团城山,1室2厅 | 66.36平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,40.8,"6,149元/平"
新街口 03年楼梯低层可贷款 满二公摊低 南北户型,纺织一路 -万达,2室2厅 | 82.78平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,12人关注 / 一年前发布,43,"5,195元/平"
中间楼层，通透户型，环境好，配套齐全，交通便利,白马山小区 -团城山,3室2厅 | 107.94平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,69,"6,393元/平"
磁湖巷11号 2室2厅 东南,磁湖巷11号 -沈家营,2室2厅 | 89.7平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 6个月以前发布,39,"4,348元/平"
楠竹林5楼，总价低，生活方便 适合养老,楠竹林社区 -楠竹林,2室2厅 | 73.44平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,28,"3,813元/平"
湖师商圈步梯大两房，临 近学 校，业主诚心出售,南岳路11号 -沈家营,2室2厅 | 102.14平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 7个月以前发布,38.8,"3,799元/平"
万达商圈中高楼层两房精装，满五唯一，采光巨好,宝石银都 -万达,2室2厅 | 85.92平米 | 东南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,62,"7,217元/平"
宝石银都 电梯中层 精装大两房 拎包入住,宝石银都 -万达,2室2厅 | 85.92平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,65.5,"7,624元/平"
电 梯 中 层，视 野 采 光 好，毛 坯2房带储物间。,华顺尚居 -万达,3室2厅 | 94.58平米 | 西南 | 毛坯 | 高楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,46,"4,864元/平"
天方百花园三期 双阳台+房间阳台 朝南户型 诚心出售,天方百花園 -万达,2室2厅 | 95.85平米 | 南 | 毛坯 | 低楼层(共12层)  | 板楼,15人关注 / 10个月以前发布,56,"5,843元/平"
家园小区 2室2厅 南,家园小区 -万达,2室2厅 | 66平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,26,"3,940元/平"
此房 业主诚心出售 户型通透 采光好 房间大 客厅也大,颐阳苑 -八卦嘴,2室1厅 | 115.97平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,4人关注 / 一年前发布,72.5,"6,252元/平"
此房是磁湖南郡房子，精装修，湖景房。,磁湖南郡 -八卦嘴,3室2厅 | 103.8平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 7个月以前发布,68,"6,552元/平"
市政府旁 毛坯房  满2年 临 近磁湖,阳光水岸 -团城山,1室1厅 | 66.36平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,40.8,"6,149元/平"
市内  可以按揭的楼梯房 首付14万,黄石大道148号 -市中心,2室2厅 | 70.75平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 7个月以前发布,39.8,"5,626元/平"
广小旁，满五二套，采光好，小区已改造好,南京路社区 -武商,2室2厅 | 60.76平米 | 东南 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 5个月以前发布,40,"6,584元/平"
亚光新村 2室2厅 南 北,亚光新村 -市中心,2室2厅 | 107.29平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,57,"5,313元/平"
小区环境好，采光好，户型方正，,美尔雅金枣轩 -八卦嘴,3室1厅 | 100.31平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,10人关注 / 一年前发布,50,"4,985元/平"
楠竹林 低楼层两房 家具全部留下,楠竹林社区 -楠竹林,2室1厅 | 71.48平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,29.8,"4,169元/平"
奥山磁湖天下电梯高层精装修湖景大两房,奥山磁湖天下 -沈家营,2室2厅 | 96.47平米 | 北 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 10个月以前发布,68,"7,049元/平"
金广厦 总价低 配套好 位置优,金广厦·未来城 -团城山,2室2厅 | 91.38平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,15人关注 / 4个月以前发布,40,"4,378元/平"
满二，中高楼层，小三房，采光通风好，视野开阔。,美鑫·锦绣华庭 -团城山,3室2厅 | 108.39平米 | 东南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 4个月以前发布,42.5,"3,922元/平"
江景房 东南朝向 户型好 拎包入住,顺佳大厦 -市中心,2室2厅 | 86.76平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,7人关注 / 6个月以前发布,61.3,"7,066元/平"
此房是八卦嘴好地段小户型房子，厨房厕所都在里面,艺校路小区 -八卦嘴,1室1厅 | 46.73平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,18,"3,852元/平"
人事局旁，婚房装修满二，精装一天未住,华商大厦 -万达,2室2厅 | 104.51平米 | 东 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,60,"5,742元/平"
天方小区马路对门的精装修好房急售//,湖滨大道1872号 -万达,2室2厅 | 72.73平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,30,"4,125元/平"
新街口 03年楼梯低层可贷款 满二公摊低 南北户型,纺织一路 -万达,2室2厅 | 82.78平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,12人关注 / 一年前发布,43,"5,195元/平"
中间楼层，通透户型，环境好，配套齐全，交通便利,白马山小区 -团城山,3室2厅 | 107.94平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,69,"6,393元/平"
江景房 东南朝向 户型好 拎包入住,顺佳大厦 -市中心,2室2厅 | 86.76平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,7人关注 / 6个月以前发布,61.3,"7,066元/平"
此房 业主诚心出售 户型通透 采光好 房间大 客厅也大,颐阳苑 -八卦嘴,2室1厅 | 115.97平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,4人关注 / 一年前发布,72.5,"6,252元/平"
龙城山庄电梯毛坯大两房，视野开阔，采光好，满五唯一,龙城山庄 -万达,2室1厅 | 89.63平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,40,"4,463元/平"
人事局旁，婚房装修满二，精装一天未住,华商大厦 -万达,2室2厅 | 104.51平米 | 东 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,60,"5,742元/平"
宝石银都 电梯中层 精装大两房 拎包入住,宝石银都 -万达,2室2厅 | 85.92平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,65.5,"7,624元/平"
电 梯 中 层，视 野 采 光 好，毛 坯2房带储物间。,华顺尚居 -万达,3室2厅 | 94.58平米 | 西南 | 毛坯 | 高楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,46,"4,864元/平"
万达商圈中高楼层两房精装，满五唯一，采光巨好,宝石银都 -万达,2室2厅 | 85.92平米 | 东南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,62,"7,217元/平"
天方百花园三期 双阳台+房间阳台 朝南户型 诚心出售,天方百花園 -万达,2室2厅 | 95.85平米 | 南 | 毛坯 | 低楼层(共12层)  | 板楼,15人关注 / 10个月以前发布,56,"5,843元/平"
高层复式楼，采光好，小区配套设施齐全,天域·名流天地 -团城山,4室2厅 | 182.97平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,7人关注 / 9个月以前发布,103,"5,630元/平"
黄石港万达旁新街口江岸名城精装大两房拎包入住98平,江岸名城 -万达,2室2厅 | 97.48平米 | 西北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,75.5,"7,746元/平"
装修了可以直接入住，保养的比较好，户型很好,怡馨小区 -老城区,2室2厅 | 86.28平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 8个月以前发布,39.8,"4,613元/平"
华森国际公馆精装两房，采光好，价格便宜,华森国际公馆 -万达,2室1厅 | 90.61平米 | 东南 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 6个月以前发布,59.8,"6,600元/平"
黄石港简单装修两居室 满两年 交通方便,裕华城 -万达,2室1厅 | 95.2平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 一年前发布,64,"6,723元/平"
万达商圈  经典小户型  有钥匙随时看房,老闸24号 -万达,2室2厅 | 64.33平米 | 南 北 | 简装 | 高楼层(共8层)  | 塔楼,0人关注 / 3个月以前发布,24,"3,731元/平"
华夏城 江景房 精装修拎包入住 总价低采光好,华夏城 -市中心,2室2厅 | 93.22平米 | 东 | 简装 | 中楼层(共35层)  | 板塔结合,0人关注 / 3个月以前发布,74.8,"8,025元/平"
妇幼旁豪庭 小户型 你自己的独立空间,磁湖福地豪庭 -团城山,1室1厅 | 52.33平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,3人关注 / 一年前发布,40,"7,644元/平"
楼层好，通透户型，环境好，配套齐全，交通便利,白马山小区 -团城山,3室2厅 | 139.95平米 | 南 | 简装 | 中楼层(共23层)  | 板塔结合,6人关注 / 10个月以前发布,98,"7,003元/平"
万达华府满二双阳台大两房房东诚心出售,万达华府 -万达,2室2厅 | 101平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,16人关注 / 一年前发布,71,"7,030元/平"
国贸湖景两房、毛坯房子任你装、房东诚心卖,黄石国贸 -市中心,2室2厅 | 85.83平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,16人关注 / 一年前发布,77,"8,972元/平"
品质小区 依山傍水 看看湖景， 视野开阔， 经典两房,中冶黄石公园 -楠竹林,2室2厅 | 100.3平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,72,"7,179元/平"
楼层好，视野宽阔，采光充足，配套设施齐全，交通便利,美尔雅金枣轩 -八卦嘴,2室1厅 | 81.39平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,4人关注 / 6个月以前发布,50.8,"6,242元/平"
磁湖旁  湖景房 毛坯随意装修 随时看房,阳光水岸 -团城山,1室2厅 | 66.36平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,40.8,"6,149元/平"
精装修高层电梯三房，拎包直接入住，房东诚心出售,万达华府 -万达,3室2厅 | 127.29平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,12人关注 / 一年前发布,104.8,"8,234元/平"
高品质小区 绿城玉兰花园 89平三房 满二 采光好,黄石绿城玉兰花园 -万达,3室2厅 | 89平米 | 南 | 简装 | 中楼层(共23层)  | 板楼,3人关注 / 8个月以前发布,78,"8,765元/平"
配套成熟，采光好，环境好，品牌物业管理，税费低。,佳木公园 -团城山,2室2厅 | 109.89平米 | 南 | 毛坯 | 低楼层(共21层)  | 板塔结合,0人关注 / 6个月以前发布,89,"8,100元/平"
天方小区马路对门的精装修好房急售//,湖滨大道1872号 -万达,2室2厅 | 72.73平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,30,"4,125元/平"
沈家营统一街 步梯三层，2001年建成，钢金混泥土结构,青山花苑 -沈家营,2室2厅 | 84.77平米 | 西 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 8个月以前发布,40,"4,719元/平"
龙湾一品 大两房 装修保养好 交通便利,龙湾一品 -团城山,2室2厅 | 93.52平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 7个月以前发布,64,"6,844元/平"
黄石产权 港发龙园电梯毛坯三房满二年税费低采光好,港发龙园 -花湖,3室2厅 | 106.68平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,4人关注 / 一年前发布,48,"4,500元/平"
上窑精装电梯两房  随时可看 生活便利配套齐全,花园广场 -上窑,2室2厅 | 97.23平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,63.6,"6,542元/平"
此房位置在澄月社区，适合养老。,工院二村 -八卦嘴,2室1厅 | 58.38平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,29,"4,968元/平"
市内温馨大两房，采光好，配套设施齐全，满五税低,黄石大道148号 -市中心,2室2厅 | 87.46平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 6个月以前发布,48,"5,489元/平"
两房，地理位置上佳，楼下就是菜场，读书方便,永安里7号 -武商,2室1厅 | 60.93平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,6人关注 / 7个月以前发布,32,"5,252元/平"
花湖繁华小区锦绣江南大两房 南北透通手慢无,锦绣江南 -花湖,2室2厅 | 87.85平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,35,"3,985元/平"
金广厦未来城电梯高层精装修大两房，产证满两年有钥匙,金广厦·未来城 -团城山,2室2厅 | 94.59平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,60,"6,344元/平"
满五唯一，税费低，精装修，可以拎包直接入住,天域·名流天地 -团城山,3室2厅 | 135.88平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,97,"7,139元/平"
"户型明亮通透，地段好,房子满五唯一税费低",牧羊诗苑 -八卦嘴,2室1厅 | 68.88平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,31,"4,501元/平"
龙湾一品 大两房 装修保养好 交通便利,龙湾一品 -团城山,2室2厅 | 93.52平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 7个月以前发布,64,"6,844元/平"
二中湿地公园居家朝南2房毛坯业主房子多了满2年诚心卖,宏维·星都 -团城山,2室2厅 | 92.69平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,11人关注 / 一年前发布,67,"7,229元/平"
房子小，总价低，广小，十五中，交通便利，零公滩,黄石大道188号 -武商,2室2厅 | 59.01平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,32,"5,423元/平"
房子已经满了两年，精装修拎包入住；,德馨鑫圣广场 -市中心,2室2厅 | 93.23平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,108,"11,585元/平"
房屋干净大两房，户型方正！楼层佳日照长。,桥南小区 -万达,2室1厅 | 84平米 | 南 | 简装 | 中楼层(共9层)  | 板塔结合,0人关注 / 3个月以前发布,48,"5,715元/平"
白马山旁 居家两房 随时拎包入住,竹林苑 -团城山,2室1厅 | 107.43平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,48,"4,469元/平"
可议价全湖景楼梯4楼正环湖路口，享受澄月花苑物业,环湖路 -八卦嘴,2室1厅 | 69.1平米 | 东 东南 | 毛坯 | 中楼层(共9层)  | 暂无数据,3人关注 / 8个月以前发布,29.6,"4,284元/平"
满二洋房，远离街道环境好，南高楼层,中冶黄石公园 -楠竹林,2室2厅 | 98.93平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,65,"6,571元/平"
近湖电梯毛坯两室 美联景桂豪庭 23年元月满二看房方便,美联 · 景桂豪庭 -楠竹林,2室2厅 | 87.08平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,56,"6,431元/平"
博雅怡景花城 2室2厅 东 西,博雅怡景花城 -万达,2室2厅 | 100.75平米 | 东 西 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,56,"5,559元/平"
万达商圈 南北通透采光好 中间楼层 配套齐全,天园小区 -楠竹林,2室1厅 | 68.46平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,28,"4,090元/平"
师院路自来水住宅小区 两室简装 视野开阔闹中取静,师院路 -沈家营,2室1厅 | 80.64平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,3人关注 / 10个月以前发布,26,"3,225元/平"
万达商圈毛坯大2房，可以随意装修。,江天金水湾 -万达,2室2厅 | 92.63平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,80,"8,637元/平"
此房满二唯一，精装可直接入住.,阳光星都 -花湖,2室2厅 | 88平米 | 南 北 | 精装 | 高楼层(共13层)  | 暂无数据,0人关注 / 8天以前发布,44,"5,000元/平"
此房装修很好，视野宽阔，采光充足,碧桂园 -老城区,2室2厅 | 84平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 4天以前发布,56,"6,667元/平"
万达华府 精装 三房两卫 中间楼层 保养好,万达华府 -万达,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 16天以前发布,105,"8,204元/平"
装修带露台，满2年价格优势，看房方便,江天凤凰山庄 -团城山,2室2厅 | 94平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 8天以前发布,50,"5,320元/平"
宏维品牌 采光好 朝南满两年。,宏维山水明城 -团城山,2室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 6天以前发布,63,"7,160元/平"
绿城玉兰花园 电梯中间楼层 大阳台  采光好  绿化小区,黄石绿城玉兰花园 -万达,2室1厅 | 110平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 4天以前发布,102,"9,273元/平"
南岳社区前排湖景房 满五唯一 楼梯2楼 可以看湖,南岳社区 -沈家营,2室1厅 | 102.27平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 2天以前发布,49,"4,792元/平"
中冶黄石公园 3室2厅 南 北,中冶黄石公园 -楠竹林,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 10天以前发布,120,"9,231元/平"
金港明珠小区  大3房  精装修  采光好电梯房好楼层,金港明珠小区 -万达,3室1厅 | 144.19平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 8天以前发布,110,"7,629元/平"
万达旁碧桂园新城之光精装三房.墨斗山校旁 三开间朝南,碧桂园新城之光 -团城山,3室1厅 | 104.04平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 7天以前发布,68,"6,536元/平"
杭州公馆精装三房122平93万出售,杭州公馆 -团城山,3室2厅 | 122.3平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 9天以前发布,93,"7,605元/平"
满五唯一 一线湖景 格局好 楼层好 视野宽阔采光充,奥山磁湖天下 -沈家营,3室2厅 | 114.5平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 15天以前发布,75,"6,551元/平"
市内电梯大三房 正宏大厦户型正 精装修 满五年,湖滨大道146号 -市中心,3室1厅 | 142平米 | 西 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 9天以前发布,105,"7,395元/平"
花湖开发区大三房 精装修拎包入住,聚龙花湖名苑 -花湖,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 13天以前发布,50,"4,000元/平"
中冶黄石公园 3室2厅 南 北,中冶黄石公园 -楠竹林,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 10天以前发布,120,"9,231元/平"
装修带露台，满2年价格优势，看房方便,江天凤凰山庄 -团城山,2室2厅 | 94平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 8天以前发布,50,"5,320元/平"
宏维品牌 采光好 朝南满两年。,宏维山水明城 -团城山,2室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 6天以前发布,63,"7,160元/平"
绿城玉兰花园 电梯中间楼层 大阳台  采光好  绿化小区,黄石绿城玉兰花园 -万达,2室1厅 | 110平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 4天以前发布,102,"9,273元/平"
此房满五唯一，视野开阔，采光充足，交通便利,新建路 -武商,3室2厅 | 103.21平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,47.8,"4,632元/平"
这户型真舒服！视野开阔， 格局通透，采光好！,金湖新天地 -新城区,3室2厅 | 136.7平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,79,"5,780元/平"
此房新装修，美观实用，买一层加一层，空间大。,沈下路10号 -沈家营,3室1厅 | 124.31平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,66,"5,310元/平"
福地豪庭，磁湖湿地公园旁，团城山广场旁,磁湖福地豪庭 -团城山,3室2厅 | 148平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,3人关注 / 一年前发布,112,"7,568元/平"
房子在市中XIN。买东西非 常方便户型采光都好。,都市阳光花园 -新城区,3室1厅 | 124.95平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 10个月以前发布,57.5,"4,602元/平"
中窑 六中教师楼 中间楼层 满五唯一税费低看房方便,中窑六中教师宿舍楼 -上窑,3室2厅 | 111.49平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 一年前发布,46,"4,126元/平"
黄石大道403号 3室2厅 南 北,黄石大道403号 -上窑,3室2厅 | 87.89平米 | 南 北 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,50,"5,689元/平"
复式楼，楼下即是幼儿园，出行便利。,华盛小区 -新下陆,5室2厅 | 154.29平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,60,"3,889元/平"
此房满二江景房，户型方正，通风采光好，诚心出售。,大华江桂园 -上窑,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 10个月以前发布,78,"6,191元/平"
万利大厦精装修3房，电梯房，满五唯一,万利大厦 -武商,3室2厅 | 150.13平米 | 东南 | 简装 | 高楼层(共16层)  | 板塔结合,16人关注 / 一年前发布,132,"8,793元/平"
万元小区位置可以 交通方便 配套成熟 适合老人居住,万圆小区 -新城区,3室2厅 | 135.4平米 | 南 北 | 精装 | 低楼层(共24层)  | 塔楼,0人关注 / 一年前发布,75,"5,540元/平"
仁智山水复式湖景洋房 小区环境好,航宇仁智山水 -楠竹林,5室3厅 | 233.1平米 | 南 | 毛坯 | 高楼层(共5层)  | 板楼,4人关注 / 11个月以前发布,178,"7,637元/平"
此房地处繁华地段 低楼层大房型四房,大智路30-27号 -武商,4室2厅 | 154.65平米 | 南 | 简装 | 低楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,105,"6,790元/平"
