标题,开发商,房子信息,发布信息,售价/万,单价
了封闭小区龙城帝景 两室业主重新装修了 钥匙在手,龙城帝景 -中海,2室1厅 | 89.71平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,59.5,"6,633元/平"
碧水山城B区   带装修  三室一厅一厨一卫,隆泰碧水山城B区 -铁东,3室1厅 | 73平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,5人关注 / 3个月以前发布,25.8,"3,535元/平"
望江房红大明珠 个人装修 环境佳位置优酒店式大堂设计,红大明珠 -烽火丰满一实验,3室1厅 | 140平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,7人关注 / 一年前发布,159.68,"11,406元/平"
带车位，房子精装修，楼层好，采光好，适合居住,万达·江畔华城B区 -万达广场,3室1厅 | 102平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,90,"8,824元/平"
区环境舒适 人文素质高 出行方便 精装修 拎包,四合田园东区 -四合,2室1厅 | 70平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,27.8,"3,972元/平"
伊利花园多层3楼，南北通透拎包入住,伊利花園 -八一,2室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,59.9,"6,240元/平"
多层三楼，南北通透，大h格局 ，配套齐全 交通便利,日升南区 -松花江中学,2室1厅 | 97平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,68.8,"7,093元/平"
中海悦江府3-2-1-1 109.20m²,中海悦江府 -万达广场,3室2厅 | 109.2平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 2个月以前发布,75,"6,869元/平"
盛昌小区。多层二楼。南北通透。,盛昌小区 -八家子早市,2室1厅 | 72平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,39.8,"5,528元/平"
封闭小区，园区优良，成熟商圈，方便...,中海国际社区 -中海,2室1厅 | 97.66平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,7人关注 / 一年前发布,79.8,"8,172元/平"
周 边商圈成熟，小区环境好，适宜居住,广泽香林漫步 -铁东,2室1厅 | 64.9平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,1人关注 / 3个月以前发布,36,"5,547元/平"
吉炭小区，多层，采光好，适合居住。,吉炭小区 -大润发二店,2室1厅 | 62平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 6个月以前发布,20,"3,226元/平"
吉炭小区 多层5楼不顶 南北通透 两室一厅,吉炭小区 -大润发二店,2室1厅 | 62平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,20,"3,226元/平"
交通便利、园区绿化好、小区环境干净、适合居住,吉东·托斯卡纳 -吉林一中,2室1厅 | 84.4平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,44,"5,214元/平"
卢瓦尔小镇楼层好位置好，业主诚心出售此房,卢瓦尔小镇 -雾凇中路,2室2厅 | 95平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,13人关注 / 5个月以前发布,70,"7,369元/平"
沈铁幸福里 中间楼层 采光充足 个人精装修,沈铁·幸福里 -果窖,2室1厅 | 86.15平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,2人关注 / 5个月以前发布,64.5,"7,487元/平"
房子是多层，采光充足，视野开阔。,崇文小区 -松江,1室1厅 | 44平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 11个月以前发布,13.4,"3,046元/平"
沈铁·幸福里2-1-1-1 77.63m²,沈铁·幸福里 -果窖,2室1厅 | 77.63平米 | 南 北 | 简装 | 高楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,47,"6,055元/平"
交通相对便利一些，出行方便，道路宽敞，堵车情况较少,尚都东郡 -和平街,2室1厅 | 104平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,78,"7,500元/平"
适合养老，离江边近，离医院近。适合陪读，,昌茂花園 -西安路,2室1厅 | 58.4平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 9个月以前发布,40,"6,850元/平"
御苑小区     楼层好  采光好,御苑小区 -昌邑公安分局,2室1厅 | 85.74平米 | 东 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,66.5,"7,757元/平"
沈铁幸福里，电梯房，采光好，适合居住。,沈铁·幸福里 -果窖,2室2厅 | 77平米 | 东南 北 | 简装 | 高楼层(共34层)  | 板塔结合,2人关注 / 5个月以前发布,45.8,"5,949元/平"
御苑小区 正3楼 精装2居 屋内装修好,御苑小区 -昌邑公安分局,2室2厅 | 84.13平米 | 南 西 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,69,"8,202元/平"
正三楼，H格局，不把不临，简装。,筑石●居易 -火车站东广场,2室1厅 | 99.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,74,"7,415元/平"
业主急售 通潭西区简装2室多层中层 可贷款！朝向通透,通潭西区 -解放北路,2室1厅 | 86.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,14人关注 / 一年前发布,39.5,"4,556元/平"
此房为高层25楼小面积，采光佳精装修，价格合理,大唐天下江山一期 -独立路,2室1厅 | 64平米 | 南 | 精装 | 高楼层(共35层)  | 板楼,0人关注 / 2个月以前发布,42.8,"6,688元/平"
楼层好 不临街不把山 采光好 没有遮挡 人车分流 江边,鸿博景园 -万达江畔,2室2厅 | 92.6平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,78,"8,424元/平"
帕萨迪纳多层2楼，一室一厅毛坯无遮挡,帕萨迪纳 -中东,1室1厅 | 42.2平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,24.5,"5,806元/平"
交通便利 小区环境干净舒适 适合居住  价格好研究,钻石秀苑 -万达广场,2室1厅 | 82平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,48,"5,854元/平"
此房为多层3楼，南北通透户型好采光佳，交通便利。,昌茂花園 -西安路,3室1厅 | 81平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,61,"7,531元/平"
天津街青年路江华二区2居精装修，低首付,江华二区 -天津街,2室1厅 | 60平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 18天以前发布,24.8,"4,134元/平"
桃北家园多层五楼三阳户型，精装修，带家具家电。,桃北家园 -桃源路,2室1厅 | 57.2平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,37.8,"6,609元/平"
东方雅居一期精装2室2厅115.74平出售,东方雅居一期 -八家子早市,2室1厅 | 115.74平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,66,"5,703元/平"
中环滨江花园电梯洋房 四室装修好 房主诚心出售,中环·滨江花园 -世纪广场,4室2厅 | 222平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 5天以前发布,195,"8,784元/平"
中环滨江花园一楼  采光不错 三室两厅一卫  拎包入住,中环·滨江花园 -世纪广场,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 9天以前发布,105,"8,400元/平"
交通方便吉林大街人民医院新建北区1室3楼诚心出售,新建北区 -十一中,1室1厅 | 36平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2天以前发布,12.8,"3,556元/平"
房屋采光好格局好楼层好距离江边近出行方便,烽火C1区 -烽火丰满一实验,2室2厅 | 106.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,45.2,"4,245元/平"
此房2年外，采光充足，配套设施齐全，交通便利,桃北小区 -桃源路,2室1厅 | 61平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 4天以前发布,28.8,"4,722元/平"
江畔御园 2室2厅 南 北,江畔御园 -八家子早市,2室2厅 | 113.04平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,39.8,"3,521元/平"
精装修   拎包入住   产权清晰 无贷款,华山公寓 -世纪广场,2室1厅 | 61平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 4天以前发布,39.8,"6,525元/平"
筑石红 电梯房 南北通透大H 户型 看房方便,筑石紅 -和平街,2室1厅 | 72平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 9天以前发布,58,"8,056元/平"
松江欣都 多层2楼 房主诚心出售,松江欣都 -万达广场,2室1厅 | 67.46平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,46.8,"6,938元/平"
师院小区 1室1厅 南,师院小区 -丰满二实验,1室1厅 | 45.52平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,19.8,"4,350元/平"
多层五楼可议标准大H公摊小带衣帽间品牌家具家电,瀚林苑 -烽火丰满一实验,2室2厅 | 100.74平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 14天以前发布,73.8,"7,326元/平"
不巴山不临街，南北通透大H户型，采光好,汽贸小区 -八一,2室2厅 | 111.7平米 | 南 北 | 其他 | 高楼层(共6层)  | 平房,0人关注 / 17天以前发布,49.8,"4,459元/平"
欧亚御龙湾 望江楼 精装2室2厅1卫 91平,御龙湾 -欧亚综合体,2室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 17天以前发布,69,"7,583元/平"
此房户型方正，南北通透，小区环境好,园艺小区东区 -丰满二实验,2室1厅 | 82平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,46.8,"5,708元/平"
华侨城东林花园标准3室，价格便宜,华侨城东林花园 -烽火丰满一实验,3室2厅 | 118平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,46,"3,899元/平"
拎包入住，随时看房，通透户型.,北极嘉园北区 -北极街,2室1厅 | 56.95平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,38.8,"6,813元/平"
森洋大厦，电梯跃层，房主诚心出售,森洋大厦 -烽火丰满一实验,3室2厅 | 139.69平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,57.8,"4,138元/平"
万科滨江九里 新交房 全款改底 现房,万科滨江九里 -万科城,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共35层)  | 暂无数据,1人关注 / 2个月以前发布,67.8,"6,000元/平"
头排望江 客厅开间7.6米 4室2卫 契税2年外可贷款,盈胜星光 -星光江城,4室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 6天以前发布,142.5,"10,179元/平"
松江家园北区 2室1厅 南 北,松江家园北区 -昌邑区政府,2室1厅 | 80平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,29.8,"3,725元/平"
锦东花园小区.八家子早市.昌邑区..,锦东花园 -八家子早市,2室2厅 | 109.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,43,"3,924元/平"
园艺小区 南北 ，多层3 楼 采光好 楼层好,园艺小区 -丰满二实验,2室1厅 | 62.37平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,36.8,"5,901元/平"
财富广场 上海路小区(武昌路 儿童公园,上海路小区(武昌路) -财富广场,1室1厅 | 40.3平米 | 西 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 9天以前发布,21,"5,211元/平"
昌晟景园 1室1厅 南 北,昌晟景园 -独立路,1室1厅 | 49.34平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 4天以前发布,14,"2,838元/平"
出行方便，户型方正，小区位置好，诚心出售,烽火B一区 -烽火丰满一实验,3室2厅 | 126平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,65,"5,159元/平"
广泽紫晶城多层 ，3楼，南北通透，2室大H户型,广泽紫晶城二期 -吉林一中,2室1厅 | 93.85平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,69.8,"7,438元/平"
信合裕达。电梯洋房。五楼。户型方正,信和裕达 -八家子早市,2室2厅 | 89.9平米 | 南 西 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,66.8,"7,431元/平"
房子两年外，产权清晰，环保装修，拎包入住！,万达·江畔华城C区 -万达广场,2室2厅 | 86.95平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,69.8,"8,028元/平"
恒东花园 2室1厅 南 北,恒东花园 -八一,2室1厅 | 107平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,65.5,"6,122元/平"
出行方便，户型方正，居住方便舒适 江边 长白岛,江畔明珠一区 -解放北路,3室2厅 | 140平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 4天以前发布,59.8,"4,272元/平"
辽东小区 2室1厅 南 北,辽东小区 -火车站东广场,2室1厅 | 58.6平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 4天以前发布,24.8,"4,233元/平"
多层四楼 总高五楼 无公摊 大H户型 有书包 采光好,新建北小区 -和平街,2室2厅 | 92平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3天以前发布,62.8,"6,827元/平"
适合老人住，楼层低，装修好，商圈范围大,莲锦小区 -十一中,2室1厅 | 54平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,29.8,"5,519元/平"
莲锦小区一楼通透格局 60平精装价格便宜,莲锦小区 -十一中,2室1厅 | 60平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,29.8,"4,967元/平"
交通便利 小区环境干净舒适 适合居,江畔明珠一区 -解放北路,3室2厅 | 139.87平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,59.8,"4,276元/平"
联吉小区（维北小区） 1室1厅 南,联吉小区（维北小区） -昌邑公安分局,1室1厅 | 47.18平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 10天以前发布,20.6,"4,367元/平"
此房满二年唯一 南北格局 出行方便,吉林铁东中区 -和平街,2室1厅 | 47平米 | 南 | 精装 | 高楼层(共7层)  | 平房,0人关注 / 10天以前发布,19.8,"4,213元/平"
长光小区 2室1厅 南 北,长光小区 -八一,2室1厅 | 62平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,37.5,"6,049元/平"
新建北区优质房源，电话预约，看房方便,新建北区 -十一中,2室1厅 | 50平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 8天以前发布,15,"3,000元/平"
楼层好，不遮不挡，九中，价格合理,上海路小区(武昌路) -财富广场,3室1厅 | 72平米 | 东 西 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 4天以前发布,33,"4,584元/平"
金岸名苑 1室1厅 东,金岸名苑 -东北电力,1室1厅 | 43平米 | 东 | 其他 | 中楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,25,"5,814元/平"
通潭西区精品5楼户型方正价格小议就卖一个月,通潭西区 -解放北路,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,42,"5,250元/平"
电梯9楼层 个人精装，采光好，房主 诚心出售随时看房,青云尚筑 -厦门街,2室1厅 | 79.05平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,56,"7,085元/平"
业主急售家庭装修急售 ）店长推荐业主急,江畔明珠一区 -解放北路,2室1厅 | 110.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 15天以前发布,53.8,"4,869元/平"
三室两厅两卫户型方正，开间4米2，落地飘窗宽敞明亮。,榮邦华福 -红星美凯龙,3室2厅 | 133平米 | 南 北 | 其他 | 低楼层(共15层)  | 板楼,0人关注 / 14天以前发布,61.8,"4,647元/平"
出行方便，户型好，配套成熟，采光好,鑫兴君府 -八一,2室2厅 | 103平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,65,"6,311元/平"
锦东世纪新村 电梯4楼  不把山不临街  可以贷款,錦東世纪新村 -昌邑公安分局,2室2厅 | 117.9平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,63,"5,344元/平"
中间楼层，拎包入住，下楼大福源四店,神华·万利城 -大润发四店,2室1厅 | 100平米 | 南 北 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,55.8,"5,580元/平"
鸿博景园三室两卫南北通透 诚心出售,鸿博景园 -万达江畔,3室3厅 | 109平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 11个月以前发布,65,"5,964元/平"
幸福二区 1室1厅 南,幸福二区 -十一中,1室1厅 | 39.48平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 11天以前发布,16.8,"4,256元/平"
帕萨迪纳 精装两室 家具家电齐全 大H格局,帕萨迪纳 -中东,2室2厅 | 95平米 | 南 北 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 12天以前发布,56,"5,895元/平"
鸿博花园2-1-1-1 72.00m² 31 万,鸿博花园 -大润发二店,2室1厅 | 71.9平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,17人关注 / 一年前发布,26,"3,617元/平"
小区封闭式小区 房子南北格局 采光好 通风好,和谐里 -火车站东广场,2室1厅 | 87.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 7天以前发布,39,"4,458元/平"
世纪花园南区 3室2厅 南 北,世纪花园南区 -厦门街,3室2厅 | 177平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,97.5,"5,509元/平"
胜昌小区 采光好 两室一厅 采光好,胜昌小区 -八家子早市,2室1厅 | 67平米 | 东 西 | 简装 | 中楼层(共7层)  | 平房,0人关注 / 5天以前发布,30,"4,478元/平"
绿地国际花都南北通透无遮挡，随时看，拎包入住。,绿地国际花都 -雾凇中路,2室1厅 | 76平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,47,"6,185元/平"
户型方正，高楼层，采光好，配套设施齐全，交通便利,万星亲亲家园南区 -丰满二实验,2室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4天以前发布,75.8,"7,735元/平"
亚太欣城精装修拎包入住随时看房,亚泰欣城 -桃源路,2室1厅 | 76平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4天以前发布,46.8,"6,158元/平"
辽东二区 2室2厅 东 西,辽东二区 -昌邑公安分局,2室2厅 | 100平米 | 东 西 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 3天以前发布,27.8,"2,780元/平"
乐园小区二区 3室1厅 东 西,乐园小区二区 -西安路,3室1厅 | 73平米 | 东 西 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 3天以前发布,33,"4,521元/平"
地理位置优越，周 边商圈成熟，小区环境好，适宜居住,乐园小区一区 -西安路,2室2厅 | 98平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,27.8,"2,837元/平"
乐园小区二区 2室1厅 西,乐园小区二区 -西安路,2室1厅 | 59平米 | 西 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 5天以前发布,18,"3,051元/平"
此房家具家电齐全，距离亚桥一实验近 交通便利,高新花园 -厦门街,2室2厅 | 100.9平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,25.5,"2,528元/平"
采光充足，配套设施齐，交通便利 出行方便 户型方正,乐园小区二区 -西安路,2室2厅 | 73平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 6天以前发布,39.8,"5,453元/平"
此房为2年外 2居室，交通便利 江边近,卓越上乘小区 -松花江中学,2室1厅 | 69平米 | 南 北 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 3天以前发布,46.8,"6,783元/平"
盈胜幸福里 南北通透 多层四楼 精装婚房,盈胜幸福里 -二手车市场,2室2厅 | 75.71平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,50,"6,605元/平"
幸福馨苑 2室1厅 南 北,幸福馨苑 -十一中,2室1厅 | 65.98平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,31.8,"4,820元/平"
拎包入住，交通四通八达，出行方便,莲花小区 -十一中,2室1厅 | 76平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 9天以前发布,32.4,"4,264元/平"
西河通小区 2室1厅 东,西河通小区 -和平街,2室1厅 | 61.89平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,22,"3,555元/平"
幸福二区，多层采光好，适合居住。,幸福二区 -十一中,1室1厅 | 41平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 23天以前发布,24.6,"6,000元/平"
前锋新村 南北通透 闭封小区 出行方便 购物方便,前锋新村一区 -八一,2室1厅 | 68.98平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,28.5,"4,132元/平"
师院小区 1室1厅 南,师院小区 -丰满二实验,1室1厅 | 41.1平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,16.5,"4,015元/平"
中东凯悦公馆 2室1厅 南 北,中东凯悦公馆 -中东,2室1厅 | 89平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 17天以前发布,61,"6,854元/平"
桃园路旁 高层12楼 精装三室 可双贷,天鸿桃源礼 -桃源路,3室2厅 | 103.37平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 21天以前发布,65,"6,289元/平"
和龙小区-南北通透-楼层好-随时看房-价格可议,和龙小区 -北京路,2室2厅 | 80平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,48.8,"6,100元/平"
乾丰园，户型方正，价位低，交通方便,乾豐園 -十一中,2室1厅 | 64平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,18,"2,813元/平"
和龙小区81平米，南北通透，两室室两厅采光充足。,和龙小区 -北京路,2室1厅 | 81平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,25.6,"3,161元/平"
精装修 格局好 朝向好 拎包入住,辽东小区 -火车站东广场,2室1厅 | 75平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 14天以前发布,27.5,"3,667元/平"
此房两年外产权清晰楼层好采光好配套设施齐全交通便利,翠江锦苑西区 -水门洞,3室2厅 | 134平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,1人关注 / 16天以前发布,118.8,"8,866元/平"
精装修 格局好 朝向好 拎包入住,辽东小区 -火车站东广场,2室1厅 | 75平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 14天以前发布,27.5,"3,667元/平"
单价低昌邑区政府旁恒利一号楼东西厢房三楼简单装修,恒利 -万达广场,2室2厅 | 125.9平米 | 东 西 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 9天以前发布,51,"4,051元/平"
锦绣花园(船营区) 2室1厅 南,锦绣花园(船营区) -农林街,2室1厅 | 56平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 8天以前发布,27.8,"4,965元/平"
北北嘉园  嘉园市场  玄天岭公园  生活条件便利,北极嘉园南区 -北极街,2室1厅 | 75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,33.8,"4,507元/平"
万科上东区 两室 南北通透大H户型拎包入住采光好,万科上东区 -万科城,2室2厅 | 89.04平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 10天以前发布,65,"7,301元/平"
解放大路，鞍山街，仿古南区。。,仿古南区 -北山,2室1厅 | 58.9平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,22,"3,736元/平"
东西方正户型 小区地段好 交通便利,长光小区 -八一,2室1厅 | 64平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8天以前发布,21.2,"3,313元/平"
江南厦门街 封闭小区 价格便宜 可贷款,万馨花园 -八一,2室1厅 | 63平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,29.8,"4,731元/平"
税務小區 2室2厅 南 北,税務小區 -八一,2室2厅 | 66.45平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,28.5,"4,289元/平"
鸿博花园一室一厅41.00m²，多层四楼。价格便宜,鸿博花园 -大润发二店,1室1厅 | 41平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,17人关注 / 5个月以前发布,11,"2,683元/平"
精装修小h南北通透户型不顶随时可看,通佰小区 -农林街,2室1厅 | 69.5平米 | 东 西 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,26.8,"3,857元/平"
出行方便，户型方正，方便舒适，配套成熟 离北山近..,北胜小区 -北山,1室1厅 | 42.7平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 20天以前发布,17,"3,982元/平"
采光充足，配套设施齐，交通便利 出行方便 户型方正,乐园小区一区 -西安路,2室1厅 | 62平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,25,"4,033元/平"
港岸馨城 电梯小高层 二室一厅 简单装修 可贷款,港岸鑫城 -东北电力,2室1厅 | 63平米 | 南 北 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 24天以前发布,26,"4,127元/平"
楼层视野开阔，小区环境优美，空气清新物业管理好,万星现代城 -丰满二实验,3室2厅 | 153.78平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 30天以前发布,90,"5,853元/平"
双阳户型 中间楼层 采光好 交通便利,新建北小区 -和平街,1室1厅 | 65平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 17天以前发布,33,"5,077元/平"
小区环境好，适合各类人群居住。,榮邦华福 -红星美凯龙,2室2厅 | 93.08平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,45.8,"4,921元/平"
此房为多层四楼两室一厅，位置好交通便利，配套齐全。,金江小区 -西安路,2室1厅 | 57平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,39.8,"6,983元/平"
苏宁悦澜湾 小高 10楼 户型方正 全天采光,苏宁悦兰湾 -苏宁,3室2厅 | 105.5平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,56.8,"5,384元/平"
多层三楼 一居室 下楼就是市场 商圈配套齐全,莲山新居 -十一中,1室1厅 | 48.11平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,20,"4,158元/平"
