标题,开发商,房子信息,发布信息,售价/万,单价
神农城，华晨御园毛坯大三房，中间楼层，价格可刀,华晨御园 -奥园城市广场,3室2厅 | 133.88平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 8天以前发布,83.8,"6,260元/平"
翡翠公园低楼层 买给父母养老 户型好 南北朝向,北大资源·翡翠公园 -枫溪街道,3室2厅 | 107.44平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,65,"6,050元/平"
株百两房价格住小三房 精装修三房两厅,学塘冲社区 -芦淞区,3室2厅 | 84.96平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,21人关注 / 一年前发布,49,"5,768元/平"
栗雨兴湖家园一期  带2个60平露台   毛坯   带车库,兴湖家园 -栗雨（美的城）,4室2厅 | 162.06平米 | 南 | 毛坯 | 高楼层(共7层)  | 平房,46人关注 / 一年前发布,42.68,"2,634元/平"
精装修 户型格局好 看房方便 诚心出售,栗雨城颐景园 -栗雨（美的城）,3室2厅 | 140.94平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,79,"5,606元/平"
雅礼学府当代上品湾南通通透四房随时看房,当代上品湾MOMΛ（当代尚品苑） -湖南工业大学,4室2厅 | 132.93平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,78,"5,868元/平"
解放路春天国际 毛坯 四房两厅 电梯中间楼层。,春天国际 -醴陵市,4室2厅 | 151.65平米 | 东北 | 毛坯 | 低楼层(共31层)  | 塔楼,1人关注 / 一年前发布,85.5,"5,638元/平"
红旗广场 房东诚心出售 精装修拎包入住看房方便,湖南省地质矿产勘查开发局416队家属院 -向阳广场,3室2厅 | 90平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,38,"4,223元/平"
交通便利，环境舒适，事宜居住，配套齐全,英伦国际 -株洲县,3室2厅 | 127.42平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,57,"4,474元/平"
醴陵大道碧桂园。精装修，楼层好，电梯四房,醴陵碧桂园 -醴陵市,4室2厅 | 144.02平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,89.8,"6,236元/平"
芦淞区锦绣江山小区电梯精装大3房,锦绣江山 -庆云山,3室2厅 | 135.51平米 | 南 | 简装 | 高楼层(共15层)  | 板塔结合,3人关注 / 一年前发布,72.8,"5,373元/平"
单价低，采光通风佳，可拎包入住,跃进村 -向阳广场,3室1厅 | 101.28平米 | 东南 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,35.5,"3,506元/平"
晋合湘水湾三期 4室2厅 南,晋合湘水湾三期 -神农城,4室2厅 | 164.2平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,165,"10,049元/平"
青龙湾大三房 电梯中间楼层  即买即装修,英伦国际 -株洲县,3室2厅 | 139.26平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 6个月以前发布,67,"4,812元/平"
单价3000多，人寿保险单位房加装电梯。顶楼做了防水。,中国人寿宿舍 -奥园城市广场,3室1厅 | 108.32平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,35,"3,232元/平"
春藤小镇 4室2厅 南,春藤小镇 -株洲西站,4室2厅 | 115.6平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,110,"9,516元/平"
春藤小镇 4室2厅 南,春藤小镇 -株洲西站,4室2厅 | 115.6平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,110,"9,516元/平"
单价3000多，人寿保险单位房加装电梯。顶楼做了防水。,中国人寿宿舍 -奥园城市广场,3室1厅 | 108.32平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,35,"3,232元/平"
晋合湘水湾三期 4室2厅 南,晋合湘水湾三期 -神农城,4室2厅 | 164.2平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,165,"10,049元/平"
湘银星城（恒大华府） 4室2厅 东南,湘银星城（恒大华府） -湖南工业大学,4室2厅 | 150.56平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,92.8,"6,164元/平"
此房户型周正 精装三房 诚心出售,中泰财富湘江 -市中心医院,3室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,87.8,"8,130元/平"
奥园广场商圈  单位电梯小区  户型舒适  好住不贵,四一六小区 -奥园城市广场,3室2厅 | 133.6平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,82.8,"6,198元/平"
东区高档小区 全新装修 没有入住过 装修好,歌雅郡 -向阳广场,4室2厅 | 106.84平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,7人关注 / 一年前发布,82.8,"7,750元/平"
狮子坡商圈 市中芯好位置 精装大三房 低首付即可,狮子坡18号 -醴陵市,3室2厅 | 134平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,38,"2,836元/平"
财富小区 优质楼层 好房优价出售,财富小区 -市党委校,4室2厅 | 139.54平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,75,"5,375元/平"
此房满两年，采光通风，视野开阔,百合嘉园 -向阳广场,3室2厅 | 112.02平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,60,"5,357元/平"
株洲碧桂园 3室2厅 南 北,株洲碧桂园 -株洲北,3室2厅 | 107.79平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,65,"6,031元/平"
钻石怡园清水房三房两厅一厨二卫出售,钻石怡园 -奥园城市广场,3室2厅 | 119.71平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,59.8,"4,996元/平"
湘银·山水文园 3室2厅 南,湘银·山水文园 -湖南工业大学,3室2厅 | 139.18平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,32人关注 / 一年前发布,68,"4,886元/平"
近几年的装修，有钥匙，随时可以看房！,湘银小区 -滨江广场,3室2厅 | 103.68平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,44,"4,244元/平"
文化路机关小区，小三房      业主诚心出售,株洲市人民检察院宿舍 -红旗广场,3室1厅 | 74.22平米 | 东南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,28.8,"3,881元/平"
栗雨湖美的城毛坯大平层四房  单价5700/平独梯独户,美的城 -栗雨（美的城）,4室2厅 | 173.63平米 | 东南 西北 | 简装 | 中楼层(共33层)  | 板塔结合,1人关注 / 5个月以前发布,96.8,"5,576元/平"
四桥头楼梯三楼精装三房拎包入住随时看房房东诚心出售,庆云山二村 -徐家桥商业步行街,3室2厅 | 119.03平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,6人关注 / 7个月以前发布,41.5,"3,487元/平"
高科慧谷阳光 3室2厅 南,高科慧谷阳光 -栗雨（美的城）,3室2厅 | 133.41平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,4人关注 / 7个月以前发布,75,"5,622元/平"
交通便利，无遮挡，视野开阔，采光好,当代上品湾MOMΛ（当代尚品苑） -湖南工业大学,4室2厅 | 138.36平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,3人关注 / 5个月以前发布,238,"17,202元/平"
业主外地发展，结婚精装全屋品牌家具家电，5800平,凯风龙城 -田心,4室2厅 | 143.44平米 | 东 | 精装 | 中楼层(共26层)  | 暂无数据,4人关注 / 8个月以前发布,82,"5,717元/平"
红旗商圈结婚精装拆在即两房出售,水仙路7号 -向阳广场,2室1厅 | 66.17平米 | 东南 | 精装 | 高楼层(共5层)  | 暂无数据,7人关注 / 一年前发布,28,"4,232元/平"
开阔视野  奥园广场经典三房户型  采光通透 户型周正,奥园广场 -奥园城市广场,3室2厅 | 106平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,4人关注 / 7个月以前发布,79.5,"7,500元/平"
红旗广场 桂花路口 2房精装 交通便利,廖家冲 -向阳广场,2室1厅 | 65.26平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,28.8,"4,414元/平"
大江观邸 居家精装房 家电家具齐全 拎包入住,大江观邸 -株洲大道（体育馆）,3室1厅 | 84.91平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,60,"7,067元/平"
庆云山庄  三房  简单装修  带杂物间 急售,庆云山庄 -庆云山,3室1厅 | 96.5平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,42.8,"4,436元/平"
经世龙城大三房南北双阳台带一个车位！仅售6100,经世龙城 -栗雨（美的城）,3室2厅 | 137.53平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,1人关注 / 2个月以前发布,84,"6,108元/平"
体育馆旁拎包入住三房  精致居家,大江观邸 -株洲大道（体育馆）,3室1厅 | 86.03平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,56.8,"6,603元/平"
栗雨株百协力颐景园精装自住大三房满两年直接拎包入住,协力▪颐景园三期 -栗雨（美的城）,3室2厅 | 153.27平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,2人关注 / 4个月以前发布,83.8,"5,468元/平"
向阳智轨旁，居家精装三房，因房东工作调动，诚心出售,馨香小區 -向阳广场,3室2厅 | 147.87平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,56.8,"3,842元/平"
房东急售，户型方正，配套醇熟。,名雅阁 -高家坳,4室2厅 | 143平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,48,"3,357元/平"
房东急售，户型方正，配套醇熟。,名雅阁 -高家坳,4室2厅 | 143平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,48,"3,357元/平"
向阳智轨旁，居家精装三房，因房东工作调动，诚心出售,馨香小區 -向阳广场,3室2厅 | 147.87平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,56.8,"3,842元/平"
湘水湾三期 精装三房两卫 带品牌家私,晋合湘水湾三期 -神农城,3室2厅 | 115.34平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,4人关注 / 4个月以前发布,92,"7,977元/平"
【新华联 紫荆苑】精装电梯三房 带车位 带地暖,紫荆苑 -醴陵市,3室2厅 | 127.96平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,98,"7,659元/平"
五桥头大拇指广场，花园洋房，车库上一楼，有杂物间,尚格名城花好悦园 -株洲大道（体育馆）,3室2厅 | 127.59平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,78,"6,114元/平"
与公园相伴 精装3房 首付2成,嘉泰大厦 -东湖,3室2厅 | 103.46平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,1人关注 / 9个月以前发布,49,"4,737元/平"
五桥头，尚格六期，江景三房，电梯中高层，诚心卖,尚格名城万家理想 -株洲大道（体育馆）,3室2厅 | 94.82平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,55,"5,801元/平"
金石小区 3室2厅 南 北,金石小区 -醴陵市,3室2厅 | 124.05平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,39.8,"3,209元/平"
房子满俩年，业主诚心出售，看房随时方便。,奥园广场 -奥园城市广场,4室2厅 | 98.07平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,89,"9,076元/平"
新桂未来 3室2厅 南 北,新桂未来 -向阳广场,3室2厅 | 120.39平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 1个月以前发布,86.8,"7,210元/平"
万达广场商圈 精装三房 首付15万,锦绣香江 -石峰区,3室2厅 | 101.03平米 | 东 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,68,"6,731元/平"
电梯中间楼层 精装大四房 南北通透,印象華都一期 -田心,4室2厅 | 127.34平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,70,"5,498元/平"
贺家土中医院公园路 全新精装电梯三房 拎包入住,汇宇芳庭 -天鹅湖公园,3室2厅 | 111.03平米 | 东南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,53.8,"4,846元/平"
1恒丰小区，业主结婚的装修，125平带杂物间出售,恒丰小区 -田心,3室2厅 | 130.12平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,45.98,"3,534元/平"
万达广场 精装两房 房东诚心出售,御景龙湾 -汽车城,2室1厅 | 78.95平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,50.8,"6,435元/平"
四房  电梯  单价便宜  业主诚心出售,嶺秀天下 -荷塘区,4室2厅 | 142.01平米 | 东 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,56.8,"4,000元/平"
华盛大厦  楼梯房 四楼  老式装修 可以入住,华盛大厦 -徐家桥商业步行街,2室2厅 | 85.26平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,34,"3,988元/平"
江源蔚蓝国际清水毛坯 视野采光好 户型方正,蔚蓝国际 -醴陵市,3室2厅 | 132.67平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,63.8,"4,809元/平"
长江路，武警新村单位小区，理想楼层大4房急卖,武警新村 -庐山路,4室2厅 | 172.76平米 | 南 北 | 精装 | 低楼层(共7层)  | 塔楼,2人关注 / 4个月以前发布,72,"4,168元/平"
株洲恒大林溪郡 3室2厅 东南,株洲恒大林溪郡 -向阳广场,3室2厅 | 113.41平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,110,"9,700元/平"
工业大学旁，龙腾国际三房，毛坯价格。满二,龙腾国际 -湖南工业大学,3室2厅 | 127.13平米 | 南 | 简装 | 高楼层(共28层)  | 板楼,9人关注 / 8个月以前发布,74.8,"5,884元/平"
神农城旁亿都漫城双阳台大四房的房率高,亿都漫城 -湖南工业大学,4室2厅 | 130.93平米 | 东 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,88.8,"6,783元/平"
恒大华府 百万居家大盘  6字头精装大四房 含11万车位,株洲恒大华府 -湖南工业大学,4室2厅 | 139平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,3人关注 / 5个月以前发布,95,"6,835元/平"
神农城旁，玫瑰御园南北通透大三房，诚心出售。,玫瑰御园 -湖南工业大学,3室2厅 | 127.31平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,77.8,"6,112元/平"
翡翠公园 电梯中间楼层内复 挑高隔好 使用面积260平,北大资源·翡翠公园 -枫溪街道,4室2厅 | 163.93平米 | 东 | 毛坯 | 中楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,109,"6,650元/平"
碧玉花园上叠 hao装全实木家具 带阳光房 车库,碧玉花园 -庆云山,6室2厅 | 253平米 | 南 | 精装 | 下叠(共3层)  | 板楼 | 叠拼别墅 ,2人关注 / 3个月以前发布,158,"6,246元/平"
经世huang 电梯江景 带暖气三房 有钥匙 可以随时看房,经世皇城 -庆云山,3室2厅 | 143.97平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,89,"6,182元/平"
解放街幸福村精装三房，拎包可入住,幸福村(解放街) -徐家桥商业步行街,3室2厅 | 114.19平米 | 东南 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,38.8,"3,398元/平"
此房新房 未满两年 采光通风佳 视野开阔,新城樾府 -向阳广场,4室2厅 | 162.67平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 4个月以前发布,180,"11,066元/平"
4字头的电梯毛坯房，大家可以看看,枫林绿洲 -庆云山,3室2厅 | 115.97平米 | 南 | 毛坯 | 高楼层(共12层)  | 塔楼,5人关注 / 8个月以前发布,47.8,"4,122元/平"
翡翠公园 电梯中间楼层内复 挑高隔好 使用面积260平,北大资源·翡翠公园 -枫溪街道,4室2厅 | 163.93平米 | 东 | 毛坯 | 中楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,109,"6,650元/平"
神农城旁亿都漫城双阳台大四房的房率高,亿都漫城 -湖南工业大学,4室2厅 | 130.93平米 | 东 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,88.8,"6,783元/平"
工业大学旁，龙腾国际三房，毛坯价格。满二,龙腾国际 -湖南工业大学,3室2厅 | 127.13平米 | 南 | 简装 | 高楼层(共28层)  | 板楼,9人关注 / 8个月以前发布,74.8,"5,884元/平"
恒大华府 百万居家大盘  6字头精装大四房 含11万车位,株洲恒大华府 -湖南工业大学,4室2厅 | 139平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,3人关注 / 5个月以前发布,95,"6,835元/平"
田园式小区，环境优美，交通方便。,株洲恒大华府 -湖南工业大学,3室2厅 | 123.32平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,92,"7,461元/平"
恒大华府 精装好房未入住过，业主诚心出售，价格好谈,株洲恒大华府 -湖南工业大学,3室1厅 | 129.06平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,1人关注 / 11个月以前发布,106,"8,214元/平"
龙腾国际 周正大4房 带子母车位 杂物间 诚心出售,龙腾国际 -湖南工业大学,4室2厅 | 140.66平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,2人关注 / 3个月以前发布,111.8,"7,949元/平"
株洲大道体育馆旁锦绣华都 毛坯通透三房,锦绣华都 -株洲大道（体育馆）,3室2厅 | 116平米 | 西南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,68,"5,863元/平"
房子位置好菜市场 公园 带电梯,城市公馆 -大润发,3室2厅 | 98.76平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 2个月以前发布,56.8,"5,752元/平"
茶叶市场，精装大两房做三房 ，可随时看房。,锦云小区 -大润发,3室2厅 | 101.94平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,39.8,"3,905元/平"
蓝溪谷，毛胚四房，视野好，业主诚心出售,美的蓝溪谷 -栗雨（美的城）,4室2厅 | 138.23平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,89.89,"6,503元/平"
蓝溪谷 精装大4房 环境优美 拎包入住,美的蓝溪谷 -栗雨（美的城）,4室2厅 | 161.68平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,139.8,"8,647元/平"
工大正兑面，精装修，舒适大三房，诚意出售,康桥美郡 -湖南工业大学,3室2厅 | 129.64平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,3人关注 / 7个月以前发布,81.8,"6,310元/平"
奥园广场毛坯三房两卫 房东诚心出售,奥园广场 -奥园城市广场,3室2厅 | 106.51平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,9人关注 / 一年前发布,81.8,"7,681元/平"
南区 糕端小区 山水国际 电梯精装三房 诚心出售有钥匙,山水国际晶庭 -庆云山,3室2厅 | 137.67平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 8个月以前发布,79.8,"5,797元/平"
舒适居家大两房 首付低拎包入住即可,荷塘区政府机关宿舍区 -大润发,2室1厅 | 72.55平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,1人关注 / 3个月以前发布,26.6,"3,667元/平"
神农商圈 满两年 精装大三房带杂物间 可直接入住,恒瑞雅园 -奥园城市广场,3室1厅 | 123.49平米 | 南 北 | 精装 | 中楼层(共24层)  | 塔楼,4人关注 / 一年前发布,82,"6,641元/平"
【湘东建材市场】步梯，简单装修,湘东建材市场 -醴陵市,3室2厅 | 132.4平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 8个月以前发布,48,"3,626元/平"
金色荷塘，全新装修，业主搬迁广东，诚心出售,中房·金色荷塘 -大润发,3室2厅 | 133.4平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,76.8,"5,758元/平"
泰山西路美的物业毛坯小三房 原价出售,美的铂悦府 -株洲西站,3室2厅 | 106.35平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,70,"6,583元/平"
炎帝广场神农城 奥园广场 毛坯三房 三个阳台 户型周正,奥园广场 -奥园城市广场,3室2厅 | 114平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,79,"6,930元/平"
尚格名称，满两年，简装三房，业主诚心chu pin,湘银小区世纪花园 -滨江广场,3室1厅 | 120.9平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,75,"6,204元/平"
北大资源·翡翠公园 5室2厅 南,北大资源·翡翠公园 -枫溪街道,5室2厅 | 153.87平米 | 南 | 毛坯 | 低楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,150,"9,749元/平"
精装房，正规一房一厅，拎包入住,城市公馆 -大润发,1室1厅 | 54.87平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,4人关注 / 8个月以前发布,28,"5,103元/平"
西域名邸 老白鹤 电梯高层 入户花园 诚心出售,金洲西域名邸 -长江广场（市政府）,3室2厅 | 147.29平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,103,"6,994元/平"
适合在市场做生意的人群 出行方便,王塔冲小区 -庆云山,2室1厅 | 72.31平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,25.7,"3,555元/平"
奥园广场商圈  师专单位房  户型周正  小区环境清幽,教工宿舍 -奥园城市广场,3室2厅 | 80.09平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 11个月以前发布,42.3,"5,282元/平"
中南菜市场正门口三室两厅两卫出售 户型周正,余家冲 -大润发,3室2厅 | 110.14平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,21人关注 / 一年前发布,36.6,"3,324元/平"
芦淞区品质楼盘 经世黄城 精装四房双阳台视野好无遮挡,经世皇城 -庆云山,4室2厅 | 144.58平米 | 东南 南 西南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 7个月以前发布,87.4,"6,046元/平"
荷塘区城央房源，购物出行一站式,顺达花园 -大润发,3室2厅 | 134.69平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,1人关注 / 一年前发布,53.8,"3,995元/平"
美的城 3室2厅 东南,美的城 -栗雨（美的城）,3室2厅 | 104.82平米 | 东南 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,68.8,"6,564元/平"
江边，全新毛坯大四房，业主诚意出售，价格便宜,近水楼台 -滨江广场,4室2厅 | 132平米 | 东南 | 毛坯 | 高楼层(共19层)  | 板楼,6人关注 / 8个月以前发布,76.6,"5,804元/平"
万达广场P 商圈成熟 地段好 喽汪栋 电梯房 低手付,歌雅郡 -向阳广场,4室2厅 | 133.74平米 | 东南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,83,"6,207元/平"
业主急售　二中边翡翠名园　三+一房南北通三阳台,金轮·翡翠名园 -株洲西站,4室2厅 | 129.5平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,11人关注 / 一年前发布,104,"8,031元/平"
栗雨湖 佳兆业二期 毛坯三房 首付15万 满2年,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 94.24平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,53,"5,624元/平"
北汽 太子奶工厂月塘小区简装三房单价3900/平,月塘小区二期 -株洲西站,3室2厅 | 109.12平米 | 东南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,43,"3,941元/平"
栗雨湖精装三房      业主诚心出售,湖景名城 -栗雨（美的城）,2室2厅 | 103.41平米 | 东南 | 精装 | 高楼层(共30层)  | 板塔结合,6人关注 / 一年前发布,58.6,"5,667元/平"
栗雨湖畔 城市的CBP佳兆业 毛坯 三房二厅二卫,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 118.02平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,8人关注 / 一年前发布,66,"5,593元/平"
人车分流，房子在中间楼层，楼间距宽，绿化高,恒大悦珑台 -株洲西站,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,108,"9,000元/平"
佳兆业金域天下西区 3室2厅 东南,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 118.8平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,67.8,"5,708元/平"
天元区庐山路 福泰国际140平 单价6500 中间层 视野好,福泰国际 -庐山路,3室2厅 | 140.28平米 | 南 北 | 简装 | 中楼层(共17层)  | 塔楼,1人关注 / 一年前发布,85,"6,060元/平"
精装三房带全套家具家电 带全套拎包入住,金轮·翡翠名园 -株洲西站,3室1厅 | 89.83平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,80,"8,906元/平"
湖南日报旁 交通便利 步梯三楼 随时看房 诚心出售,嵩源小区 -庐山路,3室1厅 | 129.32平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,62.8,"4,857元/平"
栗雨湖旁 电梯精装三房 南北采光 居家好选择,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 125.66平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,77.8,"6,192元/平"
华晨山水洲城，南北通透毛坯四房,华晨·山水洲城 -株洲西站,4室2厅 | 136.9平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,86,"6,282元/平"
河西中  心地段主干道旁大三房诚意急售,富绅花园 -庐山路,3室2厅 | 130平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,57.8,"4,447元/平"
新文化路 荷塘观邸 毛坯3房 中间楼层 看房有钥匙,荷塘观邸 -红旗广场,3室2厅 | 127.35平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,68.8,"5,403元/平"
双阳台   上红旗路 桂花路精装三房改四房  随时看房,创信中央皇庭 -向阳广场,3室2厅 | 133.91平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,68.8,"5,138元/平"
满两年，边户4房，视野开阔，无遮挡，采光明亮。,山水洲城 -株洲西站,4室2厅 | 140.29平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,76,"5,418元/平"
武广板块  三房二卫  7米长大阳台  可看江景,春藤小镇 -株洲西站,3室1厅 | 104.09平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,83.8,"8,051元/平"
