标题,开发商,房子信息,发布信息,售价/万,单价
此房精装修拎包入住，楼层好 视野开阔，生活便利。。,凯旋中央城 -吉州区,2室2厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 22天以前发布,75.8,"8,994元/平"
吉安  青原区  滨江首府 双阳台正规三房,滨江首府 -青原区,3室2厅 | 125.16平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 29天以前发布,102.5,"8,190元/平"
融城 3室2厅 南 北,融城 -吉安县,3室2厅 | 129.03平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 25天以前发布,95,"7,363元/平"
吉福路48号 5室2厅 南,吉福路48号 -吉州区,5室2厅 | 174.52平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 14天以前发布,105,"6,017元/平"
凯旋瀚林府毛坯正三房楼层采光很好,凯旋翰林府 -吉州区,3室2厅 | 86.16平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,0人关注 / 12天以前发布,92,"10,678元/平"
面积大，总价低，位置好，采光足，配套齐全,文山步行街 -吉州区,2室2厅 | 134.09平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 12天以前发布,89,"6,638元/平"
桃源盛景，吉州大道，精装电梯三房，独梯独户,桃源盛景 -吉州区,3室2厅 | 143.33平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 10天以前发布,157,"10,954元/平"
阳光家苑，毛坯4房，通透，楼层采光很好，,阳光家苑 -吉州区,4室2厅 | 138.85平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 14天以前发布,133,"9,579元/平"
业主急售智慧城楼梯房，公摊面积小,智慧城 -吉安县,3室2厅 | 121.14平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,76.8,"6,340元/平"
六合盛世鹭洲观澜 精装修复式楼,六合盛世鹭洲观澜 -吉州区,3室2厅 | 151平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 19天以前发布,108,"7,153元/平"
精装修带大阳台2房，南北通风，市区位置！交通便利！,湖滨花苑 -吉州区,2室2厅 | 105.86平米 | 南 | 精装 | 高楼层(共8层)  | 平房,0人关注 / 15天以前发布,90,"8,502元/平"
华泰佳苑  中间好楼层   精装3房,华泰佳苑 -泰和县,3室2厅 | 124.71平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 19天以前发布,88,"7,057元/平"
此房满5年 精致装修 采光充足 前面带大院子,聚源东区 -吉州区,7室3厅 | 287.9平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 ,0人关注 / 13天以前发布,368,"12,783元/平"
城北三个大阳台的大三房你见过没,龙湾华庭 -永新县,3室2厅 | 137.7平米 | 南 | 毛坯 | 中楼层(共12层)  | 板楼,0人关注 / 16天以前发布,98,"7,117元/平"
房子带一个19平车库，位置中，大润发对,华兴新村 -吉水县,3室2厅 | 153.05平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,75,"4,901元/平"
凯旋华府 简单装修 南北对流 四房,凯旋华府 -吉州区,4室2厅 | 139.49平米 | 南 北 | 简装 | 高楼层(共15层)  | 板楼,0人关注 / 10天以前发布,108,"7,743元/平"
文峰中大道简装三房两厅一卫，带9㎡柴间。,文峰中大道 -吉水县,3室2厅 | 95.37平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,50,"5,243元/平"
凤山洋房三层带前后院子精装修，住别墅的体验,鳳山蓝湾 -吉州区,6室3厅 | 254.58平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,290,"11,392元/平"
井冈春天小区 3室2厅 南 北,井冈春天小区 -吉安县,3室2厅 | 115.16平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 15天以前发布,82,"7,121元/平"
此房为营业性质，位置好，交通便利。,时代商贸小区 -吉水县,3室2厅 | 110.44平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,90,"8,150元/平"
当你清晨起床就有一镂阳光照近来，暖洋洋的,新世纪商城 -吉安县,3室2厅 | 145.13平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,102,"7,029元/平"
电信局宿舍 4室2厅 南 北,电信局宿舍 -吉安县,4室2厅 | 111.29平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 11天以前发布,80,"7,189元/平"
新城区小区环境好，物业好绿化好，配套齐全。购物方便,财富中央城 -永丰县,5室4厅 | 87.11平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 7天以前发布,170,"19,516元/平"
住家方便，业主诚心出售，看房方便。。。,城西新村 -吉水县,12室9厅 | 580.92平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 15天以前发布,520,"8,952元/平"
金鹭花园3房2厅2卫金鹭花园3房2厅2卫,金鹭花园 -吉州区,3室2厅 | 148.86平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 9天以前发布,128,"8,599元/平"
老街庐陵小区 拎包入住，满五唯一,庐陵小区 -吉安县,3室2厅 | 125.32平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8天以前发布,88,"7,023元/平"
青原苑好环境小区绿化好有电梯户型方正旁边配套齐全。,青原苑 -青原区,3室2厅 | 148.94平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 9天以前发布,104,"6,983元/平"
豪德星城精装三房产证满五年，房子光线好,豪德星城 -青原区,3室2厅 | 144平米 | 南 | 精装 | 低楼层(共28层)  | 平房,0人关注 / 10天以前发布,90,"6,250元/平"
简单装修复式楼，格局好业主诚心出售,青原步行街 -青原区,5室2厅 | 166.23平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,90,"5,415元/平"
毛坯自由装修，滨江公园旁，环境好，物业好,滨江首府 -青原区,3室2厅 | 110.11平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 11天以前发布,100,"9,082元/平"
小区自带幼儿园，游泳池，500米范围内有滨江公园.,上江界 -青原区,3室2厅 | 112.64平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 11天以前发布,88,"7,813元/平"
文水大道4房，户型好采光充足，带柴间,文水大道 -吉水县,3室2厅 | 135.73平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,82,"6,042元/平"
城南六合盛世精装大三房，业主诚心卖,六合盛世古南蓝湾 -吉州区,3室2厅 | 129.98平米 | 南 西 北 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 11天以前发布,109,"8,386元/平"
房子位于市区出行方便采光充足带有一个阳台满2年,文山步行街 -吉州区,3室2厅 | 97.74平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 7天以前发布,90,"9,209元/平"
龙腾府邸，中间楼层，外面还一个露台,龙腾府邸 -吉安县,3室2厅 | 89.2平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 5天以前发布,53.8,"6,032元/平"
新 7 中 四房二卫 满二年 证在手 业主诚心卖,中央公园西区 -吉州区,4室2厅 | 142平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 8天以前发布,165,"11,620元/平"
此房城南核芯，毛坯大 三房 带大院子,铜锣湾1号东区 -吉州区,3室2厅 | 131.74平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 5天以前发布,160,"12,146元/平"
此房产证未满两年，中间楼层，采光好，视野开阔。,恒大帝景 -吉州区,3室2厅 | 124.6平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 5天以前发布,118,"9,471元/平"
浅水湾小区，三房二厅二卫户型方正,浅水湾小区 -泰和县,3室2厅 | 137平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,92,"6,716元/平"
英伦联邦三房两厅两卫，保本卖，业主诚心出售，。。。,英伦联邦 -青原区,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,1人关注 / 8天以前发布,60,"5,556元/平"
宏泰花苑，电梯房，好楼层，毛坯房，出售。,宏泰商业广场 -泰和县,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 5天以前发布,85,"7,265元/平"
凯震金鹭花园，毛坯大三房，好楼层，房东诚心出售,金鹭花园 -吉州区,3室2厅 | 145平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,130,"8,966元/平"
湖滨御景园大三房毛坯有钥匙随时看房,湖滨 · 御景园 -吉州区,3室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 塔楼,0人关注 / 5天以前发布,83,"5,929元/平"
52万方正两房朝南，电梯两房，低首付,恒盛花园·江尚 -吉州区,2室2厅 | 85.58平米 | 东南 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 7天以前发布,52,"6,077元/平"
和济春天一期，生活配套完善，交通便利,和济春天一期 -青原区,2室2厅 | 100平米 | 南 | 精装 | 低楼层(共12层)  | 塔楼,0人关注 / 3天以前发布,76,"7,600元/平"
康居外滩，一楼带院子，地段好配套完善，产证满两年,康居外滩 -青原区,3室2厅 | 95.65平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 3天以前发布,80,"8,364元/平"
房子是3房2厅2卫，读书近 ，位置好,华勤小区 -遂川县,3室2厅 | 129.53平米 | 东 西 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,84,"6,485元/平"
恒泰花园三房，纯毛坯出售，户型方正,恒泰花园 -吉州区,3室2厅 | 132.5平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 29天以前发布,91,"6,868元/平"
紧凑型三房 红本在手，电梯房中间楼层 ，户型方正,梨山湖畔 -吉安县,3室2厅 | 97.17平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 26天以前发布,60.6,"6,237元/平"
天权星苑 广场近 中间楼层 户型好 毛坯房 单价便宜,天权星苑 -吉安县,3室2厅 | 127.92平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 21天以前发布,95,"7,427元/平"
此房满二年，楼梯中间楼层，南北双阳台，视野开阔，适,天际华庭 -遂川县,3室2厅 | 118.62平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 22天以前发布,96.1,"8,102元/平"
燕京府小区大四房  环境绿化安逸  读书买菜一站式,华宇燕京府 -吉安县,4室2厅 | 141.83平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 27天以前发布,126,"8,884元/平"
此房房产证已满两年，过户费低，电梯房买一层得一层。,龙腾府邸 -吉安县,5室2厅 | 89.87平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 21天以前发布,58,"6,454元/平"
城南精装三房  中间好楼层  户型方正  采光充足,恒丰花园西区 -吉州区,3室2厅 | 139.24平米 | 南 | 精装 | 中楼层(共26层)  | 平房,0人关注 / 17天以前发布,89.8,"6,450元/平"
吉州区城北单位房新装电梯公摊小，日照时间长,吉安石油分公司宿舍 -吉州区,2室2厅 | 65.06平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 22天以前发布,70,"10,760元/平"
城南分校，旁边百联首府两房，园林景观很棒,百联首府 -吉州区,2室2厅 | 80.2平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 9天以前发布,85,"10,599元/平"
此房满五唯一，好楼层，自由装修毛坯两房,鼎馨花园 -青原区,2室1厅 | 92.72平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 2天以前发布,62.5,"6,741元/平"
区政府旁高档小区精装修，拎包入住,港龙上宾尊域 -吉州区,3室2厅 | 133.24平米 | 南 北 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,95,"7,130元/平"
水岸鑫城新出好房源，三房两厅价格实惠,水岸鑫城 -吉水县,3室2厅 | 118.79平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,60,"5,051元/平"
市政府西区2房2厅简装中高楼层带无证柴火间,鹭洲东路1号 -吉州区,2室2厅 | 67.18平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 31天以前发布,108,"16,077元/平"
望江郡府独栋大别墅带六七十平院子,望江郡府 -吉水县,6室2厅 | 397.51平米 | 南 | 毛坯 | 3层  | 塔楼 | 独栋别墅 ,0人关注 / 1个月以前发布,420,"10,566元/平"
富瑞花园二期，134平米，3房2厅2卫,富瑞花园二期 -泰和县,3室2厅 | 134.37平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,92,"6,847元/平"
壹街区   三层复式楼   带两个露台    精装修,壹街区 -吉州区,7室2厅 | 228.05平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 29天以前发布,172,"7,543元/平"
：此房满五，房子3房2厅2卫，朝南户型方正,北门街152号 -吉州区,3室2厅 | 131平米 | 南 | 简装 | 高楼层(共8层)  | 平房,0人关注 / 29天以前发布,95,"7,252元/平"
壹街区   三层复式楼   带两个露台    精装修,壹街区 -吉州区,7室2厅 | 228.05平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 29天以前发布,172,"7,543元/平"
小区环境优雅，交通便利，采光充足，视野开阔。,庐陵雅苑 -吉水县,3室2厅 | 129.92平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 29天以前发布,108,"8,313元/平"
此房产证已经满了五年，业主诚心卖，价格低，楼层好,江南春晓 -吉安县,3室2厅 | 90.32平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,59.8,"6,621元/平"
学府御园精装3房，户型相对较为方正,家庐陵学府御园 -吉州区,3室2厅 | 107.9平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 22天以前发布,160,"14,829元/平"
东山名苑精装三房，中间楼层，诚心出售，满五唯一,东山名苑 -吉水县,3室2厅 | 120.11平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,93,"7,743元/平"
龙华中大道长途车站验精装修未入住看房有钥匙三房两卫,龙华中大道 -吉水县,3室2厅 | 87.19平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,59,"6,767元/平"
户型南北，采光充足，满五年，房东诚心出售,滨江国际城 -吉水县,4室2厅 | 128.86平米 | 南 | 精装 | 中楼层(共16层)  | 平房,0人关注 / 23天以前发布,117.8,"9,142元/平"
新小区，高楼层，采光好，一间之隔，适合居居民,尚峰山水涧 -吉水县,3室2厅 | 119平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,71,"5,967元/平"
房子是多层电梯房，实用，房东诚心卖的，价格优惠,泰富上城 -泰和县,3室2厅 | 112.28平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 20天以前发布,73,"6,502元/平"
枫丹白露，城中2房，精装修拎包入住。,江报枫丹白露 -吉州区,3室2厅 | 98.56平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 24天以前发布,113,"11,466元/平"
产证在手，满三年，好楼层南北朝向,智慧城 -吉安县,4室2厅 | 140.18平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 17天以前发布,98,"6,992元/平"
"好的户型,好的楼层,便宜的价格",恒源泰荣诚 -吉州区,3室2厅 | 110.53平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 23天以前发布,134.5,"12,169元/平"
别墅，采光通风好，户型方正，南北通透,长旺人家 -吉州区,6室3厅 | 296.5平米 | 南 北 | 毛坯 | 地下室(共3层)  | 暂无数据,0人关注 / 16天以前发布,238,"8,027元/平"
达观天下三房，户型方正中间楼层，采光好整体布局合理,达观天下一期 -吉州区,3室2厅 | 130.27平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 24天以前发布,107.8,"8,276元/平"
康居小三房出售，简单装修，另外加4W带一个产权车位,康居外滩 -青原区,3室2厅 | 93.5平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 19天以前发布,79,"8,450元/平"
学府御园旁，2房通透有阳光，满五一套精装拎包入住,庐境园 -吉州区,2室2厅 | 111平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 22天以前发布,95,"8,559元/平"
好楼层，风景好配套齐全，居住环境优越,海联·五星公馆 -吉州区,3室2厅 | 130.28平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,0人关注 / 28天以前发布,114.5,"8,789元/平"
百联首府精装修三房，业主工作调动诚心出售。,百联首府 -吉州区,3室2厅 | 118.09平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 28天以前发布,138,"11,687元/平"
经开区精装楼梯房南北双阳台四房出行方便直接拎包入住,鑫瑞城市花园 -吉安县,4室2厅 | 110.96平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 28天以前发布,78,"7,030元/平"
井开区香溢中央大三房，买一层得二层，拎包入住。,香溢中央 -吉安县,3室2厅 | 108.02平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 18天以前发布,98,"9,073元/平"
房本在手，业主诚心出售，精装修三房，可随时签约,华鹏帝景 -吉安县,3室2厅 | 106平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,70,"6,604元/平"
此房满五唯一，户型方正，出门交通便捷，小区配套齐全,鸿翔江誉 -青原区,3室2厅 | 88.57平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 21天以前发布,77,"8,694元/平"
青原区  上江界  大三房通透通风 采光好,上江界 -青原区,3室2厅 | 121.19平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 19天以前发布,96.8,"7,988元/平"
青原区繁华地段尚东国际公馆4房2厅2卫带露台诚意出售,尚东国际公馆 -青原区,4室2厅 | 166.6平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 17天以前发布,80,"4,802元/平"
小区在滨江公园旁，可看湖景，毛坯，可自由装修,上江界 -青原区,4室2厅 | 208.58平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 20天以前发布,129,"6,185元/平"
泽盛二期精装四房，满两年带车位，业主诚心出售,泽盛中心城二期A区 -泰和县,4室2厅 | 132.06平米 | 南 北 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 24天以前发布,122,"9,239元/平"
天立花园彩虹苑 4室2厅 南 北,天立花园彩虹苑 -青原区,4室2厅 | 160.94平米 | 南 北 | 精装 | 低楼层(共4层)  | 板塔结合,0人关注 / 23天以前发布,163,"10,128元/平"
地段好，采光好，楼层好，房东诚心出售,吉福苑 -吉州区,3室2厅 | 130.51平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 19天以前发布,88.5,"6,782元/平"
房子在城南桥头那里，过户费低满五唯一，可以看到江景,龙华南大道 -吉水县,3室2厅 | 96.92平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,45,"4,644元/平"
房子在城南桥头那里，过户费低满五唯一，可以看到江景,龙华南大道 -吉水县,3室2厅 | 96.92平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,45,"4,644元/平"
康居外滩精装修，拎包入住，带车位,康居外滩 -青原区,3室2厅 | 97.87平米 | 东 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 16天以前发布,99.8,"10,198元/平"
主业自己装修，大小区，出门方便.环境好,鑫瑞城市花园 -吉安县,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 8天以前发布,82,"7,131元/平"
此房是电梯房，户型方正，视野宽阔，,国兴新世纪 -泰和县,3室2厅 | 123.65平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 3天以前发布,85,"6,875元/平"
新小区，环境好，总价低，居住适合值得购买,中梁碧桂园鹿鸣府 -吉州区,3室2厅 | 100.97平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 5天以前发布,75,"7,428元/平"
老街新小区毛坯三房，中间楼层，业主诚心出售看房方便,盛世名门 -吉安县,3室2厅 | 129.67平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 3天以前发布,95,"7,327元/平"
金鹭花园毛坯大四房，户型方正通透,金鹭花园 -吉州区,4室2厅 | 159平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,140,"8,806元/平"
沿江边  精装大三房  无遮挡  采光好  楼层好,滨江三期 -吉州区,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共9层)  | 平房,0人关注 / 2天以前发布,92,"6,765元/平"
江南凤凰城 南北通透 三面采光 毛坯四居,江南凤凰城 -吉州区,4室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 板楼,0人关注 / 5天以前发布,101,"8,016元/平"
此房是边户，户型方正 采光视野，无遮挡，,泰发茗城 -泰和县,5室2厅 | 143.5平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 3天以前发布,120,"8,363元/平"
峰巢佳苑毛坯4房，户型方正通透，中间楼层采光好,峰巢佳苑 -青原区,4室2厅 | 133.2平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 6天以前发布,108,"8,109元/平"
上江界三房两厅一厨两卫 ，毛坯自由装修,上江界 -青原区,3室2厅 | 123.48平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 4天以前发布,98,"7,937元/平"
滨江首府南北对流大三房，户型方正，，满两年单价实惠,滨江首府 -青原区,3室2厅 | 128.03平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1天以前发布,96,"7,499元/平"
江南春晓4-2-1-2 126.00m² 80 万,江南春晓 -吉安县,4室2厅 | 126平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 6天以前发布,80,"6,350元/平"
吉新佳苑，好地段，好楼层，诚心卖,吉新佳苑 -吉州区,2室2厅 | 91.72平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,82,"8,941元/平"
此房方正格局好，楼层好，视野宽阔，采光充足,恒丰花园西区 -吉州区,2室2厅 | 96.33平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,0人关注 / 22天以前发布,77,"7,994元/平"
汇金广场 大二房 光线好 产证在手 满二年 精装修,汇金广场 -吉州区,2室2厅 | 78.99平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 25天以前发布,76,"9,622元/平"
达观天下两房，毛坯房，自由装修,达观天下二期 -吉州区,2室2厅 | 84.26平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 21天以前发布,58,"6,884元/平"
凤凰现代城三房仅售20多万，看房有钥匙,凤凰现代城 -吉安县,3室1厅 | 80.8平米 | 西 | 毛坯 | 高楼层(共15层)  | 板楼,0人关注 / 17天以前发布,26,"3,218元/平"
鳯山蓝湾带天然气公寓 两房一厅一厨一卫,鳳山蓝湾 -吉州区,2室1厅 | 62.1平米 | 南 东 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 5天以前发布,42,"6,764元/平"
老小区  大户型   居住舒适   毛坯房,名人花苑 -安福县,3室2厅 | 139.84平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,90,"6,436元/平"
老城区，精装修，户型好，采光好,西一路 -安福县,4室2厅 | 224.35平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,135,"6,018元/平"
此房采光好.通风好.户型方正.小区地段好.旁边配套好,公园8号 -泰和县,3室2厅 | 126.85平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,3人关注 / 一年前发布,106,"8,357元/平"
金三银四的好楼层 南北户型带柴间 满五唯一过户,竹园小区 -安福县,3室2厅 | 140.31平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,82,"5,845元/平"
房子小区房三房两厅两卫离市场也近旁边环境好适合居住,竹园小区 -安福县,3室2厅 | 133.76平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,88,"6,579元/平"
此房产证满2年，过户低，位置好采光充足，视野宽阔,地王财富广场 -遂川县,4室2厅 | 131.02平米 | 南 | 毛坯 | 高楼层(共14层)  | 板塔结合,4人关注 / 一年前发布,78.8,"6,015元/平"
此房满五年，格局设计合理，使用面积大，采光很好，,水果蔬菜市场商住楼 -遂川县,3室2厅 | 116.18平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,59,"5,079元/平"
学府雅苑优惠3房，简装，买了即可入住,学府雅苑B区 -遂川县,3室2厅 | 115.34平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,66,"5,723元/平"
伟业公园路小区 3房 好位置 买下能拥有免费柴间,伟业公园路小区 -遂川县,3室2厅 | 149平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,68,"4,564元/平"
城北新区楼梯房低价出售，无公摊，无物业费，经济实,未来城 -永新县,3室2厅 | 129.6平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,17人关注 / 一年前发布,50,"3,859元/平"
交通出行：位置可以，  出来就是公交站国道方便，,华兴新村 -吉水县,3室2厅 | 134.14平米 | 西 | 毛坯 | 中楼层(共8层)  | 板楼,5人关注 / 一年前发布,59,"4,399元/平"
房子所在楼层采光通风很好，江景房,上江界 -青原区,3室2厅 | 122.32平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 8个月以前发布,106,"8,666元/平"
小区环境优美，户型方正，楼层好，刚需必入，,山水豪城 -吉水县,3室2厅 | 107平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,93.8,"8,767元/平"
房东诚心出售，有钥匙看房，楼梯房公摊少，,水岸鑫城 -吉水县,3室2厅 | 118.79平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,69.8,"5,876元/平"
大面积，价格实惠，复式楼，光线好,城西商贸街 -吉水县,5室2厅 | 162平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,68,"4,198元/平"
滨江公园旁，全新小区，空气新鲜，采光好,上江界 -青原区,3室2厅 | 125.44平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 一年前发布,92,"7,335元/平"
此房满两年 电梯房 毛坯自由装修。适合多数人群 ..,仁达滨江豪园三期 -青原区,3室2厅 | 142.92平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,95.8,"6,704元/平"
梅苑小区 精装复式楼 采光好 拎包可住,梅苑小区 -青原区,3室2厅 | 126.76平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,84,"6,627元/平"
视野宽阔，采光充足，配套设施齐,经纬花园 -青原区,3室2厅 | 122.38平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 一年前发布,79,"6,456元/平"
