标题,开发商,房子信息,发布信息,售价/万,单价
西咸新区秦创园低密度墅区叠拼诚意出售,阳光城壹号蔷薇溪谷 -秦都区,3室1厅 | 167.75平米 | 南 | 精装 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,0人关注 / 6天以前发布,350,"20,865元/平"
南北通透2居室，满二临地铁 一梯两户小高层,怡水花园 -秦都区,2室2厅 | 82.27平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 5天以前发布,93,"11,305元/平"
万科精装大三室，一线品牌，大开发商。,万科·金域华府 -秦都区,3室2厅 | 115.15平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,2人关注 / 2个月以前发布,124,"10,769元/平"
西咸新区沣东能源金贸区高品质住宅,阳光城壹号官邸 -秦都区,3室1厅 | 113.95平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,173.5,"15,226元/平"
地铁一号线，精装三室，诚心出售,秦虹佳苑 -秦都区,3室2厅 | 147.62平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,87人关注 / 一年前发布,95,"6,436元/平"
秦都高铁站旁，未来地铁口，交通便利 户型方正,旭光光明城 -秦都区,2室1厅 | 86.86平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,76.8,"8,842元/平"
湿地公园两室业主诚心出售急售！！！,鑫苑尚东朝阳 -渭城区,2室2厅 | 96.46平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,7人关注 / 5个月以前发布,67.9,"7,040元/平"
万科金域华府  精装修 看房方便 业主急售,万科·金域华府 -秦都区,3室2厅 | 113.05平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 5个月以前发布,128,"11,323元/平"
高新区。地铁口。中间楼层，配套好,金山佳苑 -秦都区,2室2厅 | 65.52平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,50,"7,632元/平"
铁一号线延伸线三期地铁口刚需三室,秦虹佳苑 -秦都区,3室2厅 | 148.27平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,6人关注 / 一年前发布,95,"6,408元/平"
宜家沣都 大三室 毛坯出售 随时可看,宜家沣都 -秦都区,3室2厅 | 145平米 | 北 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 4个月以前发布,138,"9,518元/平"
小区园林设计 绿化好   配套全,恒大帝景 -秦都区,3室2厅 | 94.62平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,7人关注 / 4个月以前发布,95,"10,041元/平"
高新区五号桥北，鑫苑又一程佳境，园林小区，毛坯三室,鑫苑·又一程佳境 -秦都区,3室2厅 | 109平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 3个月以前发布,103,"9,450元/平"
文林路，海棠苑，三室，户型方正明亮，业主诚心出售,福林海棠苑 -渭城区,3室2厅 | 112.23平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,5人关注 / 4个月以前发布,89.6,"7,984元/平"
万达 满二 无大税 万达旁 看房方便 采光充足,丽彩·珠泉新城 -秦都区,2室1厅 | 78.19平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,3人关注 / 5个月以前发布,66,"8,441元/平"
精品社区，大三室，中间楼层，精装修采光好。,碧桂园秦都府 -秦都区,3室2厅 | 120.11平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,129,"10,741元/平"
三室带花园，静享悠闲小院，临地铁,华宇蓝郡西区 -秦都区,3室2厅 | 110.76平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,105,"9,480元/平"
一级资质物业，5000亩公园环抱，适宜居住,融创观澜壹号 -秦都区,3室2厅 | 130.55平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,6人关注 / 4个月以前发布,154,"11,797元/平"
高品质小区  毛坯三室    业主诚心出售,奥园枫丹名郡 -秦都区,3室2厅 | 113.39平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 8个月以前发布,97,"8,555元/平"
能源金茂区 沣太两室 优质房源,阳光城沣太花园 -秦都区,2室2厅 | 84.6平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,74人关注 / 6个月以前发布,102.8,"12,152元/平"
诚心出售、地铁口、人车分离、三室，采光好,奥林匹克花园五期 -秦都区,3室2厅 | 108.55平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,143,"13,174元/平"
能源金贸区 阳光城西西里精装两室 好楼层,阳光城西西里 -秦都区,2室1厅 | 78.27平米 | 西南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,110,"14,054元/平"
公园围绕的舒适小区，小区内有幼儿园,丽彩 · 溪悦城 -秦都区,2室2厅 | 84.54平米 | 南 北 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,75,"8,872元/平"
房精装交付，空调，新风系统，南北通透，采光通风好,融创中央学府 -秦都区,3室2厅 | 99.66平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,112,"11,239元/平"
龙湖经典3室，南北通透，中楼层，全明户型，采光好,龙湖·彩虹郦城 -秦都区,3室1厅 | 102.94平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,120.5,"11,706元/平"
地铁一号线延伸线三期地铁口刚需两室毛坯,秦虹佳苑 -秦都区,2室2厅 | 121.38平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,75,"6,179元/平"
中华西路 高新区繁华地段 富怡花园  地铁口3室2厅2卫,富怡花园 -秦都区,3室2厅 | 140.87平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,11人关注 / 4个月以前发布,104,"7,383元/平"
天地源国企开发    毛坯小三室   诚心出售,天地源珺樾坊 -秦都区,3室2厅 | 101.87平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,1人关注 / 2个月以前发布,96.6,"9,483元/平"
户型方正，房屋采光好，看房方便,奥林匹克花园二期巴塞罗那奥运村 -秦都区,3室2厅 | 97.92平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,6人关注 / 4个月以前发布,113,"11,541元/平"
南洋维也纳两室 全明户型 简装 看房方便 产权清晰,南洋维也纳花园 -秦都区,2室2厅 | 87.03平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,91,"10,457元/平"
西高新大品牌精装修南北通透诚意出售,融创观澜壹號南区 -秦都区,3室2厅 | 123.18平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,3人关注 / 8个月以前发布,142.5,"11,569元/平"
沣西低密度社区，经典户型，精装3室，交通便利。,吾悦公馆 -秦都区,3室2厅 | 124.82平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,11人关注 / 一年前发布,162,"12,979元/平"
地铁口 大四室 品牌开发商 龙湖物业 改善好房看房方便,龙湖·彩虹郦城 -秦都区,4室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,3人关注 / 5个月以前发布,175,"12,682元/平"
地理位置优越，交通便利，配套齐全，环境好。。。,七里铺小区 -秦都区,3室1厅 | 61.96平米 | 东 东南 南 | 简装 | 中楼层(共6层)  | 板塔结合,6人关注 / 7个月以前发布,42.5,"6,860元/平"
玉泉东路 人人乐 多层两室 南北通透,毛条二区 -秦都区,2室2厅 | 80.63平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,53,"6,574元/平"
业主诚心出售，采光无限，看房方便，经典小三室,龙湖·彩虹郦城 -秦都区,3室2厅 | 97.84平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,4人关注 / 2个月以前发布,107,"10,937元/平"
天地源一级物业资质，业主诚心出售，采光好,天地源珺樾坊 -秦都区,3室1厅 | 129.59平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 31天以前发布,123,"9,492元/平"
业主诚心出售 朝阳二路 渭柳湿地 两室一厅一卫,博尚新都 -渭城区,2室1厅 | 79.3平米 | 北 | 简装 | 高楼层(共24层)  | 塔楼,31人关注 / 8个月以前发布,58,"7,314元/平"
阳光城壹号官邸3-2-1-2 118平 193万,阳光城壹号官邸 -秦都区,3室2厅 | 118.08平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,2人关注 / 4个月以前发布,189,"16,007元/平"
精装大三室，中间楼层，两梯两户，南北通透,加州壹号 -秦都区,3室2厅 | 123.89平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,8人关注 / 一年前发布,132,"10,655元/平"
湿地公园200米，朝阳一路，低价位，急售急售！！！,泰禾嘉苑 -渭城区,3室2厅 | 127平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,85,"6,693元/平"
沣西新城大社区 金科品牌 毛坯三室,金科世界城 -秦都区,3室2厅 | 112.7平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,12人关注 / 4个月以前发布,122.5,"10,870元/平"
东风路亨星锦绣城，大三室，南北通透，业主诚心出售。,亨星锦绣城 -渭城区,3室2厅 | 126.11平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,7人关注 / 9个月以前发布,112.8,"8,945元/平"
先河国际东区经典三室，精装电梯房，诚心出售。,先河国际社区东区 -秦都区,3室2厅 | 116.86平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,125,"10,697元/平"
融创观澜壹号大三室南北双阳台环境优美,融创观澜壹号 -秦都区,3室2厅 | 130.55平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,155,"11,873元/平"
2-2-1-1 72.00m²,东晟阳光新城 -渭城区,2室2厅 | 71.48平米 | 西 北 | 简装 | 低楼层(共33层)  | 板塔结合,19人关注 / 一年前发布,58.5,"8,185元/平"
世纪大道地铁口，智慧小区，高品质平层社区,绿城春江花月 -秦都区,3室2厅 | 116.65平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,134.5,"11,531元/平"
西咸新区沣西新城，精品户型，业主诚心出售！,秦虹佳苑 -秦都区,2室2厅 | 121.38平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,10人关注 / 一年前发布,81,"6,674元/平"
融创开发并管理，围绕近千亩湿地公园,融创观澜壹号 -秦都区,4室2厅 | 143.51平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 4个月以前发布,172,"11,986元/平"
高新锦业壹号  低总价小3室  业主急售！急售！,高新锦业壹号 -秦都区,3室2厅 | 96.17平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,3人关注 / 1个月以前发布,85,"8,839元/平"
西咸新区 阳光城壹号官邸 小三室 精装修,阳光城壹号官邸 -秦都区,3室2厅 | 95平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,139,"14,632元/平"
房子采光好，户型方正，室内布局合理，交通便利，,金科世界城 -秦都区,3室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,123,"10,885元/平"
陕西省沣西新城宜家沣都大三室出售,宜家沣都 -秦都区,3室2厅 | 144.44平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,126.8,"8,779元/平"
公园旁的舒适改善型小区，经典小三室,融创观澜壹号 -秦都区,3室2厅 | 99平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 2个月以前发布,110,"11,112元/平"
融创中央学府 3室2厅 南 北,融创中央学府 -秦都区,3室2厅 | 113.99平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,130,"11,405元/平"
恒大帝景 3室2厅 南 北,恒大帝景 -秦都区,3室2厅 | 122.66平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,113,"9,213元/平"
融创开发建设.四室房源.环境好.,融创中央学府 -秦都区,3室2厅 | 142.05平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 8个月以前发布,149.8,"10,546元/平"
双地铁 双公园 一级物业 小区绿化好 自带幼儿园,龙湖·彩虹郦城 -秦都区,3室2厅 | 102.14平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,1人关注 / 3个月以前发布,119.5,"11,700元/平"
沣西新城大社区 金科品牌 毛坯三室,金科世界城 -秦都区,3室2厅 | 112.7平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,12人关注 / 4个月以前发布,122.5,"10,870元/平"
阳光城官邸三室精装未住人，业主诚心出售,阳光城壹号官邸 -秦都区,3室2厅 | 115.84平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,169,"14,590元/平"
西高新 融创观澜壹号 精装四室有钥匙 随时可以看房,融创观澜壹号 -秦都区,4室2厅 | 146.5平米 | 西南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,175,"11,946元/平"
东风路亨星锦绣城，大三室，南北通透，业主诚心出售。,亨星锦绣城 -渭城区,3室2厅 | 126.11平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,7人关注 / 9个月以前发布,112.8,"8,945元/平"
咸阳湖边，钟楼广场边上，好楼层，看房方便,华城国际 -渭城区,3室2厅 | 109.1平米 | 北 | 精装 | 中楼层(共33层)  | 板楼,15人关注 / 6个月以前发布,93,"8,525元/平"
天地源珺樾坊 精装三室未住，可当婚房 业主诚心出售,天地源珺樾坊 -秦都区,3室2厅 | 100.49平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,107,"10,648元/平"
先河国际东区经典三室，精装电梯房，诚心出售。,先河国际社区东区 -秦都区,3室2厅 | 116.86平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,125,"10,697元/平"
又一程，三室中间楼层，诚心出售,鑫苑又一程 -秦都区,3室2厅 | 96.69平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,20人关注 / 一年前发布,89.5,"9,257元/平"
精装修，高区采光无任何遮挡，诚意出售,林凯城 -秦都区,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,8人关注 / 5个月以前发布,108,"10,694元/平"
三室纯湖景房   采光好  地理位置佳  无任何遮挡,融创观澜壹號南区 -秦都区,3室2厅 | 97.93平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,122,"12,458元/平"
业主诚心卖，大两居，南北通透。,水电家园 -渭城区,2室2厅 | 97.12平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 17天以前发布,73,"7,517元/平"
地铁口全明两居室.满二无大税..,世纪优盘 -秦都区,2室2厅 | 96.24平米 | 南 北 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 25天以前发布,110,"11,430元/平"
地铁口，小两室，大社区，配套齐全。,林凯城 -秦都区,2室2厅 | 68平米 | 东北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,75,"11,030元/平"
此房满五，低楼层视野好，南北通透，,沈家小区 -秦都区,2室1厅 | 33.03平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 26天以前发布,36,"10,900元/平"
富锦佳苑   精装两室  业主诚信出售,富锦佳苑 -秦都区,2室2厅 | 94.98平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 19天以前发布,77,"8,107元/平"
急售 急售 丽彩两室 产证清晰 业主急售,丽彩·珠泉新城 -秦都区,2室2厅 | 94.79平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 17天以前发布,80,"8,440元/平"
城投时代 三室精装三室 房业主诚心出售,城投时代 -秦都区,3室2厅 | 102.97平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,102,"9,906元/平"
地铁口 城投时代毛坯大三室出售  交通便利,城投时代 -秦都区,3室2厅 | 144.7平米 | 南 北 | 其他 | 高楼层(共34层)  | 板塔结合,1人关注 / 2个月以前发布,109,"7,533元/平"
双地铁，一级物业，高绿化，配套齐全。急售,白桦林印象 -秦都区,3室2厅 | 123.23平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,189,"15,338元/平"
陈杨寨转盘 华宇双子星 精装修一室 可按揭 可自住,华宇双子星 -秦都区,1室1厅 | 45.5平米 | 西北 | 其他 | 高楼层(共33层)  | 板塔结合,2人关注 / 11个月以前发布,35.5,"7,803元/平"
湖岸嘉园  经典两室户型 业主诚心出售,湖岸嘉园 -渭城区,2室1厅 | 84.36平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,11人关注 / 4个月以前发布,56.6,"6,710元/平"
业主诚心出售，电梯2房，房屋保持不错~~·,文林佳苑 -秦都区,2室2厅 | 73.72平米 | 北 | 简装 | 低楼层(共27层)  | 板塔结合,27人关注 / 3个月以前发布,60,"8,139元/平"
钢管厂一区，经典两室，采光好，楼层好。,钢管厂一区 -渭城区,2室1厅 | 50.7平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,34,"6,707元/平"
中间楼层，停车方便 诚心出售 生活 医疗齐全采光敞亮,陕西工业职业技术学院职工住宅东区 -渭城区,2室1厅 | 48.9平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,28,"5,726元/平"
小区自带幼儿园，大型社区，出门就是市政公园,荣盛·锦绣观邸 -秦都区,3室2厅 | 102.91平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,105,"10,204元/平"
：小区绿化好交通方便智能化社区小区自带幼儿园,荣盛·锦绣观邸 -秦都区,2室2厅 | 91.31平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,13人关注 / 5个月以前发布,82.6,"9,047元/平"
奥园枫丹名郡   边户3室   业主急售急售,奥园枫丹名郡 -秦都区,3室2厅 | 113.39平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,12人关注 / 6个月以前发布,94,"8,290元/平"
全明户型 改善三居室 布局合理 采光充足,金科世界城 -秦都区,3室2厅 | 128.91平米 | 南 北 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 6个月以前发布,139,"10,783元/平"
东风路亨星锦绣城大三室，业主诚售！！！,亨星锦绣城 -渭城区,3室2厅 | 132.15平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,19人关注 / 11个月以前发布,115,"8,703元/平"
朝阳一路电梯房大两室，采光充足，小区集中供暖,泰禾嘉苑 -渭城区,3室1厅 | 92.63平米 | 南 西 | 其他 | 中楼层(共19层)  | 板楼,1人关注 / 1个月以前发布,67,"7,234元/平"
全明户型 改善三居室 布局合理 采光充足,金科世界城 -秦都区,3室2厅 | 128.91平米 | 南 北 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 6个月以前发布,139,"10,783元/平"
东风路亨星锦绣城大三室，业主诚售！！！,亨星锦绣城 -渭城区,3室2厅 | 132.15平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,19人关注 / 11个月以前发布,115,"8,703元/平"
万科府系 精装三室 一级物业 园林景观 可按揭,万科·金域华府 -秦都区,3室2厅 | 111.16平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,15人关注 / 5个月以前发布,121.5,"10,931元/平"
万达商圈旁 丽彩珠泉新城花间树 2两室精装全配 视野好,丽彩珠泉新城·花间树 -秦都区,2室2厅 | 90.29平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,3人关注 / 3个月以前发布,95,"10,522元/平"
碧桂园 大社区环境好  户型好随时看房,碧桂园秦都府 -秦都区,3室2厅 | 113.77平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,5人关注 / 4个月以前发布,122,"10,724元/平"
沣西新城 全明小三居经典户型 社区环境优美,金科世界城 -秦都区,3室2厅 | 93.2平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,27人关注 / 6个月以前发布,103,"11,052元/平"
地铁口，高铁旁，一楼带花园，业主诚心出售,天地源珺樾坊 -秦都区,3室2厅 | 100.35平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,110,"10,962元/平"
渭阳西路多层两室简装业主诚意出售,文彩舫 -秦都区,2室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,68.5,"7,697元/平"
此房坐落在于沣西新城同德路东侧,金科世界城 -秦都区,3室2厅 | 99.2平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 7个月以前发布,115,"11,593元/平"
配套齐全，世纪金花购物，彩虹医院，彩虹，地铁口,中华世纪城（西咸） -秦都区,2室2厅 | 92.68平米 | 南 北 | 其他 | 高楼层(共28层)  | 板塔结合,2人关注 / 3个月以前发布,87,"9,388元/平"
万达商圈 大社区新小区 交通便利设施齐全 楼层好,丽彩珠泉新城·花间树 -秦都区,3室1厅 | 91.68平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,86,"9,381元/平"
丽彩珠泉新城二期 经典纯南户型 万达 成熟新社区,丽彩珠泉新城·花间树 -秦都区,3室2厅 | 124.88平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,113,"9,049元/平"
繁华地段，优质好房源，业主诚心出售,丽彩·珠泉新城 -秦都区,3室2厅 | 135平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 塔楼,27人关注 / 7个月以前发布,103,"7,630元/平"
咸阳高新区，咸阳西高速出口，两寺渡公园旁,融创中央学府 -秦都区,3室2厅 | 99平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 5个月以前发布,111,"11,213元/平"
地铁口 小区绿化好，人车分流，新交房小区,宇宏健康花城西区 -秦都区,4室1厅 | 54.14平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,92,"16,993元/平"
小区绿化好，交通也方便，智能化社区，小区自带幼儿园,荣盛·锦绣观邸 -秦都区,3室1厅 | 107.79平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,107,"9,927元/平"
西咸总窗口，品质小区，优质三居室，安居乐业这里开始,阳光城壹号官邸 -秦都区,3室2厅 | 94.11平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,2人关注 / 3个月以前发布,144,"15,302元/平"
西咸管委会旁 双地铁 佳龙大沃城 毛坯三室 急售,佳龙大沃城 -秦都区,3室2厅 | 109.03平米 | 北 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,8人关注 / 6个月以前发布,130,"11,924元/平"
金科世界城，四室，可按揭，电梯房，小高层中间楼层,金科世界城 -秦都区,4室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共15层)  | 暂无数据,3人关注 / 3个月以前发布,150,"10,490元/平"
地处繁华地段 人民中路 经典大两室电梯房,永嘉兰庭 -秦都区,2室2厅 | 107.8平米 | 北 南 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,82,"7,607元/平"
精装大三室，看房方便，生活配套齐全，交通便利。,恒大帝景 -秦都区,3室2厅 | 122平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,4人关注 / 6个月以前发布,117,"9,591元/平"
沣西金科世界城  刚需三居室  全明户型,金科世界城 -秦都区,3室1厅 | 93.18平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 1个月以前发布,100,"10,732元/平"
金科世界城 经典三室户型，业主诚心出售,金科世界城 -秦都区,3室2厅 | 112平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,122,"10,893元/平"
彩虹一路 龙湖彩虹郦城 3室 业主诚心出售 看房方便,龙湖·彩虹郦城 -秦都区,3室2厅 | 102.94平米 | 南 北 | 其他 | 中楼层(共34层)  | 板塔结合,1人关注 / 2个月以前发布,123,"11,949元/平"
七场十字新万达广场 金方圆嘉润公馆 毛坯大两室,金方圆嘉润公馆 -秦都区,2室1厅 | 95.38平米 | 南 西 | 毛坯 | 中楼层(共33层)  | 板塔结合,5人关注 / 5个月以前发布,85,"8,912元/平"
七厂十字+碧桂园+三室边户全明户型+无抵押密码钥匙,碧桂园秦都府 -秦都区,3室2厅 | 124平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,130,"10,484元/平"
湿地公园旁，精装两室，好楼层，房龄新，集中供暖。,裕塬丽舍 -渭城区,2室2厅 | 87.87平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,65.5,"7,455元/平"
朝南户型，装修风格新颖，宽敞明亮。,清渭公馆 -秦都区,3室2厅 | 114.81平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,14人关注 / 8个月以前发布,113,"9,843元/平"
汇通彩虹旁精装两室电梯房中间层大阳台,中华世纪城（西咸） -秦都区,2室2厅 | 84.83平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,90.5,"10,669元/平"
朝南户型，装修风格新颖，宽敞明亮。,清渭公馆 -秦都区,3室2厅 | 114.81平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,14人关注 / 8个月以前发布,113,"9,843元/平"
低楼层 产权清晰 随时过户 看房方便,彩虹老区 -秦都区,3室1厅 | 59.97平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,53.5,"8,922元/平"
万达三室精装满二 房本在手 看房方便,丽彩·珠泉新城 -秦都区,3室1厅 | 135平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 1个月以前发布,115,"8,519元/平"
缘，妙不可言 全明户型刚需客户不容错过，点我！,阳光城西西里 -秦都区,2室2厅 | 82.03平米 | 南 | 其他 | 中楼层(共25层)  | 板塔结合,1人关注 / 2个月以前发布,123,"14,995元/平"
品牌开发商 万达商圈 成熟社区 精装电梯好房,万科·金域华府 -秦都区,3室2厅 | 93.99平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,105,"11,172元/平"
诚售，一楼带花园，户型方正，通风好,彩虹老区 -秦都区,2室1厅 | 45.47平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,24人关注 / 一年前发布,46.5,"10,227元/平"
西咸新区沣西医院旁宜家沣都两室，业主诚售。,宜家沣都 -秦都区,2室2厅 | 91.13平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 4个月以前发布,95,"10,425元/平"
此小区位于世纪大道李斯路，北邻河堤路，古渡廊桥。,怡水花园 -秦都区,2室2厅 | 99.46平米 | 南 | 简装 | 低楼层(共21层)  | 板塔结合,22人关注 / 一年前发布,101,"10,155元/平"
万家灯火 此时共美好  有家心灵才有归属感,怡水花园 -秦都区,2室2厅 | 106平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 6个月以前发布,117,"11,038元/平"
朝阳一路，大两室电梯房，价位优美,泰禾嘉苑 -渭城区,2室2厅 | 99.73平米 | 南 西 | 简装 | 低楼层(共26层)  | 板楼,6人关注 / 5个月以前发布,59.9,"6,007元/平"
