标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 精三室 124平 南北向 看房方便,恒大名都 -银海区,3室2厅 | 124.28平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 7个月以前发布,67,"5,392元/平"
万达商圈，公务员小区顶楼带露台毛坯房出售,兴海 -银海区,5室3厅 | 251平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,148,"5,897元/平"
森海豪庭 电梯高层南北通透大3房 看海效果好无遮挡,森海豪庭观海阁 -银海区,3室2厅 | 137.44平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,93,"6,767元/平"
西藏路电梯中层正规大两房 拎包入住,长和大厦 -海城区,2室1厅 | 89.95平米 | 东北 北 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,42.9,"4,770元/平"
兴泰大厦 1室0厅 南,兴泰大厦 -银海区,1室0厅 | 52.8平米 | 南 | 简装 | 中楼层(共16层)  | 板塔结合,0人关注 / 15天以前发布,20.8,"3,940元/平"
北部湾路 南珠市场旁 一房朝南拎包入住 中层阳光充足,春天海景 -海城区,1室1厅 | 50.7平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 9天以前发布,18.5,"3,649元/平"
万达、吾悦商圈，精装三房一卫，好房出售，交通便利！,银滩融鑫苑 -银海区,3室2厅 | 88.07平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 6天以前发布,44.8,"5,087元/平"
阳光蓝洲花园 2室2厅 南 北,阳光蓝洲花园 -银海区,2室2厅 | 85平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,38,"4,471元/平"
园辉新都 3室1厅 南 北,园辉新都 -银海区,3室1厅 | 97.67平米 | 南 北 | 其他 | 低楼层(共34层)  | 板塔结合,0人关注 / 1天以前发布,52.8,"5,406元/平"
满五唯一，楼层好，采光好，通风好，视野开阔。,镒建世纪城 -银海区,3室2厅 | 87.7平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,62,"7,070元/平"
鑫海度假湾 4室2厅 南 北,鑫海度假湾 -银海区,4室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1天以前发布,58,"4,394元/平"
越亚天赐锦园 4室2厅 南 北,越亚天赐锦园 -银海区,4室2厅 | 106.1平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 刚刚发布,83,"7,823元/平"
万达商圈 禧悦湾 精装修 一房 拎包入住,禧悦湾 -银海区,1室0厅 | 45平米 | 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,28,"6,223元/平"
丽景佳苑 3室2厅 南,丽景佳苑 -银海区,3室2厅 | 88.48平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 16天以前发布,45.8,"5,177元/平"
金滩商圈，成熟小区，中间户型，南向，居住舒服,怡景港湾 -海城区,2室2厅 | 87.47平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,40.5,"4,631元/平"
家安花园 2室1厅 东 西,家安花园 -银海区,2室1厅 | 92平米 | 东 西 | 简装 | 19层  | 板塔结合,1人关注 / 6天以前发布,36.8,"4,000元/平"
湖南路 香海花园 三房二房 南北通透 三面见光 精装修,香海花园 -海城区,3室1厅 | 116.17平米 | 南 北 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 13天以前发布,54,"4,649元/平"
业主急售，随时交易，户型方正，阳光充足。,中港城浅水湾 -海城区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 14天以前发布,73,"5,749元/平"
格林香海 2室1厅 南,格林香海 -海城区,2室1厅 | 112平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,52,"4,643元/平"
家安花园 2室1厅 东 西,家安花园 -银海区,2室1厅 | 92平米 | 东 西 | 简装 | 19层  | 板塔结合,1人关注 / 6天以前发布,36.8,"4,000元/平"
园林小区 温馨小户型 拎包入住中间楼层 采光良好,蓝海银湾 -海城区,3室2厅 | 89.67平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 15天以前发布,55,"6,134元/平"
去海边方便，适合养老度家，生活方便,海泰别墅区 -银海区,1室1厅 | 38.18平米 | 西北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 3天以前发布,15,"3,929元/平"
中兴金海湾 1室1厅 北 东,中兴金海湾 -银海区,1室1厅 | 48.96平米 | 北 东 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 13天以前发布,28.5,"5,822元/平"
北海大道上别墅小区，配套齐全，小户型，总价低。,生活区 -海城区,1室0厅 | 27.62平米 | 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 2天以前发布,10.8,"3,911元/平"
东峰世纪公寓电梯中层三房两卫户型好,东峰世纪公寓 -银海区,3室1厅 | 97.22平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 10天以前发布,51.6,"5,308元/平"
全新装修未入住过，正规一房两厅，业主诚心出售,国际新城 -海城区,1室2厅 | 61.52平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 6天以前发布,38,"6,177元/平"
和安*市旁 花园村小区 南北通透 3房,花园村小区 -海城区,3室2厅 | 114.8平米 | 北 南 | 简装 | 中楼层(共7层)  | 平房,11人关注 / 一年前发布,41,"3,572元/平"
近吾悦广场，万达吾悦双商圈，交通便利,园辉新都 -银海区,3室2厅 | 87.16平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,47.9,"5,496元/平"
中楼层，适合过冬度假群体，交通方便，生活购物方便,嘉和万世 -银海区,2室2厅 | 78.8平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,61.8,"7,843元/平"
贵州市场旁边   银苑小区整洁大三房出售,银苑小区 -海城区,3室2厅 | 95.5平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,44.2,"4,629元/平"
此房明厨明卫，格局户型楼层都很好，视野宽阔,阳光西海岸 -合浦县,3室2厅 | 86.49平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,35,"4,047元/平"
吾悦华府 精装修高层把边户 现房现证 采光充足 通透,吾悦华府 -银海区,3室2厅 | 86.67平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,5人关注 / 4个月以前发布,65,"7,500元/平"
恒大名都3室2厅1厨2卫.。。。。。,恒大名都 -银海区,3室2厅 | 108.26平米 | 西 东 东南 | 精装 | 低楼层(共32层)  | 塔楼,4人关注 / 一年前发布,78,"7,205元/平"
业主低价出售棕榈泉3房2厅2卫。,棕榈泉花园公寓 -银海区,3室2厅 | 140.13平米 | 北 | 简装 | 低楼层(共21层)  | 板塔结合,5人关注 / 一年前发布,87,"6,209元/平"
银湾花园大三房，价格划算，看房有钥匙,园中苑 -海城区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,56人关注 / 一年前发布,45,"3,462元/平"
可观江.可观海.视野宽阔.环境优美.,恒大名都 -银海区,3室2厅 | 100.92平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 5个月以前发布,66.5,"6,590元/平"
一线海景，户型通透，品质小区，金碧物业,北海恒大海上帝景 -海城区,3室2厅 | 109.68平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,130,"11,853元/平"
中南锦绣 三房 比邻万达 配套完善,中南锦绣花园 -银海区,3室2厅 | 89.15平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 8个月以前发布,58,"6,506元/平"
万达和吾悦广场商圈，国企开发大型小区电梯高层,银投乾坤国际城 -银海区,3室2厅 | 88.25平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,55,"6,233元/平"
海岸华府三区 房龄新 电梯高层 南北通透 边户随意装修,恒宇海岸华府三区 -银海区,4室2厅 | 109.09平米 | 北 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,109,"9,992元/平"
银滩边 大唐听海 一线高层海景3房2卫 视野宽阔无遮挡,大唐听海居二期 -银海区,3室2厅 | 90.27平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,89.5,"9,915元/平"
可观江.可观海.视野宽阔.环境优美.,恒大名都 -银海区,3室2厅 | 89.8平米 | 北 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 7个月以前发布,62.5,"6,960元/平"
怡景港湾 2室2厅 东北,怡景港湾 -海城区,2室2厅 | 85平米 | 东北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,37.6,"4,424元/平"
恒大半岛高楼层采光好，视野开阔,恒大御景半岛 -银海区,3室2厅 | 112.93平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,80,"7,085元/平"
广东路九中旁  星海颐园   4房2卫 阳台朝南,星海颐园 -海城区,4室2厅 | 161.64平米 | 东南 | 简装 | 低楼层(共11层)  | 板塔结合,55人关注 / 一年前发布,74.8,"4,628元/平"
此房满五唯一，万达商圈，户型方正，采光明亮。,金癸领海郡 -银海区,3室1厅 | 86.61平米 | 东南 | 简装 | 低楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,60.8,"7,020元/平"
此房满五唯一，万达商圈，户型方正，采光明亮。,金癸领海郡 -银海区,3室1厅 | 86.61平米 | 东南 | 简装 | 低楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,60.8,"7,020元/平"
春华园 电梯优质大四房  4房2厅2卫2阳台1衣帽间,春华园 -海城区,4室2厅 | 148.92平米 | 北 | 简装 | 中楼层(共11层)  | 板楼,14人关注 / 一年前发布,76,"5,104元/平"
南北通透，，商场，公园，海边，生活方便,北海名座 -海城区,4室2厅 | 124.33平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,18人关注 / 11个月以前发布,102,"8,204元/平"
湖南路香海花园两房精装拎包入住 高层朝南 通风采光好,香海花园 -海城区,2室2厅 | 86.64平米 | 南 | 简装 | 高楼层(共20层)  | 塔楼,0人关注 / 4个月以前发布,43,"4,964元/平"
小区地段好 生活方便 房子南北通透  看房方便,聚金园 -海城区,3室2厅 | 118.12平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,38,"3,218元/平"
万达吾悦广场杭州路菜市场银滩侨港 纯南北三房,金癸领海郡 -银海区,3室2厅 | 90.09平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,8人关注 / 一年前发布,61,"6,772元/平"
圣美阳光花园，三房两厅，南北通透，全新家具,圣美阳光家园 -银海区,3室2厅 | 89.43平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,55,"6,151元/平"
新世纪大道  新大润发商圈 侨港  三房两厅 随时看房,阳光金海岸 -银海区,3室2厅 | 88.91平米 | 南 北 | 简装 | 高楼层(共25层)  | 板塔结合,4人关注 / 一年前发布,48,"5,399元/平"
房子户型通透，客厅明亮，采光通风效果很好,东峰世纪公寓 -银海区,3室2厅 | 84.23平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,44,"5,224元/平"
万达吾悦商圈 热门小区 通透三房2卫 精装修 满五唯一,镒建世纪城 -银海区,3室2厅 | 117.3平米 | 南 北 | 简装 | 低楼层(共25层)  | 板塔结合,12人关注 / 一年前发布,72.3,"6,164元/平"
上海路，海公馆 步梯楼 大3房2卫，双阳台。,碧园海公馆 -银海区,3室2厅 | 107.67平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,20人关注 / 一年前发布,55,"5,109元/平"
亲海不近海，高层大露台，复式海景美宅,天宁海东方 -海城区,5室2厅 | 106.58平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 塔楼,15人关注 / 一年前发布,74,"6,944元/平"
第二人民医院旁  满五唯一  朝南  精装三房两厅,东辉·翰林鑫苑 -银海区,3室2厅 | 89.38平米 | 南 北 东 | 简装 | 中楼层(共26层)  | 板塔结合,5人关注 / 3个月以前发布,41,"4,588元/平"
中信国安 朝南正规一房一厅精装修拎包入住,中信国安北海第一城 -银海区,1室1厅 | 67平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,62.8,"9,374元/平"
北部湾广场区域精装三房，朝南户型，业主急售。,第五街一期 -海城区,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,61.5,"6,759元/平"
上海路香槟郡精装复式楼南北通透,香槟郡 -海城区,4室2厅 | 87.43平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,25人关注 / 一年前发布,55.8,"6,383元/平"
银滩商圈恒大帝景一线海景3房2厅103平方全新装修,北海恒大海上帝景 -海城区,3室2厅 | 102.92平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,7人关注 / 一年前发布,75,"7,288元/平"
此房满五不唯一，楼层好，视野开阔，采光充足，配套齐,金癸领海郡 -银海区,3室1厅 | 88.63平米 | 东 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,58,"6,545元/平"
国企大盘   大三房  看海效果棒棒哒,大都·金沙湾 -银海区,3室2厅 | 135.78平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,100,"7,365元/平"
奇美大厦 2室2厅 东,奇美大厦 -海城区,2室2厅 | 86.38平米 | 东 | 简装 | 低楼层(共16层)  | 塔楼,0人关注 / 9个月以前发布,28,"3,242元/平"
德臣金海花园 2室1厅 南,德臣金海花园 -海城区,2室1厅 | 85.18平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,55,"6,457元/平"
银海区万达商圈三居室，拎包入住，朝南大阳台,安建假日海岸 -银海区,3室1厅 | 88.33平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 5个月以前发布,45,"5,095元/平"
全新装修.大三房中高楼层.采光通风好,恒大名都 -银海区,3室2厅 | 109.88平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,8人关注 / 一年前发布,76,"6,917元/平"
海城区站前路星海颐园一房一厅优惠出售,星海颐园 -海城区,1室1厅 | 75.05平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,35.9,"4,784元/平"
方正三房，通风采光效果好，高楼层。,望阳绿茵广场 -银海区,3室2厅 | 78.81平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,44.3,"5,622元/平"
一线海景无遮挡 主卧客厅可看海,北海恒大海上帝景 -海城区,3室2厅 | 121.11平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,17人关注 / 一年前发布,81,"6,689元/平"
小区位于上海路与江苏路交汇，有教育设施,园辉新都 -银海区,4室2厅 | 124.58平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,63,"5,057元/平"
大润商圈大小区九州家园南北通透大三房,九州家园南区 -银海区,3室2厅 | 111.49平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,7人关注 / 8个月以前发布,48.6,"4,360元/平"
满五唯一，无抵押，户型方正，通透，视野开阔,海富大厦 -海城区,5室1厅 | 218.1平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,4人关注 / 一年前发布,78,"3,577元/平"
网红商圈 万泉城1区 经典大户型三房两卫 露台式双阳台,万泉城一区 -银海区,3室2厅 | 115.37平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,23人关注 / 一年前发布,78,"6,761元/平"
银滩西电梯中层一线精装海景三居室,北海恒大海上帝景 -海城区,3室2厅 | 89.6平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,32人关注 / 一年前发布,65,"7,255元/平"
南北通透  拎包入住  地理位子优越,北海南岸 -银海区,3室2厅 | 70.72平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,7人关注 / 一年前发布,35,"4,950元/平"
全新精装修 3房双阳台 业主吉售 有钥匙 看房方便,莱茵名郡 -银海区,3室2厅 | 124.24平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,5人关注 / 一年前发布,64.5,"5,192元/平"
21度品质小区，南北通透，三房两卫，拎包入住，可看海,21度公馆 -银海区,3室2厅 | 89.05平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,5人关注 / 一年前发布,70,"7,861元/平"
出售 新世纪大道 东辉翰林鑫苑 4房 仅售58万,东辉·翰林鑫苑 -银海区,4室1厅 | 87.09平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,46.5,"5,340元/平"
高品质住宅小区，亲海不近海，海景两居,皇家海湾公馆 -银海区,2室2厅 | 58平米 | 东 | 精装 | 中楼层(共33层)  | 板塔结合,11人关注 / 一年前发布,61.8,"10,656元/平"
西南大道主路，出行便利，配置完整,嘉和丽景 -海城区,3室2厅 | 92.75平米 | 东南 | 简装 | 高楼层(共25层)  | 板塔结合,8人关注 / 一年前发布,47.9,"5,165元/平"
电梯高层，视野开阔 海景房，新房未入住，,嘉和冠山海 -海城区,4室1厅 | 98平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,82.9,"8,460元/平"
新大润发商圈阳光金海岸南北通透三房业主急售,阳光金海岸 -银海区,3室2厅 | 122.73平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,13人关注 / 一年前发布,51.9,"4,229元/平"
满五唯一，无抵押，户型方正，通透，视野开阔,海富大厦 -海城区,5室1厅 | 218.1平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,4人关注 / 一年前发布,78,"3,577元/平"
网红商圈 万泉城1区 经典大户型三房两卫 露台式双阳台,万泉城一区 -银海区,3室2厅 | 115.37平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,23人关注 / 一年前发布,78,"6,761元/平"
大润商圈大小区九州家园南北通透大三房,九州家园南区 -银海区,3室2厅 | 111.49平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,7人关注 / 8个月以前发布,48.6,"4,360元/平"
小区位于上海路与江苏路交汇，有教育设施,园辉新都 -银海区,4室2厅 | 124.58平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,63,"5,057元/平"
地段好，步梯楼层，纯南北通透，价格合适。,桐洋家园 -银海区,3室2厅 | 117平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,48,"4,103元/平"
四川路侨港 华一红树林品质社区 南北通透3居室,华一·红树林 -银海区,3室2厅 | 86.7平米 | 南 北 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,59.5,"6,863元/平"
好家园步梯大三房通风采光好明亮户型方正宁春城商圈,好家园 -海城区,3室2厅 | 140.96平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,60,"4,257元/平"
"此房朝南采光好，户型方正，明厨，明卫,小区绿化好",万泉城一区 -银海区,3室2厅 | 88.94平米 | 南 西 北 | 简装 | 低楼层(共30层)  | 板塔结合,21人关注 / 一年前发布,48.5,"5,454元/平"
高铁站宁春城商场，贵兴市场，市花公园，新大润发,国际新城 -海城区,1室1厅 | 62.14平米 | 北 | 简装 | 中楼层(共21层)  | 板塔结合,0人关注 / 5个月以前发布,32.9,"5,295元/平"
精装修拎包入住 南北通透 无遮挡采光好 正规三房两卫,恒大御景半岛 -银海区,3室2厅 | 123.57平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,100,"8,093元/平"
此房是商品房性质，拎包入住。。。,东峰世纪公寓 -银海区,3室2厅 | 84.27平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,9人关注 / 一年前发布,43.5,"5,162元/平"
海城区老街 新源文明苑 步梯三房 南北通透,新源文明苑 -海城区,3室2厅 | 124.65平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,35,"2,808元/平"
北海大道旁，宝丽小区，3房2厅，南北通透，3面光,寶麗小區寶麗苑 -海城区,3室2厅 | 123.15平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,5人关注 / 一年前发布,44.5,"3,614元/平"
恒宇海岸花园  带前后花园    品质小区,恒宇海岸华府一区 -银海区,3室2厅 | 150平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 7个月以前发布,118,"7,867元/平"
富丽华海御  品质小区 三房二厅 中层一线无遮挡海景房,富麗華海御 -海城区,3室1厅 | 145.41平米 | 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,160,"11,004元/平"
万达碧海湾电梯8楼满五唯一无抵押随时过户带家具家电,碧海湾 -银海区,3室2厅 | 89.54平米 | 东 | 简装 | 高楼层(共9层)  | 板塔结合,2人关注 / 一年前发布,57,"6,366元/平"
新大润旁边，3房2厅.66.8万，南北向，新装修,怡康春城 -银海区,3室1厅 | 124.71平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 4个月以前发布,66.8,"5,357元/平"
业主急售 云南路 70年大产权 南北通透大三房两卫,嘉莱酒店公寓 -海城区,3室2厅 | 132.03平米 | 南 北 | 简装 | 中楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,39.8,"3,015元/平"
千亩大盘，社区全能型高品质服务，配套齐全,中港城浅水湾 -海城区,3室2厅 | 117.68平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,18人关注 / 11个月以前发布,62.9,"5,346元/平"
此房楼层好，通透采光好、近万达 吾悦广场,东辉·翰林鑫苑 -银海区,3室2厅 | 131.76平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 4个月以前发布,60,"4,554元/平"
精装修三房，户型方正，电梯中楼层，采光好,辰宸花园 -银海区,3室1厅 | 89.9平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 4个月以前发布,56,"6,230元/平"
三房两厅两卫精装修，南北通透舒适无遮挡,赫尔馨居 -银海区,3室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,3人关注 / 一年前发布,65,"5,653元/平"
房屋满二唯一，海景房，户型方正，采光好,嘉和冠山海 -海城区,4室2厅 | 98平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,73,"7,449元/平"
第九湾蓝山上湾毛坯低楼层无遮挡,第九湾蓝山上湾 -银海区,1室1厅 | 66.19平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,30.8,"4,654元/平"
海滨公园 海底世界旁海景湾小区 大两房 吉售,正虹海景湾 -海城区,2室2厅 | 104.75平米 | 北 | 简装 | 高楼层(共19层)  | 板塔结合,3人关注 / 一年前发布,56,"5,347元/平"
银海区舒适小两居，装修未入住，,禧悦湾 -银海区,2室1厅 | 53.61平米 | 东 西 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,36,"6,716元/平"
大四房，很适合一大家人居住，生活方便,正天花园 -银海区,4室2厅 | 137.7平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,40,"2,905元/平"
高德古镇旁碧水半岛，毛坯三房两卫.,碧水半岛 -海城区,3室2厅 | 110.11平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,57.5,"5,223元/平"
北海大道边上 ，大润发，宁春城商圈，第五中，旁边,第五街一期 -海城区,1室1厅 | 71.71平米 | 西 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 7个月以前发布,40,"5,579元/平"
海城区海天花园步梯二楼2+1三房出售,海天花园 -海城区,3室2厅 | 100.02平米 | 西 | 简装 | 中楼层(共5层)  | 板塔结合,3人关注 / 一年前发布,39.8,"3,980元/平"
高德古镇旁碧水半岛，毛坯三房.,碧水半岛 -海城区,3室2厅 | 110.11平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,57.5,"5,223元/平"
恒丰新都 2室2厅 南 北,恒丰新都 -海城区,2室2厅 | 108.88平米 | 南 北 | 简装 | 中楼层(共21层)  | 板塔结合,1人关注 / 4个月以前发布,39,"3,582元/平"
恒大名都朝南2房，全屋定制家具，拎包入住,恒大名都 -银海区,2室2厅 | 69.6平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 1个月以前发布,41.9,"6,021元/平"
南北通透复式楼，采光好，视野宽阔.,阳光蓝洲花园 -银海区,4室2厅 | 150.6平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,29人关注 / 一年前发布,55,"3,653元/平"
得房率高，距银滩1公里，三房两卫，南北通透,大唐听海居二期 -银海区,3室2厅 | 82.67平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 11个月以前发布,49,"5,928元/平"
银滩边上 大唐听海海景3房，视野好,大唐听海居二期 -银海区,3室1厅 | 90.33平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,1人关注 / 一年前发布,69,"7,639元/平"
银滩边高层一线精装海景3房2卫,大唐听海居二期 -银海区,3室2厅 | 90.33平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,72,"7,971元/平"
宁春城与金癸市场 桐洋新城 大两房,桐洋新城 -海城区,2室2厅 | 102.71平米 | 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,39.8,"3,875元/平"
可观江.可观海.视野宽阔.环境优美.,恒大名都 -银海区,1室1厅 | 51平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 4个月以前发布,39.3,"7,706元/平"
124平三房二厅二卫，毛胚，可以按照自己装修风格装饰,桐洋新城 -海城区,3室2厅 | 123.97平米 | 南 | 毛坯 | 高楼层(共13层)  | 板塔结合,130人关注 / 一年前发布,46.8,"3,776元/平"
高德古镇旁，碧水半岛毛坯三房两卫.,碧水半岛 -海城区,3室2厅 | 110.11平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,57.5,"5,223元/平"
万达广场、新大润发双商圈，小区环境优美，安静,金域华府 -银海区,3室2厅 | 89.54平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,1人关注 / 一年前发布,69,"7,707元/平"
银海区 万达商圈 四房两卫 电梯中层,嘉福夏日海湾 -银海区,4室2厅 | 119.52平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,12人关注 / 一年前发布,69,"5,774元/平"
高铁站、大润发商圈、精装3房2厅拎包入住,东峰世纪公寓 -银海区,3室2厅 | 88.2平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,26人关注 / 一年前发布,33,"3,742元/平"
北海花园 3室2厅 南 北,北海花园 -海城区,3室2厅 | 163.53平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,37人关注 / 一年前发布,65,"3,975元/平"
金滩海景广场，阳光海岸3房拎包入住。,阳光海岸 -海城区,3室1厅 | 84.86平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,2人关注 / 6个月以前发布,55.8,"6,576元/平"
