标题,开发商,房子信息,发布信息,售价/万,单价
格局宽阔，采光充足好，楼层好，视野好 满五唯颐,颐景雅苑 -延安东路,3室2厅 | 128.45平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 18天以前发布,138,"10,744元/平"
梧桐公馆二期，房子格局不错，楼层适中，,梧桐公馆二期 -生态新城,2室2厅 | 86平米 | 南 东 | 简装 | 高楼层(共27层)  | 塔楼,3人关注 / 一年前发布,168,"19,535元/平"
荷花池小区 小面积 低楼层 老淮中   初二,荷花池花园小区 -清晏园,2室1厅 | 56平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,265,"47,322元/平"
亿力未来城精装两房总价低看房提前联系,亿力未来城 -翔宇大道,2室1厅 | 93.32平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,4人关注 / 4个月以前发布,113,"12,109元/平"
业主诚心卖  精装修 带空调 看房方便 看好再谈,郦城国际南苑 -翔宇大道,2室2厅 | 89.79平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,15人关注 / 7个月以前发布,129.9,"14,468元/平"
出行方便，户型方正，居住方便舒适,洪福小区馨雅园 -水渡口大道,2室2厅 | 95.16平米 | 南 北 | 简装 | 中楼层(共11层)  | 塔楼,0人关注 / 3个月以前发布,83,"8,723元/平"
小区环境优美，适 宜 居 住闲暇时可以楼下散步,融侨观邸 -水渡口大道,3室2厅 | 111平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,4人关注 / 一年前发布,123.8,"11,154元/平"
户型方正，格局好，视野宽阔，采光充足,融侨观邸 -水渡口大道,3室2厅 | 111.23平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 8个月以前发布,128,"11,508元/平"
京河湾公寓南区 3室2厅 南,京河湾公寓南区 -恒大名都,3室2厅 | 89.3平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,1人关注 / 一年前发布,78,"8,735元/平"
中南樾府生活设施配套齐全，交通便捷,中南樾府 -外国语,3室2厅 | 96.85平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,1人关注 / 3个月以前发布,108,"11,152元/平"
此房为精装修，户型好，格局无变化，品牌家具家电，,中天华庭二期 -漕运西路,3室1厅 | 122.02平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,135,"11,064元/平"
东大院2室1厅73.60平方，简单装修。房型好。位置好。,东大院二区 -东大院,2室1厅 | 73.6平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,180,"24,457元/平"
优诗美地高品质房源，大三房豪.装40万成本,中天优诗美地 -翔宇大道,3室2厅 | 135.37平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,5人关注 / 一年前发布,160,"11,820元/平"
红星国际广场  户型采光好  精装修  设施齐全,红星国际广场 -清晏园,3室2厅 | 114.28平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 3个月以前发布,120,"10,501元/平"
满2年 电梯三房2厅2卫双阳台 精装拎包即住 诚心出售,红星国际广场 -清晏园,3室2厅 | 123.1平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 1个月以前发布,127,"10,317元/平"
兴业国际广场 2室精装 随时看房,兴业国际广场 -清晏园,2室1厅 | 68.07平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,180,"26,444元/平"
楼层好，采光充足。。。。。。。。,东方丽景 -水渡口大道,3室2厅 | 92平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,70,"7,609元/平"
御花园C区好楼层，精装未住过，房东诚意出售,御花园C区 -长征小学,2室1厅 | 58平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,58,"10,000元/平"
此房满五不唯一 通透户型格局楼层好视野开阔采光充足,友创南门尚城 -清晏园,3室2厅 | 120.77平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,2人关注 / 3个月以前发布,115,"9,523元/平"
此房满两年 东边户 三房 户型通透 可拎包入住,融侨·华府 -水渡口大道,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 1个月以前发布,120,"9,837元/平"
烟厂宿舍楼 2室1厅 南,烟厂宿舍楼 -清晏园,2室1厅 | 63.77平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,48,"7,528元/平"
小区绿化好，环境优美，适宜居住，闲暇时可以楼下散步,融侨观邸 -水渡口大道,3室1厅 | 102平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,1人关注 / 3个月以前发布,102,"10,000元/平"
格局方正，楼层好，视野宽阔，采光充足，配套设施齐全,星河花园 -迎宾大道,3室2厅 | 89.87平米 | 南 北 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 5个月以前发布,99,"11,016元/平"
急卖兰亭绿城3-2-1-1 拎包入住精装修,兰亭绿城 -漕运西路,3室2厅 | 108.8平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,90,"8,273元/平"
市委东大院中层精装修拎包住72.95平168万,东大院三区 -东大院,2室1厅 | 72.95平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,158,"21,659元/平"
万达商圈精装修三房，电梯好楼层拎包入住,御景城南区 -新城市广场,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,128,"10,941元/平"
交通便利，附件购物便利店，餐饮娱乐多,淮安恒大名都 -恒大名都,2室2厅 | 92.6平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,72.5,"7,830元/平"
洪福小区馨雅园出行方便，户型方正，居住方便舒适,洪福小区馨雅园 -水渡口大道,2室2厅 | 83平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 19天以前发布,78.8,"9,494元/平"
"清枫花苑三室两厅一厨一卫,交通方便，配套齐全",清枫花苑 -深圳路,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,88,"8,149元/平"
绿地北苑三房毛坯，总价低，采光不挡，房东急卖,绿地世纪城国际花都北苑 -生态新城,2室2厅 | 94.77平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,160,"16,883元/平"
采光通风 ，户型好， 品质小区， 环境优美。,水韵天成银杏苑 -翔宇大道,1室1厅 | 45.47平米 | 北 | 简装 | 中楼层(共29层)  | 平房,1人关注 / 一年前发布,50,"10,997元/平"
大学城江淮印象 70年产权住宅  可公积金贷款,江淮印象 -大学城商圈,1室1厅 | 56.76平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,2人关注 / 5个月以前发布,53,"9,338元/平"
梧桐二期，毛坯两房，中上楼层，随时看房，,梧桐公馆二期 -生态新城,2室2厅 | 73.06平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,150,"20,532元/平"
急售 学林雅苑小公寓诚心出售看房方便中间楼层,学林雅苑 -大学城商圈,1室1厅 | 57平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,43,"7,544元/平"
新世纪豪园 一室一厅一卫  朝北,新世纪豪园 -外国语,1室1厅 | 48平米 | 北 | 其他 | 中楼层(共39层)  | 板楼,0人关注 / 4个月以前发布,85,"17,709元/平"
南北格局通透，视野宽阔，采光充足,大胜广厦 -深圳路,2室2厅 | 87.22平米 | 东南 | 毛坯 | 中楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,68,"7,797元/平"
新世纪豪园 三年级朝北 家电齐全 拎包入住,新世纪豪园 -外国语,1室1厅 | 47.47平米 | 南 | 精装 | 高楼层(共39层)  | 板楼,1人关注 / 4个月以前发布,67,"14,115元/平"
万达商圈，香格里拉 ，靠钵池山公园，设施齐全,香格里拉D区 -水渡口大道,3室1厅 | 111.97平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,115.8,"10,343元/平"
户型方正 格局好，楼层好，视野宽阔，采光充足,钱隆御景 -恒大名都,2室2厅 | 92.04平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,69,"7,497元/平"
交通便利，周 边购物餐饮娱乐多 小区环境优雅,郁金蓝湾 -大学城商圈,2室2厅 | 82.79平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,70.5,"8,516元/平"
多层小洋房，总高5层，前面无遮挡，有钥匙随时看房子,汇金豪庭 -翔宇大道,3室2厅 | 108.75平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,1人关注 / 1个月以前发布,128,"11,771元/平"
此房户型方正 ， 好楼层 得房率高 简装,清枫花苑东区 -深圳路,1室1厅 | 59.13平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 4个月以前发布,43,"7,273元/平"
亿丰时代广场3-2-1-1户型，看房方便,亿丰时代广场 -迎宾大道,3室2厅 | 97.75平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 4个月以前发布,85,"8,696元/平"
金润城御园 2室1厅 南,金润城御园 -淮阴区大润发,2室1厅 | 77平米 | 南 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 1个月以前发布,70,"9,091元/平"
大湖城邦 3室1厅 南,大湖城邦 -深圳路,3室1厅 | 107.37平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,85,"7,917元/平"
环城 富淮 兴业国际广场 精装修 满2年 初三 房主诚售,兴业国际广场 -清晏园,2室1厅 | 89.9平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,230,"25,584元/平"
兰亭绿城 2室毛坯  楼层好  采光充足  交通便利,兰亭绿城 -漕运西路,2室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,6人关注 / 一年前发布,64.5,"7,414元/平"
北京新村   随时看房  价格可谈,北京新村 -外国语,2室1厅 | 60.86平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,5人关注 / 5个月以前发布,48,"7,887元/平"
长征小 学瑞林国 际 楼层好 精装修 配套齐全,瑞林国际广场 -长征小学,2室1厅 | 91.56平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,102,"11,141元/平"
三房东边户，两房都朝南，诚心出售,锦阳花园 -北京西路,3室2厅 | 107.6平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 11个月以前发布,70,"6,506元/平"
房主诚心出售 已经满两年 随时可看房,中天清江诚品 -淮阴卷烟厂,3室2厅 | 116.87平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,1人关注 / 5个月以前发布,100,"8,557元/平"
万达商圈 融侨华府 中高好楼层 全天采光 精装修,融侨·华府 -水渡口大道,3室2厅 | 123.26平米 | 南 | 精装 | 32层  | 板楼,0人关注 / 1个月以前发布,120,"9,736元/平"
水岸名宅 2室2厅 南,水岸名宅 -东大院,2室2厅 | 94平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,128,"13,618元/平"
康城明珠北区 好楼层 业主诚心出售 看房方便,康城明珠北区 -东大院,2室2厅 | 89.6平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,129,"14,398元/平"
幸福城 三期五期 三房毛坯 户型好,幸福城 -淮阴区大润发,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,2人关注 / 5个月以前发布,116,"11,048元/平"
乐园步行街 3室2厅 南,乐园步行街 -外国语,3室2厅 | 131.53平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,155,"11,785元/平"
恒大名都三期 三室 精装 诚心出售 随时看房,恒大名都三期 -恒大名都,3室1厅 | 122.31平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,8人关注 / 8个月以前发布,102,"8,340元/平"
采光好，户型好，地段好，交通便利生活方便,水门桥小区 -大运河文化广场,3室2厅 | 93平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,10人关注 / 一年前发布,112,"12,044元/平"
此房全明户型，视野好，全天采光,正中尚品 -迎宾大道,3室1厅 | 108.5平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,88,"8,111元/平"
四季金辉精装修，诚心出售，看好可谈，满两年,四季金辉 -恒大名都,3室1厅 | 98.36平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,90,"9,151元/平"
凯旋宫 户型方正，采光好，118平三房！,凯旋宫 -翔宇大道,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,105,"8,899元/平"
中南世纪城二期，满二，中间楼层，采光好，交通便利,中南世纪城2期 -中南商圈,3室2厅 | 100.5平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,2人关注 / 5个月以前发布,113,"11,244元/平"
凯旋宫 户型方正，采光好，118平三房！,凯旋宫 -翔宇大道,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,105,"8,899元/平"
中南世纪城二期，满二，中间楼层，采光好，交通便利,中南世纪城2期 -中南商圈,3室2厅 | 100.5平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,2人关注 / 5个月以前发布,113,"11,244元/平"
这套房子楼层不错，适合家里有老人居住,富豪花园北区 -北京西路,3室2厅 | 107平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,98,"9,159元/平"
维多莉雅花苑 2室2厅 南,维多莉雅花苑 -深圳路,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,8人关注 / 7个月以前发布,77,"8,556元/平"
北京新村   户型好 采光好 楼层好  可随时看房！,北京新村 -外国语,2室1厅 | 59平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,55.7,"9,441元/平"
房东诚心出售，已装修！小面积，位置繁华，出行方便,新世纪豪园 -外国语,1室1厅 | 57平米 | 南 | 精装 | 高楼层(共39层)  | 板楼,2人关注 / 一年前发布,90,"15,790元/平"
星雨华府，采光无遮挡，硬装修已好，看房方便,星雨华府(淮安区) -生态新城,3室2厅 | 104平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,130,"12,500元/平"
融侨观邸 满两年 三房两厅 精装修 带地暖 智能家电,融侨观邸 -水渡口大道,3室2厅 | 100.79平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,19人关注 / 7个月以前发布,113,"11,212元/平"
香格里拉D区 好楼层 电梯房 精装两房,香格里拉D区 -水渡口大道,2室1厅 | 85.86平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,12人关注 / 5个月以前发布,102,"11,880元/平"
香格里拉四期  婚装两房  诚意出售  看房方便,香格里拉D区 -水渡口大道,2室1厅 | 90平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,107,"11,889元/平"
交通便利，周 边购物商场，餐饮娱乐多。,宏元国际广场 -翔宇大道,3室2厅 | 97.31平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,11人关注 / 8个月以前发布,130,"13,360元/平"
淮安碧桂园4房2卫，146平，四开间朝南， 满二,淮安碧桂园 -深圳路,4室2厅 | 146平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 一年前发布,141,"9,658元/平"
香格里拉D区，精装2房，多层三楼，满五唯一，诚意出售,香格里拉D区 -水渡口大道,2室1厅 | 87.31平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 9个月以前发布,102.8,"11,775元/平"
叶语郡小区环境好，户型方正，交通便利,叶语郡 -白鹭湖,2室2厅 | 83.06平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,86.8,"10,451元/平"
中央华府精装修三室双阳台 楼层好采光佳看房方便,中央华府 -恒大名都,3室2厅 | 99.49平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,105,"10,554元/平"
精装修 三室 满二年 云梦清河  拎包入住,云梦清河 -水渡口大道,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,115,"11,500元/平"
急售 清枫花苑 价格便宜 户型好,清枫花苑 -深圳路,3室2厅 | 109.65平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,69.5,"6,339元/平"
户型方正，楼层好，通风好，后期住的舒服,城置公园龙湾 -大学城商圈,2室2厅 | 85.8平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,80,"9,325元/平"
香格里拉D区 两房装修 满二看房方便,香格里拉D区 -水渡口大道,2室1厅 | 92.11平米 | 南 | 其他 | 低楼层(共27层)  | 板塔结合,1人关注 / 10个月以前发布,105,"11,400元/平"
交通便捷，西边主干道北京南路，商圈成熟，，，,天禧时代花园 -恒大名都,3室2厅 | 91.44平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,4人关注 / 5个月以前发布,78,"8,531元/平"
恒大商圈精装三房，诚心出售，价格可谈,淮安恒大名都 -恒大名都,3室2厅 | 123.72平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 2个月以前发布,98,"7,922元/平"
房型好交通好生活方便采光好环境好,书院名居 -大学城商圈,3室2厅 | 106.41平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,92,"8,646元/平"
香格里拉E区 2室2厅 南,香格里拉E区 -水渡口大道,2室2厅 | 89.02平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,2人关注 / 3个月以前发布,113,"12,694元/平"
此房满两年，全新装修，楼层好，视野开阔，空气清新,云梦清河 -水渡口大道,3室1厅 | 120平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,8人关注 / 10个月以前发布,149,"12,417元/平"
大学城，美食一条街，物美价廉！！！,怡景园 -大学城商圈,3室1厅 | 106.71平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,71,"6,654元/平"
.此房急售急售急售，楼层好，视野宽阔,中天花园西区 -外国语,3室1厅 | 113.41平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,150,"13,227元/平"
此房采光充足，配套设施齐全，户型好，格局好，视野好,环城小区 -清晏园,2室1厅 | 78平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,220,"28,206元/平"
品质小区 茂华国际 精装两房 20楼 景观好 诚心卖房,茂华国际汇南区 -水渡口大道,2室2厅 | 107平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,132.6,"12,393元/平"
交通便利，周 边购物便利店，餐饮娱乐多,水韵天成金桂苑 -翔宇大道,2室1厅 | 98平米 | 南 | 简装 | 低楼层(共24层)  | 板塔结合,2人关注 / 4个月以前发布,120,"12,245元/平"
户型方正，楼层好，背靠森林公园，视野好，景色佳,中天翡丽湾 -生态新城,3室1厅 | 93.29平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,4人关注 / 3个月以前发布,105,"11,256元/平"
北京新村，2楼有平台。精装修q两室朝阳,北京新村 -外国语,2室1厅 | 58平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,59.8,"10,311元/平"
户型方正，采光刺眼，宽敞明亮，适合居住,维科·格蘭花園 -深圳路,2室2厅 | 71.24平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,69,"9,686元/平"
此房，格局好，楼层好，视野宽阔，楼前采光充足,璟和名城 -水渡口大道,2室1厅 | 60平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 2个月以前发布,86,"14,334元/平"
淮海购物广场小区，一室一厅一厨一卫,淮海购物广场小区 -上海东路,1室1厅 | 31.7平米 | 北 | 精装 | 中楼层(共18层)  | 塔楼,4人关注 / 8个月以前发布,32,"10,095元/平"
叶语世家   精装修  户型方正   随时看房,叶语世家 -漕运西路,2室1厅 | 61平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,7人关注 / 6个月以前发布,66,"10,820元/平"
中天花园东区2-2-1-1 89.00m²,中天花园东区 -外国语,2室2厅 | 89平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,120,"13,484元/平"
恒大名都二期  精装修 满两年 看房方便  83万,恒大名都二期 -恒大名都,2室1厅 | 94.9平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,8人关注 / 5个月以前发布,83,"8,747元/平"
深圳路旁  精装两房  有钥匙看房方便,世袭雅园 -深圳路,2室1厅 | 83.4平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 7个月以前发布,69.9,"8,382元/平"
帝景蓝全新湾精装修2室2厅户型好,帝景蓝湾(淮阴区) -火车北站,2室2厅 | 89.98平米 | 南 北 | 其他 | 中楼层(共22层)  | 塔楼,0人关注 / 7天以前发布,81.8,"9,091元/平"
清拖生活院 楼层好 户型好 有一个小车库,清拖生活院 -万达,2室2厅 | 73.14平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,75,"10,255元/平"
朝南小户型，精装修，首付10来万就能搞定，满二,中熙凤凰城 -小营,1室1厅 | 42.68平米 | 南 | 其他 | 低楼层(共16层)  | 塔楼,4人关注 / 5个月以前发布,39,"9,138元/平"
东湖怡景园怡园，55平58万精装,东湖怡景苑-怡园 -迎宾大道,1室2厅 | 55平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,2人关注 / 4个月以前发布,53,"9,637元/平"
清纤小区 1室1厅 南,清纤小区 -淮阴卷烟厂,1室1厅 | 41平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 1个月以前发布,28.5,"6,952元/平"
大河新城 2室1厅 南,大河新城 -漕运西路,2室1厅 | 60.94平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,49.8,"8,172元/平"
精装修一房，全新装修，楼层佳，采光好,璟和名城 -水渡口大道,1室1厅 | 62平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,1人关注 / 2个月以前发布,93,"15,000元/平"
紧靠淮海路边上  交通便利  小区环境好,华德力运河城 -恒大名都,2室1厅 | 70.3平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,66,"9,389元/平"
玫瑰苑一室一厅，带电梯，精装修,玫瑰苑 -上海东路,1室1厅 | 39.82平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,10人关注 / 一年前发布,35,"8,790元/平"
报业新城 两房 户型方正 好楼层 全天采光,报业新城 -恒大名都,2室1厅 | 82.72平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,78,"9,430元/平"
急售！维科格兰花园！精装修！随时看！,维科·格蘭花園 -深圳路,2室2厅 | 64.95平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,64,"9,854元/平"
低楼层 自带车库 精装 拎包入住,康体嘉苑 -中南商圈,2室2厅 | 58平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,51.5,"8,880元/平"
河下小区 2室2厅 东南,河下小区 -生态新城,2室2厅 | 76.5平米 | 东南 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,58,"7,582元/平"
楼层好，视线好，全天采光，交通便利，,绿地世纪城一期 -生态新城,3室2厅 | 141.15平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 17天以前发布,209,"14,807元/平"
鼎力香榭丽南区，前后阳台，户型好，房东诚心出售可谈,鼎立香榭丽花苑南区 -迎宾大道,2室2厅 | 107.7平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 16天以前发布,77.8,"7,224元/平"
天恒王 府 精装三房双卫 老证小高层 居住舒适,天恒王府 -金地商业广场,3室2厅 | 123.28平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 12天以前发布,150.5,"12,208元/平"
中天翡丽湾 边户三房 精装修 随时看房,中天翡丽湾 -生态新城,3室2厅 | 118.02平米 | 南 | 精装 | 高楼层(共24层)  | 暂无数据,2人关注 / 4个月以前发布,132,"11,185元/平"
建华观园  低楼层 采光好  大户型  总价低,建华观园 -生态新城,4室2厅 | 141.67平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,159,"11,224元/平"
万达商圈，优质楼层，户型通透采光好,万达广场一期住宅 -万达,2室1厅 | 87.81平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,0人关注 / 10天以前发布,90,"10,250元/平"
红豆公园里，一梯一户双阳台房东诚心出售,红豆美墅公园里 -迎宾大道,4室2厅 | 147平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,158,"10,749元/平"
小区环境优美采光好视野广阔生活便利！,开源珑城 -长征小学,3室2厅 | 122.07平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 22天以前发布,135,"11,060元/平"
茂华璟和，靠钵池山公园旁，万达商圈。,璟和名城 -水渡口大道,3室2厅 | 128平米 | 南 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 16天以前发布,170,"13,282元/平"
此房格局通透，楼层好，视野宽阔，采光充足，交通便利,吾悦首府 -生态新城,3室2厅 | 141.4平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,228,"16,125元/平"
清池华府三房两卫，带二十多平方储藏室。,清池华府 -迎宾大道,3室2厅 | 120.05平米 | 南 北 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 3个月以前发布,99.8,"8,314元/平"
郦城南苑四房两卫，中高楼层，满两年,郦城国际南苑 -翔宇大道,4室2厅 | 145平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 12天以前发布,200,"13,794元/平"
金奥国际中心 3室1厅 南,金奥国际中心 -生态新城,3室1厅 | 100平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,1人关注 / 8天以前发布,168,"16,800元/平"
金奥国际中心121.55平 169万,金奥国际中心 -生态新城,3室2厅 | 121.55平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,2人关注 / 16天以前发布,169,"13,904元/平"
此房户型方正，楼层格局佳，明厨明卫,萧湖人家 -生态新城,3室2厅 | 108.71平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 12天以前发布,85,"7,819元/平"
翔宇大道旁。河畔花城，精装三房,河畔花城 -翔宇大道,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共19层)  | 板塔结合,0人关注 / 22天以前发布,123,"10,604元/平"
吾悦首府B地块 3室2厅 南,吾悦首府B地块 -生态新城,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 17天以前发布,196,"17,819元/平"
绿地四期 采光刺眼 好楼层 户型方正,绿地世纪城四期 -生态新城,2室2厅 | 99.73平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,1人关注 / 24天以前发布,152,"15,242元/平"
