标题,开发商,房子信息,发布信息,售价/万,单价
公馆贰号 2室1厅 西北,公馆贰号 -南岸西区,2室1厅 | 41.43平米 | 西北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,32.8,"7,917元/平"
柏溪花园二期 诚心出售  单价4千多,柏溪花园二期 -柏溪镇,3室3厅 | 131平米 | 东南 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 13天以前发布,54.8,"4,184元/平"
此房证满5年.无增值税.小区宽大.环境好.成熟小区,罗马假日 -柏溪镇,3室2厅 | 82平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,55,"6,708元/平"
青年城套三带车位出售。。。。。。。。。。,长江国际青年城 -临港,3室2厅 | 90平米 | 东南 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 11天以前发布,90,"10,000元/平"
此房低楼层，户型端正，出现方便，适合居家,安居小区 -柏溪镇,3室2厅 | 118.19平米 | 东南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 一年前发布,55.8,"4,722元/平"
新区精装修，三房，高楼层，看兰卡公园，现代轻奢风格,天悦府 -上江北,3室1厅 | 79.5平米 | 东南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 12天以前发布,77,"9,686元/平"
商贸成旁边，大三房，户型方正。采光好。,万兴花园B1区 -柏溪镇,3室2厅 | 154平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,68,"4,416元/平"
精装三室，户型好，视野开阔，家电家具齐全，拎包入住,江山多娇 -江安县,3室2厅 | 131.14平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,63,"4,805元/平"
此房户型方正，中间楼层，视野开阔，看房方便,绿地上海霞飞名邸 -南岸西区,2室2厅 | 78平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 31天以前发布,77,"9,872元/平"
丽雅龙璟台两室出售，  可更名,龙璟台 -南岸西区,2室2厅 | 79.02平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 25天以前发布,75,"9,492元/平"
半岛大院一期 2室2厅 西南,半岛大院一期 -新村,2室2厅 | 77.63平米 | 西南 | 精装 | 中楼层(共31层)  | 暂无数据,2人关注 / 26天以前发布,71.6,"9,224元/平"
龙顺家园标准套二诚心售，价格可谈,龙顺家园 -临港,2室2厅 | 66平米 | 东南 | 简装 | 高楼层(共26层)  | 暂无数据,0人关注 / 27天以前发布,43.8,"6,637元/平"
采光好，户型好，。配套成熟，出行方便,金江外滩A区 -柏溪镇,2室2厅 | 69.69平米 | 西南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 22天以前发布,48.8,"7,003元/平"
此房楼层好，采光充足，配套完善，交通便利。,正和花园 -上江北,2室2厅 | 87平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,52,"5,978元/平"
龙湾小区 中间楼层  简装两房 家具家电全都有,龙湾小区 -南岸东区,2室1厅 | 66平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,39.8,"6,031元/平"
鑫空间标准两房，拎包入住，看房方便采光好，户型方正,鑫空间 -南岸西区,2室2厅 | 88.38平米 | 西北 | 其他 | 低楼层(共25层)  | 暂无数据,3人关注 / 4个月以前发布,72,"8,147元/平"
南岸东区  翡翠园2-2-1········,翡翠园 -南岸东区,2室2厅 | 83.8平米 | 东 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,58.8,"7,017元/平"
量典公寓 精装修大空间 买一层得两层 5.1米高,量典CFC -南岸西区,1室1厅 | 38平米 | 东南 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 11天以前发布,39.8,"10,474元/平"
七星小区中装两室带家具家电，户型方正采光好,七星花园 -南岸东区,2室1厅 | 56.21平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 6个月以前发布,42.8,"7,615元/平"
紫金城精装大一房，少于市场价五万温馨仙女风视野开阔,成中紫金城 -临港,1室1厅 | 50平米 | 东南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 12天以前发布,37.8,"7,560元/平"
房东安心卖，有钥匙随时可以看房,圣马聚福苑 -新村,2室1厅 | 88平米 | 东南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 8天以前发布,55,"6,250元/平"
半岛大院 装修2房  看中庭 产权清晰 支持按揭,半岛大院一期 -新村,2室2厅 | 77平米 | 东北 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,60,"7,793元/平"
迎宾小区 2室2厅 西北,迎宾小区 -柏溪镇,2室2厅 | 71.05平米 | 西北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,38,"5,349元/平"
此房户型方正，格局，楼层好，视野开阔，釆光充足，,成都铁路局宜宾南站铁路小区 -柏溪镇,2室2厅 | 89.5平米 | 西南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,31,"3,464元/平"
鹭湖宫清水两室，中间楼层，任意装修,远达鹭湖宫一期 -城北新区,2室2厅 | 60.2平米 | 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 12天以前发布,43,"7,143元/平"
紫金城精装大一房，少于市场价五万温馨仙女风视野开阔,成中紫金城 -临港,1室1厅 | 50平米 | 东南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 12天以前发布,37.8,"7,560元/平"
南岸东区 中低楼层 中庭两房 低配两房 双证在手,梦想和居 -南岸东区,2室1厅 | 86平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 12天以前发布,61,"7,094元/平"
地段成熟，出行方便，绿地看中庭清水2房,绿地上海霞飞名邸 -南岸西区,2室2厅 | 77.6平米 | 东南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 15天以前发布,70,"9,021元/平"
此房户型方正，格局，楼层好，视野开阔，釆光充足，,成都铁路局宜宾南站铁路小区 -柏溪镇,2室2厅 | 89.5平米 | 西南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,31,"3,464元/平"
鑫悦华府三室两厅一厨一卫配套设施完善,鑫悦华府 -高县,3室2厅 | 105平米 | 北 | 毛坯 | 高楼层(共20层)  | 暂无数据,3人关注 / 一年前发布,61.8,"5,886元/平"
小三室现房  房东急售 有车位,阳光碧水长滩 -新村,3室2厅 | 72.8平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,59.8,"8,215元/平"
环境幽静，户型方正，采光充足，交通便利,鑫洋·蓝广河畔 -高县,4室2厅 | 116平米 | 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,6人关注 / 一年前发布,66,"5,690元/平"
有证，园林小区，户型方正，房子通透，房东诚心出售。,蔚蓝海 -江安县,车位 | 159.44平米 | 西北  | 板楼,3人关注 / 一年前发布,45.8,"2,873元/平"
南岸东区 经典老宅 退休养老锻炼一体,七星花园 -南岸东区,3室2厅 | 80.4平米 | 东南 西北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,53.6,"6,667元/平"
半岛大院三房双卫带楼顶花园，正看中庭位置清静,半岛大院一期 -新村,3室2厅 | 136.01平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,100,"7,353元/平"
走马街 三室两厅一卫 地段好 位置好 户型方正 采光好,走马街58号 -南溪区,3室2厅 | 136.8平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,52.8,"3,860元/平"
此房户型格局好，中间楼层，视野开阔，采光充足,阳光碧水长滩 -新村,4室2厅 | 96平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 8个月以前发布,95.7,"9,969元/平"
房东急售，带20年车位使用权，证件齐全,塞纳国际三期 -新村,3室2厅 | 98.24平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 10个月以前发布,66.8,"6,800元/平"
此房清水房，户型方正，楼层好，适合居住,阳光碧水长滩 -新村,3室2厅 | 82.39平米 | 东南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,75,"9,104元/平"
户型方正，实际面积宽，交通便利，配套齐全,酒都生活广场小区 -上江北,5室2厅 | 213平米 | 西南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,108,"5,071元/平"
清水3房2卫，视野开阔，房东诚心出售。,半岛大院一期 -新村,3室2厅 | 104平米 | 南 | 毛坯 | 高楼层(共29层)  | 平房,3人关注 / 一年前发布,74.8,"7,193元/平"
现房带一个标准车位出售，设施齐全刚接房的新小区,白沙翡翠城 -临港,3室2厅 | 89.5平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 8个月以前发布,92,"10,280元/平"
临江看江，户型方正，侧望中庭。,阳光碧水长滩 -新村,3室2厅 | 78.2平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 11个月以前发布,80,"10,231元/平"
老城区好房源，交通便利领包入住。,建设路49号 -西郊,3室2厅 | 101.47平米 | 西南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 11个月以前发布,63,"6,209元/平"
三室，中楼层，通风采光优秀，价格可谈,阳光碧水长滩 -新村,3室2厅 | 72.75平米 | 东 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,64.8,"8,908元/平"
邦泰国际社区北区 2室1厅 东北,邦泰国际社区北区 -临港,2室1厅 | 64.03平米 | 东北 | 毛坯 | 低楼层(共32层)  | 板楼,2人关注 / 一年前发布,88.8,"13,869元/平"
花园城别墅  清水三连跃  出售,邦泰国际社区北区 -临港,5室3厅 | 139平米 | 东南 | 毛坯 | 低楼层(共9层)  | 板楼,2人关注 / 一年前发布,247.8,"17,828元/平"
南岸东区 万达旁边 可以看江 视野开阔,正和美好和居 -南岸东区,2室2厅 | 86平米 | 北 | 毛坯 | 高楼层(共26层)  | 板楼,3人关注 / 7个月以前发布,86,"10,000元/平"
中装  户型方正  三室二厅二卫,肖家巷20号 -南溪区,4室2厅 | 182.3平米 | 东南 | 其他 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,64.8,"3,555元/平"
看中庭跃层 带独立大型车位 户型方正 视野开阔,白沙翡翠城 -临港,4室2厅 | 91.5平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,3人关注 / 一年前发布,128,"13,990元/平"
四室两厅交通便利小区环境干净舒适适合居住,财富中心 -高县,4室2厅 | 124.02平米 | 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,9人关注 / 一年前发布,60.8,"4,903元/平"
视野开阔，双阳台户型，小区自带商场。丽雅精品,龙城蜜立方 -南岸西区,1室1厅 | 408.88平米 | 东南 | 毛坯 | 高楼层(共12层)  | 塔楼,0人关注 / 一年前发布,500,"12,229元/平"
绿地莫兰迪带车位清水大四房户型方正有钥匙邻龙景台,绿地·莫兰迪公馆 -南岸西区,4室2厅 | 132平米 | 东南 | 毛坯 | 中楼层(共31层)  | 暂无数据,3人关注 / 8个月以前发布,119.8,"9,076元/平"
精装修碧峰园全中庭，马上装电梯了，已经审批通过了,碧峰园 -南岸西区,4室2厅 | 140.35平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,110,"7,838元/平"
此房是一梯一户的内跃，二楼可以自己利用,鲁能峯璟 -南岸西区,3室1厅 | 147平米 | 东北 | 毛坯 | 高楼层(共17层)  | 暂无数据,4人关注 / 一年前发布,155,"10,545元/平"
鑫领寓小区，楼层好，视野开阔，精装三房,鑫领寓 -南岸西区,3室2厅 | 117平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,110,"9,402元/平"
邦泰社区北区精装三房，户型方正 优雅装修风格,邦泰国际社区北区 -临港,3室2厅 | 85平米 | 东南 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,92,"10,824元/平"
跃层，户型方正，面积大，房东诚心出售,远达第一城央墅小区 -上江北,3室2厅 | 95平米 | 南 | 毛坯 | 中楼层(共8层)  | 塔楼,3人关注 / 8个月以前发布,85.8,"9,032元/平"
精装修三房 通透户型 采光充足 视野开阔,塞纳国际三期 -新村,3室2厅 | 85.6平米 | 东南 | 精装 | 低楼层(共26层)  | 暂无数据,3人关注 / 6个月以前发布,70.8,"8,272元/平"
。。。。、采光很好，户型方正，,北大街85号 -南溪区,3室2厅 | 133.6平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,39.8,"2,980元/平"
远达尚城三室两厅，带楼顶两室两厅房，环境干净舒适,远达尚城 -上江北,4室4厅 | 75平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 9个月以前发布,75,"10,000元/平"
半岛大院二期 3室2厅 南,半岛大院二期 -新村,3室2厅 | 95平米 | 南 | 毛坯 | 低楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,81,"8,527元/平"
滨江首 府电梯全江景三连跃带双露台！满两年税费低！,滨江首府 -南溪区,5室2厅 | 138.24平米 | 东南 西南 | 毛坯 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,112,"8,102元/平"
南岸西区碧峰园6房2厅双卫 232平138万 跃层,碧峰园 -南岸西区,6室2厅 | 231.74平米 | 西南 | 简装 | 高楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,137.8,"5,947元/平"
水岸欧韵顶跃带大露台满二，跃层房东低价出售,天成水岸欧韵 -南溪区,5室3厅 | 182平米 | 南 | 毛坯 | 高楼层(共5层)  | 暂无数据,5人关注 / 一年前发布,101.8,"5,594元/平"
临港大学城  翡翠城  中庭 视野开阔  看房方便,白沙翡翠城 -临港,3室2厅 | 89.9平米 | 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 7个月以前发布,80,"8,899元/平"
住家品牌精装，全江景房，出门就是万人广场,天际上城双子灯塔 -南溪区,4室2厅 | 136平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,108,"7,942元/平"
此房拥有一个大厨房大露台，适合聚会开棋牌室。,鼎业江北兴城B区 -上江北,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,85,"9,551元/平"
鲁能鑫菁英 9室2厅 东南,鲁能鑫菁英 -南岸西区,9室2厅 | 97平米 | 东南 | 简装 | 低楼层(共22层)  | 塔楼,1人关注 / 一年前发布,99.8,"10,289元/平"
滨江国际，精装三房双卫，卧室阳台双证在手看房方便！,正和滨江国际B区 -中坝,3室2厅 | 127平米 | 西南 | 简装 | 高楼层(共23层)  | 塔楼,0人关注 / 一年前发布,112,"8,819元/平"
绿地·莫兰迪公馆 3室2厅 东南,绿地·莫兰迪公馆 -南岸西区,3室2厅 | 101平米 | 东南 | 精装 | 低楼层(共29层)  | 暂无数据,1人关注 / 5个月以前发布,128,"12,674元/平"
此房是跃层.带大露台.户型方正、,远达第一城 -上江北,5室2厅 | 115.5平米 | 东南 | 毛坯 | 高楼层(共22层)  | 板塔结合,1人关注 / 4个月以前发布,98.5,"8,529元/平"
城东三室两厅江景房，采光户型好，全景看江,魅力欧镇 -江安县,3室2厅 | 112.5平米 | 东 西 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 一年前发布,51.8,"4,605元/平"
天成水岸欧韵 4室2厅 东,天成水岸欧韵 -南溪区,4室2厅 | 100平米 | 东 | 简装 | 低楼层(共26层)  | 暂无数据,2人关注 / 一年前发布,76,"7,600元/平"
南岸西区丽雅龙璟台四室带车位出售,龙璟台 -南岸西区,4室2厅 | 130平米 | 东南 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 5个月以前发布,238,"18,308元/平"
江北跃层买一层得三层 6室3厅3卫还有一个楼顶花园,远达第一城 -上江北,6室3厅 | 115平米 | 东南 | 精装 | 高楼层(共23层)  | 塔楼,2人关注 / 11个月以前发布,175,"15,218元/平"
邦泰国际四房，交通便利，小区干净舒适,邦泰临港国际 -临港,4室2厅 | 100.76平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 一年前发布,125,"12,406元/平"
临港三江新区套三双卫简装，户型方正客厅宽敞,太阳岛 -临港,3室2厅 | 123.74平米 | 东南 | 简装 | 高楼层(共26层)  | 塔楼,15人关注 / 一年前发布,75.8,"6,126元/平"
邦泰临港国际 2房底跃 实得140平左右,邦泰临港国际 -临港,2室2厅 | 69.7平米 | 东南 | 其他 | 低楼层(共28层)  | 塔楼,2人关注 / 一年前发布,76,"10,904元/平"
此房采光充足，，视野开阔，，正看中庭~买房有车位,阳光碧水长滩 -新村,3室2厅 | 78.11平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,89,"11,395元/平"
北新公馆经典花园房 机不可失 失不再来,经典北新公馆 -城北新区,3室2厅 | 90.38平米 | 东南 | 毛坯 | 低楼层(共31层)  | 暂无数据,2人关注 / 一年前发布,59,"6,528元/平"
上江北远达第一城三室两厅两卫毛胚房出售。,远达第一城 -上江北,3室2厅 | 87.4平米 | 东南 | 毛坯 | 中楼层(共23层)  | 塔楼,0人关注 / 7个月以前发布,68,"7,781元/平"
白沙翡翠城，精装修，三室出售，,白沙翡翠城 -临港,3室2厅 | 89平米 | 西南 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 一年前发布,110,"12,360元/平"
半岛大院三室二厅一厨一卫清水房出售,半岛大院一期 -新村,3室2厅 | 108平米 | 东南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 11个月以前发布,88,"8,149元/平"
老城紫云街正4室2厅2卫 自带165平楼顶花园,文化小区 -南溪区,4室2厅 | 165平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,54.8,"3,322元/平"
东方名苑，江景电梯四连跃，带双露台花园,东方名苑 -南岸东区,4室2厅 | 185平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,4人关注 / 8个月以前发布,133,"7,190元/平"
老城紫云街正4室2厅2卫 自带165平楼顶花园,文化小区 -南溪区,4室2厅 | 165平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,54.8,"3,322元/平"
邦泰白沙鹭岛，清水套3，带车位出售,邦泰白沙鹭岛 -临港,3室2厅 | 90.8平米 | 西南 | 毛坯 | 高楼层(共28层)  | 塔楼,6人关注 / 一年前发布,99.8,"10,992元/平"
此房是天池雅苑电梯，低楼层装修3室2卫证满2年省税费,银龙天池雅苑 -新村,3室2厅 | 138平米 | 东南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 6个月以前发布,82.8,"6,000元/平"
华泓华彩城 3室2厅 东南 西北,华泓华彩城 -上江北,3室2厅 | 90.63平米 | 东南 西北 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 3个月以前发布,82,"9,048元/平"
福园社区三室拎包入住步梯房低价出售,福园社区一区 -新村,3室2厅 | 88.5平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,47.6,"5,379元/平"
城北新区顶跃清水公园房等您来设计入住,远达鹭湖宫一期 -城北新区,5室2厅 | 125平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,88.8,"7,104元/平"
新老城电梯房，看中庭花园，中间楼层，户型方正！,江临天下 -南溪区,3室2厅 | 97.6平米 | 东南 | 精装 | 低楼层(共22层)  | 板塔结合,1人关注 / 一年前发布,78.8,"8,074元/平"
洋房位于1排，视野开阔无遮挡带顶楼花园舒适性4居室。,金科集美天宸 -南溪区,4室2厅 | 115平米 | 西南 | 毛坯 | 高楼层(共11层)  | 暂无数据,6人关注 / 一年前发布,101.8,"8,853元/平"
前进花苑精装三房双卫，拎包即可入住！,前进花苑 -南溪区,3室2厅 | 125平米 | 北 | 其他 | 高楼层(共17层)  | 暂无数据,3人关注 / 9个月以前发布,76.8,"6,144元/平"
复式大五房 房子通透 双阳台 边套明厨明卫,鼎泰帝壹园C区 -江安县,5室3厅 | 118.18平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,86.8,"7,345元/平"
大地坡 邦泰天誉二期 清水套三 诚心底价出售,邦泰天誉二期 -南岸西区,3室2厅 | 139平米 | 东南 | 毛坯 | 中楼层(共19层)  | 暂无数据,0人关注 / 3个月以前发布,168,"12,087元/平"
凯丽滨江 坐北朝南 三房两厅两卫,华恩凯丽滨江 -南溪区,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,85.8,"8,250元/平"
人民广场三室，房东诚心出售，随时可以看房,人民广场31号 -老城区,3室2厅 | 88平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,58.8,"6,682元/平"
三江新区临港大学城  上 叠 带 车 位 300平,邦泰国际社区北区 -临港,5室2厅 | 139平米 | 东南 西南 | 毛坯 | 低楼层(共3层)  | 板塔结合,6人关注 / 一年前发布,222,"15,972元/平"
上江北远达第一城，三室两卫出售。,远达第一城 -上江北,3室2厅 | 127平米 | 东南 | 其他 | 高楼层(共25层)  | 板塔结合,0人关注 / 7个月以前发布,102,"8,032元/平"
魅力欧镇2室2厅采光通风好房屋方正,魅力欧镇 -江安县,2室2厅 | 85平米 | 西南 | 毛坯 | 高楼层(共26层)  | 平房,3人关注 / 一年前发布,38,"4,471元/平"
鑫悦湾精装三房+衣帽间  全中庭  拎包入住,鑫悦湾 -南岸西区,3室2厅 | 139平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,150,"10,792元/平"
大地坡，户型方正，采光好，带车位,邦泰天誉二期 -南岸西区,3室2厅 | 122平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,140,"11,476元/平"
南岸东区此价格卖一套得两套配套成熟,双院小区 -南岸东区,2室1厅 | 72平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,58,"8,056元/平"
业主诚心急卖，成熟商圈地段，咨询有惊喜,鲁能峯璟 -南岸西区,3室2厅 | 106.51平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,106,"9,953元/平"
邦泰天誉标准3房带阳台，明厨明卫，可议价，视野开阔,邦泰天誉二期 -南岸西区,3室2厅 | 92平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,110,"11,957元/平"
碧峰园大三室房东急售可带车位出售,碧峰园 -南岸西区,3室2厅 | 133.37平米 | 东 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,89.9,"6,741元/平"
顶楼大三室，采光通透，户型方正，房东好，有楼顶花园,川江苑 -江安县,3室2厅 | 108平米 | 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,32,"2,963元/平"
山水原著三期原香岭 3室2厅 东南,山水原著三期原香岭 -南岸西区,3室2厅 | 103.9平米 | 东南 | 精装 | 33层  | 塔楼,0人关注 / 2个月以前发布,126.8,"12,205元/平"
鼎泰帝壹园精装修拎包入住。房子优秀价格也优秀。,鼎泰帝壹园D区 -江安县,3室2厅 | 84平米 | 东 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,62.8,"7,477元/平"
邦泰天誉（东区）一楼带车位出售.看房方便,邦泰天誉二期 -南岸西区,3室2厅 | 114.08平米 | 东 | 毛坯 | 低楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,120,"10,519元/平"
莱茵河畔玉龙湾精装3房 拎包入住 配套齐全,莱茵河畔-玉龙湾 -南岸东区,3室2厅 | 132平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,140,"10,607元/平"
宜宾别墅，“园中有宅，宅中有院”丽雅大院,丽雅大院 -南岸西区,5室2厅 | 508平米 | 南 | 毛坯 | 7层  | 板楼,26人关注 / 一年前发布,330,"6,497元/平"
105大户型，正看上江，业主亲自装修，99新,观澜上郡 -柏溪镇,3室2厅 | 105.49平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 2个月以前发布,98,"9,290元/平"
105大户型，正看上江，业主亲自装修，99新,观澜上郡 -柏溪镇,3室2厅 | 105.49平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 2个月以前发布,98,"9,290元/平"
凯悦金沙-东城 6室2厅 东南,凯悦金沙-东城 -城北新区,6室2厅 | 155.54平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,3人关注 / 一年前发布,148.8,"9,567元/平"
岷江新区小户型两室，格局方正，采光通透。,远达第一城 -上江北,2室2厅 | 64平米 | 东南 | 毛坯 | 中楼层(共25层)  | 暂无数据,1人关注 / 6个月以前发布,56.6,"8,844元/平"
此房已满两年，中庭位置，经典3房，楼层好，视野开阔,莱茵河畔-丽江湾 -南岸东区,3室2厅 | 100.5平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,112,"11,145元/平"
龙璟台经典套三户型，正看公园。,龙璟台 -南岸西区,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,175,"13,672元/平"
大地破丽雅大院清水房房东诚心出售,丽雅大院 -南岸西区,5室3厅 | 382平米 | 东南 | 毛坯 | 8层  | 板楼,3人关注 / 3个月以前发布,297.8,"7,796元/平"
现房马上可以装修入住房东诚心出售,远达鹭湖宫一期 -城北新区,3室2厅 | 83.97平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,57.6,"6,860元/平"
户型方正   中间楼层   采光充足   视野开阔,塞纳国际三期 -新村,3室2厅 | 96平米 | 东南 | 毛坯 | 中楼层(共30层)  | 暂无数据,1人关注 / 8个月以前发布,56.8,"5,917元/平"
阳光碧水长滩 3室2厅 东南,阳光碧水长滩 -新村,3室2厅 | 82.33平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 2个月以前发布,81.8,"9,936元/平"
南岸西区东方时代广场交通便利吉祥名都3房诚心出售,吉祥名都 -南岸西区,3室2厅 | 121平米 | 东南 | 简装 | 低楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,96.5,"7,976元/平"
白沙鹭岛  小高层顶跃  正看白沙湖,邦泰白沙鹭岛 -临港,5室2厅 | 126平米 | 东南 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,198,"15,715元/平"
一楼带花园，经典小三房不临街，现出售,经典北新公馆 -城北新区,3室2厅 | 91平米 | 东南 东北 | 毛坯 | 低楼层(共32层)  | 暂无数据,5人关注 / 一年前发布,58,"6,374元/平"
精装修三室江景房，家具家电齐全拎包入住房东诚心出售,魅力欧镇 -江安县,3室2厅 | 101平米 | 西南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,52.8,"5,228元/平"
塞纳国际三期 3室2厅 东,塞纳国际三期 -新村,3室2厅 | 98.7平米 | 东 | 毛坯 | 中楼层(共32层)  | 暂无数据,7人关注 / 一年前发布,54.8,"5,553元/平"
正面临江 可以随时看房  业主诚心出售,锦宏金沙明珠 -柏溪镇,3室2厅 | 103.19平米 | 东南 | 毛坯 | 高楼层(共31层)  | 平房,0人关注 / 3个月以前发布,69.8,"6,765元/平"
