标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 3室2厅 南 北,恒大名都 -盐湖区,3室2厅 | 151.46平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 1天以前发布,86.6,"5,718元/平"
空港南区  公园旁  毛坯现房,东湖春天 -盐湖区,3室2厅 | 112平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 8个月以前发布,44,"3,929元/平"
北区 西建天茂上郡 电梯低层 三居室毛坯房 可按揭,西建天茂上郡 -盐湖区,3室2厅 | 106.7平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,74.5,"6,983元/平"
禹香苑，步梯中高层，经典错层，南北通透,禹香苑 -盐湖区,3室2厅 | 134.23平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,58,"4,321元/平"
古街跟前 电梯高层 一室一厅  格局好 首付6万,凤凰财富广场 -盐湖区,1室1厅 | 61.42平米 | 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,32,"5,211元/平"
业主包一半增值税 面积130.76平米 南北大通透,晋府壹号 -盐湖区,3室2厅 | 130.76平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,86.8,"6,639元/平"
小区环境好  毛坯  视野广阔  两卧朝南,五洲观澜 -盐湖区,2室2厅 | 94平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,5人关注 / 一年前发布,63,"6,703元/平"
西建天茂上郡 4室2厅 南 北,西建天茂上郡 -盐湖区,4室2厅 | 159.81平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 6个月以前发布,88.8,"5,557元/平"
美林山 5室3厅 南 北,美林山 -盐湖区,5室3厅 | 244平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 2个月以前发布,73.8,"3,025元/平"
此房满二 南北大通透 采光好  全屋精心装修,翰林湖畔 -盐湖区,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,69,"5,308元/平"
凤凰小区，电梯高层，有本，可按揭,凤凰小区 -盐湖区,4室2厅 | 150.91平米 | 南 北 | 其他 | 高楼层(共14层)  | 塔楼,0人关注 / 一年前发布,83.8,"5,553元/平"
简装  带个小露台   小区配套设施全,河东金叶小区 -盐湖区,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,33.5,"2,724元/平"
天泰文化苑步梯高层2室1厅1厨1卫简单装修首付低,天泰文化苑北区 -盐湖区,2室1厅 | 71平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,34.8,"4,902元/平"
玺园大四居 落地窗 只需不到三十万就可入住  房本满二,大运外滩玺园 -盐湖区,4室2厅 | 150平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,0人关注 / 23天以前发布,138.8,"9,254元/平"
金鑫槐东花园 2室2厅 南 北,金鑫槐东花园 -盐湖区,2室2厅 | 96平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 25天以前发布,63,"6,563元/平"
恒大名都。精装电梯大两室！房本在手！家具家电,恒大名都 -盐湖区,2室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 29天以前发布,66.8,"6,887元/平"
恒大名都精装三室双卫，南北通透格局！南北双阳台！,恒大名都 -盐湖区,3室2厅 | 142.9平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,86.8,"6,075元/平"
古街口，实验xiao学门口，3室两厅，总价25万,财源小区 -盐湖区,3室2厅 | 93.76平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,25,"2,667元/平"
尚东城 2室2厅 南 北,尚东城 -盐湖区,2室2厅 | 98平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,65,"6,633元/平"
有本满二可按揭，步梯好楼层，采光足,梅林新村 -盐湖区,3室2厅 | 126.23平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 22天以前发布,32,"2,536元/平"
黄金水岸 3室2厅 南,黄金水岸 -盐湖区,3室2厅 | 123.95平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 25天以前发布,102,"8,230元/平"
四季绿城 满二 可以拎包入住 陪读,四季绿城A区春园 -盐湖区,2室2厅 | 84.13平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,53,"6,300元/平"
房子户型方正，南北通透，房本在手可按揭,运汽家属院 -盐湖区,3室2厅 | 138.6平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 24天以前发布,62,"4,474元/平"
推荐 金磊凤凰城 电梯中层三室 南北通透 可按揭,金磊凤凰城 -盐湖区,3室2厅 | 131.71平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 29天以前发布,79.8,"6,059元/平"
恒大名都，电梯小三室。南北通透。房本在手,恒大名都 -盐湖区,3室2厅 | 95平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 27天以前发布,66.8,"7,032元/平"
东上水漾  步梯3楼 精装修 满二可按揭 首付11万,东上水漾佳苑 -盐湖区,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,54.5,"5,397元/平"
空港北区 精装两室  看房方便   满二可按揭,安民华府 -盐湖区,2室2厅 | 85平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,33,"3,883元/平"
龙泉山庄 前年重装 步梯5楼 有证可按揭首付13万,龙泉山庄 -盐湖区,3室2厅 | 96.78平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 25天以前发布,39.8,"4,113元/平"
左岸凰城 精装三房 全明户型 精装未住 、 视野开阔,左岸凰城 -盐湖区,3室2厅 | 125.35平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 21天以前发布,85,"6,782元/平"
泽惠苑 3室2厅 南 北,泽惠苑 -盐湖区,3室2厅 | 138平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 21天以前发布,73,"5,290元/平"
香榭丽舍南北双阳台大三室，房本满二，带个地下室,香榭丽舍 -盐湖区,3室2厅 | 138平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 22天以前发布,88,"6,377元/平"
南风广场旁 华曦微公馆 64平精装修 46万,华曦微公馆 -盐湖区,1室1厅 | 64.14平米 | 北 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 20天以前发布,43.8,"6,829元/平"
有本可按揭   拎包入住   交通便利   配套完善,中建城市花园 -盐湖区,3室2厅 | 112平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,68,"6,072元/平"
明珠小区 2室2厅 南 北,明珠小区 -盐湖区,2室2厅 | 89.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 19天以前发布,22.8,"2,539元/平"
明珠花园 3室2厅 南 北,明珠花园 -盐湖区,3室2厅 | 122.73平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,49.8,"4,058元/平"
御溪苑清华园首付15万 电梯2室 诚心出售,御溪苑 -盐湖区,2室1厅 | 65平米 | 西 | 其他 | 高楼层(共19层)  | 暂无数据,8人关注 / 一年前发布,53,"8,154元/平"
圣惠嘉园 2室1厅 南,圣惠嘉园 -盐湖区,2室1厅 | 83平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 17天以前发布,42,"5,061元/平"
本房两卧朝南，南北通透，采光好,金鑫槐东花园 -盐湖区,2室1厅 | 98平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 16天以前发布,70,"7,143元/平"
哈佛家园 2室2厅 南,哈佛家园 -盐湖区,2室2厅 | 74平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,19,"2,568元/平"
金悦华府 电梯中层 全阳面户型 满二可按揭首付15万,金鑫·金悦华府 -盐湖区,3室2厅 | 118平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 16天以前发布,75,"6,356元/平"
恒大名都 2室1厅 南,恒大名都 -盐湖区,2室1厅 | 94平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 19天以前发布,59.8,"6,362元/平"
新悦城 电梯中层 毛坯两室 有证可按揭,荣业新悦城 -盐湖区,2室2厅 | 93平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,58,"6,237元/平"
鼎鑫华府  可按揭 精装房 好楼层,鼎鑫华府 -盐湖区,3室2厅 | 140平米 | 南 北 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 18天以前发布,103,"7,358元/平"
橄榄城三居室精装，居住舒心 生活方便,恺鑫橄榄城 -盐湖区,3室2厅 | 118.9平米 | 南 北 | 其他 | 中楼层(共8层)  | 板塔结合,0人关注 / 20天以前发布,88,"7,402元/平"
两梯三户，通透户型  户型方正  全明,铂郡东方 -盐湖区,3室2厅 | 134平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 19天以前发布,62.6,"4,672元/平"
凤城华都电梯房，三面朝阳，南北大通透，可按揭，满二,凤城华都 -盐湖区,3室2厅 | 132平米 | 南 北 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 16天以前发布,83,"6,288元/平"
诚心出售，毛坯房 没有装修 可以随心装修 ，价格低,际华嘉园 -盐湖区,2室2厅 | 89.1平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 20天以前发布,32.5,"3,648元/平"
解三 低楼层 低首付 精装2居室,百纺汇锦苑 -盐湖区,2室2厅 | 93.36平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,52,"5,570元/平"
精装短住  可按揭  天逸公园对   面,中鑫美景天城 -盐湖区,2室2厅 | 94平米 | 南 北 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 20天以前发布,61.8,"6,575元/平"
市中芯 三居室  低首付  大产权,市委市政府生活区北院 -盐湖区,3室2厅 | 102.96平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,55,"5,342元/平"
华瑞小区 3室2厅 南 北,华瑞小区 -盐湖区,3室2厅 | 118.7平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 19天以前发布,68,"5,729元/平"
东湖湾 电梯大两居  可按揭 采光好,东湖湾 -盐湖区,2室2厅 | 100平米 | 南 北 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 18天以前发布,65,"6,500元/平"
钟楼小区，两室两厅一厨一卫，户型通透。,钟楼小区 -盐湖区,2室2厅 | 87平米 | 东 西 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,48,"5,518元/平"
精装带部分东西，可按揭，前后都能看见湖,黄金水岸 -盐湖区,3室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 19天以前发布,145,"10,140元/平"
运汽家属院 3室2厅 南 北,运汽家属院 -盐湖区,3室2厅 | 115平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 20天以前发布,54.8,"4,766元/平"
恒泽园电梯好楼层，三室南北大通透，毛坯可以随意装修,广鑫恒泽园 -盐湖区,3室2厅 | 117平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 17天以前发布,76,"6,496元/平"
学苑实验学，区，步梯低层，有本满二可按揭,禹都花园 -盐湖区,3室2厅 | 102平米 | 东 南 西 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 21天以前发布,51,"5,000元/平"
四季绿城D区  南北通透  三室两卫  精装三居室108平,四季绿城D区雅园 -盐湖区,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 13天以前发布,48.5,"4,491元/平"
北城印象 2室1厅 南,北城印象 -盐湖区,2室1厅 | 81平米 | 南 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 14天以前发布,58,"7,161元/平"
两梯三户，中间户，户户都有窗户，两卧加客厅朝阳,铂郡东方 -盐湖区,3室2厅 | 104.8平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 14天以前发布,69,"6,584元/平"
智雅茗苑 南北通透 好楼层 可按揭,智雅茗苑 -盐湖区,3室2厅 | 111.58平米 | 南 北 | 其他 | 高楼层(共13层)  | 板楼,0人关注 / 14天以前发布,69.8,"6,256元/平"
东湖春天 毛胚两居，两居特 棒的户型、有本可按揭。,东湖春天 -盐湖区,2室2厅 | 91.78平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,41,"4,468元/平"
圣惠嘉园 3室2厅 南 北,圣惠嘉园 -盐湖区,3室2厅 | 120平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 15天以前发布,69.8,"5,817元/平"
条山花园  新装未住  三居室  可按揭,条山花园 -盐湖区,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 16天以前发布,68,"5,763元/平"
东区 逸夫 运中 荟萃花园三居两卫付款灵活,荟萃花园(盐湖区) -盐湖区,3室2厅 | 130平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,95,"7,308元/平"
东湖春天 毛胚两居，两居特 棒的户型、有本可按揭。,东湖春天 -盐湖区,2室2厅 | 91.78平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,41,"4,468元/平"
北城印象 2室1厅 南,北城印象 -盐湖区,2室1厅 | 81平米 | 南 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 14天以前发布,58,"7,161元/平"
智雅茗苑 南北通透 好楼层 可按揭,智雅茗苑 -盐湖区,3室2厅 | 111.58平米 | 南 北 | 其他 | 高楼层(共13层)  | 板楼,0人关注 / 14天以前发布,69.8,"6,256元/平"
四季绿城D区  南北通透  三室两卫  精装三居室108平,四季绿城D区雅园 -盐湖区,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 13天以前发布,48.5,"4,491元/平"
中 心城区，金磊凤凰城小区，电梯中层3居2卫，毛坯房,金磊凤凰城 -盐湖区,3室2厅 | 135.62平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,81,"5,973元/平"
西建天茂上郡 3室2厅 南,西建天茂上郡 -盐湖区,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 13天以前发布,77,"7,265元/平"
学府名都 3室2厅 南,学府名都 -盐湖区,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 13天以前发布,48.8,"4,604元/平"
此房南北大通透，电梯中层，观景房,山水华都 -盐湖区,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,120,"10,000元/平"
房子可用面积大、小区成熟、周临配套齐全！,金地花苑 -盐湖区,2室2厅 | 98平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,58,"5,919元/平"
明珠小区 4室2厅 南 北,明珠小区 -盐湖区,4室2厅 | 127.33平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,55,"4,320元/平"
益农园 3室2厅 南 北,益农园 -盐湖区,3室2厅 | 162平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 18天以前发布,87,"5,371元/平"
四季绿城B区秀园 3室2厅 南 北,四季绿城B区秀园 -盐湖区,3室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,55,"5,671元/平"
房子离大门口比较近，保养很好，东西齐全,左岸凰城 -盐湖区,2室2厅 | 80平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,49,"6,125元/平"
房本满2年带地下室。可以按揭。总价低。,北海小区 -盐湖区,2室2厅 | 87.2平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,41.8,"4,794元/平"
天逸丽景 3室2厅 南 北,天逸丽景 -盐湖区,3室2厅 | 98.3平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,32.8,"3,337元/平"
电梯小高层，新装短住，家具家电齐全，新康国际,格林雅地 -盐湖区,3室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 17天以前发布,82.8,"5,957元/平"
华源豪庭北区 3室2厅 南 北,华源豪庭北区 -盐湖区,3室2厅 | 144平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,98,"6,806元/平"
学院花都电梯中层精装2居诚心价，上四幼、红军小,学苑花都 -盐湖区,2室1厅 | 92.95平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 4个月以前发布,72,"7,747元/平"
供电公司家属院 人民路盐化 保养好 品牌家具 45万,运城供电分公司机关北院小区 -盐湖区,3室2厅 | 107平米 | 南 北 | 其他 | 高楼层(共4层)  | 暂无数据,1人关注 / 15天以前发布,45,"4,206元/平"
此房有证满二户型方正  楼层低 适合老人小孩居住,蒲东小区 -盐湖区,3室2厅 | 109.8平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 15天以前发布,58,"5,283元/平"
水墨世嘉 2室2厅 南 北,水墨世嘉 -盐湖区,2室2厅 | 100平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,1人关注 / 13天以前发布,65,"6,500元/平"
此房有证 可按揭 南北通透  大3居 适合各种人群过渡,香榭丽舍 -盐湖区,3室2厅 | 137.81平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 12天以前发布,89.8,"6,517元/平"
药材公司家属院 3室2厅 南 北,药材公司家属院 -盐湖区,3室2厅 | 113平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,32.8,"2,903元/平"
电梯好楼层 纯南户型  视野开阔 采光好,东湖春天 -盐湖区,2室2厅 | 84平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 16天以前发布,35,"4,167元/平"
金海湾 南北大通透房源 可正常按揭,广厦金海湾 -盐湖区,3室2厅 | 159平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 12天以前发布,119.8,"7,535元/平"
金地花苑 3室2厅 南,金地花苑 -盐湖区,3室2厅 | 157.26平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 12天以前发布,63.8,"4,057元/平"
颐贤园 3室2厅 南,颐贤园 -盐湖区,3室2厅 | 98平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,53.8,"5,490元/平"
怡景华庭三室 步梯好楼层 正常按揭,怡景华庭 -盐湖区,3室2厅 | 101平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,71.8,"7,109元/平"
南北通透 满二 采光好 电梯房,御泽苑 -盐湖区,3室2厅 | 159平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 12天以前发布,129,"8,114元/平"
电梯中层 有本可按揭 可配 合满二过户 方便看房,幸福院子 -盐湖区,3室2厅 | 113.25平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 11天以前发布,42,"3,709元/平"
城市花园 电梯好楼层 南北通透 可按揭,中建城市花园 -盐湖区,3室2厅 | 135.02平米 | 南 北 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 11天以前发布,83,"6,148元/平"
凤凰小区 4室2厅 南 北,凤凰小区 -盐湖区,4室2厅 | 178.81平米 | 南 北 | 其他 | 中楼层(共10层)  | 板楼,0人关注 / 11天以前发布,91.8,"5,134元/平"
美景天城，温馨小三居，一楼带院，可按揭，诚心出售,中鑫美景天城 -盐湖区,2室2厅 | 93.62平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,55,"5,875元/平"
明珠佳园 2室2厅 南 北,明珠佳园 -盐湖区,2室2厅 | 84平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,40.5,"4,822元/平"
黄JIN水岸观景房，电梯好楼层，带车位，带家具家电,黄金水岸 -盐湖区,3室2厅 | 135.6平米 | 南 北 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 11天以前发布,119,"8,776元/平"
电梯中层 有本可按揭 可配 合满二过户 方便看房,幸福院子 -盐湖区,3室2厅 | 113.25平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 11天以前发布,42,"3,709元/平"
尚东城 3室2厅 南 北,尚东城 -盐湖区,3室2厅 | 138.61平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 11天以前发布,99.8,"7,201元/平"
御沁园，步梯低层，精装修，拎包入住,御沁园 -盐湖区,3室2厅 | 117.03平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,77,"6,580元/平"
涑水联合     本在上  窗户已换     好楼层 景观房,铂郡东方 -盐湖区,3室2厅 | 131平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 11天以前发布,78,"5,955元/平"
御沁园 2室2厅 南 北,御沁园 -盐湖区,2室2厅 | 93.85平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 11天以前发布,64.8,"6,905元/平"
1大产权可按揭2.门口就是康杰东康3.拎包入住,学府名都 -盐湖区,3室2厅 | 102.96平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,55,"5,342元/平"
南风广场都市绿洲油泵厂，步梯2楼，2室2厅1卫,油泵厂北院 -盐湖区,2室2厅 | 90.59平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,38,"4,195元/平"
空港南区~嘉禾西班牙 落地窗 全明户型 有本可按揭,嘉禾西班牙 -盐湖区,3室2厅 | 100平米 | 南 北 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 11天以前发布,55,"5,500元/平"
黄JIN水岸电梯两居室，南北通透 满二可按揭,黄金水岸 -盐湖区,2室2厅 | 91.6平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 11天以前发布,72,"7,861元/平"
涑水苑小区，电梯中层，地板已铺，房本在手可按揭,涑水苑 -盐湖区,2室1厅 | 81平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 10天以前发布,35,"4,321元/平"
铂郡东方 电梯中层  南北通透 3室2卫 全明户型可按揭,铂郡东方 -盐湖区,3室2厅 | 138.22平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 10天以前发布,78,"5,644元/平"
业主急售，精装短住，电梯好楼层,御沁园 -盐湖区,3室2厅 | 121平米 | 东 西 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 10天以前发布,69,"5,703元/平"
中 心医院旁 天泰金水湾 可按揭 看房方便,天泰金水湾 -盐湖区,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 11天以前发布,83.5,"6,575元/平"
浦东小区  电梯三居  可按揭 好楼层,蒲东小区 -盐湖区,3室2厅 | 112平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 10天以前发布,68,"6,072元/平"
1大产权可按揭2.门口就是康杰东康3.精装房拎包入住,学府名都 -盐湖区,3室2厅 | 118.73平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 10天以前发布,66.8,"5,627元/平"
西建天茂和郡 3室2厅 南,西建天茂和郡 -盐湖区,3室2厅 | 106平米 | 南 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 14天以前发布,69,"6,510元/平"
圣惠嘉园 3室2厅 北,圣惠嘉园 -盐湖区,3室2厅 | 113平米 | 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 12天以前发布,64.8,"5,735元/平"
圣惠绿城 3室2厅 南 北,圣惠绿城 -盐湖区,3室2厅 | 112平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 12天以前发布,45,"4,018元/平"
此房源大红本在手 视野开阔 采光好 后期税费少,东湖春天 -盐湖区,1室1厅 | 59平米 | 东 | 其他 | 低楼层(共10层)  | 板塔结合,0人关注 / 5天以前发布,26.8,"4,543元/平"
东星向上广场 1室1厅 北,东星向上广场 -盐湖区,1室1厅 | 46平米 | 北 | 其他 | 中楼层(共24层)  | 塔楼,0人关注 / 5天以前发布,26,"5,653元/平"
电梯中层2梯3户的边户，南北通透，动静分离户型,凤凰湖畔 -盐湖区,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 9天以前发布,59.8,"5,437元/平"
圣惠嘉园 3室2厅 南 北,圣惠嘉园 -盐湖区,3室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,61.8,"5,831元/平"
豪 华装修，南北通透，有证可按揭,晋府壹号 -盐湖区,3室2厅 | 124.95平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 9天以前发布,110,"8,804元/平"
奥梅花园 2室2厅 南 北,奥梅花园 -盐湖区,2室2厅 | 80.4平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,32.8,"4,080元/平"
房子户型好，南北通透，楼层好，采光好,晋府壹号 -盐湖区,3室2厅 | 124.95平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 9天以前发布,89.8,"7,187元/平"
南北通透，双卧朝阳，独立厨房 ，采光好，日照充足,晋府壹号 -盐湖区,3室2厅 | 135.6平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,102,"7,523元/平"
运输公司家属院精装3室，本在手，步梯4楼，可按揭,运汽家属院 -盐湖区,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,55,"4,662元/平"
黄金水岸  电梯房 南北通透 可按揭,黄金水岸 -盐湖区,3室2厅 | 151.9平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 9天以前发布,88,"5,794元/平"
电梯中层2梯3户的边户，南北通透，动静分离户型,凤凰湖畔 -盐湖区,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 9天以前发布,59.8,"5,437元/平"
圣惠嘉园 3室2厅 南 北,圣惠嘉园 -盐湖区,3室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,61.8,"5,831元/平"
豪 华装修，南北通透，有证可按揭,晋府壹号 -盐湖区,3室2厅 | 124.95平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 9天以前发布,110,"8,804元/平"
哈 佛 家 园 2 楼 精 美 房 源,哈佛家园 -盐湖区,2室1厅 | 74.25平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,30,"4,041元/平"
