标题,开发商,房子信息,发布信息,售价/万,单价
清河庄园精装修全屋暖气拎包入住中间楼层税费低,清河庄园 -樊城东区,3室2厅 | 108.53平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,99,"9,122元/平"
民发世界城豪 装大四房，户型方正采光好，中高楼层,民发世界城浪琴苑 -襄州区,4室2厅 | 139.08平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,146,"10,498元/平"
河景电梯房，视野好，精装修，拎包入住。,清河庄园 -樊城东区,3室2厅 | 126.73平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,46人关注 / 7个月以前发布,114,"8,996元/平"
春园路 铁路四院片区 中房盛景 精装修 有钥匙,中房 · 盛景 -襄州区,2室2厅 | 89.68平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,5人关注 / 一年前发布,77,"8,587元/平"
"绿地四房前排未入住,设计前卫不过时, 房东急售",绿地中央广场香缇公馆 -樊城西区,4室2厅 | 136.89平米 | 西北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,166,"12,127元/平"
万达广场商圈，邻紫贞公园，出行方便,万紫千红商住楼 -樊城西区,3室2厅 | 120.56平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,110,"9,125元/平"
东津世纪城102平精装暖气房 浩然河边房本满二,东津世纪城11区观澜郡 -东津区,3室2厅 | 102.25平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,89.9,"8,793元/平"
20中-学-校后面精装两房有加-盖,樊城区人民法院 -樊城东区,2室2厅 | 86.55平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,13人关注 / 一年前发布,95,"10,977元/平"
此房户型方正，中间楼层，视野开阔，交通便利,瑞城国际 -樊城西区,3室2厅 | 123.18平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,0人关注 / 7个月以前发布,106.5,"8,646元/平"
紫荆花园 步梯房 中间楼层 房龄新 停车不收费 大阳台,紫荆花園 -襄州区,3室2厅 | 125.15平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,95,"7,591元/平"
东津8区新外滩 136平毛坯两卫 南北通 河景房边户,东津世纪城8区新外滩 -东津区,4室2厅 | 136.72平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 8个月以前发布,102,"7,461元/平"
真实出售 房子位于樊城区翰林世家 配套齐全,翰林世家 -樊城西区,3室2厅 | 120平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,118,"9,834元/平"
万达吾悦商圈  国色天襄B区阔景三房二厅二卫,国色天襄B区 -樊城西区,3室2厅 | 137.42平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,5人关注 / 一年前发布,110,"8,005元/平"
东津11区 四中初中部 122平毛坯三室两卫 看房方便,东津世纪城11区观澜郡 -东津区,3室2厅 | 122平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,102,"8,361元/平"
小户型，采光好，小区环境优美，交通便利,东津世纪城8区新外滩 -东津区,2室2厅 | 79.87平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,12人关注 / 一年前发布,51,"6,386元/平"
襄城胜利街江华路江华小区环境好停车位充足有学木交。,江华小区 -襄城区,3室1厅 | 86平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,69.9,"8,128元/平"
民发世界城 汇景园 毛坯四室 不靠铁路 满五唯一,汇景园 -襄州区,4室2厅 | 147.53平米 | 北 南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,135,"9,151元/平"
航空路上滨江御景，江景房 户型方正采光好 看房有钥匙,滨江御景 -襄州区,3室2厅 | 110.18平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,13人关注 / 一年前发布,88,"7,987元/平"
东津137平毛坯大三房楼层好采光好房本满二无个税 急售,东津世纪城10区御华苑 -东津区,3室1厅 | 135.64平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,97,"7,152元/平"
东津世纪城122平毛坯三房房本满二楼层好采光好急售,东津世纪城13区瀚林院 -东津区,3室2厅 | 122.35平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,8人关注 / 6个月以前发布,87,"7,111元/平"
装修专业设计师设计 30w装修成本 有牌面拎包入住,东湖国际花园 -襄州区,3室2厅 | 111.54平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,87,"7,800元/平"
急售！地理位置优越 毛坯房  环境优美,鼎府 -襄州区,3室2厅 | 110.74平米 | 东南 | 毛坯 | 低楼层(共30层)  | 板塔结合,13人关注 / 一年前发布,72,"6,502元/平"
锦绣天池上院 2室1厅 南,锦绣天池上院 -襄州区,2室1厅 | 65平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 7个月以前发布,51,"7,847元/平"
悦活荟商圈 时代天街 保利海上五月花,保利海上五月花 -高新区,3室2厅 | 110.33平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,2人关注 / 9个月以前发布,79,"7,161元/平"
满五唯一  税费低  巴黎印象小区  环境好,巴黎印象小区 -襄州区,3室2厅 | 116.18平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,1人关注 / 9个月以前发布,43,"3,702元/平"
此房满五唯一，低楼层，车位充足。,神龙小区 -襄州区,3室2厅 | 100平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,71,"7,100元/平"
民发广场旁毛坯大四房看房方便有钥匙,汇景园 -襄州区,4室2厅 | 143.31平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,4人关注 / 9个月以前发布,110,"7,676元/平"
此房 户型方正 南北朝向 通透 采光好 小区停车免费,荣华路8号 -襄州区,3室2厅 | 145.4平米 | 南 北 | 简装 | 低楼层(共6层)  | 平房,1人关注 / 一年前发布,93,"6,397元/平"
民发学院派   毛坯三室 中间楼层,民发世界城学院派 -襄州区,3室2厅 | 125.9平米 | 东 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,16人关注 / 一年前发布,113,"8,976元/平"
家乐福   董台烟厂    中间楼层,董台小区烟厂家属院 -樊城东区,3室2厅 | 88.34平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,69.5,"7,868元/平"
满五唯一税费低，精装大三室，户型方正采光视野好,台板小区 -樊城东区,3室1厅 | 144.42平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 9个月以前发布,88.8,"6,149元/平"
万达诸葛亮广场 中铁十一局机关大院 中间三楼边户,中铁十一局机关大院 -樊城东区,3室2厅 | 93.57平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 5个月以前发布,125,"13,359元/平"
月亮湾公园，一线江景房，精装修，拎包入住,金环.御江苑 -樊城西区,3室2厅 | 105.88平米 | 东南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,106,"10,012元/平"
民发广场旁两房装修未住过看房有钥匙,汇景园 -襄州区,2室2厅 | 87.7平米 | 东 | 其他 | 中楼层(共23层)  | 板塔结合,3人关注 / 8个月以前发布,80,"9,123元/平"
毛坯房，可以根据自己喜欢的风格装修，中间楼层,中建状元府 -樊城西区,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,51人关注 / 一年前发布,89,"8,091元/平"
东津8区新外滩 136平毛坯两卫 南北通 河景房边户,东津世纪城8区新外滩 -东津区,4室2厅 | 136.72平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 8个月以前发布,102,"7,461元/平"
东津11区 四中初中部 122平毛坯三室两卫 看房方便,东津世纪城11区观澜郡 -东津区,3室2厅 | 122平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,102,"8,361元/平"
月亮湾公园，一线江景房，精装修，拎包入住,金环.御江苑 -樊城西区,3室2厅 | 105.88平米 | 东南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,106,"10,012元/平"
和信北郡带花园毛培大三室种菜养花好好好,和信北郡 -高新区,3室2厅 | 121.48平米 | 南 | 毛坯 | 11层  | 板楼,8人关注 / 一年前发布,56,"4,610元/平"
民发世界城汇景园 精装婚房 满五唯一 全屋地暖,汇景园 -襄州区,3室2厅 | 133.07平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,111,"8,342元/平"
襄州民发广场都会山三期大三室2厅2卫毛坯靠江,民发·都会山世界城三期 -襄州区,3室2厅 | 123.09平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,126,"10,237元/平"
新上房源，新五中旁，精装未入住，好楼层，看房方便,中建状元府 -樊城西区,2室1厅 | 93.55平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,4人关注 / 8个月以前发布,94,"10,049元/平"
毛坯房，可以根据自己喜欢的风格装修，中间楼层,中建状元府 -樊城西区,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,51人关注 / 一年前发布,89,"8,091元/平"
满五唯一税费低，精装大三室，户型方正采光视野好,台板小区 -樊城东区,3室1厅 | 144.42平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 9个月以前发布,88.8,"6,149元/平"
万达广场商圈，邻紫贞公园，出行方便,万紫千红商住楼 -樊城西区,3室2厅 | 120.56平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,110,"9,125元/平"
小户型，采光好，小区环境优美，交通便利,东津世纪城8区新外滩 -东津区,2室2厅 | 79.87平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,12人关注 / 一年前发布,51,"6,386元/平"
航空路上滨江御景，江景房 户型方正采光好 看房有钥匙,滨江御景 -襄州区,3室2厅 | 110.18平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,13人关注 / 一年前发布,88,"7,987元/平"
15区经装修，好位置，好楼层。,东津世纪城15区上和院 -东津区,3室2厅 | 117平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,117,"10,000元/平"
一楼三居室，出入方便，尽享小区绿化,君临山 -襄城区,3室2厅 | 126.02平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 塔楼,11人关注 / 一年前发布,98,"7,777元/平"
万达商圈乔营小区大三室停车方便拎包入住！,乔营小区 -樊城西区,3室2厅 | 133.52平米 | 东 | 简装 | 高楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,83,"6,217元/平"
此房楼层好   家具家电齐全  适合小两口或老年人居住,瑞青花园 -鱼梁洲,1室1厅 | 67.22平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,50,"7,439元/平"
此房位于高楼层，户型方正，使用率高，业主诚心出售,东津世纪城9区菁华园 -东津区,3室2厅 | 122.44平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,89,"7,269元/平"
时代天街 欣欣佳园全新毛坯大3房 有钥匙,欣欣佳园 -襄州区,3室2厅 | 118.35平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,86,"7,267元/平"
"房子满二唯一,出行方便,小区环境优美,上学方便",东津世纪城10区御华苑 -东津区,3室2厅 | 126.98平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,110,"8,663元/平"
不动产证齐全，户型方正格局好，空间大采光,汇景园 -襄州区,4室2厅 | 162.08平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,152,"9,379元/平"
高新区 公园一号 电梯精装两室 好楼层 房东急售,公园一号 -襄州区,2室2厅 | 90.68平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,10人关注 / 一年前发布,49.9,"5,503元/平"
房东急售  清和园（东风汽车大道）三室两厅 南北朝向,清和园(东风汽车大道) -襄州区,3室2厅 | 137.3平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,82,"5,973元/平"
单位家属院，户型方正三卧朝南，采光很好,警校家属院 -襄城区,3室2厅 | 122.92平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,14人关注 / 一年前发布,86,"6,997元/平"
东津世纪城8区新外滩中高层毛坯房,东津世纪城8区新外滩 -东津区,3室2厅 | 116.68平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,92.5,"7,928元/平"
桃园小区两室山景房南北通风带暖气,宏伟桃园小区  -襄城区,2室2厅 | 74.13平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,34人关注 / 一年前发布,33,"4,452元/平"
房子满五唯一，毛坯可任意装修，户型好，采光佳。,汇景园 -襄州区,3室2厅 | 133.22平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,115,"8,633元/平"
世界城商圈，交通便利，配套齐全，环境优美,汇景园 -襄州区,3室2厅 | 142.55平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,144,"10,102元/平"
东津99平毛坯3房中间楼层视野开阔出行方便诚心出售,东津世纪城10区御华苑 -东津区,3室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,7人关注 / 10个月以前发布,67,"6,768元/平"
左岸春天，精装三房，视野宽阔。。。。。。。。。。,左岸春天 -樊城东区,3室2厅 | 119.83平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,119,"9,931元/平"
纯毛坯，中间楼层，满二年，税费少,东津世纪城16区天境台 -东津区,3室2厅 | 122.04平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,90,"7,375元/平"
精装大三室拎包入住，你值得拥有,东津世纪城15区上和院 -东津区,3室2厅 | 122.61平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,102,"8,320元/平"
东津世纪城8区新外滩中高层毛坯房,东津世纪城8区新外滩 -东津区,3室2厅 | 116.68平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,92.5,"7,928元/平"
东津137平中间楼层视野开阔出行方便诚心出售,东津世纪城11区观澜郡 -东津区,3室1厅 | 136.66平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,108,"7,903元/平"
东津99平毛坯3房中间楼层视野开阔出行方便诚心出售,东津世纪城10区御华苑 -东津区,3室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,7人关注 / 10个月以前发布,67,"6,768元/平"
桃园小区两室山景房南北通风带暖气,宏伟桃园小区  -襄城区,2室2厅 | 74.13平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,34人关注 / 一年前发布,33,"4,452元/平"
采光充足，视野开阔，交通便利，配套设施齐全,东津世纪城14区崇文府 -东津区,4室2厅 | 140.3平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 5个月以前发布,99,"7,057元/平"
采光好，配套设施齐全，格局通透，楼层好视野宽阔,汇景园 -襄州区,3室2厅 | 150.87平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 6个月以前发布,132,"8,750元/平"
小区门口出行方便。楼层好采光视野佳，满二税费少！,东津世纪城14区崇文府 -东津区,4室2厅 | 140.3平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,120,"8,554元/平"
民发商圈经典三房楼层好业主诚心出售！,紫荆花園 -襄州区,3室2厅 | 118.38平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,98,"8,279元/平"
二汽新区暖气房，小区环境优美，出行便利。,二汽新区 -襄州区,2室1厅 | 64.42平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,40,"6,210元/平"
民发都会山精装到暖气，满两年，有钥匙随时看房,民发·都会山世界城三期 -襄州区,3室2厅 | 125.61平米 | 西南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,140,"11,146元/平"
单位家属院，户型方正三卧朝南，采光很好,警校家属院 -襄城区,3室2厅 | 122.92平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,14人关注 / 一年前发布,86,"6,997元/平"
标准小三房，精装修，房东诚意出售，看房方便,普鑫 · 上東郡 -樊城东区,3室2厅 | 101.8平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,21人关注 / 8个月以前发布,105,"10,315元/平"
高新区 公园一号 电梯精装两室 好楼层 房东急售,公园一号 -襄州区,2室2厅 | 90.68平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,10人关注 / 一年前发布,49.9,"5,503元/平"
房东急售  清和园（东风汽车大道）三室两厅 南北朝向,清和园(东风汽车大道) -襄州区,3室2厅 | 137.3平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,82,"5,973元/平"
小初旁 毛坯小三房 楼间距大 采光视野好 看房方便,东津世纪城13区瀚林院 -东津区,3室2厅 | 98.81平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,13人关注 / 8个月以前发布,69.9,"7,075元/平"
"房子满二唯一,出行方便,小区环境优美,上学方便",东津世纪城10区御华苑 -东津区,3室2厅 | 126.98平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,110,"8,663元/平"
左岸春天，精装三房，视野宽阔。。。。。。。。。。,左岸春天 -樊城东区,3室2厅 | 119.83平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,119,"9,931元/平"
东津世城大三房 毛坯 低楼层，上下楼方便,东津世纪城16区天境台 -东津区,3室2厅 | 122.53平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,80,"6,530元/平"
恒大华庭 园林小区 暖气入户 朝南向 无遮挡 可观景,恒大翡翠华庭 -樊城西区,4室2厅 | 143.75平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,204.8,"14,247元/平"
新五中旁中建状元府，小区配套设施好,中建状元府 -樊城西区,3室2厅 | 110.02平米 | 南 北 | 简装 | 低楼层(共30层)  | 板塔结合,1人关注 / 3个月以前发布,85,"7,726元/平"
世界城商圈，交通便利，配套齐全，环境优美,汇景园 -襄州区,3室2厅 | 142.55平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,144,"10,102元/平"
房子满五唯一，毛坯可任意装修，户型好，采光佳。,汇景园 -襄州区,3室2厅 | 133.22平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,115,"8,633元/平"
不动产证齐全，户型方正格局好，空间大采光,汇景园 -襄州区,4室2厅 | 162.08平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,152,"9,379元/平"
"清河边民发二期精装三房两卫,视线采光好!生活便利!",民发世界城浪琴苑 -襄州区,3室2厅 | 111.8平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,9人关注 / 11个月以前发布,113,"10,108元/平"
户型方正，视野开阔，毛坯三房，随意装修,东津世纪城11区观澜郡 -东津区,3室2厅 | 126.43平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,85,"6,724元/平"
视野开阔，经典小户型，纯毛坯，俯瞰实验,东津世纪城7区两江汇 -东津区,3室2厅 | 101.99平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 7个月以前发布,74.5,"7,305元/平"
业主诚意出售，看房方便，看房有钥匙。,东津世纪城15区上和院 -东津区,3室2厅 | 116.86平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,80,"6,846元/平"
产证满2年小区前排俯瞰市政花园看房有钥匙,东津世纪城16区天境台 -东津区,4室2厅 | 139.85平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,112,"8,009元/平"
纯毛坯，中间楼层，满二年，税费少,东津世纪城16区天境台 -东津区,3室2厅 | 122.04平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,90,"7,375元/平"
边户小三居   毛坯高层  采光视野佳  看房有钥匙 诚售,东津世纪城14区崇文府 -东津区,3室1厅 | 99.1平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,11人关注 / 一年前发布,75,"7,569元/平"
民发广场商圈汇景园大四房精装修一天未入住交通便利,汇景园 -襄州区,4室2厅 | 143.5平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,144,"10,035元/平"
翰林院124平三房带一书房出售,东津世纪城13区瀚林院 -东津区,3室2厅 | 124.26平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,93,"7,485元/平"
此房子是毛坯，可以随意装修，采光充足，视野宽阔,紫荆花園 -襄州区,3室2厅 | 116.55平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,95,"8,152元/平"
视野通风好 大四房 装修风格漂亮 配套齐全 位置好,汇景园 -襄州区,4室2厅 | 148.1平米 | 东南 南 | 精装 | 高楼层(共27层)  | 板塔结合,3人关注 / 3个月以前发布,125,"8,441元/平"
11区浩然河127平毛坯大三房,东津世纪城11区观澜郡 -东津区,3室1厅 | 126.69平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,87,"6,868元/平"
南北向，纯板式结构，内部无梁无柱，可随意设计，,绿地理想城 -樊城西区,4室2厅 | 143.85平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,129.9,"9,031元/平"
沃尔玛万达商圈 嘉源公寓 毛坯三室 随意装修,嘉源公寓 -樊城西区,3室2厅 | 135.07平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,100,"7,404元/平"
"毛坯四房，有车位！楼栋位置好，无遮挡，视野开阔,",东津世纪城16区天境台 -东津区,4室2厅 | 139.85平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,113,"8,081元/平"
7900+精装修大三房，采光充足，配套设施齐全,东津世纪城14区崇文府 -东津区,3室2厅 | 116.52平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,87.5,"7,510元/平"
达广场，南北朝向，户型方正，精装修，满五年唯一,万达广场住宅北区 -樊城西区,4室2厅 | 155.87平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,21人关注 / 一年前发布,172,"11,035元/平"
小区绿化环境占比45%小区自己配套的有幼儿园上学方便,学府佳园 -樊城西区,3室2厅 | 116.57平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,6人关注 / 9个月以前发布,100,"8,579元/平"
真正实行人车分流小区 楼栋位置好,东津世纪城15区上和院 -东津区,3室2厅 | 122.06平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,87,"7,128元/平"
汉江梦御府 毛坯三房两卫  采光好 48中隔壁,汉江梦御府 -樊城西区,3室2厅 | 114.58平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,14人关注 / 一年前发布,103,"8,990元/平"
小区已改造，停车方便、可上47 ，电梯加了一半,3545家属院 -樊城西区,3室2厅 | 128.24平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,97.5,"7,603元/平"
汉江梦御府  毛坯 低楼层  经典4房设计 价格美丽,汉江梦御府 -樊城西区,4室2厅 | 149.6平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,15人关注 / 一年前发布,117,"7,821元/平"
小高层 产证满二中高层 毛坯可随性所欲装修,绿地理想城 -樊城西区,4室2厅 | 167.49平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,9人关注 / 8个月以前发布,168,"10,031元/平"
东津满两年，视野开阔，采光充足，精装修，拎包入住。,东津世纪城11区观澜郡 -东津区,3室2厅 | 98.58平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,15人关注 / 一年前发布,75,"7,609元/平"
户型方正，视野开阔，毛坯三房，随意装修,东津世纪城11区观澜郡 -东津区,3室2厅 | 126.43平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,85,"6,724元/平"
标准小三房，精装修，房东诚意出售，看房方便,普鑫 · 上東郡 -樊城东区,3室2厅 | 101.8平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,21人关注 / 8个月以前发布,105,"10,315元/平"
不动产证齐全，户型方正格局好，空间大采光,汇景园 -襄州区,4室2厅 | 162.08平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,152,"9,379元/平"
房子满五唯一，毛坯可任意装修，户型好，采光佳。,汇景园 -襄州区,3室2厅 | 133.22平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,115,"8,633元/平"
高新区 公园一号 电梯精装两室 好楼层 房东急售,公园一号 -襄州区,2室2厅 | 90.68平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,10人关注 / 一年前发布,49.9,"5,503元/平"
房东急售  清和园（东风汽车大道）三室两厅 南北朝向,清和园(东风汽车大道) -襄州区,3室2厅 | 137.3平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,82,"5,973元/平"
单位家属院，户型方正三卧朝南，采光很好,警校家属院 -襄城区,3室2厅 | 122.92平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,14人关注 / 一年前发布,86,"6,997元/平"
"房子满二唯一,出行方便,小区环境优美,上学方便",东津世纪城10区御华苑 -东津区,3室2厅 | 126.98平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,110,"8,663元/平"
左岸春天，精装三房，视野宽阔。。。。。。。。。。,左岸春天 -樊城东区,3室2厅 | 119.83平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,119,"9,931元/平"
新五中旁中建状元府，小区配套设施好,中建状元府 -樊城西区,3室2厅 | 110.02平米 | 南 北 | 简装 | 低楼层(共30层)  | 板塔结合,1人关注 / 3个月以前发布,85,"7,726元/平"
恒大华庭 园林小区 暖气入户 朝南向 无遮挡 可观景,恒大翡翠华庭 -樊城西区,4室2厅 | 143.75平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,204.8,"14,247元/平"
东津世城大三房 毛坯 低楼层，上下楼方便,东津世纪城16区天境台 -东津区,3室2厅 | 122.53平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,80,"6,530元/平"
沃尔玛商圈，月亮湾公园旁，一线江景房，采光好！,金环.御江苑 -樊城西区,3室2厅 | 135.91平米 | 南 | 简装 | 低楼层(共25层)  | 塔楼,5人关注 / 一年前发布,140,"10,301元/平"
满五唯一税少 毛坯 看房方便 有钥匙 阳台多,汉江梦1958 -樊城西区,3室2厅 | 136.59平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,120,"8,786元/平"
