标题,开发商,房子信息,发布信息,售价/万,单价
高铁站  绿地云水谣  四室 带车位 带储藏室 南北通透,绿地云水谣 -高铁新区,4室2厅 | 151.67平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,159,"10,484元/平"
房子满五，实用面积大，交通便利，配套全,药材站宿舍 -火车站,4室2厅 | 108.83平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,16人关注 / 一年前发布,107.8,"9,906元/平"
顶楼带阁楼 带露台精装未住 四室两厅两卫,德天泮河小镇 -泮河景区,3室2厅 | 151平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,10人关注 / 9个月以前发布,185,"12,252元/平"
五岳风华 洋房 好楼层 爱琴海4居室,五岳风华 -高铁新区,4室2厅 | 142平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,184,"12,958元/平"
山景房 有露台 有车位 颐和苑子 别墅区 低密度洋房,颐和院子 -宝龙城,4室2厅 | 172平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,380,"22,094元/平"
圣地公寓 3室2厅 北,圣地公寓 -国际会展中心,3室2厅 | 184.79平米 | 北 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 11天以前发布,133,"7,198元/平"
凤凰河皇冠河滨园精装修带家具家电随时看房,皇冠河滨园 -南开发区,4室3厅 | 211.75平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,19人关注 / 一年前发布,120,"5,668元/平"
东岳鑫城 急售 4平阳台全明户型 边户 中层 视野开阔,东岳鑫城 -高铁新区,2室1厅 | 78.93平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,0人关注 / 29天以前发布,67,"8,489元/平"
东临万达，南邻泰山大街！精装婚房，带家具家电，诚心,领秀城二期 -岱岳区区委,3室2厅 | 95.72平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 24天以前发布,86,"8,985元/平"
永盛世纪康城 3室2厅 南 北,永盛世纪康城 -南开发区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共23层)  | 塔楼,0人关注 / 27天以前发布,78,"7,223元/平"
中百 总价低 两室一厅 满五 储藏室 集暖,奈河小区 -南湖公园,2室1厅 | 52平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,45,"8,654元/平"
万达宝盛广场  70年产权 临长城东区 东七佳苑 有钥匙,宝盛广场上峰 · 七里御府 -万达广场,2室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 21天以前发布,105,"10,938元/平"
本套房户型方正，基本无浪费面积，楼层很好，视野开阔,绿地云水谣二期 -高铁新区,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 28天以前发布,85,"8,096元/平"
上叠 三卫 电梯房 车库 车位 别墅 有钥匙 环山路旁,国悦半山九里 -体育中心,3室2厅 | 153平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 25天以前发布,400,"26,144元/平"
岱岳花园 3室2厅 南 北,岱岳花园 -岱岳区区委,3室2厅 | 106平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,88,"8,302元/平"
温泉小区东区 2室1厅 南 北,温泉小区东区 -红门,2室1厅 | 74平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 27天以前发布,106,"14,325元/平"
房子三室两厅精装修基本未住满二带配房中间楼层有钥匙,博文盛世 -南开发区,3室2厅 | 102.75平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,0人关注 / 21天以前发布,78,"7,592元/平"
曹家村幸福佳苑 3室2厅 南 北,曹家村幸福佳苑 -高铁新区,3室2厅 | 145平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,0人关注 / 23天以前发布,102,"7,035元/平"
鲁商中心 叠拼别墅  一楼南院 带负一层 负一错层,鲁商中心 -泮河景区,4室3厅 | 138平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 26天以前发布,386,"27,972元/平"
还你一个有院子的梦想大展麓山君一楼带50平院子,大展·麓山郡 -岱岳区,2室2厅 | 68平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,95,"13,971元/平"
奥林匹克花园 露台 储藏室 南北通透 儿童医院,泰安奥林匹克花园 -南开发区,2室2厅 | 91平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,70,"7,693元/平"
安泰物业小区 户型格局好， 视野宽阔，采光充足,安泰物业小区 -东湖公园,2室2厅 | 106平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,98,"9,246元/平"
楼间距70米  郝楼层.简单装修  洋房  房主诚心出售,开元盛世和园B区 -泮河景区,3室2厅 | 135平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,181,"13,408元/平"
采光好，产权清晰，带阁楼，储藏室，配套齐全,记者村 -高铁新区,5室2厅 | 212.1平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,177,"8,346元/平"
带储藏室！开元盛世硕园小高大平层！爱琴海,开元盛世硕园 -泮河景区,3室2厅 | 128平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,5人关注 / 7个月以前发布,135.5,"10,586元/平"
御景龙城精装大三室 带车库可做门头房 好楼层,御景龙城 -南开发区,3室2厅 | 145.01平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,92,"6,345元/平"
泰山大街万达广场旁 泰山区两室两厅 满五唯一好楼层,长城东区 -万达广场,2室2厅 | 73平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,80,"10,959元/平"
好楼层  业主诚心出售，看房方便,德天泮河小镇 -泮河景区,3室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 3个月以前发布,138,"10,073元/平"
电梯洋房 经典户型 两室朝阳 好楼层 小区环境好,嘉和新城二期 -南开发区,3室2厅 | 116.65平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,98,"8,402元/平"
此房房产证满五唯一，户型方正，采光充足,泰安市造纸厂宿舍区 -南关,2室1厅 | 75.05平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,2人关注 / 一年前发布,66.9,"8,915元/平"
温泉路东岳大街 中医院南化肥厂宿舍 户型方正有钥匙,化肥厂宿舍 -东湖公园,2室2厅 | 68.58平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,75.5,"11,010元/平"
光彩大市场北领秀城大产权105平东楼头急售,领秀城二期 -岱岳区区委,3室2厅 | 105平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 塔楼,8人关注 / 一年前发布,99,"9,429元/平"
中铁十四局南区三室户型，，迎胜 ，停车方便，，,中铁十四局宿舍南区 -火车站,3室2厅 | 118.95平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,220,"18,496元/平"
天外村 贵和天玺 迎胜东路  花园式洋房 新房未住,贵和天玺 -天外村,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,410,"30,828元/平"
君悦山南北通透采光好，交通便利出行方便。,恒地君悦山 -大佛寺,3室2厅 | 116.6平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,7人关注 / 7个月以前发布,96,"8,234元/平"
南湖回迁楼，两室一厅 好楼层通透户型,南湖回迁楼 -南湖公园,2室1厅 | 80.48平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,84,"10,438元/平"
化肥厂宿舍 2室2厅 南 北,化肥厂宿舍 -东湖公园,2室2厅 | 68.58平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,70,"10,208元/平"
吾悦广场 电梯房 安居上上城 精装 全天采光 天竹峰路,安居上上城 -小井,2室2厅 | 85.55平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 7个月以前发布,82,"9,586元/平"
安居上上城  精装三室  吾悦广场,安居上上城 -小井,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 5个月以前发布,99,"9,900元/平"
高铁 大三室白菜价 记者村电梯洋房,记者村 -高铁新区,3室2厅 | 139.54平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,106,"7,597元/平"
此房免大税通透格局楼层好视野开阔交通便利教育完善。,华新新城 -南开发区,2室2厅 | 84.06平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,59,"7,019元/平"
温泉路与东湖路十字路口 三友土地局 3楼 集暖 车位,安泰物业小区 -东湖公园,2室2厅 | 95平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,109,"11,474元/平"
领秀城 光彩 岳峰 90W买112平米东边户,领秀城二期 -岱岳区区委,3室1厅 | 112平米 | 南 北 东 | 其他 | 高楼层(共31层)  | 塔楼,5人关注 / 6个月以前发布,85,"7,590元/平"
此房一梯两户公摊小毛坯可随意装修带配房小区免费停车,泰山学院南校区教工公寓 -南开发区,3室2厅 | 126.79平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 9个月以前发布,81,"6,389元/平"
绿地公馆一组团 大四室 两个车位 好楼层 无贷款 高铁,绿地公馆一组团 -高铁新区,4室2厅 | 170.46平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,7人关注 / 一年前发布,167,"9,798元/平"
十二中 花园洲 电梯洋房 地暖 附地下车位 毛坯 急售,花园洲 -岱岳区区委,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 塔楼,10人关注 / 一年前发布,122,"9,385元/平"
开元盛世硕园！20楼 此价包含车位储藏室各一个！合适,开元盛世硕园 -泮河景区,3室2厅 | 100平米 | 南 | 简装 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,108,"10,800元/平"
高铁西邻  一楼带院 三室毛坯 满两年 配套齐全,京润华庭 -高铁新区,3室2厅 | 111.4平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,89,"7,990元/平"
此房满五唯一， 南北通透户型，楼层好， 价格合适,三里东小区 -步行街,3室1厅 | 71.55平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,70,"9,784元/平"
东岳大街观山房 南北通透带车位储藏室有钥匙随时看房,华普武警佳苑 -体育中心,3室2厅 | 123.86平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,163,"13,161元/平"
御碑楼小区 3室2厅 南,御碑楼小区 -泰安市委,3室2厅 | 127.86平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,135,"10,559元/平"
长城路 泺亨国际 精装两室 南北通透 好楼层 采光好,泺亨国际 -南开发区,2室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,2人关注 / 7个月以前发布,75,"7,813元/平"
三室精装带储藏室 有钥匙 中间楼层 岳峰 东岳大街,苹果园小区 -体育中心,3室2厅 | 97平米 | 南 北 | 简装 | 低楼层(共23层)  | 板楼,0人关注 / 3个月以前发布,86,"8,866元/平"
金科桃花源 2室1厅 南 北,金科桃花源 -彩石溪,2室1厅 | 93.4平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,138,"14,776元/平"
证满两年！东楼梯东户!!十二中！精装修 正常首付,绿地公馆雅园 -高铁新区,3室2厅 | 112平米 | 南 北 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 15天以前发布,90,"8,036元/平"
山景尚宅 两室 毛坯集中供暖  交通便利 有钥匙,山景尚宅 -体育中心,2室2厅 | 103.37平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,5人关注 / 4个月以前发布,76,"7,353元/平"
东岳大街观山房 南北通透带车位储藏室有钥匙随时看房,华普武警佳苑 -体育中心,3室2厅 | 123.86平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,163,"13,161元/平"
三室精装带储藏室 有钥匙 中间楼层 岳峰 东岳大街,苹果园小区 -体育中心,3室2厅 | 97平米 | 南 北 | 简装 | 低楼层(共23层)  | 板楼,0人关注 / 3个月以前发布,86,"8,866元/平"
长城路西侧 苹果园小区 三室 户型很好方正  岳峰南,苹果园小区 -体育中心,3室2厅 | 96.91平米 | 南 北 | 简装 | 低楼层(共23层)  | 板楼,9人关注 / 11个月以前发布,82.2,"8,483元/平"
金科桃花源 2室1厅 南 北,金科桃花源 -彩石溪,2室1厅 | 93.4平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,138,"14,776元/平"
证满五有配房，三室朝阳，三间卧室 无遮挡,药监局宿舍 -天外村,3室2厅 | 122.28平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,240,"19,628元/平"
青山东村小区 2室1厅 南,青山东村小区 -步行街,2室1厅 | 60平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,54,"9,000元/平"
财源小区 苏宁易购 三源家电 南湖公园 中百购物,财东小区 -南湖公园,3室1厅 | 88.92平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,79.8,"8,975元/平"
凤凰小区 3室朝阳 南北通透 停车方便,凤凰小区(唐訾路) -小井,3室2厅 | 106.9平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,93,"8,700元/平"
新上！3+1室！新华学府上园好楼层！长城路泺亨国际,新华·学府上园 -南开发区,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 11天以前发布,96,"7,560元/平"
高铁 云水谣 中间好楼层 储藏室 英雄 玫瑰园 泰山院子,绿地云水谣二期 -高铁新区,3室2厅 | 105平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,86.8,"8,267元/平"
泰山大街 光彩 泮河公园 物探家园 带储藏室 看房方便,物探家园 -泮河景区,2室2厅 | 91.27平米 | 东 | 毛坯 | 高楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,78,"8,547元/平"
嘉和新城一期精装两室车位正对单元门门口公务员小区,嘉和新城 -南开发区,2室2厅 | 97.43平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,79,"8,109元/平"
公摊小 带储藏室 停车方便 配套全，交通方便 证满两年,峪龙佳苑北区 -徐家楼,2室1厅 | 80.14平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,60,"7,487元/平"
泰山华侨城 2室1厅 南 北,泰山华侨城 -小井,2室1厅 | 92平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 12天以前发布,77.9,"8,468元/平"
嘉和新城一期 一楼 车位 储藏室 满五唯一 南北通透,嘉和新城 -南开发区,3室2厅 | 137.45平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 暂无数据,6人关注 / 8个月以前发布,96,"6,985元/平"
凤台！老泰莱路北 唐庄小区 6楼加阁楼 可贷款华新小区,唐庄小区泰来路北区 -宝龙城,3室2厅 | 118.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,123,"10,354元/平"
凤栖湾小区 3室2厅 南 北,凤栖湾小区 -南开发区,3室2厅 | 155平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,142,"9,162元/平"
乐园小区三楼 一梯一户 满五 精装 仓库路 车位 配房,乐园小区 -国际会展中心,3室2厅 | 112.15平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,158,"14,089元/平"
此房满二面大税户型方正带 位置安静，出行方便,嘉和新城 -南开发区,3室2厅 | 120.44平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,96,"7,971元/平"
大安书香世家三室两厅一卫 嘉和新城 凤栖湾,书香世家 -南开发区,3室2厅 | 99.9平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,85,"8,509元/平"
泰安回民中宿舍        3-2-1-2,泰安回民中学宿舍 -火车站,3室2厅 | 97平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,122,"12,578元/平"
泺亨国际大三室 两卫 南北通透 随时看房中间楼层,泺亨国际 -南开发区,3室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共22层)  | 暂无数据,3人关注 / 一年前发布,85,"6,440元/平"
五矿万境水岸 精装两室 中间楼层 免大税,五矿·万境水岸 -南开发区,2室2厅 | 88.16平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 5个月以前发布,80,"9,075元/平"
曹家村幸福佳苑  英中路过 卧虎山 高铁 大平层 单价低,曹家村幸福佳苑 -高铁新区,3室2厅 | 145平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,1人关注 / 10天以前发布,94,"6,483元/平"
政务大厅东 大展麓山郡精装三室 户型方正 环境优美,大展·麓山郡 -岱岳区,3室2厅 | 105平米 | 北 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,88,"8,381元/平"
嘉和新城 多层洋房  好楼层  带配房 大安书香世家,嘉和新城 -南开发区,3室2厅 | 121平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,90,"7,439元/平"
房主急售！好房源泮河景区旁泮河小镇电梯小高层,德天泮河小镇 -泮河景区,2室2厅 | 94平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,2人关注 / 一年前发布,80,"8,511元/平"
长城路，泺亨国际，边户，南北通透，有露台,泺亨国际 -南开发区,3室1厅 | 121平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 9天以前发布,86,"7,108元/平"
业主急售.价格能谈。精装未住，中秧空调，带储藏室,开元盛世和园B区 -泮河景区,4室2厅 | 135平米 | 南 | 其他 | 低楼层(共23层)  | 板楼,0人关注 / 3个月以前发布,128,"9,482元/平"
文化路 泰中 傲徕峰路   大润发  医院 2楼,市建工集团宿舍文化路 -火车站,1室1厅 | 33平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 4天以前发布,81.9,"24,819元/平"
青春创业园北邻 秀水湾联排别墅 豪 华装修 随时看房,泰山秀水湾 -岱岳区,5室3厅 | 308平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 8个月以前发布,410,"13,312元/平"
嘉和新城六楼带阁楼车位储藏室精装修五矿长成路,嘉和新城 -南开发区,2室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,76,"7,756元/平"
南关 岱庙 春风十里 大三居 集暖 有钥匙 带车位天悦府,春风十里 -南关,3室2厅 | 134平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,119,"8,881元/平"
泺亨国际！大复式！带有50平露台！全天采光无遮挡！,泺亨国际 -南开发区,5室3厅 | 212平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 塔楼,1人关注 / 2个月以前发布,159,"7,500元/平"
格林小镇 6室3厅 南 北,格林小镇 -岱岳区,6室3厅 | 347平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,310,"8,934元/平"
一梯两户 带配房 精装证满2年  精装修 天竹佳苑有钥匙,盛华·天竹佳苑 -方特大区,3室2厅 | 145.2平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,178,"12,259元/平"
环山路 宝龙国际社区 四室 三厅 复式内置楼梯 可贷款,宝龙国际社区 -宝龙城,4室3厅 | 172平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,14人关注 / 7个月以前发布,190,"11,047元/平"
天地家园 好楼层 南北通透 满两年 迎胜 文化路,天地家园 -天外村,3室2厅 | 156.76平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,4人关注 / 4个月以前发布,466,"29,727元/平"
精装修大五室 三阳台 双厨房 大平层 碧桂园 急售,碧桂园·黄金时代 -高铁新区,5室2厅 | 281平米 | 南 北 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 8个月以前发布,339,"12,065元/平"
此房满二免大税，五矿一期洋房顶复,五矿·万境水岸 -南开发区,4室3厅 | 138.23平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,239,"17,291元/平"
王*府花园13楼＋14楼，象征一生一世，此楼莫属懂的来,王府花园A区 -万达广场,4室2厅 | 160平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,15人关注 / 一年前发布,165,"10,313元/平"
精装婚房 带车位 带配房 有钥匙 价格可谈,泰实·学府春天 -方特大区,4室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,180,"13,044元/平"
泰山区 4A公园旁 第四代住宅 大平层 多居室 交通方便,龙湖公园里 -徐家楼,4室2厅 | 208平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,2人关注 / 5个月以前发布,165,"7,933元/平"
大双拼别墅 地势高 视野好 改善住房 可贷款 环境优美,山和院子 -彩石溪,6室4厅 | 362.92平米 | 南 北 | 毛坯 | 2层  | 暂无数据 | 独栋别墅 ,9人关注 / 一年前发布,660,"18,186元/平"
国悦府 环山路 三层叠拼 南北大院 采光好 大开间 边户,国悦府 -泰安市委,4室2厅 | 96平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板塔结合,3人关注 / 一年前发布,428,"44,584元/平"
春风十里精装边户中间楼层电梯新房全明户型,春风十里 -南关,3室2厅 | 129.45平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,120,"9,270元/平"
市政府西邻，交通便利，户型方正，结构合理,大展新城国际 -体育中心,4室2厅 | 141.7平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,13人关注 / 一年前发布,179,"12,633元/平"
火车站 新电梯房 大户型 迎胜 三室两厅 观山房,银座城市廣場 -火车站,3室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 7个月以前发布,198,"13,379元/平"
山和院子  环山路  北  独栋 带双车位    ，，前后院,山和院子 -彩石溪,5室3厅 | 205平米 | 南 北 | 毛坯 | 3层  | 板楼 | 独栋别墅 ,1人关注 / 5个月以前发布,550,"26,830元/平"
叠拼别墅 一楼二楼负一带院带负二，北露台，带车库,国悦半山九里 -体育中心,5室3厅 | 215.96平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 板楼,1人关注 / 一年前发布,650,"30,099元/平"
五矿大平层生活方便交通便利，户型方正南边通透。,五矿·万境水岸 -南开发区,4室2厅 | 206平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,3人关注 / 7个月以前发布,155,"7,525元/平"
宝龙国际社区 五六楼纯复式 毛坯南北通透带大露台,宝龙国际社区 -宝龙城,4室2厅 | 170平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,19人关注 / 一年前发布,220,"12,942元/平"
大展鸿府 泮河景区高铁和园 御驾新苑 硕园 老街爱琴海,大展鸿府 -泮河景区,5室4厅 | 153平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,5人关注 / 一年前发布,288,"18,824元/平"
六层电梯洋房 大3居 视野开阔 北向观山 交通便利,宏成御苑 -宝龙城,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,235,"19,106元/平"
宝龙国际社区毛坯 彩虹新苑 白马石 东华园 青山 嘉德,宝龙国际社区 -宝龙城,5室3厅 | 235.06平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 独栋别墅 ,3人关注 / 一年前发布,415,"17,656元/平"
伟业苑 4室2厅 南,伟业苑 -火车站,4室2厅 | 164.48平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 6个月以前发布,155,"9,424元/平"
长城路 名仕尚座 复式结构 观景房,名仕尚座 -体育中心,4室2厅 | 268平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,8人关注 / 一年前发布,198,"7,389元/平"
云水谣 毛坯三室 中间楼层 带储藏室,绿地云水谣三期 -高铁新区,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 8天以前发布,90,"8,182元/平"
东岳鑫城 4室2厅 南 北,东岳鑫城 -高铁新区,4室2厅 | 164平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 6天以前发布,150,"9,147元/平"
绿地公馆秀园 3室2厅 南 北,绿地公馆秀园 -高铁新区,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 8天以前发布,132,"10,154元/平"
东岳鑫城 4室2厅 南 北,东岳鑫城 -高铁新区,4室2厅 | 164平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 6天以前发布,150,"9,147元/平"
六楼带阁楼顶复 书香世家电梯洋房带车位配房 高新五矿,书香世家 -南开发区,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,150,"12,821元/平"
山城国际 带50平院子 带车储藏室,中达 · 山城国际 -泮河景区,3室2厅 | 127平米 | 南 北 | 其他 | 低楼层(共14层)  | 板楼,0人关注 / 7天以前发布,180,"14,174元/平"
11层电梯洋房 边户 海普凤凰城带配房 高新五矿嘉和,海普凤凰城 -南开发区,2室2厅 | 89.5平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 5天以前发布,75,"8,380元/平"
名仕尚座 2室2厅 北,名仕尚座 -体育中心,2室2厅 | 72.63平米 | 北 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 7天以前发布,56,"7,711元/平"
泰棉小区 三室一厅 精装修 水电气齐全 容郡国际,樱桃园小区 -体育中心,3室2厅 | 87平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,95,"10,920元/平"
公务员小区 带车位配房 精装修  采光好 南北通透,双龙小区A区 -小井,3室2厅 | 149.79平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 4天以前发布,212,"14,154元/平"
11层电梯洋房 中间楼层海普凤凰城满二带配房 五矿,海普凤凰城 -南开发区,2室2厅 | 92平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 6天以前发布,70,"7,609元/平"
中悦城 3室2厅 南 北,中悦城 -南关,3室2厅 | 107平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 2天以前发布,109,"10,187元/平"
拉菲公馆 3室2厅 南 北,拉菲公馆 -小井,3室2厅 | 139.6平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 2天以前发布,138,"9,886元/平"
恒基富丽东方 3室2厅 南 北,恒基富丽东方 -小井,3室2厅 | 100平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,145,"14,500元/平"
