标题,开发商,房子信息,发布信息,售价/万,单价
青年路碱泉街兵二日月星光地暖电梯复式采光好人车分流,日光小区 -青年路,4室3厅 | 234.2平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,12人关注 / 一年前发布,178,"7,601元/平"
南门国际置地爱家炒市楼上电梯跃层带露台拎包住,南门国际城 -南门,4室2厅 | 248.51平米 | 南 北 | 精装 | 高楼层(共29层)  | 暂无数据,1人关注 / 4个月以前发布,360,"14,487元/平"
一龙半岛 5室2厅 南,一龙半岛 -未知商圈,5室2厅 | 263.88平米 | 南 | 毛坯 | 低楼层(共4层)  | 塔楼,8人关注 / 一年前发布,268,"10,157元/平"
医学院县医院御园公馆铁路局红光山赛博特,御园公馆 -美居,4室2厅 | 210.75平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,260,"12,337元/平"
世界公元Ⅰ 8室3厅 南,世界公元Ⅰ -水磨沟公园,8室3厅 | 105.16平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,4人关注 / 一年前发布,195,"18,544元/平"
嘉和园精装修复式  ，带楼台家具家电全带。,嘉和园 -油运司,4室2厅 | 197.46平米 | 南 北 | 精装 | 6层  | 板楼,4人关注 / 10个月以前发布,128,"6,483元/平"
价格合适，配套设施齐全，车位充足，生活便利。,百信康城 -植物园,4室2厅 | 205.44平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,8人关注 / 一年前发布,175,"8,519元/平"
长沙路高新万达旁上海城下沉式复式8室4厅4卫,上海城 -高新万达,8室4厅 | 298平米 | 南 北 | 简装 | 低楼层(共16层)  | 暂无数据,6人关注 / 一年前发布,215,"7,215元/平"
优诗美地一期 环境优美 鸟语花香 双车位 大晒台！,优诗美地一期 -青年路,6室2厅 | 470.25平米 | 南 北 | 简装 | 4层  | 暂无数据 | 联排别墅 ,25人关注 / 一年前发布,658,"13,993元/平"
带车位，30平地下室.40平院子，,百姓康城果岭一期 -长春路,4室3厅 | 170.93平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,14人关注 / 一年前发布,185,"10,824元/平"
红十月东二期三室三厅，南北通透采光充足，视野开阔,红十月东二期 -文化宫,3室3厅 | 149.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,110,"7,339元/平"
高新政府旁 精装婚房 通透户型 电梯复式 采光好,紫煜臻城煜园 -创新广场,5室2厅 | 183.28平米 | 东 西 | 精装 | 高楼层(共18层)  | 板楼,12人关注 / 一年前发布,145,"7,912元/平"
青年路月光小区    环境优美     设施齐全,月光小区 -青年路,6室2厅 | 296.95平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,14人关注 / 一年前发布,162,"5,456元/平"
水区 南湖  昆仑监理小区 两室 实际面积大,昆仑监理住宅小区 -未知商圈,2室2厅 | 66.17平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,51,"7,708元/平"
康普百信钻石苑 3室2厅 东 西,康普百信钻石苑 -小西沟,3室2厅 | 96.36平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,68,"7,057元/平"
交通便利   停车方便   商圈成熟   诚心出售,豪景苑 -美居,3室2厅 | 154.08平米 | 西 东 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,138,"8,957元/平"
新市区 北京路 新天润四期香颂,新天润四期香颂 -新天润,3室2厅 | 106.95平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,104,"9,725元/平"
新洲城市花园二期-轩景苑，背靠鲤鱼山花园,轩景苑 -美居,3室1厅 | 130.06平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,123,"9,458元/平"
米东新城三期  多层4楼 小两室 毛坯随意装修,米东新城三期 -天汇汽车城,2室1厅 | 75.06平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,45,"5,996元/平"
御园世家 御园公馆 百商 赛博特 花田小镇 56,御园公馆 -美居,3室2厅 | 73.62平米 | 东北 | 简装 | 中楼层(共19层)  | 塔楼,3人关注 / 8个月以前发布,84.5,"11,478元/平"
友好美美商圈新城花园小区配套成熟店长推荐好房,新城花园小区 -友好,3室2厅 | 124.82平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 7个月以前发布,113,"9,054元/平"
恒昌恒业2006年地暖房地铁口交通便利精装三室,恒昌恒业花园东区 -儿童村,3室2厅 | 118.99平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,110,"9,245元/平"
友好路上美美2 楼上昊泰大厦  居住很方便 可按揭,明慧园 -友好,3室1厅 | 124.33平米 | 东 | 简装 | 高楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,108,"8,687元/平"
友好 明慧园 美美2楼上三室一厅精装修 有证拎包入住,明慧园 -友好,3室1厅 | 124.33平米 | 东 | 精装 | 中楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,116,"9,331元/平"
房屋公摊小，使用面积大，好房子,东后街南二巷1号 -未知商圈,2室2厅 | 57平米 | 东 西 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,39.9,"7,000元/平"
空气清新，采光充足，地暖房，出行便利，户型方正,百合花园 -水磨沟区,3室2厅 | 117.91平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,81,"6,870元/平"
荷兰二期电梯复式159平米，四室两卫，南北带大晒台,荷兰小镇二期 -天汇汽车城,4室2厅 | 160平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,2人关注 / 一年前发布,96,"6,000元/平"
此房满五唯一，视野开阔，采光充足,向阳花园一期 -碱泉街,3室2厅 | 85.85平米 | 东 南 西 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,67,"7,805元/平"
雅山新天地C区 三室两厅 南北通透,信达雅山新天地C区 -西山,3室2厅 | 121.47平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,3人关注 / 一年前发布,92,"7,574元/平"
小区不是很大大，环境优美，小区很安静,油苑小区 -德港万达,3室2厅 | 99.63平米 | 东 西 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,85,"8,532元/平"
光明路北小区 3室2厅 南 北,光明路北小区 -北门,3室2厅 | 101.06平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,320,"31,665元/平"
机场南区简装三室底价出售中，全明户型,飞机场家属院 -机场,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共5层)  | 塔楼,2人关注 / 一年前发布,85,"7,799元/平"
小区不是很大大，环境优美，小区很安静,油苑小区 -德港万达,3室2厅 | 99.63平米 | 东 西 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,85,"8,532元/平"
机场南区简装三室底价出售中，全明户型,飞机场家属院 -机场,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共5层)  | 塔楼,2人关注 / 一年前发布,85,"7,799元/平"
精装修好房，拎包入住，南北通透，无浪费空间,二号台地公务员小区A区 -西站,3室1厅 | 110平米 | 南 北 | 精装 | 高楼层(共28层)  | 暂无数据,10人关注 / 一年前发布,72,"6,546元/平"
马德里春天电梯入户南北通透3室全明房带地下室8平,马德里春天小区 -木材厂,3室2厅 | 113.89平米 | 南 北 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,108,"9,483元/平"
九街住宅小区 2室2厅 南,九街住宅小区 -二宫,2室2厅 | 91.81平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,95,"10,348元/平"
御园公馆 御园世家 赛博特 壹兴坊 56 花田 美居,御园公馆 -美居,4室2厅 | 82.88平米 | 西 | 精装 | 高楼层(共19层)  | 塔楼,11人关注 / 一年前发布,97,"11,704元/平"
2楼中装有证支持按揭随时看房支持按揭,金阳小区 -友好,3室2厅 | 129.99平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,98,"7,540元/平"
业主诚意出售，中间楼层，采光好,雄峰房产江峰苑小区 -铁路局,2室1厅 | 75.24平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,62,"8,241元/平"
蓝天森林标准户型，复式楼、采光好,蓝天森林花苑 -仓房沟,4室2厅 | 132.34平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,85,"6,423元/平"
东湖观澜 三室两厅 电梯洋房  业主诚心出售,东湖观澜 -西山,3室2厅 | 119.53平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,92,"7,697元/平"
杭州路植物园旁四季风情园三室低楼层南北通透,四季风情园南区 -植物园,3室2厅 | 127.18平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,94,"7,392元/平"
水磨沟区 映象南湖 8跃9楼复式带晒台 房屋出售,映象南湖 -南湖广场,6室4厅 | 206.61平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,8人关注 / 一年前发布,185.9,"8,998元/平"
金阳小区，位置佳，户型好，离友好，美美商圈近,金阳小区 -友好,3室2厅 | 96.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,74,"7,645元/平"
九家湾公寓的一楼，采光充足，户型大视野开阔交通便利,九家湾公寓 -西山,3室2厅 | 147.04平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,100,"6,801元/平"
高铁片区，经开万达，云岭翠谷房屋出售,云岭翠谷 -经开万达,3室2厅 | 127.89平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,194,"15,170元/平"
鲤鱼山路御园世家小区 电梯房 精装修 拎包入住,御园世家 -美居,3室2厅 | 114.82平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,9人关注 / 一年前发布,118,"10,277元/平"
德港万达131平精装大三室产证齐全低公摊可过户,裕馨小区 -德港万达,3室2厅 | 131.04平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,96,"7,327元/平"
马德里春天129平精装房出售南北通透有产证,马德里春天小区 -木材厂,3室2厅 | 129.56平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,118,"9,108元/平"
金坤C区  3室2厅  118.36平米,金坤中环花苑溢景轩C区 -大湾,3室2厅 | 118.36平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,130,"10,984元/平"
小绿谷观景精装一梯两户小三室有证带车位。,国税小区 -经开万达,3室2厅 | 107.62平米 | 南 北 | 精装 | 高楼层(共15层)  | 暂无数据,1人关注 / 6个月以前发布,178,"16,540元/平"
新房源 小高层电梯房三室采光好,雅南高第 -仓房沟,3室1厅 | 95.96平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,74,"7,712元/平"
位置好，复式楼，有70平米的晒台,金粮源小区 -商贸城,5室2厅 | 200.51平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,130,"6,484元/平"
水磨沟区南湖 景和苑小区 小高层 138平 好房出售,景和苑 -南湖广场,3室2厅 | 138.24平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,143.9,"10,410元/平"
房子是毛坯房。可以自己装修喜欢的风格,有色金鑫花园二期 -喀什东路,3室2厅 | 119.96平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,1人关注 / 一年前发布,91,"7,586元/平"
中装三室 诚心出售 首付低 多层物业费低,鹭苑 -米东区,3室2厅 | 100.62平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,56,"5,566元/平"
铁路局三室两厅一卫101.53㎡南北通透,新疆轻工职业技术学院家属院 -铁路局,3室2厅 | 101.53平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,83,"8,175元/平"
鲤鱼山路 新洲城市花园 电梯三室 全明户型 采光好,豪景苑 -美居,3室2厅 | 140平米 | 东 西 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,121,"8,643元/平"
水磨沟 水区政府旁边 八中分校后面 南北 低楼层,山水人家 -水磨沟公园,3室3厅 | 143.45平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,6人关注 / 一年前发布,102,"7,111元/平"
益民大厦旁 万科中央公园一期 三室两厅两卫 出售,万科中央公园一期 -红光山,3室2厅 | 121.02平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 7个月以前发布,136.8,"11,304元/平"
有好商圈北园春小区中层，简单装修，采光不错。,金阳小区 -友好,5室2厅 | 140.04平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,105,"7,498元/平"
有好商圈北园春小区中层，简单装修，采光不错。,金阳小区 -友好,5室2厅 | 140.04平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,105,"7,498元/平"
新市区 苏州路 小西沟 汉唐天下 铁三铁二 带车位,汉唐天下北区 -铁路局,3室2厅 | 123.91平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,246,"19,854元/平"
天津路政法学院旁通用厂旁两室南北通透,高新苑南楼 -长春路,2室2厅 | 79.52平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,48,"6,037元/平"
新民路41小家属院5楼两室一厅,新民路派出所家属院 -红山公园,2室1厅 | 72平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,50,"6,945元/平"
华润万家旁星汇立方112平电梯三室,星汇立方 -长春路,3室1厅 | 112.5平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,97,"8,623元/平"
鲤鱼山美居商圈新洲城市花园中层标准大三室,轩景苑 -美居,3室2厅 | 116.81平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,116,"9,931元/平"
41小家属院 地铁口 新兴街 采光好,乌鲁木齐市第四十一小学家属院 -红山公园,3室2厅 | 79平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,60,"7,595元/平"
教育学院 精装2楼  三室  南北  交通便利 配套成熟,新疆教育学院家属院 -北门,3室2厅 | 80.85平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,8人关注 / 一年前发布,290,"35,869元/平"
新市区 北京南路 中装 低楼层 小两居 农房小区,农房小区 -未知商圈,2室1厅 | 61平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,50,"8,197元/平"
西八家户路 中石华府 三室两厅 精装修 好房出售,中石华府 -医学院,3室2厅 | 114.51平米 | 西北 | 精装 | 高楼层(共30层)  | 塔楼,9人关注 / 一年前发布,140,"12,227元/平"
高铁片区马德里春天3室南北通透带车位,马德里春天小区 -木材厂,3室2厅 | 102.38平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,98,"9,573元/平"
采光充足，视野开阔，通风条件好,天安名门 -文化宫,4室2厅 | 174.84平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,5人关注 / 一年前发布,186,"10,639元/平"
马德里春天顶楼复式带双晒台有产证,马德里春天小区 -木材厂,4室2厅 | 147.33平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,109.8,"7,453元/平"
水木尚城电梯公寓精装修带家具家电,特变水木尚城 -天汇汽车城,3室2厅 | 168平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,128,"7,620元/平"
水区南湖纺校众惠小区101平简装三室5楼60万,众惠小区 -未知商圈,2室2厅 | 101.61平米 | 东 西 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,58,"5,709元/平"
出售向阳四期精装两室，采光好，户型方正，价格可谈！,向阳花园小区四期 -碱泉街,2室1厅 | 88.25平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,3人关注 / 一年前发布,105,"11,899元/平"
卫星广场卫星路127学 校旁86.7㎡精装两室诚意出售,邮电学校家属院 -木材厂,2室2厅 | 86.74平米 | 东 西 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,62.5,"7,206元/平"
马德里春天小三室 全明户型 干湿分离 年轻喜欢的三室,马德里春天小区 -木材厂,3室2厅 | 102.37平米 | 南 | 简装 | 中楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,86.8,"8,480元/平"
标准大户型，供暖好，低楼层户型通透，业主诚心出售,泰惠花园小区 -医学院,4室2厅 | 139.44平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,125,"8,965元/平"
美林阁小区 3室2厅 北,美林阁小区 -美居,3室2厅 | 123.45平米 | 北 | 简装 | 中楼层(共19层)  | 板塔结合,5人关注 / 8个月以前发布,100,"8,101元/平"
四平路 楼层好 采光充足 适合老人居住,锦绣年华北区 -喀什东路,3室2厅 | 90.56平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,74.5,"8,227元/平"
水区、南湖、市政府、南湖广场、电信、移动公司好房售,华凌公寓 -南湖广场,3室2厅 | 146.24平米 | 东南 | 简装 | 低楼层(共32层)  | 暂无数据,1人关注 / 5个月以前发布,128,"8,753元/平"
三楼 两室 简装 南北通透 产权已满五年 二工地铁站旁,奥林匹克花园 -二宫,2室2厅 | 83.74平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,69,"8,240元/平"
三室两厅一卫，精装修，南北通透,中央郡 -油运司,3室2厅 | 100.97平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,4人关注 / 8个月以前发布,105,"10,400元/平"
地铁口就在小区门口三室两厅南北通透一楼适合老人居住,外环办家属院 -王家梁,3室2厅 | 107.68平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,102,"9,473元/平"
宝能城小区三居室好房业主诚心出售,宝能城 -经开万达,3室2厅 | 122.21平米 | 南 北 | 简装 | 高楼层(共31层)  | 板楼,13人关注 / 一年前发布,123,"10,065元/平"
水磨沟区映象南湖161平四室双卫 南北好房出售,映象南湖 -南湖广场,4室2厅 | 161.5平米 | 南 北 | 简装 | 低楼层(共11层)  | 暂无数据,6人关注 / 一年前发布,138.9,"8,601元/平"
楼层好，视野开阔采光充足，交通便利，小区绿化好。,国秀家园 -长春路,3室2厅 | 118.97平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,2人关注 / 6个月以前发布,96,"8,070元/平"
御园世家 3室2厅 南 北,御园世家 -美居,3室2厅 | 104.68平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,178,"17,005元/平"
房东急售，户型方正，看房方便，,兽医站家属院 -未知商圈,2室1厅 | 79.78平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,62.5,"7,835元/平"
亚欧城市印象好房出售，看房随时联系我。、,亚欧城市印象 -红光山,3室2厅 | 171平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,116,"6,784元/平"
小西沟地铁口家乐福旁南北三居室好房,康普百信钻石苑 -小西沟,3室2厅 | 123平米 | 南 北 | 简装 | 高楼层(共7层)  | 平房,4人关注 / 一年前发布,100,"8,131元/平"
品牌房企精心打造、会展地段、配套齐全,恒大绿洲一期 -红光山,4室2厅 | 157.95平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,159,"10,067元/平"
喀什东路有色金鑫花园品质小区好房出售,有色金鑫花园二期 -喀什东路,3室2厅 | 118.36平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,1人关注 / 8个月以前发布,92,"7,773元/平"
友好美美2 楼上 三室一厅 有证 可以按揭可做办公,明慧园 -友好,3室1厅 | 124.33平米 | 东 南 | 简装 | 低楼层(共25层)  | 塔楼,4人关注 / 一年前发布,103,"8,285元/平"
出售，交通厅家属院，精装修，三室,交通运输厅家属院 -卡子湾,3室2厅 | 106.44平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,4人关注 / 7个月以前发布,62,"5,825元/平"
露台，价格低，友好商圈，医学院旁边。儿童公园旁。,金康丽景苑 -油运司,3室2厅 | 128.97平米 | 南 西 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,88.5,"6,863元/平"
天山区青年路月光小区3-2-1-1,月光小区 -青年路,3室2厅 | 99.24平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,85,"8,566元/平"
汇金花苑小区二楼，出行方便生活便利，业主诚心出售,汇金花苑小区 -油运司,3室2厅 | 100.26平米 | 东 西 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,80,"7,980元/平"
南湖广场旁地暖房三室两厅南北通透五楼,长青绿景花园B区 -南湖广场,3室2厅 | 118.85平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,95,"7,994元/平"
地铁一梯两户南北通透有钥匙可按揭,广晟园 -仓房沟,3室2厅 | 90.59平米 | 南 北 | 精装 | 7层  | 板楼,2人关注 / 4个月以前发布,69.5,"7,672元/平"
沙区骑马山上海紫园高层电梯三室精装修落地窗拎包入住,上海紫园 -西山,3室2厅 | 96.65平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,19人关注 / 一年前发布,78.5,"8,123元/平"
业主急售 天津路 嘉华园 91㎡ 4楼 3室带阳台,嘉华园 -长春路,3室2厅 | 91.6平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 4个月以前发布,73,"7,970元/平"
马德里春天三室 中间楼层  采光很好 可以拎包入住,马德里春天小区 -木材厂,3室2厅 | 102.22平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,86.9,"8,502元/平"
水区泽泰雅居 复式楼 买一层得二层 带花园 房屋出售,泽泰雅居 -水磨沟区,6室3厅 | 206.97平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,16人关注 / 一年前发布,129,"6,233元/平"
鲤鱼山路苏州路银川路电梯房，南北通透大三室，,山水华庭小区 -美居,3室2厅 | 126.61平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,102,"8,057元/平"
精装修，交通便利，距离商圈近。,恒大花园 -木材厂,3室2厅 | 109.66平米 | 北 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 10个月以前发布,105,"9,576元/平"
铁路局 小西沟 14年电梯房 汉唐天下 三室 南北朝向,汉唐天下北区 -铁路局,3室2厅 | 123.9平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,235,"18,967元/平"
北京南路福润德旁地铁口两室出售,乌县农技站小区 -小西沟,2室1厅 | 61.94平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,42,"6,781元/平"
荷兰小镇一期多层二楼精装三室带车位带地下室,荷兰小镇一期 -天汇汽车城,3室2厅 | 97平米 | 北 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,66.8,"6,887元/平"
南北通透 采光充足视野广 4室  一梯两户  院子好停车,二建家属院 -幸福路,4室2厅 | 128.44平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,205,"15,961元/平"
急售北京路小西沟地铁口旁钻石苑3楼复式123平精装,康普百信钻石苑 -小西沟,2室2厅 | 123.27平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,2人关注 / 一年前发布,92,"7,464元/平"
植物园财经大学家属院带地下室精装多层,新疆财经大学职工住宅楼 -二宫,3室2厅 | 96平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,75,"7,813元/平"
幸福路 十三中 十五小 多层 三室,天福花园 -幸福路,3室1厅 | 122.91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,309,"25,141元/平"
大成小区 3室2厅 南 北,大成小区 -铁路局,3室2厅 | 96.71平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,70.8,"7,321元/平"
一楼带花园，带车位御园印象全明户型三室标户,御园印象 -高新万达,3室2厅 | 107.12平米 | 南 | 简装 | 低楼层(共19层)  | 板楼,1人关注 / 一年前发布,135,"12,603元/平"
弘域欣源 3室简装出售 欢迎咨询,弘域欣源 -卡子湾,3室2厅 | 122.14平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,78,"6,387元/平"
农大旁边盛世嘉园三室两厅！！！,盛世嘉园 -友好,3室2厅 | 103.65平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,83,"8,008元/平"
高铁万达旁 家春秋精装标户三室 业主诚心出售,宜品家春秋 -油运司,3室2厅 | 120.43平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 11个月以前发布,84.7,"7,034元/平"
锦福苑精装修 中间楼层 拎包入住,锦福苑 -油运司,2室2厅 | 90.61平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,67,"7,395元/平"
北京路 邻地铁 低价房源 公摊少 得房率高,伯朗郡 -新天润,3室2厅 | 123.34平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,69,"5,595元/平"
新市区北京南路新捷小区多层4楼南北通透鲤鱼山脚下,新捷小区 -新市区,3室2厅 | 110.55平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,7人关注 / 10个月以前发布,88,"7,961元/平"
友好西北路  南北标户 满五年带地下室，出行便利,无线局小区 -友好,3室2厅 | 109.54平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,58,"5,295元/平"
友好三 中2 6小院子大环境好停车方便生活便利,汇珉园 -友好,3室2厅 | 105.68平米 | 东 西 | 简装 | 低楼层(共14层)  | 板楼,7人关注 / 一年前发布,109,"10,315元/平"
农大旁边盛世嘉园三室两厅！！！,盛世嘉园 -友好,3室2厅 | 103.65平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,83,"8,008元/平"
马德里春天 自住婚房 诚心出售,马德里春天小区 -木材厂,3室2厅 | 113.17平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 4个月以前发布,105,"9,279元/平"
新市区美居商圈 鲤鱼山路苏州路交汇处盈科山水华庭,山水华庭小区 -美居,3室2厅 | 177.8平米 | 东 西 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,125,"7,031元/平"
医学院县医院御园世家大三室纯毛坯南北通透,御园世家 -美居,3室2厅 | 113.63平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,114.78,"10,102元/平"
马德里春天 102平方三室 需要毛坯房 看过了,马德里春天小区 -木材厂,3室2厅 | 102.24平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,87.9,"8,598元/平"
马德里春天三室两厅拎包入住精装修视野好采光好随时看,马德里春天小区 -木材厂,3室2厅 | 108.19平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,93,"8,596元/平"
