标题,开发商,房子信息,发布信息,售价/万,单价
龙记帝景湾 3室2厅 南 北,龙记帝景湾 -城北,3室2厅 | 120.01平米 | 南 北 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 3天以前发布,170,"14,166元/平"
曲江美好时光 3室2厅 南,曲江美好时光 -曲江,3室2厅 | 92.91平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 2天以前发布,172,"18,513元/平"
国金华府 4室2厅 南 北,国金华府 -经开北,4室2厅 | 146.9平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 3天以前发布,285,"19,401元/平"
华宇时间城 4室1厅 南 北,华宇时间城 -经开北,4室1厅 | 123.22平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 4天以前发布,136,"11,038元/平"
秦川二十八街坊 2室1厅 南 北,秦川二十八街坊 -城东,2室1厅 | 61.05平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,52,"8,518元/平"
富力白鹭湾南区 4室2厅 南 北,富力白鹭湾南区 -浐灞周边,4室2厅 | 139.23平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 17天以前发布,175,"12,570元/平"
万科大都会二期云栖 3室2厅 南 北,万科大都会二期云栖 -西咸,3室2厅 | 130.2平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 17天以前发布,205,"15,746元/平"
万科大都会二期云栖 3室2厅 南,万科大都会二期云栖 -西咸,3室2厅 | 93.25平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 12天以前发布,129.5,"13,888元/平"
圣合家园靖宁小区 2室2厅 东南,圣合家园靖宁小区 -长安,2室2厅 | 78.13平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,108,"13,824元/平"
天朗大兴郡 2室1厅 南,天朗大兴郡 -城西,2室1厅 | 79.1平米 | 南 | 简装 | 中楼层(共27层)  | 板塔结合,2人关注 / 4个月以前发布,111.2,"14,059元/平"
恒大绿洲 3室2厅 南 北,恒大绿洲 -安装四处,3室2厅 | 130.43平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,189,"14,491元/平"
桃苑御景新城 2室2厅 南,桃苑御景新城 -临潼,2室2厅 | 84.65平米 | 南 | 简装 | 中楼层(共6层)  | 平房,2人关注 / 3个月以前发布,40,"4,726元/平"
天马小区(新城区) 3室2厅 南 北,天马小区(新城区) -安装四处,3室2厅 | 125.26平米 | 南 北 | 简装 | 中楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,129,"10,299元/平"
心晴雅苑 3室1厅 南 北,心晴雅苑 -李家村,3室1厅 | 128.36平米 | 南 北 | 简装 | 高楼层(共16层)  | 板塔结合,7人关注 / 4个月以前发布,165,"12,855元/平"
恒大雅苑 2室2厅 南,恒大雅苑 -高陵,2室2厅 | 80.66平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,80,"9,919元/平"
天正花园 3室2厅 南 北,天正花园 -高陵,3室2厅 | 104.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,71,"6,766元/平"
天正银河湾 3室2厅 南,天正银河湾 -高陵,3室2厅 | 109.28平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,6人关注 / 一年前发布,107,"9,792元/平"
龙泉花园(未央) 3室2厅 南 北,龙泉花园(未央) -经开北,3室2厅 | 104.91平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,109,"10,390元/平"
中交一公院家属院 3室2厅 西南,中交一公院家属院 -黄雁村,3室2厅 | 125.09平米 | 西南 | 精装 | 24层  | 塔楼,1人关注 / 2个月以前发布,215,"17,188元/平"
渭城风景 3室2厅 南,渭城风景 -高陵,3室2厅 | 115.7平米 | 南 | 精装 | 中楼层(共15层)  | 塔楼,10人关注 / 4个月以前发布,71,"6,137元/平"
紫薇城市花园 5室3厅 南 北,紫薇城市花园 -城南,5室3厅 | 190.6平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 1个月以前发布,260,"13,642元/平"
车城温泉花园 3室2厅 南,车城温泉花园 -高陵,3室2厅 | 95.36平米 | 南 | 简装 | 6层  | 板塔结合,1人关注 / 3个月以前发布,59.9,"6,282元/平"
北城新天地 2室2厅 南 北,北城新天地 -高陵,2室2厅 | 76.94平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,5人关注 / 1个月以前发布,66.8,"8,683元/平"
紫荆花园 2室2厅 西,紫荆花园 -长安,2室2厅 | 89.1平米 | 西 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 2个月以前发布,110,"12,346元/平"
紫薇城市花园 5室3厅 南 北,紫薇城市花园 -城南,5室3厅 | 190.6平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 1个月以前发布,260,"13,642元/平"
渭城风景 3室2厅 南,渭城风景 -高陵,3室2厅 | 115.7平米 | 南 | 精装 | 中楼层(共15层)  | 塔楼,10人关注 / 4个月以前发布,71,"6,137元/平"
天正银河湾 3室2厅 南 北,天正银河湾 -高陵,3室2厅 | 109.28平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,3人关注 / 一年前发布,99.8,"9,133元/平"
天正花园 3室2厅 南 北,天正花园 -高陵,3室2厅 | 104.94平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,76,"7,243元/平"
兰泰花园 3室2厅 南 北,兰泰花园 -城南,3室2厅 | 102.34平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,196人关注 / 7个月以前发布,96,"9,381元/平"
紫薇田园都市G区 2室1厅 南,紫薇田园都市G区 -紫薇田园都市,2室1厅 | 99.48平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,175,"17,592元/平"
省直机关丰园小区 3室2厅 东北,省直机关丰园小区 -城西,3室2厅 | 99.67平米 | 东北 | 简装 | 高楼层(共32层)  | 板塔结合,29人关注 / 一年前发布,113,"11,338元/平"
庆安颐秀园 3室1厅 南 北,庆安颐秀园 -高新四路,3室1厅 | 81.88平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,146,"17,831元/平"
天地源万熙天地.枫园 3室2厅 南,天地源万熙天地.枫园 -城南,3室2厅 | 94.29平米 | 南 | 毛坯 | 33层  | 板塔结合,3人关注 / 2个月以前发布,183,"19,409元/平"
华城万象 3室2厅 南 北,华城万象 -城南,3室2厅 | 101.46平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,2人关注 / 1个月以前发布,165,"16,263元/平"
唐品A 4室2厅 南 北,唐品A -高陵,4室2厅 | 141.86平米 | 南 北 | 精装 | 18层  | 板楼,1人关注 / 6个月以前发布,78,"5,499元/平"
店子王生态家园 4室2厅 南 北,店子王生态家园 -高陵,4室2厅 | 167.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,66,"3,934元/平"
逸景佲居 3室2厅 南 北,逸景佲居 -高陵,3室2厅 | 103.63平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,95,"9,168元/平"
渭水茗居 3室2厅 南 北,渭水茗居 -高陵,3室2厅 | 97.29平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,5人关注 / 4个月以前发布,94,"9,662元/平"
澜泊湾 2室2厅 南 北,澜泊湾 -临潼,2室2厅 | 43.66平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,5人关注 / 一年前发布,68,"15,575元/平"
橙仕空间 2室2厅 西北,橙仕空间 -高新四路,2室2厅 | 70.06平米 | 西北 | 精装 | 高楼层(共15层)  | 塔楼,85人关注 / 一年前发布,81,"11,562元/平"
华清学府城 2室1厅 西南,华清学府城 -安装四处,2室1厅 | 87.44平米 | 西南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,121,"13,839元/平"
御锦城智慧树 3室2厅 西南,御锦城智慧树 -浐河西路,3室2厅 | 97.69平米 | 西南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 4个月以前发布,152.8,"15,642元/平"
御锦城鹭湾 2室2厅 南 北,御锦城鹭湾 -浐河西路,2室2厅 | 89.02平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,17人关注 / 3个月以前发布,135,"15,166元/平"
文景路15号 3室2厅 南 北,文景路15号 -城北,3室2厅 | 119.32平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,126,"10,560元/平"
恒大雅苑 3室1厅 南,恒大雅苑 -高陵,3室1厅 | 107.18平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,5人关注 / 8个月以前发布,101,"9,424元/平"
五湖名邸西区 2室2厅 南,五湖名邸西区 -雁鸣湖,2室2厅 | 89.67平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,3人关注 / 5个月以前发布,115,"12,825元/平"
泾渭明珠小区 2室1厅 南,泾渭明珠小区 -高陵,2室1厅 | 47.38平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,3人关注 / 6个月以前发布,46.6,"9,836元/平"
智慧新城 2室1厅 南 西,智慧新城 -长安,2室1厅 | 87.76平米 | 南 西 | 精装 | 高楼层(共31层)  | 板塔结合,220人关注 / 3个月以前发布,136,"15,497元/平"
长兴路 3室1厅 南 北,长兴路 -城东,3室1厅 | 72.07平米 | 南 北 | 简装 | 7层  | 板楼,0人关注 / 2个月以前发布,67,"9,297元/平"
檀香园 3室2厅 南,檀香园 -雁鸣湖,3室2厅 | 116.3平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,162人关注 / 一年前发布,122,"10,491元/平"
华侨城108坊 4室2厅 南 北,华侨城108坊 -曲江,4室2厅 | 174.33平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板楼,1人关注 / 2个月以前发布,670,"38,433元/平"
浐灞半岛A5区 2室2厅 南,浐灞半岛A5区 -浐河西路,2室2厅 | 69.18平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,13人关注 / 4个月以前发布,90,"13,010元/平"
省直机关丰园小区 3室2厅 西南,省直机关丰园小区 -城西,3室2厅 | 98.51平米 | 西南 | 简装 | 中楼层(共32层)  | 板塔结合,3人关注 / 1个月以前发布,128,"12,994元/平"
水榭名都 2室2厅 南,水榭名都 -高陵,2室2厅 | 53.31平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,20人关注 / 8个月以前发布,52,"9,755元/平"
龙江秀水园一期 3室2厅 南 北,龙江秀水园一期 -高陵,3室2厅 | 105.01平米 | 南 北 | 简装 | 高楼层(共16层)  | 板塔结合,35人关注 / 11个月以前发布,68,"6,476元/平"
中国临潼石油生活城 3室2厅 南 北,中国临潼石油生活城 -临潼,3室2厅 | 134.08平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,89.9,"6,705元/平"
龙湖紫都城 3室2厅 南 北,龙湖紫都城 -曲江,3室2厅 | 125.06平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,8人关注 / 7个月以前发布,310,"24,789元/平"
万科幸福里 3室2厅 南,万科幸福里 -经开南,3室2厅 | 91.87平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,2人关注 / 4个月以前发布,168,"18,287元/平"
大华曲江公园世家六期 3室2厅 南,大华曲江公园世家六期 -曲江,3室2厅 | 93.76平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,213,"22,718元/平"
华旗东郡 3室2厅 北 东 南,华旗东郡 -城东,3室2厅 | 128.58平米 | 北 东 南 | 毛坯 | 高楼层(共26层)  | 塔楼,16人关注 / 一年前发布,144.5,"11,239元/平"
天正银河湾 4室1厅 南 北,天正银河湾 -高陵,4室1厅 | 105.89平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,105.7,"9,983元/平"
华宇凤凰城 3室2厅 南 北,华宇凤凰城 -西咸,3室2厅 | 99.32平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,13人关注 / 7个月以前发布,116,"11,680元/平"
恒大绿洲 3室2厅 南 北,恒大绿洲 -安装四处,3室2厅 | 124.79平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,5人关注 / 9个月以前发布,172,"13,784元/平"
水岸花城（花半里御书坊） 3室2厅 南 北,水岸花城（花半里御书坊） -高陵,3室2厅 | 125.3平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,95,"7,582元/平"
御锦城云禧 3室2厅 南 北,御锦城云禧 -浐河西路,3室2厅 | 115.35平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 30天以前发布,205,"17,772元/平"
御锦城智慧树 3室2厅 南 北,御锦城智慧树 -浐河西路,3室2厅 | 109.46平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,4人关注 / 5个月以前发布,168,"15,349元/平"
热电小区 3室2厅 南 北,热电小区 -高新六路,3室2厅 | 149.76平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,63人关注 / 一年前发布,125,"8,347元/平"
黄金嘉园 2室1厅 西 北,黄金嘉园 -唐延路,2室1厅 | 80.61平米 | 西 北 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 30天以前发布,113,"14,019元/平"
绿地新里城尔雅公馆 2室2厅 南 北,绿地新里城尔雅公馆 -西咸,2室2厅 | 97平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 28天以前发布,145,"14,949元/平"
旭景新港 2室2厅 东,旭景新港 -城西,2室2厅 | 94.98平米 | 东 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 19天以前发布,118,"12,424元/平"
东泰城市之光北区 2室2厅 南,东泰城市之光北区 -黄雁村,2室2厅 | 84.5平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 30天以前发布,212.5,"25,148元/平"
榕青无界 2室1厅 北,榕青无界 -城南,2室1厅 | 57.03平米 | 北 | 简装 | 低楼层(共28层)  | 塔楼,2人关注 / 25天以前发布,72.8,"12,766元/平"
天正幸福里 2室1厅 北,天正幸福里 -城南,2室1厅 | 63.75平米 | 北 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,92,"14,432元/平"
雅逸新城二期 2室2厅 北 东,雅逸新城二期 -城西,2室2厅 | 82.28平米 | 北 东 | 简装 | 低楼层(共33层)  | 板塔结合,5人关注 / 22天以前发布,86,"10,453元/平"
宏府麒麟山 2室2厅 南 西南,宏府麒麟山 -城西,2室2厅 | 94.92平米 | 南 西南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 31天以前发布,146,"15,382元/平"
保利爱尚里 2室1厅 南,保利爱尚里 -科技六路,2室1厅 | 89.91平米 | 南 | 精装 | 34层  | 板塔结合,0人关注 / 22天以前发布,215,"23,913元/平"
莱安逸境 2室1厅 北,莱安逸境 -高新四路,2室1厅 | 69.69平米 | 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 20天以前发布,107,"15,354元/平"
瑞麟君府-北区 2室2厅 南 北,瑞麟君府-北区 -临潼,2室2厅 | 102.68平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 22天以前发布,93,"9,058元/平"
天正花园 2室2厅 南 北,天正花园 -高陵,2室2厅 | 91.58平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 18天以前发布,59.5,"6,498元/平"
摩登主场 1室1厅 东,摩登主场 -南稍门,1室1厅 | 47.94平米 | 东 | 简装 | 低楼层(共18层)  | 板塔结合,3人关注 / 24天以前发布,66,"13,768元/平"
中铁缤纷南郡 3室1厅 南 北,中铁缤纷南郡 -陕西大会堂,3室1厅 | 124.41平米 | 南 北 | 精装 | 33层  | 板塔结合,0人关注 / 19天以前发布,316,"25,400元/平"
三五零七社区 2室1厅 南,三五零七社区 -城西,2室1厅 | 53.05平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,7人关注 / 27天以前发布,52,"9,803元/平"
曲江龙邸 2室1厅 西,曲江龙邸 -曲江,2室1厅 | 79.99平米 | 西 | 简装 | 高楼层(共33层)  | 板塔结合,3人关注 / 20天以前发布,169,"21,128元/平"
西勘小区 2室1厅 南 北,西勘小区 -曲江,2室1厅 | 60.26平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 20天以前发布,65,"10,787元/平"
恒大城 2室1厅 西南,恒大城 -城西,2室1厅 | 89.56平米 | 西南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 21天以前发布,155,"17,307元/平"
北张家庄 2室2厅 北,北张家庄 -城东,2室2厅 | 65.26平米 | 北 | 简装 | 低楼层(共32层)  | 塔楼,1人关注 / 29天以前发布,64,"9,807元/平"
凯森福景雅苑 1室1厅 北,凯森福景雅苑 -城东,1室1厅 | 42.63平米 | 北 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 27天以前发布,65.9,"15,459元/平"
海璟时代 2室1厅 东南,海璟时代 -经开南,2室1厅 | 106.33平米 | 东南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 23天以前发布,116,"10,910元/平"
灞业大境 1室1厅 南,灞业大境 -安装四处,1室1厅 | 40.99平米 | 南 | 简装 | 低楼层(共33层)  | 塔楼,0人关注 / 25天以前发布,54,"13,174元/平"
魏玛公馆 1室1厅 东北,魏玛公馆 -经开北,1室1厅 | 48.66平米 | 东北 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 25天以前发布,115,"23,634元/平"
春天花园 3室1厅 西,春天花园 -长安,3室1厅 | 101.54平米 | 西 | 精装 | 中楼层(共28层)  | 塔楼,3人关注 / 22天以前发布,116,"11,425元/平"
昆明时光二区 2室2厅 西南,昆明时光二区 -城西,2室2厅 | 91.59平米 | 西南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 21天以前发布,130,"14,194元/平"
昆明花园 1室1厅 北,昆明花园 -高新六路,1室1厅 | 59.43平米 | 北 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 25天以前发布,84,"14,135元/平"
华府新桃园 2室1厅 东 北,华府新桃园 -唐延路,2室1厅 | 68.75平米 | 东 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 25天以前发布,96,"13,964元/平"
恒大名都 2室1厅 东南,恒大名都 -浐河西路,2室1厅 | 84.44平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 19天以前发布,122,"14,449元/平"
长兴路 2室1厅 南,长兴路 -城东,2室1厅 | 58.44平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,53,"9,070元/平"
长兴路 2室1厅 南 北,长兴路 -城东,2室1厅 | 63.22平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,58.5,"9,254元/平"
西安深国投中心 1室1厅 东北,西安深国投中心 -城北,1室1厅 | 53.79平米 | 东北 | 精装 | 中楼层(共29层)  | 塔楼,2人关注 / 24天以前发布,89.7,"16,676元/平"
紫薇田园都市B区 2室2厅 南 北,紫薇田园都市B区 -紫薇田园都市,2室2厅 | 97.49平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 23天以前发布,179,"18,361元/平"
华城国际小区 2室1厅 东南,华城国际小区 -城南,2室1厅 | 81.01平米 | 东南 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 20天以前发布,125,"15,431元/平"
旭景崇盛园 2室2厅 南,旭景崇盛园 -经开北,2室2厅 | 95.8平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,131,"13,675元/平"
天朗御湖 2室1厅 东南 西北,天朗御湖 -经开北,2室1厅 | 86.63平米 | 东南 西北 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 17天以前发布,139,"16,046元/平"
蔚蓝印象 2室1厅 南,蔚蓝印象 -城西,2室1厅 | 93.18平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,120,"12,879元/平"
大丰真境 2室2厅 南,大丰真境 -曲江,2室2厅 | 94.82平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 21天以前发布,195,"20,566元/平"
御锦城繁花里 1室1厅 东北,御锦城繁花里 -浐河西路,1室1厅 | 48.15平米 | 东北 | 简装 | 高楼层(共34层)  | 板楼,1人关注 / 19天以前发布,62,"12,877元/平"
冶金厂西区 2室1厅 南 北,冶金厂西区 -城西,2室1厅 | 68.31平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 30天以前发布,58,"8,491元/平"
新东尚 2室2厅 南,新东尚 -安装四处,2室2厅 | 93.25平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,1人关注 / 20天以前发布,109,"11,690元/平"
陕汽泾渭国际城 2室1厅 南,陕汽泾渭国际城 -高陵,2室1厅 | 66.74平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,62,"9,290元/平"
西安蓝天小区 3室2厅 东 南 北,西安蓝天小区 -安装四处,3室2厅 | 120.8平米 | 东 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 27天以前发布,114,"9,438元/平"
嘉华住宅小区 3室2厅 南 北,嘉华住宅小区 -长安,3室2厅 | 151.15平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 21天以前发布,104,"6,881元/平"
南郊铁路局家属院 2室1厅 东北,南郊铁路局家属院 -城东,2室1厅 | 77.96平米 | 东北 | 简装 | 中楼层(共20层)  | 板塔结合,0人关注 / 31天以前发布,205,"26,296元/平"
水岸东方2期 2室2厅 南 北,水岸东方2期 -半坡立交,2室2厅 | 98.54平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 22天以前发布,136,"13,802元/平"
天伦御城龙脉 3室2厅 南 北,天伦御城龙脉 -城东,3室2厅 | 118.74平米 | 南 北 | 简装 | 中楼层(共34层)  | 塔楼,0人关注 / 20天以前发布,200,"16,844元/平"
华远海蓝城三期 3室2厅 南 北,华远海蓝城三期 -广泰门,3室2厅 | 89.07平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 28天以前发布,179,"20,097元/平"
旭景兴园 3室2厅 西南,旭景兴园 -经开北,3室2厅 | 131.52平米 | 西南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 20天以前发布,169,"12,850元/平"
金地翔悦天下 3室2厅 南 北,金地翔悦天下 -曲江,3室2厅 | 113.88平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 24天以前发布,249,"21,866元/平"
华润二十四城二期 3室1厅 东南,华润二十四城二期 -西咸,3室1厅 | 95.23平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 31天以前发布,159,"16,697元/平"
金泰假日花城 3室2厅 南 北,金泰假日花城 -城南,3室2厅 | 109.93平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 25天以前发布,204.5,"18,603元/平"
大唐世家 3室1厅 南,大唐世家 -城西,3室1厅 | 67.56平米 | 南 | 精装 | 高楼层(共19层)  | 塔楼,4人关注 / 19天以前发布,92,"13,618元/平"
西北电力建设器材总厂家属院 2室1厅 南 北,西北电力建设器材总厂家属院 -纺织城,2室1厅 | 64.87平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 28天以前发布,61.5,"9,481元/平"
华洲城熙悦都 3室2厅 南 北,华洲城熙悦都 -城西,3室2厅 | 129.64平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 28天以前发布,270,"20,827元/平"
中天锦庭 3室2厅 北 南,中天锦庭 -城北,3室2厅 | 78.59平米 | 北 南 | 其他 | 高楼层(共29层)  | 板塔结合,2人关注 / 25天以前发布,159,"20,232元/平"
锦绣天下三期 3室2厅 南 北,锦绣天下三期 -国际港务区,3室2厅 | 89.38平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 27天以前发布,135,"15,105元/平"
云玺华府 3室2厅 东南,云玺华府 -曲江,3室2厅 | 125.7平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 27天以前发布,178,"14,161元/平"
枫林绿洲 2室2厅 东南,枫林绿洲 -高新三小,2室2厅 | 98.46平米 | 东南 | 精装 | 28层  | 塔楼,0人关注 / 18天以前发布,298,"30,267元/平"
金地西沣公元 3室2厅 南,金地西沣公元 -长安,3室2厅 | 110.66平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,278,"25,122元/平"
台北湾北区 2室2厅 西南,台北湾北区 -经开南,2室2厅 | 92.44平米 | 西南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 28天以前发布,122,"13,198元/平"
都市绿洲花园 3室2厅 东南,都市绿洲花园 -城西,3室2厅 | 120.85平米 | 东南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 21天以前发布,135,"11,171元/平"
西窑坊小区 2室1厅 南 北,西窑坊小区 -城东,2室1厅 | 76.08平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 25天以前发布,78,"10,253元/平"
恒大嘉里公馆 3室2厅 南 北,恒大嘉里公馆 -城东,3室2厅 | 137.26平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,127,"9,253元/平"
御锦城鹭湾 2室1厅 西南,御锦城鹭湾 -浐河西路,2室1厅 | 78.07平米 | 西南 | 其他 | 中楼层(共34层)  | 板塔结合,1人关注 / 18天以前发布,120,"15,371元/平"
海璟印象城 2室1厅 南,海璟印象城 -矿山路,2室1厅 | 92.14平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 21天以前发布,125,"13,567元/平"
台北湾北区 3室2厅 东南,台北湾北区 -经开南,3室2厅 | 119.27平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 20天以前发布,169,"14,170元/平"
西安东方漂染厂家属院 2室1厅 南,西安东方漂染厂家属院 -城东,2室1厅 | 62.31平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 27天以前发布,56,"8,988元/平"
保亿风景大院 2室2厅 东 西,保亿风景大院 -城北,2室2厅 | 74.99平米 | 东 西 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 31天以前发布,119,"15,869元/平"
枫林绿洲 4室2厅 南 北,枫林绿洲 -高新三小,4室2厅 | 154.3平米 | 南 北 | 简装 | 17层  | 板楼,2人关注 / 18天以前发布,430,"27,868元/平"
中海·曲江碧林湾 3室2厅 南 北,中海·曲江碧林湾 -曲江,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 29天以前发布,360,"26,471元/平"
浐灞半岛A10区 2室2厅 南,浐灞半岛A10区 -浐河西路,2室2厅 | 89.07平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 25天以前发布,122,"13,698元/平"
魏玛公馆 3室1厅 南 北,魏玛公馆 -经开北,3室1厅 | 87.32平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 19天以前发布,199.8,"22,882元/平"
西材新园小区 2室2厅 南 北,西材新园小区 -城西,2室2厅 | 84.99平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 17天以前发布,79,"9,296元/平"
