标题,开发商,房子信息,发布信息,售价/万,单价
精装修3房 视野开阔 南北通透 省心省力省时间,香榭丽舍 -风景城邦商圈,3室1厅 | 98.62平米 | 南 北 | 精装 | 14层  | 板塔结合,0人关注 / 6天以前发布,83,"8,417元/平"
视野开阔，采光充足，配套设施相当完善，交通便利 。,云开甲第花园 -南徐商圈,2室1厅 | 83.6平米 | 南 | 简装 | 中楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,70,"8,374元/平"
小区坏境典雅，学府路商圈，精装修，楼层好,景阳山庄 -象山街办,3室2厅 | 123.6平米 | 南 北 | 精装 | 中楼层(共15层)  | 塔楼,0人关注 / 1个月以前发布,94,"7,606元/平"
吾悦商圈 好楼层 从未入住 交通配套齐全 价格低,旭辉东壹区 -丁卯商圈,3室2厅 | 114.22平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,5人关注 / 一年前发布,93.5,"8,186元/平"
楼层佳格局好，2房朝南，客厅朝南有阳台。,恒美嘉园西区 -学府路商圈,3室2厅 | 113.54平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,90.5,"7,971元/平"
米山人家在售好房，诚心出售，欢迎咨询。,米山人家 -梦溪商圈,3室1厅 | 130平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,125,"9,616元/平"
青年汇 精装三房  楼层好 拎包入住,2077青年汇 -丁卯商圈,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,3人关注 / 一年前发布,65.5,"7,044元/平"
优山美地13楼 精装修 98平 92万 三房两厅,优山美地花园北区 -象山街办,3室2厅 | 98平米 | 南 | 精装 | 33层  | 板塔结合,10人关注 / 一年前发布,76,"7,756元/平"
中南世纪城三房 楼层佳 户型方正 随时看房,中南世纪城三区 -红豆购物广场商圈,3室2厅 | 112平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 塔楼,5人关注 / 一年前发布,99,"8,840元/平"
南徐核芯万科物业三房两卫精装修118万全屋空调带地暖,万科沁园二期 -南徐商圈,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,10人关注 / 8个月以前发布,105,"8,899元/平"
招商北固湾 真洋房 精装三房 户型通透 保养好拎包入住,招商北固湾 -东吴商圈,3室2厅 | 88.9平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,8人关注 / 7个月以前发布,220,"24,747元/平"
学府路恒美嘉园东区精装修楼层好拎包入住两居室,恒美嘉园东区 -学府路商圈,2室2厅 | 86平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,85.9,"9,989元/平"
品质小区 精装修 楼层好视野宽阔 通透性好,四季金辉 -宝华商圈,3室2厅 | 87平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,6人关注 / 7个月以前发布,92,"10,575元/平"
方正大户型，居住舒适，适合养老,九曲花苑 -宝华商圈,3室2厅 | 136平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,42人关注 / 一年前发布,125,"9,192元/平"
尚海花园 电梯洋房3楼 三房双卫 随时看房,尚海花园（尚海茗苑） -象山街办,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,8人关注 / 8个月以前发布,90,"7,827元/平"
配套设施齐全 交通便利 小区成熟,富兴国际半岛 -丁卯商圈,3室2厅 | 105.29平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,6人关注 / 7个月以前发布,63,"5,984元/平"
江南 雅居乐大开间洋房 精装户型通透 置换诚意出售,雅居乐新乐府 -梦溪商圈,4室2厅 | 146平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,232,"15,891元/平"
边户 三室两厅 南北通透 采光好 无遮挡,世茂云图花园 -官塘商圈,3室2厅 | 116平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 6个月以前发布,86,"7,414元/平"
：美的商圈 中间楼层精装修户型好 光线充足,御桥嘉园 -市政府商圈,3室1厅 | 109平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,67,"6,147元/平"
远洋三期位于官塘和吾悦商圈还有长申*市生活交通方便,远洋香奈城三期 -官塘商圈,3室2厅 | 95平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,6人关注 / 一年前发布,70,"7,369元/平"
此房小区物业好，环境好，人员素养高，高品质小区,孔雀苑 -学府路商圈,3室1厅 | 93平米 | 南 | 简装 | 低楼层(共34层)  | 塔楼,28人关注 / 一年前发布,76.8,"8,259元/平"
孔雀苑 毛坯两房 中间楼层 业主诚心出售,孔雀苑 -学府路商圈,2室2厅 | 81.29平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,1人关注 / 8个月以前发布,63,"7,751元/平"
桃花坞新村四区 3室1厅 南 北,桃花坞新村四区 -梦溪商圈,3室1厅 | 69平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,70,"10,145元/平"
光明南郡 126平 多层洋房 次新小区 全天采光,光明南郡 -风景城邦商圈,3室1厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,91,"7,223元/平"
优山美地温馨2房 精装全年采光 拎包入住 诚心出售,优山美地花园北区 -象山街办,3室1厅 | 87平米 | 南 | 精装 | 18层  | 板塔结合,6人关注 / 一年前发布,66,"7,587元/平"
恒美山庄低密品质小区  此房满五唯一 户型方正 采光好,恒美山庄 -象山街办,2室2厅 | 92平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,80,"8,696元/平"
楼层好 视野宽阔 采光充足 环境好 居住人员素养高,恒泰学府里 -红豆购物广场商圈,4室2厅 | 178平米 | 东南 | 精装 | 低楼层(共25层)  | 暂无数据,14人关注 / 一年前发布,140,"7,866元/平"
吾悦旁洋房大四房，一楼带花园，交通便利,天成·嘉园 -丁卯商圈,4室2厅 | 141平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,182,"12,908元/平"
"房子户型好 ，采光好 环境优美 价格能谈,小区环境",百盛家园 -万达商圈,3室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,112,"7,778元/平"
丁卯横山郡 宣园旁 户型方正 配套齐全 看房方便,路劲·横山郡 -丁卯商圈,4室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,97,"7,405元/平"
此房楼层好 采光好 小区环境好 交通便利...,恒大雅苑 -宝华商圈,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,1人关注 / 5个月以前发布,100,"8,000元/平"
精装修拎包入住小面积 适合老人养老的房子,凤凰家园凤翔苑 -南徐商圈,1室1厅 | 62平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,2人关注 / 25天以前发布,37.8,"6,097元/平"
恒大雅苑湖景房，家电家具齐全，拎包入住。,恒大雅苑 -宝华商圈,3室1厅 | 103平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 24天以前发布,94,"9,127元/平"
学府路一楼带花园洋房，精装修，院子100平,柒星苑 -象山街办,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 22天以前发布,153,"12,967元/平"
房屋精装 户型好 南北通透 家电家具齐全 拎包入住,江南世家 -丁卯商圈,2室2厅 | 94.71平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 17天以前发布,75,"7,919元/平"
中山东路，府学新村，一室新装，无占用,府学新村 -大市口商圈,1室1厅 | 39平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,0人关注 / 28天以前发布,65,"16,667元/平"
新城花园三区精装两室，随时可看66.9平58万,新城花园三区 -三茅宫商圈,2室1厅 | 66.9平米 | 南 | 精装 | 17层  | 板塔结合,1人关注 / 4个月以前发布,56,"8,371元/平"
樾林苑 一楼带院子50平  精装修 三开间朝南 看房随时,碧桂园新城樾林苑 -金山商圈,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,1人关注 / 1个月以前发布,164.8,"13,967元/平"
九华山庄，低密度小区，交通便利，生活便利.拎包入住,九华山庄 -南山商圈,3室1厅 | 97.5平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,9人关注 / 一年前发布,55,"5,642元/平"
宝华山下 仙林东 改善型 大平层 跨居大阳台 急卖,碧桂园翡翠华府 -宝华商圈,4室2厅 | 230.51平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,22人关注 / 一年前发布,268,"11,627元/平"
临湖苑125平米大门口进出方便，楼层好，诚心出,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,6人关注 / 4个月以前发布,85,"6,800元/平"
芷兰湾117.3房2卫，前后湖景房，拎包入住，二次装修,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,73,"6,240元/平"
南京东汤山旁碧桂园凤凰城三房两卫,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 126.5平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,80,"6,325元/平"
碧桂园凤凰城翰林湾翰林湾 户型通透一楼带院子,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 123平米 | 东 东南 南 | 精装 | 低楼层(共33层)  | 塔楼,4人关注 / 一年前发布,95,"7,724元/平"
此房地铁口，湖景柏丽湾，二次自住精装，诚心出售。,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 115.96平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,74,"6,382元/平"
清河湾三室两厅一厨一卫，毛坯。,清河湾 -三茅宫商圈,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共8层)  | 暂无数据,3人关注 / 7个月以前发布,103.3,"8,983元/平"
万科翡翠系列高品质小区 配套完善 出行方便,万科翡翠公园 -市政府商圈,3室1厅 | 114.7平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,14人关注 / 9个月以前发布,129,"11,247元/平"
小区环境好配套设施完善交通出行方便,碧桂园翡翠华府 -宝华商圈,4室2厅 | 143.73平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,43人关注 / 一年前发布,186,"12,941元/平"
近地铁 好楼栋 好楼层 采光好 满二,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室1厅 | 116.03平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,74,"6,378元/平"
小区环境优美内有人工湖出行便利近商场户型方正,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室1厅 | 92.44平米 | 南 | 简装 | 高楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,53,"5,734元/平"
南京城东 星悦湾 精装三房 全天采光 有钥匙,碧桂园凤凰城星悦湾 -碧桂园凤凰城,3室1厅 | 86.89平米 | 东南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 9个月以前发布,57,"6,561元/平"
地跌口 新小区 精装修 ，楼层好，采光佳。,碧桂园凤凰城星悦湾 -碧桂园凤凰城,3室2厅 | 104平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,73,"7,020元/平"
三开间朝南，3房双卫设计，中上好楼层,世茂花园 -句容市区,3室2厅 | 138.81平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 10个月以前发布,92,"6,628元/平"
地铁口 地铁口 经典3房  急售,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室1厅 | 90.42平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,64,"7,079元/平"
亚东紫檀 房屋格局好  毛坯随意装修 物业好 有钥匙,亚东紫檀 -南徐商圈,4室1厅 | 144.3平米 | 南 | 毛坯 | 低楼层(共10层)  | 板楼,6人关注 / 4个月以前发布,142,"9,841元/平"
四开间朝南，离地铁一百米，人流量集中小区,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室1厅 | 92平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,36人关注 / 一年前发布,60,"6,522元/平"
红旗外国语单价总价低1室朝南户型好楼层佳交通便利,老北门 -大市口商圈,2室1厅 | 58.76平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 9个月以前发布,80,"13,615元/平"
永安西区 三房两厅 好楼层 有一个储藏室,永安新城家园西区 -区政府商圈,3室2厅 | 146平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,6人关注 / 8个月以前发布,89,"6,096元/平"
官塘绿苑三区2-1-1-1 82.00m² 57 万,官塘绿苑三区 -官塘商圈,2室1厅 | 82平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,7人关注 / 8个月以前发布,55,"6,708元/平"
美林湾电梯房婚装出售装修很好挺好的一套房子,美林湾五区 -丁卯商圈,2室1厅 | 82平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,46人关注 / 7个月以前发布,45,"5,488元/平"
临湖苑三房一卫 双阳台 业主诚心卖 楼层位置好,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室1厅 | 101.37平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 9个月以前发布,65,"6,413元/平"
优山美地 精装通透大两房 楼层好 采光好 电梯小高诚售,优山美地花园北区 -象山街办,2室2厅 | 86平米 | 南 | 精装 | 11层  | 板塔结合,8人关注 / 一年前发布,68,"7,907元/平"
沃得花园三期 精装两房 户型方正 采光好 配套设施齐全,沃得花园三期 -丁卯商圈,2室1厅 | 89平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,72,"8,090元/平"
生活方便，交通方便，环境优美配套齐全房间布局很好,优山美地花园北区 -象山街办,2室2厅 | 84平米 | 南 | 精装 | 32层  | 板塔结合,1人关注 / 2个月以前发布,66,"7,858元/平"
采光充足，视野宽阔，交通便利，房东急售！！,远洋香奈河畔二期 -官塘商圈,2室2厅 | 75平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,5人关注 / 7个月以前发布,49,"6,534元/平"
园区环境优美     园林景观,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,4人关注 / 一年前发布,68,"4,964元/平"
碧桂园 地铁口133平温馨大三房 近地铁站,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 133平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,4人关注 / 一年前发布,83,"6,241元/平"
南京紫东碧桂园凤凰城大4房拎包入住,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,4室2厅 | 142.14平米 | 东南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,92,"6,473元/平"
此房满两年  格局视野开阔  近地铁 出行方便   宽敞,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.95平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,2人关注 / 9个月以前发布,59.5,"6,543元/平"
南京仙林东后花园 方正户型三房 急售,彩虹城 -宝华商圈,3室2厅 | 82.13平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,12人关注 / 一年前发布,70,"8,524元/平"
楼层好，光线充足，采光无当，户型方正,官塘绿苑二区 -官塘商圈,2室1厅 | 79.8平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,49,"6,141元/平"
南京仙林东后花园 方正户型三房 急售,彩虹城 -宝华商圈,3室2厅 | 82.13平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,12人关注 / 一年前发布,70,"8,524元/平"
凤雅280平毛坯大四房 业主急售好房,碧桂园凤凰城 -碧桂园凤凰城,4室2厅 | 280.93平米 | 东南 | 毛坯 | 中楼层(共29层)  | 塔楼,48人关注 / 一年前发布,140,"4,984元/平"
临湖苑101平米，剩两个月满二，无遮挡，家具家电齐全,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室1厅 | 99平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 31天以前发布,66,"6,667元/平"
柏丽湾精装4房 满二 楼层好，二次装修,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,4室2厅 | 179平米 | 东 南 | 简装 | 31层  | 塔楼,34人关注 / 一年前发布,104,"5,811元/平"
镇江新区镇江丁卯区谷阳路，适宜养老,美林湾二区 -丁卯商圈,2室2厅 | 79.8平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,48,"6,016元/平"
房主诚心出售，好楼层，好位置!,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 119.7平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,3人关注 / 1个月以前发布,76,"6,350元/平"
芷兰湾117平精装3房2厅2卫带车位,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 2个月以前发布,63,"5,385元/平"
房子价格优惠可以小刀，装修好楼层好,天正理想城 -宝华商圈,2室2厅 | 74.28平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,64,"8,617元/平"
南京城东 改善大三房   东边户 离S6地铁50米,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 133.92平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,85,"6,348元/平"
京东紫晶  两居室 配套齐全 带菜场 生活设施齐全,京东紫晶 -宝华商圈,2室1厅 | 55平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,42,"7,637元/平"
碧桂园凤凰城云玺苑 精装 大四房,云玺苑 -碧桂园凤凰城,4室2厅 | 192平米 | 南 | 简装 | 高楼层(共31层)  | 塔楼,3人关注 / 2个月以前发布,145,"7,553元/平"
碧桂园凤凰城 柏丽湾116平 在建S6轻轨 环境优美,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,9人关注 / 一年前发布,69,"5,949元/平"
三茅宫三区 3楼 精装 两房朝南一房朝北有钥匙看房随时,三茅宫三区 -三茅宫商圈,3室2厅 | 88.5平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,105,"11,865元/平"
南京东 凤凰城柏丽湾 近地铁口 户型方正 随时看房,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,4室2厅 | 179.55平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,1人关注 / 2个月以前发布,103.8,"5,782元/平"
此房满五不唯一，有院子，客厅有窗户，税费各付,京岘山38号小区 -梦溪商圈,3室1厅 | 60.06平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,49.8,"8,292元/平"
户型方正房东诚心卖。。。。。，。。。。。。,恒大雅苑 -宝华商圈,3室2厅 | 136平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,2人关注 / 一年前发布,115,"8,456元/平"
地铁口旁，楼层位置好，采光好，精装四房,碧桂园凤凰城星悦湾 -碧桂园凤凰城,3室2厅 | 122平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,68,"5,574元/平"
此房户型方正，格局好 采光充足 交通便利 配套设施齐,永隆城市广场 -丁卯商圈,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,85,"7,871元/平"
凤凰城芷兰湾 三房两卫 边户 中间楼层 低税 随时看房,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117.08平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 一年前发布,66,"5,638元/平"
仙林湖万达旁 精装两室 景观房 采光无遮挡 低总价好房,招商国际E城 -宝华商圈,2室2厅 | 78平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 3个月以前发布,68.5,"8,783元/平"
江山樾 8层电梯洋房 开发商精装修 环境优越 高档小区,碧桂园新城樾林苑 -金山商圈,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,6人关注 / 一年前发布,147,"12,458元/平"
车库！米山人家！三房！家电全留！看中可谈！拎包！,米山人家 -梦溪商圈,3室2厅 | 129.13平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,128,"9,913元/平"
香江世纪名城 3室2厅 生活设施齐全 交通很便利,香江世纪名城 -学府路商圈,3室2厅 | 101.2平米 | 南 | 精装 | 中楼层(共12层)  | 塔楼,2人关注 / 2个月以前发布,91,"8,993元/平"
次新房品质新小区，双阳台南北通风，婚装，拎包入住,阳光城尚海茗苑 -象山街办,4室2厅 | 127平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 6个月以前发布,158,"12,441元/平"
中建大观 电梯洋房  三房双卫 楼层好 采光好 品质小区,中建大观天下南区 -学府路商圈,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,175,"13,462元/平"
金辉芸都尚苑洋房120平125万电梯入户税费各付,金辉芸都尚院 -丁卯商圈,4室2厅 | 120.37平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,125,"10,385元/平"
雅居乐新乐府 滨江板块1楼大露台 三室轻奢精装,雅居乐新乐府 -梦溪商圈,3室2厅 | 95平米 | 东 | 精装 | 低楼层(共15层)  | 板楼,3人关注 / 8个月以前发布,162,"17,053元/平"
精装大四房 小区环境好 房龄新 楼间距大 物业管理好,万科中南翡翠江湾 -红豆购物广场商圈,4室2厅 | 125.78平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,2人关注 / 4个月以前发布,132,"10,495元/平"
三开间朝南，户型方正，采光充足，配套设施齐全,四季经典 -丁卯商圈,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,1人关注 / 一年前发布,79,"6,172元/平"
吾悦旁 上学近 楼层好 采光佳 价格低 看房方便,领东天第 -丁卯商圈,3室1厅 | 104.21平米 | 东南 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,60,"5,758元/平"
吾悦广场 邻居 领东天地 楼层采光好 急卖,领东天第 -丁卯商圈,3室2厅 | 104.21平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,12人关注 / 一年前发布,59,"5,662元/平"
格局好无贷款采光足视野开阔朝南户型方正,花山人家 -宝华商圈,3室2厅 | 102.19平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,9人关注 / 8个月以前发布,46.5,"4,551元/平"
电梯洋房好楼层精装诚售 大润发蝴蝶广场商圈 配套齐,铭庭苑 -大港新区,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,1人关注 / 一年前发布,92,"8,071元/平"
牌湾街精装四室，有车库车位，拎包入住。,牌湾街189号小区 -三茅宫商圈,4室2厅 | 132.66平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,115,"8,669元/平"
江大旁精装三室 楼层采光佳 装修保养好,翰霖苑二期 -学府路商圈,3室1厅 | 91.19平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,73.8,"8,093元/平"
精装修三房，拎包入住，随时看房,天正理想城 -宝华商圈,3室2厅 | 87.99平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 3个月以前发布,85,"9,661元/平"
中南世纪城望江，江景房，空气好。。。,中南世纪城望江 -红豆购物广场商圈,3室2厅 | 133平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,10人关注 / 一年前发布,133,"10,000元/平"
户型方正，适合各个年龄段的人居住,凤坛花园 -宝华商圈,3室2厅 | 101.2平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,25人关注 / 11个月以前发布,42,"4,151元/平"
吾悦商圈  交通便利  房东急卖,秀山美苑 -官塘商圈,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,16人关注 / 一年前发布,46,"5,412元/平"
仙林 万达茂旁 看房方便  有钥匙 随时看房,新城源山 -宝华商圈,3室2厅 | 141.06平米 | 南 | 毛坯 | 4层  | 板楼,29人关注 / 一年前发布,92.5,"6,558元/平"
此房光线充足 格局好 小区配套设施齐全,首创·悦府 -丁卯商圈,4室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,28人关注 / 一年前发布,69,"6,053元/平"
学府路欧尚旁 三室 精装 拎包即住,恒顺尚都花苑 -学府路商圈,3室2厅 | 102平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,94.5,"9,265元/平"
成熟小区 楼层好 配套设施全 拎包入住,2077青年汇 -丁卯商圈,3室2厅 | 93平米 | 南 北 | 精装 | 低楼层(共30层)  | 暂无数据,4人关注 / 7个月以前发布,66,"7,097元/平"
此房格局分布合理，楼层好，视野开阔，采光充足,雅居乐新乐府 -梦溪商圈,3室1厅 | 108平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 8个月以前发布,150,"13,889元/平"
精装修，婚房，居住少，户型赞，视野好,领东天第 -丁卯商圈,3室2厅 | 107平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,82,"7,664元/平"
江山名洲精装修设全拎包入住多层电梯洋房,江山名洲 -红豆购物广场商圈,3室2厅 | 92.46平米 | 南 | 精装 | 8层  | 板塔结合,15人关注 / 10个月以前发布,117.5,"12,709元/平"
中南世纪城大三期毛坯房楼层好采光俱佳业主急售,中南世纪城三区 -红豆购物广场商圈,3室2厅 | 139.9平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 塔楼,2人关注 / 一年前发布,135,"9,650元/平"
润城御珑湖 中叠 精装三开间南 拎包可住 好房诚售！,润城御珑湖 -南徐商圈,3室2厅 | 180平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,16人关注 / 7个月以前发布,320,"17,778元/平"
学府路上 生活方便 交通便利 成熟生活小区 ，,恒美嘉园西区 -学府路商圈,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,79,"6,930元/平"
花山湾新村六区 2室1厅 南,花山湾新村六区 -梦溪商圈,2室1厅 | 65.02平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,4人关注 / 7个月以前发布,58.8,"9,044元/平"
富润华庭三区 2室2厅1厨1卫 楼层好视野好,富润华庭三区 -市政府商圈,2室2厅 | 82平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,12人关注 / 一年前发布,48,"5,854元/平"
70年产权公寓民用水电，诚心出售,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,1室1厅 | 50.38平米 | 南 | 简装 | 中楼层(共29层)  | 塔楼,1人关注 / 1个月以前发布,28.5,"5,658元/平"
银河之都东苑 小区环境好  适合居住,银河之都东苑 -句容市区,3室1厅 | 89.34平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,65,"7,276元/平"
宝华花园1楼位置好简单装修可以正常住看房方便,宝华花园 -宝华商圈,2室1厅 | 58平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,42.6,"7,345元/平"
