标题,开发商,房子信息,发布信息,售价/万,单价
安德门商圈 银城物业 交通便利 楼层采光无遮挡,时光澔韵 -小行,3室2厅 | 113.54平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,420,"36,992元/平"
急售 富力尚悦居 通透全明户型  自住精装地暖 好楼层,富力尚悦居一期 -板桥,3室2厅 | 99.65平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,26人关注 / 6个月以前发布,238,"23,884元/平"
明发二期 江景房 满五唯一地铁口 中上楼层 采光好,明发滨江新城二期 -桥北,3室2厅 | 120.09平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,24人关注 / 5个月以前发布,250,"20,818元/平"
南京南站 南部新城 万科物业次新房 业主诚售看房方便,万科九都荟 -岔路口,3室1厅 | 121.43平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,22人关注 / 6个月以前发布,578,"47,600元/平"
南部新城  大明路 市中医院  精装修 拎包入住,风光里一期 -洪家园,2室1厅 | 51.27平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,158,"30,818元/平"
百家湖湖景房，地铁口，楼层可观湖景,百家湖国际花园 -百家湖,2室1厅 | 103.74平米 | 西南 西 | 简装 | 高楼层(共31层)  | 塔楼,25人关注 / 4个月以前发布,240,"23,135元/平"
云南路 五条巷 二楼 精装修好房 看房方便,五条巷小区 -湖南路,2室1厅 | 55.32平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,219,"39,588元/平"
万裕龙庭水岸 2017年交付 东边户 精装修 带墙暖 急售,万裕龙庭水岸 -江宁大学城,3室2厅 | 97.24平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,64人关注 / 5个月以前发布,209,"21,494元/平"
钟英 全明边户 非顶楼 不临街 慧园街 火瓦巷,王府园小区 -升州路,2室1厅 | 52.04平米 | 东 南 西 北 | 精装 | 高楼层(共7层)  | 板楼,42人关注 / 5个月以前发布,266,"51,115元/平"
满五年 户型好 位置好 银城物业 采光好,长阳花园 -龙江,3室2厅 | 117.42平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,85人关注 / 5个月以前发布,688,"58,594元/平"
钟英新街口洪武路火瓦巷实际面积大7平精装修急卖,火瓦巷 -新街口,2室1厅 | 46.39平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,258,"55,616元/平"
新街口洪武路火瓦巷一楼带院 单位房改房 业主诚售,火瓦巷26-3号 -新街口,3室1厅 | 63.15平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,9人关注 / 一年前发布,322,"50,990元/平"
百家湖商圈 近3号线和1号线 河景三房 精装修 中间楼层,天秀湾花园 -百家湖,3室2厅 | 131.04平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,9人关注 / 2个月以前发布,328,"25,031元/平"
诚心急卖 朗诗三恒 一线江景 户型好 随时看 满两年,金象朗诗红树林 -桥北,3室2厅 | 118.85平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,5人关注 / 3个月以前发布,369,"31,048元/平"
400平米大露台，电梯房2021年精装修，三号线地铁口,百家湖国际花园 -百家湖,3室1厅 | 104.49平米 | 西北 | 精装 | 低楼层(共28层)  | 塔楼,145人关注 / 一年前发布,270,"25,840元/平"
高尔夫新上三房精装五十万几乎未住拎包入住采光不影响,高尔夫国际花园 -百家湖,3室1厅 | 102.24平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,191人关注 / 4个月以前发布,309,"30,224元/平"
武夷绿洲 电梯3房2卫 居家装修 户型方正  业主急售哦,武夷绿洲观竹苑 -科学园,3室1厅 | 117.37平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,16人关注 / 2个月以前发布,330,"28,117元/平"
户型方正 中高楼层 业主诚心出售,天润城第十街区 -桥北,3室2厅 | 89.66平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,8人关注 / 5个月以前发布,186,"20,746元/平"
弘阳广场  中间楼层采光好装修50万 中间楼栋不临街,弘阳旭日上城三区 -桥北,3室2厅 | 107.72平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,4人关注 / 1个月以前发布,275,"25,530元/平"
扬子江隧道口  江北新区健康城 大三居 满五年,阳光帝景 -顶山街道,3室2厅 | 126.05平米 | 南 北 西 | 简装 | 低楼层(共18层)  | 板楼,21人关注 / 7个月以前发布,279,"22,135元/平"
房主急售   楼层好 近地铁 配套好,宏普捷座 -兴隆大街,2室2厅 | 49.4平米 | 北 | 精装 | 中楼层(共22层)  | 板塔结合,16人关注 / 一年前发布,218,"44,130元/平"
科利华 2000年左右 独立小区 有院子 可停车 玄武湖边,大树根 -玄武门,3室2厅 | 97平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,13人关注 / 一年前发布,580,"59,794元/平"
左邻右里 精装修 九层洋房 带电梯 诚售,左邻右里 -岔路口,3室2厅 | 118.22平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,34人关注 / 6个月以前发布,380,"32,144元/平"
急云锦美地碧云居 低楼层 两房两厅 小区中间 采光很好,云锦美地碧云居 -南湖,2室2厅 | 87.01平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,250人关注 / 8个月以前发布,389,"44,708元/平"
华侨城洋房 总高6层 中上层 精装带地暖 拎包住,华侨城翡翠天域 -栖霞其它,4室2厅 | 132.25平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,300,"22,685元/平"
东方城樱驼花园满五 带车位 带地下室 精装修,樱海公寓 -樱驼花园,3室1厅 | 75.47平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,62人关注 / 一年前发布,208,"27,561元/平"
九龙湖精装修三房，跃层户型，业主诚售,九龙湖别墅 -九龙湖,3室2厅 | 156.76平米 | 南 | 精装 | 5层  | 板楼,31人关注 / 4个月以前发布,439,"28,005元/平"
大学城，大三房两卫 ，地铁，户型通透方正双阳台,方山熙园 -江宁大学城,3室1厅 | 134.1平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,18人关注 / 一年前发布,240,"17,898元/平"
楼层好，视野开阔，采光充足，配套设施齐全，交通便利,莲花新城北苑 -油坊桥,3室1厅 | 87.87平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,12人关注 / 5个月以前发布,220,"25,037元/平"
此房 南北通透格局 楼层好 视野开阔 婚装修,新城香悦澜山 -仙林,4室2厅 | 120.18平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,28人关注 / 一年前发布,480,"39,941元/平"
江北新区隧道口 小高层 环境新 精装江与城,江与城 -顶山街道,3室2厅 | 97.49平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 2个月以前发布,372,"38,158元/平"
南北通透格局 楼层好 采光好 交通方便 三楼,三九五九巷 -南湖,2室1厅 | 52.96平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,87人关注 / 3个月以前发布,167,"31,534元/平"
精装修婚房 电梯洋房 南北通透 业主急售 随时可看,骋望骊都 -江宁大学城,3室2厅 | 106.77平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,24人关注 / 一年前发布,208,"19,482元/平"
此房满两年，户型规整通透，小区环境优越,招商雍和府 -奥南,3室2厅 | 88.99平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,13人关注 / 3个月以前发布,410,"46,073元/平"
双南一北 非顶楼 低总价 产证齐全 纯毛坯,秣陵路 -新街口,3室1厅 | 71.39平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,147人关注 / 6个月以前发布,175,"24,514元/平"
银河湾紫苑三房 居家住 看房有钥匙,银河湾紫苑 -麒麟镇,3室1厅 | 104.35平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 1个月以前发布,230.5,"22,090元/平"
楼栋位置好，双卧朝南，采光不影响，业主诚心出售,锁石苑 -麒麟镇,3室1厅 | 88.09平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,11人关注 / 4个月以前发布,121.5,"13,793元/平"
银城花园北片  中间楼层三房  采光好 全明户型 精装修,银城花园北片 -龙江,3室1厅 | 79.56平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,355,"44,621元/平"
两房朝南 满五年 低楼层东边户 双阳台 有钥匙 急卖,黄埔花园 -后宰门,3室1厅 | 102.06平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,378,"37,038元/平"
中间楼层 通透三房 不临街 安静,莫愁东寓 -水西门,3室1厅 | 79.72平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 1个月以前发布,269,"33,744元/平"
采光好，是东边户，，商场便利，交通便利,露园 -茶南,2室1厅 | 56.98平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,14人关注 / 11个月以前发布,200,"35,101元/平"
地铁11号线  花园洋房 无浪费面积  满2年 精装修 急卖,大华锦绣华城阅江山 -桥北,3室2厅 | 106.25平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 1个月以前发布,371,"34,918元/平"
双南两房，户型好，中间楼层，采光好,莫愁新寓郁金里 -汉中门大街,2室1厅 | 60.26平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,23人关注 / 4个月以前发布,212,"35,181元/平"
正荣润峯 满两年 精装修 三线地铁 中间楼层 采光佳,正荣润峯 -奥南,3室2厅 | 99.13平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,22人关注 / 10个月以前发布,550,"55,483元/平"
中航樾公馆 次新房 一天未出租开发商精装修,中航樾公馆 -东山镇,3室1厅 | 87.82平米 | 南 | 精装 | 中楼层(共36层)  | 塔楼,33人关注 / 5个月以前发布,206,"23,458元/平"
科创园精装小三房 三开间朝南 拎包入住 诚心急售,启迪方洲智园 -麒麟科创园,3室1厅 | 86.32平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,7人关注 / 2个月以前发布,220,"25,487元/平"
精装30万 高楼层家具家电全颂 视野开阔,启迪方洲智园 -麒麟科创园,3室1厅 | 86.32平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,9人关注 / 2个月以前发布,212,"24,560元/平"
此房有钥匙看房方便  另有一十平方地下室,花神美境 -宁南,3室2厅 | 107.96平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,83人关注 / 一年前发布,419,"38,811元/平"
此房满两年，没有增值随，南北小四房，业主国外换房,银城一方山 -江宁大学城,4室2厅 | 89.95平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,35人关注 / 5个月以前发布,238,"26,460元/平"
中海简装四房，价格惊喜，可遇不可求！,中海万锦熙岸一期 -江浦街道,4室2厅 | 139.47平米 | 东南 | 简装 | 高楼层(共18层)  | 板楼,44人关注 / 一年前发布,280,"20,077元/平"
南北朝向  顶跃带阁楼  10年商品房 诚心卖,兰亭雅苑 -迈皋桥,3室2厅 | 82.9平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,240,"28,951元/平"
三牌楼大街 湖南路 新模范马路 马台街 天福园,天福园 -湖南路,3室2厅 | 137.16平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,558,"40,683元/平"
长江隧道口 润江城 使用率高 户型好 高楼层 江景房,正荣润江城 -顶山街道,3室2厅 | 88.19平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,10人关注 / 1个月以前发布,330,"37,420元/平"
百家湖商圈 近3号线和1号线 河景三房 精装修 中间楼层,天秀湾花园 -百家湖,3室2厅 | 131.04平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,9人关注 / 2个月以前发布,328,"25,031元/平"
武夷绿洲 电梯3房2卫 居家装修 户型方正  业主急售哦,武夷绿洲观竹苑 -科学园,3室1厅 | 117.37平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,16人关注 / 2个月以前发布,330,"28,117元/平"
银城汇文 小区中间观景位置  户型通透采光好有地下室x,长阳花园 -龙江,3室2厅 | 103.72平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,12人关注 / 8个月以前发布,672,"64,790元/平"
南北朝向  顶跃带阁楼  10年商品房 诚心卖,兰亭雅苑 -迈皋桥,3室2厅 | 82.9平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,240,"28,951元/平"
诚心急卖 朗诗三恒 一线江景 户型好 随时看 满两年,金象朗诗红树林 -桥北,3室2厅 | 118.85平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,5人关注 / 3个月以前发布,369,"31,048元/平"
中航樾公馆 次新房 一天未出租开发商精装修,中航樾公馆 -东山镇,3室1厅 | 87.82平米 | 南 | 精装 | 中楼层(共36层)  | 塔楼,33人关注 / 5个月以前发布,206,"23,458元/平"
大光路地铁口 楼龄新 采光好 挑高户型 买一层用两层,瑞鑫兰庭 -大光路,2室1厅 | 56.08平米 | 西 | 精装 | 中楼层(共16层)  | 板塔结合,103人关注 / 6个月以前发布,270,"48,146元/平"
急云锦美地碧云居 低楼层 两房两厅 小区中间 采光很好,云锦美地碧云居 -南湖,2室2厅 | 87.01平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,250人关注 / 8个月以前发布,389,"44,708元/平"
南北通透格局 楼层好 采光好 交通方便 三楼,三九五九巷 -南湖,2室1厅 | 52.96平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,87人关注 / 3个月以前发布,167,"31,534元/平"
精装修婚房 电梯洋房 南北通透 业主急售 随时可看,骋望骊都 -江宁大学城,3室2厅 | 106.77平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,24人关注 / 一年前发布,208,"19,482元/平"
位置好  交通方便   视野宽阔  全明户型,九莲塘 -常府街,3室1厅 | 70.04平米 | 东 南 北 | 精装 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,206,"29,412元/平"
此房有钥匙看房方便  另有一十平方地下室,花神美境 -宁南,3室2厅 | 107.96平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,83人关注 / 一年前发布,419,"38,811元/平"
此房满两年，没有增值随，南北小四房，业主国外换房,银城一方山 -江宁大学城,4室2厅 | 89.95平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,35人关注 / 5个月以前发布,238,"26,460元/平"
地铁11号线  花园洋房 无浪费面积  满2年 精装修 急卖,大华锦绣华城阅江山 -桥北,3室2厅 | 106.25平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 1个月以前发布,371,"34,918元/平"
中海简装四房，价格惊喜，可遇不可求！,中海万锦熙岸一期 -江浦街道,4室2厅 | 139.47平米 | 东南 | 简装 | 高楼层(共18层)  | 板楼,44人关注 / 一年前发布,280,"20,077元/平"
此房满两年，户型规整通透，小区环境优越,招商雍和府 -奥南,3室2厅 | 88.99平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,13人关注 / 3个月以前发布,410,"46,073元/平"
业主诚心出售 电梯洋房满五唯一 精装修边户,朗诗青春街区 -禄口,3室2厅 | 86.61平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,7人关注 / 1个月以前发布,119.8,"13,833元/平"
三牌楼大街 湖南路 新模范马路 马台街 天福园,天福园 -湖南路,3室2厅 | 137.16平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,558,"40,683元/平"
科创园精装小三房 三开间朝南 拎包入住 诚心急售,启迪方洲智园 -麒麟科创园,3室1厅 | 86.32平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,7人关注 / 2个月以前发布,220,"25,487元/平"
精装30万 高楼层家具家电全颂 视野开阔,启迪方洲智园 -麒麟科创园,3室1厅 | 86.32平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,9人关注 / 2个月以前发布,212,"24,560元/平"
采光好，是东边户，，商场便利，交通便利,露园 -茶南,2室1厅 | 56.98平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,14人关注 / 11个月以前发布,200,"35,101元/平"
扬子江隧道口  江北新区健康城 大三居 满五年,阳光帝景 -顶山街道,3室2厅 | 126.05平米 | 南 北 西 | 简装 | 低楼层(共18层)  | 板楼,21人关注 / 7个月以前发布,279,"22,135元/平"
钟英新街口洪武路火瓦巷实际面积大7平精装修急卖,火瓦巷 -新街口,2室1厅 | 46.39平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,258,"55,616元/平"
新街口洪武路火瓦巷一楼带院 单位房改房 业主诚售,火瓦巷26-3号 -新街口,3室1厅 | 63.15平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,9人关注 / 一年前发布,322,"50,990元/平"
房主急售   楼层好 近地铁 配套好,宏普捷座 -兴隆大街,2室2厅 | 49.4平米 | 北 | 精装 | 中楼层(共22层)  | 板塔结合,16人关注 / 一年前发布,218,"44,130元/平"
科利华 2000年左右 独立小区 有院子 可停车 玄武湖边,大树根 -玄武门,3室2厅 | 97平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,13人关注 / 一年前发布,580,"59,794元/平"
户型方正 中高楼层 业主诚心出售,天润城第十街区 -桥北,3室2厅 | 89.66平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,8人关注 / 5个月以前发布,186,"20,746元/平"
弘阳广场  中间楼层采光好装修50万 中间楼栋不临街,弘阳旭日上城三区 -桥北,3室2厅 | 107.72平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,4人关注 / 1个月以前发布,275,"25,530元/平"
银河湾紫苑三房 居家住 看房有钥匙,银河湾紫苑 -麒麟镇,3室1厅 | 104.35平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 1个月以前发布,230.5,"22,090元/平"
银城花园北片  中间楼层三房  采光好 全明户型 精装修,银城花园北片 -龙江,3室1厅 | 79.56平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,355,"44,621元/平"
两房朝南 满五年 低楼层东边户 双阳台 有钥匙 急卖,黄埔花园 -后宰门,3室1厅 | 102.06平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,378,"37,038元/平"
双南一北 非顶楼 低总价 产证齐全 纯毛坯,秣陵路 -新街口,3室1厅 | 71.39平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,147人关注 / 6个月以前发布,175,"24,514元/平"
楼栋位置好，双卧朝南，采光不影响，业主诚心出售,锁石苑 -麒麟镇,3室1厅 | 88.09平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,11人关注 / 4个月以前发布,121.5,"13,793元/平"
中间楼层 通透三房 不临街 安静,莫愁东寓 -水西门,3室1厅 | 79.72平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 1个月以前发布,269,"33,744元/平"
双南两房，户型好，中间楼层，采光好,莫愁新寓郁金里 -汉中门大街,2室1厅 | 60.26平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,23人关注 / 4个月以前发布,212,"35,181元/平"
花漾紫郡 105平复式 环境优美 物业贴心 户型方正,新城花漾紫郡 -高新区,4室2厅 | 105.79平米 | 南 | 简装 | 中楼层(共19层)  | 板楼,5人关注 / 2个月以前发布,250,"23,632元/平"
正荣润峯 满两年 精装修 三线地铁 中间楼层 采光佳,正荣润峯 -奥南,3室2厅 | 99.13平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,22人关注 / 10个月以前发布,550,"55,483元/平"
含车位 湖景三房 好楼层 业主诚心出售 看房方便,朗诗玲珑屿 -百家湖,3室2厅 | 84.58平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,9人关注 / 4个月以前发布,399,"47,175元/平"
朗诗未来街区 二期 精装拎包入住  满两年  看房随时,朗诗未来街区二期 -高新区,3室1厅 | 73.32平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,15人关注 / 5个月以前发布,178,"24,278元/平"
钟山府 仙鹤门地铁站 次顶楼 采光视野佳 诚心出售,奥克斯钟山府 -仙鹤门,3室2厅 | 88.49平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,6人关注 / 1个月以前发布,330,"37,293元/平"
万科三房精装带地暖 满五唯一 中间楼层 采光视野俱佳,万科金域蓝湾 -九龙湖,3室2厅 | 113.8平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,33人关注 / 一年前发布,430,"37,786元/平"
中间楼层 采光不挡 位置优越 看房方便 配套齐全,清江花苑清风园 -定淮门大街,3室1厅 | 86.33平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 7个月以前发布,490,"56,759元/平"
清凉门小区 精装两房 不占  全明户型 有钥匙随时看,清凉门小区 -龙江,2室1厅 | 44.38平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,349,"78,640元/平"
高楼层 房本满2 视野好 户型方正 银城物业,银城蓝溪郡 -正方新城,3室1厅 | 87.52平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,11人关注 / 4个月以前发布,140,"15,997元/平"
此房满五年50万精装修楼层好采光充足南北通透大三房,麒麟山庄 -麒麟镇,3室2厅 | 142.7平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,20人关注 / 6个月以前发布,288,"20,183元/平"
湖南路商圈 品质楼盘  位置好楼层好 准地铁口,虎啸花园 -水佐岗,2室2厅 | 99.04平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,45人关注 / 一年前发布,468,"47,254元/平"
店长力推+仁恒四房+精装交付+诚心出售+随时看房,仁恒绿洲新岛水木园 -江心洲,4室2厅 | 138.63平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,7人关注 / 2个月以前发布,645,"46,527元/平"
急！满五唯一！精装好楼层！得房率93%,保利梧桐语花园 -江宁大学城,3室2厅 | 83.78平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,20人关注 / 一年前发布,210,"25,066元/平"
精装修 带阁楼 稀有挑高客厅 阔绰空间 边户通透,中南世纪雅苑 -马群,3室1厅 | 93.74平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,19人关注 / 3个月以前发布,208,"22,190元/平"
湖景房，交通便利，小区环境适宜，配套齐全。,文化名园 -百家湖,3室2厅 | 119.2平米 | 南 | 简装 | 高楼层(共11层)  | 塔楼,17人关注 / 8个月以前发布,326,"27,349元/平"
小区环境优美 视野开阔 此房生活起居方便，采光好,翠屏湾花园城 -将军大道,2室2厅 | 92平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,17人关注 / 24天以前发布,165,"17,935元/平"
复式、得房率高、民用水电通燃气！,东郊小镇第八街区 -麒麟镇,2室1厅 | 41.03平米 | 西北 | 精装 | 中楼层(共9层)  | 板塔结合,2人关注 / 25天以前发布,73,"17,792元/平"
满二年 好楼层 前后无遮挡 换房诚心出售 正南正北,正荣润锦城 -顶山街道,3室2厅 | 87.77平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,2人关注 / 22天以前发布,297,"33,839元/平"
正规小区 中间楼层西边户 小桃园旁 双地铁,察哈尔路67号 -挹江门,1室1厅 | 41.6平米 | 南 | 其他 | 中楼层(共7层)  | 平房,1人关注 / 19天以前发布,125,"30,049元/平"
河西新城双本  万科光明城市  万科物业,万科光明城市西苑 -奥体,2室1厅 | 92.95平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,14人关注 / 21天以前发布,480,"51,641元/平"
新出小两房 满五年唯一 电梯房 非顶楼 诚心出售,华阳佳园华彩苑 -凤凰西街,2室1厅 | 50.45平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,3人关注 / 29天以前发布,228,"45,194元/平"
赤壁路  低总价2房  小区出过新 满五年唯一 全明户型,老菜市 -水佐岗,2室1厅 | 46.59平米 | 东 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 29天以前发布,156,"33,484元/平"
户型方正通透，精装2楼地下室6平，楼层采光好有钥匙,博学苑丹桂园 -江宁大学城,2室1厅 | 63平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 24天以前发布,123,"19,524元/平"
南北通透，楼层好，视野宽阔，采光充足,玉兰小区 -宁南,2室1厅 | 48.81平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 20天以前发布,230,"47,122元/平"
此房满二 精装修 南北通透 布局合理 视野采光好,怡景园 -青龙山国际新城,3室1厅 | 90.43平米 | 南 北 | 其他 | 中楼层(共22层)  | 塔楼,0人关注 / 28天以前发布,154,"17,030元/平"
景福家园 2室1厅 南,景福家园 -桥北,2室1厅 | 95.61平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 17天以前发布,125,"13,074元/平"
满五唯一  海峡城二期精装大两房 户型方正 诚心卖,海峡城云璟湾 -奥南,2室2厅 | 85.59平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,5人关注 / 20天以前发布,390,"45,567元/平"
此房满二 精装修 南北通透 布局合理 视野采光好,怡景园 -青龙山国际新城,3室1厅 | 90.43平米 | 南 北 | 其他 | 中楼层(共22层)  | 塔楼,0人关注 / 28天以前发布,154,"17,030元/平"
九龙湖刚需福利  学习方便地铁 朗诗物业 满五唯一,合家春天 -九龙湖,2室1厅 | 76.06平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 25天以前发布,209,"27,479元/平"
南北通透，楼层好，视野宽阔，采光充足,玉兰小区 -宁南,2室1厅 | 48.81平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 20天以前发布,230,"47,122元/平"
此房双南户型，万科物业，小区环境优美目前在售仅4套,文化名园 -百家湖,2室1厅 | 85.38平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,5人关注 / 21天以前发布,275,"32,209元/平"
租赁车位居家装修 南北通透两居室 看房方便提前约,安民村 -南苑,2室1厅 | 57.32平米 | 南 西北 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 18天以前发布,175,"30,531元/平"
弘阳物业！采光好！南北通透两房！诚心出售！,天润城第九街区 -桥北,2室1厅 | 81.7平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 21天以前发布,149,"18,238元/平"
户型方正 简单装修 业主诚心卖 看房方便,祈泽佳苑 -江宁其它,2室1厅 | 67.19平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,4人关注 / 20天以前发布,110,"16,372元/平"
诚售！隧道口 雅居乐改善大四房前后视野好 随时可看,雅居乐滨江国际二期 -顶山街道,4室2厅 | 194.86平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,2人关注 / 27天以前发布,672,"34,487元/平"
精装修，楼层好，全天采光，无遮挡，视野开阔,弘阳旭日上城二区 -桥北,2室2厅 | 69.04平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,2人关注 / 27天以前发布,159,"23,031元/平"
居家两房 东大地铁口 采光好 自住保养好 配套成熟,泰来苑 -泰山街道,2室2厅 | 87.73平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 24天以前发布,128,"14,591元/平"
采光好 配套齐全 交通便利 业主诚心出售,莺虹苑 -秦虹,2室1厅 | 53.62平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 25天以前发布,145,"27,043元/平"
鲁能公馆经典B2小三房  高楼层  非顶楼,鲁能公馆 -奥南,3室2厅 | 86.24平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,6人关注 / 18天以前发布,465,"53,920元/平"
满五唯一 精装两房 保养新 双南双阳台 户型佳 诚售,天润城 -桥北,2室2厅 | 96.4平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 28天以前发布,170,"17,635元/平"
