标题,开发商,房子信息,发布信息,售价/万,单价
御璟城市花园 3室2厅 南 北,御璟城市花园 -榆次区,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,100,"8,334元/平"
万科 · 郎润园二期 4室2厅 南 北,万科 · 郎润园二期 -榆次区,4室2厅 | 180平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,200,"11,112元/平"
迎宾合作住宅区 4室2厅 南 北,迎宾合作住宅区 -榆次区,4室2厅 | 168平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,95,"5,655元/平"
泽盛苑 3室2厅 南 北,泽盛苑 -榆次区,3室2厅 | 135.82平米 | 南 北 | 精装 | 低楼层(共15层)  | 塔楼,0人关注 / 3个月以前发布,88,"6,480元/平"
金色豪庭 3室2厅 南 北,金色豪庭 -榆次区,3室2厅 | 137.58平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,1人关注 / 4个月以前发布,100,"7,269元/平"
华美小区 5室3厅 北 南,华美小区 -榆次区,5室3厅 | 187平米 | 北 南 | 其他 | 低楼层(共3层)  | 暂无数据,6人关注 / 一年前发布,285,"15,241元/平"
书林世家 3室2厅 北 南,书林世家 -榆次区,3室2厅 | 119平米 | 北 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,125,"10,505元/平"
金润园西区 2室2厅 南 北,金润园西区 -榆次区,2室2厅 | 96平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 7个月以前发布,70,"7,292元/平"
新晋府 3室2厅 南 北,新晋府 -榆次区,3室2厅 | 146.75平米 | 南 北 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 5个月以前发布,121,"8,246元/平"
龙湖大街万达广场北晨峰景精装三居室南北通透大红本,北晨峰景 -榆次区,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,8人关注 / 一年前发布,88,"7,334元/平"
大学城理工大首创国际学园B区精装三居，北大培文,首创国际学园B区 -榆次区,3室2厅 | 136平米 | 东南 南 北 | 其他 | 低楼层(共17层)  | 板楼,4人关注 / 一年前发布,100,"7,353元/平"
紫东国际西区 3室2厅 南 北,紫东国际西区 -榆次区,3室2厅 | 131平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 7个月以前发布,94,"7,176元/平"
保利·壹号公馆 4室2厅 南 北,保利·壹号公馆 -榆次区,4室2厅 | 137.28平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,118,"8,596元/平"
金润园西区 3室2厅 南 北,金润园西区 -榆次区,3室2厅 | 137平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,110,"8,030元/平"
福晋小区 3室2厅 南 北,福晋小区 -榆次区,3室2厅 | 138平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,75,"5,435元/平"
金华小区3-2-1-2 143.00m² 99.8 万,金华小区 -榆次区,3室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,83,"5,805元/平"
临榆次老城，市政府百货大楼，地下商场精装小三居出售,榆次区政府南院宿舍 -榆次区,3室2厅 | 80平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,45,"5,625元/平"
泰悦豪庭 简装出售  低层出售,泰悦豪庭小区 -榆次区,3室2厅 | 121平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,1人关注 / 一年前发布,107,"8,843元/平"
金润园西区，好楼层，精装修，公摊面积小,金润园西区 -榆次区,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,114,"8,445元/平"
兰田传奇 3室2厅 南 北,兰田传奇 -榆次区,3室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,72,"7,273元/平"
晋中建设局宿舍 3室2厅 南 北,晋中建设局宿舍 -榆次区,3室2厅 | 129平米 | 南 北 | 其他 | 低楼层(共19层)  | 暂无数据,0人关注 / 一年前发布,83,"6,435元/平"
翰林苑 3室2厅 南 北,翰林苑 -榆次区,3室2厅 | 104.7平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,75,"7,164元/平"
田森嘉园B区 3室2厅 南 北,田森嘉园B区 -榆次区,3室2厅 | 173平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,110,"6,359元/平"
顶层带阁楼 带露台 宽大四居  格局好精装   拎包入住,天星锦苑 -榆次区,5室3厅 | 197平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,320,"16,244元/平"
辰兴·雅郡 3室2厅 南 北,辰兴·雅郡 -榆次区,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,5人关注 / 11个月以前发布,131,"9,633元/平"
天星锦苑 3室2厅 南 北,天星锦苑 -榆次区,3室2厅 | 156平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,180,"11,539元/平"
德御园小区 4室2厅 南 北,德御园小区 -榆次区,4室2厅 | 172.78平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,115,"6,656元/平"
新晋世家 3室2厅 南 北,新晋世家 -榆次区,3室2厅 | 123平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 5个月以前发布,103,"8,374元/平"
文苑街书林世家电梯房带地下室看房提前预约,书林世家三期 -榆次区,3室2厅 | 132平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,108,"8,182元/平"
文苑街晋中碧桂园南区精装四居双卫好楼层,晋中碧桂园 -榆次区,4室2厅 | 162平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 一年前发布,150,"9,260元/平"
新晋世家 3室2厅 南 北,新晋世家 -榆次区,3室2厅 | 123平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 11个月以前发布,118,"9,594元/平"
富锦嘉苑 4室2厅 南 北,富锦嘉苑 -榆次区,4室2厅 | 145平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,3人关注 / 5个月以前发布,86,"5,932元/平"
榆次老城旁 一层带小院 采光充足  适合老年人居住,潇河湾 -榆次区,3室2厅 | 114平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,78,"6,843元/平"
万科朗润园三期 4室2厅 南 北,万科朗润园三期 -榆次区,4室2厅 | 155平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,130,"8,388元/平"
龙湖大街泰悦御庭精装三室婚房中户带家具家电能按揭,泰悦御庭 -榆次区,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,5人关注 / 一年前发布,85,"8,096元/平"
央企  南北通透三居 毛坯房 可随意装修 小高层 环境好,保利·壹号公馆 -榆次区,3室2厅 | 119平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 一年前发布,90,"7,564元/平"
文苑街晋中碧桂园南区精装四居双卫好楼层,晋中碧桂园 -榆次区,4室2厅 | 162平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 一年前发布,150,"9,260元/平"
华美小区 3室2厅 南 北,华美小区 -榆次区,3室2厅 | 104平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,58,"5,577元/平"
新晋府 2室2厅 南,新晋府 -榆次区,2室2厅 | 97.29平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 6个月以前发布,69,"7,093元/平"
金润园西区 2室2厅 南 北,金润园西区 -榆次区,2室2厅 | 113平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,85,"7,523元/平"
北晨峰景 3室2厅 南 北,北晨峰景 -榆次区,3室2厅 | 138.48平米 | 南 北 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,105,"7,583元/平"
新晋府 3室2厅 南 北,新晋府 -榆次区,3室2厅 | 131平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,1人关注 / 8个月以前发布,90,"6,871元/平"
上东庭院 2室2厅 南 北,上东庭院 -榆次区,2室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,1人关注 / 3个月以前发布,78,"6,783元/平"
保利·壹号公馆 3室2厅 南 北,保利·壹号公馆 -榆次区,3室2厅 | 119平米 | 南 北 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,90,"7,564元/平"
五公司宿舍 2室1厅 南 北,五公司宿舍 -榆次区,2室1厅 | 72平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,45,"6,250元/平"
龙湖大街 职教港 精装修 拎包入住 看房方便 停车方便,兰田传奇 -榆次区,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,4人关注 / 9个月以前发布,75,"6,250元/平"
银海心悦 精装 *大三居室 170平米145万 好楼层,银海心悦 -榆次区,3室2厅 | 167平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,118,"7,066元/平"
良硕和山 上下三层带露台 精装修 家具家电全留,良硕和山 -榆次区,4室4厅 | 148平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,150,"10,136元/平"
民盛大厦 3室2厅 南 北,民盛大厦 -榆次区,3室2厅 | 131平米 | 南 北 | 其他 | 中楼层(共23层)  | 板塔结合,1人关注 / 5个月以前发布,86,"6,565元/平"
铁路宿舍 3室1厅 南 北,铁路宿舍 -榆次区,3室1厅 | 64.04平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,34,"5,310元/平"
蕴华东街嘉和园市委宿舍精装四居双卫带家具家电,嘉和园 -榆次区,4室2厅 | 185平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,170,"9,190元/平"
龙湖大街万达广场校园小区三组团精装大三居南北通透,校园小区 -榆次区,3室2厅 | 167平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,118,"7,066元/平"
华都·公园里 3室1厅 南,华都·公园里 -榆次区,3室1厅 | 101平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 5个月以前发布,86,"8,515元/平"
首创国际学园B区 3室2厅 南 北,首创国际学园B区 -榆次区,3室2厅 | 157.5平米 | 南 北 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 5个月以前发布,120,"7,620元/平"
潇河湾 3室2厅 南 北,潇河湾 -榆次区,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,93,"7,440元/平"
安宁街田森嘉园A区大四居 南北通透大红本可以分期,田森嘉園 -榆次区,4室2厅 | 200平米 | 南 北 | 其他 | 高楼层(共12层)  | 板楼,2人关注 / 一年前发布,190,"9,500元/平"
玉兰湾 精装三居好楼层 南北通透 家具家电全留 可贷款,元宇玉蘭湾 -榆次区,3室2厅 | 138.53平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,4人关注 / 一年前发布,100,"7,219元/平"
保利·壹号公馆 3室2厅 南 北,保利·壹号公馆 -榆次区,3室2厅 | 122平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,80,"6,558元/平"
雅园 3室2厅 南 北,雅园 -榆次区,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 6个月以前发布,113,"8,497元/平"
雅园 3室2厅 南 北,雅园 -榆次区,3室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,84,"7,851元/平"
蕴华东街嘉和园市委宿舍精装四居双卫带家具家电,嘉和园 -榆次区,4室2厅 | 185平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,170,"9,190元/平"
红星天铂 4室2厅 南 北,红星天铂 -榆次区,4室2厅 | 158平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,195,"12,342元/平"
首创国际学园三期 5室3厅 南 北,首创国际学园三期 -榆次区,5室3厅 | 121平米 | 南 北 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 5个月以前发布,126,"10,414元/平"
银城小区 3室2厅 南 北,银城小区 -榆次区,3室2厅 | 105平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,75,"7,143元/平"
钰荣源西区 2室2厅 南,钰荣源西区 -榆次区,2室2厅 | 100平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,78,"7,800元/平"
安宁街顺驰精装修可做婚房全屋定制大红本可贷款交通便,顺驰城市艺墅 -榆次区,3室2厅 | 122平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,86,"7,050元/平"
乡镇局宿舍 3室2厅 南 北,乡镇局宿舍 -榆次区,3室2厅 | 96平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,56,"5,834元/平"
泰悦华庭 3室2厅 南 北,泰悦华庭 -榆次区,3室2厅 | 138平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,110,"7,972元/平"
熙园小区 3室2厅 南 北,熙园小区 -榆次区,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,99,"8,250元/平"
万达奥莱精装修拎包入住好楼层采光好停车方便干净整洁,华悦骏璟 -榆次区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共15层)  | 板塔结合,2人关注 / 9个月以前发布,99,"7,616元/平"
田森嘉園 4室2厅 南 北,田森嘉園 -榆次区,4室2厅 | 186平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,160,"8,603元/平"
水委会宿舍 3室2厅 南 北,水委会宿舍 -榆次区,3室2厅 | 89.3平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,55,"6,160元/平"
红星天铂 4室2厅 南 北,红星天铂 -榆次区,4室2厅 | 153平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,210,"13,726元/平"
泰和佳园 3室2厅 南 北,泰和佳园 -榆次区,3室2厅 | 120.24平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,62,"5,157元/平"
定阳路华都公园里大红本满两年精装修拎包入住中间楼层,华都·公园里 -榆次区,2室2厅 | 88平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,8人关注 / 一年前发布,78,"8,864元/平"
汽贸小区 3室2厅 南 北,汽贸小区 -榆次区,3室2厅 | 116.17平米 | 南 北 | 其他 | 高楼层(共5层)  | 塔楼,0人关注 / 6个月以前发布,67,"5,768元/平"
北晨峰景 3室2厅 南 北,北晨峰景 -榆次区,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,1人关注 / 3个月以前发布,90,"6,924元/平"
安宁壹号 3室2厅 南,安宁壹号 -榆次区,3室2厅 | 140平米 | 南 | 其他 | 中楼层(共15层)  | 板塔结合,0人关注 / 7个月以前发布,89,"6,358元/平"
富锦嘉苑 3室2厅 南 北,富锦嘉苑 -榆次区,3室2厅 | 153平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,1人关注 / 6个月以前发布,105,"6,863元/平"
新晋南里 3室1厅 南 北,新晋南里 -榆次区,3室1厅 | 98平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,67.5,"6,888元/平"
万达对 面小高层公摊小包含地下室地下车位价格可谈,华悦骏璟 -榆次区,3室2厅 | 153平米 | 南 北 | 简装 | 低楼层(共15层)  | 暂无数据,1人关注 / 3个月以前发布,103,"6,733元/平"
万科朗润园三期 3室2厅 南 北,万科朗润园三期 -榆次区,3室2厅 | 147平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,125,"8,504元/平"
嘉馨苑小区 2室2厅 南 北,嘉馨苑小区 -榆次区,2室2厅 | 94.91平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,57,"6,006元/平"
银城小区 四室两厅两卫 好楼层 费用低 人文素质高,银城小区 -榆次区,4室2厅 | 138平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,92,"6,667元/平"
龙湖国际 2室2厅 南,龙湖国际 -榆次区,2室2厅 | 127.74平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,100,"7,829元/平"
银城小区 3室2厅 南 北,银城小区 -榆次区,3室2厅 | 116平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,95,"8,190元/平"
华都·公园里 4室2厅 南 北,华都·公园里 -榆次区,4室2厅 | 265.5平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,200,"7,533元/平"
晋中碧桂园 4室2厅 南 北,晋中碧桂园 -榆次区,4室2厅 | 162平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,2人关注 / 5个月以前发布,145,"8,951元/平"
顺驰城市艺墅 3室2厅 南 北,顺驰城市艺墅 -榆次区,3室2厅 | 130平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,100,"7,693元/平"
嘉和园 4室2厅 南 北,嘉和园 -榆次区,4室2厅 | 159平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,118,"7,422元/平"
华都·公园里 4室2厅 南 北,华都·公园里 -榆次区,4室2厅 | 265.5平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,200,"7,533元/平"
文苑街玉湖公园旁 书林世家 精装3室好楼层采光好,书林世家 -榆次区,3室2厅 | 159.86平米 | 南 北 | 其他 | 高楼层(共26层)  | 塔楼,2人关注 / 一年前发布,135,"8,445元/平"
保利·壹号公馆 3室2厅 南 北,保利·壹号公馆 -榆次区,3室2厅 | 117平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,102,"8,718元/平"
液压三区 2室2厅 南 北,液压三区 -榆次区,2室2厅 | 55平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,36.5,"6,637元/平"
金珲公寓 3室2厅 南 北,金珲公寓 -榆次区,3室2厅 | 159.6平米 | 南 北 | 精装 | 中楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,95,"5,953元/平"
纺纱小区 3室2厅 南 北,纺纱小区 -榆次区,3室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,70,"5,469元/平"
校园小区 3室2厅 南 北,校园小区 -榆次区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,78,"6,500元/平"
新晋府 4室2厅 南 北,新晋府 -榆次区,4室2厅 | 161平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,120,"7,454元/平"
清华金元德国小镇 2室2厅 南 北,清华金元德国小镇 -榆次区,2室2厅 | 108平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,63,"5,834元/平"
太原铁建榆次家园 2室2厅 南 北,太原铁建榆次家园 -榆次区,2室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板楼,0人关注 / 6个月以前发布,69,"6,107元/平"
阳光城·文澜府 4室2厅 南 北,阳光城·文澜府 -榆次区,4室2厅 | 144平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,1人关注 / 2个月以前发布,135,"9,375元/平"
首创国际学园B区 3室2厅 南 北,首创国际学园B区 -榆次区,3室2厅 | 143.75平米 | 南 北 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 3个月以前发布,110,"7,653元/平"
辽阳路御璟华府龙湖国际晋商公园龙湖大街万达,御璟华府 -榆次区,3室2厅 | 144平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,99,"6,875元/平"
书林世家 3室2厅 南 北,书林世家 -榆次区,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共12层)  | 板楼,0人关注 / 3个月以前发布,113,"8,693元/平"
环卫处宿舍 3室2厅 南 北,环卫处宿舍 -榆次区,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,85,"6,693元/平"
翰唐公寓 4室2厅 南 北,翰唐公寓 -榆次区,4室2厅 | 153.5平米 | 南 北 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,110,"7,167元/平"
精装 拎包入住  好楼层  采光无遮挡可贷款 小区环境好,黄金传奇 -榆次区,3室3厅 | 165平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 一年前发布,98,"5,940元/平"
良硕和山 3室2厅 南 北,良硕和山 -榆次区,3室2厅 | 90.41平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,78,"8,628元/平"
华晟晟丽苑 2室1厅 南,华晟晟丽苑 -榆次区,2室1厅 | 80.49平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 26天以前发布,68,"8,449元/平"
经纬绿都 一居一厅 精装自住 好楼层 采光好,经纬绿都 -榆次区,1室1厅 | 51.1平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 21天以前发布,38,"7,437元/平"
新晋世家 2室1厅 南,新晋世家 -榆次区,2室1厅 | 74.46平米 | 南 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 6个月以前发布,64,"8,596元/平"
华都·公园里 1室1厅 北,华都·公园里 -榆次区,1室1厅 | 73.14平米 | 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,53,"7,247元/平"
一层带独立小院、阳光房，采光充足，环境好,首创国际学园三期 -榆次区,3室2厅 | 134平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 9个月以前发布,174,"12,986元/平"
大学城花园式小区小区经典毛坯三居 户型出售,首创国际学园三期 -榆次区,3室2厅 | 121平米 | 南 北 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 6个月以前发布,100,"8,265元/平"
书林世家 3室2厅 南 北,书林世家 -榆次区,3室2厅 | 160平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,126,"7,875元/平"
佳地花园 3室2厅 南 北,佳地花园 -榆次区,3室2厅 | 126平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,83,"6,588元/平"
银海心悦 南北通透两居室 视野好 费用低 可贷款,银海心悦 -榆次区,2室2厅 | 109.79平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,75,"6,832元/平"
安宁街逸夫贰中精装三居双卫好楼层能贷款,中铁三局第五工程有限公司佳兴小区 -榆次区,3室2厅 | 131平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,106,"8,092元/平"
理工大学城旁 南北通透高层电梯房 大红本可按揭贷款,首创国际学园三期 -榆次区,2室2厅 | 90.64平米 | 北 南 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,70,"7,723元/平"
伊甸城大学城旁  精装电梯房三居,首创国际学园三期 -榆次区,3室2厅 | 115平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,110,"9,566元/平"
大学城花园式小区小区经典毛坯三居 户型出售,首创国际学园三期 -榆次区,3室2厅 | 121平米 | 南 北 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 6个月以前发布,100,"8,265元/平"
首创国际学院旁   钥匙房源随时看房,领域名郡 -榆次区,3室2厅 | 125.58平米 | 南 北 | 其他 | 中楼层(共26层)  | 平房,1人关注 / 10个月以前发布,97.5,"7,764元/平"
雅园 2室2厅 南 北,雅园 -榆次区,2室2厅 | 80.33平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,60,"7,470元/平"
大学城花园式小区精装大三居出售,首创国际学园B区 -榆次区,3室2厅 | 160平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,1人关注 / 5个月以前发布,115,"7,188元/平"
首创国际学园B区 3室2厅 南 北,首创国际学园B区 -榆次区,3室2厅 | 150平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 7个月以前发布,130,"8,667元/平"
迎宾路上华剧901太原迎宾小区快速路,迎宾合作住宅区 -榆次区,2室2厅 | 80.59平米 | 南 北 | 其他 | 低楼层(共6层)  | 塔楼,0人关注 / 一年前发布,56,"6,949元/平"
锦绣园一期南北通透三居好楼层全明户型,锦绣园 -榆次区,3室2厅 | 119平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,6人关注 / 一年前发布,85,"7,143元/平"
安宁街逸夫贰中精装三居双卫好楼层能贷款,中铁三局第五工程有限公司佳兴小区 -榆次区,3室2厅 | 131平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,106,"8,092元/平"
理工大学城旁 南北通透高层电梯房 大红本可按揭贷款,首创国际学园三期 -榆次区,2室2厅 | 90.64平米 | 北 南 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,70,"7,723元/平"
伊甸城大学城旁  精装电梯房三居,首创国际学园三期 -榆次区,3室2厅 | 115平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,110,"9,566元/平"
大学城旁 理工大学首创国际学园 南北通透大三居 可贷,首创国际学园B区 -榆次区,3室2厅 | 136.12平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,100,"7,347元/平"
万科生活广场 田森汇 大学城旁 首创精装两居可贷款,首创国际学园B区 -榆次区,2室2厅 | 107.11平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 一年前发布,83,"7,750元/平"
顺驰城市艺墅 2室2厅 南 北,顺驰城市艺墅 -榆次区,2室2厅 | 120平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,100,"8,334元/平"
大学城南北通透大两居精装出售.....,首创国际学园B区 -榆次区,2室2厅 | 107平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 6个月以前发布,86,"8,038元/平"
首创国际学园三期 3室2厅 南 北,首创国际学园三期 -榆次区,3室2厅 | 103平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,80,"7,767元/平"
红星天铂 3室2厅 南 北,红星天铂 -榆次区,3室2厅 | 139.9平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,2人关注 / 4个月以前发布,110,"7,863元/平"
国税小区 2室2厅 南 北,国税小区 -榆次区,2室2厅 | 86.43平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 10个月以前发布,53,"6,133元/平"
