标题,开发商,房子信息,发布信息,售价/万,单价
开元上府高品质精装洋房 证过二 带产权子母车位带负一,开元上府 -新闻大厦,4室2厅 | 233.94平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,369,"15,774元/平"
万科新都会新出大三室二期边户 有车位 不冲不挡好楼层,鲁商万科新都会 -伦达国贸城,3室2厅 | 126.2平米 | 南 北 | 精装 | 高楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,130,"10,302元/平"
万科新都会3室 万科物业户型全明户型精装交付 好楼层,鲁商万科新都会 -伦达国贸城,3室1厅 | 109.42平米 | 南 北 | 精装 | 低楼层(共13层)  | 暂无数据,1人关注 / 4个月以前发布,105,"9,597元/平"
银盛泰博观新城 精装四室     急售,银盛泰·博观新城 -北城-长沙路西片区,4室2厅 | 141.39平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,44人关注 / 5个月以前发布,179,"12,661元/平"
北坛新区  毛坯   带储藏室,北坛新区 -沂水县,3室2厅 | 117平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 1个月以前发布,83,"7,095元/平"
急售 一线河景房，楼层户型好，带产权车位,水岸華庭 -东方不夜城,3室2厅 | 142.6平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,5人关注 / 3个月以前发布,130,"9,117元/平"
恒大翡翠华庭 精装三室 方正户型 中间靠湖 楼间距大,恒大翡翠华庭 -北城-长沙路西片区,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,5人关注 / 2个月以前发布,139,"10,221元/平"
精装三室 好楼层 全天采光无遮挡,中科印象 -沂河实验小学,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,2人关注 / 9个月以前发布,75,"6,356元/平"
精装未住，两室朝阳，品质好房，不等人手慢无,城开景悦 -火车站,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,110,"8,462元/平"
博观新城 高层视野开阔 适合居住,银盛泰·博观新城 -北城-长沙路西片区,3室2厅 | 129平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,178,"13,799元/平"
房源印象  户型方正  楼层好  采光好  带产权车位,房源印象 -平安路,3室2厅 | 143.61平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,1人关注 / 4个月以前发布,136,"9,471元/平"
御山河 毛坯洋房  沿河住宅 一房难求,御山河 -东夷文化园,3室2厅 | 94平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,32人关注 / 一年前发布,85,"9,043元/平"
开发商精装修！金泰瑞府省级物业，前排洋房 采光好！,金泰瑞府 -北城-长沙路东区,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,18人关注 / 5个月以前发布,168,"12,632元/平"
精装未住，中间楼层，全天采光，带储藏室！,安泰金升华府 -北城-长沙路西片区,3室1厅 | 125平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,1人关注 / 2个月以前发布,146,"11,680元/平"
星河城   采光好全天无遮挡   位置好  带个人防车位,星河城 -鲁南花卉市场,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,24人关注 / 5个月以前发布,75,"6,148元/平"
元宝户型 ，采光充裕，全明大三室 现房交付，即买即住,海联江山里 -河东机场,3室2厅 | 115.49平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 5个月以前发布,72,"6,235元/平"
豪森名邸 带储藏室 精装修 好楼层 不遮不挡 急售,豪森名邸 -北城-沂龙湾大桥,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,13人关注 / 9个月以前发布,145,"12,289元/平"
沂蒙路 宝丽未来城带储藏室 南北通透 两室朝阳 大阳台,宝丽未来城 -火车站,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 塔楼,4人关注 / 一年前发布,92,"6,479元/平"
御景苑小区人文素质比较高交通发达,御景苑 -大学城,3室2厅 | 142平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,133,"9,367元/平"
钓鱼一号院高层  楼层好 全天采光带子母车,釣魚壹號院 -青啤广场,3室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,78,"6,611元/平"
河畔花园三室带配房客厅通阳台证过五唯一好楼层,河畔花园 -隆达客运站,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共12层)  | 塔楼,6人关注 / 9个月以前发布,106,"8,154元/平"
万科新都会精装为住大三室带一个车位好楼层,鲁商万科新都会 -伦达国贸城,3室2厅 | 127平米 | 南 | 精装 | 低楼层(共14层)  | 暂无数据,0人关注 / 1个月以前发布,130,"10,237元/平"
此房简装，三室两厅的户型，中间楼层，采光充足,金雀新城 -新闻大厦,3室2厅 | 138平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,29人关注 / 7个月以前发布,145,"10,508元/平"
水韵华苑，精装带2个车位，带储藏室，证过二,水韵华苑 -北城-北城人民医院,4室2厅 | 189平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,1人关注 / 2个月以前发布,238,"12,593元/平"
金湖明珠 二楼精装 带储藏室 看房方便,景泰金湖明珠 -双月湖公园,2室1厅 | 94平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,54,"5,745元/平"
宝丽未来城 钥匙房 带露台100平 拎包入住,宝丽未来城 -火车站,3室2厅 | 142.1平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 2个月以前发布,89,"6,264元/平"
领秀豪庭 河景房  精装好楼层 交通便利 有钥匙,领秀豪庭 -河东汽车站,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,5人关注 / 一年前发布,120,"9,449元/平"
精装自住，全明户型，采光无遮挡,星河城 -鲁南花卉市场,3室2厅 | 106平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,14人关注 / 4个月以前发布,92,"8,680元/平"
沂河一英里一楼带院，离北门近，元宝户型急售,中暨沂河英里 -东夷文化园,3室2厅 | 113平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,114,"10,089元/平"
博观新城精装三室，开发商统一精装,银盛泰·博观新城 -北城-长沙路西片区,3室2厅 | 109平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,2人关注 / 2个月以前发布,130,"11,927元/平"
精装修，楼层好，全天采光，着急出售,星河城 -鲁南花卉市场,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,96,"8,000元/平"
房源印象  户型方正  楼层好  采光好  带产权车位,房源印象 -平安路,3室2厅 | 143.61平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,1人关注 / 4个月以前发布,136,"9,471元/平"
豪森名邸 带储藏室 精装修 好楼层 不遮不挡 急售,豪森名邸 -北城-沂龙湾大桥,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,13人关注 / 9个月以前发布,145,"12,289元/平"
河畔花园三室带配房客厅通阳台证过五唯一好楼层,河畔花园 -隆达客运站,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共12层)  | 塔楼,6人关注 / 9个月以前发布,106,"8,154元/平"
沂蒙路 宝丽未来城带储藏室 南北通透 两室朝阳 大阳台,宝丽未来城 -火车站,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 塔楼,4人关注 / 一年前发布,92,"6,479元/平"
万科新都会精装为住大三室带一个车位好楼层,鲁商万科新都会 -伦达国贸城,3室2厅 | 127平米 | 南 | 精装 | 低楼层(共14层)  | 暂无数据,0人关注 / 1个月以前发布,130,"10,237元/平"
此房简装，三室两厅的户型，中间楼层，采光充足,金雀新城 -新闻大厦,3室2厅 | 138平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,29人关注 / 7个月以前发布,145,"10,508元/平"
银丰公馆·精装三居室。，南北通透，客厅通阳台,银丰公馆 -火车站,3室2厅 | 116.38平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,2人关注 / 1个月以前发布,93.8,"8,060元/平"
宝德和园8层洋房 元宝户型 南北通透 不绑定车位,宝德和园 -东夷文化园,3室1厅 | 125平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 暂无数据,28人关注 / 3个月以前发布,105,"8,400元/平"
开发商精装修！金泰瑞府省级物业，前排洋房 采光好！,金泰瑞府 -北城-长沙路东区,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,18人关注 / 5个月以前发布,168,"12,632元/平"
新上一楼带院，业主急售，元宝户型，双阳台，配套齐全,中暨沂河英里 -东夷文化园,3室2厅 | 123.47平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,115,"9,315元/平"
毛坯三室 随意装修 户型方正 采光充足,恒通佳园 -北城-北城人民医院,3室2厅 | 110平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,9人关注 / 7个月以前发布,112,"10,182元/平"
皇山城 6层电梯洋房证过二 带储藏室,皇山城 -东夷文化园,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,13人关注 / 3个月以前发布,66,"5,500元/平"
豪森名邸 证过二 带储藏室 精装未住 好楼层 全天采光,豪森名邸 -北城-沂龙湾大桥,4室2厅 | 140平米 | 东 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 3个月以前发布,185,"13,215元/平"
万科精装交付的房子，户型全明通透，,鲁商万科新都会 -伦达国贸城,3室2厅 | 125.09平米 | 南 | 精装 | 低楼层(共14层)  | 暂无数据,3人关注 / 一年前发布,137.9,"11,025元/平"
刚需房 大产权 宝丽凤凰城 价低,宝丽•凤凰城 -双月湖公园,2室2厅 | 92平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 5个月以前发布,30,"3,261元/平"
星河城   采光好全天无遮挡   位置好  带个人防车位,星河城 -鲁南花卉市场,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,24人关注 / 5个月以前发布,75,"6,148元/平"
元宝户型 ，采光充裕，全明大三室 现房交付，即买即住,海联江山里 -河东机场,3室2厅 | 115.49平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 5个月以前发布,72,"6,235元/平"
御景苑小区人文素质比较高交通发达,御景苑 -大学城,3室2厅 | 142平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,133,"9,367元/平"
钓鱼一号院高层  楼层好 全天采光带子母车,釣魚壹號院 -青啤广场,3室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,78,"6,611元/平"
伊丽莎白东岸一楼   证不过二毛坯房东诚心出售,伊丽莎白东岸 -东夷文化园,3室2厅 | 125.29平米 | 南 | 毛坯 | 低楼层(共21层)  | 板楼,23人关注 / 7个月以前发布,77,"6,146元/平"
幸福居， 6+1洋房， 居民文化水平高， 自带空中花园,龙盛幸福居 -前十街,3室2厅 | 130.54平米 | 北 南 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,129,"9,883元/平"
本小区位置好人车分流绿化高，小区比较新，刚交房一年,开元华银四季城 -陶瓷批发市场,3室2厅 | 122平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,136,"11,148元/平"
博观新城精装未住好楼层全天采光无遮挡拎包入住,银盛泰·博观新城 -北城-长沙路西片区,4室2厅 | 141.98平米 | 南 北 | 精装 | 高楼层(共34层)  | 暂无数据,11人关注 / 5个月以前发布,170,"11,974元/平"
金泰瑞府精装3室   省级物业  豪楼层 价格可谈,金泰瑞府 -北城-长沙路东区,3室2厅 | 133.48平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 1个月以前发布,178.9,"13,403元/平"
皇山城  精装修未住  证过二  次顶楼  看房随时都可以,皇山城 -东夷文化园,4室2厅 | 138.58平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,127,"9,165元/平"
精装未住，中间楼层，全天采光，带储藏室！,安泰金升华府 -北城-长沙路西片区,3室1厅 | 125平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,1人关注 / 2个月以前发布,146,"11,680元/平"
诚德碧海方舟！大4室！122平！诚心出售。。,诚德碧海方舟 -北城-北城人民医院,4室2厅 | 133平米 | 南 | 简装 | 高楼层(共31层)  | 板塔结合,16人关注 / 4个月以前发布,116,"8,722元/平"
房子无遮挡，交通便利，配套齐全，采光优良,儒辰丹枫园 -前十街,4室2厅 | 154平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,12人关注 / 3个月以前发布,128,"8,312元/平"
精装洋房 诚心出售 证过二省大税,白鹭金岸·和风苑 -青啤广场,3室2厅 | 91.01平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,76.7,"8,428元/平"
城开东岸 毛坯两室 中间楼层 有车位储藏室 全明户型,城开东岸 -锦绣外滩,2室1厅 | 82平米 | 北 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,75,"9,147元/平"
保利堂悦142平洋房，全天采光南坊单价低于12600的洋房,保利堂悦 -北城-长沙路西片区,3室2厅 | 142.06平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,180,"12,671元/平"
毛坯四室   可观河  可观湖  西边户,皇山华府 -沂河实验小学,4室2厅 | 142.28平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,31人关注 / 5个月以前发布,92,"6,467元/平"
客厅通阳台 两室朝阳 元宝户型 低楼层 毛坯随意装修,城开景悦 -火车站,3室1厅 | 130平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,115,"8,847元/平"
致远翡翠传奇精装三室 南北通透,致远翡翠传奇 -双月湖公园,3室2厅 | 122.6平米 | 南 北 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 2个月以前发布,79,"6,444元/平"
证过二，精装修，给全屋家具家电，诚心出售,青啤早安时区 -青啤广场,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,85,"8,019元/平"
致远翡翠湖 东边户  精装修 好楼层 带车位 105可议,致远翡翠湖 -双月湖公园,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共14层)  | 暂无数据,0人关注 / 1个月以前发布,105,"7,343元/平"
沂河馨苑 证过二 精装三室 楼层好 带储藏室,荣盛•沂河馨苑A区 -锦绣外滩,3室1厅 | 98.91平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,2人关注 / 2个月以前发布,82,"8,291元/平"
多层洋房带车库 精装会展隔壁大2居,冠亚星城一期 -国际会展中心,2室2厅 | 95平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,65,"6,843元/平"
10万精装婚房，证满二年，过户省钱，双气美华新村。,美华新村 -双月湖公园,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,13人关注 / 8个月以前发布,51.9,"4,514元/平"
盛德桂园精装三室未住，双阳台楼层好，业主诚心出售。,盛德桂园 -国际会展中心,3室1厅 | 136平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 1个月以前发布,97,"7,133元/平"
奥正诚园 精装 有车位 储藏室 正直物业 品质洋房社区,奥正诚园南区 -锦绣外滩,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,16人关注 / 一年前发布,270,"19,286元/平"
元宝户型国税局家属院199平160万步梯2楼有车库证过二,河东区国税局家属院 -河东吾悦广场,3室2厅 | 199.89平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,1人关注 / 6个月以前发布,149,"7,455元/平"
"致远翡翠传奇 精装修一楼三室,诚心出售,价格可以谈",致远翡翠传奇 -双月湖公园,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,67,"5,827元/平"
电梯洋房，大两室，精装修，房东置换诚心出售，随时看,莱茵国际 -东方城,2室2厅 | 88.71平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,53,"5,975元/平"
电梯洋房 证过二 小三居 地砖已经铺好,农房·幸福小镇 -东方城,3室1厅 | 97平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,72,"7,423元/平"
中间楼层，精装修，房东分担部分不过二的税费,金雀新城 -新闻大厦,3室2厅 | 138.66平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 1个月以前发布,148,"10,674元/平"
金桂精装三居室 带储藏室 诚心出售,金桂御景城 -长安路小学,3室2厅 | 117平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,49.6,"4,240元/平"
凤凰城1楼三室两厅南北通透户型业主自住,宝丽•凤凰城 -双月湖公园,3室2厅 | 103平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,14人关注 / 7个月以前发布,63,"6,117元/平"
沂河馨苑C区 一楼带院 121平 带储藏室 133万 边户,荣盛沂河馨苑C区 -锦绣外滩,3室2厅 | 121平米 | 南 | 简装 | 低楼层(共15层)  | 塔楼,4人关注 / 一年前发布,133,"10,992元/平"
一楼的带个院子，采光很好交通方便,银雀山信用社家属院 -启阳路,3室1厅 | 82平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 3个月以前发布,77,"9,391元/平"
河东区 人民大街豪森华府一期带车库,豪森華府 -区政府,3室2厅 | 125平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,130,"10,400元/平"
70年大产权 精装修 好户型 看房方便 龙泽国际,龙泽国际 -双月湖公园,3室2厅 | 120平米 | 东南 | 精装 | 高楼层(共17层)  | 板楼,2人关注 / 1个月以前发布,64.5,"5,375元/平"
70年大产权  户型方正  精装修  小区环境优   地势高,致远翡翠传奇 -双月湖公园,3室2厅 | 130平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,64.5,"4,962元/平"
业主急售大三室精装修，好户型好楼层,美多现代城 -前十街,3室2厅 | 130.33平米 | 北 南 | 简装 | 低楼层(共16层)  | 板楼,3人关注 / 一年前发布,86,"6,599元/平"
香榭丽舍大平层，精装过二中高好楼层，带俩车位,香榭丽舍 -新闻大厦,4室2厅 | 268平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,320,"11,941元/平"
幸福小镇   位置好   环境优美  配套齐全,农房·幸福小镇 -东方城,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,75,"6,945元/平"
电梯房好楼层，精装修位置佳，户型南北通透,冠亚星城三期 -国际会展中心,2室2厅 | 94.82平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 7个月以前发布,60,"6,328元/平"
阳光水岸 三期地暖 户型方正 不遮不挡 证过二 随时看,开元 · 阳光水岸 -二十四中,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,16人关注 / 一年前发布,122,"9,839元/平"
泉府公馆 精装4室 带俩车位 业主诚心出售 随时看房,泉府公馆 -北城-鲁商中心,4室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,160,"11,189元/平"
位于江泉酒店西临，精装修的三室二厅，有证过2年，,韵皓 · 宝翠园 -双月湖公园,3室2厅 | 117平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,62.5,"5,342元/平"
书香郡四室两厅两卫，带车位带储藏室，精装修,润泰书香郡 -盛能游乐园,4室2厅 | 158平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,135,"8,545元/平"
中晟世纪城电梯房 证过二  出门就 学 元宝户型,中晟世纪城 -宝泉寺,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,74,"6,492元/平"
沂河馨苑 精装大三居 117平109万 证过二 楼层好,荣盛沂河馨苑C区 -锦绣外滩,3室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共16层)  | 塔楼,3人关注 / 6个月以前发布,109,"9,317元/平"
"致远翡翠传奇,精装未住 带个大储藏室,看房方便",致远翡翠传奇 -双月湖公园,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,85,"7,084元/平"
翰林华府东区3室精装，带车库，东边户，满二,翰林华府东区 -沂水县,3室2厅 | 127平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,111,"8,741元/平"
河东岸 毛坯房 观沂河全景三居室带储藏室,东泰河东岸 -沂水县,3室2厅 | 132平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,109,"8,258元/平"
南向客厅 带车位储藏室 景观楼层 南北通透,沂河明珠 -沂水县,3室2厅 | 135.46平米 | 南 北 | 简装 | 高楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,99.8,"7,368元/平"
城开首府  精致3室2厅1卫  楼层好  诚心出售,城开首府 -北城-长沙路西片区,3室2厅 | 100平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,11人关注 / 5个月以前发布,116,"11,600元/平"
保利堂悦 顶复 低密度小区 视野开阔,保利堂悦 -北城-长沙路西片区,4室3厅 | 198平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,24人关注 / 5个月以前发布,300,"15,152元/平"
滨江三居，有钥匙随时看 值！证满2年省税,滨江中央华府 -火车站,3室2厅 | 128.61平米 | 南 北 | 其他 | 中楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,102,"7,931元/平"
精装未住 小三室 南北通透带储藏室,酒厂家属院 -沂水县,3室1厅 | 78平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,1人关注 / 2个月以前发布,42.8,"5,488元/平"
165平  4室2厅3卫 业主自己精装修未住 带3个车位,银盛泰·博观新城 -北城-长沙路西片区,4室2厅 | 165平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,4人关注 / 3个月以前发布,285,"17,273元/平"
青啤 三室毛坯 带产权车位和配房 好楼层 全天采光,青啤早安时区 -青啤广场,3室2厅 | 130.26平米 | 东 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 5个月以前发布,93.3,"7,163元/平"
永丰花苑 好楼层 精装未住 三居室 南北通透 户型好,永丰花苑 -沂水县,3室2厅 | 136.16平米 | 南 北 | 简装 | 低楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,243元/平"
金泰华府南府，证不过二，带两个产权车位全明户型。,金泰華府南区 -新闻大厦,3室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,3人关注 / 3个月以前发布,270,"20,000元/平"
沂河明珠 三室两厅两卫 毛坯 裸房,沂河明珠 -沂水县,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,84,"6,462元/平"
兴龙状元府凤凰楼层东户大三室带储契税满二,兴龙状元府 -沂水县,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,72,"5,807元/平"
洋房中间楼层 元宝户型 两室朝阳 前后双阳台,中暨沂河英里 -东夷文化园,3室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,106,"8,618元/平"
金盾小区 一楼带院 已改造 省心居住,金盾小区 -二中,2室1厅 | 72.63平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,2人关注 / 6个月以前发布,87,"11,979元/平"
此房证过二，交通便利，小区社区氛围好，户型好。,书院小学家属楼 -王羲之故居,3室2厅 | 112.14平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,71,"6,332元/平"
博观二期  精装未住 3室2厅  位置好  楼层好,银盛泰·博观新城 -北城-长沙路西片区,3室2厅 | 124.03平米 | 南 | 精装 | 低楼层(共29层)  | 暂无数据,3人关注 / 3个月以前发布,152,"12,256元/平"
博观新城 小高层 带大露台 密码钥匙 随时看房,银盛泰·博观新城 -北城-长沙路西片区,3室2厅 | 126平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,3人关注 / 5个月以前发布,180,"14,286元/平"
万城花开 三室 楼层好 采光好  看房方便 有钥匙随时,万城花开 -北城-长沙路西片区,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,2人关注 / 2个月以前发布,132,"10,313元/平"
（急售）价格可谈 一楼带大院子 证过二少税 沿河住宅,御山河 -东夷文化园,3室2厅 | 132平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,57人关注 / 11个月以前发布,138,"10,455元/平"
电梯洋房，皇山华府精装三室，好楼层，证过二,皇山华府 -沂河实验小学,3室2厅 | 129.91平米 | 南 北 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,97,"7,467元/平"
香水郡小区品质小区，楼层好，环境好,香水郡小区 -火车站,4室2厅 | 155平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,9人关注 / 一年前发布,108,"6,968元/平"
北方明珠 三室两厅一卫 带车位,北方明珠 -沂水县,3室2厅 | 125.79平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,80.6,"6,408元/平"
新上急售房源 北园华府 毛坯房 好楼层 房东诚心出售,北园华府 -东方不夜城,3室1厅 | 104.8平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,106,"10,115元/平"
御桂园  三室好户型 好楼层 带储藏室 房主诚心卖,中元御桂园 -北城-北城人民医院,3室2厅 | 137.96平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,12人关注 / 5个月以前发布,155,"11,236元/平"
水岸花墅多层洋房，户型好4室2厅2卫,水岸花墅 -沂水县,4室2厅 | 143.88平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,4人关注 / 10个月以前发布,115,"7,993元/平"
此房源证不过二，户型好，配套设施齐全，生活便利,地王豪庭南区 -双月湖公园,3室2厅 | 126.62平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,67,"5,292元/平"
金泰世纪村，户型通透，三室朝阳大阳台,金泰世纪村 -罗庄医院,3室2厅 | 140平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,58,"4,143元/平"
新上博冠新城小高165平235万精装带车位,银盛泰·博观新城 -北城-长沙路西片区,4室2厅 | 165.25平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 1个月以前发布,235,"14,221元/平"
一线河景 视野开阔 简装3室 户型方正好楼层,城开东岸 -锦绣外滩,3室2厅 | 120.8平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 1个月以前发布,120,"9,934元/平"
三江领秀  带车位 全天采光 交通便利 看房方便,翔宇三江领秀 -河东吾悦广场,4室2厅 | 146平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,125,"8,562元/平"
