标题,开发商,房子信息,发布信息,售价/万,单价
高新佳园三期丨中间楼层丨单价4000多丨本满二丨首付16,高新佳园三期 -高新区,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,53,"4,183元/平"
高新十路 兰亭雅居 毛坯  两室  全明户型  结构合理,蘭亭雅居 -高新区,2室1厅 | 103.37平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,4人关注 / 一年前发布,47,"4,547元/平"
西关优质大三居，多层1楼，小区环境优美,陕西机电职业技术学院家属楼 -新福路,3室2厅 | 108.76平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,32,"2,943元/平"
户型方正，无浪费面积，南北通透，采光好,豪城C天下 -新福路,3室2厅 | 103.31平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,14人关注 / 一年前发布,48.9,"4,734元/平"
河景现房 即买即住 视野好 南北透通 采光充足,高新锦园 -高新区,3室2厅 | 128.55平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,65,"5,057元/平"
左岸新城 免大税 电梯3室 前面无遮挡 小区中间位置,左岸新城 -高新区,3室2厅 | 138.19平米 | 南 北 | 简装 | 低楼层(共15层)  | 板塔结合,22人关注 / 一年前发布,75,"5,428元/平"
房东急售 经二路东段 巨一时代广场 电梯三室,巨一时代广场 -火车站,3室2厅 | 135.1平米 | 南 北 | 毛坯 | 27层  | 板楼,0人关注 / 3个月以前发布,70,"5,182元/平"
龙廷山水两室毛坯，有房本可按揭。,龙廷山水三期 -石坝河,2室2厅 | 88.03平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,15人关注 / 一年前发布,41.5,"4,715元/平"
桥南河堤 石坝河电梯房 生活便利 采光好 南北通透,秀水居 -石坝河,3室1厅 | 121.61平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,2人关注 / 3个月以前发布,59.8,"4,918元/平"
高新四路大三室，南北通透，好房急售,高新永泰茗苑东区 -高新区,3室2厅 | 138平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 塔楼,1人关注 / 一年前发布,83,"6,015元/平"
永泰茗苑 南北通透 中间楼层 地段繁华,高新永泰茗苑东区 -高新区,2室2厅 | 91.65平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,58,"6,329元/平"
房本满五，大三室，全明户型，双阳台，看了就爱,水木清華 -高新区,3室2厅 | 140.95平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 4个月以前发布,86.5,"6,137元/平"
燃气公司家属院 房东急售 看房方便,燃气公司家属院 -火车站,2室1厅 | 59.17平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,17,"2,874元/平"
房东挥泪出售！改善大四室 一步到位 简装未住人,三迪加州阳光小区 -三迪,4室2厅 | 133.54平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,18人关注 / 一年前发布,82,"6,141元/平"
高新一路可按揭带车库可按揭可自主装修的三室好房,在水一方 -高新区,3室2厅 | 137.57平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板塔结合,21人关注 / 一年前发布,80,"5,816元/平"
曙光路好房，生活方便，配套完善，诚心出售,曙光路18号院 -火车站,2室2厅 | 118.06平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,45,"3,812元/平"
较为文明的三迪小，三迪中在宝鸡属于质量较高的校区,三迪加州阳光小区 -三迪,3室1厅 | 79.61平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,13人关注 / 一年前发布,50.6,"6,356元/平"
多层二楼经典两室.带车库.业主诚心出售.,金色花园 -陈仓园,2室2厅 | 112.35平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 4个月以前发布,54,"4,807元/平"
三迪白金汉  精装修 满二无大税  拎包入住,三迪世纪新城白金汉 -三迪,4室2厅 | 145.74平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,81,"5,558元/平"
石鼓山畔 经典大三室+车位 业主性格好,石鼓天玺台 -石坝河,3室2厅 | 160.09平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,115,"7,184元/平"
"高新一路, 东方文苑电梯大三室，房本满二可按揭",东方文苑 -高新区,3室2厅 | 137.69平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,13人关注 / 一年前发布,75,"5,448元/平"
桥南|人民公园旁边|经典三室|满五|,培训中心家属院 -石坝河,3室2厅 | 84.51平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,35人关注 / 一年前发布,21,"2,485元/平"
业主急售 火车站2012年电梯中间楼层满五唯一！,香榭里街区 -火车站,2室1厅 | 100.04平米 | 北 | 简装 | 31层  | 板楼,3人关注 / 6个月以前发布,35.6,"3,559元/平"
高芯仲学旁，南北通，大两室，出门就是步行街,宝石明德沁园 -高新区,2室2厅 | 108.26平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,61,"5,635元/平"
人民街旁低楼层3室户型，价位合适，欲速从购,中山东路257号 -火车站,3室1厅 | 101.48平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 8个月以前发布,29.8,"2,937元/平"
高新四路 左岸新城 大2室 手续齐全诚心出售,左岸新城 -高新区,2室2厅 | 96.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,49.8,"5,156元/平"
高新二路;精装修三室房本满二可按揭,城市枫景 -高新区,3室2厅 | 121.38平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,84,"6,921元/平"
高新二路  城市枫景  一梯两户  拎包入住,城市枫景 -高新区,3室2厅 | 121.38平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,75,"6,179元/平"
小区位于高新二路出行方便环境优美,城市枫景 -高新区,2室1厅 | 83.07平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,52.9,"6,369元/平"
高新一路 繁华地段 在水一方 房本满五,在水一方 -高新区,3室2厅 | 140.23平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,7人关注 / 一年前发布,78,"5,563元/平"
人民街旁低楼层3室户型，价位合适，欲速从购,中山东路257号 -火车站,3室1厅 | 101.48平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 8个月以前发布,29.8,"2,937元/平"
高新四路，业主诚心出售，地段好,水韵江南 -高新区,2室2厅 | 103.97平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,52人关注 / 一年前发布,49.5,"4,761元/平"
此房满五，户型方正，采光通风较好，房东急售,渭工路 -火车站,2室2厅 | 95.42平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,28.6,"2,998元/平"
高新四路   中装三室    房本满二   房东诚心出售,左岸新城 -高新区,3室2厅 | 138平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,60,"4,348元/平"
此房户型方正，采光好，房子保养的不错,太白路5号院 -桥南,2室1厅 | 98.32平米 | 北 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,37,"3,764元/平"
东高新品质电梯房  一梯两户  满五唯一  大三室  73万,百合高尔夫印象小区 -高新区,3室2厅 | 147.57平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,7人关注 / 一年前发布,65,"4,405元/平"
火车站 开元东面 电梯房 采光充足 出行交通便利,香榭里街区 -火车站,2室2厅 | 96.84平米 | 东 北 | 精装 | 31层  | 板楼,9人关注 / 一年前发布,35,"3,615元/平"
多层洋房，南北通透，户型方正，满二年,华辰凤凰城 -卧龙寺,3室2厅 | 135.59平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,60,"4,426元/平"
业主急售红旗路简装修两室住宅楼一套,5A洋房小区 -火车站,1室1厅 | 55.11平米 | 北 | 简装 | 高楼层(共13层)  | 塔楼,0人关注 / 3个月以前发布,19.9,"3,611元/平"
高新四路 左岸新城 环境好  三室低价位,左岸新城 -高新区,3室2厅 | 135.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,60,"4,416元/平"
桥南 成熟社区 国道巷一号院 2室 南北通透,国道巷一号院 -桥南,2室2厅 | 76.48平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,10人关注 / 一年前发布,18,"2,354元/平"
东风路   三运公司家属院   二室一厅    简装,三运司家属楼 -上马营,2室2厅 | 67.55平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,22.8,"3,376元/平"
第五大道、联盟路、联盟雅居苑、联盟花园,上马营二号小区 -上马营,2室2厅 | 81.89平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,25,"3,053元/平"
龙廷山水 大两居室  新小区 小区环境好  适合居住,龙廷山水三期 -石坝河,2室2厅 | 88.03平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,6人关注 / 一年前发布,49,"5,567元/平"
桥南 虹桥高新花园3室 有本可按揭 地段好 闹中取静,虹桥高新花园 -桥南,3室2厅 | 132.14平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,52,"3,936元/平"
公园路环境美 电梯小高层 简装大三室,凌云·锦绣 -桥南,3室2厅 | 141.02平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,69.9,"4,957元/平"
上马营三室电梯房.产权清晰.户型好.好房不等人,宝铁华苑小区 -上马营,3室2厅 | 135.32平米 | 东南 | 精装 | 25层  | 板塔结合,8人关注 / 一年前发布,68,"5,026元/平"
田丰园 南北通透大三居，户型方正，看房方便,田丰园 -上马营,3室2厅 | 133.64平米 | 北 南 | 简装 | 7层  | 板楼,3人关注 / 6个月以前发布,38.3,"2,866元/平"
城市公馆  电梯入户四居室  可按揭 带车位,城市公馆 -高新区,3室2厅 | 153.26平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,113,"7,374元/平"
客户急售，新装修未住人，价位可谈,华辰凤凰城 -卧龙寺,2室2厅 | 82.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,1人关注 / 一年前发布,43.8,"5,291元/平"
电梯房经典三室  户型格局方正采光好,三迪加州阳光小区 -三迪,4室2厅 | 128平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,82,"6,407元/平"
卧龙寺，多层三室，房本满2年，多层洋房，随时可看,华辰凤凰城 -卧龙寺,3室2厅 | 134.99平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,17人关注 / 一年前发布,63,"4,668元/平"
一步到位 有车位 有地下室 有房子 欢迎来看,聚丰香树湾 -高新区,3室2厅 | 121.34平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,3人关注 / 5个月以前发布,82,"6,758元/平"
高新西    大三室    毛坯  户型方正,龙廷山水三期 -石坝河,3室2厅 | 139.42平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,79,"5,667元/平"
桥南金盾小区，2室好楼层，看房方便！,金盾新都市 -桥南,2室2厅 | 116.2平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,14人关注 / 一年前发布,43,"3,701元/平"
房子石油电梯房，电梯中间楼层 采光好 产权清晰满..,宝石东厂社区 -上马营,2室2厅 | 101.86平米 | 南 北 | 简装 | 24层  | 板塔结合,1人关注 / 3个月以前发布,38,"3,731元/平"
此房满五唯一，产权清晰，两室两厅两卫错层风格,天上人间都市花园 -火车站,2室2厅 | 113.02平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,8人关注 / 一年前发布,47,"4,159元/平"
桥南繁华位置，三室结构，可拎包入住，可按揭。,太白佳园 -桥南,3室2厅 | 130.23平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,12人关注 / 一年前发布,51,"3,917元/平"
桥南繁华地段  交通便利 户型号 采光好,盛华大厦 -桥南,3室2厅 | 137.3平米 | 东南 | 简装 | 中楼层(共23层)  | 板塔结合,0人关注 / 一年前发布,55,"4,006元/平"
小区位于高新二路出行方便环境优美,城市枫景 -高新区,2室1厅 | 83.07平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,52.9,"6,369元/平"
房子户型好，楼层不高适合老人陪孩子,百合高尔夫印象小区 -高新区,3室2厅 | 136.84平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,62.8,"4,590元/平"
宝钛新区  中间楼层   经典两室房,宝钛新区 -高新区,2室2厅 | 79.56平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,32,"4,023元/平"
金台大道 电梯两居室  中间楼层 看房方便,东风路街道西社区 -上马营,2室2厅 | 67.69平米 | 东 北 | 简装 | 中楼层(共12层)  | 板塔结合,24人关注 / 一年前发布,22.8,"3,369元/平"
高芯 贰 小旁，全明大三室，一梯两户，纯板式房,万润城市花园 -高新区,3室2厅 | 133.05平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,77,"5,788元/平"
桥南三室采光好无遮挡业主急售。,公园路98号院 -桥南,3室2厅 | 121.02平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,7人关注 / 11个月以前发布,29.8,"2,463元/平"
桥南华夏盛世家园大三室，业主诚心出售。。。,华夏盛世佳园 -桥南,3室2厅 | 148.35平米 | 南 北 | 简装 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,89.8,"6,054元/平"
桥南大三室河景房 电梯房 回老家着急出售,中铁一局五公司路西小区 -桥南,3室2厅 | 150.8平米 | 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,73,"4,841元/平"
桥南  四室电梯房无大税，业主急售，有钥匙随时看房,盛华大厦 -桥南,4室2厅 | 148.35平米 | 南 | 简装 | 高楼层(共23层)  | 板塔结合,0人关注 / 一年前发布,65,"4,382元/平"
桥南大三室电梯房  格局方正  采光充足   一梯两户,姜園 -桥南,3室2厅 | 149.65平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 7个月以前发布,57,"3,809元/平"
此房方方正正，精装、复式、准新房。,百翠园 -新福路,3室2厅 | 137.78平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,67,"4,863元/平"
南北通透 小区环境安静；物业好,公交三公司家属院 -卧龙寺,3室1厅 | 135.14平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,46,"3,404元/平"
东高新四路 水韵江南 两室精装修带家具家电 产权清晰,水韵江南 -高新区,2室1厅 | 98.21平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 6个月以前发布,71,"7,230元/平"
桥南 繁华地段 成熟社区 非顶楼 单价3100 房本满二,宝鸡高新住宅区科苑园 -桥南,2室2厅 | 115.67平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,29.8,"2,577元/平"
大庆路东段精装修两居室 未入住 业主急售 全明户型,万祥尚锦 -大庆路,2室2厅 | 98.13平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,6人关注 / 一年前发布,61,"6,217元/平"
此房（房产证）满五年且唯一，无大税，税费少,渭水苑B区 -高新区,4室2厅 | 158.44平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,11人关注 / 一年前发布,85.6,"5,403元/平"
繁华地段 多层二楼 南北朝向 停车方便 价位实惠,五一造纸总厂家属院 -新福路,2室2厅 | 51.74平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,15,"2,900元/平"
卧龙寺朝阳华城大三室房屋急切出售,朝阳华城 -卧龙寺,3室1厅 | 121.62平米 | 东 | 毛坯 | 中楼层(共6层)  | 塔楼,13人关注 / 一年前发布,48,"3,947元/平"
房本满5年，教育完善，精装修，有房本，免大税个税,城市枫景 -高新区,2室2厅 | 93.27平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,58,"6,219元/平"
此房格局合理，户型好，采光好，交通便利,建华小区 -群众路,2室1厅 | 69.22平米 | 南 | 简装 | 7层  | 板塔结合,9人关注 / 一年前发布,19.5,"2,818元/平"
上马营中间楼层明厨明卫，南北通透2居室，有钥匙,金台地税局住宅楼 -上马营,2室2厅 | 108.29平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 10个月以前发布,33.8,"3,122元/平"
新建路 天上人间 大三室 拎包入住   可按揭,天上人间都市花园 -火车站,3室2厅 | 137.96平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,1人关注 / 一年前发布,50,"3,625元/平"
"此房，户型方正，中间楼层视野开阔,业主诚心出售",龙廷山水三期 -石坝河,2室2厅 | 92.4平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,1人关注 / 11个月以前发布,55,"5,953元/平"
新小区，配套设施齐全！一梯两户板式楼！,联盟雅居苑 -上马营,2室2厅 | 109.1平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,68,"6,233元/平"
大庆路 西铁斗鸡小区 精装三室 看房方便 价位可谈,西铁斗鸡小区 -大庆路,3室2厅 | 108.58平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,11人关注 / 一年前发布,40,"3,684元/平"
经典三室   户型格局方正   采光好,三迪加州阳光小区 -三迪,3室2厅 | 115.38平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,20人关注 / 一年前发布,63,"5,461元/平"
宝平路大两室，低总价，拎包入住 随时可看 价格可谈,阳光花园 -群众路,2室2厅 | 94.99平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,26.5,"2,790元/平"
南北通透，出行比较方便，安全性高,宝鸡电视台家属院 -火车站,2室1厅 | 79.79平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,18.8,"2,357元/平"
高新二xiao旁 宝文理 精装两室 水木清华 房本满二,水木清華 -高新区,2室2厅 | 85.19平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,60,"7,044元/平"
高新四路 左岸新城  两室南北通透  房本满五年,左岸新城 -高新区,2室2厅 | 100.21平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,2人关注 / 10个月以前发布,59.5,"5,938元/平"
小区配套完善 南北无遮挡 采光视野好 拎包入住 公摊小,朝阳华城 -卧龙寺,3室2厅 | 130.58平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,9人关注 / 一年前发布,51.8,"3,967元/平"
蟠龙花园 2室1厅 南 西,蟠龙花园 -上马营,2室1厅 | 92.87平米 | 南 西 | 其他 | 7层  | 板塔结合,0人关注 / 5个月以前发布,32,"3,446元/平"
桥南繁华路段生活便利两室一厅电梯房,宝鸡卷烟厂英达路住宅小区 -桥南,2室2厅 | 91.53平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,28.9,"3,158元/平"
上马营东风路低楼层3居室，南北通透，明厨明卫可贷款,石油小区(东风路) -上马营,3室2厅 | 99.32平米 | 南 北 | 简装 | 7层  | 板楼,4人关注 / 5个月以前发布,41.5,"4,179元/平"
高新区大二室，地段好，很好入手,盛园锦都 -高新区,2室2厅 | 97.79平米 | 东 南 | 毛坯 | 中楼层(共21层)  | 板塔结合,4人关注 / 10个月以前发布,49.8,"5,093元/平"
滨河花园电梯房，中楼层纯南户，房东诚意出售,滨河花园(渭滨区) -火车站,2室1厅 | 92.34平米 | 南 | 简装 | 中楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,46,"4,982元/平"
中间楼层，交通便利，装修比较新,大庆路95号院 -大庆路,2室2厅 | 104平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,43,"4,135元/平"
高新一路，毛坯大三室，现买现装修。,在水一方 -高新区,3室2厅 | 137.57平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,14人关注 / 一年前发布,76,"5,525元/平"
装修，房子干净，全明户型，家电齐全,宝鸡卷烟厂金渭路住宅小区 -火车站,2室2厅 | 83平米 | 东 西 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,23,"2,772元/平"
业主急售，环境优美，可随时到场签,医药公司小区 -上马营,2室1厅 | 68平米 | 南 | 简装 | 7层  | 塔楼,1人关注 / 一年前发布,17.5,"2,574元/平"
新建路成熟商圈精致户型诚心出售！,天上人间都市花园 -火车站,3室2厅 | 131.74平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,10人关注 / 一年前发布,44,"3,340元/平"
高新四路 成熟小区 配套齐全 生活方便,左岸新城 -高新区,3室2厅 | 116.51平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,78,"6,695元/平"
渭滨区桥南繁华路段生活便利，交通方便三室,农行家属院 -桥南,3室2厅 | 101.67平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,35.9,"3,532元/平"
经二路  两室简单装修  适合年轻人  支持贷款,焦化厂家属院(渭滨区) -火车站,2室1厅 | 64.46平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,13.5,"2,095元/平"
小区环境优美，户型好，房龄新，多层房源,田丰园 -上马营,2室2厅 | 98.23平米 | 南 | 简装 | 7层  | 板楼,1人关注 / 一年前发布,31,"3,156元/平"
边套全明户型，电梯复式三室，现买现装修，年底住新家,水木清華 -高新区,3室2厅 | 58.76平米 | 南 东 | 简装 | 低楼层(共16层)  | 板楼,17人关注 / 一年前发布,45,"7,659元/平"
高新四路 繁华地段 小区安静 出现方便 生活便利,水韵江南 -高新区,3室2厅 | 144.97平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,57,"3,932元/平"
此房满五，采光 户型好，购物交通便利，教育资源丰富,油毡厂小区 -大庆路,2室2厅 | 76.9平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,25,"3,251元/平"
宝石明德沁园   南北通透两居室    可按揭,宝石明德沁园 -高新区,2室2厅 | 110.8平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 9个月以前发布,59.5,"5,371元/平"
东风路成熟配套小高层，好户型，公摊小,佳景园 -上马营,2室2厅 | 107.62平米 | 南 北 | 精装 | 18层  | 板楼,2人关注 / 一年前发布,49.5,"4,600元/平"
渭水苑B区丨电梯小高层丨房本满二丨南北通透丨,渭水苑B区 -高新区,3室2厅 | 134.74平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板塔结合,0人关注 / 3个月以前发布,75,"5,567元/平"
户型方正，采光好，房子空间大，可以贷款可以按揭,恒基小区 -上马营,2室2厅 | 102.25平米 | 南 | 简装 | 6层  | 板楼,0人关注 / 一年前发布,32,"3,130元/平"
东风路东段大两室房龄短多层2楼南北通透支持按揭,盛景乐园 -上马营,2室1厅 | 82平米 | 南 北 | 毛坯 | 6层  | 板楼,11人关注 / 一年前发布,32.9,"4,013元/平"
联盟桥南 一线河景房 南北通透 户型方正,秀水居 -石坝河,3室2厅 | 122.44平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,59,"4,819元/平"
桥南赛特路虹桥高新花园120平3室2厅精装修拎包入住,虹桥高新花园 -桥南,3室2厅 | 120.93平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,23人关注 / 一年前发布,45,"3,722元/平"
大三室 中间楼层 采光好视野好,八方山铅锌矿业有限责任公司家属院 -桥南,3室2厅 | 121平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,37,"3,058元/平"
宏文路 供电东区家属院 两居室 看房方便,东站东区 -上马营,2室1厅 | 52.76平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,18,"3,412元/平"
此房满五，南北通透全明户型，中间楼层,宝光小区南区 -石坝河,2室2厅 | 91.33平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,36.5,"3,997元/平"
户型方正，无增值税，看房方便。,左岸新城 -高新区,3室2厅 | 119.36平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,16人关注 / 一年前发布,66.9,"5,605元/平"
高新医院旁  三居  可按揭  可自主装修  好房来袭,高新永泰茗苑 -高新区,3室2厅 | 134.42平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,36人关注 / 一年前发布,60,"4,464元/平"
高新四路人人乐丨电梯房看房方便环境优雅丨低首付,城市公馆 -高新区,3室2厅 | 115.02平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,73,"6,347元/平"
宏文路 供电东区家属院 两居室 看房方便,东站东区 -上马营,2室1厅 | 52.76平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,18,"3,412元/平"
此房满五，南北通透全明户型，中间楼层,宝光小区南区 -石坝河,2室2厅 | 91.33平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,36.5,"3,997元/平"
金台区 中山东路 两居室 中楼层 简装 随时看房,油脂饲料公司家属院 -群众路,2室1厅 | 52.3平米 | 西 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,15,"2,869元/平"
此房有房本支持按揭   小区已经在统计加装电梯,都市名园小区 -火车站,3室2厅 | 138平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,24人关注 / 一年前发布,35,"2,537元/平"
楼层好，采光充足，配套设施齐全，，，，，，，，，,宝鸡卷烟厂家属院 -上马营,2室1厅 | 69.32平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,5人关注 / 7个月以前发布,25.8,"3,722元/平"
天玺台 南北通透户型 简装大三室 诚心出售,石鼓天玺台 -石坝河,3室2厅 | 139.22平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,104,"7,471元/平"
高新医院旁  三居  可按揭  可自主装修  好房来袭,高新永泰茗苑 -高新区,3室2厅 | 134.42平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,36人关注 / 一年前发布,60,"4,464元/平"
高新二路精装修三室 高新zhongxue隔壁 业主诚心出售,宝石明德沁园 -高新区,3室1厅 | 120.37平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,15人关注 / 一年前发布,53,"4,404元/平"
东高新三路 宝中隔壁 大两室中间楼层 满两年没有大税,田丰高新国际 -高新区,2室2厅 | 105平米 | 南 北 | 简装 | 7层  | 板楼,1人关注 / 一年前发布,53,"5,048元/平"
东高新一路 高新zhong学旁 在水一方精装修 产证满两年,在水一方 -高新区,2室2厅 | 103.59平米 | 西南 | 简装 | 低楼层(共24层)  | 塔楼,8人关注 / 一年前发布,62,"5,986元/平"
左岸新城  中间位置  三室两厅 带空中花园  随时看房,左岸新城 -高新区,3室2厅 | 169.27平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 3个月以前发布,99,"5,849元/平"
东高新三路左岸新城 大型社区 中间位置安静宜居满两年,左岸新城 -高新区,2室2厅 | 119.51平米 | 西南 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,70,"5,858元/平"
