标题,开发商,房子信息,发布信息,售价/万,单价
金港静园，带20平大露台，精装2+1户型，业主诚心卖,金港静园 -路北区,2室1厅 | 97.52平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 29天以前发布,123,"12,613元/平"
高duan小区的景观大宅，跃层    直观南湖,仁恒湖滨城 -路南区,4室2厅 | 242.52平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 8个月以前发布,470,"19,380元/平"
荣盛锦绣花苑二期 3室2厅 南 北,荣盛锦绣花苑二期 -丰南区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,12人关注 / 6个月以前发布,87,"8,970元/平"
户型好，实际使用面积大，马上老本，省税，楼层好,恒大学庭 -高新区,3室2厅 | 122平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,14人关注 / 4个月以前发布,175,"14,345元/平"
小区人车分流，户型方正，凤凰新城,荣泰尚都 -路北区,2室2厅 | 89.75平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,12人关注 / 8个月以前发布,119,"13,260元/平"
万科·南湖春晓五期(观澜苑) 4室1厅 南 北,万科·南湖春晓五期(观澜苑) -路南区,4室1厅 | 157平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,220,"14,013元/平"
双湖锦苑 大三室 有本可贷款 房主诚心出售,双湖锦苑一期 -丰南区,3室1厅 | 115平米 | 南 北 | 简装 | 低楼层(共26层)  | 板楼,1人关注 / 2个月以前发布,70.8,"6,157元/平"
洪阳家园大三室，精装修，全屋定制，品牌家具,荣盛▪湖畔郦舍洪阳家园 -丰南区,3室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,34人关注 / 7个月以前发布,92.8,"6,490元/平"
德源里楼层好位置好可贷款 南北通透户型好小区环境好,德源里 -路北区,3室1厅 | 71.18平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,6人关注 / 5个月以前发布,95,"13,347元/平"
老本唯一，中间楼层，户型好，全天采光无遮挡，诚心卖,新世界水景花苑 -丰南区,3室2厅 | 112.52平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,5人关注 / 4个月以前发布,72,"6,399元/平"
青龙湖畔，低密洋房别墅社区，精装修四居室，适合养老,富力盛悦居 -路北区,4室2厅 | 130.21平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,4人关注 / 9个月以前发布,195,"14,976元/平"
天元小三居户型，公摊低，价格合适业主诚心出售,天元花园 -路北区,3室1厅 | 108平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,132,"12,223元/平"
凤凰新城 小高 精装 唐城壹零壹 十二,铂悦山 -路北区,4室2厅 | 165.75平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,12人关注 / 5个月以前发布,349,"21,056元/平"
花苑二期商品房 南北通透格局 楼层好 视野开阔,荣盛锦绣花苑二期 -丰南区,3室2厅 | 121平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,19人关注 / 10个月以前发布,125,"10,331元/平"
锦绣观邸三室 全明户型 有本可以贷款 带装修可拎包住,锦绣观邸 -丰南区,3室2厅 | 98.2平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,7人关注 / 一年前发布,96,"9,776元/平"
瑞鑫花苑103平米南北通透两室，采光通风好,瑞馨花苑 -高新区,3室2厅 | 103.24平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,95,"9,202元/平"
此房为老本，南北通透，房主诚心卖，H户型全天采光,祥荣里小区 -路北区,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 10个月以前发布,206,"16,221元/平"
精装交付  有本可贷款    全天采光,万科公园大道•顺泰园 -路北区,3室2厅 | 116.32平米 | 南 北 | 精装 | 高楼层(共22层)  | 平房,18人关注 / 10个月以前发布,145,"12,466元/平"
中间楼位置+给价就卖+钥匙房源随时看+可贷款,万科公园大道•顺泰园 -路北区,3室2厅 | 109平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,40人关注 / 一年前发布,130,"11,927元/平"
央企 水电首郡 精装短住三居 明厨明卫 急售,电建地产首郡 -路北区,3室2厅 | 126.47平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,21人关注 / 一年前发布,210,"16,605元/平"
洪阳家园三室两厅一卫，宜居好房，不临街,荣盛▪湖畔郦舍洪阳家园 -丰南区,3室2厅 | 118.6平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,5人关注 / 一年前发布,82.5,"6,957元/平"
此房精装修，可拎包入住，户型方正，小区环境好,碧桂园天悦湾一期 -丰南区,4室2厅 | 145平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,11人关注 / 一年前发布,135,"9,311元/平"
新上  香木林 老本  南北通透  明厨明卫两居室,宏翔里香木林 -路北区,2室1厅 | 103.5平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,4人关注 / 7个月以前发布,146,"14,107元/平"
房子老本 南北通 户型漂亮 好楼层 采光棒棒滴！,双湖锦苑二期 -丰南区,3室2厅 | 121平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,88,"7,273元/平"
丰南荣大北面三室一卫，有本可贷款,荣盛翔云家园 -丰南区,3室1厅 | 122平米 | 南 北 | 简装 | 高楼层(共26层)  | 塔楼,21人关注 / 6个月以前发布,69.8,"5,722元/平"
双湖二期北院，精装修三室有本急售好房,双湖锦苑二期 -丰南区,3室1厅 | 139.97平米 | 南 北 | 精装 | 中楼层(共16层)  | 暂无数据,8人关注 / 11个月以前发布,132,"9,431元/平"
碧桂园天悦湾一期 3室2厅 南 北,碧桂园天悦湾一期 -丰南区,3室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 4个月以前发布,135,"10,976元/平"
此房老本，南北通采光格局好，一层一层。,常泰里福乐园 -路南区,2室1厅 | 79.38平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,86,"10,834元/平"
此房落地窗 南北通 格局非 常好 很敞亮,荣盛锦绣花苑二期 -丰南区,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,6人关注 / 一年前发布,107,"9,728元/平"
百合苑  南北通透 大三居 有本随时过户,荣盛·湖畔郦舍百合苑 -丰南区,3室2厅 | 147平米 | 南 北 | 简装 | 中楼层(共26层)  | 塔楼,7人关注 / 9个月以前发布,95,"6,463元/平"
老本唯一，税费低，距离高铁近出行旅游也方便,光明东里 -路北区,1室1厅 | 36平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,53,"14,723元/平"
翔云家园二期 3室2厅 南 北,翔云家园二期 -丰南区,3室2厅 | 107.81平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 19天以前发布,78,"7,235元/平"
祥富里 一层 价格可以议 急售 看房方便 无遮挡,祥富里 -路北区,2室1厅 | 64平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 24天以前发布,82,"12,813元/平"
湖岸新城 2室1厅 南 北,湖岸新城 -丰南区,2室1厅 | 99平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 27天以前发布,65.8,"6,647元/平"
恒大华府                   精装   一室,恒大华府 -路北区,1室0厅 | 42平米 | 东 | 其他 | 高楼层(共20层)  | 板楼,0人关注 / 29天以前发布,27,"6,429元/平"
单价8000 房主急售！老本可贷款 火车站 家万佳 看房方,新天地美域十四区 -路北区,2室1厅 | 67.66平米 | 西北 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 24天以前发布,56,"8,277元/平"
火车站 商品房 精装修 没住过 价格可谈,新天地美域十四区 -路北区,2室1厅 | 80.07平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,19人关注 / 8个月以前发布,75,"9,367元/平"
拎包入住 首付低至8万月供1000多,新世界水景花苑 -丰南区,2室1厅 | 78平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,31人关注 / 9个月以前发布,33,"4,231元/平"
诚心出售价格可议户型好楼层好在小区的位置好有地下室,银丰小区 -丰南区,2室2厅 | 77平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,40,"5,195元/平"
晨龙家园，小区位置好，户型好，环境好,荣盛·晨龙家园 -丰南区,2室2厅 | 108平米 | 南 北 | 简装 | 高楼层(共26层)  | 板塔结合,2人关注 / 11个月以前发布,73,"6,760元/平"
洪阳，南北通透。一天采光。。。。。。。。。。,荣盛▪湖畔郦舍洪阳家园 -丰南区,2室1厅 | 109.28平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,3人关注 / 3个月以前发布,67,"6,132元/平"
河头里 2室1厅 南 北,河头里 -丰南区,2室1厅 | 65.42平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,45,"6,879元/平"
新华道水岸东方+自主室+有本可贷款+好层次好采光,水岸东方 -路南区,1室1厅 | 49.94平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,7人关注 / 一年前发布,32,"6,408元/平"
此房产权清晰。 楼层好，视野开阔，采光好，配套齐,立新东楼 -路南区,2室1厅 | 59.98平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,54,"9,004元/平"
新华园 1室1厅 西,新华园 -路北区,1室1厅 | 53.5平米 | 西 | 精装 | 中楼层(共32层)  | 板塔结合,15人关注 / 8个月以前发布,43,"8,038元/平"
全明户型 带装修  有本能贷款,兴河家园 -丰南区,2室1厅 | 91平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,1人关注 / 6个月以前发布,57,"6,264元/平"
两室  单价不到六千就卖 诚心,世纪龙庭住宅小区二期 -高新区,2室1厅 | 59.87平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,39,"6,515元/平"
唐人街 观湖房 房主诚心卖 尾款自己还 三室户型方正,华彩唐人街壹号 -丰南区,3室1厅 | 88.11平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 10个月以前发布,76,"8,626元/平"
未来城堡，小区位置好，户型好，环境好,荣盛未来城 -丰南区,2室2厅 | 79平米 | 南 北 | 简装 | 中楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,45,"5,697元/平"
全阳户型的格局，户型好，视野好，采光充足,湖岸新城 -丰南区,1室1厅 | 55平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,8人关注 / 10个月以前发布,34,"6,182元/平"
荣盛·晨龙家园 2室2厅 南,荣盛·晨龙家园 -丰南区,2室2厅 | 85平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,52,"6,118元/平"
学院一号中间楼层，H户型。毛坯、可塑性强。,学院一号 -路北区,2室1厅 | 96.3平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,23人关注 / 8个月以前发布,112,"11,631元/平"
范大里茂华府 2室1厅 南,范大里茂华府 -路北区,2室1厅 | 70平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,23人关注 / 6个月以前发布,86,"12,286元/平"
纯商品小区，精装修，有本可贷款，房东人好，价格可议,锦绣天地 -丰南区,2室1厅 | 72.16平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,4人关注 / 10个月以前发布,51,"7,068元/平"
南北通透格局，老本，楼层好，采光充足，配套设施齐全,常泰里福乐园 -路南区,2室1厅 | 85.72平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,15人关注 / 一年前发布,86,"10,033元/平"
景泰怡景文园   老本可贷款  户型好  带地下室,景泰怡景文园 -路北区,2室2厅 | 93平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,18人关注 / 一年前发布,125,"13,441元/平"
房东 诚心出售 好楼层 采光好,白石家园 -丰南区,2室1厅 | 87平米 | 南 | 简装 | 中楼层(共27层)  | 板楼,1人关注 / 4个月以前发布,48,"5,518元/平"
新天地美域十一区 1室1厅 南,新天地美域十一区 -路北区,1室1厅 | 73平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,3人关注 / 6个月以前发布,52,"7,124元/平"
新野上郡祥园  南北通透  H户型,新野上郡祥园 -开平区,2室1厅 | 72.2平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,13人关注 / 8个月以前发布,35,"4,848元/平"
楼层好采光充足，看房方便价钱再议。,康园小区 -开平区,2室1厅 | 75平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,6人关注 / 8个月以前发布,45,"6,000元/平"
房东 诚心出售 好楼层 价格低,白石家园 -丰南区,2室1厅 | 86.82平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,1人关注 / 4个月以前发布,48,"5,529元/平"
房子是婚房装修，户型好，采光好，可贷款,新世界水景花苑 -丰南区,2室2厅 | 91.23平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,65,"7,125元/平"
翔云家园二期 2室1厅 南,翔云家园二期 -丰南区,2室1厅 | 68平米 | 南 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,45,"6,618元/平"
钢城春邑 小区 环境   小两室南北通透,钢城春邑 -路北区,2室2厅 | 82平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,7人关注 / 一年前发布,71,"8,659元/平"
大城山公园旁，环城水系，依山望水，环境优美,公园艺境 -路北区,1室1厅 | 62平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,18人关注 / 一年前发布,53,"8,549元/平"
石城雅居，电梯小高层，回迁房，价钱合适，南北通,石城雅居 -开平区,2室1厅 | 81.07平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 暂无数据,2人关注 / 8个月以前发布,54,"6,661元/平"
楼层好，采光充足，配套设施齐全，交通便利,鹭港小区 -路北区,2室1厅 | 80平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,14人关注 / 3个月以前发布,95,"11,875元/平"
张各庄南北通透南客厅可贷款，，，，,张各庄社区 -路北区,2室2厅 | 75.86平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,16人关注 / 4个月以前发布,52,"6,855元/平"
健康楼社区 1室0厅 南,健康楼社区 -路北区,1室0厅 | 36平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,1人关注 / 4个月以前发布,35.8,"9,945元/平"
铂悦派 2室1厅 南 北,铂悦派 -路北区,2室1厅 | 60平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,5人关注 / 一年前发布,85,"14,167元/平"
启新1889  钢城春邑 全阳户型  中间层次 采光好,钢城春邑 -路北区,1室1厅 | 64平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,7人关注 / 一年前发布,58,"9,063元/平"
南北通两居室  户型很好  诚心出售,古镇新城御园 -开平区,2室2厅 | 91平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,16人关注 / 一年前发布,72,"7,913元/平"
家门口上学！金盛二期老本好楼层40万带地下室！,金盛花苑二期 -丰南区,1室1厅 | 58.63平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,40,"6,823元/平"
二层 房主诚心卖 双阳采光好................,红星里 -路北区,2室1厅 | 51.27平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,50,"9,753元/平"
仁泰里 好楼层 老本过户费低 采光好,仁泰里 -路北区,2室1厅 | 84.81平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 9个月以前发布,76,"8,962元/平"
房主诚心卖，老本唯一，看房方便，户口可迁,光明东里 -路北区,2室1厅 | 48.1平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,63,"13,098元/平"
锦绣天地 2室1厅 南,锦绣天地 -丰南区,2室1厅 | 72.4平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 6个月以前发布,57,"7,873元/平"
光明南里 2室1厅 南 北,光明南里 -路北区,2室1厅 | 54.33平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 4个月以前发布,45,"8,283元/平"
吉庆里 2室2厅 南 北,吉庆里 -高新区,2室2厅 | 66.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 4个月以前发布,54,"8,096元/平"
诚心出售，产权清晰明确，中间层次,红星里 -路北区,2室1厅 | 51平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 4个月以前发布,46,"9,020元/平"
本方楼层好，视野好 采光充足，交通便利，房主人也好,湖岸新城 -丰南区,2室1厅 | 70.62平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,4人关注 / 6个月以前发布,45,"6,373元/平"
出售精装一室首付几万块月供1000多,富力城小区 -遵化市,1室1厅 | 52平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,38.5,"7,404元/平"
水岸荣华 1室1厅 南,水岸荣华 -路北区,1室1厅 | 49.76平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,13人关注 / 8个月以前发布,44,"8,843元/平"
房子室内宽敞明亮，视线采光没得挑！,恒大华府 -路北区,2室1厅 | 94.1平米 | 东南 | 简装 | 中楼层(共20层)  | 板楼,210人关注 / 一年前发布,69,"7,333元/平"
文南楼 一层 人民医院  一室一厅可以扩小院,文南楼东区 -路南区,1室1厅 | 36平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,32,"8,889元/平"
裕华嘉苑南侧 步梯一层 不挡光 老本 诚心卖 双阳面,燕山里向阳楼 -路北区,2室1厅 | 51.13平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,53,"10,366元/平"
户型方正，南北通透，位置好采光好,湖岸新城 -丰南区,2室1厅 | 70.28平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,19人关注 / 一年前发布,40,"5,692元/平"
恒泰悦季，精装两室出售，带露台，离青龙湖近,龙成里恒泰悦季 -路北区,2室2厅 | 88.84平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 10个月以前发布,105,"11,820元/平"
双湖锦苑二期 2室1厅 南 北,双湖锦苑二期 -丰南区,2室1厅 | 98平米 | 南 北 | 毛坯 | 低楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,85,"8,674元/平"
恒大金碧物业，小区管理有序，地段好，成熟社区,恒大学庭 -高新区,1室1厅 | 57.26平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,22人关注 / 一年前发布,49,"8,558元/平"
户型方正，南北通透，位置好采光好,湖岸新城 -丰南区,2室1厅 | 70.28平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,19人关注 / 一年前发布,40,"5,692元/平"
老本可贷款，诚心卖，基本随时看房,德源里 -路北区,2室1厅 | 58.3平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,11人关注 / 8个月以前发布,68,"11,664元/平"
爱国楼 1室1厅 南,爱国楼 -路南区,1室1厅 | 36平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 5个月以前发布,27,"7,500元/平"
房子有本可以贷款，户型好，南北通透，采光好，,渤海豪庭 -路南区,2室2厅 | 85.85平米 | 南 北 | 简装 | 高楼层(共31层)  | 板楼,4人关注 / 5个月以前发布,90,"10,484元/平"
红星楼  阳面两室 全天采光 视野广阔 满五唯一住房,红星里 -路北区,2室1厅 | 51平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,13人关注 / 一年前发布,35,"6,863元/平"
南北通大俩室装修完一天没住有本可贷款中间楼层,湖岸新城 -丰南区,2室1厅 | 95.6平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,1人关注 / 1个月以前发布,63,"6,590元/平"
祥丰里小区 2室1厅 南 北,祥丰里小区 -路北区,2室1厅 | 75.05平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 4个月以前发布,94,"12,525元/平"
天源骏景  精装房 飞机带翅膀户型 双明卫 拎包入住,天源骏景 -路北区,3室2厅 | 152平米 | 南 北 | 精装 | 中楼层(共10层)  | 暂无数据,17人关注 / 6个月以前发布,265,"17,435元/平"
吾悦和府 3室2厅 南 北,吾悦和府 -路北区,3室2厅 | 128.94平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,3人关注 / 8个月以前发布,179,"13,883元/平"
世纪龙庭C区 2室2厅 南,世纪龙庭C区 -高新区,2室2厅 | 95平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,3人关注 / 9个月以前发布,122,"12,843元/平"
东越河花苑 三室公摊小 房主诚心卖,东越河花苑 -开平区,3室2厅 | 107平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,12人关注 / 10个月以前发布,36,"3,365元/平"
仁泰里南北通三居室，一梯两户小高层，户型方正公摊小,仁泰里 -路北区,3室2厅 | 137平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,110,"8,030元/平"
东新苑黄巾一层 84平两居南北通 满五唯一过户省钱,东新苑 -开平区,2室1厅 | 84.44平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,60.8,"7,201元/平"
常泰里福乐园 2室1厅 南 北,常泰里福乐园 -路南区,2室1厅 | 91平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,88,"9,671元/平"
洪阳家园南北通大两室 有本可贷款 带地下室家具,荣盛▪湖畔郦舍洪阳家园 -丰南区,2室2厅 | 110.72平米 | 南 北 | 简装 | 高楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,71.8,"6,485元/平"
海航叠山院精装三室马上老本可贷款,海航叠山院 -路北区,3室2厅 | 146.61平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,238,"16,234元/平"
有本可贷款，精装修，中高楼层，采光好,万科公园大道•顺泰园 -路北区,3室2厅 | 109平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 1个月以前发布,130,"11,927元/平"
精装拎包入住  采光好无遮挡 有本可贷款,恒大学庭 -高新区,3室1厅 | 123平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,11人关注 / 4个月以前发布,175,"14,228元/平"
锦绣天城120平米大三居，户型好，位置好。,荣盛锦绣天城 -丰南区,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,101.5,"8,459元/平"
勤源里四季花苑精装三室南北通户型,勤源里四季花苑 -路北区,3室2厅 | 140.8平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,199,"14,134元/平"
老本，不把边不临街，景观效果好，全天采光，南北通透,梧桐大道 -路北区,3室2厅 | 169平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,8人关注 / 一年前发布,265,"15,681元/平"
南北通透，明厨明卫，三层，楼下就是社区花园。,河茵里 -高新区,2室2厅 | 62.4平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,66,"10,577元/平"
站西片区 万科物业 小高层 精装修大三室老本可贷款！,万科公园大道•顺泰园 -路北区,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,160,"13,115元/平"
老本可贷款，带装修拎包入住，一层带小院。,龙凤嘉苑 -丰南区,2室2厅 | 88平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,28,"3,182元/平"
万科金域缇香40多万精装修拎包入住 中间层,万科金域缇香 -路北区,3室2厅 | 134.9平米 | 南 北 | 其他 | 中楼层(共13层)  | 板塔结合,34人关注 / 一年前发布,310,"22,980元/平"
水电首郡大院 精装干净 老本可贷款 三居两卫户型,电建地产首郡 -路北区,3室2厅 | 115.26平米 | 南 北 | 其他 | 低楼层(共26层)  | 板楼,35人关注 / 一年前发布,199,"17,266元/平"
30万精装修，全明户型，交通便利，视野开阔，采光充足,天元花园 -路北区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 6个月以前发布,132,"12,223元/平"
此房精装修   业主诚心卖  看房提前联系····,荣盛锦绣花苑二期 -丰南区,3室2厅 | 110.12平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,16人关注 / 一年前发布,109.5,"9,944元/平"
30万精装修，全明户型，交通便利，视野开阔，采光充足,天元花园 -路北区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 6个月以前发布,132,"12,223元/平"
步梯三层三室，老本，能贷款，看房方便有钥匙,莲景花苑 -路北区,3室1厅 | 107平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,12人关注 / 6个月以前发布,120,"11,215元/平"
福乐园南北通两居室，2000年的房子可公积金贷款价格低,常泰里福乐园 -路南区,2室2厅 | 73.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,52,"7,066元/平"
马上办本 中间楼层 环境优美 优质好房 看房方便,裕华嘉苑三期 -路北区,3室2厅 | 105平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,19人关注 / 6个月以前发布,123,"11,715元/平"
恒大精装修三居室，业主诚意出售，价格能小刀,恒大龍庭B区 -高新区,3室1厅 | 109.34平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,4人关注 / 6个月以前发布,105,"9,604元/平"
三层老本，精装修，急售...........,煤研里 -路北区,3室1厅 | 71.97平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,2人关注 / 4个月以前发布,85,"11,811元/平"
三层  两室两厅H户型  落地窗  产权清晰,都市花园小区 -高新区,2室2厅 | 95平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,18人关注 / 一年前发布,115,"12,106元/平"
新上 保真 五十四 首付50万  天元大三室 老本带车位,天元花园 -路北区,3室2厅 | 147.8平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,51人关注 / 一年前发布,180,"12,179元/平"
石油家园 130A飞机带翅膀户型 高层全天不挡 满五唯一,石油家园 -路北区,3室2厅 | 136.22平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,36人关注 / 8个月以前发布,200,"14,683元/平"
中建城 3室1厅 南,中建城 -丰润区,3室1厅 | 96.07平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 4个月以前发布,80,"8,328元/平"
总价位低 房主诚心置换 如果看上房子，价位可议,铁南小区 -丰南区,2室1厅 | 58平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,15.6,"2,690元/平"
冯大里新村四层四层，54，有本可贷款，诚心卖随时看,冯大里新村 -路北区,3室2厅 | 132.3平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 3个月以前发布,150,"11,338元/平"
天元花园 不临街  业主诚意出售,天源骏景 -路北区,3室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,12人关注 / 一年前发布,196,"14,849元/平"
开平马矿新区 证件齐全 可过户 小3室 采光无遮挡,马矿新区小区 -开平区,3室1厅 | 58平米 | 东 南 | 其他 | 中楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,40,"6,897元/平"
龙福里公交楼 2室2厅 南 北,龙福里公交楼 -路北区,2室2厅 | 72平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,13人关注 / 5个月以前发布,35,"4,862元/平"
