标题,开发商,房子信息,发布信息,售价/万,单价
西部新城 园林小区 电梯房 装修保养好 关门卖拎包入住,阳光路苑三期 -城南片区,3室2厅 | 76.36平米 | 西 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 7天以前发布,58.8,"7,701元/平"
此房位置好，成交快，欢迎大家带看,景苑山水华庭 -会理县,3室2厅 | 116.92平米 | 东南 | 毛坯 | 低楼层(共20层)  | 板塔结合,5人关注 / 一年前发布,72,"6,159元/平"
邦泰花园城二期花园洋房套三双卫电梯独立入户,邦泰花园城二期 -西部新城片区,3室2厅 | 74.2平米 | 北 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 13天以前发布,95.6,"12,885元/平"
七小 正规套三 精装修 业主诚售 看房方便,西昌市公路管理局家属院 -老城片区,3室2厅 | 89.57平米 | 东 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,75,"8,374元/平"
此房为三室两厅一厨一卫，户型方正，楼层好。,守府路37号 -会理县,3室2厅 | 91.41平米 | 东 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 4个月以前发布,48.8,"5,339元/平"
海河帝景A区，地段好，小区环境好,海河帝景A区 -城南片区,2室2厅 | 84.91平米 | 西南 | 精装 | 中楼层(共7层)  | 平房,7人关注 / 一年前发布,78,"9,187元/平"
个体大厦旁，晏兴佳苑，地段好。,晏兴佳园 -老城片区,3室2厅 | 74.21平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,64,"8,625元/平"
航天阳光精装套三双卫，租售一体,航天阳光 -长安片区,3室2厅 | 105.96平米 | 东 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,116,"10,948元/平"
此房中间楼层跃层，装修精致，布局合理，房东诚心出售,鹭洲威尼斯半岛B  -三岔口片区,4室1厅 | 119.6平米 | 西 | 其他 | 高楼层(共20层)  | 塔楼,0人关注 / 12天以前发布,160,"13,378元/平"
市中 心精装小高层大套四带车位出售,州林业局南桥小区 -三岔口片区,4室2厅 | 138.92平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,107,"7,703元/平"
生活便利，出行方便，配套成熟 小区介绍..,出山大厦 -宁远桥片区,3室2厅 | 98.53平米 | 北 | 简装 | 高楼层(共4层)  | 板塔结合,0人关注 / 3个月以前发布,66.8,"6,780元/平"
三岔口 剪力墙 大套三  环境采光好 拎包入住,州政府大院 -三岔口片区,3室2厅 | 117.24平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,106,"9,042元/平"
此房满五唯一   环境优美    交通便利,柳树林政府小区 -三岔口片区,3室2厅 | 80.82平米 | 南 | 精装 | 高楼层(共4层)  | 平房,0人关注 / 11天以前发布,76.8,"9,503元/平"
航天大道月亮湖边跃层带花园精装大套三，拎包入住。,鑫合阳光 -长安片区,3室2厅 | 153.19平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 4个月以前发布,150,"9,792元/平"
长安转盘，套三精装修，一楼，带私家花园。,锦绣花园 -长安片区,3室2厅 | 117.71平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,108,"9,176元/平"
西昌市人民医院旁优质套四诚心出售,上顺城街42号 -老城片区,4室2厅 | 137.03平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,85,"6,204元/平"
复式楼层18-19，采光好，朝向好，日照充足,公園2018 -三岔口片区,5室2厅 | 304.36平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,2人关注 / 一年前发布,290,"9,529元/平"
合信南山洋房区，此房一梯两户，居住环境优越！,合信南山别墅 -城南片区,5室2厅 | 105.9平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,5人关注 / 一年前发布,135,"12,748元/平"
顺和苑小区 4室2厅 东,顺和苑小区 -城南片区,4室2厅 | 139.52平米 | 东 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 9天以前发布,136,"9,748元/平"
县府街精装修大套三出售.户型方正.楼层佳采光好,华龙苑 -会理县,3室2厅 | 132.87平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,90.8,"6,834元/平"
万达广场片区清水朝南套三双卫好房出售！,桃源小区 -三岔口片区,3室2厅 | 118.17平米 | 南 | 毛坯 | 低楼层(共18层)  | 平房,0人关注 / 12天以前发布,108,"9,140元/平"
州委党校家属区好房出售，标准套三，直接可拎包入住,中共凉山州委党校 -市中心片区,3室2厅 | 87.36平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 6个月以前发布,75,"8,586元/平"
月城丽景 电梯精装 套三双卫 交通生活便利,月城丽景 -长安片区,3室2厅 | 112平米 | 西 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 9天以前发布,99,"8,840元/平"
此房满五年，出行方便，户型方正，居住方便舒适,龙旺 -市中心片区,3室2厅 | 118平米 | 东 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,92,"7,797元/平"
此房满五 户型方正 无浪费 采光充足 视野开阔,宁远鑫阳楼 -宁远桥片区,3室2厅 | 97.36平米 | 东北 | 简装 | 中楼层(共6层)  | 塔楼,5人关注 / 一年前发布,72,"7,396元/平"
此房为标准的套三双2=卫 户型好  彩光好,碧桂园·天樾 -西部新城片区,4室2厅 | 124.69平米 | 东南 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 10天以前发布,122,"9,785元/平"
正黄金色学府 3室2厅 南,正黄金色学府 -西部新城片区,3室2厅 | 81.2平米 | 南 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 9天以前发布,79,"9,730元/平"
清和苑 精装套三 中间楼层采光好,清和苑 -城南片区,3室2厅 | 110.7平米 | 东南 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 4个月以前发布,116.8,"10,552元/平"
南坛烟厂生活区，剪力墙结构，拎包入住,卷烟厂南坛烟厂生活区 -三岔口片区,3室2厅 | 94.89平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,88,"9,274元/平"
广场路4楼两室两厅一厨一卫住房出售！,广场路老国土局家属院 -会理县,2室2厅 | 88.99平米 | 东 西 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 7个月以前发布,46.8,"5,260元/平"
精装三室两厅两卫，家具家电齐全，拎包入住，停车方便,红旗区直属小区 -会理县,3室2厅 | 125.03平米 | 东南 | 精装 | 高楼层(共6层)  | 平房,7人关注 / 一年前发布,75.8,"6,063元/平"
十小旁精装套三家具家电齐全拎包入住诚心出售,农科路药材公司 -市中心片区,3室2厅 | 83.96平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,68,"8,100元/平"
守府路套二出售，采光好，楼层佳。,守府路37号 -会理县,2室1厅 | 76.37平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,38,"4,976元/平"
采光充足，交通便利，配套设施齐全，楼层好，装修好.,彩云府 -三岔口片区,3室2厅 | 99.63平米 | 东南 | 精装 | 高楼层(共20层)  | 塔楼,5人关注 / 6个月以前发布,121,"12,145元/平"
邻近西客站，北临长安西路，南临航天大道,凉山州农机公司第二小区 -长安片区,3室2厅 | 113.4平米 | 西南 | 简装 | 中楼层(共16层)  | 暂无数据,0人关注 / 13天以前发布,92,"8,113元/平"
房子税费低，无贷款，户型方正，地段好，产权清晰,二八一小区 -市中心片区,3室2厅 | 90平米 | 西南 西 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,69.5,"7,723元/平"
胜利路农科路口，带双花园大套三诚心出售,轻工苑 -市中心片区,3室2厅 | 152.14平米 | 东南 | 简装 | 低楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,98,"6,442元/平"
此房套三，低总价的套三，户型方正，适合居住！,老达达超市木里干休所 -老城片区,3室2厅 | 85.09平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 5个月以前发布,59,"6,934元/平"
好房出售，装修简单居住舒适，交通便利,下西街109号 -市中心片区,3室2厅 | 88.87平米 | 东 东北 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 6个月以前发布,76.8,"8,642元/平"
商贸城商住楼 3室2厅 西北,商贸城商住楼 -老城片区,3室2厅 | 105.1平米 | 西北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,76.8,"7,308元/平"
281套二，房东诚心 出售，价格好谈,安宁小区B区 -市中心片区,2室2厅 | 74.98平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,60,"8,003元/平"
威尼斯 精装套三 新装修保养好 拎包入住,鹭洲威尼斯半岛B  -三岔口片区,3室2厅 | 81.23平米 | 西南 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 12天以前发布,110,"13,542元/平"
西客站月城片区套三中装房，业主诚心出售,西运三公司家属院 -长安片区,3室1厅 | 85.19平米 | 东北 | 精装 | 高楼层(共4层)  | 平房,0人关注 / 2个月以前发布,58.5,"6,868元/平"
风情园，月亮湖，体育场海河天街精装修套三双卫大户型,新城锦绣 -城南片区,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 13天以前发布,150,"12,196元/平"
马水河电梯精装朝南套三 诚心出售 看房方便,西电北区家园小区 -老城片区,3室2厅 | 103.71平米 | 南 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 3天以前发布,83,"8,004元/平"
城东品质园林小区  三室两厅双卫 万达旁边,合信邛海湾B区 -三岔口片区,3室2厅 | 80平米 | 东 东南 | 毛坯 | 高楼层(共20层)  | 板塔结合,0人关注 / 6天以前发布,136.8,"17,100元/平"
桃源小区 4室2厅 南 北,桃源小区 -三岔口片区,4室2厅 | 151.97平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 5天以前发布,173,"11,384元/平"
长安片区/精装修套四/月城旁/读书方便,华宁苑 -长安片区,4室2厅 | 112.56平米 | 西 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 2天以前发布,96,"8,529元/平"
精装套三，拧包入住，楼层很好，采光好，户型合理,金地丽都 -三岔口片区,3室2厅 | 82.97平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 6天以前发布,96.8,"11,667元/平"
玉馨家苑，三室两厅，南北朝向，适合居住,玉鑫嘉苑 -会理县,3室2厅 | 126.29平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 2天以前发布,86.8,"6,874元/平"
阳光城文澜府 3室2厅 南,阳光城文澜府 -西部新城片区,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共19层)  | 塔楼,0人关注 / 6天以前发布,85.8,"8,846元/平"
此房新建小区，小区环境好，洋楼设计。,邦泰花园城二期 -西部新城片区,3室2厅 | 74平米 | 东北 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 7个月以前发布,120,"16,217元/平"
房出行方便户型方正小区环境优美,邦泰花园城二期 -西部新城片区,3室2厅 | 73平米 | 南 | 精装 | 低楼层(共9层)  | 暂无数据,0人关注 / 7个月以前发布,125,"17,124元/平"
沃尔玛  世纪花园   精装套三   停车方便,世纪花园 -城南片区,3室2厅 | 134平米 | 南 | 其他 | 高楼层(共7层)  | 塔楼,1人关注 / 8个月以前发布,115,"8,583元/平"
园林绿化小区，配套设施齐全停车方便，楼层视野好,金厦攀星花園 -市中心片区,3室2厅 | 143.57平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,112,"7,802元/平"
此房满五唯一，小区环境优美剪力墙结构停车方便,兴景苑 -长安片区,3室2厅 | 104.27平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,83,"7,961元/平"
户型方正，采光充足，楼层好，不临街,中信国际花城 -长安片区,3室2厅 | 119.7平米 | 东 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,93,"7,770元/平"
庆华景城小区  交通便利 小区环境干净舒适 适合居住,庆华景城 -市中心片区,3室2厅 | 104平米 | 西南 | 其他 | 中楼层(共7层)  | 板塔结合,3人关注 / 6个月以前发布,90.6,"8,712元/平"
长安片区，花园小区，大套二双卫，停车方便,锦绣花园 -长安片区,2室2厅 | 93.5平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,78,"8,343元/平"
春天花园小区 三室两厅一厨两卫,春天花园 -会理县,3室2厅 | 135.32平米 | 南 北 | 其他 | 低楼层(共6层)  | 平房,0人关注 / 1个月以前发布,76,"5,617元/平"
此房满2，税费低，配套齐全，交通便利,外滩16区 -城南片区,3室2厅 | 112.2平米 | 南 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 26天以前发布,113,"10,072元/平"
高楼层套二出售，名店街对门，标准套二,金地华府 -市中心片区,2室1厅 | 80.79平米 | 东北 | 其他 | 高楼层(共14层)  | 板塔结合,0人关注 / 24天以前发布,65,"8,046元/平"
房子是精装三室，位于东沿线，到湿地公园.方便,公園2018 -三岔口片区,3室2厅 | 126.6平米 | 东南 东 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 23天以前发布,158,"12,481元/平"
三岔口阳光招生范围地质队家属区精装套二满两年关门卖,四0四地质队土城巷十一号生活区 -三岔口片区,2室2厅 | 70.59平米 | 西南 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 4天以前发布,67,"9,492元/平"
电梯公寓，楼层好，视野宽阔，户型方正，采光好，,月城丽景二期 -西部新城片区,2室1厅 | 83.9平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,6人关注 / 一年前发布,69,"8,225元/平"
东延线标准三室出售看房方便价格可谈,邛海湾·长岛 -三岔口片区,3室2厅 | 84.1平米 | 南 | 毛坯 | 低楼层(共20层)  | 塔楼,0人关注 / 4个月以前发布,112,"13,318元/平"
文澜府电梯中楼层带车位 视距开阔通风视野采光好,阳光城文澜府 -西部新城片区,3室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共19层)  | 暂无数据,0人关注 / 1个月以前发布,89.5,"9,227元/平"
荣昌小区二区三室两厅一厨两卫装修的,荣昌小区二区 -三岔口片区,3室2厅 | 108平米 | 西 | 其他 | 11层  | 塔楼,1人关注 / 1个月以前发布,98,"9,075元/平"
此房位于西部新城标准套三精装修出售。,碧桂园·天樾 -西部新城片区,3室2厅 | 100.3平米 | 东 | 精装 | 低楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,108,"10,768元/平"
西部新城航天，商贸城，房东诚心出售,攀西春天 -西部新城片区,3室2厅 | 88.4平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 1个月以前发布,69,"7,806元/平"
西客站旁航天阳光精装套四拎包入住,航天阳光 -长安片区,4室2厅 | 127.52平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 29天以前发布,124.6,"9,772元/平"
标准套三双卫，户型方正，楼层好，采光好，视野好。,邦泰花园城三期 -西部新城片区,3室2厅 | 75.22平米 | 东南 | 毛坯 | 中楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,110,"14,624元/平"
东延线套三双卫出售看房方便户型方正,合信邛海湾B区 -三岔口片区,3室2厅 | 77.19平米 | 东南 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 31天以前发布,124,"16,065元/平"
房子位于老西门街电梯房 精装修 中高楼层 采光好,西电北区家园小区 -老城片区,3室2厅 | 103.99平米 | 西南 | 简装 | 低楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,81,"7,790元/平"
农商银行家属区一楼套三出售可做生意,三岔口东路468号 -三岔口片区,3室2厅 | 110.02平米 | 南 | 毛坯 | 低楼层(共18层)  | 平房,0人关注 / 26天以前发布,96,"8,726元/平"
马水河 套三 小区停车方便 交通方便 环境好,生生苑 -老城片区,3室2厅 | 117.4平米 | 东南 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 25天以前发布,115,"9,796元/平"
邛海湾B区，精装套四   可以看海，,合信邛海湾B区 -三岔口片区,4室2厅 | 85.16平米 | 东 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 22天以前发布,135,"15,853元/平"
高速公路旁精装套三，家具家电齐全，带车位，诚心出售,碧桂园·天樾 -西部新城片区,3室2厅 | 100平米 | 东南 | 精装 | 高楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,108,"10,800元/平"
坐北朝南五室双厅双卫三个大卧室楼层中等、采光通透,四川省凉山州大桥水电开发总公司 -城南片区,3室1厅 | 103.3平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 23天以前发布,88,"8,519元/平"
民族师范学校 3室2厅 南,民族师范学校 -城南片区,3室2厅 | 77.2平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 22天以前发布,72,"9,327元/平"
海河帝景B区精装套二，大卧室，带楼顶花园,海河帝景B区 -城南片区,2室1厅 | 90平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,88,"9,778元/平"
邛海边，万达广场隔壁，邛海湾长岛，带花园，朝中庭。,邛海湾·长岛 -三岔口片区,3室2厅 | 85.79平米 | 西北 | 毛坯 | 低楼层(共20层)  | 塔楼,0人关注 / 24天以前发布,136,"15,853元/平"
"西部新城,成熟区域,交通便利，配套成熟，干净舒适",正黄金色学府 -西部新城片区,3室2厅 | 81平米 | 西 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 28天以前发布,78,"9,630元/平"
该房格局好采光视野通透标准套三双卫,领地锦绣蘭台 -西部新城片区,3室2厅 | 95平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 20天以前发布,84,"8,843元/平"
新华苑三室双卫，交通便利，小区环境舒适，适合居住。,新華苑 -三岔口片区,3室2厅 | 122.68平米 | 南 | 毛坯 | 高楼层(共16层)  | 塔楼,0人关注 / 1个月以前发布,108,"8,804元/平"
邦泰花熙府 3室1厅 东南,邦泰花熙府 -西部新城片区,3室1厅 | 90.45平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,88,"9,730元/平"
交通便利，小区环境干净舒适，绿化很好适合居住。。。,树高·翡丽华府 -三岔口片区,3室1厅 | 70平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 31天以前发布,79.8,"11,400元/平"
合信邛海湾B区 3室2厅 南,合信邛海湾B区 -三岔口片区,3室2厅 | 77平米 | 南 | 毛坯 | 低楼层(共20层)  | 板塔结合,0人关注 / 29天以前发布,102,"13,247元/平"
西部新城邦泰花园城一期好房出售中,邦泰花园城 -西部新城片区,3室2厅 | 74平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 17天以前发布,94.5,"12,771元/平"
西客站旁边 三房单卫 客厅带阳台,航天阳光 -长安片区,3室2厅 | 98.16平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 28天以前发布,86,"8,762元/平"
此房格局好 采光好 精装三室 朝南 伶包入住,居逸小区 -市中心片区,3室2厅 | 126.6平米 | 东南 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 17天以前发布,109.8,"8,673元/平"
东部邛海湖畔 精装套三双卫 楼层朝向好 适合休闲养老,合兴园小区 -三岔口片区,3室2厅 | 116.76平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 25天以前发布,92,"7,880元/平"
城东精装三室  拎包入住  价格美丽,铁投·邛海壹号 -三岔口片区,3室1厅 | 83平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 25天以前发布,115.8,"13,952元/平"
春城门口，大套四，靠中庭，面朝东，采光好，日照好,合信邛海湾B区 -三岔口片区,4室2厅 | 86.9平米 | 东北 | 毛坯 | 低楼层(共20层)  | 塔楼,0人关注 / 22天以前发布,109,"12,544元/平"
东延线，标准大套四，大平层，诚心出售,乐荟城 -三岔口片区,4室2厅 | 165.82平米 | 东 | 毛坯 | 中楼层(共20层)  | 塔楼,0人关注 / 30天以前发布,206.7,"12,466元/平"
洋房设计，一梯两户，小区环境好。,领地·阑台府 -城南片区,3室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 16天以前发布,148.5,"15,310元/平"
沃尔玛精装套三双卫，拎包入住，小区环境舒适。,四川省凉山州大桥水电开发总公司 -城南片区,3室2厅 | 97.83平米 | 东南 西 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 23天以前发布,83.6,"8,546元/平"
二中好房出售。房东急售。欢迎咨询。。,省西昌二中 -老城片区,3室2厅 | 88.62平米 | 东南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 29天以前发布,63,"7,110元/平"
精装套三装修好，家具齐全楼层也不错，小区环境好,铁投·邛海壹号 -三岔口片区,3室2厅 | 95.75平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 25天以前发布,126.8,"13,243元/平"
花园城三期   精装套三  视野开阔    采光好,邦泰花园城三期 -西部新城片区,3室2厅 | 75.7平米 | 西 | 精装 | 中楼层(共14层)  | 塔楼,0人关注 / 29天以前发布,104,"13,739元/平"
此房未满二，清水房出售，大套三,桃源小区 -三岔口片区,3室2厅 | 118.17平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 24天以前发布,113,"9,563元/平"
南苑标准三房 带花园 配套齐全 通透户型,南苑小区A区 -三岔口片区,3室2厅 | 109.75平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 24天以前发布,88,"8,019元/平"
商圈成熟，生活方便，单位小区 入住费用低,建昌坊一中家园 -三岔口片区,3室2厅 | 115.16平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 22天以前发布,110,"9,552元/平"
南苑小区A区 3室2厅 南,南苑小区A区 -三岔口片区,3室2厅 | 115.79平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 23天以前发布,93.8,"8,101元/平"
东沿线合信邛海湾B区套三双卫楼层好户型方正,合信邛海湾B区 -三岔口片区,3室2厅 | 80平米 | 西南 | 毛坯 | 中楼层(共20层)  | 塔楼,0人关注 / 17天以前发布,95.8,"11,975元/平"
金域香江，三室两厅，小区环境幽静，出行方便。,金域香江 -会理县,3室2厅 | 98.24平米 | 东 西 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 24天以前发布,76.8,"7,818元/平"
此房户型方正，采光好，楼层佳，视野开阔,春天花园 -会理县,4室2厅 | 165平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,108,"6,546元/平"
华龙苑一楼三室两厅一厨两卫带院坝住房出租,华龙苑 -会理县,3室2厅 | 126.14平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,78.8,"6,248元/平"
南苑小区住宅及商用优质房源推荐！小伙伴们多多带看,南苑小区A区 -三岔口片区,7室1厅 | 199.6平米 | 西南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,398,"19,940元/平"
城北小区房 两室两厅一厨一 生活出行 方便,会理一小家属院 -会理县,2室2厅 | 71.29平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,34.8,"4,882元/平"
邮政街家属院三室两厅一厨一卫南北通透 采光好,邮政街中医院家属院 -会理县,3室2厅 | 100.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,55.8,"5,537元/平"
标准套三，户型方正，采光好，看房方便！,西昌交通学校 -三岔口片区,3室2厅 | 100.17平米 | 东南 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 一年前发布,82,"8,187元/平"
三岔口标准套三出售，剪力墙，中间楼层,会理锌矿生活基地 -三岔口片区,3室2厅 | 115.58平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 7个月以前发布,98,"8,479元/平"
昌平建材小区清水大套三另外还带一个车位,昌平建材小区 -城南片区,3室2厅 | 146.68平米 | 南 | 毛坯 | 高楼层(共16层)  | 塔楼,7人关注 / 一年前发布,116,"7,909元/平"
标准套三  房东诚心出售 采光好 可随时看房。,美教干所 -三岔口片区,3室2厅 | 100.72平米 | 西南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,79.8,"7,923元/平"
房子满二，采光充足，看房方便，配套成熟，拎包入住,航天阳光 -长安片区,3室1厅 | 122平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 9个月以前发布,110,"9,017元/平"
长安片区精装套三，户型方正，采光好,长安小区 -长安片区,3室2厅 | 101.77平米 | 东 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,76.8,"7,547元/平"
繁华地段户型方正，采光充足，南北朝向诚心出售,康达花园 -城南片区,3室2厅 | 117.6平米 | 南 北 | 其他 | 高楼层(共7层)  | 塔楼,5人关注 / 7个月以前发布,66.8,"5,681元/平"
航天路西区 3室2厅 东,航天路西区 -市中心片区,3室2厅 | 112.43平米 | 东 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,98.6,"8,770元/平"
龙腾三室两厅一厨两卫东西朝向采光通风好居住舒适,龙腾大同小区 -会理县,3室2厅 | 130.45平米 | 东 西 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,60,"4,600元/平"
精装电梯大三室 上学方便 带产权车位,航天阳光 -长安片区,3室2厅 | 122.66平米 | 东南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,117,"9,539元/平"
彩云府套三单卫，中庭，精装修，房东安心出售,彩云府 -三岔口片区,3室1厅 | 89.28平米 | 南 北 | 其他 | 低楼层(共19层)  | 塔楼,1人关注 / 5个月以前发布,115,"12,881元/平"
房东比较诚心，小区环境好，大家多多带看,凉山彝族自治州烟草专卖局 -三岔口片区,3室2厅 | 131.03平米 | 西北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 7个月以前发布,98,"7,480元/平"
首付低，大户型精装双阳台套三，诚意出售,美姑县教师安居小区 -老城片区,3室2厅 | 135平米 | 东北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 15天以前发布,78,"5,778元/平"
南坛小区 阳光片区 电梯大套三带车位出售！,南坛小区C区 -三岔口片区,3室2厅 | 135.04平米 | 东 | 其他 | 12层  | 板楼,0人关注 / 1个月以前发布,128,"9,479元/平"
悦汇广场旁朝南精装修大套三阳光房业主诚心出售,航天阳光 -长安片区,3室2厅 | 129.06平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,148,"11,468元/平"
好房出售，满五唯一，精装修简约风格,步行街经贸委 -市中心片区,3室2厅 | 139.47平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,97.8,"7,013元/平"
房子诚心出售，采光好，户型方正,铁路家园 -市中心片区,4室2厅 | 132.8平米 | 东南 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 5个月以前发布,100.6,"7,576元/平"
紫薇星座好房出售，带大花园，配套完善适合居住,紫薇星座 -市中心片区,4室2厅 | 166.8平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 15天以前发布,148,"8,873元/平"
火把广场旁精装三室  户型方正，居住舒适,碧海蓝天 -城南片区,3室2厅 | 116.7平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 14天以前发布,126,"10,797元/平"
