标题,开发商,房子信息,发布信息,售价/万,单价
兰亭花园！四五楼复式！带倆露台！精装修！,蘭亭花園 -理想城,5室3厅 | 142.75平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,29人关注 / 7个月以前发布,125,"8,757元/平"
此房是老证，通透全明格局，交通出行便利。,卫滨区新电小区西区 -新建街,3室2厅 | 109.29平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,46.5,"4,255元/平"
南北通，采光好，品牌物业，环境优美，有钥匙随时看,建业联盟新城 -高铁东站,2室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,86.6,"7,339元/平"
和谐城四房，高性价之一，the first,亿源·和谐城 -理想城,4室2厅 | 163平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,8人关注 / 9个月以前发布,131,"8,037元/平"
碧桂园中间楼层  精装全新房  有钥匙随时看房,碧桂园花语岸 -平原新区,3室1厅 | 107.35平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,1人关注 / 7个月以前发布,67,"6,242元/平"
产权清晰，满二唯一精装修，南户采光好，视野开阔,九鼎·美庐 -新乡站,3室2厅 | 126.37平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,92,"7,281元/平"
五星学府 3室2厅2卫 南北通透 毛坯随意装,五星学府 -市中心医院,3室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,92.8,"6,629元/平"
房子是2室2厅的房子.南北通透.全明户型.,五星学府 -市中心医院,2室2厅 | 96.12平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,81.8,"8,511元/平"
房子是一楼.南北通透.毛坯房.随意装修..,五星学府 -市中心医院,3室2厅 | 137.77平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,146.5,"10,634元/平"
毛坯复式四室三厅三卫，南北通透，随时看房,龙苑小区 -橄榄城,4室3厅 | 207平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,116,"5,604元/平"
新谊城毛坯大平层五十两厅两卫采光通透全明户型,隆基新谊城 -光彩,5室2厅 | 216.53平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,3人关注 / 5个月以前发布,145,"6,697元/平"
文渊小区三房，高人文素质小区！,文渊花园 -大学城,3室2厅 | 142.4平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,95,"6,672元/平"
精装复式，全屋品牌，全明户型，看房方便,伟业中央公园 -伟业,3室2厅 | 122平米 | 北 | 精装 | 中楼层(共25层)  | 板塔结合,5人关注 / 7个月以前发布,129,"10,574元/平"
人民西路，荷苑小区，采光充足，南北通，看房有钥匙,荷苑小区 -八里营,2室2厅 | 95平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,29.8,"3,137元/平"
小区环境优雅，配套成熟，交通便利,隆基新谊城 -光彩,5室2厅 | 216平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,21人关注 / 一年前发布,148,"6,852元/平"
腾龙花园 毛坯4室2厅 中间楼层采光好通风好，诚意出售,腾龙花园 -橄榄城,4室2厅 | 177.5平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,111.5,"6,282元/平"
简单装修，步梯2楼，户型比较 不错,新封小区 -恒大,3室2厅 | 94.6平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,24人关注 / 一年前发布,38,"4,017元/平"
交通便利，二楼，户型房正，全明户型。,广厦阳光苑 -二十七中,2室2厅 | 86.02平米 | 西 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,50.8,"5,906元/平"
小区环境优雅，配套成熟，交通便利,隆基新谊城 -光彩,5室2厅 | 216平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,21人关注 / 一年前发布,148,"6,852元/平"
毛坯房，中间楼层，小区干净，生活便利,华天名邸 -二十七中,2室2厅 | 96.95平米 | 东 西 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,57.8,"5,962元/平"
荷苑小区 6楼带阁楼空中花园 地下室一间  户型南北通,荷苑小区 -八里营,2室2厅 | 91.09平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,31,"3,404元/平"
东郡东苑 毛坯3房+书房 南北直通 视野好,东郡府苑东苑 -伟业,3室2厅 | 137.94平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,19人关注 / 一年前发布,105,"7,613元/平"
育才·精装带60平方大平台·六室三厅两卫·支持按揭·,文苑小区家属院 -牧野公园,6室3厅 | 200平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,93.8,"4,690元/平"
南北通，5楼挑空带阁楼，精装修老证，能上道清路,青青家园(红旗区) -橄榄城,5室3厅 | 149.04平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,100,"6,710元/平"
三院近 大三室 可按揭 看房有钥匙单价4200+,中州小区 -市中心医院,3室2厅 | 148.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 8个月以前发布,59.8,"4,025元/平"
此房南北通，格局好精装电梯空房，拎包入住 有钥匙,阳光三六五小区 -理想城,3室2厅 | 142.29平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 8个月以前发布,110,"7,731元/平"
房子装修不错，楼层中间，南北通透，有地下室,馨景家园 -新建街,3室1厅 | 103平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,71.2,"6,913元/平"
二中旁经典户型，05年房子，可正常按揭；看房有钥匙,二机床家属院 -万达,2室2厅 | 95.56平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,56.5,"5,913元/平"
此房户型通透，采光好，住着舒适。看房方便,东方家园 -理想城,5室2厅 | 198.91平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,8人关注 / 一年前发布,175,"8,798元/平"
联排边户前后院，四层一层双车位设计，绿化好居住舒适,绿茵河畔别墅区 -凤泉区,5室2厅 | 297.63平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,5人关注 / 10个月以前发布,185,"6,216元/平"
经典三室两厅两卫全明户型带地下室,紫锦苑小区 -牛村,3室2厅 | 128.63平米 | 东 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,74,"5,753元/平"
东区定国湖公园的观景房正商城二期三室两厅两卫好户型,正商城二期 -定国湖,3室2厅 | 128.2平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,107,"8,347元/平"
新悦城    储贸大市场   孟营菜市场  金水桥近,卫滨区金水小区 -恒大,5室2厅 | 205平米 | 南 | 简装 | 低楼层(共2层)  | 平房,4人关注 / 一年前发布,149,"7,269元/平"
人民医院  三七一医院   解放路  储贸大市场近临,储运站家属院 -市中心医院,3室1厅 | 75.05平米 | 南 北 | 精装 | 中楼层(共5层)  | 平房,10人关注 / 一年前发布,39.8,"5,304元/平"
唯美湖岸，大产权双气别墅现房，建业物业，有露台院子,唯美湖岸 -新乡县,6室2厅 | 179平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,7人关注 / 一年前发布,136,"7,598元/平"
南北直通 户型方正 东区电梯好房,理想城(牧野区) -理想城,3室2厅 | 129.3平米 | 南 | 毛坯 | 中楼层(共13层)  | 板塔结合,7人关注 / 一年前发布,107,"8,276元/平"
适合南区养老的房子  复式一楼带院,橡树湾 -新乡县,4室2厅 | 332.97平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,10人关注 / 一年前发布,210,"6,307元/平"
定国湖旁！华恩城西区！房龄新！毛坯随意装！老证！,华恩城西区 -定国湖,3室2厅 | 138平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,2人关注 / 11个月以前发布,105,"7,609元/平"
满五唯一，南北通透，采光无遮挡,深业世纪村 -大学城,3室2厅 | 149.77平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,19人关注 / 一年前发布,141,"9,415元/平"
东区理想城高品质低密度小高层业主诚心出售,理想城(牧野区) -理想城,3室2厅 | 137.32平米 | 东 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,7人关注 / 一年前发布,113,"8,229元/平"
牛村美食城西侧，一楼带院户型，南北通透，老证,雍宁华府 -西王村,3室2厅 | 135.85平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,120,"8,834元/平"
东区  大三居 临湖 业主诚心出售,理想城(牧野区) -理想城,3室2厅 | 143.74平米 | 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,147,"10,227元/平"
南北通透  毛坯  中间楼层  采光充足,新闻小区 -理想城,3室2厅 | 128.85平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,89.5,"6,947元/平"
楼层底，交通便利，出行方便，大型商场，医院,中心医院家属院 -市中心医院,3室2厅 | 86.02平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,89,"10,347元/平"
一楼  三室两厅两卫  全明户型 双气  能中菜的房子,新电小区 -市中心医院,3室2厅 | 117.39平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 9个月以前发布,79,"6,730元/平"
师大博瑞沁园顶层复式，南北通透，带两个地下车位,博瑞沁园 -柳青路,4室3厅 | 225.11平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,6人关注 / 一年前发布,135,"5,998元/平"
碧桂园别墅带200平大花园和30平大露台改善居住,新乡碧桂园 -卫辉市,5室2厅 | 237.84平米 | 南 北 | 毛坯 | 8层  | 暂无数据 | 双拼别墅 ,0人关注 / 7个月以前发布,195,"8,199元/平"
正阳花园 精装三四楼 看房方便 客厅高挑 户型合理方正,正阳花园 -橄榄城,5室3厅 | 249.26平米 | 东 | 精装 | 中楼层(共4层)  | 板楼,1人关注 / 5个月以前发布,170,"6,821元/平"
解放路上，步梯3楼，采光好，东西通透,中苑小区 -市中心医院,2室2厅 | 91平米 | 东 西 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,62.8,"6,902元/平"
停车方便南 北通 中 心医院多所幼儿园,伟隆家园 -市中心医院,2室2厅 | 106.16平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 7个月以前发布,52,"4,899元/平"
建业三期，2019年房龄，五室三卫，大露台，老证，车位,建业壹号城邦 -宝龙,4室2厅 | 210平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,192,"9,143元/平"
毛坯原房 户型合理 随心装修 中间楼层 看房随时 宝龙,宝龙龙邸 -宝龙,3室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,16人关注 / 一年前发布,106,"8,347元/平"
交通便利，生活方便，价位不高。3室2厅。,化轻公司机务段小区 -市中心医院,3室2厅 | 94平米 | 南 北 | 简装 | 高楼层(共6层)  | 平房,5人关注 / 一年前发布,28,"2,979元/平"
满五唯一，楼上全阁楼有大平台采光好有地下室一间,梦萦小区 -新悦城,3室2厅 | 126平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,69,"5,477元/平"
房子老证，采光好，有阁楼，配套设施齐全,新世纪花园 -人民公园,3室2厅 | 109.79平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,40人关注 / 一年前发布,59.9,"5,456元/平"
134厂家属院 3室2厅1卫 精装 全明户型,豫新3号院生活区 -二中,3室2厅 | 102.53平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,51,"4,975元/平"
急售 文化宫 二院 老证 步梯四楼  采光好 看房方便,天龙苑 -二中,3室2厅 | 125.71平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,67,"5,330元/平"
两卧朝阳.户型合理.南北通透.格局方正,隆基新谊城 -光彩,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共21层)  | 板楼,27人关注 / 一年前发布,83,"6,485元/平"
楼层好，户型方正，三室，适合年轻人置业,诚城•常青藤 -大学城,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,100,"8,065元/平"
三代同堂，经典四室，四开间朝南,诚城紫钰 -大学城,4室2厅 | 177.21平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,3人关注 / 4个月以前发布,152,"8,578元/平"
中间楼层，精装修，大两居，看房方便，产权清晰,东旭小区 -宝龙,2室2厅 | 136.33平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,76.5,"5,612元/平"
西村 2005年 南北通透 自带20平左右平台 带阁楼,西村 -二中,2室2厅 | 87.38平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,46,"5,265元/平"
道清路品质社区，南北通透大三房毛坯现房,正阳花园 -橄榄城,3室2厅 | 153.82平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,48人关注 / 一年前发布,71,"4,616元/平"
房子户型方正，不影响采光， 小区环境好。人车分流,发展·红星城市广场 -定国湖,7室1厅 | 239.51平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,220,"9,186元/平"
紫台一品 电梯中间楼层 老证 带入户花园 毛坯随意装,紫台一品南区 -市中心医院,4室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 塔楼,13人关注 / 一年前发布,145,"10,140元/平"
定国湖华恩城东区户型不错，低楼层的房子,惠邦华恩城东区 -定国湖,3室2厅 | 137平米 | 西 | 毛坯 | 低楼层(共33层)  | 板楼,8人关注 / 7个月以前发布,96,"7,008元/平"
好户型 少有的小三居  采光好,盛大 · 凯旋城 -定国湖,3室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,17人关注 / 一年前发布,91,"8,667元/平"
步梯四楼，三室两厅两卫，简装老证。,文化小区 -市中心医院,3室2厅 | 121.63平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,56,"4,605元/平"
人民公园旁精装挑空顶层复式大露台,星海假日王府 -人民公园,6室2厅 | 289.73平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,271,"9,354元/平"
九龙华府 2室 经典户型 楼层采光好,九龙华府 -市中心医院,2室2厅 | 97平米 | 东 | 简装 | 高楼层(共26层)  | 板塔结合,3人关注 / 8个月以前发布,102.8,"10,598元/平"
房东诚心出售  价位好谈！！！！！！,紫台一品北区 -市中心医院,3室2厅 | 135平米 | 东 西 | 简装 | 高楼层(共6层)  | 暂无数据,8人关注 / 7个月以前发布,81,"6,000元/平"
维多利亚城 复式 带阁楼 带平台 338.00m² 200 万,维多利亚城 -牧野公园,5室3厅 | 338平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,21人关注 / 一年前发布,200,"5,918元/平"
急售急售精装修带阁楼三室两厅。。。,金润家园 -新悦城,3室2厅 | 118.11平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,67,"5,673元/平"
平原湖畔|建业春天里|物业好环境好|老证随时看房,建业春天里 -高铁东站,3室2厅 | 93.41平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,63.5,"6,798元/平"
大四室步梯公摊小，楼层佳，能商贷，公园医院大型商场,红旗区红房小区 -二中,4室2厅 | 152.95平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,78,"5,100元/平"
东方文化步行街 精装三室   业主急售,东方文化商业步行街 -新乡站,3室2厅 | 85平米 | 东 | 精装 | 中楼层(共6层)  | 板楼,17人关注 / 一年前发布,88,"10,353元/平"
黄岗，大三室，中间楼层，房龄新。有钥匙，随时看,牧野区新运小区 -新乡站,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,54,"4,577元/平"
本房毛坯任意装 好楼层，采光好，视野开阔，南北通 。,东郡府苑西苑 -伟业,3室2厅 | 173.95平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 板塔结合,1人关注 / 11个月以前发布,130,"7,474元/平"
碧桂园别墅带200平大花园和30平大露台改善居住,新乡碧桂园 -卫辉市,5室2厅 | 237.84平米 | 南 北 | 毛坯 | 8层  | 暂无数据 | 双拼别墅 ,0人关注 / 7个月以前发布,195,"8,199元/平"
买别墅、看大品牌、选高品质、物业有保障,新乡碧桂园 -卫辉市,5室2厅 | 240.91平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 6个月以前发布,200,"8,302元/平"
步梯二楼 市实验小  学 三室可按揭 带小车库,孟营陈家胡同 -市中心医院,3室1厅 | 75平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,56,"7,467元/平"
此房南北直通，通风好，视野宽阔，采光充足,申新花园 -市中心医院,3室2厅 | 134平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,17人关注 / 一年前发布,57,"4,254元/平"
欧式宫廷风客厅挑高设计 跃层设计更具优雅灵动,丽景庭院 -新建街,5室2厅 | 222平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,33人关注 / 一年前发布,145.2,"6,541元/平"
业主诚心出售，毛坯房可以任意装修，看房方便,隆基新谊城 -光彩,3室2厅 | 125平米 | 西 | 毛坯 | 高楼层(共25层)  | 板塔结合,16人关注 / 一年前发布,95.4,"7,632元/平"
真别墅大花园、房东急售价格真美丽,新乡碧桂园 -卫辉市,5室2厅 | 237.84平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 6个月以前发布,202,"8,494元/平"
南北通透，小区绿化高，舒适度不错,绿茵河畔别墅区 -凤泉区,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 7个月以前发布,96,"7,560元/平"
低楼层，老证，采光充足，含家电拎包入住,锦绣花园(卫滨区) -市中心医院,2室2厅 | 102.4平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,83.8,"8,184元/平"
隆基 新建花园 二楼 双气 三室拎包入住,隆基新建花园 -新建街,3室2厅 | 124.5平米 | 东 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 一年前发布,59.8,"4,804元/平"
金禧园~五六楼复式带大平台~单价只要4000多~采光好,金禧园 -橄榄城,4室2厅 | 199.97平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,7人关注 / 5个月以前发布,90,"4,501元/平"
毛坯随意装修老证看房方便有钥匙随时看房,丽水华庭 -橄榄城,3室2厅 | 134.72平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,85,"6,310元/平"
东区定国湖华恩城一期房本在手带地下室,华恩城西区 -定国湖,3室2厅 | 142.07平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,7人关注 / 一年前发布,107,"7,532元/平"
步梯一楼南北直通精装修2室2厅1卫,新飛花園 -橄榄城,2室2厅 | 101.3平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,85,"8,391元/平"
启明小区 精装修三房 拎包入住,启明小区月区 -花卉市场,3室2厅 | 94平米 | 东 西 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,49.5,"5,266元/平"
万达旁牧野花园旁大桥云锦府毛坯三室电梯中层,大桥.云锦府 -理想城,3室2厅 | 114平米 | 西南 | 毛坯 | 低楼层(共34层)  | 暂无数据,1人关注 / 22天以前发布,99,"8,685元/平"
东哲·中南府 4室2厅 南 北,东哲·中南府 -柳青路,4室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 16天以前发布,98,"7,657元/平"
橄榄城 精装三居带阁楼和漏台 看房方便有钥匙,嘉联·橄榄城 -橄榄城,3室1厅 | 87.85平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 17天以前发布,62.7,"7,138元/平"
丽水华庭步梯有阁楼大三室有地下室,丽水华庭 -橄榄城,3室2厅 | 145.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1天以前发布,59.6,"4,108元/平"
邻人民公园 可贷款！！采光充足,塑料包装厂院 -汽车东站,2室1厅 | 80平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,35,"4,375元/平"
华中首座|国际饭店人民公园南邻电梯70年大产权公寓,华中·首座 -汽车东站,1室0厅 | 57.98平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,39.9,"6,882元/平"
市政府旁小高层，老证，诚心出售，价格可谈,华瑞逸品紫晶 -理想城,2室2厅 | 85平米 | 西南 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 20天以前发布,73,"8,589元/平"
莱茵半岛中间楼层大两室房东急售,万新莱茵半岛 -柳青路,2室2厅 | 83.12平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 19天以前发布,56,"6,738元/平"
恒大金碧天下 退台洋房 业主诚心出售,恒大金碧天下（别墅区） -平原新区,5室2厅 | 204平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,16人关注 / 9个月以前发布,152,"7,451元/平"
建业绿色家园电梯 上下两层 居住舒适老证房东急售,建业绿色家园 -橄榄城,6室5厅 | 325.51平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,260,"7,988元/平"
户型方正   采光充足   小区的绿化比较好,牧野花园 -伟业,7室3厅 | 293平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,320,"10,922元/平"
三层独栋 有院子 业主诚意出售,广厦阳光苑 -二十七中,9室3厅 | 546.9平米 | 东 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,320,"5,852元/平"
此房距离步行街平原商场比较近生活很方便生活气息浓重,东方文化商业步行街 -新乡站,4室2厅 | 214.35平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,20人关注 / 一年前发布,93,"4,339元/平"
世纪村好房出售，房东诚信出售，看房方便,深业世纪村 -大学城,6室3厅 | 239平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,6人关注 / 一年前发布,238,"9,959元/平"
联盟新城 已花50万改造 留有室内电梯井 实际面积大,建业联盟新城 -高铁东站,6室3厅 | 369.39平米 | 南 | 其他 | 低楼层(共3层)  | 板塔结合,2人关注 / 6个月以前发布,330,"8,934元/平"
世纪村好房出售，房东诚信出售，看房方便,深业世纪村 -大学城,6室3厅 | 239平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,6人关注 / 一年前发布,238,"9,959元/平"
此房距离步行街平原商场比较近生活很方便生活气息浓重,东方文化商业步行街 -新乡站,4室2厅 | 214.35平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,20人关注 / 一年前发布,93,"4,339元/平"
七彩家园 老证 顶楼带阁楼 精装修 户型好 通风好,七彩家园 -恒大,3室2厅 | 109.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,64.8,"5,902元/平"
标准五房带阁楼同面积，南北直通，采光暖阳阳！！！,东郡府苑东苑 -伟业,5室2厅 | 197平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,4人关注 / 7个月以前发布,159,"8,072元/平"
大复式，业主急卖，价位好谈，先看房再议价,二机床东院 -万达,5室2厅 | 210.47平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,9人关注 / 一年前发布,139,"6,605元/平"
种德+一  种，诚心出售，，紫郡,紫郡 -大学城,2室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 10天以前发布,98,"10,000元/平"
三楼，小两室，户型好，支持商贷，公积金，全款,县食品公司家属楼 -新建街,2室1厅 | 76.33平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,36.5,"4,782元/平"
蓝葆湾 2室1厅 东南,蓝葆湾 -柳青路,2室1厅 | 84.74平米 | 东南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 11天以前发布,62,"7,317元/平"
业主外地发展，诚心出售此房，看房比较方便。,华地东城 -橄榄城,3室2厅 | 131.86平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,97.4,"7,387元/平"
急卖急卖急卖，毛坯随意装修，配套齐全，随时看房。,正商金域世家二期 -橄榄城,3室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 30天以前发布,112,"8,000元/平"
电梯洋房！临湖观景！中间楼层！拎包入住！随时看房！,理想城(牧野区) -理想城,3室2厅 | 144.54平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,145,"10,032元/平"
豫北家园  2室   双气  采光好 人民公园为邻,豫北家园 -汽车东站,2室2厅 | 67.96平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 20天以前发布,25,"3,679元/平"
一切都是为了孩子，出门就是市实验，下楼就是菜市场,胜利路胜南市场 -市中心医院,3室2厅 | 123.59平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 17天以前发布,86,"6,959元/平"
绿都城步梯中层房东急售看房方便,绿都城 -柳青路,3室2厅 | 89.9平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,68,"7,564元/平"
精装修拎包入住，户型方正，采光好,温莎城堡 -柳青路,3室2厅 | 122平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 21天以前发布,96.5,"7,910元/平"
东区育才  两室改三室 装修不错 满五唯 老证,发展·红星城市广场 -定国湖,2室2厅 | 87平米 | 东南 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 15天以前发布,91,"10,460元/平"
大景城精装大三室两卫，中间楼层,大景城 -伟业,3室2厅 | 141.83平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,110,"7,756元/平"
三卧朝南 ，双阳台，交通便利。精装修 拎包入住,二十二所家属院第四生活区 -万达,3室2厅 | 80平米 | 南 西 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 10天以前发布,44.8,"5,600元/平"
毛坯随意装， 户型方正 老证 小区中间位置,紫郡 -大学城,3室2厅 | 153.95平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 12天以前发布,175,"11,368元/平"
东区政府旁宝龙走路逛，全屋20万定制家居三房拎包住,大景城 -伟业,3室2厅 | 117.5平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 14天以前发布,99,"8,426元/平"
体育中 心站公交多趟，四通八达,城投·上河城 -牧野公园,2室2厅 | 114.56平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 10天以前发布,98,"8,555元/平"
中原路181号 3室1厅 东 西,中原路181号 -二中,3室1厅 | 99.03平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 13天以前发布,45,"4,545元/平"
