标题,开发商,房子信息,发布信息,售价/万,单价
嘉荟新城东区精装122平拎包入住,嘉荟新城东区 -丹阳开发区商圈,3室1厅 | 122平米 | 南 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 31天以前发布,89.8,"7,361元/平"
恒大名都4-2-1-3 165.31m² 169.9 万,恒大名都 -丹阳城区商圈,4室2厅 | 165.31平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,166.8,"10,091元/平"
恒大名都大平层162平4室2卫 精装修 拎包入住,恒大名都 -丹阳城区商圈,4室2厅 | 162.47平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,142.8,"8,790元/平"
水云东村必看好房源。。。。。。,水雲東村 -丹阳城区商圈,4室2厅 | 134平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,93.8,"7,000元/平"
信达香堤国际 3室2厅 南 北,信达香堤国际 -丹阳开发区商圈,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,136.8,"9,703元/平"
此房满5唯一，此价格含汽车车库一个,澳都花城 -丹阳华南商圈,4室1厅 | 156平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,20人关注 / 一年前发布,94.8,"6,077元/平"
东方商城 5室2厅 南,东方商城 -丹阳开发区商圈,5室2厅 | 136平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,92.5,"6,802元/平"
业主诚意出售 南北通风户型 万善公园旁环境清幽,碧水兰庭 -丹阳华南商圈,4室2厅 | 177.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,100,"5,628元/平"
房子品相佳；电梯小洋房；小区环境好；双华南,嘉源和谐里 -丹阳华南商圈,5室2厅 | 214平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,3人关注 / 8个月以前发布,150.4,"7,029元/平"
幸福指数很高的小洋房，地理位，交通便利,天颐城和园 -丹阳城区商圈,4室2厅 | 133.37平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 8个月以前发布,148.8,"11,157元/平"
恒大名都大平层好房出售价格美丽,恒大名都 -丹阳城区商圈,4室2厅 | 163.8平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 9个月以前发布,142.5,"8,700元/平"
凤翔花园城197.6平  4房2厅2卫  精装修 电梯房 中层,鳯翔花園城 -丹阳开发区商圈,5室2厅 | 197.6平米 | 南 | 精装 | 高楼层(共12层)  | 暂无数据,2人关注 / 一年前发布,198,"10,021元/平"
千禧花园4楼158平4室2厅2卫老精装有合库售价138万,千禧花园 -丹阳城区商圈,4室2厅 | 158平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,109,"6,899元/平"
御珑湾167.51平中间楼层四室两厅两卫品牌家具家电齐全,御珑湾 -丹阳开发区商圈,4室2厅 | 167.51平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,165,"9,851元/平"
御珑湾 5室2厅 南,御珑湾 -丹阳开发区商圈,5室2厅 | 238平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,338,"14,202元/平"
御珑湾 185平 精装修 家具家电齐全 六室两厅两卫 高层,御珑湾 -丹阳开发区商圈,6室2厅 | 185平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,179.8,"9,719元/平"
小区地段好，配套好，有zy空调，地暖,城市绿洲 -丹阳城区商圈,3室2厅 | 145平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,180,"12,414元/平"
美亚华悦 四房两厅两卫 精装修 拎包入住,美亚华悦 -丹阳开发区商圈,3室2厅 | 119.47平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 6个月以前发布,139.8,"11,702元/平"
开发区精装修，视野开阔，采光佳,恒大城 -丹阳开发区商圈,4室2厅 | 156平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,115,"7,372元/平"
嘉荟新城 108平 毛坯三居室 楼层好 总高11层 随时看房,嘉荟新城东区 -丹阳开发区商圈,3室2厅 | 108平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,73,"6,760元/平"
御珑湾136.51平洋房中间楼层品牌家具家电拎包入住,御珑湾 -丹阳开发区商圈,4室2厅 | 136.51平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,180,"13,186元/平"
恒大名都280平 四室三卫 精装修 家具家电齐全 满两年,恒大名都 -丹阳城区商圈,4室2厅 | 280平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,2人关注 / 一年前发布,299.8,"10,708元/平"
美亚华悦 低层 115平 3房2卫 定制精装 保养如新,美亚华悦 -丹阳开发区商圈,3室2厅 | 115.7平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,123.8,"10,701元/平"
練湖新城2-2-1-2 111.00m² 105.8 万,練湖新城 -丹阳城区商圈,2室2厅 | 111平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 一年前发布,99,"8,919元/平"
配套齐全 靠菜市场 不临街 适合首付不多的小两口,金鼎城市花园 -丹阳开发区商圈,2室1厅 | 90.71平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,88,"9,702元/平"
丹凤国际精装2房，好楼层，采光好，视野辽阔。,丹鳳國际 -丹阳华南商圈,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,99.8,"11,089元/平"
恒大名都101平精装大2房诚心出售 采光无遮挡 楼层佳,恒大名都 -丹阳城区商圈,2室2厅 | 101平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,5人关注 / 11个月以前发布,83.8,"8,298元/平"
业主精心装修，诚心出售，拎包入住··,河滨新村 -丹阳城区商圈,2室1厅 | 55平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,11人关注 / 8个月以前发布,46.8,"8,510元/平"
业主诚心出售，楼层好，性价  比很高,凤凰新村 -丹阳城区商圈,2室1厅 | 67平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,51.8,"7,732元/平"
嘉源首府精装2房，交通便利，视野宽阔无遮挡,嘉源首府（丹阳市） -丹阳开发区商圈,2室2厅 | 95平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 10个月以前发布,103.8,"10,927元/平"
中南君悦府，95平，95.8万，三室二厅,中南君悦府 -丹阳华南商圈,3室2厅 | 95平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,3人关注 / 一年前发布,95.8,"10,085元/平"
上善雅苑2-1-1-1 83.00m² 98.8 万,上善雅苑 -丹阳华南商圈,2室1厅 | 83平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,98.8,"11,904元/平"
业主置换大房子诚心出售，拎包入住，位置好，视野好~,澳都花城 -丹阳华南商圈,2室1厅 | 98.43平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,90.8,"9,225元/平"
嘉源首府（丹阳市）2-1-1-1 93.56m² 102.8 万满二,嘉源首府（丹阳市） -丹阳开发区商圈,2室1厅 | 93.56平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,102.8,"10,988元/平"
业主精心装修，诚心出售，拎包入住··,河滨新村 -丹阳城区商圈,2室1厅 | 55平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,11人关注 / 8个月以前发布,46.8,"8,510元/平"
恒大名都101平精装大2房诚心出售 采光无遮挡 楼层佳,恒大名都 -丹阳城区商圈,2室2厅 | 101平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,5人关注 / 11个月以前发布,83.8,"8,298元/平"
丹阳碧桂园公寓 两室一厅精装 采光好户型佳,丹阳碧桂园 -丹阳华南商圈,2室1厅 | 66平米 | 南 | 简装 | 中楼层(共27层)  | 板楼,9人关注 / 一年前发布,58.8,"8,910元/平"
普善领秀花都 1室1厅 南,普善领秀花都 -丹阳开发区商圈,1室1厅 | 59平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,56.8,"9,628元/平"
吾悦公寓43.26平 精装修 家具家电齐全 朝东,新城吾悦广场（丹阳） -丹阳开发区商圈,1室1厅 | 43.26平米 | 东 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 8个月以前发布,36.5,"8,438元/平"
华南新小区，出行方便，总价低，生活方便,上善雅苑 -丹阳华南商圈,2室1厅 | 83平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,2人关注 / 7个月以前发布,89.8,"10,820元/平"
"此房南方名居精装修房，楼栋位置佳,拎包入住",天怡南方名居 -丹阳华南商圈,2室2厅 | 93平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 6个月以前发布,100.8,"10,839元/平"
華南新村2-1-1-1 69.00m² 48.8 万,華南新村 -丹阳华南商圈,2室1厅 | 69平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,8人关注 / 一年前发布,48.8,"7,073元/平"
万善园一村 优质楼层 离华南学x200米  两开间朝南,万善园二村东区（万善园） -丹阳华南商圈,2室2厅 | 78.37平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,69,"8,805元/平"
小区幸福指数高，交通便利，位置好,惠泽苑 -丹阳城区商圈,3室1厅 | 100平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,45.8,"4,580元/平"
幸福小区 75平 精装修 高楼层 满两年 可拎包入住,幸福小区 -丹阳开发区商圈,2室1厅 | 75平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,54.8,"7,307元/平"
紫荆花园，3房2厅 通透户型，明厨明卫，拎包入住,紫荆花园(丹阳市) -丹阳开发区商圈,3室2厅 | 113.2平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,8人关注 / 一年前发布,78,"6,891元/平"
楼层好 全天采光 户型方正 看房方便 诚心出售,海宇花园 -丹阳开发区商圈,2室2厅 | 81平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,63.8,"7,877元/平"
好房只等有缘人 精装 楼层好 看房方便,丹阳碧桂园 -丹阳华南商圈,1室2厅 | 68平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,78,"11,471元/平"
电梯中高楼层，视野好，精装修，业主离开丹阳,紫竹园 -丹阳华南商圈,2室2厅 | 86平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 8个月以前发布,89.6,"10,419元/平"
国骅天波 洋房 全新毛坯  楼层好 视野佳,国骅天波 -丹阳开发区商圈,2室1厅 | 100.74平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,95.8,"9,510元/平"
此房满二  价格实惠  看房方便,惠和苑 -丹阳城区商圈,2室2厅 | 70.96平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,50,"7,047元/平"
吾悦商圈 恒大名都82.21平2房出售,恒大名都 -丹阳城区商圈,2室2厅 | 82.21平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,82.8,"10,072元/平"
天波城中高楼层86平毛坯两房满二103万,国骅天波 -丹阳开发区商圈,2室1厅 | 86平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 塔楼,1人关注 / 一年前发布,103,"11,977元/平"
"华都锦城幸福里3-2-1-2,110.56平，124万",华都锦城·幸福里 -丹阳华南商圈,3室2厅 | 110.56平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 暂无数据,1人关注 / 10个月以前发布,116.8,"10,565元/平"
户型好，装修新，可直接拎包入住,宜和B区 -丹阳城区商圈,2室2厅 | 84.97平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,108.8,"12,805元/平"
实验旁 金凤凰花园 全新毛坯 全天采光 仅售105.8万,金凤凰花园 -丹阳开发区商圈,2室2厅 | 112.71平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 一年前发布,100.8,"8,944元/平"
美亚华悦 精装2房 全天采光 拎包入住,美亚华悦 -丹阳开发区商圈,2室2厅 | 88平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,2人关注 / 9个月以前发布,90,"10,228元/平"
市区金鹰地段 2楼两室 采光好 配套成熟,河滨新村 -丹阳城区商圈,2室1厅 | 62平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,14人关注 / 一年前发布,53.8,"8,678元/平"
金鼎城市花园2-2-1-1，90平76.8万,金鼎城市花园 -丹阳开发区商圈,2室2厅 | 90平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,72,"8,000元/平"
凤美新村 中楼层 3室86平 养老宜居,凤美新村 -丹阳城区商圈,3室2厅 | 86平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,68.8,"8,000元/平"
凤凰新村 中高楼层 1楼有自行车独库 南北户型 格局好,凤凰新村 -丹阳城区商圈,3室2厅 | 122.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,78.8,"6,418元/平"
全新装修，拎包入住，未入住看房方便提前联系随时可看,锦绣熙城 -丹阳城区商圈,3室2厅 | 134平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,130.8,"9,762元/平"
爱家尚城中层 3室2卫110平 城市大盘 人文环境好,爱家尚城 -丹阳城区商圈,3室2厅 | 110平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,122,"11,091元/平"
丹桂园北区 好楼层 好户型 十米大阳台 两个车库有车位,丹桂园 -丹阳城区商圈,3室2厅 | 135.13平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,105.8,"7,830元/平"
爱家尚城中间好楼层 南边首排 采光好 99平毛坯,爱家尚城 -丹阳城区商圈,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 6个月以前发布,112,"11,314元/平"
练湖新城全新装修，南北通透，拎包入住，交通便利,練湖新城 -丹阳城区商圈,4室2厅 | 133平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 11个月以前发布,112.8,"8,482元/平"
房型方正 楼层好 ，毛坯房，可以按自己喜欢的风格装修,锦绣熙城 -丹阳城区商圈,3室1厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,2人关注 / 一年前发布,101.8,"9,009元/平"
宏云公寓电梯8楼总11层 楼层佳 精装婚房3室售139.8万,宏云公寓 -丹阳城区商圈,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,139.8,"11,008元/平"
大桥新村一楼有小院 新精装 设施齐全 拎包可入住,大桥新村 -丹阳城区商圈,2室1厅 | 78.18平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,69.8,"8,929元/平"
中间楼层  精装修  拎包入住,惠泽苑 -丹阳城区商圈,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,88.8,"9,062元/平"
練湖新城 3室2厅 南,練湖新城 -丹阳城区商圈,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 11个月以前发布,102.8,"8,863元/平"
化肥小区2室小户型70平 有独库 上学生活方便,化肥小区 -丹阳城区商圈,2室1厅 | 70平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,9人关注 / 9个月以前发布,39.8,"5,686元/平"
公路站宿舍楼 3室2厅 南 北,公路站宿舍楼 -丹阳城区商圈,3室2厅 | 88平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,55.6,"6,319元/平"
楼层好，格局好，采光充足，视野开阔。,无线电厂宿舍 -丹阳城区商圈,3室2厅 | 102.4平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,68.8,"6,719元/平"
市区大盘 配套齐全 户型好 108边户,爱家尚城 -丹阳城区商圈,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 5个月以前发布,115,"10,649元/平"
大桥新村 全新精装未入住过3房  78.8万,大桥新村 -丹阳城区商圈,3室2厅 | 115.64平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,78.8,"6,815元/平"
江南人家电梯房大两室113平 房东诚售95.8w,江南人家 -丹阳城区商圈,2室2厅 | 113平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,93.8,"8,301元/平"
电梯房，楼层好，三房朝南，视野佳,江南人家 -丹阳城区商圈,3室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,125.8,"8,798元/平"
电永小区 114平 精装修 家具家电齐全 中间楼层 采光好,电永小区 -丹阳开发区商圈,2室2厅 | 114平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,65,"5,702元/平"
吾悦旁 佳境天城 全天采光 拎包入住 仅售99.8万,佳景天城 -丹阳开发区商圈,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 一年前发布,93.8,"9,107元/平"
嘉源shou府（丹阳市）3-2-1-2 147.97m² 满二168 万,嘉源首府（丹阳市） -丹阳开发区商圈,3室2厅 | 147.97平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,152.8,"10,327元/平"
丹阳碧桂园3-2-1-2 135.60m² 150 万,丹阳碧桂园 -丹阳华南商圈,3室2厅 | 135.6平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 10个月以前发布,137.8,"10,163元/平"
户型好，楼层位置好，采光好。出行方便，物业负责,丹阳碧桂园 -丹阳华南商圈,3室1厅 | 91平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,2人关注 / 5个月以前发布,106.8,"11,737元/平"
华南 上善雅苑 全天采光 全新精装 拎包入住 仅123.8万,上善雅苑 -丹阳华南商圈,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 9个月以前发布,118.8,"11,880元/平"
开发区 锦江花园二室精装修90平,锦江花园(丹阳市) -丹阳开发区商圈,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,66.8,"7,423元/平"
金鼎城市花园精装中层，采光佳，可拎包入住,金鼎城市花园 -丹阳开发区商圈,3室2厅 | 132.5平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,132.8,"10,023元/平"
满两年，楼层好，视野宽阔，采光充足,华都锦城·幸福里 -丹阳华南商圈,3室1厅 | 100平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,120.8,"12,080元/平"
五中 八中旁 迎春小区 房东急售 仅售89.8万 看房方便,迎春小区 -丹阳开发区商圈,3室2厅 | 117.8平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,85,"7,216元/平"
碧桂园4室大平层，满五唯一，轻奢带车位出售。,丹阳碧桂园 -丹阳华南商圈,4室2厅 | 178平米 | 北 南 | 精装 | 中楼层(共30层)  | 板楼,3人关注 / 8个月以前发布,208.8,"11,731元/平"
天波城两房一楼带院子 精装双阳台 拎包入住,国骅天波 -丹阳开发区商圈,2室2厅 | 86平米 | 南 | 精装 | 低楼层(共21层)  | 塔楼,0人关注 / 11个月以前发布,109.6,"12,745元/平"
金鼎精装中层，满五年，全天采光无遮挡，可拎包入住,金鼎城市花园 -丹阳开发区商圈,3室2厅 | 162平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,137.8,"8,507元/平"
海宇花园3-2-1-1 140.00m² 78.8 万,海宇花园 -丹阳开发区商圈,3室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,78.8,"5,629元/平"
佳景天城，135平，精装修。。随时可看房，配套齐全。,佳景天城 -丹阳开发区商圈,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,140,"10,371元/平"
太阳城3-1-1-2中间楼层采光好诚心出售,太阳城小区 -丹阳华南商圈,3室2厅 | 116平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,78.8,"6,794元/平"
金桥世纪城136平 中间楼层 3室2厅2卫 精装修 中间楼层,金桥·世纪城 -丹阳开发区商圈,3室2厅 | 136平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,97.8,"7,192元/平"
"丹阳碧桂园3-2-1-2,116平，138.8万",丹阳碧桂园 -丹阳华南商圈,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 11个月以前发布,138.8,"11,966元/平"
金鼎城市花園4-2-1-2 180.00m² 183.8,金鼎城市花园 -丹阳开发区商圈,4室2厅 | 180平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,183.8,"10,212元/平"
新区实小旁，东方盛世，精装，采光优加，两房两厅,东方盛世 -丹阳开发区商圈,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 9个月以前发布,93.8,"10,660元/平"
南北通透采光好，视野无遮挡，满五唯一,锦尚名都 -丹阳华南商圈,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,123.8,"9,524元/平"
汇金天地中间好楼层 毛坯边户 133平3室2卫 南北通透,汇金天地 -丹阳开发区商圈,3室2厅 | 133平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板楼,0人关注 / 一年前发布,162,"12,181元/平"
"锦尚名都5-3-2-3,240平，196.8万",锦尚名都 -丹阳华南商圈,5室4厅 | 240平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,184.8,"7,700元/平"
佳境天城洋房132平飞户型楼层好房东诚售1458.8万,佳景天城 -丹阳开发区商圈,3室2厅 | 132平米 | 西 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 11个月以前发布,139.8,"10,591元/平"
天波城大平层200平精装4房2卫满二260万,国骅天波 -丹阳开发区商圈,4室2厅 | 200平米 | 南 | 精装 | 低楼层(共21层)  | 塔楼,2人关注 / 一年前发布,260,"13,000元/平"
满五，南北通透格局，楼层好视野开阔，采光充足，,锦尚名都 -丹阳华南商圈,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,145.8,"11,391元/平"
开发区 锦江花园二室精装修90平,锦江花园(丹阳市) -丹阳开发区商圈,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,66.8,"7,423元/平"
金鼎城市花园精装中层，采光佳，可拎包入住,金鼎城市花园 -丹阳开发区商圈,3室2厅 | 132.5平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,132.8,"10,023元/平"
紫荆花园  精装3房 125平拎包入住  满五 仅售94.8万,紫荆花园(丹阳市) -丹阳开发区商圈,3室2厅 | 125.09平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,92.8,"7,419元/平"
小高层，楼层好采光充足，拎包入住,东方盛世 -丹阳开发区商圈,3室2厅 | 135.79平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,136,"10,016元/平"
东方盛世中层三室两卫 装修新 家具家电齐全可拎包入住,东方盛世 -丹阳开发区商圈,3室2厅 | 121平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,127.8,"10,562元/平"
户型好，楼层位置好，采光好。出行方便，物业负责,丹阳碧桂园 -丹阳华南商圈,3室1厅 | 91平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,106.8,"11,737元/平"
爱家尚城 低层养老房 全新业主精装 首付40万,爱家尚城 -丹阳城区商圈,3室2厅 | 110平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,2人关注 / 11个月以前发布,118.8,"10,800元/平"
城市绿洲二期 南边首排 116平中层 中 央空调地暖,城市绿洲 -丹阳城区商圈,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 8个月以前发布,145,"12,500元/平"
市芯小区  中上楼层 三室两厅 随时看房,爱家尚城 -丹阳城区商圈,3室2厅 | 108平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 5个月以前发布,110,"10,186元/平"
此房南北通透，视野无遮挡，满五年不唯一,锦尚名都 -丹阳华南商圈,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,118.8,"9,139元/平"
实验旁 天波城 楼层好 采光好 全新精装 仅售133.8万,国骅天波 -丹阳开发区商圈,3室2厅 | 142平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,5人关注 / 一年前发布,125.8,"8,860元/平"
双阳台.满五唯一.精装.楼层好采光好.视野开阔交通便利,龙凤新村 -丹阳华南商圈,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,82,"8,818元/平"
此房满五唯一，，楼层好，采光充足,龙凤新村 -丹阳华南商圈,3室2厅 | 92平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,79,"8,587元/平"
华都锦城 高层平顶复式 全新毛坯4室2卫,华都锦城 -丹阳华南商圈,4室2厅 | 163.92平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,138.8,"8,468元/平"
大3室，功能齐全，无浪费面积，功能性住宅。,昆仑华府 -丹阳华南商圈,3室2厅 | 144.6平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,115.8,"8,009元/平"
业主诚心急售，楼层采光好；双华南；随时看房,丹阳碧桂园 -丹阳华南商圈,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 8个月以前发布,126.8,"10,932元/平"
锦尚名都 3室2厅 南,锦尚名都 -丹阳华南商圈,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 8个月以前发布,131.8,"10,139元/平"
练湖新城  3房1卫   100.36平    毛坯,練湖新城 -丹阳城区商圈,3室1厅 | 100.36平米 | 东南 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,85.8,"8,550元/平"
大桥新村中层 4室2卫155平 南北大阳台 有独库,大桥新村 -丹阳城区商圈,4室2厅 | 155平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,95,"6,130元/平"
健康园 4楼 三居室 90平 73.8万,健康园 -丹阳城区商圈,3室1厅 | 90平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,73.8,"8,200元/平"
精装修，大平层，富二代的优质之选,金色家园(丹阳市) -丹阳城区商圈,3室2厅 | 173平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 7个月以前发布,206.8,"11,954元/平"
