标题,开发商,房子信息,发布信息,售价/万,单价
电梯大两室，户型方正税费少。。,康桥枫景一期 -汉台区,2室2厅 | 112.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,56,"4,988元/平"
龙岗新区价格很划算的四居室、即买即装修、还可上东辰,圣桦龙湾半岛 -南郑区,4室2厅 | 143.94平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,10人关注 / 10个月以前发布,100.3,"6,969元/平"
江边好房，业主诚心出售。简装。,汉江新城留苑 -汉台区,2室2厅 | 81平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,52,"6,420元/平"
南北双阳台，城西好位置，适合做婚房，,温莎国际 -汉台区,3室2厅 | 125.74平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,81.5,"6,482元/平"
城西品质小区，舒适三室，阔景阳台，采光充足,新天汉时代滨江 -汉台区,3室2厅 | 106平米 | 南 北 | 毛坯 | 27层  | 板楼,1人关注 / 2个月以前发布,93,"8,774元/平"
玫瑰庄园电梯小高层产证齐全.无抵押随时可过户,缙颐玫瑰庄园 -汉台区,3室2厅 | 105.9平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,96,"9,066元/平"
此房产证齐全，精装修装，可拎包入住 房东在本地,蜀汉美郡 -南郑区,3室2厅 | 101.74平米 | 东 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,65,"6,389元/平"
毛坯大三居，带衣帽间，朝向好，采光足，房子格局好,大华月光湖 -南郑区,4室2厅 | 139.29平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,31人关注 / 5个月以前发布,58.5,"4,200元/平"
江边好房 三室精装好楼层 拎包入住带地暖 满二 可贷款,中青国际社区 -汉台区,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,86,"7,414元/平"
3号桥头 大三室 现房 中间楼层 满五唯一税费少,光辉社区C2 -汉台区,3室2厅 | 130.41平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,57,"4,371元/平"
丰辉龙亭品质社区，板式电梯洋房，即将满二,丰辉龙亭园小区 -汉台区,3室2厅 | 139.8平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,86.5,"6,188元/平"
吾悦唯一满二边户，出行带小孩教育齐全，楼下就是广场,吾悦公馆 -汉台区,3室2厅 | 126.79平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,104,"8,203元/平"
房子户型方正，南北通风，小区环境好 配套设施齐全,金色蓝镇 -南郑区,3室1厅 | 111平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,3人关注 / 3个月以前发布,59,"5,316元/平"
城西 电梯三室凤凰层 带车位仅售72万,广厦明珠北苑 -汉台区,3室1厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,3人关注 / 3个月以前发布,71,"5,773元/平"
玫瑰庄园优质房源，天汉大剧院旁， 视野充沛,缙颐玫瑰庄园 -汉台区,3室2厅 | 115.69平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,2人关注 / 3个月以前发布,93,"8,039元/平"
城西江边，碧桂园精装交付，业主急售,碧桂园·阅江府 -汉台区,3室2厅 | 129平米 | 南 北 | 其他 | 低楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,108,"8,373元/平"
江边中青国际洋房4室带车位带20平米柴房视野好无遮挡,中青国际社区 -汉台区,4室2厅 | 142.09平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,6人关注 / 4个月以前发布,116,"8,164元/平"
江边好房，业主诚心出售。简装。,汉江新城留苑 -汉台区,2室2厅 | 81平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,52,"6,420元/平"
城东丰辉龙亭，小高层，现房。......,丰辉龙亭园小区 -汉台区,3室2厅 | 134平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,2人关注 / 9个月以前发布,80,"5,971元/平"
西环路与青龙路交界处，出入生活便利，业主诚售。,青龙小区 -汉台区,2室2厅 | 82.73平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,25,"3,022元/平"
玫瑰庄园优质房源，天汉大剧院旁， 视野充沛,缙颐玫瑰庄园 -汉台区,3室2厅 | 115.69平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,2人关注 / 3个月以前发布,93,"8,039元/平"
房子户型方正，南北通风，小区环境好 配套设施齐全,金色蓝镇 -南郑区,3室1厅 | 111平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,3人关注 / 3个月以前发布,59,"5,316元/平"
城西 电梯三室凤凰层 带车位仅售72万,广厦明珠北苑 -汉台区,3室1厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,3人关注 / 3个月以前发布,71,"5,773元/平"
新天汉时代滨江小三室，惊喜价格诚心出售,新天汉时代滨江 -汉台区,3室2厅 | 86平米 | 南 北 | 其他 | 25层  | 板楼,5人关注 / 1个月以前发布,69.8,"8,117元/平"
城西西新街经典小高层三室双阳台带空调看房方便,汉水名城紫薇公馆 -汉台区,3室1厅 | 106.03平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,75,"7,074元/平"
紧凑三居室，南向视野好，业主诚心出售,汉南领秀 -南郑区,3室1厅 | 96.8平米 | 东 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,14人关注 / 一年前发布,44,"4,546元/平"
江边经典两室户型，南北通透，户型方正,漢府國風 -南郑区,2室2厅 | 97.82平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 1个月以前发布,46.5,"4,754元/平"
江边小高层洋房，户型方正诚意出售。,裕华欧洲城 -南郑区,3室2厅 | 127.3平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,13人关注 / 6个月以前发布,66,"5,185元/平"
花园电梯洋房 一梯两户 居住舒适 环境优美,智慧城 -南郑区,3室2厅 | 100.87平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 塔楼,33人关注 / 一年前发布,54,"5,354元/平"
小高层大三居  南北朝向  全明格局  带暖气,蜀汉美郡 -南郑区,3室2厅 | 130.16平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,8人关注 / 10个月以前发布,59,"4,533元/平"
坐标江郡苑，大两居，南北通透，随时看房，随时签,江郡苑 -汉台区,2室2厅 | 90.06平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板塔结合,37人关注 / 一年前发布,55,"6,108元/平"
电视塔旁多层二楼两室拎包入住养老购物都很方便,四街坊 -汉台区,2室1厅 | 61.5平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 1个月以前发布,19.5,"3,171元/平"
堂宏顶越复式，视野开阔，采光好，业主诚心出售,堂宏广场 -汉台区,4室2厅 | 161.27平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,6人关注 / 6个月以前发布,80,"4,961元/平"
江边两室婚房未入住中间楼层全屋品牌带地暖南北向,和谐春天 -汉台区,2室2厅 | 94.5平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,52,"5,503元/平"
小区地段好，离江边近，房子中间楼层,广厦明珠北苑 -汉台区,2室1厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板塔结合,16人关注 / 4个月以前发布,46.2,"4,667元/平"
养老简装二室   生活便利配套成熟,太白小区 -汉台区,2室1厅 | 54.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,17人关注 / 5个月以前发布,21,"3,854元/平"
此房源是玫瑰庄园洋房 视野充沛 采光好,缙颐玫瑰庄园 -汉台区,4室2厅 | 143.06平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,30人关注 / 8个月以前发布,131,"9,157元/平"
江边尤满吉大四室，诚意出售，价格实惠，16层东户,江南壹号 -南郑区,4室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,65人关注 / 一年前发布,77,"5,704元/平"
电梯三室  南北朝向 全明户型 产证满二 交易税费少,蜀汉美郡 -南郑区,3室2厅 | 120.01平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,28人关注 / 一年前发布,58.8,"4,900元/平"
城西吾悦广场旁电梯精装拎包入住，业主诚心出售,滨江印象 -汉台区,2室2厅 | 75.45平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,3人关注 / 4个月以前发布,48.5,"6,429元/平"
汉江明珠 3室2卫 税费低   户型方正,汉江明珠 -南郑区,3室2厅 | 120.25平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,68人关注 / 一年前发布,53,"4,408元/平"
"南北朝向 ,户型方正， 产证满二，",裕華園 -南郑区,2室2厅 | 92.91平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,31,"3,337元/平"
此房是城西品质小区明珠南苑一期两室，采光好无遮挡！,明珠南苑一期 -汉台区,2室1厅 | 90平米 | 北 | 毛坯 | 高楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,40,"4,445元/平"
西大街多层3楼2室南北户型明厨明卫,水泥厂家属院 -汉台区,2室1厅 | 60平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,11人关注 / 一年前发布,25,"4,167元/平"
市中 心商圈环 绕 电梯房 产证在手随时可签,万邦时代广场 -汉台区,1室1厅 | 72.34平米 | 东 | 简装 | 中楼层(共29层)  | 塔楼,9人关注 / 4个月以前发布,31.5,"4,355元/平"
汉江明珠 3室2卫 税费低   户型方正,汉江明珠 -南郑区,3室2厅 | 120.25平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,68人关注 / 一年前发布,53,"4,408元/平"
西大街多层3楼2室南北户型明厨明卫,水泥厂家属院 -汉台区,2室1厅 | 60平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,11人关注 / 一年前发布,25,"4,167元/平"
江边毛坯两室，江景房，户型方正，采光好，交通便利,中青国际社区 -汉台区,2室2厅 | 95.22平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,95人关注 / 一年前发布,43.8,"4,600元/平"
"南北朝向 ,户型方正， 产证满二，",裕華園 -南郑区,2室2厅 | 92.91平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,31,"3,337元/平"
高品质小区 凤凰层洋房社区 带露台,缙颐缇香郡 -南郑区,3室1厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 3个月以前发布,77.5,"6,055元/平"
城西热点地段，2室经典户型南北通透电梯房，业主急售,明珠南苑二期 -汉台区,2室2厅 | 87.97平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,3人关注 / 5个月以前发布,47.5,"5,400元/平"
城西品质小区，绿化环境好，电梯，精装房,清水湾 -汉台区,3室2厅 | 124.1平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,25人关注 / 8个月以前发布,95,"7,656元/平"
电视塔旁，电梯房，精装修，广厦东方明珠,广厦·东方明珠 -汉台区,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,85人关注 / 一年前发布,60,"5,173元/平"
精装拎包入住，步梯三楼，产证满二税费少。,地王熙苑 -汉台区,3室1厅 | 95.37平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,58,"6,082元/平"
汉台区 城西 精装大三居 洋房社区 小区安静 绿化好,汉水名城阅府 -汉台区,3室2厅 | 131.4平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,15人关注 / 8个月以前发布,129.5,"9,856元/平"
小区内为数不多的三室房源，适合三口之家居住，安静,祥瑞 · 四季印象 -汉台区,3室1厅 | 101平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,60人关注 / 1个月以前发布,63,"6,238元/平"
房子是精装的，业主平时很少入住，价格都还可以谈,万邦普罗旺斯 -汉台区,3室2厅 | 107.65平米 | 北 南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,73.5,"6,828元/平"
大两室，纯南户型，交通便捷，配套齐全,万邦普罗旺斯 -汉台区,2室2厅 | 98平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,55,"5,613元/平"
小区环境好，楼层适中，环境优越，绿化好，干净卫生,城建小区 -汉台区,3室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,21人关注 / 一年前发布,78,"5,417元/平"
此房满二，装修精致，能拎包入住，适合男女老少,明珠 · 馨居 -汉台区,3室2厅 | 125.97平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,11人关注 / 5个月以前发布,66,"5,240元/平"
莲湖路多层一层带院子 配套齐全 生活及交通便利,外贸家属楼 -汉台区,2室1厅 | 62平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 18天以前发布,26,"4,194元/平"
城西电梯小高层 单价4000+ 楼层好户型好,长青林业局 -汉台区,2室1厅 | 87.88平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 27天以前发布,43,"4,894元/平"
南北通透格局，户型好，采光好。出门即是江边,丽江苑小区 -南郑区,2室2厅 | 94.2平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,11人关注 / 8个月以前发布,33,"3,504元/平"
小区离江边近，户型南北向，采光充足,江南壹号 -南郑区,3室2厅 | 109.6平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,55,"5,019元/平"
城东次新小区 步梯中间楼层 精装两室 拎包入住,康桥二期 -汉台区,2室2厅 | 90.12平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,5人关注 / 一年前发布,47.5,"5,271元/平"
明珠北苑精装两室，小区集中供暖，采光好,广厦明珠北苑 -汉台区,2室2厅 | 89.86平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,17人关注 / 5个月以前发布,56,"6,232元/平"
城东  低楼层两室  南北通  带停车位,丰辉家园 -汉台区,2室1厅 | 99.81平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,11人关注 / 4个月以前发布,47.5,"4,760元/平"
准现房，小区地段好，离江边近，环境好，配套设施齐全,广厦明珠北苑 -汉台区,2室2厅 | 96平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板塔结合,25人关注 / 8个月以前发布,48,"5,000元/平"
江景房  精装修未入住  楼层好 视野开阔 采光好,汉江首府 -汉台区,2室2厅 | 86.36平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,13人关注 / 8个月以前发布,64.7,"7,492元/平"
满五唯一，税少，精装修大两居拎包入住，生活配套齐全,和谐春天 -汉台区,2室2厅 | 93平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 1个月以前发布,45,"4,839元/平"
城东新装修2居室 生活便利   税费少,朝阳小区 -汉台区,2室2厅 | 56平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,23.8,"4,250元/平"
江边大三室，南北通透，户型方正,天河·望江郡 -汉台区,3室2厅 | 133.74平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板塔结合,19人关注 / 8个月以前发布,77.5,"5,795元/平"
汉师旁14年次新小区电梯两室精装空房业主诚心出售,龍和花園 -汉台区,2室1厅 | 89.95平米 | 北 | 精装 | 中楼层(共13层)  | 板塔结合,0人关注 / 1个月以前发布,64.5,"7,171元/平"
江边和谐春天电梯中间层大两室精装修为入住看房方便,和谐春天 -汉台区,2室1厅 | 94.8平米 | 北 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 2个月以前发布,45.5,"4,800元/平"
江边两室  南北通透  毛坯房  产证满二  业主急售,汉中世纪城 -汉台区,2室2厅 | 86.9平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,35,"4,028元/平"
城西江边毛坯大两室，楼层好，采光充足。,清水湾 -汉台区,2室1厅 | 113平米 | 南 | 其他 | 中楼层(共31层)  | 塔楼,49人关注 / 一年前发布,65,"5,753元/平"
品质小区汉江首府两室精装修 楼层好，户型方正,汉江首府 -汉台区,2室2厅 | 86.31平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,3人关注 / 4个月以前发布,65,"7,531元/平"
江边电梯两居室，户型方正，明厨明卫，配套成熟,中青国际社区三期 -汉台区,2室2厅 | 97.38平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,22人关注 / 10个月以前发布,51,"5,238元/平"
江边两居室精装空房，小区配套成熟,中青国际社区三期 -汉台区,2室2厅 | 97.38平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,3人关注 / 4个月以前发布,53.5,"5,494元/平"
汉江边，户型方正，精装交付准现房,中青凯旋门 -汉台区,3室2厅 | 134.37平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,94.8,"7,056元/平"
二中跟前，步梯房，业主诚心出售，产证满5,莲湖路秦峰家属院西院 -汉台区,2室2厅 | 67.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,22,"3,260元/平"
一线江景房，户型方正，楼层佳。,吾悦公馆 -汉台区,3室2厅 | 126平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,115.8,"9,191元/平"
江景三室 桥头堡位置 交通便利 一手税费少,汉上第一街 -汉台区,3室2厅 | 117平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,71,"6,069元/平"
城西高品质小区，低密度社区人车分流，绿化高,吾悦公馆 -汉台区,3室2厅 | 101平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,2人关注 / 10个月以前发布,79,"7,822元/平"
城西优质小区，户型经典精装修，诚心出售,缙颐玫瑰庄园 -汉台区,3室2厅 | 115.77平米 | 南 北 | 其他 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,98,"8,466元/平"
益州路毛坯三室中间楼层户型通透，可观江！！！,汉江·森林城 -汉台区,3室2厅 | 118.54平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,1人关注 / 3个月以前发布,75,"6,327元/平"
城东2014年次新小区3楼现浇房,万泰康居城 -汉台区,2室2厅 | 88.6平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,45,"5,080元/平"
市繁华地段，三室电梯房，业主诚心出售。,长信铭座 -汉台区,3室1厅 | 126平米 | 东 西 | 其他 | 中楼层(共12层)  | 板塔结合,0人关注 / 1个月以前发布,54,"4,286元/平"
江边汉上第一街 131平毛坯大三室带露台 更名可按揭,汉上第一街 -汉台区,3室2厅 | 131.03平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,1人关注 / 1个月以前发布,96,"7,327元/平"
此房楼龄新，交通便利户型方正，南北通透，精装修。,天汉龙城 -汉台区,3室2厅 | 149平米 | 南 北 | 其他 | 低楼层(共16层)  | 板塔结合,14人关注 / 5个月以前发布,85,"5,705元/平"
城东多层两室高楼层低总价业主诚心出售,朝阳小区 -汉台区,2室1厅 | 60平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,14.4,"2,400元/平"
江边 世纪城两室 精装带家具家电 拎包入住,汉中世纪城 -汉台区,2室1厅 | 86.48平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,58.5,"6,765元/平"
龙岗路步梯中间楼层中装三房带地暖,情艺园 -南郑区,3室2厅 | 119平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,14人关注 / 一年前发布,46,"3,866元/平"
利和银座，毛坯现房，即买即住，2号桥桥头堡位置,利和银座 -南郑区,2室2厅 | 91平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,41,"4,506元/平"
江边毛坯好房，中间楼层，业主诚心出售，,滨江苑 -汉台区,2室2厅 | 109.77平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,18人关注 / 7个月以前发布,51,"4,647元/平"
音乐喷泉汉江新城网师苑，精品2室拎包入住,二期网师苑 -汉台区,2室2厅 | 87.1平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,4人关注 / 7个月以前发布,57,"6,545元/平"
城西新小区 小高层公摊面积小 楼间距大采光无忧,长青林业局 -汉台区,2室1厅 | 87.88平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,43,"4,894元/平"
江边的精装两居室 业主诚心出售 房子是低楼层,银沟桥小区 -南郑区,2室1厅 | 80平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,37.5,"4,688元/平"
天汉大道 优质精装2室 房龄新 楼层好 采光足 户型正,明珠 · 馨居 -汉台区,2室2厅 | 108.5平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,60,"5,530元/平"
城东新小区，带露台，户型方正，税费少!,朋鹰紫郡  -汉台区,2室2厅 | 91.41平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,43,"4,705元/平"
视野宽阔 ，采光充足 ， 无浪费 ，设施配套齐全,西大街法院家属院 -汉台区,2室1厅 | 46.46平米 | 南 | 其他 | 中楼层(共4层)  | 板塔结合,1人关注 / 1个月以前发布,16.4,"3,530元/平"
满五唯一  户型方正，南北通透，,桃源新城 -汉台区,2室2厅 | 98.4平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,12人关注 / 4个月以前发布,54,"5,488元/平"
此房位处繁华地段，交通便利，离江边近；,天汉之星 -南郑区,3室2厅 | 128.5平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,17人关注 / 一年前发布,48,"3,736元/平"
体育场，精装2室.公摊小.多层3楼,张家村三组 -南郑区,2室2厅 | 81.16平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 5个月以前发布,27,"3,327元/平"
小区环境优雅，电梯中间楼层，家具家电齐全。,华燕生活区 -南郑区,2室1厅 | 88.6平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,38,"4,289元/平"
桃源新城大户型，Lin近吾悦，户型方正，无浪费楼层低,桃源新城 -汉台区,3室1厅 | 136.54平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,42人关注 / 一年前发布,71,"5,200元/平"
青龙小区 2室2厅 南 北,青龙小区 -汉台区,2室2厅 | 105.06平米 | 南 北 | 其他 | 低楼层(共15层)  | 板塔结合,0人关注 / 4天以前发布,33,"3,142元/平"
萃庭花园 2室2厅 南 北,萃庭花园 -汉台区,2室2厅 | 97.88平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 3天以前发布,30,"3,065元/平"
城南江边 两室 毛坯 证在手 满5年  诚心出售,和谐春天 -汉台区,2室2厅 | 94.88平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 6天以前发布,43,"4,533元/平"
经典小三室业主诚心出售  户型方正 商圈成熟居住方便,汉城公馆 -南郑区,3室1厅 | 99.15平米 | 东 西 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 22天以前发布,33.5,"3,379元/平"
城西大三室119平米现浇房产证满五唯一带柴房随时看房,金都苑 -汉台区,3室2厅 | 119.21平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,38,"3,188元/平"
东和尚品 2室2厅 南,东和尚品 -汉台区,2室2厅 | 89.87平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,0人关注 / 4天以前发布,48,"5,342元/平"
八中旁3室2厅 精装拎包入住 集中供暖 停车免费,天台路烟草公司家属院 -汉台区,3室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 6天以前发布,53,"4,141元/平"
步行到江边，纯正三室，刚需划算。,汉南小区二号楼 -汉台区,3室1厅 | 102.19平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,35,"3,425元/平"
此房满五税费少，大三室 全屋实木地板，户型方正！,北苑小区家园 -汉台区,3室2厅 | 136.67平米 | 南 北 | 简装 | 中楼层(共6层)  | 平房,0人关注 / 11天以前发布,62,"4,537元/平"
高铁站旁优质房源，业主急售看房方便,站前小区B区 -汉台区,2室2厅 | 91.77平米 | 北 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,28,"3,052元/平"
竹园华府  江边  房子精装修  拎包入住,竹园华府 -汉台区,3室2厅 | 110.99平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 10天以前发布,83,"7,479元/平"
中青大三室，产证满二 ，可以按揭,中青国际社区 -汉台区,3室2厅 | 114.06平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 13天以前发布,75,"6,576元/平"
城西低楼层大三室、带车库免费  全屋带暖气产权清晰,汉中中学家属院 -汉台区,3室2厅 | 136.75平米 | 南 北 | 精装 | 中楼层(共6层)  | 平房,1人关注 / 8天以前发布,70,"5,119元/平"
中青国际社区小三居南北通透精装格局方正证在手可按揭,中青国际社区 -汉台区,3室2厅 | 102.02平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,1人关注 / 7天以前发布,88,"8,626元/平"
此房位于西一环，格局好，医疗配套设施齐全，交通便利,中心医院家属院 -汉台区,3室2厅 | 119.4平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,52,"4,356元/平"
天汉家缘三室两卫，中低楼层，华燕旁生活方便,天汉家缘 -南郑区,3室2厅 | 122.59平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,60,"4,895元/平"
天汉家缘三室两卫，中间楼层，华燕旁生活方便,天汉家缘 -南郑区,3室2厅 | 122.5平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,55,"4,490元/平"
前进中路电信大楼 多层三楼带车位拎包入住随时看房,汉中市区电力局家属院 -汉台区,3室2厅 | 109.62平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 27天以前发布,48,"4,379元/平"
房子满五，低楼层，带柴房，随时可签,和谐家园 -汉台区,2室2厅 | 83.94平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 14天以前发布,43,"5,123元/平"
供电大道旁卡斯迪亚中间层精装修未入住满五唯一诚心出,建昌卡斯迪亚第壹大道 -汉台区,2室2厅 | 96.6平米 | 南 北 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 18天以前发布,59,"6,108元/平"
房子地理位置优越，城区地段的少有电梯房业主诚心出售,锦园府西苑 -汉台区,4室2厅 | 153.24平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 17天以前发布,85,"5,547元/平"
优越楼层城西经典小三居看房方便,汉水名城阅府 -汉台区,3室2厅 | 97平米 | 东 西 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,85,"8,763元/平"
城东精装修两室，适合年轻人居住,和谐家园 -汉台区,2室1厅 | 86.16平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 9天以前发布,46,"5,339元/平"
